Position,Company_Name,Location,Post_Month,Post_Year,Details
project manager,project manager,"Donato Technologies, Inc.",May,2024,"Client requires the services of 1 Project Manager 2, hereafter referred to as Candidate(s), who meets the general qualifications of Project Manager 2, Project Management and the specifications outlined in this document for the Client

All work products resulting from the project shall be considered ""works made for hire"" and are the property of the Client and may include pre-selection requirements that potential Vendors (and their Candidates) submit to and satisfy criminal background checks as authorized by Texas law. Client will pay no fees for interviews or discussions, which occur during the process of selecting a Candidate(s).

Project managers are the people in charge of a specific project or projects within a company. As the project manager, your job is to plan, budget, oversee and document all aspects of the specific project you are working on. Project managers might work by themselves or be in charge of a team to get the job done.

The team is searching for a project manager 2 to spearhead the SHARP AND Identity access management integration project.. This role demands collaboration skills to work seamlessly with both IT and program stakeholders. The project manage responsibilities will be managing the agile project , managing agile ceremonies with vendors/IT and program. The project manager will be responsible for managing the JIRA board, project reporting and keeping stakeholders informed and working through hhsc-it project management framework.

Minimum Requirements

II. CANDIDATE SKILLS AND QUALIFICATIONS

Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity. Years Required/Preferred Experience 7 Required Project Management 5 Required Experience managing enterprise scale data management projects 3 Required Experience managing complex projects at state or federal government agencies 3 Preferred Experience with creating Texas Project Delivery Framework deliverables and managing projects using this framework strongly preferred. 1 Preferred Certified PMP"
Agile Project Manager - Digital,Agile Project Manager - Digital,Steneral Consulting,February,2024,"100% Remote, client is in EST

need 2 strong candidates on this

What You'll Need For the Project(S)

Digital Media Experience
Manage technical streams of work with several teams
Agile a MUST
Back-end/platform service team
API
Jira
Identity Management tools

Soft Skills

Excellent communication, organizational and multitasking skills

Excellent relationship building skills

Ability and Willingness to roll up your sleeves and help out in any way possible

""No Job is Too Small"" attitude

Strong attention to detail and ability to lead multiple sub-projects at once"
Agile Project Manager,Agile Project Manager,Steneral Consulting,February,2024,"100% Remote, client is in EST

2 Roles

Need One PM with Ad Sales experience and Need One with CMS experience

Both Need To Have Agile And Digital Media Experience

What You'll Need For the Project(S)

Digital Media Experience
Manage technical streams of work with several teams
Agile a MUST
Back-end/platform service team
API
Jira
Identity Management tools

Soft Skills

Excellent communication, organizational and multitasking skills

Excellent relationship building skills

Ability and Willingness to roll up your sleeves and help out in any way possible

""No Job is Too Small"" attitude

Strong attention to detail and ability to lead multiple sub-projects at once"
Project Manager,Project Manager,Elevation Talent Group,April,2024,"Elevation Talent Group is an industry leading recruiting firm that specializes in digital and marketing talent. We are continuously building relationships with project managers supporting Agile teams in both corporate and agency environments through complex project goals and deliverables. We are currently building relationships with project managers for upcoming enterprise contract opportunities—this is a wonderful chance to join our nationwide talent community.

The types of project management backgrounds our clients seek include managing all aspects of complex digital and mobile projects from inception to conclusion including resourcing, timeline, and profitability. Ideal account/project manager candidates we place typically have the ability to:

Serve as a point-of-contact between clients, engineering and design teams with strong knowledge of Agile project management processes and methodologies.
Maintain strong client-facing analytical, oral and written communications.
Facilitate and troubleshoot roadblocks ensuring the highest degree of quality for all deliverables.
Collaborate with cross-functional project team members, including designers, engineers, and senior-level stakeholders.
Knowledge of various project-management systems and tools such as ClickUp, Jira, Confluence, Google Suite and Slack for internal communications.

Please respond if you'd like to build a relationship with a recruiter with expertise in placing talented project management professionals. We look forward to speaking with you soon—our team of Talent Consultants are career experts, ready to learn about your career highlights and be a partner to help you navigate What’s Next. We’d love to connect!"
Scrum Master,Scrum Master,Steneral Consulting,February,2024,"Need to include Scrum Master Certification with submission.

Duration: 4 months with extensions likely

The Scrum Master primary work location will be Contractor Remote but may be required to attend onsite meetings at the State office building located at 7919 Independence Blvd, Baton Rouge, LA 70806.

Client can pay for their travel costs if they are not local. It’s more important we find a top-notch candidate over a local candidate for this position.

Client is looking for a candidate with excellent(10+) communication skills.

Title: Scrum Master

Position Type: Contract

Location: Remote, United States

Onsite Flexibility: 90% Remote

Description

Project Description:

The Office of Juvenile Justice (OJJ) and Office of Technology Services (OTS) have been working on modernizing all of OJJ’s business practices and technology for several years utilizing a hybrid Agile/Waterfall approach. Furthermore, OJJ and OTS are transitioning the project to more of a full Agile approach. Currently, the project team has a core development and a project manager. It is the intent of OJJ and OTS to add one (1) Scrum Master to the project to properly staff and facilitate the transition of the project to a full Agile approach.

JOB Title: Scrum Master

The scope of the proposed services will include the following:

Guide and Mentor multiple teams and organization using Agile/Scrum best practices, methodologies and values.

Assess the Scrum maturity of the teams and organization and coaching the teams to higher levels of maturity, at a pace that is sustainable and comfortable for the teams and organization.

Remove impediments or guide a team to remove impediments.

Facilitate completion of work assignments, assigning, or dictating work assignments.

Facilitate discussion, decision making, team building and conflict resolution.

Assist with internal and external communication, improving transparency, and radiating information; supporting product owners and project leadership to maximize return on investment (ROI) and meet the organization’s objectives.

Support and educating the Product Owner and teams, to include, but not limited to grooming and maintaining the product backlog.

Engage in agile delivery utilizing best agile methodology (i.e. Scrum, Kanban, etc).

Provide support to teams using a servant leadership style whenever possible, and leading by example.

Facilitate all necessary team meetings in accordance with Scrum ceremonies.

Participates in all design sessions.

Performs or directs the performance of special tasks as assigned.

Expertise and/or relevant experience in the following areas are mandatory:

Role

Five (5) years’ experience in the Scrum Master role

Scrum Master certification (include copy of certificate with resume)

Expertise and/or relevant experience in the following areas are desirable but not mandatory:

Identifying and building Key Performance Indicators (KPIs) to measure program performance

Experience with JIRA

Creating and maintaining product timelines, status reports, communication plans, and other product management related documentation

Education

Bachelor’s Degree is preferred but not mandatory requirement."
"Project Manager, Patient Experience","Project Manager, Patient Experience",DaVita Kidney Care,May,2024,"2000 16th Street, Denver, Colorado, 80202, United States of America

At DaVita, we find that our best leaders are those who create an inspiring vision for the future and empowers their team to achieve success. They have always enjoyed tackling difficult problems and believe that the best way to solve them is through collaborative, team efforts. They take ownership of results and instill accountability in those they lead. They are driven, strong communicators, relationship builders, and find real fulfillment in challenging work.

Our growing patient experience team is looking for a passionate, driven individual who can help to transform the ways we care for and communicate with our patients. We are looking to grow our team by adding an Agile project manager to support the delivery of Engagement programs and multi-channel campaigns designed to deliver personalized experiences and improved patient health outcomes while driving business results.

This position works in an Agile environment supporting the Program Manager-- and has responsibility for delivering medium to high complexity projects utilizing the Agile delivery framework. The main scope of work for the Project Manager is to manage and support the Patient 360 team and its partner PODs through discovery, planning, and execution of digital communication campaigns. This includes driving the project and tracking progress via multiple processes including:

Creation/development of project plans and tracking against schedule
Managing risks and issues
Managing creation and tracking of budget
Communicating effectively to IT, Marketing, and business leadership
Appropriate escalation of issues with leadership
Creation of all applicable project artifacts
Managing projects with geographically diverse teams

This leader will have strong project management skills and agile framework experience—seamlessly leaning in to both technical and business acumen—to reimagine how we use technology to communicate, engage and influence patient behaviors across the village. This leader will have excellent interpersonal and communication skills and will need to excel at building relationships quickly in a dynamic organization.

Essential Duties & Responsibilities:

Project management, execution, and oversight:
Facilitates the team to successfully plan and execute deliverables using Agile techniques.
Responsible for managing the overall planning, execution, and delivery of initiatives performed by agile teams
Leads, plans, schedules, tracks, and manages project deliverables, goals, and milestones; adjusts project plans and/or resources to meet changing needs and requirements
Assesses risks and creates strategies for risk mitigation and project contingency planning
Designs and maintains technical and project documentation
Identifies and resolves project issues; ensures appropriate communication to project stakeholders
Creates and executes project work plans and revises as appropriate
Leads/participates in quarterly Program Increment planning sessions
Support cross-team coordination
Manages project scope and the change control process as appropriate
Monitors, reviews, and/or appropriately escalates functional, quality, and timeline issues
Participates in identifying and prioritizing opportunities for P360 campaigns that will drive organizational goals and KPI’s

Reporting, documentation, communication, and results management:
Delivers/coordinates communication with all areas of the enterprise that impact the scope, budget, risk, and resources of the work effort being managed
Provides relevant metrics to gauge team progress with a continual focus on improvement
Provides project forecasting of project duration, project performance to date, overall project cost, priorities, milestones, capacity
Develops financial management plan to ensure projects are correlated to the budgets that fund them, financial information is transparent and budget, actual spend and variance calculations are tracked and communicated
Ensures project plans and all project documents are complete, current, and appropriately stored
Delivers engaging, informative, well-organized presentations
Keeps track of lessons learned during the life of the project and facilitates a discussion/review at the end of project as part of closing the project out

Performs other duties and responsibilities as assigned including but not limited to:
Holds/attends team meetings, phone conferences, and training as needed
Knows, understands, and follows teammate guidelines, employment policies, and department or company procedures
And other duties as assigned

What We’ll Provide:
More than just pay, our DaVita Rewards package connects teammates to what matters most. Teammates are eligible to begin receiving benefits on the first day of the month following or coinciding with one month of continuous employment. Below are some of our benefit offerings.
Comprehensive benefits: Medical, dental, vision, 401(k) match, paid time off, PTO cash out
Support for you and your family: Family resources, EAP counseling sessions, access Headspace®, backup child and elder care, maternity/paternity leave and more
Professional development programs: DaVita offers a variety of programs to help strong performers grow within their career and also offers on-demand virtual leadership and development courses through DaVita’s online training platform StarLearning.

At DaVita, we strive to be a community first and a company second. We want all teammates to experience DaVita as ""a place where I belong."" Our goal is to embed Diversity & Belonging into everything we do in our Village, so that it becomes part of who we are. We are proud to be an equal opportunity workplace and an affirmative action employer. As such, individuals are recruited, hired, assigned and promoted without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, protected veteran status, or any other protected characteristic.

Applications are accepted on an ongoing basis.

Salary/ Wage Range
$68,400.00 - $100,400.00 / year

Compensation for the role will depend on a number of factors, including a candidate’s qualifications, skills, competencies and experience and may fall outside of the range shown. DaVita offers a competitive total rewards package, which includes a 401k match, healthcare coverage and a broad range of other benefits. Learn more at https://careers.davita.com/benefits"
Scrum Master/Jira,Scrum Master/Jira,Steneral Consulting,April,2024,"Job Description

We need: A mid-senior Scrum Master with good experience in Agile transformation and Jira. This position is Hybrid three days a week and commutable from parts of Wilmington, DE. Please try to keep commutes under 1.5 hours. The more certifications the better. **Candidates must have Long Projects/Good Tenure, Excellent communication skills and a State issued ID (Not Bills) showing they are Local.

Need Answers

How many years working with: Scrum Master
How many years working with: Jira
How many years working with: Agile
Driver’s license or State ID showing they are local

The Scrum Master is responsible for empowering delivery teams to effectively deliver business results. A Scrum expert, the Scrum Master leads the team to understand and apply the Scrum Framework and aids the team in eliminating, reducing or avoiding challenges that may prevent effectiveness. Scrum Masters work closely with Product Owners, Delivery Teams, Release Train Engineer, other Scrum Masters and Supporting Teams.

Key Responsibilities

Remove and manage team impediments to enable the team to deliver value
Responsible for ensuring the Development Team adheres to Lean/Agile values, practices, tools and rules
Assists Product Owner with planning, change management and product backlog maintenance
Work with Development Team to estimate and refine all work adhering to Agile Best Practices
Establish cadence and facilitate Scrum ceremonies
Be a voice of reason and authority, while enabling Development Team to self-organize and innovate
Monitors Development Team execution against iteration plan
Work with teams to coordinate cross team dependencies and risks
Enables Development Team to execute iteration planning, iteration demonstrations and retrospectives leading the teams to productive outputs and actions
Ensures Development Team is leveraging standard tools
Actively participates in product planning sessions, risk management processes and change management/communication
Tracks team burn-down throughout Sprint execution and works with team to maximize efficiency
Partners with shared service Scrum Masters such as EDS, EID…
Manage full lifecycle application development or infrastructure projects – establishing project scope, providing status, managing risks/issues, participate in RFP/RFI process, developing and helping Development Team execute against Sprint and Program Increment goals
Ensure Transparency to Teams via Clarity and executive status reporting
Ensure that all representatives have an environment conducive to openly and honestly sharing information for Team success
Be a trusted advisor and mentor to clients and development team members on Agile Methodologies and solution delivery
Communicate clearly, professionally, and regularly with clients, partners and vendors

Needed Skills

Highly collaborative with good conflict resolutions skills
Excellent team player
Strong leadership skill
Great personality and communication skills
Ability to work directly with technical and product teams
Strong command of Scrum framework and Agile values and principles
Experience with end to end software development and delivery process
Knowledge of modern Agile development techniques such as Dev Ops, test driven development, and test automation
Sound problem solving skills
Deep understanding of SDLC, Project Management and Software Delivery
Strong work ethic to help team meet commitments
Demonstrated willingness to be flexible and adaptable to changing priorities
Effective communication skills
Energetic, enthusiastic and a proven ability to work and lead in a team based environment
Moderate technical domain proficiency
Coaching experience a plus

Qualifications

Experience with Agile Methodologies
CSM, SSM or PSM certification required
SASM, CSP, SPS or other advanced certification preferred
Bachelor’s degree in a technical field or equivalent professional experience
Prior experience in software development as an analyst, tester, developer, or project manager"
Project Manager Scrum Master,Project Manager Scrum Master,Charter Global,May,2024,"Job Title: Agile Project Manager/ Scrum Master
Location: WFH/100% remote work in the Central Time Zone.
Duration: 6 months contract, 40 hours per week with potential for extension beyond December.

Notes:
Senior Scrum Master with extensive experience in Agile transformation, specializing in scaling Agile frameworks.
Proficient in Product Area (PA) planning and implementation.
Skilled in Kanban methodology for optimized workflow management.
Experienced in driving process improvements from an Agile perspective, emphasizing efficiency and adaptability.
Familiar with remote work dynamics, particularly in the Central Time Zone, adept at stakeholder management and remote communication.
Capable of leading meetings effectively to drive project progress and alignment.
Safe and Scrum certifications are a must.
Preference for candidates with wealth asset management experience.


Best Regards,
-------
David Roy | Recruitment Manager – US Staffing | Charter Global Inc. | https://www.charterglobal.com
LinkedIn
One Glenlake Parkway | Suite 525 | Atlanta, GA 30328

A CMMI LEVEL 3 COMPANY."
Agile Project Manager,Agile Project Manager,Motion Recruitment,May,2024,"Title: Agile Project Manager- 100% REMOTE
Term: 12-month contract
Location: Remote
Rate: up to $62/hr W2

Job Description
We have an opening for an Agile Project Manager.
Looking for a PM with extensive Agile Project Management with SDLC
Proven experience managing third-party vendors with application builds connecting to multiple systems.
Outstanding ability to manage multiple work streams and cross-functional teams
Executive presence with exceptional interpersonal skills.
Previous experience adhering to governance within Agile sprints

Project scope:
Our client has partnered with 3rd party vendor to build a new UI layer that will sit on top of their two core applications.
This is a high-profile $25 Million project so we are looking for a Project Manager with similar scale projects.
6,000 users will be learning and migrating to this brand new system."
Agile Project Manager/Scrum Master,Agile Project Manager/Scrum Master,Gallup,May,2024,"As an agile project manager at Gallup, you will use your unique talents to turn visionary ideas into powerful, effective technology solutions that positively change the world. In this role, you'll lead large cross-functional software development efforts and facilitate scrum ceremonies (sprint planning, daily stand-ups, sprint demos/reviews and retrospectives) to ensure that deadlines and requirements are met for some of Gallup's most influential and important projects.
You may manage a custom software development project that helps others maximize their potential, or you could be responsible for ensuring flawless delivery of technology that helps leaders build highly engaging workplaces. Maybe you will help us continue building industry-leading websites and platforms where millions interact with the articles, advice, analytics and tools they need to create exceptional workplaces, like ours.
Who we want:
Effective multitaskers who enjoy working in a fast-paced environment and can prioritize urgent requests, balance competing demands and lead technical projects to completion
Strategic communicators whose talent for simplifying complex ideas into realistic next steps motivates people to take action
Confident influencers who have the courage to hold others accountable, stand up for what is right and display confidence to those they lead
Engaging partners who form authentic relationships that empower them to lead long-term collaborations across the organization and deliver successful business outcomes
Problem solvers who value input from various experiences, seek information to keep the team on track and voice opinions on the most effective way forward
What you need:
Bachelor’s degree or equivalent experience in a computer science, management information systems, business or related field required
Three years of professional experience working as a scrum master or technical project manager with large-scale web applications required
Direct experience working in an environment where technology and business intersect required
Experience working within an iterative development environment (e.g., Agile, Scrum, Kanban) required
Knowledge of Jira/confluence is a plus
Ability to work at Gallup’s Omaha Riverfront campus at least three days per week required
Eligibility to work in the United States required; this position is not eligible for employment visa sponsorship
What we offer:
We create exceptional workplaces, starting with our own. We focus on developing your strengths — what you do right, rather than what you do wrong — and helping you be engaged at work. When you work at Gallup, you’ll benefit from:
A strengths-based, engagement-focused and performance-oriented culture ­
The opportunity to work in a flexible and hybrid work environment that allows you to work remotely two days per week
A global, diverse and inclusive workplace culture that is committed to fostering belonging and wellbeing
A collaborative work environment with world-class managers and highly tenured mentors who guide and empower associates based on their unique skills and strengths
Continuous learning and development opportunities and purposeful career growth tailored to your unique talents
Mission-driven work that changes the lives of people around the world
An on-site cafeteria, fitness center, federal credit union and state-of-the-art child development center, all on a beautiful downtown Omaha campus along the Missouri River
At Gallup, we offer a robust benefits package including medical, dental and vision insurance options; a 401(k) retirement and savings plan with company matching; and an employee stock ownership program. We also offer an estimated salary range of $80K-$110K for this role. Salaries are based on a variety of factors including an individual's education, experience and skills. Certain roles are also eligible for bonuses.
Gallup is an equal opportunity/affirmative action employer that celebrates, supports and promotes diversity and inclusion. We will consider all qualified applicants without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation or gender identity, or any other legally protected basis, in accordance with applicable law."
