Position,Company_Name,Location,Post_Month,Post_Year,Details
Business Analyst,Business Analyst,ZARA USA,April,2024,"ZARA IS LOOKING FOR A BUSINESS ANALYST BASED IN NEW YORK.

Started in 1975 in Spain, ZARA today is an internationally known fashion retailer represented in over 88 countries around the world. Our company requires professionalism, imagination, high energy and team spirit. ZARA will give you the means to excel. ZARA will put you into the heart of the action and the heart of its growth.

BUSINESS ANALYST

Based in our NYC Corporate Office (not remote)

Detects opportunities and provides a strategic vision for the future, based on 360° business analysis and generating a collaborative environment focused on a common objective.

KEY RESPONSABILITIES:

Detailed execution of analysis, detection of challenges and opportunities of the business.
Detailed sales analysis (by buyer and subfamily), revision of commercial actions.
Analysis of operational product moves (product flow, product movements).
Monitoring productivities and hours in region, taking into account budget and workload measures.
Monitors productivity in collaboration with the Operations Managers to propose improvements.
Cross-sectional analysis of the business map from a commercial point of view, relying on the operational HR and financial part.
P&L revision and follow up at a store and regional level.
Proactively proposes actions in order to improve profit and control spendings.
Proactivity in the analysis and contribution of valuable synthesized information for business management.
Use of the tools provided by the company and HQ (Store Map, Cuenta Gestion, ITX stock, Money Mapping, Orquest, A3, etc).
Decision making capacity providing clear information to the Regional Managing Director.
Training of the regional teams in new analysis tools, work methodologies, and business visions.
Participation in the implementation and follow-up of projects.
Analyze refurbishments of stores, new store openings and closings.
Follows up on actions agreed upon with all managers.
Is in constant contact with the country's Business Analyst.
Competitor analysis

PERSONAL PROFILE:

Min. 2-years’ experience in Retail (preferably in Commercial or Management role)
Bachelor degree in Finance/Accounting will be a plus
Proficiency in Ms Excel (ideal candidates should be familiar with macros)
Practical knowledge of PowerBi will be a plus
Proficient user of other Microsoft Office programs: Word, PowerPoint...
Ability to execute daily tasks and meet deadlines.
Global Vision- Link between the three key parts of the business, product, operations, and people
A leader, capable of influencing and guiding towards the objective goal
Analytical Capacity - Structured and organized
Strategy- Anticipate with wide-ranging strategic projects in the medium and long term.
Proactive- Critical spirit with its own concerns, proposing new ideas for improvement
Good communications skills
Understanding of the retail market in the country


Annual compensation range: $103,000 - $111,500 + discretionary annual bonus


* Zara, in good faith, believes that this posted rate of compensation is the accurate range for this role at this location at the time of this posting. This range may be modified in the future. Actual compensation within that range will be dependent upon the individual’s skills, experience, qualifications, and applicable laws.

Our company requires professionalism, imagination, high energy and team spirit. Sounds like you? THEN, APPLY NOW ONLINE TODAY!

Zara USA, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, gender, gender identity and expression, sex, sexual orientation, disability, age, citizenship status, veteran status or any other characteristic protected by applicable federal, state or local laws.

JOIN US NOW!

EOE/DFW"
Business Analyst,Business Analyst,Amare Global,May,2024,"Amare is looking for a Business Analyst to join our Finance team. This person will leverage data and analytical tools to support senior leadership by extracting valuable insights and making data-driven decisions for an organization. This role specializes in business analytics services such as business intelligence, market and customer research and analysis, and dashboard creation for business units and integrated services groups as well as plays a critical role in extracting value from data, optimizing business processes, and driving competitive advantage through advanced analytical techniques. This person will report to our Sr. Director of Commissions.

Responsibilities

Develops predictive models to forecast future trends, behaviors, or outcomes based on historical data
Understands the decision-making process, workflows, and business and information needs of business executives
Translates business needs into analytics/reporting requirements to support executive decisions and workflows with required information.
Coordinates with knowledge workers to understand their information needs and identifies ways to visualize and present information in a user-friendly manner
Works with key business partners to understand business priorities, identify strategic initiatives, and develop effective and timely analytic solutions.
Proactively mines data warehouses to identify trends and patterns and generates insights for business units and senior leadership.
Supports user experience specialists and information architects to enhance information visualization through the development of dashboards and user interfaces.
Works closely with information managers, architects, and business units for knowledge sharing, mentoring, and training.
Develops analytical strategies to solve business problems by understanding the business problem, identifying relevant data, gathering and summarizing data meaningfully, and applying appropriate statistical analysis.
Transforms complex data into easy-to-follow reporting through graphing, charts, and dashboards.
Reviews existing analytic processes to identify best practices and opportunities for improvement


Requirements

Skills & Requirements

Experience working in Direct Sales/MLM industry is *required* for this role.
Bachelor's degree in data science, computer science, management information systems, finance, statistics (or related field)
At least five years of experience as a data analyst, business intelligence analyst, market research analyst, financial analyst, statistician or equivalent role.
Experience collaborating with cross-functional teams, including executives, managers, and marketing professionals, to provide data-driven insights and recommendations that support strategic decision-making processes
Experience with consumer-level data for the purposes of analysis, reporting, or marketing.
Demonstrated experience in the creation of reports, dashboards, and data visualizations for the effective communication of insights and findings to a variety of internal and external stakeholders.
Substantial experience with relational customer databases and query tools.
Strong ability to extract, manipulate, visualize, and model large datasets.
High understanding of analytic tools (SQL, T-SQL, PL/SQL). Programming languages (Python, R, JavaScript) are helpful, but not required.
Ability to perform functional requirements analysis and business domain analysis.
Strong communication, summarization, and presentation skills between diverse departments with varying technical knowledge.
Ability to identify patterns, correlations, and trends from data that can provide insights into business operations, customer behavior, or market dynamics.
Willingness and ability to stay up to date with the latest trends, techniques, and tools in data analysis, machine learning, and business intelligence.
Proven leadership of business intelligence and analytic initiatives in a fast-paced, multiple-project environment
Hands-on knowledge of statistical methods and techniques such as predictive modeling, segmentation, and regression
Ability to collaborate and excel in complex, cross-functional teams involving data scientists, business analysts, and stakeholders
Strong influential skills with the ability to glean insights and translate them into business recommendations for senior management.


Pay range:

$70,000 - $100,000 annual salary

Benefits

Medical, Dental, Vision
401k with match
Company-sponsored income protection
Flexible Spending Accounts
Health Savings Account
Voluntary Benefits
3 Weeks Paid Time off
Paid Holidays"
Business Analyst,Business Analyst,Mondrian Alpha,May,2024,"This position sits in the systematic trading arm of a very successful, large, multi strat fund. We're looking for a business analyst with a variety of experience to join a pod structured office and support a range of teams and portfolio managers. Here you'd be working to help onboard new PM's and products along with utilising python and SQL to improve efficiency of existing processes.

The ideal candidate will have a technical background, strong communication skills and a good understanding of e-trading systems. We're looking for experience in launching new PM teams into production, designing PM research and trading solutions along with providing day-to-day support for various operational procedures."
Business Analyst - Private Capital,Business Analyst - Private Capital,McKinsey & Company,May,2024,"Qualifications

Undergraduate or master’s degree or 1+ years of work experience after completing your undergraduate degree
Outstanding record of academic achievement
Demonstrated experience or strong interest in the investing industry, with a basic understanding of industry functioning, drivers, or key players based on work experience, internships, or your studies
Proven record of leadership in a work setting and/or through extracurricular activities
Exceptional analytical and quantitative problem-solving skills
Demonstrated aptitude for analytics
Ability to work collaboratively in a team environment
Ability to work effectively with people at all levels in an organization
Ability to communicate complex ideas effectively – both verbally and in writing – in English and the local office language(s)

What You'll Do

You will work in teams of typically 3–5 consultants, playing an active role in all aspects of the client engagement.

This includes gathering and analyzing information, formulating and testing hypotheses, and developing and communicating recommendations to leadership. As a Business Analyst within Private Capital, your work will involve conducting extensive due diligence work, which may include collecting historical deal-related information, developing and executing a comprehensive work plan, reviewing contracts and policies, analyzing data, identifying risks, conducting competitor analysis, financial analysis, and valuation, and gathering a comprehensive set of data.

During your first few years with the firm, you will consult on multiple client engagements and work with a number of colleagues and investor clients in a range of industries.

When you join McKinsey, you are joining a firm that will invest in your professional development. As a Private Capital Business Analyst, you will

Structure ambiguous problems and take action to solve them;
Synthesize clear takeaways from complex information into clear takeaways and recommendations using both qualitative and quantitative methods;
Work effectively with diverse teams to come up with the best solution and move people and organizations to act;
Establish trust-based relationships with clients to better serve their organizations;
Communicate effectively with all audiences, including senior leaders, in a structured manner;
Develop your leadership style, leveraging your own experiences, strengths, and personal values.

McKinsey believes in strengths-based development and coaching, and you’ll receive frequent mentoring from colleagues. This will include a senior colleague from your office or practice who will help you grow and achieve your career goals. Additionally, you will have a professional development manager who manages your staffing based on your priorities as well as the needs of client service teams.

Who You'll Work With

You will join our Private Capital practice in our New York office to work in teams and directly with our clients to help solve some of their most difficult problems. You will also work with a range of experts in the firm, from data scientists and researchers to software and app designers.

McKinsey’s Private Capital practice is the world’s leading advisor to the Private Equity and Principal Investor industry. We work with investors of all types Private Equity firms, distressed debt/credit investors, real estate, and infrastructure firms, as well as the institutional investors these alternative investment managers serve, including pensions, sovereign wealth funds, family offices, and endowments. We serve these clients across the deal cycle, assisting with deal identification, due diligence, and portfolio company operational improvements, as well as on firm-level topics including strategy, governance, and operations."
"Business Analyst, Business Operations","Business Analyst, Business Operations",Natera,April,2024,"Position Summary

The Business Analyst is responsible for analyzing internal billing and payment data to identify trends in reimbursement at national, regional and territory level. The position is responsible for various analysis required on a regular basis from other teams in the organization.

Primary Responsibilities

Supports Finance, Billing, Market Access, Product and Marketing teams on projects by preparing ad-hoc analysis and presentations as required.
Performs a wide range of analytics functions in a fast-paced team environment using tools such as Excel other business intelligence tools.
Analyzes Payer contract compliance and trends.
Identifies opportunities for process improvements.
Designs and executes improvement projects.
Conducts complex data analysis and data interpretation
Meets established deadlines timely, accurately, and with a sense of urgency.
Performs other duties as assigned.
This role works with PHI on a regular basis both in paper and electronic form and have an access to various technologies to access PHI (paper and electronic) in order to perform the job.
Employee must complete training relating to HIPAA/PHI privacy, General Policies and Procedure Compliance training and security training as soon as possible but not later than the first 30 days of hire.
Must maintain a current status on Natera training requirements.

Qualifications

Bachelor’s Degree in business, economics, related field, or equivalent required.
Minimum of 2 years of experience working in business administration, information systems, health sciences, insurance company or healthcare billing organization.

Knowledge, Skills, And Abilities

Advanced proficiency with quantitative software programs (Microsoft Excel, Google Sheets).
Basic SQL knowledge is required. Billing systems experience a plus.
Experience with BI tools, such as Business Objects or Hyperion preferred. Ability to define problems, collect and reconcile data, validate data against source information.
Motivated, shows initiative, and ability to work in fast paced environment.
Drive for Results (Service, Quality, and Continuous Improvement).
Commitment to the successful achievement of team and organizational goals. Demonstrate a focus on listening to and understanding client/customer needs and then delighting the client/customer by exceeding service and quality expectations.

The pay range is listed and actual compensation packages are based on a wide array of factors unique to each candidate, including but not limited to skill set, years & depth of experience, certifications and specific office location. This may differ in other locations due to cost of labor considerations.

Remote USA

$85,100—$106,400 USD

OUR OPPORTUNITY

Natera™ is a global leader in cell-free DNA (cfDNA) testing, dedicated to oncology, women’s health, and organ health. Our aim is to make personalized genetic testing and diagnostics part of the standard of care to protect health and enable earlier and more targeted interventions that lead to longer, healthier lives.

The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many other professionals from world-class institutions, who care deeply for our work and each other. When you join Natera, you’ll work hard and grow quickly. Working alongside the elite of the industry, you’ll be stretched and challenged, and take pride in being part of a company that is changing the landscape of genetic disease management.

What We Offer

Competitive Benefits - Employee benefits include comprehensive medical, dental, vision, life and disability plans for eligible employees and their dependents. Additionally, Natera employees and their immediate families receive free testing in addition to fertility care benefits. Other benefits include pregnancy and baby bonding leave, 401k benefits, commuter benefits and much more. We also offer a generous employee referral program!

For more information, visit www.natera.com.

Natera is proud to be an Equal Opportunity Employer. We are committed to ensuring a diverse and inclusive workplace environment, and welcome people of different backgrounds, experiences, abilities and perspectives. Inclusive collaboration benefits our employees, our community and our patients, and is critical to our mission of changing the management of disease worldwide.

All qualified applicants are encouraged to apply, and will be considered without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, veteran status, disability or any other legally protected status. We also consider qualified applicants regardless of criminal histories, consistent with applicable laws.

If you are based in California, we encourage you to read this important information for California residents.

Link: https://www.natera.com/notice-of-data-collection-california-residents/

Please be advised that Natera will reach out to candidates with a @natera.com email domain ONLY. Email communications from all other domain names are not from Natera or its employees and are fraudulent. Natera does not request interviews via text messages and does not ask for personal information until a candidate has engaged with the company and has spoken to a recruiter and the hiring team. Natera takes cyber crimes seriously, and will collaborate with law enforcement authorities to prosecute any related cyber crimes.

For More Information

BBB announcement on job scams
FBI Cyber Crime resource page"
Business Analyst,Business Analyst,Unissant,April,2024,"Unissant, Inc. is an innovative solutions development and consulting company committed to delivering simplicity through innovation. We meet this commitment by delivering state-of-the-art enterprise computing and processing solutions to both government and commercial clients. Our workforce continually strives to advance (y)our collective intellect through collaborative fortitude, and we are looking for further talent to join that effort! To learn more about our exciting organization, please visit us at www.unissant.com
We are seeking a Business Analyst to join our team in Alexandria, VA.
Essential Duties and Responsibilities:
Drive awareness of requirements across business units and identify substandard systems processes through evaluation of real-time data for a PeopleSoft HCM application.
Supporting external customers with functional application support.
Organize and run change control boards meetings, document change requests, and maintain associated documentation.
Serve as thought leader for technical business processes, developing systems prototypes that promote increased efficiency and productivity on multiple levels.
Create and implement precise management plans for every project, with attention to transparent communication at all levels.
Perform, evaluate, and communicate thorough quality assurance at every stage of systems development.
Determine and develop user requirements for systems in production, to ensure maximum usability.
Partner with stakeholders to develop analyses and documentation in a collaborative way, communicating effectively and efficiently with production, managerial, and executive teams.
Evaluate, analyze, and communicate systems requirements on a continuing basis, and maintain systems processes, including the delivery of monthly status reports to all appropriate parties.
Author and update internal and external documentation, and formally initiate and deliver requirements and documentation.
Develop meaningful and lasting relationships with partners for optimized systems integration and respond to questions and concerns from managers and executives with supporting research and recommendations.
Create and maintain program documentation.
Work Experience:
Experience in generating process documentation and reports.
High proficiency in technical writing.
DOD experience is a plus.
Job Skills:
Excellent communication skills, with an ability to translate data into actionable insights.
Strong working knowledge of relevant Microsoft applications, including Visio.
Education:
Bachelor's Degree is required.
Certificates, Licenses and Registrations:
Maintains T5 Security Background Investigation, in order to obtain IT Level I access and possess DOD Security Clearance of SECRET or higher.
Communication Skills:
Solid ability to interface, inspire and motivate at various levels of the organization.
Ability to convey technical information to non-technical individuals.
Demonstrated experience communicating effectively across internal and external organizations.
Travel:
Onsite position in Alexandria, VA
Environmental Requirements:
Mainly sedentary; in an office environment
May be required to lift up to ten (10) pounds.
Flexible in working extended hours.

The above statements are intended to describe the general nature and level of work being performed by the individual(s) assigned to this position. They are not intended to be an exhaustive list of all duties, responsibilities, and skills required. Unissant management reserves the right to modify, add, or remove duties and to assign other duties as necessary. In addition, where applicable and available, reasonable accommodation(s) may be made to enable individuals with disabilities to perform essential functions of this position.
Please note: Candidate(s) will be required to go through pre-employment screening.
Unissant Inc. is a proud Equal Opportunity Employer! (EOE; M/F/Disability/Vets)"
Business Analyst,Business Analyst,Accroid Inc,February,2024,"Remote

Business Analyst

12+ Months

Query data from multiple different data sources and data sources within digital core
Create summary data profiling reports
Compare data sets from different sources and provide insights to drive decision making
Suggest and execute vendor records to be harmonized based on data from various sources
Suggest and execute data conversion strategies for migration of decentralized vendor data to common platform
Support development and implementation of vendor data quality strategy
Drive discussion with business functions on data remediation strategy"
Business Analyst,Business Analyst,LTIMindtree,May,2024,"About US:
LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 750 clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.

Job Title: Business Analyst

Work Location
Plano, TX(3 Days Onsite)

Job Description:

Experience in banking domain in areas like (Credit Risk part, Asset classes, Derivates, put and call, Margins, Prime brokerage, CUSIP’s, Derivatives)
Experience in Data Migration Projects using ETL tools (preferably Informatica) - with ability to support analysis of AS-IS and TO- BE data flow and data mapping activity .
Able to understand long and complex SQL queries and modify it to suite the business needs
Advance level of MS Excel expertise e.g. with vlookups, hlookups, Index/match
Exposure to Power BI is a plus
Work on multiple and diverse projects across the Risk and Data services team, delivering technical specifications and working together with other teams.
Requirement Gathering , collaborating with different application teams.
Ability to work in Agile model, updating the Epic with the details and supporting team in story breakdown.
Supporting business users during User acceptance testing

Benefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):

Benefits and Perks:
Comprehensive Medical Plan Covering Medical, Dental, Vision
Short Term and Long-Term Disability Coverage
401(k) Plan with Company match
Life Insurance
Vacation Time, Sick Leave, Paid Holidays
Paid Paternity and Maternity Leave

The range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.
Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.

LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.

Safe return to office:
In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes."
Business Analyst,Business Analyst,Carnival Cruise Line,March,2024,"Job ID 7930 Location Miami Date posted 03/05/2024 Work Style Hybrid

Job Description

The role of the Business Analyst is to analyze business processes and research industry trends, and to report findings. The position also involves gathering requirements for system enhancements from the various department user groups. Based on the information gathered, the business analyst prepares recommendations for process improvements or system solutions and presents these to the leadership team for review.

Essential Functions:

Identifies deficiencies with business processes, automation tools, and products and services offered.
Gathers, analyzes and organizes information, including competitive information, which will assist the leadership team in identifying business opportunities. Creates and distributes performance and operational reports.
Researches and tracks industry developments, competitive trends and best practices in an effort to present analysis on marketing opportunities and solutions to business challenges.
Works with business users to define system enhancements and ensure that operational or application modifications, inherent from proposed system changes, are acceptable and do not impair the operation prior to any development.
Develops fact-based feasibility analysis from quantitative metrics and prepares presentations which include recommendations on potential improvements.


Qualifications:

Associates degree in Business, Finance or related
Bachelor’s degree preferred
2 years of business or financial analysis required. Travel industry experience preferred.
Hyperion, Tableau or similar reporting tool. Proficiency with Microsoft Office tools.
Analytical skills.


Knowledge, Skills and Abilities:

Excellent verbal and written communication skills. Self-motivated, with ability to work independently and collaborating with others.


Physical Demands: Must be able to remain in a stationary position at a desk and/or computer for extended periods of time. Requires regular movement throughout CCL facilities.

Travel: Less than 25% with shipboard travel likely

Work Conditions: Work primarily in a climate controlled environment with minimal safety/health hazard potential. May be requested to work a different shift.

The range for this role’s base salary is $51,600 - $75,300. Offers to selected candidates will be made on a fair and equitable basis, taking into account specific job-related skills and experience.

At Carnival, your total rewards package is much more than your base salary. All non-sales roles participate in an annual cash bonus program, while sales roles have an incentive plan. Director and above roles may also be eligible to participate in Carnival’s discretionary equity incentive plan. Plus, Carnival provides comprehensive and innovative benefits to meet your needs, including:

Health Benefits:
Cost-effective medical, dental and vision plans
Employee Assistance Program and other mental health resources
Additional programs include company paid term life insurance and disability coverage
Financial Benefits:
401(k) plan that includes a company match
Employee Stock Purchase plan
Paid Time Off
Holidays – All full-time and part-time with benefits employees receive days off for 7 company-wide holidays, plus an additional floating holiday to be taken at the employee’s discretion.
Vacation Time – All full-time employees at the manager and below level start with 14 days/year; director and above level start with 19 days/year. Part-time with benefits employees receive time off based on the number of hours they work, with a minimum of 84 hours/year. All employees gain additional vacation time with further tenure.
Sick Time – All full-time employees receive 80 hours of sick time each year. Part-time with benefits employees receive time off based on the number of hours they work, with a minimum of 60 hours each year.
Other Benefits
Complementary stand-by cruises, employee discounts on confirmed cruises, plus special rates for family and friends
Personal and professional learning and development resources including tuition reimbursement
On-site preschool program and wellness center at our Miami campus


About Us

In addition to other duties/functions, this position requires full commitment and support for promoting ethical and compliant culture. More specifically, this position requires integrity, honesty, and respectful treatment of others, as well as a willingness to speak up when they see misconduct or have concerns.

Carnival Cruise Line is the most popular cruise brand in North America and operates a fleet of ships designed to foster exceptionally safe, fun and memorable vacation experiences at an outstanding value. Our employees have a responsibility to be accountable for all actions. We consider the environment in all aspects of our business and have a responsibility to put safety and sustainability first. We live and share a positive attitude which is based on fostering an environment of inclusion, trust, a willingness to listen, openness and integrity. Doing this helps us to achieve our ultimate goal, which is to include FUN in everything we do! Speaking of fun, we are officially certified as a Great Place to Work aboard our ships as well as in our global corporate headquarters!

Carnival Corporation & plc and Carnival Cruise Line is an equal employment opportunity/affirmative action employer. In this regard, it does not discriminate against any qualified individual on the basis of sex, race, color, national origin, religion, sexual orientation, age, marital status, mental, physical orsensory disability, or any other classification protected by applicable local, state, federal, and/or international law."
100% REMOTE: Business Analyst,100% REMOTE: Business Analyst,Stellar Professionals,April,2024,"Applicant must have 5 years of relevant experience with the following:

Business analysis experience in a structured software development environment
Quality assurance tester experience in a structured software development environment
Excellent understanding of the software development life cycle
Understand and document technical/functional IT requirements
Understand and test technical/functional IT requirements
Experience with integration of applications to outside internal or external applications
Bachelor's Degree
Salesforce Certified Business Analyst
OmniStudio Developer Certification
OmniStudio Consultant Certification
Salesforce Certified Integration Architect
Salesforce Certified Application Architect
Salesforce Certified Data Architecture and Management Designer"
