Position,Company_Name,Location,Post_Month,Post_Year,Details
Sanctions Compliance Analyst,Sanctions Compliance Analyst,BBVA,May,2024,"General Summary:

The Sanctions Analyst is responsible for supporting the BBVA New York Branch’s Sanctions
Program and will directly report to the Sanctions Program Manager. The individual will perform
daily Sanctions screening activities to ensure transactions and parties are screened in
accordance with the BBVA New York Branch’s Sanctions program thoroughly and within the
timeframes required by the regulators and internal policy.


Primary Duties and Responsibilities:
● Responsible for the live monitoring of payments and messages via the banks OFAC filtering system to ensure all transactions are in compliance with OFAC regulations and AML policies.
● Block, reject, and report transactions to OFAC as needed.
● Perform quality assurance testing for payments, messages, and OFAC stripping reviews for potential manipulation of transaction details.
● Perform quality assurance checks and validations of OFAC filtering systems to ensure
systems are compliant per periodic release of OFAC SDN updates.
● Review escalations from the Client Onboarding team pertaining to new and existing
Counterparty relationships with respect to potential OFAC hits, negative news, and PEP hits.
● Provide guidance and advisory on OFAC matters to other associates/analysts within the group and other business units.
● Develop and deliver Sanctions related training as needed.
● Update OFAC logs and other items as needed.
● Participate in user acceptance testing of new tools to measure the systems efficiency prior to production.
● Participate in Ad-hoc management requests with relation to Global Sanctions.
● Stay abreast with new laws and regulations that involve Global Sanctions Compliance.
● Other duties assigned by management, including supporting other BSA Department areas as needs arise (e.g., Investigate alerted transactions for AML/Sanctions risks and provide guidance on SAR filings as needed.)


Qualifications/ Skills:

● Bachelor’s Degree required. Knowledge of BSA/AML and OFAC rules and regulations.
● Must have at least 2+ years of Sanctions related experience.
● Must be a team player for real-time coverage of functions on a consistent basis.
● Must be able to interface with Senior Management and exhibit a high level of professionalism.
● Experience in conducting complex investigations/escalations and performing research using resources such as LexisNexis and World-Check.
● Will be expected to prepare reports, utilize and leverage tools such as Excel, Word, PowerPoint, etc.
● Ability to work together with other teams and departments to complete tasks as needed.
● Ability to follow internal policies and procedures.
● Oral, written, and analytical abilities are crucial.
● Must be a motivated self-starter willing and be able to learn and hone new skill sets, be detail oriented, and work under pressure with multiple deadlines.
● Active Certified Anti-Money Laundering Specialist (CAMS) designation (preferred) or ability to acquire within 180 days of hire.
● Ability to read, write, and speak Spanish is highly desirable.
● Expected daily work schedule is 9:00 AM to 6:00 PM with occasional flexible hours as needed by management.



With respect to this position in our New York Office, the expected base salary ranges from $90,000-$100,000. It is not typical for offers to be made at or near the top of the range. Salary offers are based on a wide range of factors including relevant skills, training, experience, education, and, where applicable, certifications obtained. Market and organizational factors are also considered. In addition to salary and a generous employee benefits package, successful candidates are eligible to receive a discretionary bonus.


Employment eligibility to work with BBVA in the U.S. is required as the company will not pursue visa sponsorship for these positions


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.



NOTE: THIS POSTING IS FOR INDICATION OF INTEREST ONLY. PLEASE VISIT THE BBVA CAREERS PAGE FOR MOST UP TO DATE POSTINGS."
Compliance Analyst,Compliance Analyst,BBVA,April,2024,"Compliance Analyst


Job Description

Assist team with the implementation of an effective compliance program identifying and prioritizing compliance and regulatory risk associated with insider trading and information barriers.
Assist in maintaining the Firm’s information barriers and conduct surveillance of activities in relation to the Firm’s Watch and Restricted Lists.
Assist in performing annual information barrier review of NY office separate areas.
Perform alert reviews for trade surveillance related to the Controls Room’s personal trading rules through MCO and internal ISC platform, as they relate to market manipulation and insider trading.
Perform Inside / Confidential Project initiation through the ISC tool to prevent the flow of Inside Information between the different business areas and to allow for better monitoring of personal trade activity.
Daily review and resolve of MCO business rules (Holding Period, De Minimis - Single Day, De Minimis - Multi Day, IPO, Insider Trading, Trading Frequency, Front Running, Watch List, Restricted List) and additional ISC alerts (Pre-approval).
Investigate personal trading violations and escalate as needed, including formal written communications to employees, management, and T&C.
Assist on the investigation and resolution of matters that require additional review and escalate as needed.
Review and approve personal preclearance requests through the ISC Tool.
Provide advisory services to business team members concerning their personal trading activities and the Control Room’s personal trading rules.
Maintain employee brokerage accounts in both MCO and ISC platforms and perform daily reconciliation of employee trades between platforms.
Assist with the licensing & registration of FINRA Registered Reps.
FINRA Form U4 filings, including opening exam windows, changing employee addresses, disclosures, etc.
FINRA Form U5 filings for terminated employees, including physical mailings.
FINRA Non-Registered Filings & Amendments for non-licensed staff, including fingerprinting requirements.
Collaboration with T&C and Legal when a U5 needs to be filed with a reasoning for involuntary termination.
Receive and process FINRA disclosure review letters.
Order STC FINRA Exam Study Material and track reps studying progress and scores if needed.
Form BD Amendments and storage of notarized filings.
Assist with new hire orientation, including CRD Authorization Form, BIG (Business Information Group) Fingerprinting, Outside Business Activity (OBA) Disclosure, Private Securities Transaction Disclosure, etc.
Assist with annual / ongoing OBA & Private Securities Approvals.
Develop and administer Compliance training as needed, including annual FINRA Firm Element and Control Room training through RegEd, FINRA Regulatory Element Training, etc.
Perform annual background checks of all BBVA Securities Inc. (“BSI”) registered reps through BIG.
Assist in TPRM & Procurement meetings and Aravo & WorkDay tasks with/for relevant vendors and regulators: MCO, BIG, Securities Training Corp, Knopman Marks, Docupace, RegEd, FINRA, etc.
Assist in development of policies, procedures, operating instructions, and guidelines, including BSI’s adhesion to these.
Back up to NICE Actimize Trade Surveillance System.


Experience & Skill Requirements

Bachelor’s degree in an applicable major field of study required or equivalent relevant experience.
Good understanding of information barrier regulations and industry standards relevant to the functions of the Control Room as well as FINRA Licensing & Registration Rules.
Competency in Excel and G Suite (Google Workspace tools including Drive, Docs, Sheets, Forms). Experience with Queries, Lookups and Importrange functions is a plus.
Project management skills.
Preferred bilingual Spanish / English.



With respect to this position in our New York Office, the expected base salary ranges from $90,000 -$100,000. It is not typical for offers to be made at or near the top of the range. Salary offers are based on a wide range of factors including relevant skills, training, experience, education, and, where applicable, certifications obtained. Market and organizational factors are also considered. In addition to salary and a generous employee benefits package, successful candidates are eligible to receive a discretionary bonus.

Employment eligibility to work with BBVA in the U.S. is required as the company will not pursue visa sponsorship for these positions

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

NOTE: THIS POSTING IS FOR INDICATION OF INTEREST ONLY. PLEASE VISIT THE BBVA CAREERS PAGE FOR MOST UP TO DATE POSTINGS."
Compliance Analyst,Compliance Analyst,Atlantic Group,April,2024,"Location: NYC - Hybrid
Compensation: $70k-$90k base + discretionary bonus

Job Summary:
The Compliance Analyst is responsible for a variety of tasks in support of the Compliance Department’s general operations to maintain and enhance the general compliance program and ensure compliance with SEC, FINRA and other applicable rules and regulations. The individual will be expected to collaborate with colleagues in New York and other offices and liaise with other departments and entities.

Duties and Responsibilities:
Support Chief Compliance Officer and Compliance Team in administering firm’s compliance program
Assist with employee certifications, affirmations & questionnaires, and FINRA registrations
Distribute and review periodic affirmations and other required acknowledgements, as needed, for compliance with firm policies and procedures
Assist in creation, enhancement, and maintenance of policy related documents, which include policies, standards and procedures, and maintain an up-to-date listing of such documents
Assist in document gathering and provide support during periodic regulatory exams and internal audits
Assist in interpreting regulatory developments and their impact on systems and controls
Provide support on other regulatory and control related matters and other ad-hoc assignments and projects as assigned by management
This job has no supervisory responsibilities

Qualifications:
Bachelor’s degree required
1-3 years of work experience in governance, risk and/or compliance, preferably in a financial institution or bank
High degree of professional integrity, judgment, and discretion
Strong work ethic, initiative, and a proactive approach; ability to manage multiple tasks, prioritize effectively, meet deadlines, and deliver high-quality, error-free work in a fast-paced environment
Strong verbal and written communication skills
Excellent relationship building and project management skills
Expertise in Microsoft suite of applications and ability to learn new software
applications

#37838"
AML Sanctions,AML Sanctions,Artius Solutions,May,2024,"Job Title: Compliance Analyst (AML Sanctions Focus)

Job Description

We are seeking a highly skilled Compliance Analyst with specialized expertise in Anti-Money Laundering sanctions to join our team. The ideal candidate will possess a comprehensive understanding of AML regulations, particularly in relation to sanctions screening processes and OFAC sanctions requirements.

Responsibilities

Conduct thorough sanctions screening processes in compliance with regulatory standards and organizational policies.
Maintain up-to-date knowledge of OFAC sanctions requirements and ensure adherence to relevant guidelines.
Implement and oversee Customer Identification Program (CIP) onboarding processes with a strong focus on Know Your Customer (KYC), Customer Due Diligence (CDD), and Enhanced Due Diligence (EDD) procedures.
Analyze and assess diverse customer types to ensure compliance with AML regulations and mitigate potential risks.
Collaborate with internal stakeholders to enhance compliance measures and mitigate risks effectively.
Stay informed about industry trends, regulatory changes, and best practices in AML sanctions to continuously improve processes and procedures.

Qualifications

Bachelor's degree in Finance, Business Administration, or related field.
Minimum of 5 years of experience in AML compliance, with a specific focus on sanctions screening.
Strong understanding of AML regulations and OFAC sanctions requirements.
Experience with CIP onboarding processes, KYC, and CDD/EDD procedures across various customer types.
Excellent analytical skills with the ability to interpret complex regulatory requirements and apply them effectively.
Effective communication and collaboration skills to work with cross-functional teams.
Attention to detail and ability to work efficiently in a fast-paced environment.
Relevant certifications (e.g., CAMS) are a plus."
"AML Governance, Senior Compliance Specialist","AML Governance, Senior Compliance Specialist",SoFi,May,2024,"Employee Applicant Privacy Notice

Who we are:

Shape a brighter financial future with us.

Together with our members, we’re changing the way people think about and interact with personal finance.

We’re a next-generation financial services company and national bank using innovative, mobile-first technology to help our millions of members reach their goals. The industry is going through an unprecedented transformation, and we’re at the forefront. We’re proud to come to work every day knowing that what we do has a direct impact on people’s lives, with our core values guiding us every step of the way. Join us to invest in yourself, your career, and the financial world.

The role:

The AML Governance, Senior Compliance Specialist role will be responsible for the coordination of governance related deliverables, including but not limited to the creation of executive-level presentations for the AML Oversight Committee, Board meetings, and regulator overviews. This role will coordinate the review and approval of AML-related policies, procedures, and committee minutes. Additionally, this role will serve as a key contributor to the AML and Sanctions risk assessment process, including assisting the Risk Assessment Officer by coordinating with cross-functional business leaders to collect requisite data, configuring risk assessment systems, inputting and analyzing responses and results, and tracking action items and deliverables that derive from the assessment.

What you’ll do:


Coordinate and complete quality control reviews of periodic committee materials, including but not limited to quarterly AML Oversight Committee and Board materials.
Coordinate policy updates across the AML Department and ensure policies are reviewed and presented to applicable committees as required.
Collect and analyze business data and controls for the annual Risk Assessment and other risk assessment activities throughout the year.
Review and update the Risk Assessment framework by configuring the risk rating tool and ensuring that the Methodology document is updated to align.
Monitor for and maintain policy exceptions and ensure exceptions are presented to appropriate committees on a timely basis.
Draft new policies and updates to existing policies as necessary.
Coordinate materials for regulatory presentations (e.g. overviews of AML Departments, process flows, periodic updates, etc.).
Monitor new policies and policy changes across Legal, Compliance, and the Enterprise, where appropriate, to ensure compliance.
Establish a framework to review policies on a standard cadence across various SoFi entities.
Assist in regulatory exams, internal audits, and third-party risk management reviews as it pertains to documenting and providing governance-related materials.


What you’ll need:


Bachelor’s Degree or Master’s Degree in Finance, Business, Management, or other relevant areas.
6+ years of experience in the financial services industry with a demonstrated track record of delivery and/or relevant experience in risk and control management focusing on a variety of large-scale technical initiatives.
Effective negotiation and influencing skills, including strong written communication, verbal communication, and presentation skills.
Strong management, organizational, and evaluative process skills. Ability to analyze complex organizational and technical issues to improve performance and efficiency.
Demonstrated ability to communicate effectively with all levels of the organization, across different business lines, and with external stakeholders.


Specific Skills:


Experience conducting AML transaction monitoring investigations, customer screening investigations (e.g. adverse media, sanctions, etc.), or other AML processes.
Experience contributing to AML and Sanctions risk assessments.
Experience maintaining and coordinating updates to policies, procedures, and executive-level presentations.
Excellent organizational, verbal, written, interpersonal, and analytical skills are required.
Must be able to multitask, adapt well to changing priorities, and effectively prioritize work to meet critical deadlines.
Ability to work in a fast-paced, demanding, and changing environment; must work well under pressure.
A demonstrated track record in identifying gaps, process improvements, and proactively proposing solutions, and as appropriate, executing team-wide communication and training.


Nice to have:


CAMS/CFE certification preferred (or willingness to become certified within one year of start date).


Compensation And Benefits

The base pay range for this role is listed below. Final base pay offer will be determined based on individual factors such as the candidate’s experience, skills, and location.

To view all of our comprehensive and competitive benefits, visit our Benefits at SoFi page!

SoFi provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion (including religious dress and grooming practices), sex (including pregnancy, childbirth and related medical conditions, breastfeeding, and conditions related to breastfeeding), gender, gender identity, gender expression, national origin, ancestry, age (40 or over), physical or medical disability, medical condition, marital status, registered domestic partner status, sexual orientation, genetic information, military and/or veteran status, or any other basis prohibited by applicable state or federal law.

The Company hires the best qualified candidate for the job, without regard to protected characteristics.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

New York applicants: Notice of Employee Rights

SoFi is committed to embracing diversity. As part of this commitment, SoFi offers reasonable accommodations to candidates with physical or mental disabilities. If you need accommodations to participate in the job application or interview process, please let your recruiter know or email accommodations@sofi.com.

Due to insurance coverage issues, we are unable to accommodate remote work from Hawaii or Alaska at this time.

Internal Employees

If you are a current employee, do not apply here - please navigate to our Internal Job Board in Greenhouse to apply to our open roles."
Compliance Analyst,Compliance Analyst,Social Capital Resources,May,2024,"Top-Tier Investment Manager in NYC is looking for a permanent Compliance Officer!
Responsibilities:
Interface with the compliance team, management, operations, or legal, as appropriate, to communicate, coordinate and resolve issues and respond to requests
Counsel business associates on regulatory and compliance requirements
Coordinate with the firm's outside service providers to ensure regulatory filings are made timely and accurately.
Update and file all required regulatory filings including, but not limited to ADVs and other periodic filings
Update and amend Compliance Manual, Code of Ethics and other compliance policies and procedures.
Conduct reviews and prepare reports on the investment adviser's brokerage practices and best execution.
Perform Annual Compliance Review, Risk Assessment Review, Employee Compliance Training and Marketing Materials Review
Engage in special projects, initiatives, and other activities of an ad hoc nature.
Qualifications:
In-depth knowledge of SEC and Client broker-dealer regulation and regulatory environment
Trade Surveillance experience is a must
Must have working knowledge of Investment Advisors Act of 1940
Experience with Mutual Funds
Familiarity within a regulatory, legal, compliance or business capacity
Charles River experience is a plus"
Legal and Compliance Analyst,Legal and Compliance Analyst,Glocap,May,2024,"COMPANY: Hedge Fund
POSITION: Legal and Compliance Analyst
LOCATION: Midtown, Manhattan (HYBRID 3 Days In Office/2 Days Work from Home)
HOURS: 8:00am – 5:00pm (with flexibility to work earlier and later, as needed)
COMPENSATION: Up to $85K DOE* + excellent benefits and 401K plan
BACHELORS DEGREE REQUIRED: PREFERRED

Our client, a top hedge fund in Midtown, is seeking a Legal and Compliance Analyst. This position is for an intelligent and detail-oriented candidate whom possesses a flexible attitude. The role is integral to the success of the firm and requires a high-energy candidate that is comfortable operating in a fast-paced environment.

Responsibilities of the Legal and Compliance Analyst:
- Conduct periodic compliance testing and oversight
- Maintain the Firm’s legal and compliance records and documentation
- Organize compliance related committee meetings
- Assist with the compliance training program for the Firm’s employees
- Assist with the ongoing diligence of third-party vendors and interfacing with different internal operations teams and external service providers in connection with legal and compliance related matters
- Monitor developments in the compliance area and assist in new compliance initiatives as the business, law, compliance and technology evolve, as required
- Ad hoc project and administrative requests as needed

Requirements of the Legal and Compliance Analyst:
- Undergraduate degree with excellent academic performance
- 1-2 years relevant work experience either in a compliance, paralegal, accounting or operations role in a financial services company
- Strong interpersonal, communication and presentation skills
- Extremely detail oriented and organized, with strong follow-up and willingness to go above and beyond
- Committed, mature and hard-working
- Collaborative team player
- Ability to be resourceful
- Excellent communication skills
- Proficient in MS Outlook and Microsoft Office Suite
- Verification of identity, education, prior employment, and references may be required

*The hourly rate range posted for this New York City-based position is a good faith estimate. Actual rate may vary based on several factors, including but not limited to, level, experience, and qualifications for the role."
"Compliance Officer, Commercial Payment Services","Compliance Officer, Commercial Payment Services",SoFi,April,2024,"Employee Applicant Privacy Notice

Who we are:

Shape a brighter financial future with us.

Together with our members, we’re changing the way people think about and interact with personal finance.

We’re a next-generation financial services company and national bank using innovative, mobile-first technology to help our millions of members reach their goals. The industry is going through an unprecedented transformation, and we’re at the forefront. We’re proud to come to work every day knowing that what we do has a direct impact on people’s lives, with our core values guiding us every step of the way. Join us to invest in yourself, your career, and the financial world.

The role

We are looking for a purposeful leader who is interested in building out the Commercial Payment Services program for SoFi Bank, N.A. This includes collaboration with the line of business partners - inclusive of Galileo, Technologies, Operations, Third Party Oversight, Risk Management, Credit, Marketing and Compliance to create and maintain a world-class Commercial Payment Services Compliance Program.

This role serves as a trusted advisor, consulting and guiding Bank personnel in the establishment and maintenance of a strong control and compliance environment to mitigate risks to the Bank and its clients and customers. Meaningful partnerships with the business units and third party clients will be critical to the effectiveness in the role.

What you’ll do:


Be the Compliance lead for the Bank’s Commercial Payments program by offering certain clients a commercial debit or credit card, supplemented with ACH, wire and other payments capabilities
The role is responsible for ensuring sponsorship programs are managed in full compliance with regulatory environments and card network rules
Collaborate with internal and external stakeholders during the onboarding and implementation processes
Assess regulatory applicability to the CPS products and services and advise on appropriate controls needed to meet applicable compliance requirements
Partner with Enterprise Risk Management to perform thorough client-based Risk Assessments for each CPS product and work to establish mitigation plans as necessary to appropriately manage identified risks
Develop and perform client based Third Party Oversight due diligence and second line of defense monitoring and reporting. Identify, track, and remediate any identified issues
Engage with the business to develop appropriate first line of defense controls
Assist SoFi Bank and Galileo leadership with identification and onboarding of new clients
Generate monthly and quarterly reports on compliance and overall program performance
Partner with the Enterprise Chief BSA/AML officer to ensure appropriate AML/OFAC oversight
Ensure Fed/NACHA compliance
Manage customer complaints
Active participation in the development and management of customer facing contracts and network relationships
Potential to hire, train and oversee incremental staff as the Commercial Payment program matures and expands
Develop strong relationships with third party leadership


What you’ll need:


5+ years of Commercial Payment / BIN Sponsorship / Issuing Bank experience
Demonstrated success in applying effective compliance oversight/third-party risk management strategies applicable to Bank-Fintech Partnerships or “Banking-as-a-Service” relationships at regulated financial institution.
5+ years of experience in commercial client due diligence and monitoring; including oversight of client policies and governance
Knowledge of commercial BSA AML regulatory oversight
Expertise in MC/Visa payment networks and overall payment ecosystem
Experience with funds settlement, ACH, and wire processes
Proven history of facilitating organization-wide client management and review with multiple senior level stakeholders
Ability to analyze and interpret applicable rules, regulations, and policies
Known for being detail-oriented with a demonstrated ability to self-motivate
Possess a growth mindset (to problem solve and innovate)
High-level of initiative to push for excellence, results, and process improvement
Commitment to building an inclusive culture
Comfort with working in a remote environment, as well as, performing onsite client due diligence reviews and writing detailed reporting of the review results
Ability to thrive in the ambiguity of changing priorities and the flexibility to embrace innovative ideas within a fast paced environment
Teamwork makes the dream work mentality


Nice to have:


Experience working with the Office of Comptroller of Currency (OCC)
College degree
Compliance certifications such as CRCM and CAMS
Experience establishing new BINs/ICAs/BIDs and setting up digital wallets
Knowledge of Mastercard and Visa Interbank Card Association requirements
Experience with the Google suite of products
Experience leading high performing teams
Effective oral, written, and interpersonal communication skills


Compensation And Benefits

The base pay range for this role is listed below. Final base pay offer will be determined based on individual factors such as the candidate’s experience, skills, and location.

To view all of our comprehensive and competitive benefits, visit our Benefits at SoFi page!

SoFi provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion (including religious dress and grooming practices), sex (including pregnancy, childbirth and related medical conditions, breastfeeding, and conditions related to breastfeeding), gender, gender identity, gender expression, national origin, ancestry, age (40 or over), physical or medical disability, medical condition, marital status, registered domestic partner status, sexual orientation, genetic information, military and/or veteran status, or any other basis prohibited by applicable state or federal law.

The Company hires the best qualified candidate for the job, without regard to protected characteristics.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

New York applicants: Notice of Employee Rights

SoFi is committed to embracing diversity. As part of this commitment, SoFi offers reasonable accommodations to candidates with physical or mental disabilities. If you need accommodations to participate in the job application or interview process, please let your recruiter know or email accommodations@sofi.com.

Due to insurance coverage issues, we are unable to accommodate remote work from Hawaii or Alaska at this time.

Internal Employees

If you are a current employee, do not apply here - please navigate to our Internal Job Board in Greenhouse to apply to our open roles."
Compliance Analyst / Associate,Compliance Analyst / Associate,Career Group,May,2024,"Compliance Analyst / Associate – NYC (hybrid)

A global investment firm with over $4 billion in assets under management across venture, growth and credit is seeking a Compliance Analyst/Associate. This person will work closely with the firm’s Compliance Officer to support the firm’s compliance program. This role is a great opportunity for a motivated compliance professional to learn more about private funds and investment adviser compliance. The individual filling this role will report directly to the Compliance Officer.

Key areas of responsibility:
Support the Compliance Officer with day-to-day activities and monitoring of the firm’s compliance program
Administer and maintain the firm’s Code of Ethics (e.g., personal trading, political contributions, outside business activities, compliance certifications, etc.)
Review and assess for any potential conflicts or violations of firm’s Code of Ethics on an ongoing basis
Assist with updating the firm's compliance manual and regulatory filings (e.g., Form ADV, Form PF, etc.)
Own the administration and maintenance of the firm’s restricted list
Facilitate conducting various compliance testing and provide oversight
Management of the firm’s compliance reporting software
Present and support new hire compliance onboarding tasks and training
Support the Compliance Team with the firm's annual compliance review and/or mock SEC exams
Maintenance and organization of the firm’s compliance books and records (e.g., compliance logs, compliance calendar, side letter matrix, etc.)
Aid the Compliance officer with review of the firm’s marketing materials
Liaising with various groups within the firm and applicable external service providers
Assist with monitoring regulatory developments and providing ad hoc compliance and legal operations support as needed
The ideal candidate will have:
· Bachelor’s degree
· 1-3 years of compliance experience at a registered investment adviser or compliance consultancy firm. Must have solid experience/knowledge of Code of Ethics compliance.
· Knowledge of the Investment Advisers Act of 1940 and associated rules thereunder with an emphasis on Rule 204A-1
· Extreme attention to detail, self-motivated, proactive, strong organizational skills, and willingness to learn
· Strong prioritization and project management skills
· Ability to maintain high level of discretion and confidentiality
· Strong Microsoft Office, Excel, and PPT skills
· Intellectual curiosity and humility
· The ability to work both independently and as a team, effectively multi-task, and manage deadlines
· Strong written and oral communication and interpersonal skills
· Strong critical thinking skills
· High IQ, EQ and ethical standards

Compensation: $80-105K (DOE) plus bonus and competitive benefits"
Compliance Operations Analyst,Compliance Operations Analyst,EarnIn,March,2024,"About Earnin

As one of the first pioneers of earned wage access, our passion at EarnIn is building products that deliver real-time financial flexibility for those with the unique needs of living paycheck to paycheck. Our community members access their earnings as they earn them, with options to spend, save, and grow their money without mandatory fees, interest rates, or credit checks. Since our founding, our app has been downloaded over 13M times and we have provided access to over $15 billion in earnings.

We’re fortunate to have an incredibly experienced leadership team, combined with world-class funding partners like A16Z, Matrix Partners, DST, Ribbit Capital, and a very healthy core business with a tremendous runway. We’re growing fast and are excited to continue bringing world-class talent onboard to help shape the next chapter of our growth journey.

Position Summary

We are seeking an experienced Compliance Operations Analyst who will play a critical role in ensuring compliance with regulatory requirements and mitigating both current and emerging risks by creatively leveraging data and technology to improve the effectiveness of business and compliance processes.

The US base salary range for this full-time position is $80,000 - $90,000 + equity + benefits. Our salary ranges are determined by role, level, and location.

This is a remote position.

What You'll Do

Support the development and execution of of a Compliance Issues Management process to address regulatory risks for our Compliance program
Analyze regulations and their applicability to our products and services, and assist with the development of creative and compliant processes and controls
Execute projects as directed by the manager, ensuring timely and accurate completion while seeking guidance when needed
Monitor adherence to policies and procedures, and test the effectiveness of processes and controls
Identify potential areas of weakness and work with partners to strengthen the associated control environment.
Monitor the implementation of corrective actions and escalate when appropriate
Foster collaboration and provide cross-functional support within the department, including areas such as fincrime & fraud, regulatory complaints, product and marketing compliance, and the overall compliance program
All other duties as assigned

What We're Looking For

3+ years of compliance risk management experience in Financial Services
Demonstrated knowledge and application of financial services related laws and regulations
Demonstrated knowledge of compliance/regulatory risks, processes, and control frameworks, and the ability to design and evaluate the effectiveness of controls embedded within business processes
Prior professional services, financial services, or regulatory experience
Clear, concise, and persuasive written and verbal communication
Strong orientation to deadlines and detail
Commercially-oriented creative thinker and problem solver
Strong project management, critical thinking, and analytical skills
Ability to embrace and champion our core values
Mature, professional and of unquestionable integrity, carrying out excellent judgment when handling sensitive information
Proficiency in Excel/Sheets (VLOOKUP, INDEX MATCH, advanced conditional formatting, pivot tables and reporting, macros and VBA) and PowerPoint/Slides

At EarnIn, we believe that the best way to build a financial system that works for everyday people is by hiring a team that represents our diverse community. Our team is diverse not only in background and experience, but also in perspective. We celebrate our diversity and strive to create a culture of belonging. EarnIn does not unlawfully discriminate on the basis of race, color, religion, sex (including pregnancy, childbirth, breastfeeding or related medical conditions), gender identity, gender expression, national origin, ancestry, citizenship, age, physical or mental disability, legally protected medical condition, family care status, military or veteran status, marital status, registered domestic partner status, sexual orientation, genetic information, or any other basis protected by local, state, or federal laws. EarnIn is an E-Verify participant.

EarnIn does not accept unsolicited resumes from individual recruiters or third party recruiting agencies in response to job postings. No fee will be paid to third parties who submit unsolicited candidates directly to our hiring managers or HR team."
