Position,Company_Name,Location,Post_Month,Post_Year,Details
Cyber Security Consultant,Cyber Security Consultant,Accroid Inc,January,2024,"Hartford, CT Hybrid

Description

Manage and continuously improve a Cyber Security Compliance program. This would include conducting security business and infrastructure compliance reviews, security risk assessments for internal/external information assets. Perform Incident response and forensics responsibilities for Connecticut Children's Medical Hospital to ensure the confidentiality, integrity and availability of enterprise information resources. Provide recommendations to balance cyber risks and enable the business in a secure manner. Improve the overall security posture to meet the expanding and changing business needs of the organization.

Role Responsibilities

These duties are not meant to be all-inclusive and other duties may be assigned.
Experienced in performing security business application and infrastructure compliance reviews, risk analysis, forensics and penetration testing.


Actively monitor systems and networks for potential intrusions


Lead, conduct and maintain security risk assessments, identify security vulnerabilities, develop recommendations, document findings and remediation plans


Manage remediation plans toward closure


Define security standards & incident response plans to detect, respond and recover from security incidents using a risk based methodology


Develop and document security policies and procedures, training and awareness


Serve as a security expert reviewing and recommending security controls for network, application designs, operating systems, endpoint protection, mobile device implementations of new/updated applications and services


Ensure business and technical requirements are aligned to security policies and are implemented within regulatory and corporate compliance.


Maintain current knowledge of tools and best-practices in advanced persistent threats; tools, techniques, and procedures of attackers; related to forensics and incident response


Excellent written communication and presentation skills with the ability to present complex security issues to a variety of audiences, including senior executives


Must be self-directed, able to manage individual projects or act as part of a larger team."
"Cybersecurity Consultant,","Cybersecurity Consultant,",Canus Tech,May,2024,"As a Cybersecurity Consultant, you will develop and implement comprehensive cybersecurity strategies to protect clients' digital assets. You will assess security risks, design security architectures, and ensure compliance with industry standards and regulations.

Key Responsibilities

Conduct security assessments and risk analyses.
Develop and implement cybersecurity strategies and policies.
Design and configure security architectures and controls.
Monitor and respond to security incidents and threats.
Provide guidance on best practices for data protection and compliance.
Conduct security training and awareness programs.
Stay informed about the latest cybersecurity threats and technologies.

Qualifications

Bachelor's degree in Cybersecurity, Information Security, Computer Science, or related field.
Proven experience in cybersecurity roles.
Knowledge of security frameworks (e.g., NIST, ISO 27001).
Proficiency in security tools and technologies (e.g., firewalls, IDS/IPS, SIEM).
Strong analytical and problem-solving skills.
Excellent communication and interpersonal skills.
Relevant certifications (e.g., CISSP, CISM, CEH) are a plus."
Cyber Security Consultant,Cyber Security Consultant,Steneral Consulting,March,2024,"in Dearborn MI

They prefer local candidates but will consider remote candidates.

Full legal name

Last 4 Social Security number

Month day birthday

Degree, university with year of graduation

Citizenship – US Citizen/Green Card

Have they worked for Ford before?

Job Description

Act as a senior subject matter expert for secure coding, evaluating, and implementing processes to mature application security.
Provide consulting services to all Pro product teams, providing guidance and education on code security related problems by leveraging enterprise services across product lifecycles, identifying vulnerabilities, and implementing secure solutions.
Help define security standards around CI/CD pipelines, SAST/SCA/DAST testing processes, DevSecOps principles.
Support ISO 27001 certification preparation of all Pro software products and services.
Support all teams dealing with Audit, ICC Control Review and OICs as they occur.
Collaborate across Pro Tech, Information Tech Operations (ITO), Enterprise Architecture, Model E and Enterprise Cyber Security organizations and so many more.
Work with all regular security and compliance annual activities and education plan for all Pro teams to ensure compliance with corporate policies to deliver plan.
Facilitate getting all known control gaps identified and develop control improvement plans in partnership with Internal Controls team as part of GRC processes.
Partner with Cyber Defense during incident response for Pro teams, as required.
Support and develop automation solutions that enable our product teams to build and deploy code quickly.
Leverage cloud technology to promote fast provisioning and scalability.
Implement industry best practices for API configuration management.
Cross between technology and business topics being able to explain security topics to any audience.
Operate independently and adapt to dynamic needs of the organization and changing teams.

Skills Required

Bachelor’s degree in business, Cyber Security, IT management, Risk Management, Computer Science, or Computer Engineering or any related field
5+ years’ experience in cybersecurity analysis, vulnerability management, security consulting, secure software engineering.
Experience in security operations including delivery of security findings to software engineering teams and consulting on risk priorities for vulnerabilities.
Ability to work collaboratively with others and navigate complex decision making.
Familiarity with automation test scripts, test plans and configuration of test systems, security testing tools and their use in an SDLC.
Experience working with GCP and particularly securing GCP assets and development pipelines.
Experience working in incident Response teams to detect, contain, investigate, and recover from security incidents.

Skills Preferred

Experience supporting cloud-based platforms in an enterprise environment such as: Google Cloud Platform (GCP), Microsoft Azure, and Amazon Web Services (AWS).
Experience using 1 or more SAST/SCA tools like CheckMarx, FOSSA, 42Crunch or BlackDuck
Strong working knowledge of Info Sec policy, global purchasing policies and process, GRC component assessment, controls testing, etc.
Strong understanding of the OWASP Top 10 security vulnerabilities and remediation techniques
Working knowledge of a variety of regulations, control frameworks, and requirements, such as SOX, NIST 800-53, NIST 800-171, ISO 27001
Working knowledge of API Security
Security coding experience with languages like Java, Java Script, Python, Ruby or equivalent
Strong understanding of Security Engineering concepts around key management, authorization, Cloud Security etc.
Experience working with GAO and/or Internal Control
Certifications are highly valued (CISSP, CISA, CISM, etc.)
Master’s degree in cyber security, Computer Science, Software Engineering, or a related field.
Security architecture experience collaborating with software product teams.
Experience with Git/GitHub or equivalent source control repositories.
Experience using a centralized logging solution such as Splunk or Datadog for monitoring and reporting.
IT operations, security, and/or infrastructure experience in an enterprise environment.
Experience with vulnerability management with understanding of CVEs, CWEs and how to research and manage risks.
Comfortable communicating with different levels and audiences effectively to gain attention collaboratively while not causing panic or animosity.
A strong drive to keep learning new tools, ideas, techniques and methodologies to change culture to one based on building security and privacy into solutions from inception.
Motivated to support compliance to standards and policies as foundational to security.

Experience Required

5+ years’ experience in cybersecurity analysis, vulnerability management, security consulting, secure software engineering.
Experience in security operations including delivery of security findings to software engineering teams and consulting on risk priorities for vulnerabilities.
Ability to work collaboratively with others and navigate complex decision making.
Familiarity with automation test scripts, test plans and configuration of test systems, security testing tools and their use in an SDLC.
Experience working with GCP and particularly securing GCP assets and development pipelines.
Experience working in incident Response teams to detect, contain, investigate, and recover from security incidents.

Education Required

Bachelor’s degree in business, Cyber Security, IT management, Risk Management, Computer Science, or Computer Engineering or any related field"
Cyber Security Consultant,Cyber Security Consultant,Hamilton Barnes 🌳,May,2024,"We're hiring for a Cyber Security Consultant that is ready to join a tight-knit team of experienced professionals who value continuous improvement, personal growth, learning, and mentoring.

Salary/Benefits
Company Paid Health, Dental and Vision Insurance
Company Paid Life Insurance
401k with 3% Company Contribution
Flexible Vacation Policy
Annual Company Retreat

Responsibilities
Providing expertise within our FedRAMP team and aligning the FedRAMP team with company vision
Advise clients on information security and broader compliance programs in support of industry leading standards
Work closely with client IT leadership teams as a subject matter expert to enhance their cyber security posture
managing Plans of Action and Milestones (POA&Ms)


Required Skills
Bachelor’s or Master’s degree in Information Security, Computer Science, or a related field
FedRAMP expertise
At least one advanced cybersecurity certification such as: CISSP (preferred), CISM, CISA, CCSP, or other relevant security certifications
knowledge of NIST publications, such as: NIST SP 800-30, 800-37, 800-53, 800-53A, 800-60 Vol 1 & 2, and 800-171
Minimum of 5 years of experience in security and privacy risk assessment, consulting, or related roles


If you this role aligns with you, apply now if your updated resume!"
Cyber Security Consultant,Cyber Security Consultant,Agile Tech Labs,March,2024,"Job Title: Cyber Security Consultant

Job Location: Remote

Job Type: Full Time

Job Description/ Requirement

Bachelor’s degree in business, Cyber Security, IT management, Risk Management, Computer Science, or Computer Engineering or any related field
5+ years’ experience in cybersecurity analysis, vulnerability management, security consulting, secure software engineering.
Experience in security operations including delivery of security findings to software engineering teams and consulting on risk priorities for vulnerabilities.
Ability to work collaboratively with others and navigate complex decision making.
Familiarity with automation test scripts, test plans and configuration of test systems, security testing tools and their use in an SDLC.
Experience working with GCP and particularly securing GCP assets and development pipelines.
Experience working in incident Response teams to detect, contain, investigate, and recover from security incidents.

Interested candidates can send their updated resumes at pratibha.kush@agile-techlabs.com"
Cybersecurity Consultant,Cybersecurity Consultant,Sligo Software Solutions Inc.,March,2024,"Greetings from Sligo Software Solutions, Inc. !!

This is Ashok from SLIGO. We have an urgent requirement for Cybersecurity Consultant position with our client.

Title : Cybersecurity Consultant

Location : New York State Gov, New York

Duration : 12 Months

Client : NY State - NYS Department of Health

Client ID: NYST-157

Respond by: 03/01/24 5:00 PM

Hi,

Greetings from Sligo Software Solutions, Inc. !!

SLIGO is a Software Development & IT Consulting company. We have around 100+ IT associates working with our esteemed clients across several domains such as IT, Banking, Healthcare, and Government.

We have an urgent requirement for Cybersecurity Consultant position with our client.

Role: Cybersecurity Consultant

Location: New York State Gov, New York

Duration: 12 Months

Client: NY State

Client Job ID#: NYST-157

Respond by Date: 03/01/24 5:00 PM

Duties

Assist with program correspondence pertaining to security activities.
Analyse system requirements and documentation for security implications.
Facilitate meetings with stakeholders.
Analyse and implement security requirements into systems and programs.
Research security best practices and providing recommendations to the CISO.
Understand and seek alignment with NIST Cybersecurity Framework
Liaising between stakeholders on security activities and outstanding action items
Create and review key security deliverables as part of the organizational security programs.
Assist with security certification activities,
Review vendor security deliverables and providing feedback.
Provide security subject matter expertise on a day-to-day basis.
Verify security policies and procedures are consistently in compliance.
Develop and implement security governance activities.
Develop an organizational security governance plan.

Mandatory Requirements

Experience (14+ Years)

Requirements

This is a Hybrid Position.
Strong analytic capabilities and exemplary skills in stakeholder relationship development and management.
Exceptional security knowledge and experience.
Exceptional written and verbal communications, interpersonal skills, and the ability to manage and develop key relationships with colleagues and clients through collaborative thinking and a strong customer focus.
Proficiency with Microsoft Office suite.
Experience and demonstrated comfort level in verbal, written, and in-person communications.
Knowledge of and experience with the implementation and validation of security controls.
Experience with vulnerability discovery techniques and tools.
Knowledge of NIST 800-30 style risk assessments.
Experience with incident response and disaster recovery.
Skills in other security domains, well versed in the software development life cycle (SDLC) and the assessment of risk, and able to understand the root causes of vulnerabilities and to articulate those in written and verbal communications to clients.
Bachelor’s degree in Cybersecurity or a related field of study.
A minimum of 8 years’ relevant experience.

Preferred Skills

New York State and federal health policy experience.
Experience with New York State Department of Health programs.
Experience and training in cloud computing environments and security considerations.

Thank you,

Katta Dasharatham

Sr Technical Recruiter

Sligo Software Solutions Inc.

dasharatham.katta@sligosoft.com

www.sligosoft.com

Direct: (518) 818-6239

Office: (518) 444 0459 x 116

Fax : (518) 444 0457"
Security Consultant - Cyber,Security Consultant - Cyber,CompliancePoint,May,2024,"What is the general purpose of this position?
You will assist with performing risk assessments, risk management, and information security program advisory services across a wide range of clients, to ensure that the client’s information assets and associated technology, applications, systems, infrastructure, and processes are adequately protected.
You will work with our clients to enforce security best practices, policies, standards and guidance to ensure the safeguard of client's proprietary data, physical infrastructure and resources from internal and external threats.

Hours Worked/Employment Category: Full-Time (Minimum 40 hours per week)

Work Conditions: This position is primarily remote with the option to work in office as desired.

Responsibilities:
Support the practice by way of growing current client relationships as well as identifying new prospects and supporting new service opportunities
Maintain a strong client focus by understanding the client’s business needs while developing productive working relationships with client personnel to accomplish project objectives
You will work collaboratively with a team of security professionals as a valued member with a voice and impact on existing processes and direction
Assist with client engagements including project kickoff, discovery, report development, and project out briefs
Assist with creation of consultative deliverables to ensure they are correct, complete and of high quality
Focus on client needs and goals, promptly responding to questions with consultative support and recommendations
Develop and present cybersecurity subject matter to peers or clients
Develop professional relationships with clients to maintain a high degree of trust and brand awareness
Educational Requirements: Bachelor’s degree in computer science or information security or equivalent experience

Experience and Skill Requirements:
Minimum of 2-3 years of experience in a Cybersecurity consulting role and certified in one or more of the following: CISSP, HCISPP, CISM, CISA, or similar credentials/equivalent experience
Understanding of on-premises and cloud-based technologies to include AWS, Azure, and Google Cloud
Familiar with Industry compliance regulations and associated controls: HIPAA, SOC, PCI-DSS, HITRUST, etc.
Knowledge of NIST Cybersecurity Framework, NIST 800-53, NIST 800-171, and NIST Risk Management Framework (RMF)
Effective interpersonal and communication skills; capable of explaining complex procedures in writing or verbally to clients
Project management experience
Strong presence and social skills in front of customers
Great work ethic
Excellent oral and written communication skills
Ability to work in a team environment effectively and efficiently

A Different Kind of Consulting & Audit Company
The difference is simple — we understand the importance of compliance and risk mitigation at a procedural level. That comes from our history of successful consulting and audit engagements, including those for many Fortune 500 firms and global industry leaders.
But more importantly, we understand the impact non-compliance and risk exposure can have on businesses.
We collaborate with companies to design and implement strategies, processes, and procedures that help mitigate risk, reach compliance goals, protect data assets, and meet industry standards.

Our Mission:
“Enable responsible customer interaction”

Our Vision:
“Deliver world class services and technology helping customers manage risk within privacy, information security, and their vendor network”"
Cyber Security Consultant,Cyber Security Consultant,Applied Resource Group,May,2024,"Job Title: Cyber Consultant
Job Description:
Seeking an experienced Cyber Consultant with expertise in IT and IS risk assessments, program reviews, and establishment. The role involves direct client interaction for vendor or third-party security assessments, contributing to business continuity planning, and conducting remote assessments independently. Responsibilities include drafting comprehensive reports and ensuring quality assurance by reviewing peers' reports.
Responsibilities:
Conduct IT and IS risk assessments and program reviews.
Engage directly with clients for vendor or third-party security assessments.
Contribute to business continuity planning and disaster recovery implementation.
Perform remote assessments independently and draft clear reports.
Review peers' reports for quality assurance.
Assess against ISO 27001, NIST 800-53, and PCI-DSS standards.
Stay updated on Information Security trends and disciplines.
Collaborate with stakeholders for cyber assurance.
Requirements:
Minimum 2 years of experience in Information Security Governance, Privacy, Compliance, and Security Assessment.
Proficiency in ISO/IEC/SIG 27002:2005, BS 7799, and BS 25999 standards.
Strong communication and stakeholder management skills.
Ability to manage multiple priorities in a dynamic environment.
This role offers an opportunity to contribute significantly to enhancing information security practices in a collaborative setting."
Cyber Security Consultant,Cyber Security Consultant,Seneca Resources,May,2024,"Position Title: Senior Cloud Security Specialist
Location: Malvern, PA
Environment: Hybrid
Position Status: Full-Time

Position Description:
Our risk & security team enables business strategy, protects client and internal interests (like assets and data), and helps to drive a strong risk culture. This team is responsible for the global protection of our crew, property, data, and client assets. We are the trusted advisors that protect the company with state-of-the-art security and fraud capabilities. If you have a deep background in cloud security engineering, cloud penetration testing, or cloud vulnerability management – and you’re ready to challenge yourself and to grow – this role is for you! You’ll be responsible for identifying and managing vulnerabilities across Our poly-cloud infrastructure. The role requires excellent analytical skills, combined with technical and security expertise.
In this role, you will:
Leverage cloud security assessment tools (CNAPP/CWPP/CSPM) to monitor cloud assets for vulnerabilities and security configuration weaknesses.
Partner with the SOC, Cyber Threat Intel, Red Team, and other stakeholders to refine prioritization, to validate impact of suspected vulnerabilities, to advise owners on mitigation strategies or compensating controls, and to provide accurate & timely reporting that informs remediation progress.
Adjudicate false-positives and requests for risk-acceptance or risk-rating adjustment.
Informed by security architects & SMEs, implement cloud security controls – both oobox and custom.
Shape remediation SLAs, build-breaking policies, and other enforcement controls & guardrails.
In zero-day events, quickly iterate through VM lifecycle – creatively handle time-sensitive escalations, develop new types of reports, and perform special investigations.
Coordinate with Engineering platform team to tune scanning tools to improve visibility and to meet additional security objectives.
Focus on continuous process improvement and identify opportunities for automation, fusion of disparate sources of security findings, and consistency of remediation owner experience.
Requirements:
Minimum of 5 years related work experience required, including experience with cloud security engineering, cloud vulnerability management, or general cloud cyber security.
Undergraduate degree in a related field or the equivalent combination of training and experience.
Strong knowledge of AWS, Azure, or GCP.
Being a highly motivated, independently driven, astute problem-solver.
Understanding of information security and vulnerability analysis.
Preferred Skills:
Demonstrated passion for continuous learning.
Experience with scripting and automation.
Experience with Aqua, Palo Alto Prisma, Wiz, CrowdStrike, Tenable Nessus, or Qualys preferred.
Knowledge of Kubernetes preferred.
Experience with risk controls and interacting with internal/external audit preferred.

About Seneca Resources:
Seneca Resources is a client driven provider of strategic Information Technology consulting services and Workforce Solutions to government and industry. Seneca Resources is a leading IT services provider with offices in Virginia, Alabama, Georgia, Florida and Texas that service clients throughout the United States.

We are an Equal Opportunity Employer and value the benefits of diversity in our workplace."
Information Security Consultant,Information Security Consultant,Steneral Consulting,May,2024,"Okemons MI - has to be local or relocate since it is hybrid

full legal name

location

available

last 4 social security number

month day birthday

degree university and year of graduation

linkedin profile with pic or id with pic

word doc resume with months and years on it

US Citizen or Green Card citizen

Able to provide guidance in all areas relating to information security in order to align and establish information security and strategy with business requirements.

Primary Job Responsibilities

Assist with audits of corporate information systems to ensure compliance with security policies, NIST security controls, PCI-DSS and applicable state and federal laws and regulations.
Identifies functionality requirements, performs implementation and security administration of tools (e.g. SIEM, vulnerability management, web application firewall).
Establishes control-related standards and procedures and prepares project status reports for management.
Designs and coordinates business resumption and recovery test and evaluation plans for security, in support of disaster recovery and business continuity plans.
Identifies potential risk items and subsequent remediation of vulnerabilities in the environment.
Supports day-to-day monitoring of logs and alerts from firewalls, log management, intrusion detection systems and content filtering controls, etc.
Performs forensic analysis and investigation of log alerts and malware.
Provides security analysis and guidance to the information security analyst and administrator team members.
Provides technical problem solving in configuration and utilization of all security enabled applications, systems and network devices.
Provides technical analysis of commercial and government customer requirements and controls.
Perform other related assigned duties as necessary to complete the Primary Job Responsibilities as described above.

Minimum Qualifications

Position requires a bachelor's degree in information technology or a related field, and seven years’ experience in information security or system administration.
CISSP certification is preferred but not required.
Will accept any suitable combination of education, training, or experience.
Position requires strong knowledge of information security principles and practices, intrusion detection systems, installation, configuration, monitoring and response to security systems, security protocols and standards, software and security architectures, risk management, control techniques and frameworks, planning and project management, regulations, and laws; ability to lead teams; ability to collect and analyze complex data; use data extraction and analysis tools; ability to use active listening skills; effective verbal and written communication."
