Position,Company_Name,Location,Post_Month,Post_Year,Details
DevOps Engineer,DevOps Engineer,Clear Point Consultants,May,2024,"We're looking for a motivated and skilled DevOps Engineer to join our dynamic team of innovators. You'll be key in advancing and managing CI/CD pipelines for our software development teams. If you're experienced with GitLab, AWS, Azure, Kubernetes, Docker, and other related technologies, we want to hear from you! You'll play a vital role in modernizing our software development processes and infrastructure, boosting automation, scalability, and efficiency.

What You'll Do

Work closely with software development teams to understand their current processes and identify areas for CI/CD implementation and improvement.
Design, implement, and maintain CI/CD pipelines for various software projects.
Automate deployment processes to ensure smooth and efficient software updates.
Monitor and optimize infrastructure performance and scalability.
Collaborate with development teams to troubleshoot build and deployment issues.
Stay current on industry best practices and technological advancements to keep improving our CI/CD capabilities.

What We're Looking For

A deep understanding of DevOps best practices.
Experience with GitLab, AWS, Azure, Kubernetes, Docker, and related technologies.
Strong collaboration skills to work with development teams.
A proactive approach to identifying and implementing improvements.
Ability to troubleshoot and resolve build and deployment issues.
Enthusiasm for staying updated on the latest industry trends and technologies.

If this sounds like your kind of challenge, we'd love to chat!"
DevOps Engineer,DevOps Engineer,Genesis10,May,2024,"Genesis10 is currently seeking an Application Programmer with our client in the financial industry located in New York, NY. This is a 12 + month contract position.

Responsibilities

Automate and enhance processes for supporting the various trading applications in Algo Trading, Liquidity Seeking and Matching Engine spaces
Improve quality and efficiency of the Trading Engines teams, working with multiple partners across technology and business
Build and implement new and existing automation tools
Work on ways to automate and improve development, build, test and release processes
Ensure that systems are safe and secure from identified vulnerabilities
Application and process configuration management
Provide documentation and training on how to properly use the automated tools and processes
Collaborate with core Tools team, development teams and business to ease the applications into new requirements

Requirements

5+ years of experience in Equities Trading Platform
Experience as a DevOps engineer or in a similar software engineering role
Proficiency with Git, Bitbucket, Jenkins, JIRA, CI/CD workflows
Proficiency with shell scripts, python or other scripting languages
Ability to manage hierarchical and complex configuration structure
Good knowledge of Java
Excellent communication skills
Strong focus on managing risk and identifying critical dependencies
Problem-solving attitude
Collaborative team spirit
Agile process compliance

Pay Range: $61.60 - $69.60

Only candidates available and ready to work directly as Genesis10 employees will be considered for this position.

If you have the described qualifications and are interested in this exciting opportunity, please apply!

About Genesis10

Ranked a Top Staffing Firm in the U.S. by Staffing Industry Analysts for six consecutive years, Genesis10 puts thousands of consultants and employees to work across the United States every year in contract, contract-for-hire, and permanent placement roles. With more than 300 active clients, Genesis10 provides access to many of the Fortune 100 firms and a variety of mid-market organizations across the full spectrum of industry verticals.

Benefits

For contract roles, Genesis10 offers the benefits listed below. If this is a perm-placement opportunity, our recruiter can talk you through the unique benefits offered for that particular client. Benefits of Working with Genesis10:

Access to hundreds of clients, most who have been working with Genesis10 for 5-20+ years.
The opportunity to have a career-home in Genesis10; many of our consultants have been working exclusively with Genesis10 for years.
Access to an experienced, caring recruiting team (more than 7 years of experience, on average.)
Behavioral Health Platform
Medical, Dental, Vision
Health Savings Account
Voluntary Hospital Indemnity (Critical Illness & Accident)
Voluntary Term Life Insurance
401K
Sick Pay (for applicable states/municipalities)
Commuter Benefits (Dallas, NYC, SF)
Remote opportunities available

For multiple years running, Genesis10 has been recognized as a Top Staffing Firm in the U.S., as a Best Company for Work-Life Balance, as a Best Company for Career Growth, for Diversity, and for Leadership, amongst others. To learn more and to view all our available career opportunities, please visit us at our website.

Genesis10 is an Equal Opportunity Employer. Candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran."
Junior AWS DevOps Engineer - Remote,Junior AWS DevOps Engineer - Remote,Perficient,May,2024,"Job Description

We currently have a career opportunity for a Jr AWS DevOps Engineer. While our headquarters location is St. Louis, MO, this position is remote and can be based anywhere within the United States and will be working ET zones.

We are seeking a highly motivated AWS DevOps Automation Engineer to join our team. In this role, you will play a key part in designing, developing, and implementing automated solutions to optimize AWS environments and support software development teams.

Perficient is always looking for the best and brightest talent and we need you! We’re a quickly-growing, global digital consulting leader, and we’re transforming the world’s largest enterprises and biggest brands. You’ll work with the latest technologies, expand your skills, and become a part of our global community of talented, diverse, and knowledgeable colleagues.

Responsibilities

Design, develop, and implement Infrastructure as Code (IaC) using CloudFormation to automate the provisioning and management of AWS infrastructure.
Build and maintain continuous integration/continuous delivery (CI/CD) pipelines using Azure DevOps to automate code builds, testing, and deployments to AWS environments.
Configure and manage monitoring tools like Prometheus and Grafana to collect, visualize, and analyze application and infrastructure metrics for performance optimization and troubleshooting.
Identify and implement automation opportunities to streamline DevOps workflows and improve operational efficiency.
Collaborate with developers, operations teams, and other stakeholders to ensure smooth delivery and maintenance of cloud-based applications.
Stay up-to-date on the latest AWS services, DevOps tools, and best practices.

Qualifications

Experience with AWS cloud services, including EC2, S3, CloudFormation, and IAM.
Proficient in writing Infrastructure as Code (IaC) using Terraform or CloudFormation templates.
Solid understanding of CI/CD principles and experience with Azure DevOps or similar tools.
Experience with containerization technologies like ECS, Docker and Kubernetes
Familiarity with monitoring tools like Prometheus and Grafana.
Experience with scripting languages (e.g., Python, Bash) for automation purposes.
Excellent problem-solving, analytical, and communication skills.
Ability to work independently and as part of a team.
Strong work ethic and a passion for continuous learning.

The salary range for this position takes into consideration a variety of factors, including but not limited to skill sets, level of experience, applicable office location, training, licensure and certifications, and other business and organizational needs. The new hire salary range displays the minimum and maximum salary targets for this position across all US locations, and the range has not been adjusted for any specific state differentials. It is not typical for a candidate to be hired at or near the top of the range for their role, and compensation decisions are dependent on the unique facts and circumstances regarding each candidate. A reasonable estimate of the current salary range for this position is $45,854 to $101,520. Please note that the salary range posted reflects the base salary only and does not include benefits or any potential equity or variable bonus programs. Information regarding the benefits available for this position are in our benefits overview .

Who We Are

Perficient is a leading global digital consultancy. We imagine, create, engineer, and run digital transformation solutions that help our clients exceed customers’ expectations, outpace competition, and grow their business. With unparalleled strategy, creative, and technology capabilities, our colleagues bring big thinking and innovative ideas, along with a practical approach to help our clients – the world’s largest enterprises and biggest brands succeed.

What We Believe

At Perficient, we promise to challenge, champion, and celebrate our people. You will experience a unique and collaborative culture that values every voice. Join our team, and you’ll become part of something truly special.

We believe in developing a workforce that is as diverse and inclusive as the clients we work with. We’re committed to actively listening, learning, and acting to further advance our organization, our communities, and our future leaders… and we’re not done yet.

Perficient, Inc. proudly provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, marital status, amnesty, or status as a protected veteran in accordance with applicable federal, state and local laws. Perficient, Inc. complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training. Perficient, Inc. expressly prohibits any form of unlawful employee harassment based on race, color, religion, gender, sexual orientation, national origin, age, genetic information, disability, or covered veterans. Improper interference with the ability of Perficient, Inc. employees to perform their expected job duties is absolutely not tolerated.

Applications will be accepted until the position is filled or the posting removed.

Disability Accommodations:

Perficient is committed to providing a barrier-free employment process with reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or accommodation due to a disability, please contact us.

Disclaimer: The above statements are not intended to be a complete statement of job content, rather to act as a guide to the essential functions performed by the employee assigned to this classification. Management retains the discretion to add or change the duties of the position at any time. # LI-AWS

About Us

Perficient is always looking for the best and brightest talent and we need you! We’re a quickly growing, global digital consulting leader, and we’re transforming the world’s largest enterprises and biggest brands. You’ll work with the latest technologies, expand your skills, experience work-life balance, and become a part of our global community of talented, diverse, and knowledgeable colleagues.



Select work authorization questions to ask when applicants apply

1. Are you legally authorized to work in the United States?

2. Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?"
Devops Terraform Engineer,Devops Terraform Engineer,"Conch Technologies, Inc",May,2024,"HI, No H1s please

Greetings from Conch Technologies Inc

Position: DevOps Engineer (Terraform & GCP is must have)

Location: Phoenix, AZ ( Day 1 Onsite )

Duration: 12+ Months Contract

No H1s ,

H1 transfer is fine...

Client Note: NEED Terraform coders/ developers who can write a Terraform.

Cloud: AZURE

Should be strong with Terraform commands, best practices, deployments, debugging, and troubleshooting.

Familiar with GCP best practices and recommendations to set up, configure, and manage at the enterprise level.

Planning design and development of an application on the Cloud

Ability to design applications on AWS taking advantage of disaster-recovery design guidelines

Prior experience in automated build pipeline continuous integration

Candidate should have Exp is a plus: with tools such as TFLint, TerraScan, TerraGrunt Exp with Terraform Registry Writing Terraform modules for Services such as S3, SNS, SQS, RDS, EC2, EKS, Lambda's Specifically should have experience with AWS Provider of Terraform Experience configuring Remote State management using S3 and DynamoDB Good experience writing Terraform code for critical Production Systems (not looking for a novice who is learning TF).

Thanks & Regards

Nayak Teketi

Phone : 901-317-3453

Email:nayak@conchtech.com

Web: www.conchtech.com"
Jr. DevOps Engineer,Jr. DevOps Engineer,Saviance,May,2024,"Job Title: Jr DevOps Engineer

Duration: 6 Months C2H

Location: Remote- East Coast Hours

About BigRio

BigRio is a remote-based, technology consulting firm with headquarters in Boston, MA. We deliver software solutions ranging from custom development, software implementation, data analytics, and machine learning/AI integrations. We are a one-stop shop that attracts clients from a variety of industries because of our proven ability to deliver cutting-edge and cost-conscious software solutions.

Overview

We are seeking a Junior DevOps Engineer to join our team and contribute to the deployment, automation, and management of applications on Amazon. You should have experience with IAC (Terraform, Cloudformation, etc) and AWS Services particularly EKS (Elastic Kubernetes Service). The ideal candidate will have a strong foundation in DevOps principles and practices, as well as familiarity with containerization and orchestration technologies, particularly Kubernetes.

Responsibilities

Work closely with development teams to understand application requirements and design scalable, reliable, and automated solutions for deploying and managing applications on Amazon EKS.
Implement CI/CD pipelines for automating the build, test, and deployment processes using tools like Jenkins, GitLab CI/CD, or similar.
Containerize applications using Docker and manage container orchestration using Kubernetes on Amazon EKS.
Collaborate with infrastructure teams to implement IAC solutions.
Monitor, troubleshoot, and optimize the performance of Kubernetes clusters and associated infrastructure components.
Implement security best practices for containerized applications and Kubernetes clusters, including role-based access control (RBAC), network policies, and secrets management.
Participate in on-call rotations and respond to incidents related to production systems and services.
Stay updated with the latest trends and technologies in DevOps, cloud computing, and containerization, and continuously improve our processes and toolchains.

Qualifications

Bachelor's degree in Computer Science, Engineering, or a related field, or equivalent work experience.
Solid understanding of Linux systems administration and networking concepts.
Experience with at least one programming language (e.g., Python, Go, Java) and scripting languages (e.g., Bash, PowerShell).
Familiarity with cloud computing platforms, particularly AWS, and services like EC2, S3, IAM, etc.
Hands-on experience with Docker containers and container orchestration platforms, preferably Kubernetes.
Experience with infrastructure-as-code (IaC) tools such as Terraform, CloudFormation, or Ansible.
Strong communication and collaboration skills, with the ability to work effectively in a team environment.
Eagerness to learn and adapt to new technologies and methodologies in a fast-paced environment."
Junior DevOps Engineer,Junior DevOps Engineer,"Relevante, Inc.",April,2024,"Pay Rate: $ 50.00 / hour

We have partnered with a large manufacturing company in the Cleveland, OH area to provide them with a Junior DevOps Engineer. Please review the below description and let us know if you are interested.

Prioritized Must Have Skills For The Junior DevOps Engineer

#1. Bachelor’s degree or foreign equivalent in related field or equivalent experience

#2. 1+ years IT experience

#3. 1+ year experience with Application Servers or similar installation and performance tuning.

#4. 1+ year working with web-based architecture and concepts including SSL, Domains, DNS Content delivery networks.

#5. 1+ year experience with automation and deployment tools (Ruby, Puppet, Chef, Jenkins, GitHub Actions).

#6.1+ year experience building cloud solutions for application implementation.

#7. 1+ year hands on experience working with Kubernetes and container orchestration.

#8. Understand concepts of security related tooling (Web Application Firewall, SAST, DAST).

#9. Working knowledge of Apache based Webserver, or Nginx.

#10. Experience with task automation via scripting.

Responsibilities Of The Junior DevOps Engineer

The PSG IT DevOps Engineer manages processes and technologies that enable business value by delivering high quality software at speed and scale. They focus on standardized platforms that are built and managed via automation. They are responsible for the configuration, automation implementation, and support of web solutions in a global environment. You will maintain current or near current levels of software, patches, features, and configurations for the IT systems, supports project teams in delivering new capabilities to our customers, with team members who focus on operational excellence, innovation, delivery, and organizational learning.

Strategy & Planning

Support management in the implementation of long-term strategic goals for technologies and related products in conjunction with business requirements.
Support technology platforms in conjunction with business owners and department managers.
Work with development staff to implement architectures, tuning/coding standards, and quality assurance policies and procedures.
Assist with the implementation of redundant systems, policies, and procedures for backup/recovery, disaster recovery, monitoring, alerting and data archiving to ensure effective protection and integrity of data assets.
Assist with evaluating software through implementing new software versions, technology, and processes.
Collaborate with other engineers to align solutions across platforms.

Acquisition & Deployment

Support Management in ensuring the quality of new applications, systems software, and/or enhancements to existing applications throughout the enterprise.
Implement software products and services in support of procurement and development efforts.
Assist with feasibility studies for system products under consideration for purchase, and give advice based on findings, where required.
Ensure that any new software integration into company systems meets functional requirements, system compliance, and interface specifications.
Collaborate with analysts, designers, and system owners in the testing of software programs and applications.
Participate in server lifecycle management.
Upgrade/migrate technology versions.
Plan, coordinate and implement security measures to safeguard information against accidental or unauthorized damage, modification or disclosure.

Operational Management

Assist with the engineering, configuration, operation and maintenance of secure and scalable internet/intranet hardware and software infrastructure that serve eCommerce, CMS and other Enterprise Scale applications
Document installation and configuration standards of applications and software packages implemented in team’s Knowledge Base.
Troubleshoot and resolve issues affecting the hardware and software infrastructure.
Develop and perform automated controlled deployments of digital assets between development, quality assurance and production environments.
Tune web and application server performance in conjunction with Application Performance Management.
Plan and complete projects based on high-level requirements with minimal guidance.
Perform activities in support of a 24x7 global support model for production environments.

Incidental Functions

Monitor servers, applications, integrations and websites.
Assist with disaster mitigation & recovery implementation.
Assist with various projects as may be required to contribute to the efficiency and effectiveness of the work.
Participate in hiring activities and fulfilling affirmative action obligations and ensuring compliance with the equal employment opportunity policy.
Attend meetings with software developers and business users.

Requirements Of The Junior DevOps Engineer

Formal Education & Certification

Bachelor’s degree or foreign equivalent in related field or equivalent experience.

Knowledge & Experience

1+ years IT experience
1+ year experience with Application Servers or similar installation and performance tuning.
1+ year working with web-based architecture and concepts including SSL, Domains, DNS Content delivery networks.
1+ year experience with automation and deployment tools (Ruby, Puppet, Chef, Jenkins, GitHub Actions).
1+ year experience building cloud solutions for application implementation.
1+ year hands on experience working with Kubernetes and container orchestration.
Understand concepts of security related tooling (Web Application Firewall, SAST, DAST).
Working knowledge of Apache based Webserver, or Nginx.
Understanding of DNS, TCP/IP, load balancing and network concepts.
Understanding and familiarity with Linux or *nix operating systems.
Experience with task automation via scripting.

Preferred Qualifications And Skills

Enterprise Content Management System experience.
AWS or other cloud experience
Understanding of Infrastructure as Code approaches to infrastructure management
Understanding of Container security, management, implementation, and orchestration in a cloud environment
Ability to drive innovation across the team and department.
Application Performance Management (Dynatrace or similar).
Good knowledge of LDAP concepts and experience working with a LDAP Directory.
Experience with Agile development and release practices.

Other Key Requirements

Contract to hire
Hybrid role- 3 days onsite
Hours: 8:00 AM- 5:00 PM
US Citizen or Green card Holder.

About Relevante, Inc. – the Recruiting Firm Representing the Client for this Job

Relevante is an accounting & technology direct hire recruiting and contract staffing firm. We help our Clients identify and recruit the best talent in the market and help our candidates win engaging and enriching jobs. Our Clients are some of the best companies to work for among F1000 and emerging fast growth companies in the region. Relevante has been consistently ranked as a fast growth company and one of the largest recruiting, accounting, and management consulting firms in the Philadelphia region. To stay connected with our network, please follow us on LinkedIn https://www.linkedin.com/company/relevante."
DevOps Engineer-Canada,DevOps Engineer-Canada,Zortech Solutions,January,2024,"Role: DevOps Engineer(DE)

Location: Remote/Canada

Duration: 6+ Months

Job Description

Strong experience in DevOps engineering.
Expertise in JavaScript and TypeScript, with strong coding skills
Experience with cloud-based infrastructure such as AWS, Azure, or Google Cloud
Strong understanding of containerisation technologies such as Docker and Kubernetes
Familiarity with build automation such as TeamCity or Azure DevOps
Experience with monitoring tools such as New Relic and Dynatrace
Familiarity with security and compliance best practices
Excellent problem-solving and analytical skills
Strong communication and collaboration skills"
Devops Engineer ( Terraform & GCP ),Devops Engineer ( Terraform & GCP ),"Conch Technologies, Inc",May,2024,"HI, No H1s Please

Greetings from Conch Technologies Inc

Position: DevOps Engineer (Terraform & GCP is must have)

Location: Phoenix, AZ ( Day 1 Onsite )

Duration: 12+ Months Contract

No H1s ,

H1 transfer is fine...

Client Note: NEED Terraform coders/ developers who can write a Terraform.

Cloud: AZURE

Should be strong with Terraform commands, best practices, deployments, debugging, and troubleshooting.

Familiar with GCP best practices and recommendations to set up, configure, and manage at the enterprise level.

Planning design and development of an application on the Cloud

Ability to design applications on AWS taking advantage of disaster-recovery design guidelines

Prior experience in automated build pipeline continuous integration

Candidate should have Exp is a plus: with tools such as TFLint, TerraScan, TerraGrunt Exp with Terraform Registry Writing Terraform modules for Services such as S3, SNS, SQS, RDS, EC2, EKS, Lambda's Specifically should have experience with AWS Provider of Terraform Experience configuring Remote State management using S3 and DynamoDB Good experience writing Terraform code for critical Production Systems (not looking for a novice who is learning TF).

With Regards,

Teja Maripeti

Desk: 901-317-3455

Email: teja@conchtech.com

Web: www.conchtech.com"
DevOps Engineer,DevOps Engineer,Cohere Health,May,2024,"Company Overview

Cohere Health is illuminating healthcare for patients, their doctors, and all those who are important in a patient’s healthcare experience, both in and out of the doctors office. Founded in August, 2019, we are obsessed with eliminating wasteful friction patients and doctors experience in areas that have nothing to do with health and treatment, particularly for diagnoses that require expensive procedures or medications. To that end, we built an interoperable platform and services that are expressly designed to ensure the appropriate plan of care is understood and expeditiously approved, so that patients and doctors can focus on health, rather than payment or administrative hassles.

Opportunity Overview

The DevOps Engineer will work closely with Cohere engineers to plan, deploy, and support high-availability solutions. The successful candidate will implement and manage tools supporting Cohere’s engineering teams and infrastructure, coach junior engineers on DevOps best practices and tools. Additionally, they will be responsible for ensuring Cohere maintains a disciplined approach to healthcare security. The candidate should have proven experience across a range of DevOps capabilities such as log aggregation, CI/CD, Linux, Docker, and Kubernetes, as well as experience with cloud infrastructure provisioning, management, and automation technologies such as Terraform, CloudFormation, Chef, and Puppet. Finally, the candidate should be passionate about building quality products, have strong technical skills in areas of Linux system administration, networking, and application deployment/maintenance, and be experienced with at least one scripting language and monitoring systems.

Last but not least: People who succeed here are empathetic teammates who are candid, kind, caring, and embody our core values and principles. We believe that diverse, inclusive teams make the most impactful work. Cohere is deeply invested in ensuring that we have a supportive, growth-oriented environment that works for everyone.

What You Will Do

Work closely with Cohere engineers to plan, deploy, and support high-availability solutions
Implement and manage tools supporting Cohere’s engineering teams and infrastructure including monitoring and alerting, CI/CD, and version control
Automate the compilation, testing, packaging, and release of Cohere’s software platform
Continuously discover, evaluate, and implement new technologies or services to maximize development efficiency
Actively participate in ensuring Cohere maintains a disciplined approach to healthcare security

Your Background & Requirements

Bachelor's degree in computer science, software engineering, or equivalent experience
Minimum of 3 years of experience in DevOps practices and cloud infrastructure (preferably AWS) management, required
Prior experience in healthcare and life sciences is a plus, but is not required
You have managed highly scalable production infrastructure in a highly regulated environment
You possess proven experience across a range of DevOps capabilities such as log aggregation, CI/CD, Linux, Docker and Kubernetes.
You have experience developing and managing continuous integration / continuous deployment pipelines using tools such as Jenkins and Github Actions
You have hands on cloud platform experience with a strong preference for AWS
You are passionate about building quality products and want to build the infrastructure that enables Cohere’s rapid, agile, and reliable software development
You are a team player and are interested in working at a fast-paced startup environment
You are excited by team development and actively seek opportunities to mentor and develop talent
Experience with cloud infrastructure provisioning, management and automation technologies (Terraform, Cloudformation, Chef, Puppet, etc) - Preferred
Experience with at least one scripting language (Shell, Ruby, Python, Perl, Go, etc)
Experience with monitoring systems

We can’t wait to learn more about you and meet you at Cohere Health!

Equal Opportunity Statement

Cohere Health is an Equal Opportunity Employer. We are committed to fostering an environment of mutual respect where equal employment opportunities are available to all. To us, it’s personal.

The salary range for this position is $120,000 to $140,000 annually; as part of a total benefits package which includes health insurance, 401k and bonus. In accordance with state applicable laws, Cohere is required to provide a reasonable estimate of the compensation range for this role. Individual pay decisions are ultimately based on a number of factors, including but not limited to qualifications for the role, experience level, skillset, and internal alignment

#BI-Remote"
Devops Engineer,Devops Engineer,KNS IT GROUP,March,2024,"Job Description

The DevOps Engineer is responsible for managing and maintaining the global enterprise platforms, maintaining the templates for the monitoring systems, integration to BigPanda, the quality of the alerting into the BigPanda eventing platform, CMDB integration, monitoring Best Practices for AWS cloud.
10+ years working in Information Technology
4+ years running production systems on AWS
Datadog
Experience with site monitoring and log monitoring tools, specifically Datadog.
Certified AWS SysOps Administrator a plus.
Experience with TypeScript & JavaScript
Experience with DynamoDB, S3 and Cognito
Good understanding of Serverless and CloudFormation
Understanding of best practices for AWS, EC2, Couchbase and monitoring of containers
Manages capacity planning, updates, upgrades and internal integration.
Responsible for administration of monitoring tools in the APM space
Coordinates with DevOps, Problem Management, etc escalations to support monitoring
Manages uptime and availability and reporting
Mentor, educate, and train support personnel on how to use tools
Maintains knowledge on current technology by reading technology periodicals, evaluating new technologies and attending trade-shows, technical seminars and training sessions.
Performs other duties as assigned and required. Duties and responsibilities may change from time to time without notice and include but are not limited to the duties described above

Required Qualifications - Knowledge/Skills

Manage monitoring of overall application availability, latency and system health
Determine alert standards for production environments and implement them
Develop strategies for logging and indexing to improve visibility to development teams
Develop and manage configuration scripts for Amazon hosted infrastructure
Work with the development team and management to ensure high availability
Familiarity with configuration management software such as Ansible
Build reporting dashboards to assist visibility of cost and stability
Provide support to teams for alarms and outages on an as-needed basis
Experience with Windows Server, IIS, Docker/Kubernetes
Strong understanding of systems, networks and troubleshooting techniques.
Experience in automated build pipeline, and continuous integration. Source control, branching, & merging: git/svn/etc (Repository Management)
Communication Skills- The ability to communicate verbally and in writing with all levels of employees and management, speaks and writes clearly and understandably at the right level.
Integrity and Trust- Involves being widely trusted, being seen as a direct, truthful individual, can present the unvarnished truth in an appropriate and helpful manner, keeps confidences, admits mistakes, and doesnt misrepresent him/herself for personal gain."
