Position,Company_Name,Location,Post_Month,Post_Year,Details
Program Manager/Project Manager,Program Manager/Project Manager,Fallon,May,2024,"When Fallon opened its doors, it introduced itself to the world as “A new advertising agency for companies that would rather outsmart the competition than outspend them.” Over forty years later, media, culture, and even the definition of an ad has changed. But our commitment to outsmarting has never wavered. We’ve simply evolved and modernized it, whether that means creating multi-channel activations to drive billions of impressions (Arby’s), breaking the internet with an iconic pop culture reunion (Mean Girls + Walmart), or helping beloved cable franchises reinvent themselves on streaming platforms (Comedy Central + Showtime).

Regardless of the content or the context, we have a steadfast belief inTHE POWER OF CREATIVITYand its ability to create an unfair competitive advantage for those brave enough to unleash it. We make big work for big brands on big stages. And we care about the work as much as we care about the people making it. We function as one integrated brain withmedia experts who think like creatives who think like strategists who think like account people. And together, our mission is to fuel the forward trajectory of businesses and brands.

Job Description

The Program Manager is responsible for the health and quality of mid-to-large scale client projects, focusing on creative project management, end to end project workflow, and delivery efficiency and quality, while working with managers in learning to manage margin and risk mitigation and resolution.

The ideal candidate should have experience leading marketing and advertising projects comprised of multidisciplinary resources, with experience in collaborating with key agency stakeholders, including but not limited to Creative, Client Services, Finance, Strategy, Data and Analytics, Media, and Technology. Experience with managing multi-channel engagements (video, TVC, print, digital, experiential, activation, etc.) is preferred.

They will also possess a proven ability to represent the Program Management discipline with internal and client stakeholders, and be deft at building and maintaining strong relationships with agency, client and third-party partners.

Responsibilities:
Manage medium-scale projects end to end, from strategy brief to asset delivery. Work with strategy, creative, account, and production teams to ensure smooth delivery of deliverables and assets, while also facilitating communications between teams.
Partner with Creative to effectively shepherd and manage the evolution of creative work, ensuring quality at all points from concept through delivery. Active partnership with Resource Management, Production, and Technology departments to ensure connections and collaborations happen where they should, in support of innovative and award-winning creative ideas.
Provide solutions-oriented program management with a willingness to creatively solve problems with a positive, professional demeanor and emotional intelligence.
Develop scopes, staffing plans, and estimates for medium-scale projects and engagements, with direct manager supervision and support. Responsible for the scoping and management of multiple concurrent projects and client engagements totaling up to $1-3MM annually.
Engage with Resource Management and Finance as appropriate for staffing, scoping and estimating. Work closely with direct supervisors and team members identify flags, find solutions, and manage up.
Contribute to a culture of delivery efficiency and excellence within the Program Management department.
Maintain departmental values, vision, direction and responsibilities with project stakeholders.

Work with account and client stakeholders to instill and enforce processes, workflows and

tools that support the profitable delivery of client work.
Partner with Client Services and Finance stakeholders to actively manage business

challenges, client relationships, develop project plans, and maintain profit margin.
Partner with internal team to help optimize existing operational processes and systems.

Qualifications

Qualifications:
3-5 years project or program management experience in a creative services organization working with cross-functional stakeholders including strategy, data and planning, creative, editorial, experience design, production, technology, operations and resourcing.
Demonstrated understanding of project management methodologies, process and tools, including staffing, scoping, estimating, burn management.
Working knowledge of MS Office, project management software (JIRA, Basecamp, etc.), and project management software (MS Project, Smartsheet).
This position is located in NYC.

Additional Information

All your information will be kept confidential according to EEO guidelines.

Compensation Range: $58,500.00 - $92,000.00 annually. This is the pay range the Company believes it will pay for this position at the time of this posting. Consistent with applicable law, compensation will be determined based on the skills, qualifications, and experience of the applicant along with the requirements of the position, and the Company reserves the right to modify this pay range at any time. For this role, the Company will offer medical coverage, dental, vision, disability, 401k, and paid time off.The Company anticipates the application deadline for this job posting will be 04/30/2024."
Program Manager/ Project Manager (100% Remote) Medicare,Program Manager/ Project Manager (100% Remote) Medicare,SPAR Information Systems LLC,December,2023,"Role: Sr. Program Manager/ Project Manager

Location: Remote

Duration: 12+ Months

Core Skills

12-15 years of experience in project management with 2-3 years as a program manager

Solid experience in healthcare clients like – Anthem/ CareSource/CVS / BCBS

Solid experience on stake holder management

Good experience on Medicaid and Medicare process flows

Thanks & regards.

Arvind Kumar Bind

|| SPAR Information Systems || Phone: 469-750-0607 ||

|| Email: Arvind.B@sparinfosys.com || Web: www.sparinfosys.com ||"
Project/Program Manager I,Project/Program Manager I,IntePros,May,2024,"Compensation Range:

$45-$50/hr

Welcome to IntePros, a certified woman-owned company specializing in innovative and results-oriented recruiting and staffing solutions. We take immense pride in genuinely understanding what drives and inspires exceptional individuals like you. Your success is our priority, and we are dedicated to actively shaping your long-term career journey. At IntePros, we believe in comprehensive well-being. You have access to our medical, dental, vision, and mental health programs, ensuring your health and wellness are taken care of. To support your continuous growth, we also provide a $1,500 per year education and professional certification fund. Diversity and inclusion are cornerstones of our company ethos. IntePros is proud to be an equal opportunity employer. We do not discriminate in employment on the basis of race, color, religion, sex, pregnancy, gender identity, national origin, sexual orientation, disability, age, veteran or military status, retaliation, or any other characteristic protected by law. We celebrate the rich tapestry of backgrounds and perspectives that make us stronger as a team. Please note that only qualified individuals being considered will be contacted. We appreciate your interest and look forward to potentially embarking on a transformative journey together.

IntePros is excited to partner with a global tech and commerce leader to help them identify a Project Manager to assist in the delivery of mission-critical projects. This is an outstanding opportunity for a Jr. - Mid level Project Manager to take their career to the next level!

This role is hybrid (3 days onsite) and requires a traditional 40 hour work week (M-F, hours are EST). Please see description below and reach out to Elizabeth Smith (esmith@intepros.com) with questions:

Key Responsibilities:

Evaluate and analyze research scope, defining project needs for global research initiatives.
Take ownership of end-to-end project execution, from scoping and intake to data collection and delivery.
Contribute to the design of innovative research methods, execute pilots, and iterate on mechanisms for optimal results.
Coordinate and drive completion of impactful projects within agreed timelines, ensuring high-quality deliverables.
Identify opportunities to enhance workflow efficiency and streamline processes for greater productivity.
Dive deep into data from various sources, conducting thorough analysis and iterating on mechanisms as needed.
Collaborate with colleagues across departments, effectively managing stakeholder expectations and external partnerships.


#﻿LI-ES1"
Program Coordinator / Project Manager,Program Coordinator / Project Manager,"LanceSoft, Inc.",May,2024,"Job Title:          Program Coordinator / Project Manager (70)
Location:          Pleasanton, CA 94588
Duration:          0 - 4 Month Contract
Hours:              Business Hours (Mon - Fri)
 Job Description:
Coordinate, plan, and follow up between Albertsons internal and external vendors across marketing and digital marketing workstreams.
Work closely with cross-functional teams to execute projects, including Shopper Experience, Data Science, IT, Merchandising, and Operations.
Capable of handling multiple projects, react to real-time changes, operate in an ambiguous environment, and ensure flawless execution.
Well-organized, detail oriented, possess exceptional communication skills and thrives in a fast-paced environment.
Coordinate, facilitate, and report out updates with ability think and perform both tactically and strategically.
Foster a strong work environment that rewards individual and team efforts; encourages creativity while maintaining high caliber productivity and quality.
Ability to do project planning, budget estimation and management, resource planning and assessment, financial planning and risk assessment.
Adoption of existing Project Management best practices, including the proficient use of industry standard tools, technologies, and methodologies.
Capable of working in a remote setting following a Pacific Time Zone.
 Qualifications:
Program Manager or Project Manager Experience having strong proficiency in project management tools like MS Project / Project Web App (PWA), Clarizen, Wrike, Jira, Smartsheet, SharePoint, etc.
Experience in Martech and ad-tech stacks of Google, Adobe, and Salesforce is a plus.
Ability to communicate effectively to senior leadership; exceptional written and verbal communication skills that can be tailored to internal partners.
Seasoned in maintaining timelines, delivery, dependencies, and communication across teams.
Excellent interpersonal and team building skills having a positive, people-oriented and energetic attitude.
Retail experience a plus but not required."
Marketing Project Coordinator,Marketing Project Coordinator,Adaptive Health,May,2024,"Position Summary

The Marketing Project Coordinator will support conversion optimization efforts across various digital platforms, learning from seasoned professionals and gaining hands-on experience in conversion rate optimization strategies. The position will be primarily responsible for testing and monitoring of new and existing landing pages for functionality and errors. Additionally, this position, in coordination with various internal teams, will manage new initiatives related to incremental improvements in conversion optimization. Successful candidates will propose testing ideas of their own.

This is a hybrid position, meaning physical presence in the workplace is required at least three (3) days per work week, with Wednesdays a requirement. Employees in this position must meet and adhere to the requirements set forth in the company’s Hybrid Work Policy. Occasional out-of-state travel for meetings or events that occur outside of an employee’s scheduled office days and in which the Company determines, in its sole discretion, that in-person attendance is required.

Essential Functions

Create workflows so that the optimization team can track the status of projects.
Work with Marketing and Optimization team members in-person and remotely to test new landing pages and offer pages as updates are rolled out to ensure functionality is working properly.
Ensure updates and live pages are free of technical errors. Report bugs and issues to be fixed. As part of this, ensure check-out experience is functioning correctly, place test orders, confirm up-sells appear correctly and ensure emailed purchase receipts are sent and accurate.
Proof for non-technical errors such as misspelling, image issues/misalignment, pricing inconsistencies, terms issues, etc.
Test page load speeds and work with Development team to improve as needed.
Project manage new web/conversion optimization projects (both new tests as well as new products/campaigns) created in project management tools, including:
Ensuring tickets include sufficient details and are progressing in a timely manner.
Source and provide landing page information to cross-functional teams when necessary.
Help to problem solve issues when they arise.
Coordinate activities between Media, Creative and Development teams
Put systems in place to enable the team to be self-sufficient with things such as JIRA boards, dashboards, reports, etc.
Coordinate meeting times, agendas, and recap notes.
Give status updates of active projects both via email and in weekly meetings.
Proactively review highest traffic existing landing pages for technical and non-technical issues.
Place test orders as needed to ensure proper implementation of retention marketing material. Work with teammates to understand what should be included in each order.
In the event of a mistake, communicate with broader teams to update systems.
Perform other duties as assigned.

Education and Experience Requirements

0-2 years’ experience in project coordination.

Preferred Qualifications

Strong attention to detail, ability to find and identify inconsistencies and errors.
Proactive self-starter that excels in planning, scheduling, and project communications.
Thrives in a team environment with the ability to work effectively and collaboratively in-person and remotely.
Ability to prioritize responsibilities and meet strict deadlines while delivering high-quality work.
Excellent verbal and written communication skills.
Ability to clearly explain their position and logically/respectfully push-back when needed.
Organizational skill with strong attention to detail.
Experience working in internet/ecommerce environment preferred.
Direct Response Marketing background is a plus."
"Program Manager, Merchandising Operations","Program Manager, Merchandising Operations",Netflix,May,2024,"Netflix is one of the world's leading streaming entertainment services, with over 247 million paid memberships in over 190 countries, enjoying TV series, films, and games across a wide variety of genres and languages. Members can play, pause, and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

We are looking for a Merchandising Operations expert to join a newly established Merchandising team.

As key members of the Technical Merchandising team, Merchandising Operations Program Managers are responsible for driving the execution of all product merchandising strategies and programs. With a focus on enhancing the discoverability and engagement of our movies, shows, and games, they are the guardians of our merchandising capabilities and are responsible for having a deep understanding of our content, how our product and merchandising techniques work, and how we develop and optimize those techniques over time to scale and support our business.

The ideal candidate will have a strong background in content merchandising, catalog curation, and program management in app-based environments.


Key Responsibilities


Be the operations partner to our team of Merchandising Strategists.
Responsible for executing merchandising tactics and programs, setting them up in relevant tools, tracking for quality control, flagging discrepancies for review, and troubleshooting as needed.
Ensure that the merchandising of shows, films and games to audiences is aligned with defined strategies.
Utilize a deep understanding of the content that Netflix produces and licenses to organize the catalog effectively.
Execute and configure the eligibility logic and rules for multi-title experiences, working with Merchandising Strategy partners to brainstorm and apply new rules as needed.
Accountable for launching tactics and programs on time; this includes bringing in relevant partners, working with them to ensure deliverables are met, and maintaining operational timelines.
Operate merchandising tools and work directly with Content Promotion & Distribution Product Managers and the Technical Merchandising team leader on tooling roadmap requirements.
Ensure that requirements to make tools more effective are articulated with strong business cases.
Track “launch health” metrics for programs and elevate issues, as needed.
Have a deep understanding of workflows across the Product Discovery & Promotion organization and work with the Operations team to evolve them, as needed.
Support digital product innovation initiatives by contributing to product strategy, feature development, and AB testing.
Collaborate closely with engineering and data science teams to implement innovative solutions and features.



Qualifications - Curation And Catalog Evaluation


A nuanced understanding of movies, TV shows, or gaming can surface thematic connections and relationships between titles.
Experience in metadata classification is highly beneficial.
Strong editorial judgment and creativity that can translate to creating compelling multi-title collections that resonate with target audiences.
Skilled in content evaluation and data analysis to draw insights and make data-driven recommendations.
General knowledge of information architecture, metadata, and taxonomy concepts.



Program Management


Skilled at translating business and product merchandising strategies into tactical solutions and deliverables.
Demonstrated ability to tackle large-scale and complex projects at an elevated level of execution.
Can develop repeatable frameworks and processes for consistent, efficient, and high-quality program delivery.
Comfortable with working in the weeds, but able to still keep the broader vision in mind.



Tooling And Tech


Comfortable working with and analyzing large datasets to derive actionable insights.
General experience working with enterprise systems and integrations across tools.
Can quickly grasp new tech and digital product concepts.



Communication And Collaboration


Strong written (memos and presentations) and verbal communication skills; can present complex concepts and processes to partner teams in a digestible format.
Good judgment on how and when to set context and bring in partners.
Able to collaborate effectively with Engineering and Data Science teams, translating ideas, requirements, and needs in a consumable way.
Ability to build strong relationships with stakeholders and effectively influence and contribute with concrete recommendations/next steps, across both regional and global teams.
Able to confidently represent a capability, team, or org in a room with cross-functional groups.



General


5+ years of experience in content merchandising operations, catalog curation, program management, or related fields.
Knowledge of entertainment industry trends.
Understanding of the product development processes.
Comfortable working in a fast-paced, dynamic environment with ambiguity.
Experience in app-based environments is highly desired.
Excellent organizational skills are a must.
Highly motivated self-starter with the ability to work independently and drive alignment amid ambiguity.
Comfortable applying a combination of qualitative and quantitative methods to define success.
Insatiable curiosity to learn new domains, keep up with industry innovation, and constantly ask ‘why’.


Candidates with backgrounds in the following areas are encouraged to apply:


Content Merchandising Specialists.
Digital Product Strategists.
Digital Operations Managers.
Catalog Managers.
Metadata Classification Specialists.
Film, TV, and Gaming experts.


Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $70,000-$370,000.

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more detail about our Benefits here.

Netflix is a unique culture and environment. Learn more here.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity of thought and background builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service."
Project/Program Manager IV,Project/Program Manager IV,"Anveta, Inc",May,2024,"Hi Team ,

Candidate Must Be Local

Project/Program Manager IV

Location: Salem, Oregon-97232---Hybrid

Duration: 6+Months

Job Description

The Key Person will specifically focus on developing and refining project planning and scheduling to increase efficiency and accuracy
Project management and assistance with completing project deliverables for ALERT IIS
Liaise with OIS technical support team
Update planner with new tasks based on input from OIP project team
Manage multiple complex and detailed schedules
Maintain timelines, milestones, and critical paths
Monitor and control programs to assure timely completion
Schedule and conduct stage gate review meetings with OIP team
Advise on and escalate key issues that impact the schedule
Ensure all resources are allocated to the appropriate tasks
Produce resource capacity reports (identify all resources that are over-allocated and under-utilized)
Devise ad hoc reports that will be needed for senior management to make informed decisions

Required Skills And Experience

Office 365
Tableau
Prior state government experience
Project Management
Exceptional communication skills
Ability to work effectively remotely
In addition, the ideal candidate will have skills and experience in:
WSDL Language
General knowledge of HL7 at minimum; desired HL7 immunization profiles
Proficient in Visio; Process Mapping

Please Share the Profile to priya@anveta.com or reach me at 469-813-9027 ."
Program Manager 1,Program Manager 1,AMD,May,2024,"WHAT YOU DO AT AMD CHANGES EVERYTHING

We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives.

AMD together we advance_

The Role

AMD’s technology validation team is a group within our Foundry Technology Operations department. The group is primarily located in central Texas but interfaces with support teams across the globe. Members of the technology validation team are primarily responsible for the design and characterization of advanced technology. The team delivers critical data on yield, performance, and reliability at AMD’s foundry partners. The team is also responsible for characterizing AMD’s future proprietary IP. The work done by the technology validation team paves the way for AMD’s product roadmap and ensures informed decision making by the executive team. The team interfaces directly with all of AMD’s internal and external customers and suppliers.

We are seeking a Program Manager for the Technology Validation Team in Austin. The role will focus on driving cross product reliability evaluations.

The Person

The successful candidate will have outstanding communication and presentation skills. Should be comfortable working cross functions and organizations on large scale development projects. Managing for influence horizontally will be critical.

Key Responsibilities

Managing pre-silicon planning sessions with other project managers across a tech node
Negotiating with foundry and products teams for samples and resources
Interfacing directly with reliability labs in Asia and US
Driving and reporting schedule of activities and status
Interacting with several internal organizations (design, supply chain, test)
Optimizing resources around team’s mission of delivering best in class reliability


Preferred Experience

Experience working with complex corporate projects
Experience with taking ASIC, GPUs, or CPUs to production
Strong team leadership skills
Capable of leading technical discussion with experts
Experience in communicating across organizational boundaries at all levels
Demonstrated capability to drive alignment and solutions in a team environment
Background in Si program management and/or PMP certification
Overlapping experience with product reliability and product test engineering


Academic Credentials

Degree: BSEE, BSCE, MSEE, MSCE or equivalent (6 years post-grad experience)


Location: Austin, TX

At AMD, your base pay is one part of your total rewards package. Your base pay will depend on where your skills, qualifications, experience, and location fit into the hiring range for the position. You may be eligible for incentives based upon your role such as either an annual bonus or sales incentive. Many AMD employees have the opportunity to own shares of AMD stock, as well as a discount when purchasing AMD stock if voluntarily participating in AMD’s Employee Stock Purchase Plan. You’ll also be eligible for competitive benefits described in more detail here.

AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process."
Senior Project / Program Manager - Pharma,Senior Project / Program Manager - Pharma,Zifo,May,2024,"Location{{:}} Cambridge, MA (Hybrid)
Zifo is looking for a Senior Project/Program Manager with experience in validated systems application development and GxP processes for a client in Cambridge, MA. The Project Manager will be responsible for the delivery of various technical solutions.


Requirements

High level PM Job Description{{:}}
  Develop an end-to-end project management plan using formal tools such as Microsoft Project or Jira
Create project artifacts, such as project plans, measures, team and stakeholder communications, status reports, resource, and time management
Set a cadence for project team meetings and steering committee meetings. Schedule meetings, document minutes and action items
Execute the project plan, monitor scope, milestones, dependencies, cost, project reporting, RAID, communication, escalations
Understanding of the GxP process and closely monitor the project scope change through formal change control mechanism
Manage project financials such as forecast and monitor them against the project budget. Develop project or program budgets
Adhere to project governance activities as outlined by the S&O
 
General Project Management Skills{{:}}
Ultimately responsible to manage high priority projects with many stakeholders and several smaller workstreams to meet company needs. Projects are both technical and non-technical or technical in nature
Responsible for managing risks, communications, budgets, procurement, timelines, resources, quality and scope in executing projects within the Project Management Methodology
Ensure projects are implemented within stated goals and timelines
Will prepare and/or present data, results and reports to peers, project managers, and management. Comfortable interacting with and presenting to all levels of management
Anticipates and resolves conflicts with a win-win mentality
Able to concurrently manage multiple projects and priorities, using best practices and industry standards
Be an expert in Project Management within the corporate and a matrixed environment 

Technical PM Responsibility{{:}}
Manage/lead entire project or service including technical solution, implementation, support and quality. Understand and direct/participate in all phases of project implementation on large projects
Prioritize work and schedules
Review project team deliverables to ensure quality (design walk-through, test results, etc.) and adherence to standards/ regulatory requirements
Interact with customers to understand their business and to anticipate IT solutions based on business and technical knowledge. Manage (educate and influence) the business project sponsor
Participate in the budget process and be accountable for project budget on small/medium size projects
Provide direct supervision and mentoring of project team member's during the project. Provide project performance feedback to the team member's supervisor/manager
Participate in the research, analysis, selection, and implementation of new tools, technologies and/or services

In delivery to the Project Management Office{{:}}
As a change agent, works with a cross functional teams to develop and deploy new business process and improve existing business processes
May collect data to monitor & report on the progress of project(s); then assembles the preliminary analysis of the data
Assesses project or business process issues and develop solutions in order to meet objectives, which may include quality, customer satisfaction, productivity and costs
Using project management tools, develops mechanisms for monitoring project progress and for intervention and problem solving with project managers, line managers and other manufacturing managers
Approves team deliverables for project completion and focuses teams on ensuring completion of deliverables based on agreed to timelines
Qualifications{{:}}
Bachelor's/Master's degree or equivalent in a Life Sciences or IT field is mandatory
Minimum 10 years experience as a Business Technology Consultant/Project Manager
Minimum 10 years experience managing large, complex, validated system application development projects / programs with large scale
Minimum 5 years of experience working with Customer/Client focused delivery model & Global solution deployment, preferably in the pharmaceutical /Life sciences industry
A successful Zifo-ite is{{:}}
Independent, Self-Motivated & Results driven
Willing & able to quickly acquire new Technical Skills & Business Principles
A critical thinker who possesses logical reasoning
Curious and always looking for creative solutions to complex problems


Benefits

About Zifo{{:}}
CURIOSITY DRIVEN, SCIENCE FOCUSED, EMPLOYEE BUILT. Our culture is unlike any other, one where we debate, challenge ourselves, and interact with all alike. We are a curious bunch, characterized by our passion to learn and spirit of teamwork. Zifo is a global R&D solutions provider focused on the industries of Pharma, Biotech, Manufacturing QC, Medical Devices, specialty chemicals and other research-based organizations. Our team's knowledge of science and expertise in technology help Zifo better serve our customers around the globe, including 7 of the Top 10 Biopharma companies.
We look for Science - Biotechnology, Pharmaceutical Technology, Biomedical Engineering, Microbiology etc. We possess scientific and technical knowledge and bear professional and personal goals. While we have a ""no doors"" policy to promote free access within, we do have a tough door to walk in. We search with a two-point agenda - technical competency and cultural adaptability.
We offer a competitive compensation package including accrued vacation, medical, dental, vision, 401k with company matching, life insurance, and flexible spending accounts.
If you share these sentiments and are prepared for the atypical, then Zifo is your calling!
Zifo is an equal opportunity employer, and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
Program / Project Manager,Program / Project Manager,DGL Group LLC,May,2024,"Job Description

Primary Responsibilities

Organizing and developing programs and activities in accordance with the mission and goals of the organization.
Implementing and managing changes and interventions to ensure project goals are achieved.
Assist with the coordination of new product introduction including gate review presentations and Key Performance Indexes (on time, at cost, and on performance).
Developing an evaluation method to assess program strengths and identify areas for improvement.
Ensuring goals are met in areas including customer satisfaction, safety, and quality.
Meeting with stakeholders to make communication easy and transparent regarding project issues and decisions made.
Producing accurate and timely reporting of program status throughout its life cycle.

Requirements And Qualifications

At least one year of fast-track consumer product project management experience is mandatory.
Proficiency in MANDARIN is highly preferred.
Bachelor’s degree, preferably in the technical field is required with 2 or more years of experience in product design or project management roles.
Must possess good business instincts, problem solving and decision-making capability.
Can-Do Mindset. The ability to thrive in a fast-paced environment.
Hands-on style, yet strategic thinker.
Deep understanding of project management and proven experience in program management software.
Strong interpersonal skills and the ability to work with individuals across functions and geographic regions.
Proficiency in Microsoft applications including Word, Excel, Power Point, and Outlook.

Company Description

DGL Group is a leading manufacturer and distributor of electric rideables (electric hoverboards, scooters, bikes) and consumer electronics. Our products can be found in over 250,000 individual retail locations and e-commerce sites, including major retailers such as Walmart, Target, Amazon, Best Buy, Walgreens, Amazon.com and more.

DGL Group is a leading manufacturer and distributor of electric rideables (electric hoverboards, scooters, bikes) and consumer electronics. Our products can be found in over 250,000 individual retail locations and e-commerce sites, including major retailers such as Walmart, Target, Amazon, Best Buy, Walgreens, Amazon.com and more."
