Position,Company_Name,Location,Post_Month,Post_Year,Details
IT Security Analyst,IT Security Analyst,GuideIT,May,2024,"About GuideIT

GuideIT is a US based technology services company Headquartered in Plano, Texas, focused on providing value to its customers by aligning technology with business outcomes, maximizing value through cost management, and allowing rapid, proactive response to change. We are looking for a Full-time IT Security Analyst to join our team! Candidate must live in the Dallas/Fort Worth area, be results oriented, highly adaptable and thrive in a team environment centered on mutual trust and respect. This is a fully onsite role.

Security Monitoring and Incident Response:

Monitor security event logs and alerts from various sources including SIEM tools, intrusion detection/prevention systems and firewall logs.

Help ensure monitoring tools are ‘fit’ to the environment so that relevant alerts and events are correlated, and potential incidents notified.

Investigate and respond to security incidents in a timely manner, following established procedures and protocols.

Conduct root cause analysis for security incidents and recommend remediation actions to prevent future occurrences.

Vulnerability Management:

Perform regular vulnerability assessments on systems and networks.

Identify and prioritize security vulnerabilities based on risk assessment.

Coordinate with system owners and IT teams to remediate identified vulnerabilities.

Rapid7 InsightVM, Qualys Vulnerability Management, and Tenable Nessus.

Security Policy and Compliance:

Assist development and implementation of security policies, standards and procedures.

Ensure compliance with relevant regulatory requirements (e.g., GDPR, GLBA, PCI-DSS, SOX) and industry best practices.

Participate in security audits and assessments, threat hunting and ‘Purple-team’ exercises to identify and resolve security risks.

Threat Intelligence and Research:

Stay up to date with the latest cyber threats, attack techniques and security trends.

Use threat intelligence sources to enhance security monitoring and incident response capabilities.

Security Awareness and Training:

Collaborate with other departments to promote security awareness and best practices among employees.

Develop and deliver security training sessions and materials.

Participate in design, delivery & monitoring of security awareness campaigns; assist in driving improvements to company cyber-wellness performance.

Requirements:

Bachelor’s degree in computer science, Information Security or related field (or equivalent experience).
Previous experience in a cybersecurity role, preferably as a Security Analyst or similar position.
Strong understanding of network protocols, operating systems, and cybersecurity principles.
Familiarity with security tools such as SIEM (Rapid7 InsightIDR, Splunk, QRadar, and Elastic SIEM), IDS/IPS (Cisco Sourcefire, Snort, and Palo Alto), antivirus and endpoint detection and response (EDR) solutions (InsightIDR, Darktrace Endpoint Privilege Monitoring, Carbon Black Response, SentinelOne, and Crowdstrike Falcon).
Experience with security standards and frameworks such as ISO 27001, NIST Cybersecurity Framework, or CIS Controls.
Excellent analytical and problem-solving skills.
Effective communication skills, both written and verbal.
Relevant certifications such as CompTIA Security+ or Certified Ethical Hacker (CEH) are a plus.
Next-Generation Firewalls (NGFW): Cisco ASA / Cisco SourceFire, Palo Alto Networks, and Fortinet
Antivirus/Anti-Malware: Microsoft Defender for Business, Symantec Endpoint Protection, and McAfee Endpoint Security.
Email Security: Microsoft Exchange Online, Proofpoint Email Protection / Targeted Attack Protection, Darktrace Email Protection, and Barracuda.

Relevant Software Experience Preferred:

Network Packet Analyzers: Wireshark, tcpdump, and Zeek.
Network Traffic Analysis: Darktrace Network Monitoring, Cisco Stealthwatch, and ExtraHop.
Patch Management Systems: Microsoft SCCM, Microsoft Endpoint Manager (Intune), Quest KACE, and ManageEngine Patch Manager Plus.

Benefits:

GuideIT offers competitive pay, performance-based bonuses, and 401K with match. Health, dental and vision insurance coverage, paid holidays, and paid time off for full-time employees.

GuideIT is committed to Equal Employment Opportunity. It is the policy of GuideIT to encourage and support equal employment opportunity for all Team Members and applicants for employment without regard to sex, race, color, ancestry, religious creed, national origin, pregnancy, physical disability, mental disability, medical condition, age, marital status, political affiliation, sexual orientation, disabled veteran, or Vietnam era veteran status.

Powered by JazzHR

oqt3YHqr6B"
Analyst Cyber Security 1,Analyst Cyber Security 1,US Tech Solutions,April,2024,"Duration: 12+ Months

Job Description:
The Cyber Security Analyst will help plan and carry out security measures to protect information systems. Tasks include but are not limited to the following areas: Security and Risk Management, Asset Security, Security Architecture and Engineering, Communications and Network Security, Identify and Access Management, Security Assessment and Testing, Security Operations, and Software Development Security.

Responsibilities:
· Serves as an internal information security consultant to the organization.
· Assist in the development and implementation of security policies and procedures
· Initiates, facilitates and promotes activities to create information security awareness within the organization.
· Performs information security risk assessments and serves as an internal expert for information security related issues.
· Reviews all system-related security plans throughout the organization's corporate network.
· Monitors compliance with information security policies and procedures, referring problems to the appropriate department manager or business area.
· Supports the security incident response process.
· Provides input in selection of system software & hardware, with emphasis on security and compliance requirements.
· Provides incident and problem resolution.
· Supports development of security deliverables for enhancements to production systems and new development.
· Implements ongoing improvements to security configurations and operating procedures.
· Performs other duties as assigned.

Experience:
· Knowledge of information technology security principles and methods
· Knowledge of vulnerability information dissemination sources (alerts, advisories, bulletins)
· Knowledge of key concepts in security management (vulnerability management, patch management, incident response)
· Experience with collecting data from a variety of cyber defense resources
· Skill in recognizing and categorizing various types of vulnerabilities and associated attacks
· Experience with using security event correlation tools (SIEM)
· Ability to conduct vulnerability scans and recognize vulnerabilities in information systems
· Ability to apply techniques for detecting host and network-based intrusions using various detection technologies
· Ability to interpret the information collected by network tools

Preferred Qualifications
· Previous experience in information technology or security (System Administration or Help Desk)
· Strong communications skills, both written and oral
· Organized, responsive and highly thorough problem solver

Required Certifications
· Candidate must possess at least one of the below certifications, others may be substituted depending on experience
· CEH – Certified Ethical Hacker
· CFR – CyberSec First Responder
· CCNA Cyber Ops – Cisco Certified Network Associate – Cyber Ops
· CCNA-Security – Cisco Certified Network Associate - Security
· CHFI – Computer Hacking Forensic Investigator
· CySA+ – Cybersecurity Analyst +
· GCFA – GIAC Certified Forensic Analyst
· GCIH – GIAC Certified Incident Handler


Education:
· Bachelor’s Degree in Business Administration, Information Systems, Information Technology, Information Technology Security, Computer Science, Management Information Systems OR Information Security experience will be considered as a substitute for degree. Candidate must be actively pursuing completion of a degree listed above and self-studying to obtain at least one certification listed below.

About US Tech Solutions:
US Tech Solutions is a global staff augmentation firm providing a wide range of talent on-demand and total workforce solutions. To know more about US Tech Solutions, please visit www.ustechsolutions.com.

US Tech Solutions is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Recruiter Details:
Name: Raviteja
Email: raviteja.y@ustechsolutionsinc.com
Internal Id: 24-09837"
Cybersecurity Analyst (Hybrid),Cybersecurity Analyst (Hybrid),IsI Enterprises,May,2024,"Join the IsI Cybersecurity team as we fortify our defenses and safeguard our digital landscape! We're thrilled to announce an exciting opportunity for a Cybersecurity Analyst to join our ranks. In an era where digital threats loom large, your expertise will be pivotal in ensuring the integrity and security of our client systems. As a vital member of our cybersecurity team, you'll play a crucial role in identifying vulnerabilities, devising robust defense strategies, and staying ahead of emerging threats. If you're passionate about protecting data, mitigating risks, and thriving in a fast-paced environment, we invite you to embark on this rewarding journey with us. Apply now and be part of our mission to uphold the highest standards of cybersecurity excellence!

Duties/Responsibilities:

Compliance and Risk Management: Ensure internal and client compliance with NIST SP 800-171, CMMC, and DFARS 252.204-7012 requirements. Conduct regular risk assessments and audits to identify and mitigate vulnerabilities
Continuous Cybersecurity Monitoring and Analysis: Provide 24/7 monitoring and analysis services for both internal systems and client networks, using advanced tools to detect and respond to incidents in real-time
Email Security Management: Manage email security for the organization and its clients by setting email/domain exemptions, blocking malicious activities, and responding to social engineering attempts
Threat Intelligence and Incident Response: Conduct threat intelligence analysis and incident response, correlating actionable security events and triaging alerts to identify and mitigate threats
Incident Reporting: Lead detection, response, and mitigation of security incidents, ensuring thorough documentation and reporting in accordance with federal regulations and organizational policies
Data Analysis and Reporting: Perform extensive log analysis and report on true and false positives to provide clear security status updates to internal stakeholders and clients
Tool and Security Operations Management: Oversee and manage tools within the Security Operations Center (SOC), including SIEM, email security systems, and endpoint protection, ensuring optimal configuration and management for both the organization and its clients
Client Communication and Policy Compliance: Maintain clear communication with clients, explaining technical issues and solutions clearly and adhering to escalation procedures while demonstrating excellent customer service
Professional Development and Mentorship: Participate in and facilitate continuous education and training, and mentor junior cybersecurity staff and interns, enhancing team skills and knowledge
Operational Flexibility and Leadership: Show adaptability in shift and task assignments, and provide leadership in maintaining strict security protocols and procedures across all operations
Policy Development: Assist in the development and updating of cybersecurity policies and procedures to bolster security posture and ensure compliance with evolving regulations for both the organization and its clients
Training and Awareness: Conduct cybersecurity training sessions to elevate awareness of cybersecurity best practices among staff, fostering a proactive security culture within the organization and among clients

Qualifications:

United States Citizenship required
Bachelor's degree in cybersecurity or related field, or certification, or equivalent work or military experience
CompTIA Security+, or any relevant GIAC certifications
Deep knowledge of federal cybersecurity regulations and standards such as NIST SP 800-171, CMMC, and DFARS 252.204-7012
Experience with security incident response plans, business interruption response plans, ability to research internal or managed cyber security platforms that integrate with the customers infrastructure
Familiar with current cyber threats, including phishing and ransomware attacks
Knowledgeable in the ability to upgrade systems network security, compliance standards, and data storage and back up methods
Possess familiarity in Windows, Linux, Mac, Google cloud platform, Microsoft Entra (Azure) and AWS.
Demonstrate strong knowledge of endpoint operating systems, network hardware and software systems
Proficiency with authentication mechanism as well as access management fundamentals

Preferred Qualifications:

Master's degree in cybersecurity
Certified Information Systems Security Professional (CISSP)
Certified Ethical Hacker (CEH)
Experience with technologies to mitigate vulnerabilities

What we offer:

The salary range for this role is $75,000-$90,000, commensurate with experience
A competitive salary and benefits package
Generous PTO and flexible schedule
Hybrid work schedule
Professional growth encouragement and support

Industrial Security Integrators, LLC (“IsI”) is an equal opportunity employer committed to affirmative action and diversity in the workplace. It is the policy of IsI to provide Equal Employment Opportunities (EEO) to Employees and Applicants, without regard to race, color, religion, sex, age, marital status, citizenship status, national origin, sexual orientation, gender identity, veteran status or disability or any other factor protected by law and to provide advancement opportunities for minorities, women, disabled individuals, and veterans. IsI is stronger and more effective when our workforce includes highly qualified individuals with diverse backgrounds, cultures, and traditions.

Powered by JazzHR

4YQNv1EDtg"
SOC Analyst-locals,SOC Analyst-locals,Steneral Consulting,April,2024,"Position: SOC Analyst

Location: hybrid schedule in Chicago IL

SOC Analyst

Grasps concepts of anomaly identification and incident response
Ability to build and document Standard Operating Procedures (SOP)
Familiarity with prevalent cyber threats, such as malware, phishing attacks, and DDoS attacks.
Has the ability to digest data and understand the relationship between the data.
Ability to follow SOPs but also improve them.
Solid understanding and experience of Microsoft Defender and Azure tools.
Familiarity with Vulnerability Management tools, Incident Response, Endpoint Detection and Response
A Security Operations Center (SOC) analyst typically requires a combination of education, training, and experience in the field of cybersecurity.

Education: A bachelor's degree in a related field such as computer science, information technology, cybersecurity, or a similar discipline.

Certifications - Some Common Certifications Include

CompTIA Security+
Certified Information Systems Security Professional (CISSP)
Certified Information Security Manager (CISM)
Certified Ethical Hacker (CEH)
GIAC Security Essentials (GSEC)

Skills

Technical Skills - SOC analysts need to have a strong understanding of cybersecurity principles, tools, and technologies. Some essential technical skills for SOC analysts include:

Security information and event management (SIEM) tools
Incident response procedures and methodologies
Endpoint detection and response (EDR) solutions
Intrusion detection/prevention systems (IDS/IPS)
Firewalls, proxies, and other network security devices
Vulnerability assessment and penetration testing
Network security concepts

Analytical Skills

Must be able to analyze and interpret large amounts of data to identify potential security incidents or threats. Strong analytical skills are essential for identifying patterns, anomalies, and indicators of compromise within system logs."
Information Technology Security Analyst,Information Technology Security Analyst,GuideIT,May,2024,"About GuideIT

GuideIT is a US based technology services company Headquartered in Plano, Texas, focused on providing value to its customers by aligning technology with business outcomes, maximizing value through cost management, and allowing rapid, proactive response to change. We are looking for a Full-time IT Security Analyst to join our team! Candidate must live in the Dallas/Fort Worth area, be results oriented, highly adaptable and thrive in a team environment centered on mutual trust and respect. This is a fully onsite role.

Security Monitoring and Incident Response:
Monitor security event logs and alerts from various sources including SIEM tools, intrusion detection/prevention systems and firewall logs.
Help ensure monitoring tools are ‘fit’ to the environment so that relevant alerts and events are correlated, and potential incidents notified.
Investigate and respond to security incidents in a timely manner, following established procedures and protocols.
Conduct root cause analysis for security incidents and recommend remediation actions to prevent future occurrences.
Vulnerability Management:
Perform regular vulnerability assessments on systems and networks.
Identify and prioritize security vulnerabilities based on risk assessment.
Coordinate with system owners and IT teams to remediate identified vulnerabilities.
Rapid7 InsightVM, Qualys Vulnerability Management, and Tenable Nessus.
Security Policy and Compliance:
Assist development and implementation of security policies, standards and procedures.
Ensure compliance with relevant regulatory requirements (e.g., GDPR, GLBA, PCI-DSS, SOX) and industry best practices.
Participate in security audits and assessments, threat hunting and ‘Purple-team’ exercises to identify and resolve security risks.
Threat Intelligence and Research:
Stay up to date with the latest cyber threats, attack techniques and security trends.
Use threat intelligence sources to enhance security monitoring and incident response capabilities.
Security Awareness and Training:
Collaborate with other departments to promote security awareness and best practices among employees.
Develop and deliver security training sessions and materials.
Participate in design, delivery & monitoring of security awareness campaigns; assist in driving improvements to company cyber-wellness performance.

Requirements:
Bachelor’s degree in computer science, Information Security or related field (or equivalent experience).
Previous experience in a cybersecurity role, preferably as a Security Analyst or similar position.
Strong understanding of network protocols, operating systems, and cybersecurity principles.
Familiarity with security tools such as SIEM (Rapid7 InsightIDR, Splunk, QRadar, and Elastic SIEM), IDS/IPS (Cisco Sourcefire, Snort, and Palo Alto), antivirus and endpoint detection and response (EDR) solutions (InsightIDR, Darktrace Endpoint Privilege Monitoring, Carbon Black Response, SentinelOne, and Crowdstrike Falcon).
Experience with security standards and frameworks such as ISO 27001, NIST Cybersecurity Framework, or CIS Controls.
Excellent analytical and problem-solving skills.
Effective communication skills, both written and verbal.
Relevant certifications such as CompTIA Security+ or Certified Ethical Hacker (CEH) are a plus.
Next-Generation Firewalls (NGFW): Cisco ASA / Cisco SourceFire, Palo Alto Networks, and Fortinet
Antivirus/Anti-Malware: Microsoft Defender for Business, Symantec Endpoint Protection, and McAfee Endpoint Security.
Email Security: Microsoft Exchange Online, Proofpoint Email Protection / Targeted Attack Protection, Darktrace Email Protection, and Barracuda.
Relevant Software Experience Preferred:
Network Packet Analyzers: Wireshark, tcpdump, and Zeek.
Network Traffic Analysis: Darktrace Network Monitoring, Cisco Stealthwatch, and ExtraHop.
Patch Management Systems: Microsoft SCCM, Microsoft Endpoint Manager (Intune), Quest KACE, and ManageEngine Patch Manager Plus.

Benefits:
GuideIT offers competitive pay, performance-based bonuses, and 401K with match. Health, dental and vision insurance coverage, paid holidays, and paid time off for full-time employees.
GuideIT is committed to Equal Employment Opportunity. It is the policy of GuideIT to encourage and support equal employment opportunity for all Team Members and applicants for employment without regard to sex, race, color, ancestry, religious creed, national origin, pregnancy, physical disability, mental disability, medical condition, age, marital status, political affiliation, sexual orientation, disabled veteran, or Vietnam era veteran status."
Cybersecurity Analyst,Cybersecurity Analyst,SoFi Stadium and Hollywood Park,April,2024,"About Hollywood Park

Hollywood Park, a near 300-acre sports and entertainment destination, is being developed by Los Angeles Rams Owner/Chairman E. Stanley Kroenke with the 70,000-seat SoFi Stadium as its centerpiece. Hollywood Park is the largest urban mixed-use mega development under construction in the Western United States. When complete, Hollywood Park will have up to 2,500 residences, a hotel, a retail district reaching up to 890,000 square feet, up to 5 million square feet of office space, and more than 25-acres of public parks and open space.

Home to the Los Angeles Chargers and Super Bowl LVI Champion Los Angeles Rams, SoFi Stadium is the host of world-renowned sporting events, including Super Bowl LVI in 2022, College Football Playoff National Championship game 2023, WrestleMania 2023, World Cup 2026, and the Opening and Closing Ceremonies of the Olympics in 2028. Adjacent to the stadium and under the same roof canopy is a 2.5-acre open-air plaza, American Airlines Plaza, and the 6,000-seat YouTube Theater. YouTube Theater is an intimate venue, making it the perfect place for concerts, comedy, awards shows, esports competitions, community gatherings, conferences and more.

Culture

Hollywood Park is being brought to life by a deeply experienced team of creative forward-thinkers. The project is a celebration of all that Los Angeles has to offer. We are inspired by our diverse Inglewood community as a place for the community to be, to see and to connect.

Hollywood Park is committed to building and maintaining a workplace that celebrates the diversity of our team members, allowing them to bring their authentic selves to work every day.

At the heart of Hollywood Park, lies our dedication to our purpose, promise, and commitments. Our PURPOSE is creating extraordinary experiences, one moment at a time. Our PROMISE is to be an iconic destination that celebrates our diverse and vibrant community. We promise to exceed expectations while cultivating a fun and safe experience where lasting memories are made. Our COMMITMENTS are outlined by S.T.A.R.S.

Our S.T.A.R.S. commitments are enabled by five foundational principles:

Start with Care – create a lasting impact through genuine care
Thrive as a Team – create an environment of collaboration and encouragement
Anticipate Unspoken Needs – be proactive in delivering extraordinary service and support others
Resolve with Respect – treat others with empathy, patience, and kindness
Safety Always – maintain a safe and secure environment

As the Cybersecurity Analyst, You Will..

The Cybersecurity Analyst and play a pivotal role in protecting our digital landscape. You will employ state-of-the-art technology to safeguard the confidentiality, integrity, and availability of our critical information. This position offers the chance to engage in cutting-edge cybersecurity practices, from monitoring network anomalies using machine learning to developing robust defense strategies with a dynamic team. Ideal candidates will have a strong foundation in cybersecurity principles, hands-on experience with advanced security tools, and a keen interest in the sports and entertainment industry.

More Specific Responsibilities Include, But Are Not Limited To…

Monitor network traffic and device behavior within the organizational environment to detect anomalies and potential intrusions, utilizing advanced machine learning techniques.
Analyze the results of vulnerability scans and simulated attacks to pinpoint and address security vulnerabilities in a proactive manner.
Work alongside the Head of Cybersecurity and IT teams to create and refine strategies for responding to and recovering from security incidents, using a comprehensive cybersecurity platform.
Investigate and respond to security breaches, compile detailed forensic analyses, and help devise counteractive measures using intelligent threat detection tools.
Oversee the setup and administration of platforms that consolidate security data and trigger alerts based on threat intelligence and behavioral analytics.
Aid in upholding and advancing security protocols and guidelines, ensuring alignment with cloud-based collaboration tools' security features.
Remain informed about emerging security threats and technological developments, integrating cloud-based productivity and collaboration tool insights to suggest effective defenses.
Develop, manage and deliver cybersecurity training sessions that enhance organizational understanding and adherence to cybersecurity practices, leveraging insights from endpoint protection, email intelligence and other response platforms.
Offer expert advice and support for security issues encountered by users, emphasizing secure internet access and content filtering.
Engage with various departments to integrate stringent security measures into new and ongoing projects, focusing on advancing the network / security architecture.
Manage complex security tasks with autonomy, employing robust data security and analytics to enhance oversight and control over sensitive information.

We'd Love to Hear From People With….

Bachelor's degree in Computer Science, Information Security, or a related field.
Deep understanding of cybersecurity principles, practices, and industry standards, with an emphasis on real-time threat detection and behavioral analytics.
Proficiency with widely recognized security frameworks such as NIST, ISO 27001, or CIS, and their applications in a dynamic security landscape.
Solid knowledge of network protocols, operating systems, and web applications, with a focus on secure cloud-based operations and collaborative environments.
Experience with advanced security platforms that include firewalls, anomaly detection systems, event management systems, and proactive vulnerability assessment tools.
Ongoing familiarity with the latest cybersecurity threats, sophisticated attack methodologies, and strategic defense mechanisms using data-centric security analysis.
Understanding of encryption techniques, zero-trust network architectures, and the principles of least privilege in network access controls.
Excellent problem-solving and analytical capabilities, able to discern subtle patterns in large volumes of data.
Strong communication and interpersonal skills to effectively engage with diverse teams and align security initiatives with organizational goals.
Certifications such as Certified Ethical Hacker (CEH), or Certified Information Systems Security Professional (CISSP) are a plus.
Passion for sports and entertainment industry is desirable but not required.

Compensation:

Salary:

In compliance with the California Pay Transparency Act, compensation information provided is a good faith estimate for this position only. Hollywood Park considers a candidate's education, certification, prior experience, as well as internal and external data when determining the salary level for potential new employees. Only in exceptional circumstances, if an external candidate has the experience, credentials, or expertise far exceeding what is expected for the position, would Hollywood Park consider paying a salary or rate near the higher end of the range.

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time."
Penetration Tester,Penetration Tester,HummingBirds Consulting LLC - now doing Business as HummingBirds Innovation,May,2024,"Job Description

Conduct internal penetration testing and vulnerability assessment of servers, web applications, webservices, and databases
Manually exploit and compromise operating systems, web applications, and databases
Examine results of web/OS scanners, scans and static source code analysis
Identify vulnerabilities, misconfigurations, and compliance issues
Write final reports, defend all findings to include the risk or vulnerability, mitigation strategies, and references
Ability to meet and coordinate with various audiences to include developers, system administrators, project managers, and senior government stakeholders
Provide security recommendations for developers, system administrators, project managers, and senior government stakeholders
Report vulnerabilities identified during security assessments
Write penetration testing Rules of Engagements (RoE), Test Plans, and Standard operating procedures (SOP)
Conduct security reviews, technical research, and provided reporting to increase security defense mechanisms
Experience with NIST 800-53 and Risk Management Framework


Requirements

Desired Skills

Certifications: CEH - Certified Ethical Hacker Certification, CPT - Certified Penetration Tester
Strong writing skills
Experience with AWS Cloud Security


Years of Experience:

4 years with a PhD

8 years with a BS degree.

6 years with a master's degree

10 years with an AA degree

12 years with an HS diploma

Security Clearance: TS/SCI with CI or FS Polygraph"
Temporary- Cyber Security Analyst,Temporary- Cyber Security Analyst,Tennessee Board of Regents (TBR),May,2024,"Title: Temporary - Cyber Security Analyst

Position Summary

Under the directive of the Information Security Officer, the cyber security analyst will implement security strategies and best practices in accordance with regulatory standards.

Essential Job Functions/Job Duties And Responsibilities

Conduct or coordinate vulnerability scans and document findings and risk mitigation strategies. Implement, monitor and maintain preventive and detective controls. Operate, administer and monitor network and host-based intrusion detection/prevention systems. Operate, administer and monitor Microsoft Defender SIEM. Analyze network traffic, intrusion attempts, activity logs and system alerts for trends, anomalies and potential security breaches. Analyze compromised computing resources to improve security design and policy compliance. Research, analyze, test and implement new security software solutions. Enforce security policies and procedures by administering and monitoring security profiles. Perform other duties as assigned.

Required Qualifications

High School Diploma or GED

One year of experience in information security and compliance regulations.

Proficiency with Microsoft applications.

Preferred Qualifications

Certificate in information security, i.e., Security+, Pen+, Ethical Hacker.

Experience with SIEM (Microsoft Defender).

Experience in phishing campaign/training.

Knowledge, Skills And Abilities

Basic knowledge of incident response procedures. Knowledge of OSI Model and concepts. Knowledge of Information Security Concepts. Strong analytical, organizational and writing skills. Knowledge of NIST, CIS and FERPA controls. Interpersonal skills to effectively collaborate with both technical and non-technical personnel across different organizational levels.

Experience utilizing IT security systems and tools, including analyzing logs for security breaches. Ability to adhere to department processes and procedures. Demonstrated skills applying security controls to computer software and hardware. Basic proficiency in reading and interpreting security logs. Fundamental knowledge of vulnerability scanning and Basic knowledge of risk assessments procedures.

Open Until Filled: Yes

Rate of Pay: $20.00 per hour

Work Hours: Up to 28 hours per week

Special Instructions to Applicants: Unofficial transcripts are acceptable for the application process. Official transcripts are required upon hire. Applicants may be subject to a background check.

Nashville State offers flexible work arrangements for positions that qualify."
Security Analyst,Security Analyst,Abidi Solutions,April,2024,"Job Title: Security Analyst

Job Requirements

Education: Bachelor’s degree in Computer Science, Information Technology, Cybersecurity, or related field. Advanced degrees or certifications (e.g., CISSP, CEH, CompTIA Security+, GIAC) may be preferred.
Experience:
Minimum of 2-5 years of experience in cybersecurity, preferably in a security analyst role.
Demonstrated experience in analyzing security threats, vulnerabilities, and risks.
Proficiency in security tools such as SIEM (Security Information and Event Management) systems, intrusion detection/prevention systems (IDS/IPS), antivirus software, and firewalls.
Technical Skills:
Strong understanding of network protocols, architecture, and security best practices.
Knowledge of operating systems (Windows, Linux/Unix) and their security configurations.
Familiarity with programming/scripting languages (e.g., Python, PowerShell) for automation and analysis tasks.
Analytical Skills:
Ability to analyze and interpret security logs, alerts, and incident data to identify potential security incidents or breaches.
Proficient in conducting vulnerability assessments and penetration testing to identify and mitigate security weaknesses.
Communication Skills:
Excellent written and verbal communication skills to effectively communicate security risks and recommendations to technical and non-technical stakeholders.
Ability to collaborate with cross-functional teams to implement security measures and respond to incidents.
Problem-Solving Abilities:
Strong problem-solving skills to troubleshoot security issues and develop effective solutions.
Capacity to adapt to evolving security threats and technologies, staying up-to-date with industry trends and best practices.
Compliance Knowledge:
Understanding of regulatory requirements such as GDPR, HIPAA, PCI DSS, and ability to ensure organizational compliance with relevant standards.
Attention to Detail:
Meticulous attention to detail in analyzing security data and implementing security controls.
Ability to prioritize tasks and manage time effectively to meet deadlines in a fast-paced environment.
Ethical Standards:
Commitment to upholding ethical standards and maintaining the confidentiality, integrity, and availability of sensitive information.
Certifications: Relevant certifications in cybersecurity such as Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH), or equivalent are highly desirable."
Penetration Tester Jr,Penetration Tester Jr,I2X Technologies,March,2024,"I2X Technologies is a reputable technology services company to the Federal Government.  Whether the focus is on space exploration, national security, cyber security, or cutting-edge engineering applications, I2X is ready to offer you the chance to make a real-world impact in your field and for your country.  We provide long-term growth and development. Headquartered in Colorado, I2X is engaged in programs across the country and in more than 20 states.  Our programs support multiple Federal agencies, the Department of Defense and often focused on the space initiatives of our government customers.
 Perform internal and external pentest against systems to determine vulnerabilities and offer mitigation strategies.
Perform web app pentests
Perform vulnerability risk assessment
Perform physical pentests and social engineering
Perform cyber incident response as needed for programs
 - Bachelors’ degree from an accredited college in a related discipline, or equivalent experience/combined education, with 3 to 6 years of professional experience; or 1 to 3 years of professional experience with a Masters’ degree.
- Must have a Secret Clearance. 
- 3 years in Pen Testing and Vulnerability Assessment, with specific emphasis on web application and enterprise network environments.
- 5 years of professional experience in incident detection and response, malware analysis, or cyber forensics.
 Experience with the majority of the tools listed below:
• Kali Linux
• Metaspoilt
• Burp suite pro
• Cobalt Strike / Empire
• Tenable Nessus
• Debuggers such as Immunity
• Bloodhound
• BladeRF / HakRF
• Hak5 equipment
• Wireshark / tcpdump

Specific experience in at least 1 of the following specialties:
• Mobile application testing
• Cloud infrastructure testing
• RF Testing
• Mainframe systems
 Must have one of the following:
 CEH - Certified Ethical Hacker
CISSP - Certified Information Systems Security
GAWN - Auditing Wireless Networks
GISF - Security Fundamentals
GPEN - Penetration
GSNA - System and Network Auditor
GWAPT - Web Application Penetration Tester
GWEB - Web Application Defender
GXPN - Exploit Researcher and Advanced Penetration Tester
OSCE (Certified Expert)
OSCP (Certified Professional)
OSEE (Exploitation Expert)
OSWP (Wireless Professional)
CompTIA Cyber Security Analyst (CySA+)
CompTIA PenTest+
Splunk Core Certified Advanced Power User
Splunk Core Certified Consultant
Splunk SOAR Certified Automation Developer
eLearnSecurity Certified Professional Penetration Tester (eCPPT)
 Preferred Qualifications: 
Understanding of Cyber Kill Chain & Intelligence Defense.
 Essential Requirements:
US Citizenship is required.
Active Secret Clearance
I2X Technologies is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected Veteran status, or disability status.
 In compliance with Colorado’s Equal Pay for Equal Work Act, the annual base salary range for this position is listed . Please note that the salary information is a general guideline only. I2X Technologies considers factors such as (but not limited to) scope and responsibilities of the position, candidate’s work experience, education/training, key skills, internal peer equity, as well as, market and business considerations when extending an offer.
 Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job with or without reasonable accommodation.
 While performing the duties of this job, the employee will regularly sit, walk, stand and climb stairs and steps. May require walking long distance from parking to work station. Occasionally, movement that requires twisting at the neck and/or trunk more than the average person, squatting/ stooping/kneeling, reaching above the head, and forward motion will be required. The employee will continuously be required to repeat the same hand, arm, or finger motion many times. Manual and finger dexterity are essential to this position. Specific vision abilities required by this job include close, distance, depth perception and telling differences among colors. The employee must be able to communicate through speech with clients and public. Hearing requirements include conversation in both quiet and noisy environments. Lifting may require floor to waist, waist to shoulder, or shoulder to overhead movement of up to 20 pounds. This position demands tolerance for various levels of mental stress.
 I2X Technologies is an Engineering and Information Technology Company focused on providing Services to the Federal and State Government. I2X offers a competitive compensation program and comprehensive benefits package to our employees."
