Position,Company_Name,Location,Post_Month,Post_Year,Details
Incident Response Analyst,Incident Response Analyst,Thrive,May,2024,"About Us

Thrive is a rapidly growing technology solutions provider focusing upon Cloud, Cyber Security, Networking, Disaster Recovery and Managed Services. Our corporate culture, engineering talent, customer-centric approach, and focus upon “next generation” services help us stand out amongst our peers. Thrive is on the look-out for individuals who don’t view their weekdays spent at “a job”, but rather look to develop valuable skills that ignite their passion and lead to a CAREER. If you’re attracted to a “work hard, play hard” environment, seeking the guidance, training and experience necessary to build a lucrative career, then welcome to THRIVE!!

Position Overview

With a growing client base, Thrive is continuing to build out its security team. We are looking to hire an Incident Response Analyst to take a role within our Security Operation Center. The analyst will assist with continuously monitoring and improving our customers' security posture, while preventing, detecting, analyzing, and responding to cybersecurity incidents utilizing technology and well-defined processes and procedures. The ideal candidate will have a passion for information security and will value what a properly managed Security monitoring solution can bring to our client needs.

Primary Responsibilities

Process investigation requests from SOC Analysts who perform security event monitoring using Security Information and Event Management (SIEM) from multiple sources, including but not limited to, events from network and host-based intrusion detection/prevention systems, network infrastructure logs, systems logs, applications, and databases.
Investigate intrusion attempts, differentiate false positives from true intrusion attempts, and perform in-depth analysis of exploits.
Lead incident response and threat hunting efforts for confirmed High Priority security incidents and follow through until resolution.
Utilize threat intelligence to identify and investigate potential security threats.
Develop playbooks for incident response and incident management processes, including threat triage, incident investigation, and incident resolution.
Conduct regular reviews of playbooks to ensure they are current and effective.
Work with cross-functional teams to ensure that playbooks are aligned with the overall security strategy and goals.
Participate in tabletop exercises and drills to test and validate playbooks.
Monitor and evaluate security incidents to identify opportunities for improving playbooks.
Keep up-to-date with current security threats and trends to ensure that playbooks are relevant and effective.
Actively investigate the latest security vulnerabilities, advisories, incidents, and TTPs (tactics, techniques, and procedures) and work with the Security Engineering team to recommend use cases.
Proactive monitoring, threat hunting, and response of known and/or emerging threats.
Carry out Thrive’s information security strategy both internally and externally for 400+ clients.
Analyze data from our SOC, SIEM and EDR platforms and determine if further analysis is needed.
Work within Thrive’s security standards and best practices and recommend future enhancements.
Stay abreast of security events and techniques to keep our clients protected.

Qualifications

Demonstrates comprehension of best security practices
Has advanced knowledge of the following systems and technologies:
SIEM (Security Information and Event Management)
TCP/IP, computer networking, routing, and switching
IDS/IPS, penetration and vulnerability testing
Firewall and intrusion detection/prevention protocols
Windows, UNIX, and Linux operating systems
Network protocols and packet analysis tools
EDR, Anti-virus, and anti-malware
Content filtering
Email and web gateway.
Malware, Network, or System Analysis
Professional experience in a system administration role supporting multiple platforms and applications
Ability to collaborate and communicate security issues to clients, peers, and management
Strong analytical and problem-solving skills
Adaptability and resilience in rapidly evolving situations
Ability to be a part of an on-call rotation, occasionally working nights and weekends to support High Priority Security Incidents

Required Skills

Technical proficiency in networking, operating systems, and security technologies.
Familiarity with security tools like SIEM, IDS/IPS, EDR, and forensic analysis tools.
Understanding of incident response procedures and methodologies.
Understanding of frameworks such as MITRE ATT&CK and the Cyber Kill chain,
Familiarity with TCP/IP network protocols, application layer protocols (e.g., HTTP, SMTP, DNS, etc.).
Experience in responding to and investigating cloud, system, or network intrusions
Excellent Written and Verbal Communication Skills.
Expertise in forensics, malware analysis, and network intrusion response.

Preferred Skills

Knowledge of common Windows and Linux/Unix system calls and APIs
Knowledge of programming languages
Knowledge of internal file structures for file formats commonly associated with malware (e.g., OLE, RTF, PDF, EXE, etc.
Knowledge or experience in Detection Engineering"
Incident Response Analyst,Incident Response Analyst,Thrive,May,2024,"About Us

Thrive is a rapidly growing technology solutions provider focusing upon Cloud, Cyber Security, Networking, Disaster Recovery and Managed Services. Our corporate culture, engineering talent, customer-centric approach, and focus upon “next generation” services help us stand out amongst our peers. Thrive is on the look-out for individuals who don’t view their weekdays spent at “a job”, but rather look to develop valuable skills that ignite their passion and lead to a CAREER. If you’re attracted to a “work hard, play hard” environment, seeking the guidance, training and experience necessary to build a lucrative career, then welcome to THRIVE!!

Position Overview

With a growing client base, Thrive is continuing to build out its security team. We are looking to hire an Incident Response Analyst to take a role within our Security Operation Center. The analyst will assist with continuously monitoring and improving our customers' security posture, while preventing, detecting, analyzing, and responding to cybersecurity incidents utilizing technology and well-defined processes and procedures. The ideal candidate will have a passion for information security and will value what a properly managed Security monitoring solution can bring to our client needs.

Primary Responsibilities

Process investigation requests from SOC Analysts who perform security event monitoring using Security Information and Event Management (SIEM) from multiple sources, including but not limited to, events from network and host-based intrusion detection/prevention systems, network infrastructure logs, systems logs, applications, and databases.
Investigate intrusion attempts, differentiate false positives from true intrusion attempts, and perform in-depth analysis of exploits.
Lead incident response and threat hunting efforts for confirmed High Priority security incidents and follow through until resolution.
Utilize threat intelligence to identify and investigate potential security threats.
Develop playbooks for incident response and incident management processes, including threat triage, incident investigation, and incident resolution.
Conduct regular reviews of playbooks to ensure they are current and effective.
Work with cross-functional teams to ensure that playbooks are aligned with the overall security strategy and goals.
Participate in tabletop exercises and drills to test and validate playbooks.
Monitor and evaluate security incidents to identify opportunities for improving playbooks.
Keep up-to-date with current security threats and trends to ensure that playbooks are relevant and effective.
Actively investigate the latest security vulnerabilities, advisories, incidents, and TTPs (tactics, techniques, and procedures) and work with the Security Engineering team to recommend use cases.
Proactive monitoring, threat hunting, and response of known and/or emerging threats.
Carry out Thrive’s information security strategy both internally and externally for 400+ clients.
Analyze data from our SOC, SIEM and EDR platforms and determine if further analysis is needed.
Work within Thrive’s security standards and best practices and recommend future enhancements.
Stay abreast of security events and techniques to keep our clients protected.

Qualifications

Demonstrates comprehension of best security practices
Has advanced knowledge of the following systems and technologies:
SIEM (Security Information and Event Management)
TCP/IP, computer networking, routing, and switching
IDS/IPS, penetration and vulnerability testing
Firewall and intrusion detection/prevention protocols
Windows, UNIX, and Linux operating systems
Network protocols and packet analysis tools
EDR, Anti-virus, and anti-malware
Content filtering
Email and web gateway
Malware, Network, or System Analysis
Professional experience in a system administration role supporting multiple platforms and applications
Ability to collaborate and communicate security issues to clients, peers, and management
Strong analytical and problem-solving skills
Adaptability and resilience in rapidly evolving situations
Ability to be a part of an on-call rotation, occasionally working nights and weekends to support High Priority Security Incidents

Required Skills

Technical proficiency in networking, operating systems, and security technologies.
Familiarity with security tools like SIEM, IDS/IPS, EDR, and forensic analysis tools.
Understanding of incident response procedures and methodologies.
Understanding of frameworks such as MITRE ATT&CK and the Cyber Kill chain,
Familiarity with TCP/IP network protocols, application layer protocols (e.g., HTTP, SMTP, DNS, etc.).
Experience in responding to and investigating cloud, system, or network intrusions
Excellent Written and Verbal Communication Skills.
Expertise in forensics, malware analysis, and network intrusion response.

Preferred Skills

Knowledge of common Windows and Linux/Unix system calls and APIs
Knowledge of programming languages
Knowledge of internal file structures for file formats commonly associated with malware (e.g., OLE, RTF, PDF, EXE, etc
Knowledge or experience in Detection Engineering

Powered by JazzHR

iVDBk81xou"
Incident Analyst,Incident Analyst,Motion Recruitment Partners LLC,April,2024,"Outstanding long-term contract opportunity! A well-known Financial Services Company is looking for a Business Execution Consultant in Atlanta, GA (Hybrid).

Work with the brightest minds at one of the largest financial institutions in the world. This is long-term contract opportunity that includes a competitive benefit package! Our client has been around for over 150 years and is continuously innovating in today's digital age.

If you want to work for a company that is not only a household name, but also truly cares about satisfying customers' financial needs and helping people succeed financially, apply today.

Contract Duration: starting at 6 Months with extension or FTE conversion.

What you will be Doing:
Monitor and assess incoming incident reports to determine severity and impact.
Conduct initial analysis to identify potential root causes and impact on operations.
Respond promptly to incidents according to established protocols and procedures.
Collaborate with cross-functional teams to resolve incidents efficiently and effectively.
Maintain detailed records of incident details, response actions, and resolutions.
Generate incident reports and communicate status updates to relevant stakeholders.
Escalate incidents to higher-level support or management as necessary.
Collaborate with senior incident management personnel for complex or critical incidents.
Participate in the development and implementation of preventive measures to mitigate future incidents.
Contribute to the improvement of incident response processes and workflows.

Required Skills:
4+ years of Business Execution, Implementation, or Strategic Planning experience, or equivalent demonstrated through one or a combination of the following: work or consulting experience, training, military experience, education.
Manager is looking for someone with lots of experience TRIAGING incidents.
has worked with incidents/triaging in the Merchant Services space previously.
Soft skills -- needs someone with high energy, good personality, well spoken
This is a ""new team"" starting small from the ground floor... needs a problem solving, outgoing, figure-it-out personality for the team in its current state
Wants someone who has experience ""rolling up sleeps and deep diving into the incident response process"""
Incident Response (Tier 2) - Clearance Required - Weekend Days - (10am - 10:30pm EST),Incident Response (Tier 2) - Clearance Required - Weekend Days - (10am - 10:30pm EST),MindPoint Group,April,2024,"Text code IRAWD2 to 202-915-6712 to apply!

MindPoint Group delivers industry-leading cybersecurity solutions, services, and products. We are trusted cybersecurity advisors to key government and commercial decision-makers and support security operations for some of the most security-conscious organizations globally.

Our relationship with you is for the long run because your success is our success. We invest in your success through fantastic benefits (healthcare, generous PTO, paid parental leave, and tuition reimbursement, to name a few).

Beyond just excellent pay and benefits, you’ll want to work here for reasons that can’t be written into an offer letter—the challenge, growth opportunities, and most important: the culture of a company that cares about you.

A Position At MPG Provides You

A diverse organization
A safe workplace with zero tolerance for discrimination or harassment of any kind
A balanced work life. Seriously.
A stable, established, and growing business
A leadership team focused on your professional growth and development

Job Description

MindPoint Group is seeking a Tier 2 Incident Response Analyst to support threat monitoring, detection, event analysis, and incident reporting. The Security Operations Center is a 24/7 environment. You will be responsible for monitoring enterprise networks and systems, detecting events, and reporting on any and all threats that are directed against those systems regardless of their classification level or type.

Typically, the client’s sensor grid acquires millions of events per day and events are analyzed and categorized in accordance with the Cyber Security Incident Response Plan. The Incident Response Analyst will provide the client with a fully comprehensive array of analytical activities in support of external threat monitoring, detection, event analysis, and incident reporting efforts including presentation reviews, internal and external threat reporting, analysis of inbound and outbound public internet traffic, suspicious e-mail messages, administering access request to specific public sites, communicating and coordinating the characterization of events and the response.

What You Get To Do Every Day

Provide support for complex computer network exploitation and defense techniques to include deterring, identifying, and investigating computer and network intrusions; providing incident response and remediation support
Perform comprehensive computer surveillance/monitoring, identifying vulnerabilities; develop secure network designs and protection strategies, and conduct audits of information security infrastructure
Provide technical support for forensics services to include evidence seizure, computer forensic analysis, and data recovery, in support of computer crime investigation
Research and maintain proficiency in open and closed-source computer exploitation tools, attack techniques, procedures, and trends
Perform research into emerging threat sources and develops threat profiles
Provide technical support for a comprehensive risk management program identifying mission-critical processes and systems; current and projected threats; and system vulnerabilities

Qualifications

Applicable US Government Clearance required*

What skills do you need?

Bachelor’s Degree, or an equivalent combination of formal education, experience
Minimum of four (8) years of general work experience and six (6) years of relevant experience in functional responsibility
Experience in some of the following tools and technologies:
Bro IDS
CrowdStrike EDR
Fidelis XPS
FireEye
RSA Netwitness
Sourcefire (Snort)
Splunk SIEM
Strong analytical and organizational skills.
Strong verbal and written communication skills.
Experience with MS Word and other MS Office applications.
What is ideal?

Experience working in a SOC and doing incident response is preferred.
Experience with securing various environments preferred.
Experience and education preferred in eCPPT, OSCP, GCFW, GCIH, other relevant IT security certifications, or advanced vendor certifications such as Splunk Certified Architect or SourceFire Certified Administrator; Security+, GSEC, or other relevant IT security product certifications such as Tenable Certified Nessus Auditor, or SnortCP; CISSP, CISM, or ISO 27001.

Location:

This is an onsite role.

Shift

This role is surge support for the Weekend Day Shift (10 am-10:30 pm EST)

Additional Information

All offers are contingent upon proof of full vaccination against COVID-19 or successful accommodation for an exemption.
All your information will be kept confidential according to EEO guidelines.
Highlights of our benefits include Health/Dental/Vision, 401(k) match, Flexible Time Off, STD/LTD/Life Insurance, Referral Bonuses, professional development reimbursement, maternity/paternity leave, mobile phone stipend, pre-tax commuter benefits, the opportunity to participate in our mentorship program, and more!
MindPoint is committed to maintaining a diverse environment. All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.

Text code IRAWD2 to 202-915-6712 to apply!"
Incident Analyst,Incident Analyst,3i Infotech Ltd.,May,2024,"Job Title: Incident Response Analyst (Only W2)
Location : Salisbury, NC
Duration: 6 month contract to hire

Top 3 requirements
5+ years of incident response experience
MS Security Tools Suite Experience (Defender)
SIEM
Principle Duties and Responsibilities:
Advance and maintain incident response plan.
Lead incident response events and activities.
Subject matter expert responsible for managing threats, disseminating information, and handling, responding to, and investigating all incident escalations from the Tier 1 and 2 analysts.
Point of escalation for Tier 1 & 2. Management of the incident response process if previous IR tiers could not resolve the ticket.
Perform event investigation, post incident root cause analysis, remediation planning, capture metrics, compile and track lessons learned, document and disseminate incident report in coordination with the IR process.
Evaluate and recommend emerging technologies within information security.
Work independently with 3rd party providers, vendors, and other departments.
Provide 24x7 operational support for escalations on a rotating basis."
Incident Response Cyber Security (Hybrid),Incident Response Cyber Security (Hybrid),SmartIPlace,March,2024,"Title- Incident Response Cyber Security(Hybrid)

Location- Hybrid in NYC/NY Only Local candidates in NY/NJ only will be considered.

Visa- No H1B, CPT

Identifying and detecting Incidents and taking immediate action on security incidents including (and not limited to) DoS attacks, malware attacks, phishing attacks, web attacks;
End to end ownership in driving and leading Security Incident Response and Resolution activities;
Participate and support performing forensics investigations as required to respond to the Security Incidents;
Responding to Security Threats and Intelligence alerts & notifications from Group CERT, Regional Regulators and authorized Threat Intelligence groups and ensuring appropriate preventive and detective actions are coordinated and deployed in liaison with IT Operations teams as per the defined approach and in timely manner;
Owning end to end coordination, communications and deployment of action plans for Threat Advisories or lesson learnt from Security Incidents;
Prepare detailed Incident Post-mortem report and Executive Summary to document the Security Incident chronology, root cause, remediation and lesson learnt;
Creating and updating the incident response plan (IRP) and playbooks and ensuring periodical review of playbooks to ensure the relevancy of response actions in current context, including updated information of all stakeholders involved;
Collaborate with other Geo’s CSIRT team members on security matters and act as a backup to manage security incident and other security activities in scope as needed;
Periodic review of security measures of Networks (Switches. Routers, Firewall, IPS, etc.) In addition, Systems (Win*,*NIX, etc.) in support of management of vulnerabilities;
Support and integrate with incident response, threat intelligence, and overall security strategy as needed;
Complete all mandatory trainings as required to attain and maintain competence;
Comply with all applicable legal, regulatory and internal Compliance requirements, including, but not limited to, the Compliance manual and Compliance policies and procedures as issued from time to time; Financial Security requirements, including, but not limited to, the prevention of Financial Crime and Fraud including reporting obligations to the Money Laundering Reporting Officer, zone wide.
Support and run annual “table-top incidents” exercise with management.
Vulnerability management: Ensure vulnerability remediation process is known followed and at the expected level of performance
In case of severe security incident (suspected or effective attack): Coordination of investigation, mitigation, and remediation operation in relation with IT operation and application teams."
Incident Response Analyst (Tier 2) - Clearance Required - Shift 1 (6am - 2:30pm EST),Incident Response Analyst (Tier 2) - Clearance Required - Shift 1 (6am - 2:30pm EST),MindPoint Group,December,2023,"Text code IRAS1J to 202-915-6712 to apply!

Since 2009, MindPoint Group has been the cybersecurity firm of choice for the most security-conscious US federal agencies and commercial enterprises.

We're proud to be one of Inc. 5000's fastest-growing companies in the country. With several ‘Best Places to Work’ awards under our belts, we have a diverse employee-focused culture, accessibility, and communication between all levels and departments, and over 4 stars in reviews on Glassdoor.

Come be a part of what we're building. We use our award-winning recruitment process to seek the most skilled, experienced, and driven information security consulting experts in the industry, while simultaneously empowering applicants to determine if MindPoint Group is the right fit for them. We are profoundly invested in selecting the right people to join our team and are equally driven to expand and develop careers long-term.

With positions throughout the US, a role at MindPoint Group promises you:

An opportunity to work within one of the most diverse DC-based organizations
Generous tuition and professional development reimbursements
Mentorship opportunities with leaders focused on your growth
Competitive benefits like 401k matching, 11 federal holidays, etc.
And more!

Job Description

MindPoint Group is seeking a Tier 2 Incident Response Analyst to support threat monitoring, detection, event analysis, and incident reporting. The Security Operations Center is a 24/7 environment. You will be responsible for monitoring enterprise networks and systems, detecting events, and reporting on any and all threats that are directed against those systems regardless of their classification level or type.

Typically, the client’s sensor grid acquires millions of events per day and events are analyzed and categorized in accordance with the Cyber Security Incident Response Plan. The Incident Response Analyst will provide the client with a fully comprehensive array of analytical activities in support of external threat monitoring, detection, event analysis, and incident reporting efforts including presentation reviews, internal and external threat reporting, analysis of inbound and outbound public internet traffic, suspicious e-mail messages, administering access request to specific public sites, communicating and coordinating the characterization of events and the response.

What You Get To Do Every Day

Provide support for complex computer network exploitation and defense techniques to include deterring, identifying, and investigating computer and network intrusions; providing incident response and remediation support
Perform comprehensive computer surveillance/monitoring, identifying vulnerabilities; develop secure network designs and protection strategies, and conduct audits of information security infrastructure
Provide technical support for forensics services to include evidence seizure, computer forensic analysis, and data recovery, in support of computer crime investigation
Research and maintain proficiency in open and closed-source computer exploitation tools, attack techniques, procedures, and trends
Perform research into emerging threat sources and develops threat profiles
Provide technical support for a comprehensive risk management program identifying mission-critical processes and systems; current and projected threats; and system vulnerabilities

Qualifications

Appropriate US Government Clearance Required*
Shift 1 (M-F 6 am- 2:30 pm EST)*

What skills do you need?

Bachelor’s Degree, or an equivalent combination of formal education, experience
Minimum of six (6) years of general work experience and four (4) years of relevant experience in functional responsibility
Experience in some of the following tools and technologies:
Bro IDS
CrowdStrike EDR
Fidelis XPS
FireEye
RSA Netwitness
Sourcefire (Snort)
Splunk SIEM
Strong analytical and organizational skills.
Strong verbal and written communication skills.
Experience with MS Word and other MS Office applications.
What is ideal?

Experience working in a SOC and doing incident response is preferred
Experience with securing various environments preferred.
Experience and education preferred in eCPPT, OSCP, GCFW, GCIH, other relevant IT security certifications, or advanced vendor certifications such as Splunk Certified Architect or SourceFire Certified Administrator; Security+, GSEC, or other relevant IT security product certifications such as Tenable Certified Nessus Auditor, or SnortCP; CISSP, CISM, or ISO 27001.

Location:

This is a hybrid role with expectations of being on the client site in Washington, DC, a few days a week.

Shift

This role will be Monday through Friday, from 6 am- 2:30 pm EST.

Additional Information

All your information will be kept confidential according to EEO guidelines.
Highlights of our benefits include Health/Dental/Vision, 401(k) match, Flexible Time Off, STD/LTD/Life Insurance, Referral Bonuses, professional development reimbursement, maternity/paternity leave, mobile phone stipend, pre-tax commuter benefits, the opportunity to participate in our mentorship program, and more!
MindPoint is committed to maintaining a diverse environment. All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.

Job applicants that are interested in one of our openings and may require a reasonable accommodation to participate in the job application or interview process, should contact us to request an accommodation.

Are you interested in a posted job opportunity but may not check all of the “boxes” for desired qualifications? If so, we encourage you to apply! Our commitment to sustain and champion an inclusive and dynamic community of employees is a high priority!

Text code IRAS1J to 202-915-6712 to apply!"
Incident Response Analyst (Tier 2) - Weekend Nights (Fri-Sat 10pm - 10:30am EST) - Clearance Required,Incident Response Analyst (Tier 2) - Weekend Nights (Fri-Sat 10pm - 10:30am EST) - Clearance Required,MindPoint Group,March,2024,"Text code IRAWN to 202-915-6712 to apply!

Since 2009, MindPoint Group has been the cybersecurity firm of choice for the most security-conscious US federal agencies and commercial enterprises.

We're proud to be one of Inc. 5000's fastest-growing companies in the country. With several ‘Best Places to Work’ awards under our belts, we have a diverse employee-focused culture, accessibility, and communication between all levels and departments, and over 4 stars in reviews on Glassdoor.

Come be a part of what we're building. We use our award-winning recruitment process to seek the most skilled, experienced, and driven information security consulting experts in the industry, while simultaneously empowering applicants to determine if MindPoint Group is the right fit for them. We are profoundly invested in selecting the right people to join our team and are equally driven to expand and develop careers long-term.

With positions throughout the US, a role at MindPoint Group promises you:

An opportunity to work within one of the most diverse DC-based organizations
Generous tuition and professional development reimbursements
Mentorship opportunities with leaders focused on your growth
Competitive benefits like 401k matching, 11 federal holidays, etc.
And more!

Job Description

MindPoint Group is seeking a Tier 2 Incident Response Analyst to support threat monitoring, detection, event analysis, and incident reporting. The Security Operations Center is a 24/7 environment. You will be responsible for monitoring enterprise networks and systems, detecting events, and reporting on any and all threats that are directed against those systems regardless of their classification level or type.

Typically, the client’s sensor grid acquires millions of events per day and events are analyzed and categorized in accordance with the Cyber Security Incident Response Plan. The Incident Response Analyst will provide the client with a fully comprehensive array of analytical activities in support of external threat monitoring, detection, event analysis, and incident reporting efforts including presentation reviews, internal and external threat reporting, analysis of inbound and outbound public internet traffic, suspicious e-mail messages, administering access request to specific public sites, communicating and coordinating the characterization of events and the response.

What You Get To Do Every Day

Provide support for complex computer network exploitation and defense techniques to include deterring, identifying, and investigating computer and network intrusions; providing incident response and remediation support
Perform comprehensive computer surveillance/monitoring, identifying vulnerabilities; develop secure network designs and protection strategies, and conduct audits of information security infrastructure
Provide technical support for forensics services to include evidence seizure, computer forensic analysis, and data recovery, in support of computer crime investigation
Research and maintain proficiency in open and closed-source computer exploitation tools, attack techniques, procedures, and trends
Perform research into emerging threat sources and develops threat profiles
Provide technical support for a comprehensive risk management program identifying mission-critical processes and systems; current and projected threats; and system vulnerabilities

Qualifications

Applicable US Government Clearance required*
Weekend Night Shift (Fri - Sat, 10 pm-10:30 am EST)

What skills do you need?

Bachelor’s Degree, or an equivalent combination of formal education, experience
Minimum of six (6) years of general work experience and four (4) years of relevant experience in functional responsibility
Experience in some of the following tools and technologies:
Bro IDS
CrowdStrike EDR
Fidelis XPS
FireEye
RSA Netwitness
Sourcefire (Snort)
Splunk SIEM
Strong analytical and organizational skills.
Strong verbal and written communication skills.
Experience with MS Word and other MS Office applications.
What is ideal?

Experience working a SOC and doing incident response is preferred.
Experience with securing various environments preferred.
Experience and education preferred in eCPPT, OSCP, GCFW, GCIH, other relevant IT security certifications, or advanced vendor certifications such as Splunk Certified Architect or SourceFire Certified Administrator; Security+, GSEC, or other relevant IT security product certifications such as Tenable Certified Nessus Auditor, or SnortCP; CISSP, CISM, or ISO 27001.

Location:

This is an onsite role.

Shift

This is surge support for the weekend Nights 10 pm-10:30 am EST

Additional Information

All your information will be kept confidential according to EEO guidelines.
Compensation is unique to each candidate and relative to the skills and experience they bring to the position.
Highlights of our benefits include Health/Dental/Vision, 401(k) match, Flexible Time Off, STD/LTD/Life Insurance, Referral Bonuses, professional development reimbursement, maternity/paternity leave, mobile phone stipend, pre-tax commuter benefits, the opportunity to participate in our mentorship program, and more!
MindPoint is committed to maintaining a diverse environment. All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.

Job applicants that are interested in one of our openings and may require a reasonable accommodation to participate in the job application or interview process, should contact us to request an accommodation.

Are you interested in a posted job opportunity but may not check all of the “boxes” for desired qualifications? If so, we encourage you to apply! Our commitment to sustain and champion an inclusive and dynamic community of employees is a high priority!

Text code IRAWN to 202-915-6712 to apply!"
Incident Response & Forensics Specialist [Remote],Incident Response & Forensics Specialist [Remote],SmartIPlace,March,2024,"Title: Incident Response & Forensics Specialist

Location: New York, NY (Remote)

Visa: Any Visa (Except H1B)

Duration: 6+ months

Requirements And Skills

Bachelor's degree in Computer Science, Information Services, or IT Security related field –Or- A satisfactory equivalent with at least 3 years of IT-Security experience.
Minimum of 3 years of experience Tier 1 & 2 support for cyber security operation center.
Minimum of 3 years’ experience with performing incident response functions & investigations
Candidate must possess adequate skills with multiple programming languages and must demonstrate that they can reverse engineer malware code.
The Candidate must have experience in Cyber Security Incident Response.
Must be proficient with UNIX, Windows, OSX, and Mobile Devices.
Candidate must be proficient with the administration of Office365 and all its security features.
Excellent communication skills
Strong experience with digital forensic tools
Strong understanding and analysis of code such as PowerShell, PERL, Python

Preferred Skills

Cybersecurity certifications (preferred)
Experience with OT & PCI technologies (preferred)

Responsibilities

Seeking a highly technical Incident Response & Forensics Specialist. This position is a part of the IT Threat Intelligence group within the Cyber Security Operations Center and will be expected to provide direct support to the 24/7 Cyber Security Monitoring group as needed.
Serving as a primary point of contact for agency CSOC & MSSP
Cybersecurity Incident escalations
Interfaces directly with vendors & third parties for notified/observed compromises
Forensics on memory, disks, and logs
Malware analysis (dynamic & static)
Involvement in full incident response lifecycle
Processes evidence in accordance with Chain of Custody
Creates Incident reports to brief to executive management
Provide recommendations to prevent similar incidents
Assist the Threat Intelligence group in other functions including
Threat Intelligence / Threat Hunting
Threat Readiness
Cyber Content Engineering & Automation"
Incident Response Coordinator,Incident Response Coordinator,Bayside Solutions,May,2024,"Incident Response Coordinator
W2 Contract
Salary Range: $104,000 - $124,800 per year
Location: Raleigh, NC - Hybrid Role
Duties and Responsibilities:
Act as the primary contact and source of information for an incident.
Work jointly with Engineers, Operations, Service Providers, and Business and Finance Partners with the primary goal of rapid resolution in case of a service outage, degraded customer experience, impaired business process, or risk to regulatory compliance.
Communicate fluently the status and impact of an ongoing incident, the expected completion time of open work streams, and their outcomes.
Drive post-incident activities such as root cause analysis and remediation.

Requirements and Qualifications:
Experienced in major incident response and triaging problems related to critical services and infrastructure, exhibiting ownership in investigating and resolving incidents.
Adept at communicating effectively under pressure, including partner engagement and escalations, crafting high-quality stakeholder updates; ensuring timely and meaningful communications.
Experienced as a driver or leading contributor in post-incident review and root cause analysis, using Five Whys and other methods to develop action items and lessons learned.
Depth of knowledge and understanding of incident and problem management KPIs, metrics, and tooling; capturing critical incident data accurately and transforming metrics into valuable operational and business insights.
Proactive and curious; analysis of trends in incident and problem reports to assist in eliminating recurring incidents, surfacing issues before they become critical, and increasing overall efficiency.

Preferred Skills:
ITIL certification or equivalent work experience
Experience in the Finance product space, such as Digital Payment services or Bank operations
Ticket tracking via ServiceNow, Jira, Remedy, or similar tooling
Data analysis and visualization using Excel, Numbers, Tableau, or similar tooling
Splunk log query syntax and optimization
Knowledge of the software development lifecycle (SDLC) and its phases
Production support in both on-prem data center and cloud computing environments

Desired Skills and Experience
Incident Response, Finance, Digital Payment, ServiceNow, Jira, Remedy, Excel, Numbers, Tableau, Splunk, SDLC, ITIL


Bayside Solutions, Inc. may collect your personal information during the position application process. Please reference Bayside Solutions, Inc.'s CCPA Privacy Policy at www.baysidesolutions.com."
