Position,Company_Name,Location,Post_Month,Post_Year,Details
NOC Technician I,NOC Technician I,Atomic Data,May,2024,"Department: Network & Security Operations Center

Reports to: Network Operations Center Manager

Department Growth Path: NOC Technician II

Job Summary

Under the general direction of the NOC Manager and Lead, the NOC Technician I is responsible for monitoring critical network elements and engaging in proactive system monitoring for Atomic Data and customer infrastructure. A network operations technician works regularly with customers and must be able to troubleshoot all problems that may arise across Cisco, Linux, and Windows servers. An individual in this position is responsible for resolving tickets received concerning the following: remote access (VPN) connectivity, network connectivity issues, printer issues, internet use and setting, network/email/ telephony password resets, server monitoring, and system backup. In some instances, the NOC Technician will alert triage, resolve client requests, and escalate tickets to higher level resources. This position is an interactive position and has a requirement to be in the office with other staff during the assigned shift.

Essential Functions

Monitor automated and end user incident and outage reporting, troubleshoot, and resolve problems
Assist in management of the emergency process for support requests requiring escalation
Create and maintain tickets with service providers and internal teams to drive incidents to resolution
Notify clients of progress and resolution using documentation of network support activities
Deliver quality, reliable support to all customers both internally and externally
Create or update technical documentation or user instruction
Enforce and abide by building policies and access card security
Perform routine physical security walkthroughs and data center maintenance checklist
Consult with telecom and ISP vendors to resolve issues
Attend to obligations and support other company initiatives as directed
Complete daily and weekly reports as assigned
Meet performance standards including attendance and punctuality


Qualifications

Proficiency with Network Operations support in a professional environment
Minimum education in associate degree in Networking and Systems Administration or equivalent work experience
Communicate effectively with technical staff and end users
Possess strong problem solving, time management, and ability to excel in a dynamic work environment.
Willingness to work flexible schedules and support a 24X7 operation
Ability to multi-task, organize, and document multiple tickets/tasks simultaneously"
Associate Network Operations Technician (NOC),Associate Network Operations Technician (NOC),Zentro Internet,March,2024,"Zentro is one of the fastest-growing internet service providers in the country, and we’re not about to stop there.

We’re putting the corporate giants on notice by providing residential and business customers with remarkably fast, exceptionally reliable internet service for less. And we’re doing it all with uncommonly responsive customer service and technical support — something the other guys can only manage in their dreams. Maybe.

READY TO BECOME A ZENTRO PRO?

Keeping internet connections up and running all day every day is kind of a big deal, and our people are proud to be doing it. Some might consider us the unsung heroes of the digital age. That’s what we think of ourselves anyway. Every person and every role here is important, and the positive energy you bring to work with you has tremendous value.

Zentro Pros come to work every day excited to make an impact. If you have an entrepreneurial spirit like we do, a strong work ethic, and a common-sense style to conducting business, there’s no doubt you’d fit right in. Zentro leadership also places great value on initiative, rewarding employees who exceed goals and expectations. So, if you’re a real go-getter, you’re definitely going to get noticed.

A COMFORTABLE PLACE TO DO YOUR BEST WORK

It’s no secret – happy people do better work. So we proudly provide a pleasant, highly functional work environment where our Zentro Pros can find their center and excel. Our headquarters is presently situated in Chicago’s burgeoning West Loop tech hub, surrounded by fast-growing technology companies of all kinds and sizes. We’re a short distance from public transportation, not to mention a growing variety of Michelin-rated restaurants, entertainment venues, and the Fulton Market District. With a job here, work is only the beginning.

A SOFT SPOT FOR THE PEOPLE WE SERVE

Zentro is proudly committed to playing an important role in the communities we serve. We’ve even partnered with large municipalities (like the City of Chicago) to provide free Wi-Fi to parks and beaches. It’s all about keeping people connected wherever they go. But, seriously, enough about us…we’re really excited to learn more about YOU!

About This Role

The successful Associate Network Operations Technician performs surveillance, triage, and repair of the Zentro metro-area wireless network and datacenter infrastructure as part of a 24x7 Network Operations team. Network Operations Technicians work alongside colleagues in network engineering, network infrastructure and customer support to ensure seamless network performance and customer experience.

Essential Duties and Responsibilities:

Monitor, maintain, configure and troubleshoot fixed wireless backbone
Monitor, maintain, configure, and troubleshoot switching, routing and associated network equipment
Perform fault analysis, isolation and remediation in switching, digital, optical, and other technologies.
Interface with customers, engineers, vendors and technicians to resolve trouble reports
Provide technical assistance for service partners and field technicians during service impacting network events.
Preventative maintenance management i.e. Software/firmware upgrades, maintenance procedures, and recovery tactics.
Operate in a 24 X 7 Network Operations Center;
Participate in an on-call rotation
Perform maintenance level activities such as configuration changes, reloads, card insertion and removal, hardware upgrades on various network platforms: Mikrotik, Siae, IgniteNet, Ubiquiti, CloudTrax, Ruckus, Meraki

Required Qualifications:

College degree and/or 2+ years equivalent related Fixed Wireless, Network Operations, or equivalent technical experience
Must have a valid driver’s license
Excellent oral and written communication skills, with an eagerness to provide outstanding customer service to internal and external clients
Excellent problem-solving skills
Strong computer skills in a Windows PC/Server LAN environment
Thorough understanding of TCP/IP routing and protocols (BGP, OSPF, subnetting)
Strong knowledge of Layer2 network protocols (STP, VLANs, Ethernet, LACP)
Strong knowledge of various network troubleshooting tools such as, but not limited to: ping, traceroute, telnet, ssh, dig, SNMP, etc
Must be able to sit / stand for long period of time and perform other physical demands in the position including but not limited to lifting up to 30 pounds.
Experience with Fixed Wireless is preferred
Experience with programming and/or scripting in a network environment is preferred
Experience with Linux (esp. Ubuntu/CentOS) is preferred

Compensation

Salary up to $45,000 depending on experience and skillset
Health and Dental benefits; paid vacation, sick leave, and holidays; more great perks
The opportunity to work, learn, and “wear many hats” in a dynamic and friendly small-office environment

Powered by JazzHR

L5AKicMNMB"
NOC Technician,NOC Technician,ONE2ONE Inc,March,2024,"Do you enjoy helping people with technology? We're looking for highly motivated technicians to work in our Network Operations Center in Lancaster, PA. Process technical alerts from our automated monitoring system and assist end users in resolving basic technical requests. Technical consultation and experience in a managed services environment (MSP) is preferred; however, we will train the right, eager candidate!

Job Expectations:

Utilize the service ticket system to log all requests, activities, and labor
Communicate professionally with customers and internal staff
Troubleshoot/resolve reported issues with client-facing services
Aid clients with basic use of common applications and operating systems
Manage user profiles and resolve file permissions and file access issues
Monitor the operational support systems to proactively identify service-impacting events relating to IT, network, and facility conditions
Onboard clients into established ONE 2 ONE Services Environment
Perform backup restoration and malware and virus remediation
Escalate problems to the appropriate support disciplines within the organization or to vendors to achieve issue resolution
Develop/modify client-centric operating procedures and other documentation as new services are developed and deployed
Deploy, troubleshoot, and repair hardware and software on site and at ONE 2 ONE's facilities
Minimal local travel to client sites to perform various IT-related tasks


Requirements

Requirements:

1-2 years related IT Service Desk experience (or similar IT experience)
1-2 years troubleshooting connectivity on desktop PCs, Macs, and Windows Servers via remote applications
Strong Active Directory administration skills
Experience in user administration in MS Exchange
Strong competency deploying and supporting the Microsoft Operating Systems
Above average competency with the Microsoft Office suite of products
Functional knowledge of TCP/IP, routing, switching, subnetting, etc
Knowledge and experience troubleshooting SMB firewalls and basic networking equipment (routers, switches, wireless access points)


Benefits

Medical, Dental, & Vision with Employer Contribution
401K with Employer Match
Paid Time Off
Volunteer Time Off
Employee Assistance Program"
NOC Technician,NOC Technician,"Inabia Solutions and Consulting, Inc.",May,2024,"Responsibilities include:

Functions 1-5

Assist Tier one technicians with customer troubles and internal network related issues.

Investigate outage logs and help determine root cause for service interruptions.

Help prepare outage reports for NOCC Supervisor and/or NOCC Manager.

Serve as Tier II support of network operations teams involving complex level customer outages as well as internal network outages.

Make essential network related decision such as dispatching field technicians after hours and/or initiating network related emergency maintenance.

Qualifications

EDUCATION/EXPERIENCE REQUIRED:

Associates degree in a technical discipline or equivalent related technical experience in a wireless data/communications services capacity required.

Must have at least four years of relevant experience in a Network Operations Control Center and have a demonstrated history of the ability to handle the Level III responsibilities.

Powered by JazzHR

jMC3OyqcPD"
Network Operations Center (NOC) Technician,Network Operations Center (NOC) Technician,Superior Contracting & Maintenance,May,2024,"The NOC Team is the heart of our Support Operations division and an entry-level technical role.

This is a fast paced role that requires a shift in focus multiple times per hour and prioritization of work on the fly. The NOC handles all incoming tasks such as support and dispatch requests, technical systems alerts, resource coordination and interdepartmental communication, as well as resolving a portion of incoming support cases.

Essential Duties and Responsibilities:

Act as a point of contact for all types of service requests
Communicate directly with customers as needed.
Assist in coordination of the support teams to maximum utilization and improve communication
Monitor alert systems and take appropriate action.
Assist in management of the emergency process for support requests requiring escalation
Work with support technicians and management to do whatever is necessary to provide excellent service.
Continuously develop technical skills by resolving a portion of incoming support cases to enable progression to a technical support role
Provide feedback on opportunities to improve process and workflow efficiency

Requirements

Professional and effective written and oral communication as well as excellent interpersonal skills: such as telephony skills, active listening and customer-care
Basic computer, operating system and application knowledge
Basic understanding of networking technologies and components such as switches, routers and firewalls
Understanding of support tools, techniques, and how technology is used to provide IT services
Ability to organize and prioritize work and adapt to changes quickly
Self-motivated with the ability to work in a fast moving, team based environment

Additional Requirements

Participate in after hours rotation
Must be able to lift 50lbs
Must pass a drug and background screening

Benefits

Flexible Paid Time Off
401k
Medical/Dental/Vision Insurance available
Life and AD&D Insurance
Disability Insurance"
NOC Technician,NOC Technician,Trispoke Managed Services Pvt. Ltd.,January,2024,"Overview

This role will contribute to the Tier 2 CAS Network Operations Center (NOC). This position is responsible for the incident management of customers within the CAS Operational environment. This position is responsible for diagnosing failures of systems and networks and performing actions to resolve basic technical queries from Collins Aerospace CAS customers and Business Units.

Primary Responsibilities

Monitors network management system and engages telecom providers to drive restoral efforts.
Tracks incident details and keeps information updated in the incident management tool in a timely manner with accurate information.
Solves systems and network problems/questions with limited scope and complexity.
Applies technical knowledge to oversee high availability IP networks, messaging systems, and Air to Ground data communications equipment and systems.
Identifies resolutions of routine technical queries from Collins Aerospace CAS customers and CAS Business Units.
Takes guidance from other team members or management to resolve less routine issues.
Works with Senior Team Members to resolve moderate to complex issues with critical customer services. May take the lead role in resolving less complex issues.
Uses discretion to interpret and apply established processes. Errors could cause prolonged or wider spread failures.
Monitors and troubleshoots system performance, troubleshoots, resolves, or escalates network issues.
Understands deployment, configuration, and maintenance routines and develops tools to make the process more efficient.
Participates in network solutions design and configurations.
Analyzes issues and provides customers with guidance to resolve problems, This includes great focus and attention to details
This is a 24 x 7 365 Operation Center which requires working some weekends and holidays.
Strong Customer Service skills
Efficient at multitasking. This includes taking on multiple responsibilities, prioritizing and delegating
Candidate will be required to train on three all NOC (3) positions, Transport, DataLink, Applications in 4-6 months. These positions will be trained one by one from a span of 3 weeks to a month and a half.
Transport – Continuous monitoring from the core to the edge, for all ARINC Global Network components, including all routers, switched, firewalls, circuits, etc.
DataLink – Continuous monitoring of the ground station/radios and central processing systems that make air to ground datalink communications possible.
Applications – Continuous monitoring of the central channels, connected to routers, which facilitate the daily flow of millions of messages.

Required Qualifications

Network+ Certification
Knowledge of TCP/IP networking protocols, computer hardware and software interconnection and interfacing.
Knowledge and understanding of ITIL/ITSM concepts and practices.
Experience troubleshooting Cisco devices.
Experience with HSRP/BGP routing protocols.
This position requires AA/AS degree or other 2-year post high school training with a minimum of 1-2 years of relevant experience OR
HS Diploma/GED with 2 years of experience

Preferred Qualifications

CCNA Certification
Knowledge of Remedy, Netcool, Office 0365, ServiceNow

https://www.linkedin.com/company/trispoke-managed-services-pvt-ltd/

#Network Engineer #Network Support #Helpdesk Technician #CISCO #"
NOC Technician,NOC Technician,"Blue Rose Consulting Group, Inc.",January,2024,"Blue Rose is seeking an NOC (Network Operations Center) Technician to support our work with a federal client in Ashburn, VA. This is On-Site and is open to U.S. Citizens.

Successful candidates will be required to complete a full background investigation.

In this role you will:

Demonstrate comprehensive knowledge of key tasks on a large high visibility IT program
Be responsible for using Enterprise Monitoring tools to identify and escalate data center infrastructure incidents through multiple communications mechanisms
Work on high visibility or mission critical aspects of a given program and performs all functional duties independently
Provide 24x7x365 support, resource will provide a central point for identification, troubleshooting and escalation of incidents that arise in all environments
Provide support on Incident bridge calls with emphasis on restoring service to users as quickly as possible, troubleshoot toward the resolution of incidents, and manage incidents to completion
Compile incident time lines, support change in activities, and record incidents in to the ITSM platform BMC Remedy
Create, update and maintain Standard Operating Procedures, Technical User Guides, Troubleshooting Guides, and Customer Contact Database
Conduct quarterly reviews of all documents
Populate Knowledge Management Database with known troubleshooting procedures
Monitor all applications and systems in production, development, and test environments at all Data Centers
Coordinate, escalate, and/or resolve operational system/application/network events that have the potential of negatively impacting system and application availability to the user community
Escalate incidents in accordance with established client escalation procedures
Identify and respond to potential problems or trends before failure or degradation occurs
Provide information on scenarios for monitoring, automation, and adjusted threshold levels to allow appropriate action to be taken before adverse impact occurs
Develop and/or enhance processes to detect and prevent future incidents and allow for quicker diagnosis and resolution if further incidents occur

REQUIREMENTS:

Candidates must have:

3 years of experience supporting incident, problem, and change management activities for a large government agency
2 years of experience working on high visibility or mission critical aspects of a given program and performing all functional duties independently
3 years of experience using the following or similar tools: Fault and Performance monitoring and reporting tools such as IBM Netcool Omnibus, AppDynamics, HP Operations Manager, Splunk
3 years of experience using incident management tools such as ServiceNow, BMC Remedy
3 years of operational experience within a large-scale, complex Manager of Manager (MoM) type monitoring environment
3 years of experience with supporting one or more of the following Data Center technologies:
Java App Servers, VMWare, Oracle, Unix/Linux, or IBM technologies like MQ, AIX, DB2/UDB
Strong verbal communication skills
Ability to work evenings and weekends as needed

Work Schedule:

Initial training: ~2-4 weeks will be 1st shift Mon-Fri (0700 – 1530); locations split between Ashburn, Springfield, and remote
Likely work schedule post training: 3rd shift Tues – Sat (2300 – 0730); Ashburn client site
Shift and days will be confirmed prior to onboarding, but candidates must be willing to support 2nd (1500 – 2330) or 3rd (2300 – 0730) shift
Education:

3+ years of experience and a B.S. degree. Bachelor of Science (BS) can be substituted with an additional 4 years of related experience

Salary: $88,000 - $98,000

Powered by JazzHR

lbYLXgmfDh"
Network Operations Center (NOC) Technician,Network Operations Center (NOC) Technician,"GCS Technologies, Inc.",May,2024,"The NOC Team is the heart of our Support Operations division and an entry-level technical role.

This is a fast paced role that requires a shift in focus multiple times per hour and prioritization of work on the fly. The NOC handles all incoming tasks such as support and dispatch requests, technical systems alerts, resource coordination and interdepartmental communication, as well as resolving a portion of incoming support cases.

Essential Duties And Responsibilities

Act as a point of contact for all types of service requests.

Communicate directly with customers as needed.

Assist in coordination of the support teams to maximum utilization and improve communication.

Monitor alert systems and take appropriate action.

Assist in management of the emergency process for support requests requiring escalation.

Work with support technicians and management to do whatever is necessary to provide excellent service.

Continuously develop technical skills by resolving a portion of incoming support cases to enable progression to a technical support role.

Provide feedback on opportunities to improve process and workflow efficiency.

Requirements

Professional and effective written and oral communication as well as excellent interpersonal skills: such as telephony skills, active listening and customer-care.

Basic computer, operating system and application knowledge.

Basic understanding of networking technologies and components such as switches, routers and firewalls.

Understanding of support tools, techniques, and how technology is used to provide IT services.

Ability to organize and prioritize work and adapt to changes quickly.

Self-motivated with the ability to work in a fast moving, team based environment.

Additional Requirements

Participate in after hours rotation.

Must be able to lift 50lbs.

Must pass a drug and background screening.

Benefits

Flexible Paid Time Off

401k

Medical/Dental/Vision Insurance available

Life and AD&D Insurance

Disability Insurance"
NOC Intern,NOC Intern,ONE2ONE Inc,March,2024,"Are you a motivated individual with a passion for providing clients with a 5 Star IT Experience? As a NOC Intern, your focus would be to monitor and maintain client equipment, software, patches, and updates. In addition, you would provide support to the Service team by dispatching after hour issues to the technician on-call. You would expand your knowledge base by troubleshooting and resolving client issues, or escalating these issues as necessary. Potential for supporting and working with either or both of our Service and Pro teams with technical support, troubleshooting, configurations, and installations based on experience.

This internship would be a part-time, hourly paid position with a flexible schedule (Monday - Friday: 3pm-8pm or later shift; Saturday and Sunday: 8am or 9am-3pm or 5pm).

You'll have success here if you value clear processes and feel qualified to do the following things:

Emulate and promote the ONE 2 ONE culture by adhering to the vision, mission, and values
Provide exemplary customer service to existing and prospective customers
Provide a 5-star IT experience
Proper use of the company PSA, RMM, documentation platform, and other programs as trained and directed
Represent ONE 2 ONE in the community via events like conventions, expos, chamber functions, and as directed by management
Attend relevant webinars, seminars, and training sessions as directed by management
Deliver services in accordance with all contracted Service Level Agreements
Monitor and respond to alerts using remote monitoring and management tools
Monitor and maintain client covered equipment
Monitor and maintain software & antivirus patches and updates
Document and maintain asset management
Monitor and maintain backup systems
Dispatch after hour issues to on call tech
Troubleshoot/resolve reported issues with client facing services; escalate when applicable
Utilize the service ticket system to log all requests, activities, and labor, including documentation of special requests and customizations considered important for future support
Evaluate, analyze and monitor system trends and suggest improvements
Communicate with customers and internal staff at regular intervals to ensure expectations are set and that appropriate attention is being paid to customer requests
Onboard clients into established ONE 2 ONE Services Environment as directed by management
Assist with updating/developing client-centric operating procedure and other documentation as new NOC services are developed and deployed as directed by management
Assist with various projects and miscellaneous duties as assigned
Minimal local travel to client sites to perform various IT-related tasks


Requirements

Requirements for a NOC Internship role are as follows:

1-2 years related IT Service Desk experience (or similar IT experience)
1-2 years troubleshooting connectivity on desktop PCs, MACs, and Windows Servers via remote applications
CompTIA A+ or similar experience


Our right fit NOC Intern would have the following skills:

Motivated and solution-focused
Strong written and verbal communication skills
Client service-focused
Strong Active Directory administration skills
Strong competency with the operating systems currently supported by Microsoft
Above-average competency with the Microsoft Office suite of products
Functional knowledge of TCP/IP, routing, switching, subnetting, etc
Experience in user administration in MS Exchange
Knowledge and experience troubleshooting SMB firewalls and basic networking equipment (routers, switches, wireless access points)"
NOC Technician,NOC Technician,Bluepeak,May,2024,"Job Details

Description

“We Push the Boundaries of Possibilities for our Communities.”

Overview of the Position Responsibilities: The NOC Technician I (Business Customer Support) is responsible for monitoring the Bluepeak Broadband Network and Services for outages and impairments in a 24 x 7 environment. This position will serve as the primary Business Customer Support liaison for the Bluepeak Business Customer After Hours support. This position will answer Business inbound support calls and support escalations to field personnel and the Network Operations Team In addition, they coordinate maintenance and repair activities with engineering, operations and vendor personnel to ensure high quality and service availability. They use fault, performance monitoring and configuration management tools along with ticketing systems and event logs to detect and document troubles from initial detection to resolution. If this sounds exciting, please read on.

Be part of our innovation- building and delivering a fiber-rich internet connection to people’s doorsteps.

What You Will Do

This is an exciting opportunity for someone who has minor experience and is looking for work a job that will teach them new things to add to their experiences.

Responsible for timely repair coordination, event notifications, and escalations, related to network outages, impairments, or maintenance activities
Using the Network Monitoring and troubleshooting tools, the NOC Technician is expected to identify, isolate, and resolve events that may occur in all components of the network, clearly documenting each event and actions taken in the trouble ticketing system
Monitor the Network Elements and Systems that make up the Bluepeak HFC Plant, Core Network, Service Delivery and supporting infrastructure
Clear outages after service have been restored and tested. Alert personnel via established processes and procedures
Provide thorough follow up via ongoing notification updates
Effectively communicate with field partners, customers, and peers
Respond to the PM Messaging Tool and follow established maintenance process
Provide support for after hour emergency locates
Respond to inbound and outbound calls to support customers.
Follow-up with customers to confirm resolution of issues or to follow-up with additional troubleshooting steps.
Partner with Bluepeak Business Customer Care on resolution details after hours
Maintain communications to Bluepeak Business Customer Care on status updates and de-escalation efforts back to the support team
All other duties as assigned

What You Will Need

High school/GED required. Associate degree or equivalent from two-year college or technical school preferred.
Upon job offer, must be able to complete a background check and a drug test prior to employment.
Previous knowledge of RF signals and HFC networks is a plus.
Basic understanding of TCP/IP and other Internet protocols as well as experience with tools such as Ping, Trace Route, NS Lookup. Exposure to SolarWinds or other network monitoring platforms is preferred
Candidates must possess the ability to multitask, problem solve, think clearly and respond in a fast-paced or fluid environment
Must be reliable and dependable, self-motivated and willing to learn and contribute to building a successful NOC team
Data, Telephone or Video Network troubleshooting, repair and maintenance experience in an enterprise telecommunications environment or equivalent
Working knowledge RF and Optical technologies, preferably HFC Broadband used for service delivery by Cable MSO’s
The NOC is a 24/7/365 operation. Employees must be willing and able to work non-standard work shifts, including evenings, overnight, holidays, and weekends
Must be Customer focused and dedicated to meeting the expectations and requirements of internal and external customers; establishes and maintains effective relationships with customers

Why Work at Bluepeak?

Competitive Compensation + Annual Bonus Eligibility
Comprehensive Benefits Package, Including Medical, Dental, Vision, Life, and 401(k)
Generous Vacation and Paid Sick Time + Paid Holidays and Personal Days
Professional Development with an Emphasis on Internal Promotion
Employee Discounts on Bluepeak Services, Including Internet
Progressive and inclusive work culture in which our team has the flexibility, support, and resources to be successful in their careers!

About Us

We believe that the size of the city shouldn’t determine the quality of the technology. That’s why we are building for you: Faster, more reliable, and without the things that get in the way of great service—like red tape, hidden fees, and slow response times. And with up to 5 gigabits of speed for residential customers and 10 gigabits for businesses, we are whole new ballgame- from internet to TV, to connecting every device in your home, to powering your business, we’re not only providing the best fiber connections in your community, but we’re also meeting the growing needs for how you live.

Bluepeak provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws."
