Position,Company_Name,Location,Post_Month,Post_Year,Details
Biotech Equities Analyst (Hedge Fund),Biotech Equities Analyst (Hedge Fund),DTG Finance & Capital Markets,April,2024,"Highly reputable hedge fund in New York seeks Equities Analyst to support Portfolio Manager/Partner, head of the Biotech investment team.
Group covers both public and private biotech companies research and investments.

Among this multi-strategies fund's top operations, this team's investments in biotech domain range from mid to long term, public as well as privates' Capital Markets activities.
Highly successful, tracked team utilizes unique combination of science, medicine, technology and finance, within an investment management firm that uses multi-disciplinary approach for its investment process.

In this highly collaborative role one will utilize experience in both academic/scientific (expertise/knowledge of therapeutic areas pursued by covered companies, drug mechanisms, associated safety/efficacy profiles, clinical design strategies, etc.) and non-scientific (analyzing intellectual property, financial status and capital markets trends).

Responsibilities:
• Will gather and analyze industry information, build financial models and write reports on the biotech sector, market trends and biotech companies.
• Perform technical analysis for both prospective and existing public and/or private biotech investments
• Review, synthesize and present disease pathophysiology, drug mechanism of action, PK/PD, pre-clinical and clinical data, CMC/regulatory considerations and prevalence/incidence data for internally-generated reports and presentations
• Know how to evaluate the above data points to generate actionable investment theses
• Monitor a variety of data sources to detect changes in fundamental and sentiment changes for companies and areas of interest while also identifying potential risks
• Maintain a skeptical approach to data interpretation with a focus on independent verification of assumptions
• Balance fundamental analysis with an appreciation for markets driven guidance, sentiment and indicators when performing research

Experience/Skills Requirements:
• Must have Strong educational background AND 2-4 years of practical industry experience in biotech investment research and analysis (buy or sell-side, biotech/pharma)
• Experience synthesizing and distilling highly complex information, generating an investment thesis and testing one's thesis objectively
• Excellent analytical, organizational, written and verbal communication
• Ability to take detailed notes in real time during presentations, company meetings and calls
• Self-starter, quick learner, able to work with minimum supervision

Upside:
• Great opportunity on am expanding team; role involves collaborating with top investment/portfolio manager, and biotech scientific and business community
• Firm offers very competitive compensation and benefits, collegiate/collaborative/professional culture

-- Please contact us for additional details and confidential consideration --"
Industrials Equity Analyst - $20bn Single Manager,Industrials Equity Analyst - $20bn Single Manager,Mondrian Alpha,May,2024,"A market leading, multi-billion dollar AUM hedge fund are looking to hire an Industrials Analyst into their New York office. The fund is one of the best performing funds globally, investing in all asset classes.

The fund is looking to add to it's Equities team by hiring an Industrials Analyst, who will lead the sector's coverage and feed directly into the fund's Equities Portfolio Manager. The fund invest directionally with a long-term bias, with a concentrated portfolio making high conviction investments.

The hire can come from a L/S equities role, Long-Only, sell-side research or private equity. Candidates must have outstanding academics and a strong experience in Industrials."
Systematic Trader/Portfolio Manager,Systematic Trader/Portfolio Manager,DTG Finance & Capital Markets,April,2024,"Sizable hedge fund/Family Office is looking for a Systematic Trader/Portfolio Manager to design and trade short term Equities and/or Equity linked trading strategies.

In this role one will lead/collaborate with highly reputable CIO and help with recent systematic/quant strategies initiative at this mostly event-driven fund.

Sought after candidate should have substantial institutional experience as either a Senior/Lead Quant Researcher, 'SubPM' or Quant Trader/PM, come from buy-side setting, be hands-on, and with a particular expertise in automated trading, whether short-mid term stat arb, systematic event-driven, arb of any kind. Will consider candidates with strong algo market-making trading record.

Firm offers competitive compensation package and benefits, significant trading and operational capital. and support. Not a 'pod shop', although multi-strat, PMs allocations in $100s M (GMV)
No strategies overcrowding, great timing to join the firm, particularly given exceptional performance for last several years and increased AUM. Potential opportunity in the off-shore and Separate Managed Accounts settings.
Please send resume and contact us for more details and ultra-confidential consideration"
Portfolio Manager,Portfolio Manager,Pan Capital Management LP,May,2024,"Please send all resume submissions to brett.gardocki@pancapmgmt.com

Firm Overview:
Pan Capital Management (PCM) is a Houston-based, energy-focused investment firm launched in 2011. The firm is led by Sean Pan, CIO and Ken Fu, COO. The firm is comprised of three main divisions: Hedge Funds, Midstream, and Upstream. The Hedge Fund Division consists of two Funds, the flagship Pan Capital Energy Fund and the recently launched Pan Capital Global Multi-Strategy Fund.


The Pan Capital Energy Strategy currently manages roughly $2B in AUM. The team applies a “quantamental” approach, identifying short to intermediate term trading opportunities within the North American energy markets. By leveraging directional, relative value and option strategies across liquid futures and options, we craft nuanced market positions designed to capture value.


The Pan Capital Global Multi-Strategy Fund is a diversified multi-manager hedge fund with a focus on commodities and Global macro markets. The Fund strategically allocates capital to seize a wide range of investment opportunities, guided by proactive risk management. Key strategies include fundamental commodities, discretionary and systematic macro, and other directional and relative value strategies. One unique feature of the fund is that it will have a core allocation to the Pan Capital Energy Strategy. Additional capital will be allocated to internal PMs primarily focused on synergistic macro-opportunities. PCM is actively recruiting experienced macro orientated portfolio managers to join the new multi-strategy fund.

Principal Responsibilities
-Actively manage dedicated capital allocation with a formulaic payout
-Collaborate with the CIO and existing portfolio managers
-Generate high conviction themes for the fund’s center book portfolio
-Strategy focus interest includes:
Global Discretionary Macro – FX, Rates, Fixed Income
Relative Value Fixed Income
Systematic Macro
Commodities
Volatility


Experience Requirements:
At least 10 years of financial industry experience, including sell-side and buy-side seats
A track record of managing an autonomous strategy with full risk taking authority"
Investment Analyst (Private Markets & Manager Selection),Investment Analyst (Private Markets & Manager Selection),Page Executive,April,2024,"Play a pivotal role within a close-knit, dynamic team|Work with the VP to offer investment insight & direction to family office


About Our Client

Our client is a family office in NYC. The family office will support the goals of the family through investments in the US market. This role is 5 days a week in office in midtown NYC.

Job Description

Conduct in-depth research and analysis on private market investment opportunities, including private equity, private credit, venture capital, and real estate.
Conduct in-depth research on various fund managers for potential asset allocation.
Evaluate investment strategies, market trends, and competitive landscapes to identify attractive opportunities and potential risks.
Perform financial modeling, valuation, and due diligence to assess the feasibility and potential returns of prospective investments.
Prepare investment memos, presentations, and reports for internal stakeholders.
Collaborate closely with investment professionals and senior leadership to support investment decision-making and portfolio management activities.
Monitor and track portfolio performance, market developments, and regulatory changes affecting private markets.

MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

The Successful Applicant

Bachelor's degree in Finance, Economics, Business, or a related field; advanced degree (e.g., MBA, CFA) preferred.
1-5+ year of experience in a family office or small investment firm setting with a focus on private markets or manager selection.
Strong analytical skills with proficiency in financial modeling, valuation techniques, and investment analysis.
Excellent communication and presentation skills, with the ability to articulate complex ideas clearly and concisely.
Detail-oriented with a demonstrated ability to manage multiple projects and prioritize tasks effectively.
Team player with a proactive attitude, intellectual curiosity, and a passion for learning and growth.
Proficiency in Microsoft Excel, PowerPoint, and other relevant financial analysis tools.

What's on Offer

Base salary + annual cash bonus

Contact: Lisa Leveille

Quote job ref: JN-042024-6385328"
Fixed Income Portfolio Researcher - Top-Tier Global Hedge Fund Offering up to $300K Base Salary + Progression into Investment Roles,Fixed Income Portfolio Researcher - Top-Tier Global Hedge Fund Offering up to $300K Base Salary + Progression into Investment Roles,Mondrian Alpha,May,2024,"Mondrian Alpha are engaged in an exciting search for an industry-leading, top performing multi-strategy hedge fund. The firm manages a constantly growing AUM and has a record of consecutive years of strong performance with double-digit returns.

The firm owes a lot of its success to its outstanding Quantitative Research group, which is in charge of managing the day-to-day functioning of one of the largest portfolios on the street, looking after aspects of risk management, portfolio construction and trade execution. Consistent with the positive performance that the firm recorded in 2023, the team is expanding and looking to hire a Quantitative Researcher specialised in fixed income products who will be involved in the development of new multi-factor risk models to support PMs and Analysts with portfolio construction and portfolio optimisation strategies.

This is a unique opportunity for the hire to make a visible impact on the firm's investments and contribute to the high performance of its trading desks. In this research-led position, you will be able to build customised risk models, develop factor analytics and apply portfolio construction techniques that you see fit to provide a strong competitive advantage to the portfolios of the fund.

Opportunities for progression are varied. As the Quantitative Research group continues to expand, your role could evolve into leading a branch of the team. Your direct contact with investments and your experience with portfolio construction and optimisation could also allow you to progress into a Portfolio Manager seat in the future.

Requirements:
Bachelors, Masters, or Ph.D. in Statistics, Mathematics, Operations Research, Economics or a related field.
Advanced training in Statistics, Mathematics, Finance/Financial Engineering or a related field.
Strong mathematical and/or statistical modeling background.
Demonstrated interest in or knowledge of investments, including asset pricing, empirical anomalies and market microstructure.
Previous exposure to a quantitative research role with exposure to factor models (equities/fixed income).
Experience using statistical packages (e.g. Matlab, R) and experience with programming & scripting languages (e.g. Python, C/C++).

Additional details:
The base salary for this role is up to $300,000. Base salary does not include other forms of compensation or benefits. The firm is also known to offer very competitive bonuses, up to 100% for Year 1."
Portfolio Manager,Portfolio Manager,First New York,May,2024,"Multi Strategy Platform expands its global presence.
FNY Investment Advisers (“First New York”) is an SEC Registered Investment Adviser, headquartered on Park Avenue in New York City, with offices in London and South Florida. First New York’s multi-strategy platform provides access to global markets and asset classes.
Tangible benefits at First New York:
• Risk Tolerant
• Stable and exclusively partner capital
• Formulaic compensation
• No netting risk
• Global Equities, Options, FX, Commodities & Fixed Income, Futures
• Recognizable Prime Brokers and SWAP counterparties
• Top service providers
• Collaborative, entrepreneurial, and intellectually interesting culture
• Experienced leadership & pedigreed professional staff
First New York is a preferred destination providing portfolio manager/traders with a cost-effective multi-asset trading platform and a full-time dedicated staff. For decades, First New Yok has launched, seeded, and allocated to hundreds of Hedge Funds and Separately Managed Accounts.
Enhance your total trading experience and please share with us your resume, your trading experiences, your strategy and return profile.
****PLEASE NOTE a return profile is required.

Contact David Abramson
212-331-6919
917-945-1694
D.Abramson@firstny.com
D.Abramson@Bloomberg.net"
Equity L/S Portfolio Manager - New York,Equity L/S Portfolio Manager - New York,Caxton Associates,February,2024,"Company Overview:

Caxton Associates, founded in 1983, is a global trading and investment firm with offices in London, New York, Monaco, Singapore, and Dubai. Caxton Associates' primary business is to manage client and proprietary capital through multiple liquid global hedge fund disciplines, including discretionary macro, systematic macro, emerging markets macro, systematic trading, equity long-short, and event-driven strategies. Assets are managed via a broad mandate to trade in a variety of global markets and instruments with a focus on alpha generation for our clients.

Requirements


The Role:

Caxton Associates is seeking experienced Portfolio Managers specializing in Equity Long/Short strategies. In this pivotal role, you will be entrusted with managing a significant capital allocation and overseeing rigorous risk management across all active positions.

In our organization, we place a high value on collaboration, promoting regular and ongoing discussions about global macroeconomic trends, geopolitical developments, and the evolution of financial markets. Professionals who can extract key insights from their investment universe to inform and shape the broader team's perspective and leverage this collective knowledge to generate alpha within their mandate will find this is the perfect platform for their talents.

Key Responsibilities:

Independently manage a significant capital allocation by creating, executing, and monitoring an Equity Long/Short strategy
Construct portfolios with a focus on maintaining low net delta, balanced factor and industry exposure, and high idiosyncratic risk attribution.
Conduct thorough market and industry research, fundamental business analysis, and business cycle research.
Implement stringent risk management, actively assessing the merits of all positions and investment theses
Collaborate effectively within a global team environment, learning from and adding value to collective insights and expertise
Ensure strict compliance with all industry rules, regulations, and internal company policies


Requirements:

Proven track record in Equity Long/Short, demonstrated by robust investment acumen and a Sharpe Ratio greater than 1.5
A minimum of 5 years of experience in portfolio management, preferably within a hedge fund
Proficiency in financial modelling, sector analysis, business structure analysis, and conducting business cycle research.
Demonstrated expertise in the industries and/or regions of focus, as well as risk management techniques for equity portfolios.
Humility and the capacity to thrive in a highly collaborative global team, with a strong desire to learn from and alongside other investors
Unwavering commitment to the highest standards of ethics and integrity
Exceptional decision-making abilities, capable of performing well under pressure


Application Instructions:

To apply, please submit your CV, a detailed account of your investment track record (including evidence of a Sharpe Ratio greater than 1.5), and a comprehensive outline of your proposed investment strategy and process. If you're an experienced portfolio manager with a passion for collaboration and a keen interest in financial markets, we'd love to connect with you.

Benefits

With respect to New York-based applicants, the base pay for this role is $250,000 annually. The total compensation is dependent upon several factors, including, but not limited to, relevant experience, business needs and market demands. This role may also be eligible for bonus compensation and employee benefits."
Portfolio and Asset Management Manager,Portfolio and Asset Management Manager,KnowHireMatch,May,2024,"Location: Company Headquarters

Purpose of the Role: As a Portfolio and Asset Management Specialist, you will play a crucial role in the commercial management of our power plant and battery storage assets. This position involves working under the guidance of the Vice President/Director of Portfolio & Asset Management and collaborating with teams across Accounting and Finance to enhance asset performance and compliance.

Key Responsibilities:

Financial Management: Assist in preparing and reconciling invoices, controlling budgets, and generating financial reports including monthly asset manager updates and shareholder communications
Regulatory Compliance: Support the management of project permits and licenses and assist with regulatory registrations and compliance activities
Contract Management: Maintain and monitor a variety of agreements such as Resource Adequacy, Power Purchase, and Gas Purchase agreements, ensuring all contractual obligations are up-to-date
Operational Support: Address operational challenges including outages and unbudgeted expenses, and assess their financial impacts
Risk Management: Analyze data from merchant power plant assets to update earnings projections and participate in risk assessment discussions with project partners


Requirements

Requirements:

Bachelor's degree in Engineering, Science, Finance, Economics, Accounting, or a related field
Advanced proficiency in Microsoft Excel, PowerPoint, and other Office products
Experience in developing and managing complex financial models
Knowledge of project documentation and operations management
Strong communication, analytical, and problem-solving skills, with a proven ability to manage time effectively
A proactive attitude with a drive for continuous improvement and a keen willingness to learn
Experience within the electric power generation industry including asset management or operations roles is preferable


Benefits

What We Offer:

A dynamic role at the intersection of technology and finance within the renewable energy sector
The opportunity to contribute to the management and optimization of innovative energy solutions
A supportive environment where proactive individuals can thrive and advance their skills


Apply Now: If you are driven, detail-oriented, and ready for a challenging yet rewarding role in portfolio and asset management, we would love to hear from you. Apply today to join our team and help shape the future of energy management and sustainability."
Quantitative Portfolio Manager,Quantitative Portfolio Manager,Saragossa,May,2024,"Saragossa is partnered with a tech driven proprietary trading firm focused on intraday equities and futures trading. They are seeking a Quantitative Portfolio Manager to join their growing team of talented traders and quants . In this role you will be provided with a cutting edge data platform and state of the art research environment, allowing you to develop high performing and successful trading strategies.

This firm is very much a people first culture. They believe your success is entirely based on how good of an ecosystem can be created on the trading floor (virtually or otherwise). It's important that you will spend your time working on models/ strategies rather than politics or lower value business duties.

You will be given the resources to be successful with no red tape or bureaucracy hindering creative freedom. Additionally, no non competes.

This role has the option to be fully remote, but you are welcome to work in one of the offices across the US (NY, Austin, or Chicago) if you so choose.

If you are curious about what you could do in a culture not hung up on hierarchy, legacy tech/ platforms, and actually trusts you to profit, you are encouraged to apply."
