Position,Company_Name,Location,Post_Month,Post_Year,Details
Associate Product Owner,Associate Product Owner,Life Line Screening,April,2024,"Key Responsibilities:

Product Vision: Develop a clear product vision and strategy, ensuring alignment with the company's goals and market demands
Roadmap Management: Create and manage the product roadmap, providing clear direction for the development teams
Feature Prioritization: Collaborate with stakeholders to prioritize and sequence product features based on customer feedback, market trends, and business needs
User Stories: Define detailed user stories, acceptance criteria, and product requirements for the development teams
Team Collaboration: Work closely with cross-functional teams, including designers, developers, and quality assurance, to deliver high-quality products on time
User-Centric Approach: Champion the voice of the customer and ensure that product decisions are made with the end-user in mind
Product Backlog Management: Maintain and refine the product backlog, keeping it up-to-date with the latest information
Release Planning: Participate in release planning and coordinate product releases
Performance Monitoring: Continuously monitor the product's performance and user feedback to identify areas for improvement
Market Research: Stay updated on industry trends and competitive products to inform product development
Feedback Integration: Collect and synthesize feedback from external customers and internal teams to drive product improvements

Qualifications:

Bachelor's degree in a relevant field (e.g., Business, Computer Science, Engineering)
Experience as a Product Owner or similar role
Strong understanding of product development methodologies (Agile, Scrum, etc.)
Exceptional communication and collaboration skills
Excellent problem-solving and analytical abilities

Nice to Haves:

Knowledge of the healthcare industry and market trends
Strong leadership and decision-making skills
Experience in tools that includes, but not limted to: Atlassian, Microsoft Office suites, PowerBI, Tableau, Salesforce

Life Line Screening is proud to be an equal opportunity employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age disability, protected veteran status, or other characteristics protected by law. Life Line Screening will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditional upon the successful completion of a background check and drug screen.

Powered by JazzHR

Od7eRT0OTd"
Product Owner,Product Owner,Accroid Inc,February,2024,"100% Remote

Transportation Product Owner

PH and Video

12+ Months

Track metrics and build reports to measure progress
Help manage dependencies with other squads’ working closely with squad PO, peer PO’s and the Product Manager.
Stay 2-3 sprints ahead of the squad and ensures each feature has a clear definition of done; ensure each feature level deliverable is aligned to a definition of readiness to enter a sprint
User Stories meet the Definition of Ready (DOR) by the required deadlines
Proven experience with SAP ERP system implementations, ideally with Transportation Management (TM) module
A minimum of a bachelor’s Degree is required
3+ years of agile BA experience
Most eastern time zone working hours, however do require flexibility to accommodate teammates in Europe and West coast – can be remote with ad-hoc travels"
Product Owner,Product Owner,Enexus Global Inc.,May,2024,"Title : Product Owner

Tax Terms: W2 / C2C/ 1099

Location: Remote

Experience- 12+ Year

PO with Foundry knowledge and should work with Nexient Team and Emergency web team.

Qualifications

Hands-on experience as a PO.
Having network operations experience is a plus.
Managing and prioritizing the product backlog.
Experience with Hadoop, Angular, and SQL Data.
Serving as a liaison between product and development.
Digital product experience is required; agility is preferred.
Translating product managers strategies to tasks for development.
Highly organized, taking individual initiative and accountability."
Product Owner,Product Owner,IT Minds LLC,March,2024,"Product Owner,

Location: Remote

Duration: Contract through Dec 2024

No visa restrictions, must be on your W2, but must have EXCELLENT communication!

Must haves: Product Owner, Appian, working with end users

Backfill position – has someone leaving the group (new role but because internal changes are adding the headcount)
IT Support Group – end user support (ticketing, triaging, etc.)
End user communication
Systems Administration
Product Owner Responsibilities – expert in that area – IT vs business issue
Functionality
Business Requirements
Command/control day-to-day IT team
User Stories
Technologies: Jira, Agile, Production/IT Support Environment, Appian-based – Business process application, supports regulatory environment, reporting
needs to have good comm and soft skills. talking with end users who they are helping resolve their problem
Environment: Regulatory Business (Med-Tech) – this is preferred but not required. (R&D RIM)
This is not a “forever” role – role with advance and they will have say in how their role is structured. Will have a voice in process and visibility into how their environment in structured."
Product Owner,Product Owner,LTIMindtree,May,2024,"About US:
LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.

Work Location
Remote

Job Description:
Defining and managing the product vision and strategy, based on customer and stakeholder needs and market research.
Creating and prioritizing a product backlog (a list of features and requirements) that aligns with the product vision and goals, and continuously refining it based on feedback and changing business needs.
Collaborating closely with cross-functional teams (e.g. developers, designers, marketers, and quality assurance) to ensure that the product meets customer needs and is delivered on time and within budget.
Ensuring that the product backlog items are clearly defined, well understood, and properly estimated by the development team.
Making tough decisions on what features to include in each sprint or release, based on the value they will deliver to customers and the business.
Acting as the primary point of contact for all stakeholders (e.g. customers, partners, executives, and other departments) on matters related to the product.
Continuously monitoring the product's performance and gathering feedback from customers and stakeholders, using data-driven insights to make informed decisions and prioritize future improvements.
Maintaining a deep understanding of the competitive landscape, emerging trends, and new technologies that may impact the product's success.
Ensuring that the product is compliant with all relevant regulations and standards and managing any legal or ethical considerations related to the product.
Demonstrating leadership and ownership of the product, and inspiring others to share and contribute to the product vision and goals.

Benefits and Perks:
Comprehensive Medical Plan Covering Medical, Dental, Vision
Short Term and Long-Term Disability Coverage
401(k) Plan with Company match
Life Insurance
Vacation Time, Sick Leave, Paid Holidays
Paid Paternity and Maternity Leave

The range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.

Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.

LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.

Safe return to office:
In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes."
Product Owner,Product Owner,OmegaHires,April,2024,"Title: Product Owner

Job Type: Contract/Fulltime

Location: Remote

3+ years of experience in Product Management with proven track record in delivering a product vision and strategy
Experience with Agile software development methodologies and practices such as Scrum/Kanban, iterations, user stories
Familiarity with agile software development lifecycles, standard tools like JIRA and Confluence
Outstanding interpersonal, communication and conflict resolution skills
Payments industry experience, preferably including understanding of Network and payment technology and processes for debit/credit processing and policy and operations
Technical/BA/Functional experience in TCS BANCS experience
Experience of SEPA Direct Debit experience

Powered by JazzHR

lyhesfXKeP"
"Product Owner, GTM","Product Owner, GTM",Asana,May,2024,"Asana’s Enterprise Technology team is looking for a Go-To-Market (GTM) focused Product Owner to shape and expand our Revenue Technology landscape. In this dynamic role, you’ll merge strategic insight with exceptional problem-solving abilities, and collaborate cross-functionally to execute on revenue strategies, foster innovation, and yield business results. By harnessing your previous experiences, you’ll analyze business needs and partner closely with Revenue teams to identify enhancements and implement adoption and optimization of cutting-edge Revenue Technology tools.

The Enterprise Technology team supports insights with data and the technical systems that give our teams leverage to achieve their objectives. We work cross-functionally with Asana’s business teams to understand their goals and ensure they receive the data and technical support they need to flourish

This role is based in our San Francisco office with an office-centric hybrid schedule. The standard in-office days are Monday, Tuesday, and Thursday. Most Asanas have the option to work from home on Wednesdays. Working from home on Fridays depends on the type of work you do and the teams with which you partner. If you're interviewing for this role, your recruiter will share more about the in-office requirements.

What you’ll achieve

Collaborate with business stakeholders to align project outcomes with both strategic and tactical goals of the Revenue organization.
Collect business requirements, define technology solutions, write business stories, and build and coordinate testing strategies.
Partner with the development teams to communicate and develop solutions.
Manage development aspects of the Revenue Technology stack. Be the 'go to' person for implementation and day-to-day operation of various Revenue Technology platforms.
Work with developers and program managers to establish timelines and ensure delivery of projects and requests.
Identify time-consuming internal processes and assist in building reliable and scalable solutions.
Navigate fast-changing priorities in a dynamic environment to deliver the most impactful solutions to business stakeholders.

About you

Bachelor’s degree in business, management information systems, computer science, or related field.
5+ years of experience as a Business Systems Analyst.
Experience with the GTM technology stack, including Lead and Campaign Management, Prospecting, Enrichment, Opportunity Management & Pipeline Forecasting.
Proficient in process and system development in areas such as Salesforce Lead Funnel stages, Lead Routing, Lead/Contact sync with Marketing and prospecting tools (e.g. Marketo, Outreach), Outbound Prospecting, and Account and Opportunity Management.
Knowledgeable in various methodologies for planning and executing application development, enhancement or support, with the ability to guide the project team towards incremental delivery of project releases.
Clear, concise technical writing skills and excellent interpersonal and communication skills.
Strong negotiation skills when working with business users to develop scope, requirements, and defend systems capabilities.
Basic understanding of database and integration approaches. Must be able to write basic to medium complexity SQL queries.

At Asana, we're committed to building teams that include a variety of backgrounds, perspectives, and skills, as this is critical to helping us achieve our mission. If you're interested in this role and don't meet every listed requirement, we still encourage you to apply.

What we’ll offer

Our comprehensive compensation package plays a big part in how we recognize you for the impact you have on our path to achieving our mission. We believe that compensation should be reflective of the value you create relative to the market value of your role. To ensure pay is fair and not impacted by biases, we're committed to looking at market value which is why we check ourselves and conduct a yearly pay equity audit.

For this role, the estimated base salary range is between $173,000 - $221,000. The actual base salary will vary based on various factors, including market and individual qualifications objectively assessed during the interview process. The listed range above is a guideline, and the base salary range for this role may be modified.

In addition to base salary, your compensation package may include additional components such as equity, sales incentive pay (for most sales roles), and benefits. If you're interviewing for this role, speak with your Talent Acquisition Partner to learn more about the total compensation and benefits for this role.

We strive to provide equitable and competitive benefits packages that support our employees worldwide and include:

Mental health, wellness & fitness benefits
Career coaching & support
Inclusive family building benefits
Long-term savings or retirement plans
In-office culinary options to cater to your dietary preferences

These are just some of the benefits we offer, and benefits may vary based on role, country, and local regulations. If you're interviewing for this role, speak with your Talent Acquisition Partner to learn more about the total compensation and benefits for this role.

About Us

Asana helps teams orchestrate their work, from small projects to strategic initiatives. Millions of teams around the world rely on Asana to achieve their most important goals, faster. Asana has been named a Top 10 Best Workplace for 5 years in a row, is Fortune's #1 Best Workplace in the Bay Area, and one of Glassdoor’s and Inc.’s Best Places to Work. After spending more than a year physically distanced, Team Asana is safely and mindfully returning to in-person collaboration, incorporating flexibility that adds hybrid elements to our office-centric culture . With 11+ offices all over the world, we are always looking for individuals who care about building technology that drives positive change in the world and a culture where everyone feels that they belong.

We believe in supporting people to do their best work and thrive, and building a diverse, equitable, and inclusive company is core to our mission. Our goal is to ensure that Asana upholds an inclusive environment where all people feel that they are equally respected and valued, whether they are applying for an open position or working at the company. We provide equal employment opportunities to all applicants without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by law. We also comply with the San Francisco Fair Chance Ordinance and similar laws in other locations."
Product Owner,Product Owner,LTIMindtree,April,2024,"About Us:
LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.
Job Title: Product Owner

Work Location
Location: Houston TX

Job Description:

Responsibilities:
•Collaborate with others to help define product vision, data requirements, product roadmap and desired outcomes tied to project needs.
•Sets priority for the Delivery Team's backlog of all work aligned to product vision and roadmap
•Decomposes features into user stories that deliver incremental value for end users making sure items are clear and ready to be worked
•Works with development teams to estimate the work effort and provides input for program prioritization
•Partners with Data & Solution Architects to identify and prioritize work
•Partnering with Architecture to ensure solutions adhere to modern standards
•Partners with Product Managers to develop the product roadmap, release plans and aligns team-level constraints with program-level expectations
•Accountable for overall delivery of product solutions

Core Job Competencies:
•Position requires proficiency in the area of data and analytics
oKnowledge of SQL and Snowflake technologies helpful
•Ability coordinate activities and idea generation across diverse group of stakeholders
•Ability to translate higher level vision & strategy to a plan
•Ability to communicate information clearly and concisely to varied audiences, in particular complex solutions to non-technical audiences
•Business knowledge and Business Skills

Benefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):

Benefits and Perks:
Medical Plan Covering Medical, Dental, Vision
Term and Long-Term Disability Coverage
Plan with Company match
Insurance
Time, Sick Leave, Paid Holidays
Paternity and Maternity Leave

The range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.

Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.

LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.
Safe return to office:
In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes."
Product Owner (Junior),Product Owner (Junior),EXPENTOR,March,2024,"Position Description

Key stakeholder of a product or product who translates business needs into product requirements and communicates these to the Scrum Team. Maintains a prioritized features list for product and works closely with the Scrum Master to ensure goals are met.

Education

This position requires a Bachelor’s degree in area of specialty from an accredited college or university. Three (3) years of equivalent experience in a related field may be substituted for the Bachelor’s degree.

General Experience

The candidate must have a minimum of three (3) years of experience in product management."
Digital Product Owner,Digital Product Owner,Insight Global,May,2024,"Job Spec: Digital Product Manager

The ideal candidate is a natural problem solver. We are looking for someone with innate curiosity, a commercial mindset, and a passion for understanding client needs. In this role you will collaborate closely with key stakeholders across our clients, partners, Product, Engineering, Service, and Design teams to develop, prioritize, and build compelling solutions for our clients.
As an empowered member of the UX product team, you will apply a customer centric approach to deliver business outcomes and value creation across our program objectives.

HOW YOU WILL FULFILL YOUR POTENTIAL
• Define feature development, build consensus among stakeholders, and partner with engineers, designers and cross-functional teams to deliver high-quality experiences
• Prioritize the product backlog, using domain expertise, customer insights, and market research to make informed trade-offs between new feature development, platform investment, and optimizations
• Write user stories and acceptance criteria and refine stories with subject matter experts, engineers, and designers

• Be the go-to person for questions about the product and the intent of requirements
• Develop a collaborative relationship with the Engineering team and ensure they are involved throughout the product development process
• Identify and escalate risk and dependencies across the program
• Work with Product Line Owners to define and measure OKRs


SKILLS & EXPERIENCE WE’RE LOOKING FOR
• Ability to understand and communicate complex ideas to non-technical stakeholders
• Experience collaborating with design and engineering peers in a product development capacity
• Ability to understand and articulate customer needs and turn requirements into actionable solutions
• Knowledge of functional areas such as product management, engineering, user experience, user research, sales, trading, treasury, customer support, and/or marketing
• Proven ability to influence cross-functional teams without direct authority
• You are a thoughtful partner to our internal and external users – understanding their business and influencing their processes
• Results-oriented; ability to handle multiple, time-sensitive projects and prioritize accordingly, while focusing on the quality of work delivered
• Detail-oriented problem-solver who can employ leadership, critical thinking, and time management skills
• Openness to feedback and strong self-awareness
• Bachelor’s Degree (BA/BS)
• Demonstrated success defining and contributing to the launch of digital products is preferred"
