Position,Company_Name,Location,Post_Month,Post_Year,Details
Program Manager,Program Manager,Field Nation,May,2024,"Who We Are

Field Nation brings companies and service professionals together through an integrated, easy-to-use platform. We support businesses looking to grow their service offerings while also empowering technicians to leverage their skills on their own terms. Our mission is to help the service delivery industry do great work, and we live that mission by doing great work for the companies and service professionals that depend on us.

Why is this role important to Field Nation?

The Program Manager will be responsible for designing and executing customer implementation programs and projects, including evaluating and managing cross-functional activities to drive new customer acquisition and retention. Key to this role is being able to articulate value, inspire and sell Field Nation best-practices, and successfully guide internal and external constituents through defined processes. Goals include aligning key stakeholders and strategically driving program goals resulting in predictable program adoption metrics. Responsibilities include cultivating engagement, creating program timelines and communications, serve as a liaison between internal and external stakeholders, and the development and management of campaign execution. The Program Manager must have customer and project management experience gained in a fast moving, client-driven organization. This position will also offer the chance to work in a fast-paced, high growth environment where innovative ideas are encouraged and collaboration is a must. This position is located in Minneapolis, MN and reports to the Sr. Director of Customer Experience.

What You'll Get To Do

Responsible for clients path to value, functioning in an agile environment, iterating real time when meeting success criteria becomes at risk
Successfully informs and influences sponsors and key stakeholders, senior, and executive leadership to promote success of program and/or project performance and prioritization, frequently through times of ambiguity and significant, long-term obstacle management
Seeks counsel of peers, stakeholders, and/or product leads in times of strategically complex or critical ambiguity and adapts planning, communications, and engagements
Develop an effective client engagement strategy designed for executive-level decision-makers within enterprise businesses
Act as an intermediary between several internal departments including Customer Success, Sales, Product Management, Marketing, and Finance
Serve as an escalated point of contact during onboarding
Make effective decisions when presented with multiple options for how to progress with the project
Effectively communicate program recommendations at an executive level both internally and externally
Produce accurate and timely reporting of program status throughout its life cycle
Contribute thought leadership and best practices around program execution, methodology and process
Measure, analyze and report key trends in program performance and drive opportunities to improve
Collaborate with Customer Success, Sales, Product Management and Marketing to improve program processes and performance
Segment lists and define detailed analysis and reports on list attrition, retention, acquisition, and prospect lists for onboarding campaigns
Design and deploy analysis tools, project management frameworks, and client engagement practices designed for large enterprises to further cement Field Nation’s ability to guide customers through extensive labor sourcing changes
Travel up to 10% of the time

You Might Be a Good Fit If You Have

4 + years Project Management, Program Management, relationship management, sales consultant or related experience
Excellent communication skills (verbal and written) with a consultative style
Strong cross-functional leadership skills
Ability to clearly present material and recommendations at an executive level
A highly motivated team player with a proactive approach to work
Strategic appreciation of the role, the company and the market
A finisher/completer with high level of personal ownership of team performance
Self-driven, results oriented with a positive outlook, and a clear focus of high quality and business profit
Able to work well with colleagues within different areas of expertise
Must be comfortable operating in a fast-paced, highly dynamic environment and exhibit grace under pressure

Why We Think You'll Love It Here

Unlimited paid time off
Annual vacation bonus - yes, we’ll pay you a bonus to take paid time off!
Individualized growth + development plans
Strong values around work/life balance
Community involvement opportunities
Competitive benefits: medical, dental, vision, paid parental leave + 401K
Exposure to cutting-edge technologies to solve meaningful problems

$95,000 - $115,000 a year

At Field Nation, we share the value of transparency and enable this during our recruiting process. We believe it’s important to share the compensation range to best understand the full opportunity of a role! We select our initial range based on reliable compensation survey data. Other factors we consider in setting the specific pay for an individual will generally include, among other things, experience, specialized skills, work location, and internal equity to provide competitive offers. Additionally, every role is eligible for variable pay dependent on the position. As an agile and growing organization, the business needs may change. This may result in us hiring someone with less or more experience than the job description states. If that does happen, we will communicate the updated salary range and the new role to you as a candidate. The range stated below is a starting point of the compensation conversation, we’d like to hear what your compensation expectations are too!

Base Salary Range | Minnesota or other Zone 3 | $95,000 - $115,000

On-Target Earnings Range Begin At | Minnesota or other Zone 3 (similar metros in the US) | $115,000 - $135,000

Customer-facing compensation includes base salary and variable compensation, together this equates to on-target earnings.

Come As You Are

At Field Nation, we believe work is about more than checking the right boxes. If you don’t meet 100% of the requirements for this role, but still feel you’d be a good fit, we want to hear from you! We review all applications and may even have another open position where you are the perfect fit.

Field Nation offers a flexible, highly collaborative, hybrid work environment. We are looking for people to join our high performance culture in the states of Minnesota, Wisconsin, Texas, Georgia, Nebraska, North Carolina, Ohio, Arizona, Washington, Oregon, Michigan, Illinois, Florida, Colorado, Virginia + Kansas"
"Program Manager, Enablement","Program Manager, Enablement",Zillow,May,2024,"About The Team

The CC Ops Enablement team supports the Zillow mission to help our customers unlock life’s next chapter through training & coaching programs dedicated to up leveling our frontline and leadership teams. In this way, we are central to the customer experience, helping to drive excellence by making it easier to be an employee and ultimately easier to deliver a 5-star experience every time, to every customer.

About The Role

As Program Manager, Enablement, you will build, facilitate and manage rollout strategies and training to support frontline teams’ performance while acting as a key partner with LOB leadership, ensuring the use of the right tools and deploying learning sessions to frontline individual contributors as needed. This role collaborates with leadership teams, Talent Management and cross-functional partners like Frontline Marketing and Content Strategy to develop resources and facilitate training. You will work on quarterly priorities, develop training plans and maintain training calendars. Key responsibilities include prioritizing training classes, documenting and maintaining training materials.

Core Responsibilities Include:

Partner with Talent to ensure a cohesive and meaningful connection between learning programs and CC Ops frontline training.
Partner with the Sales Enablement Manager to thread frontline learner opportunities with frontline leader training and mentor opportunities.
Develop training content and sustainment plans in response to business intake needs and work with leaders to schedule and deliver training optimally with impact.
Work with internal partners to build training timelines for weekly, monthly and quarterly initiatives. Facilitate and lead launch training for frontline team members.
Develop, craft and facilitate internal training that is owned by the line of business.
Communicate process changes and updates clearly. Propose outstanding solutions to content needs and adjustments.
Maintain training documentation, resources and all relevant records as part of an overall program management strategy. Publish resource assets (articles, one-pagers).

This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice, which must be identified to the Company. U.S. employees may live in any of the 50 United States, with limited exceptions.

In California, Colorado, Connecticut, Hawaii, Nevada, New York and Washington the standard base pay range for this role is $72,400.00 - $115,600.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Hawaii, Nevada, New York and Washington and may not be applicable to other locations.

In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.

Who you are

2+ years of enablement, training or L&D experience working with contact center teams.
Experienced in crafting, presenting and facilitating training content for enablement purposes.
Proficient in Microsoft Office and Google Suite (GDrive, GDocs, GSheets) tools and experience with internal program and content management platforms (Smartsheet, Highspot) preferred.
A quick learner comfortable in evolving environments and a highly organized self-starter able to initiate detailed projects independently and balance multiple projects efficiently.
Excellent communicator influencing timelines optimally, influential in working with partners and cross-functional teams and innovative problem solver with experience writing content assets.
An outside the box thinker with proficiencies in delivering materials that suit all learning styles (visual, auditory, read/write, and kinesthetic).

Get to know us

Zillow is reimagining real estate to make home a reality for more and more people.

As the most-visited real estate website in the United States, Zillow® and its affiliates help movers find and win their home through digital solutions, first class partners, and easier buying, selling, financing and renting experiences. Millions of people visit Zillow Group sites every month to start their home search, and now they can rely on Zillow to help make it easier to move. The work we do helps people get home and no matter what job you're in, you will play a critical role in making home a reality for more and more people.

Our efforts to streamline the real estate transaction are supported by a deep-rooted culture of innovation, our passion to redefine the employee experience, a fundamental commitment to Equity and Belonging, and world-class benefits. These benefits include comprehensive medical, dental, vision, life, and disability coverages as well as parental leave, family benefits, retirement contributions, and paid time off. We’re also setting the standard for work experiences of the future, where our employees are supported in doing their best work and living a flexible, well-balanced life. But don’t just take our word for it. Read recent reviews on Glassdoor and recent recognition from multiple organizations, including: the 100 Best Companies to Work For, Glassdoor Employees’ Choice Award, Bloomberg Gender-Equality Index, Human Rights Campaign (HRC) Corporate Equity Index, and TIME 100 Most Influential Companies list.

Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please contact us at RecruitingAccessibility@zillowgroup.com.

Applicants who receive job offers from Zillow Group will be asked to sign a Proprietary Rights Agreement which includes confidentiality, intellectual property assignment, customer and employee non-solicitation, and non-competition provisions. If you are contacted for a role at Zillow Group and wish to review a copy of the Proprietary Rights Agreement prior to receiving an offer, you may request a copy from your Recruiter."
Remote Project/Program Manager II,Remote Project/Program Manager II,IntePros,May,2024,"Compensation Range:

$45.00 - $53.00

Welcome to IntePros, a certified woman-owned company specializing in innovative and results-oriented recruiting and staffing solutions. We take immense pride in genuinely understanding what drives and inspires exceptional individuals like you. Your success is our priority, and we are dedicated to actively shaping your long-term career journey. At IntePros, we believe in comprehensive well-being. You have access to our medical, dental, vision, and mental health programs, ensuring your health and wellness are taken care of. To support your continuous growth, we also provide a $1,500 per year education and professional certification fund. Diversity and inclusion are cornerstones of our company ethos. IntePros is proud to be an equal opportunity employer. We do not discriminate in employment on the basis of race, color, religion, sex, pregnancy, gender identity, national origin, sexual orientation, disability, age, veteran or military status, retaliation, or any other characteristic protected by law. We celebrate the rich tapestry of backgrounds and perspectives that make us stronger as a team. Please note that only qualified individuals being considered will be contacted. We appreciate your interest and look forward to potentially embarking on a transformative journey together.

Project/Program Manager II

IntePros is looking for a Project/Program Manager II to work 100% remote for our client located in California. This is an exciting role that will be part of the development team consisting of BI Engineers, Software Developers, and Data Engineers working on end-to-end reporting application projects.

Responsibilities:

Manage new and existing programs, successfully delivering difficult projects and goals across multiple organizations.
Partner with other program managers to secure resources, scope efforts, set project priorities and milestones and drive delivery.
Owns program communication, accelerating progress by driving crisp and timely decisions, clearing blockers (e.g., path to green), escalating as appropriate
Influence design and development of strategic processes.
Work with program managers and business leaders to communicate and impact critical business initiatives.


What are the top three MUST HAVE skill sets (technical) required?

Bachelor's degree.
Experience with heavy travel.
Exceptional organizational skills.


What are the top three PREFERRED skill sets (technical)?

3+ years of driving end to end delivery, and communicating results to senior leadership experience.
3+ years of driving process improvements experience.
Experience in stakeholder management, dealing with multiple stakeholders at varied levels of the organization.
Experience building processes, project management, and schedules."
Insights Program Manager – Global Scale,Insights Program Manager – Global Scale,LinkedIn,May,2024,"Company Description

LinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed.

Join us to transform the way the world works.

Job Description

This role will be based in New York City, San Francisco, Sunnyvale, or Chicago.

At LinkedIn, we trust each other to do our best work where it works best for us and our teams. This role offers a hybrid work option, meaning you can both work from home and commute to a LinkedIn office, depending on what’s best for you and when it is important for your team to be together.

As an Insights Program Manager supporting the Marketing Solutions business, you will leverage one of the richest proprietary datasets in the world. You will work with a high-caliber, passionate team who believes that data can transform how a company does business. You will lead high-impact programs and scale analytics tools that create value for our customers, our sales teams, and our business.

Your work will help supercharge our go-to-market efforts by infusing data into how we sell and the stories we tell.  In this role, you will develop scaled customer insights solutions, used by thousands of sales professionals every day, by capturing complex business requirements, owning end-to-end technical development and driving field-wide deployment.  This includes prototyping, developing, and validating internal and customer-facing solutions to build quality insights products.

To be successful in this role, you will be a proactive, analytical product manager, using LinkedIn’s unique data and disciplined project management techniques to design and execute programs and tools focused on accelerating LinkedIn’s growth. Diverse internal partners you’ll collaborate with include—but are not limited to—Insights, Sales, Sales Readiness, Product Marketing, Engineering, Data Science, and Product.  You’ll embrace continuous learning and diverse feedback to ensure that your tools and programs are evolving and improving to meet the needs of our customers.  You like to dream big, work collaboratively to get stuff done, and know how to have fun along the way.

Responsibilities:

Partner cross-functionally to design, plan and execute strategy
Create requirements and project plans for analytic programs and tools and re-prioritize based on impact and level of effort to complete
Build a communications plan that ensures effective delivery and awareness of new Insights product or feature launches and incorporates feedback from key stakeholders
Establish a high bar for compelling scale business cases
Identify scaled solutions for the most important customer challenges by leveraging LinkedIn’s unique data and act as an advisor to manage stakeholder expectations
Leverage SQL/Hive/Presto/Python to extract necessary data
Analyze results to generate business insights


Qualifications

Basic Qualifications

BA/BS in math, marketing, statistics, economics or related quantitative field
3+ years of experience in project/program management or consulting role working cross-functionally
3+ years of experience with data analysis, data storytelling, and data visualization tools (e.g., Tableau, Power BI, etc.) to turn data into insights and present to internal and/or external stakeholders
2+ years working with SQL to query large datasets (e.g., Pig, Hive, Presto, Python, Spark SQL, etc.)


Preferred Qualifications

Experience in digital marketing analytics
Business acumen and creative problem-solving skills
Experience managing complex, multi-workstream programs
Experience working with both technical and non-technical stakeholders like sales to capture complex business requirements, solution, and drive full scale deployment (launch, adoption, impact assessment)
Excellent interpersonal, communication, writing, presentation, statistical and data analysis skills
Experience turning data into insights and presenting to internal (technical and non-technical) stakeholders and external stakeholders
Modeling skills like R, Python
Expert knowledge of MS Office (Outlook, Word, PowerPoint and Excel)


Suggested Skills:

Stakeholder management
Data visualization
Data storytelling
Consulting


LinkedIn is committed to fair and equitable compensation practices.

The pay range for this role is $98,000 to $153,000 Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, certifications, and specific work location. This may be different in other locations due to differences in the cost of labor.

The total compensation package for this position may also include annual performance bonus, stock, benefits and/or other applicable incentive compensation plans. For more information, visit https://careers.linkedin.com/benefits.

Additional Information

Equal Opportunity Statement

LinkedIn is committed to diversity in its workforce and is proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class. LinkedIn is an Affirmative Action and Equal Opportunity Employer as described in our equal opportunity statement here: EEO Statement_2020 - Signed.pdf.

Please reference the following information for more information: https://legal.linkedin.com/content/dam/legal/LinkedIn_EEO_Statement_2020.pdf.

Please reference the following information for more information: https://www.eeoc.gov/sites/default/files/2023-06/22-088_EEOC_KnowYourRights6.12ScreenRdr.pdf and

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information.

LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.

If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.

Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:

Documents in alternate formats or read aloud to you
Having interviews in an accessible location
Being accompanied by a service dog
Having a sign language interpreter present for the interview


A request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.

LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.

San Francisco Fair Chance Ordinance

Pursuant to the San Francisco Fair Chance Ordinance, LinkedIn will consider for employment qualified applicants with arrest and conviction records.

Pay Transparency Policy Statement

As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.

Global Data Privacy Notice for Job Candidates

Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal.


Equal Opportunity Statement
LinkedIn is committed to diversity in its workforce and is proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class. LinkedIn is an Affirmative Action and Equal Opportunity Employer as described in our equal opportunity statement here: https://lnkd.in/equalemploymentopportunity2017. Please reference http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf and https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information.

LinkedIn is an equal employment opportunity employer offering opportunities to all job seekers, including individuals with disabilities. If you believe you need a reasonable accommodation in order to search for a job opening or to apply for a position, please contact us by sending an email to accommodations@linkedin.com. This email box is designed to assist disabled job seekers who seek a reasonable accommodation to the application process. Emails sent for non-disability related issues, such as following up on an application, will not receive a response.

In your email, please include the following: (1) confirm you have a disability; (2) identify the disability-related limitation that needs to be accommodated, and (3) if known, describe the specific accommodation requested for the disability-related limitation. A response to your request may take up to three business days.

LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.

Pay Transparency Policy Statement
As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.

Global Data Privacy Notice for Job Candidates
This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice"
Program Manager,Program Manager,Compass,May,2024,"At Compass, our mission is to help everyone find their place in the world. Founded in 2012, we’re revolutionizing the real estate industry with our end-to-end platform that empowers residential real estate agents to deliver exceptional service to seller and buyer clients.

You will help Compass become the leading source of New York City (NYC) real estate information by using a metrics-driven, continuous improvement approach to preempting and resolving the root causes of NYC data quality issues. You will provide operational oversight as the single point of ownership for identifying product and process improvements to help scale our NYC business. You will work cross-functionally with product managers, engineers, data analysts, operational/support teams, and key business stakeholders to grow and maintain the Compass Search and Listings platform, to the benefit of the key NYC market.

As a vital member of the Data Operations team, you will play a critical role in ensuring the highest level of NYC search and listings data quality, to effectively power all of our products and proprietary agent tools serving customers in the region.

Responsibilities

Guide Compass to become the leading source of real estate information in NYC by identifying and helping develop solutions for listing and building data quality challenges
Define, monitor, and improve key data quality and health metrics to evaluate the effectiveness of product and operational efforts to create value for agents and clients
Collaborate with agents, sales managers, regional leads, and other stakeholders to identify, define, and prioritize the problems they face
Assist with the identification of product and process improvements to reduce the volume of data quality issues affecting our NYC customers
Establish and execute on a roadmap of product and operational improvements that deliver systemic solutions to customer problems
Serve as the primary point of contact for NYC customer escalations
Oversee and iteratively improve existing processes to maintain sales and rental listing data coverage and quality, including contract and sold data verification, ACRIS updates, and third-party data comparisons
Receive, review, and action inbound requests from external partners, including REBNY, OLR, and others
Coordinate across teams to ensure issues are resolved in a timely manner and that NYC customers and other key stakeholders are aware of the resolution status and timing
Prepare and present periodic progress updates to regional leadership and agents

What We Look For

3-5 years experience in program management, customer-facing data and/or software support roles, or equivalent, ideally within the context of NYC residential real estate
Experience leading continuous improvement initiatives related to data quality, product support, or similar processes to the benefit of end customers
Experience resolving customer-facing issues in partnership with product managers and/or engineers, leveraging software-based ticketing systems such as Zendesk, Jira, or similar
Familiarity with and a track record of success in resolving customer experience challenges stemming from issues relating to large-scale data pipelines, ETL applications, REST APIs, and web/mobile products
Experience analyzing structured and unstructured datasets using advanced spreadsheet formulas and techniques
Excellent problem solving, communication, and collaboration skills
Fast learning self-starters, who are technically skilled, open-minded, and willing to adapt to changing situations
Bachelor’s degree in Information Technology, Operations Management, Communications, or equivalent

Compensation: The base pay range for this position is $64,300-$96,400 annually; however, base pay offered may vary depending on job-related knowledge, skills, and experience. Bonuses and restricted stock units may be provided as part of the compensation package, in addition to a full range of benefits. Base pay is based on market location. Minimum wage for the position will always be met.

Perks That You Need To Know About

Participation in our incentive programs (which may include where eligible cash, equity, or commissions). Plus paid vacation, holidays, sick time, parental leave, marriage leave, and recharge leave; medical, tele-health, dental and vision benefits; 401(k) plan; flexible spending accounts (FSAs); commuter program; life and disability insurance; Maven (a support system for new parents); Carrot (fertility benefits); UrbanSitter (caregiver referral network); Employee Assistance Program; and pet insurance.

Do your best work, be your authentic self.

At Compass, we believe that everyone deserves to find their place in the world — a place where they feel like they belong, where they can be their authentic selves, where they can thrive. Our collaborative, energetic culture is grounded in our Compass Entrepreneurship Principles and our commitment to diversity, equity, inclusion, growth and mobility. As an equal opportunity employer, we offer competitive compensation packages, robust benefits and professional growth opportunities aimed at helping to improve our employees' lives and careers.

Notice for California Applicants"
"Principal Program Manager, PMO","Principal Program Manager, PMO",Palo Alto Networks,May,2024,"Our Mission
At Palo Alto Networks® everything starts and ends with our mission:
Being the cybersecurity partner of choice, protecting our digital way of life.
Our vision is a world where each day is safer and more secure than the one before. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are.
Our Approach to Work
We lead with flexibility and choice in all of our people programs. We have disrupted the traditional view that all employees have the same needs and wants. We offer personalization and offer our employees the opportunity to choose what works best for them as often as possible - from your wellbeing support to your growth and development, and beyond!
At Palo Alto Networks, we believe in the power of collaboration and value in-person interactions. This is why our employees generally work from the office three days per week, leaving two days for choice and flexibility to work where you feel most effective. This setup fosters casual conversations, problem-solving, and trusted relationships. While details may evolve, our goal is to create an environment where innovation thrives, with office-based teams coming together three days a week to collaborate and thrive, together!

Job Description

Your Career
We are looking for an experienced program and delivery manager to join the Palo Alto Network’s Enterprise PMO team. The ideal candidate will have a background in planning and delivering business and technology transformation projects, is well-versed in software delivery methodologies, and is experienced in implementing these methodologies across a fast-paced, dynamic organization. You will act as a strategic business partner to our cross-functional business partners, driving and managing program/project health, making data-driven decisions on project scope and schedule, and managing executive communications to ensure that we’re delivering on our company’s most strategic initiatives.
Your Impact
Lead large transformational initiatives, identifying cross-functional dependencies, anticipating and mitigating risks, and managing business and IT stakeholder expectations and priorities
Effectively work with business stakeholders, product managers, product owners, and scrum masters to align business strategy and program execution, ensuring outcomes and values are aligned with company goals
Drive transformation roadmaps and collaborate with stakeholders to help scale business capabilities with the growth of the organization and company
Demonstrate excellent communication skills, with the ability to communicate effectively with multiple levels including executive leadership team, managers, and peers
Partner with product teams to facilitate initiatives for new product launches, feedback and escalation management
Develop and deliver presentations and reports on progress of transformational initiatives to our operational leaders and executive team
Contribute to development and rollout of project delivery and portfolio management standards across the organization
Demonstrate curiosity to learn and optimize existing business processes, and assist in development of business cases/value analyses in collaboration with business stakeholders

Qualifications

Your Experience
Minimum 8+ years of program management experience in a fast moving, agile environment in a high growth company
MBA graduate from a top-tier business schoolwith Big 4 Consulting (PWC, Deloitte, Accenture etc.) and experience working for a large, enterprise Tech company or equivalent military experience requried
Functional experience in go-to-marketing programs, customer experience, finance operations, or some other core business capability
Experience driving quarterly portfolio planning workshops using proven frameworks to optimize ROI and measurable business value
Excellent communication skills, problem solving, conflict resolution management, active listening, time management and interpersonal skills
Demonstrated consistent ability to lead cross-functional teams and deliver technical solutions while mitigating or removing obstacles
Possess strong written and verbal communication skills
Able to thrive in a fast-paced environment with a strong foundational understanding of enterprise applications, infrastructure, information security, and operations
Hands-on expertise working with Agile/Scrum methodologies including agile tools (Jira, Confluence, smart sheet)
A self-starter that uses great judgment to keep programs and projects moving forward and completed on target
Proven track record of achieving results through collaboration and teamwork
Incredible attention to detail and a drive that motivates others on the team
Highly collaborative team player that is comfortable providing and receiving open, real-time feedback to continuously up-level team performance
Local SF Bay Area Candidates who can be onsite 3 days/ week

Additional Information

The Team
You will be part of a growing, passionate, and dynamic team with an opportunity to work on challenging and exciting projects — centered on what we believe is one of the most significant mission statements in the world. We also strive to be the most people-centric company ever! That means we’re constantly working to make your experience amazing, and you are part of the team breaking boundaries of what the workplace can be!
Our Commitment
We’re trailblazers that dream big, take risks, and challenge cybersecurity’s status quo. It’s simple: we can’t accomplish our mission without diverse teams innovating, together.
We are committed to providing reasonable accommodations for all qualified individuals with a disability. If you require assistance or accommodation due to a disability or special need, please contact us ataccommodations@paloaltonetworks.com.
Palo Alto Networks is an equal opportunity employer. We celebrate diversity in our workplace, and all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or other legally protected characteristics.
All your information will be kept confidential according to EEO guidelines.
The compensation offered for this position will depend on qualifications, experience, and work location. For candidates who receive an offer at the posted level, the starting base salary (for non-sales roles) or base salary + commission target (for sales/commissioned roles) is expected to be between $152,000/yr to $246,400/yr. The offered compensation may also include restricted stock units and a bonus. A description of our employee benefits may be foundhere.
Is role eligible for Immigration Sponsorship?: Yes"
Program Manager - Artificial Intelligence(AI)- VP,Program Manager - Artificial Intelligence(AI)- VP,Morgan Stanley,May,2024,"Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 1,200 offices in 43 countries.

As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence, and strong team ethic. Morgan Stanley can provide a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture.

About Firm Wide AI

The Firmwide Generative AI Team at Morgan Stanley is a dynamic and innovative department that serves as a center of AI enablement for the firm. The team is responsible for deploying advanced systems that utilize generative artificial intelligence to optimize business processes. The team oversees governance and control measures to ensure the ethical and responsible use of AI technologies. The team is committed to fostering a culture of continuous learning and provide education on AI technologies to other departments within the company.

Position Overview

Seeking a highly skilled and motivated Program Manager to join our Firmwide GenAI team. The Program Manager will play a crucial role in supporting the deployment of GenAI solution, ensuring successful project execution, and driving continuous improvement initiatives.

Key Responsibilities

Project Planning and Execution: Develop and maintain comprehensive project plan for GenAI initiative, including timelines, milestones, and resources. Coordinate project activities and ensure alignment with organizational goals and objectives.

Stakeholder Management: Establish and maintain effective communication channels with internal stakeholders.

Risk Management: Identify potential risk and issues that may impact project delivery and develop mitigation strategies to address them proactively. Monitor project performance and implement corrective actions as necessary to ensure successful outcomes.

Cross-Functional Collaboration: Collaborate with cross-functional teams across the organization to drive alignment and synergy on GenAI projects.

Performance Monitoring and Reporting: Track project performance metrics and KPIs to measure progress against objective and identify areas for improvement.

Continuous Improvement: Lead continuous improvement initiatives to optimize processes, increase efficiency, and enhance overall effectiveness of GenAI programs.

Proven experience in program or project management
Strong understanding of artificial intelligence concepts and technologies.
Excellent communication, interpersonal and leadership skills.
Ability to manage multiple projects simultaneously in a fast-paced environment.
Solid analytical and problem-solving abilities with a keen attention to detail
Experience with agile development methodologies and tools (Scrum, JIRA, etc.)
Familiarity with internal systems and processes (SecArch, TAI, SPAR, iSheild)

Expected base pay rates for the role will be between $110,000 and $190,000 per year at the commencement of employment. However, base pay if hired will be determined on an individualized basis and is only part of the total compensation package, which, depending on the position, may also include commission earnings, incentive compensation, discretionary bonuses, other short and long-term incentive packages, and other Morgan Stanley sponsored benefit programs.

Morgan Stanley's goal is to build and maintain a workforce that is diverse in experience and background but uniform in reflecting our standards of integrity and excellence. Consequently, our recruiting efforts reflect our desire to attract and retain the best and brightest from all talent pools. We want to be the first choice for prospective employees.

It is the policy of the Firm to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, religion, creed, age, sex, sex stereotype, gender, gender identity or expression, transgender, sexual orientation, national origin, citizenship, disability, marital and civil partnership/union status, pregnancy, veteran or military service status, genetic information, or any other characteristic protected by law.

Morgan Stanley is an equal opportunity employer committed to diversifying its workforce (M/F/Disability/Vet).

Posting Date

May 21, 2024

Primary Location

Americas-United States of America-New York-New York

Job

Administration

Employment Type

Full Time

Job Level

Vice President"
