Position,Company_Name,Location,Post_Month,Post_Year,Details
Project Analyst,Project Analyst,IntePros,May,2024,"IntePros Is seeking a Project Analyst for one of the largest and fastest growing companies in the world. You will be a part of a growing entertainment research team. Qualified Candidates must be able to work a hybrid schedule in midtown Manhattan.

• Must have an analytical mindset and the desire to ask questions and ability to change processes when needed
• Strong excel background. Must be able to look at data from different spreadsheets and combine them
• Must be customer focused
• Designs research approach and strategy, define milestones, timelines, and KPI
• Documents end-to-end workflow, RACI, SOP, and SLA as required
• Desire to work with data from countries across the globe and look at the market outside of the US
• Take ownership for end-to-end project execution from scoping and intake to data and delivery
• Dives deep and analyzes data from various sources and iterate the mechanisms as needed
• Identifies opportunities to make the workflow more efficient and recommends strategy for streamlining
• Independently or under manager’s supervision make high judgement calls on ambiguous issues
• Partner with colleagues, manage stakeholder expectations, and collaborate with cross-team and external partners"
Project Analyst,Project Analyst,Masonite®,May,2024,"We heard you knock!

Overview

Endura Products (Endura) is a leading designer and manufacturer of components for entry door systems that enhance performance, save time, eliminate service calls and cut costs and deliver a smarter door experience. Built on innovation, we deliver the highest levels of component performance as our standard. We pride ourselves on offering solutions that lead the industry in performance and quality and are always working to make doors work not just better, but smarter. Endura has plant locations in North Carolina, Texas and Oregon, with division headquarters in Colfax, North Carolina. In January 2023, Endura became part of Masonite Corporation (NYSE: DOOR), a leading designer, manufacturer, marketer and distributor of interior and exterior doors and door systems.

Job Purpose:

In this highly visible role, you will focus on executing product launches across the organization and ensuring the success of these products on an ongoing basis. You will report to the Director of Product Success and frequently interact with directors and leaders across the organization. You will be involved with managing documentation of our product launch process, communicating timelines and status of these launches, and supporting the growth of these products through targeted analyses of sales patterns.

Main Responsibilities:

Manage the documentation of our product success process, including but not limited to project charters, project timelines, presentations for training and more.
Utilizes data to make recommendations on business decisions related to product life cycles.
Provides data for monthly forecasting cycle from the demand planning perspective, working with the sales teams, supply chain team, IT, finance, and manufacturing.
Collaborates with Product Development and Innovation teams on new product development to ensure the organization can support the launch in a timely manner.
Utilize forecasting tool (Kinaxis) to report on changes to the forecast based on sales trends and external updates.
Participates in the pricing and quoting processes for new product launches and mass pricing updates.
Prepares accurate and clear reports on sales data trends for internal and external audiences.
Facilitates and contributes to meetings centered around scoping out projects and outlining new product requirements.
Supports annual Territory Business planning process, supporting the development of sales forecasts, and contributing to the Sales & Operations Planning process (S&OP).
Supports the development of analytical tools and case studies with a focus on overall continuous improvement.
Interacts directly with customers during pricing and program updates.
Gathers and analyzes data to understand problems and address them proactively.
Ad hoc reporting as needed.

Education & Experience:

Bachelor’s degree preferably in an analytical field (ex: Business, Supply Chain, Accounting, Finance, Economics, Engineering).
0-3 years of working experience, with at least 2 years working closely with Excel
Experience working in a cross-functional team.
Experience with Kinaxis Rapid Response and QAD are a plus.

Skills & Abilities:

Advanced Excel knowledge and highly proficient in PowerPoint
Advanced problem-solving and analysis skills
Able to understand, process and transform large data sets and present the results in a clear, meaningful way.
Self-motivated with the ability to manage multiple projects at once, often with short/competing deadlines.
Capable of delivering accurate data used for multimillion dollar decision making and strategy development.
Able to understand product technical details and utilize this information to segment groups into subcategories.
Analytical, organized, detail oriented and self-disciplined.
Curious and inquisitive
Superior oral and written communication skills
Strong work ethic with grit that takes the initiative and delivers results under pressure.
Collaborative Team Player

We Help People Walk Through Walls

We respect the privacy of candidates for employment. Our Masonite Applicant Privacy Policy sets forth in more detail our privacy practices, including, without limitation, our collection and usage practices, of your personal information when you apply for a position with a Masonite entity."
Business Process & Project Implementation Analyst,Business Process & Project Implementation Analyst,Hartree Partners,May,2024,"Company Overview:
Energy is always evolving. At Hartree Partners, we use our decades of experience in
the physical and financial energy and commodities markets to explore the opportunities this evolution provides. We assist our customers in participating in new markets and navigating their complexities for maximum revenues at minimum risk.

We provide a wide range of services to a substantial and diversified customer base that includes corporations, financial institutions, governments and individuals. Founded in 1997, the firm is headquartered in New York and maintains offices in many financial centers around the world. Hartree Partners LP is owned by the company’s Managing Partners, senior staff, and Oaktree Capital.

Find out more about us by visiting our website at: http://www.hartreepartners.com/

Job Description:
We are seeking a highly analytical and strategic-minded individual to join our team as Business Process & Project Implementation Analyst. In this role, you will be responsible for evaluating Hartree-owned asset organizational structures, processes, and systems. This role involves identifying and analyzing current business processes, designing strategies for process optimization, managing project timelines, and ensuring successful implementation of business solutions for better organizational effectiveness. The ideal candidate will possess a strong understanding of business process management, excellent analytical skills, and the ability to collaborate effectively with cross-functional teams. responsible for leading, planning, and overseeing the execution of projects and initiatives within the organization to improve overall efficiency and effectiveness. Candidate will work closely with their manager and cross-functional teams to drive project completion from conception through to closure.

Job Responsibilities:
Organizational Assessment: Conduct thorough assessments of asset organizational structures, workflows, and systems to identify strengths, weaknesses, and areas for improvement
Process Improvement & Management: Develop, track and implement integration strategy of Hartree-Owned assets to achieve a common process and control structure through the enterprise, ensuring timely delivery and successful implementation
Stakeholder Engagement: Communicate regularly with stakeholders to provide updates on project progress and process changes. Gather and incorporate feedback from stakeholders to improve business processes and project outcomes
Project Management: Lead and manage projects from inception to closure, ensuring they are completed on time, within scope, and budget. Coordinate with cross-functional teams to ensure project tasks are clearly defined and executed effectively. Utilize project management tools and methodologies to monitor project progress, risks, and issues
Continuous Improvement: Monitor the impact of implemented changes on business operations and adjust as needed. Stay updated with the latest trends in business process management and project management methodologies. Conduct post-project evaluations to identify lessons learned and opportunities for further improvement
Strategic Planning: Collaborate with senior leadership to develop strategic plans and initiatives aimed at improving organizational performance and driving business growth
Cross-Functional Collaboration: Work closely with stakeholders across various departments to gather insights, solicit feedback, and ensure alignment with organizational goals and objectives

Job Requirements:
Bachelors degree in Finance, Business Administration, Business Management or related field; Master's degree preferred
Proven experience in business process development/management and project management, project implementation
Strong analytical skills and problem-solving skills
Excellent communication and interpersonal skills, with the ability to effectively engage and influence stakeholders at all levels of the organization
Knowledge of process improvement methodologies such as Six Sigma or Lean
Proficiency in project management methodologies and tools
Demonstrated ability to work independently and collaboratively in a fast-paced, dynamic environment
Ability to manage multiple projects simultaneously and under tight deadlines
Knowledge of relevant industry best practices and emerging trends in project development and change management
Experience in commodity trading, energy or related assets preferred
Project Management certification preferred

*The salary range for this position is $110,000 - $125,000. Employees may be eligible for a discretionary bonus in addition to base pay. This range is an estimate, based on potential employee qualifications, work location, operational needs and other considerations permitted by law"
Business Analyst – Project Portfolio Office - Hedge Fund - New York,Business Analyst – Project Portfolio Office - Hedge Fund - New York,Mondrian Alpha,May,2024,"Our esteemed client, a leading Global Systematic Fund, is seeking a proficient Business Analyst to join their Business Innovation Team. Renowned for their innovative strategies and commitment to excellence, our client offers an exceptional opportunity for individuals passionate about finance and technology. In this role, you will play a pivotal part in onboarding new systematic and discretionary macro trading teams, as well as deploying new trading strategies. Our client is eager to speak to Hedge Fund client risk oversight and monitoring.

Responsibilities:

Oversee the complete project lifecycle of launching new PM Teams into production.
Design research and trading solutions in adherence to firm standards.
Guide PM teams on the integration of their operating procedures and technology.
Lead new strategy rollout projects internally with various departments and externally with brokers, exchanges, and vendors.
Offer day-to-day support for operational procedures such as broker data management, compliance monitoring, trading, and business continuity.
Strategic Client Lifecycle Programme, focusing on oversight and monitoring of client risk metrics.
Work on merging KPIs from the Settlement Fails, Margin Disputes, Credit Risk, Financial Resource Usage, and Revenues spaces to obtain a clear single view of clients within the bank, and presenting this information in PowerBI dashboards.
Utilizes various methods of data analysis, such as time-series analysis for identification of KPIs within each space, and cross-sectional analysis for comparison between spaces when a client shows signs of high risk.
Essential involvement in project planning and documentation, including the creation and maintenance of Gantt charts, milestones, business requirement documentations, and technical documents.

Qualifications:
Preferably hold a Bachelor's degree in finance, statistics, math, engineering, or computer science. Relevant work experience of at least 2 years is advantageous.
Possess a strong technical background with proficiency in Linux/Unix scripting (Perl, bash, etc.), Python, and either C++, C#, or Java programming.
Experience with SQL and database design is desirable.
Excellent communication skills with the ability to convey technical concepts clearly and concisely.
Ability to independently manage multiple long-term and short-term projects under tight deadlines.
Familiarity with global market structure, electronic trading systems, and trading rules and regulations is preferred.
Experience with digital currency exchanges, liquidity providers, derivative financial products, and business operations is a plus.
Requires clear communication between project sponsors, stakeholders, technology teams, and the project team to bring together many areas of the bank and set expectations.

If you are a dedicated professional with a passion for finance and technology, our client, a leading Global Systematic Hedge Fund, offers an outstanding opportunity to be part of a dynamic team shaping the future of investment management.

To apply, either follow the instructions below or send your credentials directly to me@mondrian-alpha.com."
Project Analyst,Project Analyst,American Express,May,2024,"You Lead the Way. We’ve Got Your Back.

With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.

At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.

Join Team Amex and let's lead the way together.

Global Card Issuance (GCI) has the mandate of defining and carrying out the strategy for American Express proprietary physical cards and payment devices across the globe through our portfolio of card manufacturing, card personalization, card delivery and other service partners.

As part of the Strategy, Inventory & Transformation team:

You are responsible for planning and advancing the Card Issuance strategy, and its execution through data/research analysis and development of new projects.
You will focus on collecting information and analyzing data to identify trends, patterns, and opportunities to optimize our card issuance supply chain and implement solutions to transform and improve our processes.
Your objective will be to create and adapt a sustainable long-term strategy for our card issuance processes and partners which supports meeting our financial targets and our Blue Box goals, while maintaining healthy supplier relationships and an optimal supply chain environment.

A Day in the Life a Project Analyst:

Meet with internal business partners across the organization, including customer service, product, marketing, compliance, technology, legal counsel, finance, information security, and many others, to gather data and information for the purpose of identifying trends and patterns.
Meet with external business partners like vendors or suppliers to understand the challenges and constraints of our card issuance processes.
Analyze and evaluate the data using supply chain and engineering best practices to identify potential solutions or transformations that may provide financial or operations benefit.
Evaluate the status quo of our card issuance processes and propose a strategic long-term solution that would (1) fix the issue or challenge, (2) provide financial benefit to the organization or (3) improve cardmember experience.
Develop business cases and project plans for leadership to review, using decks or slides to visually lay out a problem, the data, and the identified solution with its long-term benefits.
Lead and execute approved projects by coordinating with internal and external business partners.
Meet with leadership to provide relevant updates and changes to projects, as well as seek support with removing constraints to ensure projects are moving forward.

MINIMUM QUALIFICATIONS:

Strong problem solving and quantitative reasoning using superior analytical skills.
Strong project management experience and skills.
Demonstrated ability to develop and deploy strategies.
Results driven with the ability to effectively manage initiatives to completion.
Adept at developing solutions, recommendations, and proposals.
Strong interpersonal skills with the ability to work independently or in teams.
Ability to communicate effectively in a clear and consistent manner.
Demonstrated ability to build strong relationships and collaborate.
Sense of personal accountability and demonstrated self-starter.

PREFERRED QUALIFICATION:

Experience in card issuance or card manufacturing is a plus.
Bachelor’s or Master’s Degree in Industrial Engineering, Supply Chain Management, & Systems Engineering. Engineering Management or equivalent preferred.

Salary Range: $55,000.00 to $105,000.00 annually + bonus + benefits

The above represents the expected salary range for this job requisition. Ultimately, in determining your pay, we'll consider your location, experience, and other job-related factors.

We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. That means we prioritize their physical, financial, and mental health through each stage of life. Benefits include:

Competitive base salaries
Bonus incentives
6% Company Match on retirement savings plan
Free financial coaching and financial well-being support
Comprehensive medical, dental, vision, life insurance, and disability benefits
Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need
20+ weeks paid parental leave for all parents, regardless of gender, offered for pregnancy, adoption or surrogacy
Free access to global on-site wellness centers staffed with nurses and doctors (depending on location)
Free and confidential counseling support through our Healthy Minds program
Career development and training opportunities

For a full list of Team Amex benefits, visit our Colleague Benefits Site.

American Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, disability status, age, or any other status protected by law.

We back our colleagues with the support they need to thrive, professionally and personally. That's why we have Amex Flex, our enterprise working model that provides greater flexibility to colleagues while ensuring we preserve the important aspects of our unique in-person culture. Depending on role and business needs, colleagues will either work onsite, in a hybrid model (combination of in-office and virtual days) or fully virtually.

US Job Seekers/Employees - Click here to view the “Know Your Rights” poster and the Pay Transparency Policy Statement.

If the links do not work, please copy and paste the following URLs in a new browser window: https://www.dol.gov/agencies/ofccp/posters to access the three posters.

Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for this position."
PROJECT ANALYST,PROJECT ANALYST,"LanceSoft, Inc.",May,2024,"Duration: Up to 12 months ( With Possible Extensions )

Specific Qualifications or Experience Required:  
Diloma or Bachelor’s Degree in healthcare-related discipline
Minimum 2 years recent experience in Healthcare with a focus on IT systems and operational support
Strong knowledge of general workflows in a hospital environment an asset
Demonstrated internal/external stakeholder provider and clinician engagement experience
Excellent written and interpersonal skills essential
Must be able to perform multiple tasks and effectively prioritize work
Proponent shall possess strong problem solving, analytical, organization, and interpersonal skills and an ability to make effective decisions under pressure
Demonstrates strong written and verbal communication, documentation and facilitation skills
Experience using tools like JIRA, Smartsheets and Office365

*//
Diversity, Equality, and Inclusivity - This means a deep commitment to each other equally, in an open, diversified team environment. We strive to be as diverse as the clients and employees we partner with. We embrace people of any race, ethnicity, national origin, religion, gender identity, and sexual orientation. LanceSoft is a certified Minority Business Enterprise (MBE).
//*"
Project Analyst,Project Analyst,Atlantic Group,May,2024,"Job Overview - Project Analyst
Join our client's growing company as a Project Analyst and contribute to the success of their dynamic team. This role offers an exciting opportunity for individuals with accounting or finance experience to make an impact in project analysis, profitability assessment, and cost management within the construction industry.

Compensation: $70,000.00 - $75,000.00 + bonus
Location: Chester County, PA - Hybrid

Responsibilities of the Project Analyst Include:
Project Analysis: Conduct detailed analysis of project financials, including cost tracking, revenue recognition, and project profitability assessment.
Cost Accruals: Assist in the preparation and management of cost accruals to ensure accurate financial reporting and forecasting.
Billing Support: Collaborate with the Project Controller and Project Accountants to support billing processes, ensuring timely and accurate invoicing to clients.
Financial Reporting: Prepare and present financial reports and analysis to internal stakeholders, providing insights into project performance and financial health.
Special Projects: Engage in special projects aimed at optimizing project financial processes, enhancing systems, and improving overall efficiency.
Stakeholder Engagement: Build and maintain relationships with internal teams and external partners, ensuring clear communication and professional representation of the finance department.

Qualifications of the Project Analyst include:
Bachelor's degree in accounting, finance, or a related field.
1+ years of accounting or finance experience, with preference for candidates with exposure to public audit.
Experience in the construction industry is preferred.
Proficiency in Excel and financial software such as Sage Intacct or Procore is ideal.
Strong work ethic, trustworthiness, and excellent interpersonal skills.

Application Notice: Qualified candidates will be contacted within 2 business days of application. If an applicant does not meet the above criteria, Atlantic Group will keep your resume on file for future opportunities and may contact you for further discussion."
Project Analyst,Project Analyst,Royal Caribbean Group,May,2024,"Journey with us! Combine your career goals and sense of adventure by joining our exciting team of employees. Royal Caribbean Group is pleased to offer a competitive compensation and benefits package, and excellent career development opportunities, each offering unique ways to explore the world.

The Royal Caribbean Group’s Global E-Commerce has an exciting career opportunity for a full time Project Analyst reporting to the Project Management Lead.

This position will work on-site in Miami, Florida.

Position Summary

Project Analyst performs the role of Project Coordinator to assist in the planning, facilitation, and communication of deliverables that involves the Analytics Team projects. The candidate must have incredible organizational skills to collaborate effectively with developers, stakeholders, data experts and technical leads across different teams. This role is in person and part of the Global E-commerce Analytics & BI team. As a Project Analyst, you will support the domestic and international teams under the guidance of the Project Management Lead.

Essential Duties And Responsibilities

Manage projects from start to finish by facilitating with the teams scheduling, assignment of tasks, and providing roadmaps to complete the project
The Project Analyst coordinates daily tasks and reviews new jira requests submitted. Then effectively communicates next steps to developers and stakeholders.
Enable close cooperation across all roles and functions
Facilitates sessions across various departments to understand and define projects
Effectively prepare and communicate project status reports regarding project milestones, deliverables, considerations, and risks to key stakeholders
Maintain and archive all project related documentation
Resolves any impediments throughout the project lifecycle
Provide continuous feedback to project members and input during daily stand ups, planning sessions, backlog management, and retrospective ceremonies
Build and maintain relationships with team members, key stakeholders and/or external contacts (vendors, etc.)
Building a trusting and safe work environment where problems can be raised without fear of blame, retribution, or judgement

Qualifications And Education

Advanced organizational, planning and time management skills
Jira or Atlassian experience
Experience in PowerPoint and excel for presentations and roadmaps
Experience working in cross–functional, multi–dimensional teams and projects
Experience in managing multiple teams and their respective priorities
Experience in vendor engagement related to project delivery
Adapt to change and constantly improve
Research, analytical, and problem-solving skills
Excellent in verbal and written communication with all levels within an organization
Understands how to communicate difficult or sensitive information tactfully
Ability to work in a fast-paced environment

Internal/External Relationships

External: Will cultivate partnerships with stakeholders, ensuring effective communication and alignment with project objectives.
Internal: Within the organization they will foster strong ties with cross-functional teams, facilitating seamless coordination and resource allocation to meet project milestones.

While performing job functions the employee is regularly required to sit, stand, write, review and type reports, compile data, operate a pc, communicate, listen, and assess information. The employee may move about the office complex, may travel to other office locations, and may lift, push, pull or move 10 - 15 pounds. Visual requirements include distant, close and color vision, and ability to adjust focus.

We know there's a lot to consider. As you go through the application process, our recruiters will be glad to provide guidance, and more relevant details to answer any additional questions. Thank you again for your interest in Royal Caribbean Group. We'll hope to see you onboard soon!

It is the policy of the Company to ensure equal employment and promotion opportunity to qualified candidates without discrimination or harassment on the basis of race, color, religion, sex, age, national origin, disability, sexual orientation, sexuality, gender identity or expression, marital status, or any other characteristic protected by law. Royal Caribbean Group and each of its subsidiaries prohibit and will not tolerate discrimination or harassment."
Project Analyst,Project Analyst,Aalis Management Consulting,April,2024,"Corporate Profile

Aalis Management Consulting is an 8(a) certified, Service-Disabled Veteran-Owned Small Business (SDVOSB) and Economically Disadvantaged Woman-Owned Small Business (EDWOSB) driven by the same principles that guide our armed forces. Founded by a US Army veteran, we take pride in our core values: excellence in reputation, commitment, candor, teamwork, and dependability. Our team delivers stakeholder-focused support in the areas of Acquisition & Procurement Support, (IT) Financial Management, Program Management, and Logistics & Supply Chain Support. Visit us at www.aalismc.com.

Title: Project Analyst

Client: Federal Agency

Location: U.S.

Ability to Work: Remote

Clearance: Level 5 Public Trust/Moderate Risk

Security Clearance Statement: This position requires a government security clearance, applicant must be a US Citizen for consideration.

Number of Position(s): 3

Work Schedule: 9 am - 5 pm

Work Day: Monday – Friday

Ability to Travel:

Job Description:

The contractor shall be familiar with public health operations, preparedness, and response concepts, and accustomed to the requirements of DSLR staff. Contract-supported activities shall/must be provided as necessary within the following range of activities:

Project Management

i. Provide project leadership support and operational effectiveness.

ii. Conduct division-wide program coordination and communication in support of division change management processes.

iii. Provide project coordination and collaboration with operational timeline support involving input from other CDC Centers Institute and Offices (CIOs).

iv. Coordinate project tracking and status reporting for all branches and outside partners as needed (including guidance document updates and timeline development).

v. Establish and manage a standardized project plan for PHEP Notice of Funding Opportunity (NOFO) process, including implementation and guidance documents.

vi. Establish and manage standardized project plans for other programmatic areas, including technical assistance and various STLT engagement efforts (including communities of practice and training support).

vii. Develop and maintain plans for other division-wide activities, as needed.

Strategic Planning and Organizational Design

i. Facilitate development of division and branch level strategic plans and stakeholder engagement strategies.

ii. Determine impact of strategic plans on current and future DSLR organizational design.

iii. Facilitate planning sessions and draft planning documentation, including reporting benchmarks/metrics.

iv. Support execution of this strategy through monitoring and reporting.

v. Develop strategic/project plan based on the PHEP Lifecycle.

Data Management Strategy and Visualization

i. Assess current data management processes and systems and develop recommendations for improvement.

ii. Assist with development of various reports and products.

Technical Assistance

i. Support development and implementation of overarching technical assistance strategy to include coordination across DSLR work units.

ii. Support various training initiatives (STLT and internally facing), as needed.

iii. Support development and implementation of a Community of Practice strategy and platform.

iv. Identification of next steps to improve gaps and areas of opportunity discovered in assessment through strategy development and planning sessions.

Continued Program Support and Development

i. Support program requests as needed.

ii. Support the PHEP CoAg process for the next Project Period (2024-2029).

iii. Support Notice of Funding Opportunity (NOFO) development, communication, and execution methods.

iv. Issues management.

v. Project planning and documentation.

Required Education, Experience, & Skills:

Bachelor's degree in Business, Management, or a related field. Minimum 2 years preferred in education and experience
Understanding of project management activities, including agile project management, Project Management Body of Knowledge, and continuous quality improvement processes.
Knowledge of current information technology (IT) programs
Understanding of strategic planning and bringing projects to completion.

Aalis Management Consulting is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.

Powered by JazzHR

qG2axubZG9"
Project Analyst I,Project Analyst I,"IDR, Inc.",May,2024,"IDR is seeking a Project Analyst to support the Project Management Office through analytics, data management, reporting, executive communications, and driving operating processes throughout the project development lifecycle. If you are looking to grow your career, please apply today!

Responsibilities For The Project Analyst

Research, collect and evaluate data necessary to meet project reporting and evaluation requirements including scope, schedule, and budget
Assist with the preparation of a variety of reports covering budget status, forecast reports, and other management requirements
Prepare engaging, informative, and well-organized presentations and communications
Facilitate meetings with teams across the IT department, including executive level participants
Perform in-depth analysis of focus areas and provide recommendations to management
Partner with Project Managers and Business Relationship Managers
Work well in a team environment, sharing knowledge and lessons learned

Qualifications For The Project Analyst

2+ years of experience in project support or analytics
Bachelor's Degree in project management or analytics
General understanding of IT systems
Advanced proficiency in MS Excel preferred
Intermediate computer skills and proficiency in MS Word, PowerPoint, and Outlook
Working knowledge of MS Access and SharePoint
Working knowledge of ServiceNow and Tableau
Beginning proficiency in MS Project preferred
Intermediate skills in creating and maintaining process flow documents

What's in it for you?

Competitive compensation package
Full Benefits; Medical, Vision, Dental, and more!
Opportunity to get in with an industry-leading organization
Close-knit and team-oriented culture

Why IDR?

25+ Years of Proven Industry Experience in 4 major markets
Employee Stock Ownership Program
Dedicated Engagement Manager who is committed to you and your success
Medical, Dental, Vision, and Life Insurance
ClearlyRated's Best of Staffing® Client and Talent Award winner 11 years in a row"
