Position,Company_Name,Location,Post_Month,Post_Year,Details
Project Coordinator,Project Coordinator,McDermott + Bull,May,2024,"The project coordinator will play a crucial role in supporting a Partner within our Non-Profit practice. They will specifically offer administrative support, ensuring the seamless execution of search engagements while upholding exceptional quality standards. This position requires regular interaction with internal team members, C-level executives, clients, and prospects.

Expected Hours: 15 hours per week

Scope of Responsibility:
Excellent organizational skills to effectively manage a daily schedule, including internal meetings, conference calls across multiple time zones, setting up video conferences, and coordinating client meetings with meticulous attention to detail and seamless efficiency.
Proficiency in coordinating and scheduling strategic business development meetings and trips, demonstrating strong logistical planning abilities.
Capable of creating and editing pitch materials and collaborating with the marketing team on new materials. Ability to work closely with marketing on placement announcements and manage and maintain the Partners' LinkedIn content and postings.
Strong database management skills to organize and maintain business development contacts. Ability to update contact records and business development lists in the database accurately. Proficiency in conducting business development outreach as directed by the Partner.
Experience in creating search templates for new engagements, including kick-off documents, position specifications, candidate submissions, and weekly search updates. Ability to edit each document according to search parameters and update them as necessary.
Familiarity with assisting in reconciling and submitting client invoices and internal expense reports, demonstrating financial management competency.

Skills + Requirements:
Minimum 3 years of experience in relevant coordination within a search firm or staffing agency.
Interest or passion in the nonprofit sector, demonstrating dedication to the organization's mission and values.
Exceptional communicator capable of engaging effectively with individuals at all levels of an organization.
Highly organized with the capability to manage multiple tasks and priorities efficiently.
Strong collaborator with a partnering mentality, able to work effectively with colleagues and stakeholders.
Self-starter with strong critical thinking skills, proactive attitude, and the ability to take initiative.
Experience with Customer Relationship Management (CRM) and Applicant Tracking Systems (ATS) to manage contacts and track candidate progress.
Strong writing and proofreading skills to ensure accuracy and professionalism in all communications and documentation.
Proficiency in Microsoft Office Suite, including Word, Excel, PowerPoint, and Outlook, for document creation, data management, and communication purposes.

What We Offer
Work-Life Balance
Flexible Schedules
Hybrid Work Environment

Professional Development
Promote from Within
Activate 180 High-Performance Coaching
Access to Continuous Training"
Administrative Assistant Project Coordinator,Administrative Assistant Project Coordinator,Randstad USA,May,2024,"This is a 6-month contract; 20 hrs/week.

Title: Program Coordinator
Part time role: 20 hours a week
Pay: $29-$34/hr. (depends on experience)
Location: Boston, MA, primarily remote but will be asked to come on-site as needed for meetings, etc.
Experience: 2-5 years

Work Your Magic with us!
Ready to explore, break barriers, and discover more? We know you've got big plans - so do we! Our colleagues across the globe love innovating with science and technology to enrich people's lives with our solutions in Healthcare, Life Science, and Electronics. Together, we dream big and are passionate about caring for our rich mix of people, customers, patients, and planet. That's why we are always looking for curious minds that see themselves imagining the unimaginable with us.
This role does not offer sponsorship for work authorization. External applicants must be eligible to work in the US.

Your Role:
The US Healthcare Capability Building, Engagements & Events team is seeking a part-time program administrator/coordinator to assist with managing field trainings and ensure status' are up to date. This person will provide support with field professional development efforts.
Additional responsibilities include:
Concur, Receiving, SOWs, Procurement:
Concur reconciliation for E&E team and for new hire classes (Pcard, Meeting Card); and for certain OE&I LT team members as needed
Monthly receiving for OE&I and CBEE teams
Managing SOWs: Following and managing SOWs through the entire process including legal review, DocuSign, Opening PO, and ARIBA for OE&I
Processing Invoices for OE&I
Work with procurement on getting new vendors in the system
Distribution of vendor reports
Flexible hours to focus on new hire training and Continuing Education
Flexible hours to focus on E&E programs/projects
New hire training: Tracking within the LMS system; registration for Continuing Education classes
National Summit, Virtual Meetings; Coordination of small team dinners; registration management

Who You Are:
2-5 years of experience in similar role
Bachelors degree preferred; however experience in lieu of education is considered
Able to commute on-site on an as need basis
Basic MS Office understanding is required
Familiarity with Concur, DocuSign, Ariba, Acrobat PDF editors, and LMS not required, but helpful"
Project Coordinator,Project Coordinator,Stova,May,2024,"About Our Company:
Stova is an award-winning end-to-end event technology company, focused on creating innovative solutions tailored for in-person, virtual, and hybrid events. Our mission is to empower event planners and organizers with comprehensive insights into the data driving their events. At Stova, we specialize in crafting transformative experiences that facilitate meaningful, face-to-face connections among our customers, attendees, and sponsors. Trusted by companies of all sizes, we excel in tackling event challenges across the spectrum, from intimate gatherings to massive events hosting tens of thousands of attendees.

To learn more about how Stova can elevate your event experience, visit us at http://www.stova.io.

Position Summary:
Stova is always looking for innovative, self-driven, outgoing people with a mind geared towards business, tech development, and high-end customer care. With this in mind, we are actively seeking a Project Coordinator.

Responsibilities may include, but are not limited to:
Lead client project initiatives, acting as the primary point of contact both internally and externally throughout all project phases.
Communicate effectively with clients at all levels to ensure project expectations are understood and met, while successfully executing the project.
Oversee project scope, timeline, and budgeted hours, collaborating closely with client teams.
Interpret client event briefs and requirements, define deliverables while ensuring quality assurance is adhered to.
Configure, deliver and maintain event website and registration site builds; virtual platforms; mobile apps; online surveys; email campaign; and all modules in the Stova suite of products on behalf of clients.
Coordinate the project lifecycle from initiation to closure, gathering feedback from clients to improve project execution.
Accurately track time on the project, manage budget adherence, liaise with sales, and execute internal project coordination procedures.
Engage in up to 15% travel annually to deliver solutions on-site during client events if required.

Education, Experience, and Skills Required
Bachelor's degree, similar qualification or a minimum of 2 years of project coordination experience in a relevant field (e.g., Events, Business Administration, Project Coordination).
Proven experience in project coordination in a client-facing role.
Good communication and interpersonal skills.
Ability to coordinate multiple projects simultaneously while maintaining attention to detail.
Proficiency in project management software and tools.

Our success is based on the respectful, fair treatment of all employees, candidates, clients and vendors regardless of differences. We foster a work environment that is diverse and inclusive. We proudly adhere to all anti-discrimination legislation. We do not tolerate any type of discrimination against or harassment of our employees, or any of our affiliates. If you are looking to join a team that values a diverse range of backgrounds, opinions, and skills, we would like to meet with you."
Project Coordinator,Project Coordinator,Aquent,May,2024,"Job Title: Project Coordinator
Client Location: ON-SITE Los Angeles
Starting: 05/20/2024

Salary/Pay Rate: $20-26 per hour DOE
Firm, non-negotiable: Yes
Hours: Full-time
Duration: 8 months

Job Description:
One of Aquent's leading entertainment Client's is looking to add a dynamic Project Coordinator to their team! In this exciting and fast-paced environment, your ability to demonstrate a strong understanding of people, process and technology while assisting with the daily operation of the various Programs will be critical. You will be an integral part of maintaining a high-quality experience, providing exceptional support to both internal and external partners. For this assignment, you must be willing to work fully on site in Los Angeles, CA for the full 8 month duration!

You will have the opportunity to…
• Manage schedules, paperwork, and submission of projects for applicants of a national design competition
• Act as a liaison between students and company, maintaining competition Inbox, and responding to general inquiries
• Contribute to scheduling, planning, and execution of meetings and events
• Assist with day-to-day operations of the Intern program, ensuring that our partners have an effective and reliable resource
• Develop and/or maintain spreadsheets, schedules, and calendars/timelines

Responsibilities
• 1+ years’ relevant working experience
• Computer proficiency with Word, Excel, PowerPoint, Keynote and some knowledge of photoshop/illustrator
• Ability to work in a structured and autonomous environment while communicating effectively with key team members
• Self-starter who demonstrates the ability to investigate, troubleshoot and provide solutions
• Proven organizational skills while ensuring attention to detail
• Strong written and verbal communication skills
• Passionate about providing stellar experiences and a strong relationship builder

Basic Qualifications
• Be at least 18 years of age
• Possess unrestricted work authorization
1+ years’ relevant experience
The target hiring compensation range for this role is $20 to $26. Compensation is based on several factors including, but not limited to education, relevant work experience, relevant certifications, and location.
About Aquent Talent:
Aquent Talent connects the best talent in marketing, creative, and design with the world's biggest brands.
Our eligible talent get access to amazing benefits like subsidized health, vision, and dental plans, paid sick leave, and retirement plans with a match. We also offer free online training through Aquent Gymnasium. More information on our awesome benefits!
Aquent is an equal-opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. We're about creating an inclusive environment—one where different backgrounds, experiences, and perspectives are valued, and everyone can contribute, grow their careers, and thrive.
Client Description:
This legendary company has entertained, informed and inspired people around the globe for over 90 years. Named one of Forbes top companies to work for year over year, this is where dreams really do come true.

Whether you’re looking to create, support business growth and development, work behind-the-scenes on your favorite TV shows or upcoming movies, or anything in-between, this is your opportunity to start the next chapter of your career story and help create the exhilarating experiences this company is known for worldwide.

Why work with AQUENT? Check out our awesome benefits: https://aquent.com/talent/talent-benefits

Aquent is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics."
Project Coordinator Assistant,Project Coordinator Assistant,Forix,May,2024,"Job Description

Forix is looking for a Project Coordinator to join our team. Project Coordinators work with other project managers to assist our clients with managing their website development, provide e-commerce consulting, and support their ongoing business needs. Through this position you will learn about Magento and other CMS platforms, as well as gain a good understanding of how websites work.

At Forix we provide development, strategy, and design services to e-commerce businesses. The Project Coordinator is responsible for being the main contact for our clients when they need help or have new projects to work on, as well as acts as a proactive consultant that makes suggestions for improvements. You'll learn from and work with the seasoned staff at Forix about e-commerce and all that it entails so you can grow your knowledge and have some fun while doing it.

Forix currently maintains a hybrid schedule with some days in the office and some days working remotely during the week. In office days are required.

Salary Range for this position: $50,000-$60,000 per year

Primary duties include:

Serve as the primary point of contact for clients
Educate, guide, and train clients on the proper use of their web systems
Understand client business needs and translate them to technical requirements
Manage tasks and work orders for multiple clients in Jira
Accurately track and record working hours for your team to ensure efficiency
Ensure clients follow proper procedure when submitting issues and provide feedback in a timely manner
Coordinate with other departments such as Business Development, UX, Design, and Development
Work with and learn from technical leads and team leads to grow your e-commerce knowledge

Requirements:

Strong organizational and communication skills
Ability to troubleshoot and prioritize issues
Ability to communicate well with non-technical clients
Ability to understanding of design and development workflows
High levels of organization, and a detail oriented personality
Must always present yourself in a polished, professional manner
Working knowledge of Magento 2, Shopify, or BigCommerce is a plus
Experience with using project management and support ticketing systems such as Jira, Zendesk, and Basecamp is a big plus

Benefits:

We’re committed to maintaining a motivated, positive work environment with people who share, demonstrate and live our core values. Take pride in working for a company that lives its core values, defines and pursues its vision and mission/purpose, and continually provides tangible value and benefit to its employees and our clients.

Our benefits include:

401K plan
Employee medical coverage
Vision
Prescription plan
Vacation and sick time

What’s Next?

If this position sounds like a good fit for you, please send your resume.

Forix is an equal opportunity employer and does not discriminate on the basis of race, religion, color, sex, age, national origin, disability, veteran status, or any other classification protected by law.

Company Description

Forix is 100-plus person digital agency in Beaverton that specializes in e-commerce website development and support. Forix has quickly become a frontrunner in providing custom commerce solutions and has been identified as one of the top eCommerce agencies nationwide.

Forix is 100-plus person digital agency in Beaverton that specializes in e-commerce website development and support. Forix has quickly become a frontrunner in providing custom commerce solutions and has been identified as one of the top eCommerce agencies nationwide."
"Project Coordinator, Store Development, The Americas","Project Coordinator, Store Development, The Americas",Christian Louboutin,May,2024,"Project Coordinator, Store Development, the Americas
Please note that this is not a Visual Merchandising role.
Overview: Based in the New York City office, The Project Coordinator, Store Development is responsible for supportive functions within the Department on retail, wholesale, and corporate office projects. This person will work closely with department Project Managers and the VP, Store Development to successfully complete stores, corporate office & wholesale projects as assigned. This person will report directly to the VP, Store Development, the Americas.
Responsibilities:
Assist Project Managers in multiple fast paced tasks from different projects
Send drawings to Vendors providing proposals on each project
Place and manage orders for FF&E for projects
Assemble General Contractor bid packages
Track furniture & fixture deliveries and confirm schedule to be delivered to jobsite
Coordinate Vendor site visits and installations in conjunction with GC
Coordinate forms, inspections, access as needed to successfully open a new location.
Log and code all invoices to project budget sheets.
Coordinate internal barricade graphics requests, external approvals and installation/deinstallation
Coordinate submittals for international shop-in-shops, assembling approval packages and overseeing installations with local PM vendors
Participate as needed on corporate office projects, including office renovations, furniture installations or special projects
Assemble Tenant Allowance requests to Landlords
Participate in inter-departmental calls
Maintain furniture and fixture inventory with manufacturers and storage warehouses
Maintain electronic project folders including: GC site reports, photos, drawings, contracts, p.o.’s
Assist with researching alternative materials/finishes, millwork, vendors, etc as needed
Flexibility to partner on projects outside of scope.
Skills & Requirements:
Minimum 2 years’ experience working in a supportive role for store design, construction or facilities, with high end/luxury or contemporary retail preferred.
Highly motivated self-starter with exceptional organizational skills, ability to manage and prioritize multiple projects simultaneously and a strong sense of urgency.
Proactive in bringing ideas to the table to improve coordination and processes within the team
High level written and oral communication skills mandatory.
Experience with New Store Openings (NSO’s)
Proficient in Microsoft Word, Excel, Power Point, Adobe Acrobat Pro
Intermediate to advanced CAD skills
Experience with stores & shop-in-shops will be given priority.
Ability to read architectural drawings.
Good understanding of Construction processes.
Solid decision-making skills based on changing conditions.
Team player in both retail and corporate environments, “no task is too big or too small” attitude; is committed, positive, and reliable.
Adheres to company policy and confidentiality - is a true ambassador for the brand with strong sense of corporate responsibility - setting the standard.
Passion for the Christian Louboutin brand.
Our Business and our Values:
Christian Louboutin, founded in 1991 in Paris, is a leading global luxury brand for shoes and leather goods for both women and men. Christian Louboutin is also renowned for its iconic red sole, imagined by Mr. Christian Louboutin himself, a year after the creation of the brand. The brand has more than 160 Boutiques in 38 countries featuring the signature shoes such as the iconic pumps, sneakers and loafers alongside the seasonal collections for women, men and accessories. Christian Louboutin imagines collections through a large spectrum of inspirations emanating from his love of Paris, his travels, and his passion for art and craftmanship. 2014 welcomed the launch of Christian Louboutin Beauté with the iconic Rouge Louboutin nail and lip colour.
Our people are at the heart of our brand.
We celebrate individuality and empower our team members to have responsibility, autonomy and creativity within their roles. Our colleagues share the same passion and dedication to our Brand and its continued success.
We live by our values:
We are down to earth – we stand with authenticity, integrity and respect. We have passion – we drive our business with agility, commitment and care. We feel happiness in all that we do – we collaborate with positivity, open-mindedness and fun. We find inspiration in our work – we envision the future with confidence, creativity and freedom.”
The Maison Christian Louboutin is an equal opportunity employer. We are committed to recruitment practices that do not discriminate against any job applicant because of their race, color, gender, age, nationality, culture(s), religion, sex, physical or mental disability, or age. We believe that a culture of diversity and individuality fosters our above core values. So, if you also share this mindset, these values, and you dream of coloring your soles red as part of the Louboutin adventure, please join us!
In accordance with the New York City Commission on Human Rights and in compliance with the Salary Transparency Law, Christian Louboutin envisions the general compensation range for this position to be $50,000 - $60,000 per YEAR.
*This range is NOT inclusive of other forms of compensation or benefits such as commissions, overtime, discretionary bonus, health insurance, retirement savings or paid leaves of absence. Such details will be further communicated during the interview process and/or at the time of an official offer of employment."
Project Coordinator - Healthcare,Project Coordinator - Healthcare,Studio+,May,2024,"(Sr. title indicates greater level of experience and expertise. An Architect is a licensed project coordinator)

The Project Coordinator position provides unlicensed or developing architects/managers with the opportunity to coordinate the production and delivery of design documents for a variety of clientele and project types. In this role they gain the experience needed and develop the required skills to grow into the role of either a Project Architect or Project Manager. Project Coordinators are the future project leaders at Studio+.

Professional Qualifications/Expectations

Minimum of three (3) years of comparable experience working in a design firm
Preferred candidates should hold a Bachelor of Architecture (B. Arch) or Master of Architecture (M. Arch) degree from an accredited institution
Intent to aggressively pursue licensure is preferred
Proficiency in Revit and Microsoft Office suite is strongly preferred
Experience working in additional drafting and rendering programs such as AutoCad and Enscape is preferred
Ability to engage in a collaborative workplace, working alongside fellow architects, and maintaining professional relationships with clients
Grow experience in the execution of independent evaluation and decision making.
Execute specific design tasks requiring research, evaluation, and adaptation into assigned projects
Ability to perform tasks with minimum supervision.
Gain understanding of production requirements, phasing, and budget tracking necessary for project success and profitability
Develop mentoring skills to help team members improve design ability and various skill sets required to deliver successful projects
Adhere to Studio+ standards and processes and applicable client specific standards and processes.

Job Tasks outlined, but not limited to those listed:

Architectural drafting and BIM modeling that represent Studio+’s expertise and design intent to clients, contractors, and engineers.
Meet deliverable schedules, coordination with consulting engineers and interior designers, and quality control reviews of drawings and documents prior to internal review
Organized documentation of all correspondence with Studio+ project team, engineers, and vendors
Coordinate and maintain BIM files and model exchange with consulting engineers throughout the life of a project
Coordinate with Studio+ BIM Manager when implementing Studio+ BIM execution plan
Review and maintain Studio+ project checklist with Project Manager and Project Team
Coordinate with project team to assemble completed sets of documents and assist in their distribution
Develop clear and detailed reports, responses, and specifications as directed.
Develop field reports, meeting minutes, bulletins/narratives on assigned projects as directed
Assist or lead FGI/code analysis/RFIs as directed
Assist or lead submittals/shop drawings as directed
Assist or lead AHJ comment responses as directed
Assemble drawings for QA/QC review.
Transmitting documents to clients, contractors, and engineers as required
Develop computer generated renderings
Identify and research code issues. Work with project team to implement solutions as applicable.
Coordinate with printing company to ensure delivery of documents for compliance with project deliverables
Produce accurate documentation from inspection and field measurements of existing buildings
Coordinate with Project Manager the allocation of resources to achieve key deliverables and project schedule
Review documents and drawings of all internal and external project team members to ensure compliance with project requirements and design intent
Generate and manage work plan on small to medium sized projects
Assist in generating and managing work plan on large projects
Attend and assist in leading client meetings as directed
Assist with design iterations as directed

Powered by JazzHR

9eqssnx9HZ"
Assistant Project Manager,Assistant Project Manager,LG Group,May,2024,"LG Group is seeking an Assistant Project Manager to join our talented LG Builders team to support either LG Homes or LG Commercial projects! LG Builders is a full-service construction company powered by collaboration, creativity, and resourcefulness. Our portfolio is diverse but focuses on hospitality, retail, core and shell, residential and multi-family.

Everything we do is powered by our people. Our culture is founded on collaborative teamwork, empowerment of our people, and an employee experience focused on growth and development making LG a best-in-industry place to work. With a deep recognition that we will only go as far as our people will take us, we are committed to investing in our talent through consistent mentorship and continuous feedback with a focus on career growth through goal setting.

At LG Group, we know a career is more than just a job, it’s the pursuit of passion.

Role Summary
Reporting to the Vice President of Construction for LG Builders, an Assistant Project Manager is the foundation of our construction team supporting the needs across stakeholders including project managers, superintendents, clients / owners, and vendors. The Assistant Project Manager role is designed for people who are eager, smart, yet humble, who are prepared to learn and be exposed to a career in construction.

An ideal candidate will have a keen attention to detail, proactivity to identify issues or potential bottlenecks in a plan, and the flexibility to adjust accordingly. They are master communicators able to speak to a variety of stakeholders. They are critical thinkers who can understand what tasks are needed and then ensure those tasks get done reliably and resourcefully. The ideal candidate for Assistant Project Manager is someone who thrives on collaboration and accountability seeing a project through from pre-con to completion.

Oversee and support multiple projects simultaneously to ensure on time completion and within budget.
Manage relationships with subcontractors and vendors, maintaining regular communication, and handling scheduling, change orders, and requests for information (RFIs).
Foster strong, positive relationships with clients by communicating professionally, managing their expectations, and addressing any concerns with solutions-focused approaches throughout the project lifecycle.
Coordinate and review the distribution of project schedules, scopes of work, coordination drawings, and ensure the integration of all updates in the as-built drawings with the project team.
Collect and organize essential project documentation including superintendent daily reports, weekly pictures, safety documentation, and maintain administrative logs (RFIs, RFPs, submittals).
Participate in project meetings, assist in the preparation and dissemination of progress reports, and contribute to the drafting and tracking of RFIs, change proposals, and coordination of material logistics and site safety plans.

Qualifications for Success
Bachelor’s degree in Construction Management, Construction Engineering, Architecture, or a related field preferred
Minimum of 2 years of experience in hospitality, trades, sales, construction management, or similar roles
Strong technical and communication skills across stakeholders, including email and document organization, with Microsoft Office Suite knowledge required, Microsoft Project & Procore knowledge preferred
Able to read and interpret documents such as architectural drawings, safety rules, operating and maintenance instructions, and procedure manuals helpful but not required
Ability to prioritize various tasks and manage time efficiently identifying long lead times and critical path items
Flexibility and adaptability as situations arise leveraging a solution-oriented attitude to meet business needs
Critical thinking with a resourceful mindset and a keen eye on detail and organizational skills; process-oriented
Able to prioritize and work with a sense of urgency providing frequent, proactive communication

Our Benefits & Perks:
Competitive Compensation
Unlimited PTO
Medical, Dental, Vision, Life Insurance, 401k Match
Paid Maternity & Paternity Leave
Enviable Company Culture
Exciting and Creative Project Work
And so much more!"
Project Coordinator,Project Coordinator,Scorpion,May,2024,"About Us

Scorpion is the leading provider of technology and services helping local businesses thrive. We do this by helping customers understand local market dynamics, make the most of their marketing, and deliver experiences their customers will love. We offer tools to know what’s going on with marketing, competitors, and customers. We offer a unique blend of AI support and teams of real human people with local expertise committed to customer success. At Scorpion, we are ready to do whatever it takes to help our clients reach their goals. Our technology and personalized tools bring everything together to help local businesses easily understand their unique business, market, and customer needs. We put SEO, Reviews, Advertising, Email Marketing, Chat and Messaging, Social Media, Website, Lead Management, Appointment Scheduling, and more to work for local businesses. We’re a technology-led service with a human touch.

About The Role

As a Project Coordinator, you will act as the central point for tracking and managing inquiries and projects within the Marketing and Delivery organization. Your role will involve coordinating with internal team members to guarantee task completion within specified timelines, and you will proactively address any roadblocks by finding collaborative solutions. Initiative and problem-solving skills are key in this role, as you will drive projects forward and ensure effective task completion. You'll also need to exhibit persistence and a results-driven mindset, advocating for necessary support to overcome obstacles and achieve project goals. You must be able to communicate effective instructions and task write ups to ensure that internal team members have the necessary information to complete a task correctly and efficiently.

You will utilize project management tools, particularly Monday and Celoxis, to organize and track tasks. You will provide regular and transparent status reports on the progress of tasks to both internal teams and clients. You must have good organizational and communication skills.

This role is also executionary. You will execute on various tasks related to client requests and pre-launch projects, including but not limited to content carryover, cataloging information on existing sites, and submitting tasks. You must demonstrate a proactive approach to problem-solving and task completion. You must be able to manage multiple tasks simultaneously, prioritizing based on urgency and importance.

Additionally, you should be able to identify process gaps that can be solved for greater team efficiency and escalate those items to your manager.

You may be asked to interface with clients, particularly CMO’s and VP’s of Marketing for franchise brands, reporting on various tasks status and gathering requirements. You are expected to be the source of truth for the status of all tasks that the brand has requested of the Scorpion team.

What your success will look like

Execute on various tasks related to client requests and projects, demonstrating a proactive approach to problem-solving and task completion.
Manage multiple tasks simultaneously, prioritizing based on urgency and importance.
Project manage small tasks and projects to ensure they are completed on time and meet the client’s expectations.
Serve as a liaison between clients and internal teams for task or small project completion, ensuring effective communication and collaboration.
Coordinate with different departments to gather necessary information and resources for project execution.
Help determine who appropriate owners and/or departments are to solve problems and keep projects moving forward.
Provide clear and concise communication to clients on project progress, timelines, and any potential challenges.
Provide clear and concise requirements to internal teams to ensure effective and timely task or project completion.
Interface with clients, particularly CMO’s and VP’s of Marketing for franchise brands, reporting on various tasks status and gathering requirements.
Be the source of truth for the status of all tasks that the brand has requested of the Scorpion team.
Execute various tasks related to client requests and pre-launch projects, including but not limited to content carryover, cataloging information on existing sites, and submitting tasks
Submit tasks, product bugs, feature requests, LSS tasks, etc. effectively to internal teams.

Who You Are And What You Bring

2 years’ experience in task management, customer service, or project management related roles.
Must have a strong work ethic; naturally goes the extra mile with the ability to do what it takes to get the job done
Ability to thrive in a fast-paced environment & seamlessly wrangle multiple, concurrent priorities and work streams
Ability to manage time effectively
Top-notch communication & presentation skills to liaise and interface with clients
A tech-savvy professional capable of collaborating effectively
Ability to build strong relationships with internal and external clients
A growth mindset & positive attitude—the desire to be awesome and learn every day
A solution-oriented mindset with the ability to be flexible
Ability to organize and prioritize tasks
Ability to speak both technically and non-technically / adapts communication style for the audience
Ownership and accountability of projects and tasks
Ability to learn / use various systems and tools such as CSX, monday.com,, etc.

Our Scorpion Values

Winning Mindset: When our clients win, we win.

Genuine Care: We only succeed when we are truly invested in our clients and each other.

Unmatched Results: We deliver more than expected–and then some–driving the best results and impacting lives.

Constant Improvement: We believe there is always a better way. We learn we ask “What if?” we build and then do it again.

Unbeatable Teamwork: We come from different backgrounds but have the same vision. We only get there by doing it together, as a team.

Our Benefits

We invest in our employees by offering them diverse benefits from best-in-class carriers. These benefits provide enough choice and flexibility to keep our employees and their families healthy and happy — today and tomorrow.

100% employer-paid medical, dental, and vision insurance
Flexible paid time off, so you can rest, relax and recharge away from work
Employee equity program
Paid parental leave
Paid cell phone and service
Remote office allowance
Professional development and development courses
Regular manager check-ins to drive performance and career growth through Lattice

Compensation

We acknowledge that states have passed legislation promoting pay transparency. As a national employer, Scorpion has made the decision to post our expected pay rate or pay range (as applicable) in all our job postings, regardless of geographic location.

The base salary range is $60,000 - $65,000 (highly experienced), exclusive of fringe benefits. If you are hired at Scorpion, your final base salary compensation will be determined based on factors such as geographic location, skills, education, and/or experience. Additionally, we believe in the importance of pay equity and consider the internal equity of our current team members as a part of any final offer. Please keep in mind that the range mentioned above is the total salary range for the role. Hiring at the maximum of the range would not be typical in order to allow for future & continued salary growth. The compensation package may also include incentive compensation opportunities in the form of discretionary bonuses or commissions.

Scorpion is an equal opportunity employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, or physical or mental disability. We believe in creating a dynamic work environment that values diversity and inclusion.

Reasonable Accommodations"
Project Coordinator,Project Coordinator,DirectDefense,May,2024,"Who We Are

At DirectDefense, we aim to secure organizations across all industries against the advanced threats and attacks in today’s world. Acting in partnership with organizations, we provide unmatched information security services designed to improve their overall security posture, close gaps, and track vulnerabilities on an ongoing basis through continued education and support.

The Role:

The Project Coordinator will work across multiple departments, supporting various stakeholders both with clients and internal teams. In this role, you will partner with the Sales team and Sales Support team to support the day-to-day success of your assigned group of accounts.

Responsibilities:

Work to understand the business and account needs of each client within your portfolio
Build strong working relationships with the sales support team, consulting teams & clients
Use project management software to manage daily processes and approvals
Own all client deliverables, ensuring projects are completed on time and within the scope
Act as a communication point between clients & internal consulting team
Anticipate upcoming customer needs and proactively mitigate any issues
Generate and deliver reporting for each client
Provide administrative support, including meeting scheduling and hours tracking
Take an active role in the strategic development and guidance of your accounts

Requirements:

Minimum of two-year work experience in account management, account support, or customer service fields
Ability to manage cross-functional relationships with customers and internal stakeholders
Experience working with clients to continually understand, anticipate, and respond to client needs
Outstanding organization and time management skills, with attention to detail
Working experience in a high-pressure environment, including experience in adapting to changing priorities
Must have proficiency in Microsoft Office software
Experience with Salesforce is a plus
Experience working in a technology-based organization is a plus

As required by Colorado law under the Equal Pay for Equal Work Act, Accenture provides a reasonable range of compensation for roles that may be hired in Colorado. Actual compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, and specific office location. For the state of Colorado only, this job offers a target salary range of $75,000 - $95,000 along with additional benefits."
