Position,Company_Name,Location,Post_Month,Post_Year,Details
Windows Administrator,Windows Administrator,Pulivarthi Group (PG),May,2024,"Follow us on Linkedin: https://www.linkedin.com/company/pulivarthigroup/

Pulivarthi Group LLC is a Global Staffing & IT Technology Solutions company, with our prime focus of providing world class solutions to our customers with the right talent. We combine the expertise of our team and the culture of your company to help you with the solution that is affordable and innovative using high quality standards and technologies.

We’ve served some of the largest healthcare, financial services, and government entities in the U.S.

Job Title: Windows Administrator

Location: Remote

Duration: 12 months

Requirements

Solid work history in an IT role with exposure to Windows Administrator tasks.

Detailed knowledge of Windows server setup, deployment, and maintenance.

Experience with databases, patch management, and networks including LAN and WAN.

Familiarity with modern operating systems and server platforms.

Experience working with Help Desk staff and providing end-user support.

Additional

2+ years in a true Windows Administrator role.

Bachelor's Degree in Computer Science or IT.

Experience with Active Directory & Group Policy management.

Knowledge of Server OS, Windows AD DNS, and HEAT.

This position requires a candidate with a strong background in IT roles, particularly in Windows Administrator tasks, along with detailed knowledge of Windows server setup, deployment, and maintenance. Experience with databases, patch management, and networks is essential, as is familiarity with modern operating systems and server platforms. Additionally, experience working with Help Desk staff and providing end-user support is required. Plusses include specific experience in a Windows Administrator role, a Bachelor's Degree in Computer Science or IT, and expertise in Active Directory & Group Policy management, as well as Server OS, Windows AD DNS, and HEAT."
Systems Administrator,Systems Administrator,Apple Bank,May,2024,"Hybrid/Scarsdale, NY Visa sponsorship not available

The Systems Administrator is responsible for performing configurations of IT systems and services, while supporting multiple areas of Apple Bank’s Information Technology infrastructure, ensuring that the appropriate systems, methodologies, procedures and securities are in place, including but not limited to, access permissions, server and workstation configurations, vulnerability management, and other related activities. The incumbent participates in application deployment, managed installations, as well maintenance, and also monitors the daily health of the Bank’s operating systems and services. The System Administrator responds to related issues and escalations and provides outstanding infrastructure support, contributing to our mission of utilizing information technology to improve business functions and continuity.


ESSENTIAL DUTIES & RESPONSIBILITIES
Implement hardening standards and vulnerability remediations, based on strategies and requirements developed by invested groups.
Perform scripting to automate tasks of deploying or removing software on required systems.
Provide support, as well strategies for business units to develop solutions and integrate systems.
Perform vulnerability and patch management administration across server and workstation platforms.
Provide disaster recovery contingencies, as well as business continuity when experiencing server-related issues.
Work with vendors to configure best practices for services throughout the environment.
Document all processes, system changes, fixes, issues, and resolutions.
Support project teams on data migrations, server upgrades, rollouts, and production turnover.
Review, evaluate, and test new technologies and products from vendors.
Work with Internal Audit and Information Security groups to explain and evidence system configurations and securities.
Triage Help Desk tickets assigned to the group, resolve, and if necessary, escalate.
Perform other duties as requested.

SKILLS, EDUCATION, & EXPERIENCE
Bachelor’s degree or equivalent work experience required.
4+ years relevant work experience.
In-depth knowledge of Microsoft Windows server and workstation-based operating systems.
In-depth knowledge of Microsoft Active Directory, including Users & Computers and Group Policy.
Experience managing a cloud-based IAM service (e.g.; Okta or Azure).
Functional knowledge of Quest Kace, Microsoft System Center Configuration Manager, or Microsoft Endpoint Manager.
Functional knowledge of Windows scripting languages, such as PowerShell and Windows command line.
Functional knowledge of system and software deployment and packaging.
Functional knowledge of system monitoring and error remediation.
Functional knowledge of patch and vulnerability management.
Ability to understand technical reports on Windows Registry and Group Policy configurations.
Must be flexible to support business functions with required timing.
Ability to manage and prioritize tasks and time efficiently and meet deadlines.
Must work well with others, including within the department and with other departments.
Excellent communication skills (verbal + written).
Excellent organizational and planning skills.

Visa sponsorship not available."
System Administrator,System Administrator,"Novisync, Inc",January,2024,"Requirements

Proven experience as a System Administrator, with a focus on Dell hardware.

Ability to work with Dell servers and storage solutions in a data center environment.

Strong knowledge of Windows Server and Linux operating systems.

Experience with virtualization technologies (VMware, Hyper-V).

Excellent troubleshooting skills for hardware and system-level issues.

Familiarity with networking protocols and security best practices.

Responsibilities

US Citizenship required.

Manage and maintain Dell hardware in the data center.

Perform routine system administration tasks such as system monitoring, backups, and updates.

Collaborate with cross-functional teams to implement and support IT infrastructure projects.

Ensure the security and integrity of the systems and data.

Provide on-call support as needed."
Windows System Administrator,Windows System Administrator,Steneral Consulting,January,2024,"Title- Windows System Administrator

Location- NEW YORK, NY (Onsite)- MUST BE LOCAL

Linkedin must.

JD-

Requirements

3-5 years of experience working in an IT support capacity.
1-3 years' experience with SonicWALL, Ubiquiti, Meraki.
1-3 years of experience with operating systems, Windows server 2012 and up, Windows 10 and up.
Working knowledge of several areas including Azure, Microsoft Active Directory, Office 365, Share Point, Windows Administration, networking.
Familiarity with network security, firewalls, enterprise backup systems, VOIP telephone systems.
Basic understanding with networking protocols - DNS, WINS, DHCP, VPN, TCP/IP.
Working knowledge of networks, of LAN and WAN configurations and concepts.
Experience with backup, anti-virus, anti-spam, and spyware technologies.
Working knowledge of virtualization, VMWare, or equivalent
Strong verbal, written and interpersonal communication skills.
Possesses outstanding analytical, organizational, and problem-solving skills with a flexible approach.
Ability to work independently as well as cooperatively in a team-oriented environment.
Ability to work closely with users and other IT professionals to identify, analyze and resolve system problems.
Ability to successfully interact with other IT professionals and end-users.
Associate or bachelor's degree in Computer Science, Information Technology, System Administration, or a closely related field, or equivalent experience required.
Vendor Certifications, CompTIA Net+, A+, Security+, VMware, Microsoft"
Windows Administrator,Windows Administrator,"MetroSys, Inc.",May,2024,"Responsibilities:

Windows Server Administration:
Install, configure, and maintain Windows Server operating systems and server roles, including Active Directory, DNS, DHCP, and file services
Monitor server performance, conduct routine maintenance tasks, and troubleshoot server-related issues to ensure optimal uptime and reliability
Active Directory Management:
Manage user accounts, groups, and permissions within Active Directory to ensure proper access control and security compliance
Configure and maintain Group Policy Objects (GPOs) to enforce security policies, software deployment, and system configurations
Patch Management and Software Deployment:
Implement and maintain patch management processes to ensure that Windows servers and applications are up-to-date with the latest security patches and updates
Deploy and manage software applications, updates, and patches using automated deployment tools, such as Microsoft System Center Configuration Manager (SCCM)
Backup and Disaster Recovery:
Configure and manage backup and recovery solutions for Windows servers and critical data to ensure data protection and business continuity
Develop and maintain disaster recovery plans and procedures to minimize downtime and data loss in the event of system failures or disasters
Security and Compliance:
Implement and enforce security best practices and policies to protect Windows servers and data from security threats and vulnerabilities
Ensure compliance with industry regulations and standards, such as HIPAA, GDPR, and PCI DSS, related to data security and privacy
Requirements:

Bachelor's degree in Computer Science, Information Technology, or related field (preferred) or equivalent experience
3+ years of experience in Windows server administration in enterprise environments
Proficiency in managing Windows Server operating systems, including Windows Server 2012/2016/2019
Strong understanding of Active Directory, Group Policy, DNS, DHCP, and other core Windows server services
Experience with backup and recovery solutions, such as Windows Server Backup, Veeam Backup & Replication, or similar
Excellent problem-solving and troubleshooting skills
Effective communication and collaboration abilities

Working Conditions:

This is a contract full-time position based at Albuquerque
Occasional evening and weekend work may be required for system maintenance, upgrades, and emergencies

Powered by JazzHR

QfZ8grK0pm"
System Administrator,System Administrator,Ferretti Search,May,2024,"Position: Systems Administrator Tier II
Location: South Charlotte
Compensation: $60-70K + Bonus and Annual Reviews. Can flex higher for candidates who are more experienced.

Ferretti Search is actively seeking a qualified Systems Administrator Tier II for a reputable family owned firm. This role offers a great opportunity for professionals seeking to leverage their technical expertise in a dynamic, family-oriented environment.

What's in it for you?
Career Growth: Transition into an essential in-house expert, with opportunities for professional development and certification.
Dynamic Work Environment: Contribute to major projects in a fast-paced setting, balancing intensive tasks with a relaxed team culture.
Flexibility: Gradual transition to hybrid (likely 2 day max) possibilities after initial on-site integration.

What will your day look like?
Technical Management: Oversee and maintain Windows Server environments and engage in networking tasks with an understanding of firewall setups.
System Support: Serve as a key escalation point for help desk personnel, ensuring robust desktop support and customer service.
Project Involvement: Play a significant role in transitioning from VMware to Nutanix’s Hypervisor, enhancing system functionality and compliance.

Who are you?
Experienced Systems Administrator: With 3-5 years in systems support and 1-2 years of practical experience with VMware or Nutanix.
Technical Proficiency: Strong grasp of virtualization fundamentals and capable of re-configuring VMs, understanding storage computations.
Regulatory Knowledge: Familiar with compliance protocols, potentially having worked with SOX, HIPAA, or HITRUST standards.

Why Join Us?
Empowering Management: Work under leadership that supports your professional growth through ongoing education and certification opportunities.
Employee-Centric Culture: Join a team that values trust and open communication, within a relaxed yet goal-focused environment.
Innovative Impact: Directly influence the systems and processes of a rapidly evolving company with your expertise.

Interested? For immediate consideration, please contact Matt Roe at mroe@ferrettisearch.com to discuss this opportunity further.

Ferretti Search is an award-winning Recruitment Firm specializing in Executive Recruiting and Staffing. Our product is people. Ferretti Search has a dedicated team of executive recruiters ready to help our clients find employment solutions that benefit them as well as match our candidates with a company that meets their job preferences and career goals. At Ferretti Search, we believe in transparency throughout the entire process in order to serve our clients and candidates better. We take pride and value our relationship with our clients and candidates."
Windows Administrator,Windows Administrator,"MetroSys, Inc.",May,2024,"Responsibilities:

Windows Server Administration:
Install, configure, and maintain Windows Server operating systems and server roles, including Active Directory, DNS, DHCP, and file services
Monitor server performance, conduct routine maintenance tasks, and troubleshoot server-related issues to ensure optimal uptime and reliability
Active Directory Management:
Manage user accounts, groups, and permissions within Active Directory to ensure proper access control and security compliance
Configure and maintain Group Policy Objects (GPOs) to enforce security policies, software deployment, and system configurations
Patch Management and Software Deployment:
Implement and maintain patch management processes to ensure that Windows servers and applications are up-to-date with the latest security patches and updates
Deploy and manage software applications, updates, and patches using automated deployment tools, such as Microsoft System Center Configuration Manager (SCCM)
Backup and Disaster Recovery:
Configure and manage backup and recovery solutions for Windows servers and critical data to ensure data protection and business continuity
Develop and maintain disaster recovery plans and procedures to minimize downtime and data loss in the event of system failures or disasters
Security and Compliance:
Implement and enforce security best practices and policies to protect Windows servers and data from security threats and vulnerabilities
Ensure compliance with industry regulations and standards, such as HIPAA, GDPR, and PCI DSS, related to data security and privacy
Requirements:

Bachelor's degree in Computer Science, Information Technology, or related field (preferred) or equivalent experience
3+ years of experience in Windows server administration in enterprise environments
Proficiency in managing Windows Server operating systems, including Windows Server 2012/2016/2019
Strong understanding of Active Directory, Group Policy, DNS, DHCP, and other core Windows server services
Experience with backup and recovery solutions, such as Windows Server Backup, Veeam Backup & Replication, or similar
Excellent problem-solving and troubleshooting skills
Effective communication and collaboration abilities

Working Conditions:

This is a contract full-time position based in Long Beach
Occasional evening and weekend work may be required for system maintenance, upgrades, and emergencies

Powered by JazzHR

0Kfs8V9A5l"
System Administrator,System Administrator,Donegal Insurance Group,May,2024,"About The Role

The System Administrator will be responsible for general system administration tasks such as; adding, moving, and changing user accounts within the Microsoft Active Directory or Microsoft Entra ID, Group membership creation and maintenance tasks, Microsoft Exchange account maintenance, file share creation and permission changes, File Server restores, and being a tier two escalation resource for generic windows troubleshooting issues that are escalated from User Support Services department.

The ideal candidate will have basic knowledge of ITIL concepts, including Incident Management, Service Requests, Problem and Change Management, and the usage of ITIL Service Desk tools, such as MS Service Manager. The candidate will work well within team based structured departments. Under general supervision, the employee receives assignments and is expected to complete them with substantial independence

Responsibilities And Duties

Microsoft Entra ID and Active Directory administrative account tasks
Monitors, tunes, diagnoses, and resolves escalated complex operating system and application problems from User Support Services
Writes and maintains user and operational instructions
Reads and understands technical or other complex materials required for the job
Participates in all Operations and Maintenance rotational duties, including enterprise monitoring
Responds to alerts sent to company provided cell phone to ensure system availability
Partakes in server patching rotation approximately every five months
Monitors and completes requests for service using Microsoft Service Manager
Practices ITIL concepts, including Incident Management prioritization, documentation, escalation, and resolution,
Writes and maintains moderate to complex PowerShell scripts
Performs other related duties as assigned or requested

Qualifications And Skills

Five years of professional information technology experience supporting users in a help desk environment
Three years of professional experience creating end user documentation
Three years of professional experience creating technical procedure documentation
Experience using VMware, VMware Horizon, Dell Wyse clients, VPN technologies, Microsoft Service Manager, Kaseya Management, Backup technologies, Microsoft Exchange, and Citrix Share File
Candidates must possess experience with Windows 10 and Windows 11 desktop operating systems in an enterprise environment

To apply, please submit your resume and online application

Competitive Benefits Package

Donegal Insurance Group offers a comprehensive benefits package for all full-time, permanent positions including:

Medical, Dental, and Vision Coverage: Available to you and your dependents. Coverage begins the first of the month after start date
401(k) with the first 3% matched at 100%: the next 6% is matched at 50%
Paid Time Off: Paid vacation, sick days, paid holidays, & bereavement days
Career Development: Including college partnership discounts and industry designation(s) reimbursements

Additional benefits include company-paid basic life insurance; short & long-term disability insurance; employee stock purchase plan; and employee assistance program (EAP). Learn more about our full benefit offerings by visiting our

Who We Are

Donegal Insurance Group provides commercial and personal insurance products through a network of independent agents in 23 states and across several regions of the U.S. In Texas, Colorado, Utah, New Mexico and Arizona, business is conducted under the Mountain States Insurance Group name; and in Michigan, business is conducted under the Michigan Insurance name.

Headquartered in Lancaster County, Pennsylvania, along with four (4) regional offices located in: Athens, GA, Grand Rapids, MI, Albuquerque, NM, and Glen Allen, VA, our steady growth and successes have allowed us to establish a culture of which we're proud. Check out our Glassdoor profile where our rating speaks for itself:

By joining the Donegal family, you would be joining a team of dedicated, hard-working employees, all with a common goal of providing peace of mind to our policyholders and being There when it matters most.™.

Work Arrangement

Donegal Insurance Group has a variety of positions that are either onsite, hybrid, or remote. With each department and position being different, the work arrangement for a specific position will be reviewed with candidates during a initial phone screening. For a fully remote position, the ideal candidate must live within our Donegal footprint (Current approved states for remote work are: AL, AZ, CT, DE, FL, GA, IA, IL, IN, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NY, OH, PA, SC, SD, TN, TX, UT, VA, WI, and, WV. Please note, this list is subject to change without notice.)

E-Verify

Donegal Insurance Group participates in E-Verify in the following states: Alabama, Arizona, Florida, Georgia, Louisiana, Mississippi, Nebraska, North Carolina, South Carolina, Tennessee, and Utah. If you reside in one of the listed states, please review the ""Notice of E-Verify Participation"" and the ""Right to Work Poster"" on the links below:

Powered by JazzHR

lYilBv2orf"
Windows Administrator,Windows Administrator,"MetroSys, Inc.",April,2024,"Responsibilities:

Windows Server Administration:
Install, configure, and maintain Windows Server operating systems and server roles, including Active Directory, DNS, DHCP, and file services
Monitor server performance, conduct routine maintenance tasks, and troubleshoot server-related issues to ensure optimal uptime and reliability
Active Directory Management:
Manage user accounts, groups, and permissions within Active Directory to ensure proper access control and security compliance
Configure and maintain Group Policy Objects (GPOs) to enforce security policies, software deployment, and system configurations
Patch Management and Software Deployment:
Implement and maintain patch management processes to ensure that Windows servers and applications are up-to-date with the latest security patches and updates
Deploy and manage software applications, updates, and patches using automated deployment tools, such as Microsoft System Center Configuration Manager (SCCM)
Backup and Disaster Recovery:
Configure and manage backup and recovery solutions for Windows servers and critical data to ensure data protection and business continuity
Develop and maintain disaster recovery plans and procedures to minimize downtime and data loss in the event of system failures or disasters
Security and Compliance:
Implement and enforce security best practices and policies to protect Windows servers and data from security threats and vulnerabilities
Ensure compliance with industry regulations and standards, such as HIPAA, GDPR, and PCI DSS, related to data security and privacy
Requirements:

Bachelor's degree in Computer Science, Information Technology, or related field (preferred) or equivalent experience
3+ years of experience in Windows server administration in enterprise environments
Proficiency in managing Windows Server operating systems, including Windows Server 2012/2016/2019
Strong understanding of Active Directory, Group Policy, DNS, DHCP, and other core Windows server services
Experience with backup and recovery solutions, such as Windows Server Backup, Veeam Backup & Replication, or similar
Excellent problem-solving and troubleshooting skills
Effective communication and collaboration abilities

Working Conditions:

This is a contract full-time position based at Albuquerque
Occasional evening and weekend work may be required for system maintenance, upgrades, and emergencies

Powered by JazzHR

qQE9D1R9bv"
Windows System Administrator,Windows System Administrator,Steneral Consulting,December,2023,"Windows System Administrator/Level 3 consultant with extensive Intune and Azure Active Directory

Boston, MA- Hybrid - Local candidates only

Our client looking for a Windows System Administrator/Level 3 consultant with extensive Intune and Azure Active Directory for a 6-month hybrid contract role in Massachusetts.

We are seeking a highly skilled and experienced Windows Engineer with a broad understanding of Microsoft Azure and Intune. The ideal candidate will have experience managing Windows-based systems, ensuring seamless integration with Azure and Intune for efficient and secure operations for an environment of 300 users.

Responsibilities

Windows systems with Microsoft Azure services.

Utilize Azure Active Directory for identity and access management.

Implement and manage Azure virtual machines, networking, and storage solutions.

Manage Microsoft Intune for endpoint management and security.

Configure and enforce security policies, compliance settings, and conditional access through Intune.

Implement device enrollment and application deployment using Intune

Ensure Windows systems and Azure resources meet industry standards and compliance requirements.

Implement security best practices and conduct regular security assessments

Develop and maintain automation scripts for system provisioning, configuration, and monitoring.

Leverage PowerShell and other scripting languages for task automation.

Maintain accurate and up-to-date documentation for configurations, procedures, and troubleshooting guides.

Qualifications

Bachelor's degree in Computer Science, Information Technology, or a related field.

Proven experience as a Windows Systems Administrator with a focus on Azure and Intune.

Microsoft certifications such as MCSA: Windows Server, MCSE: Core Infrastructure, and/or Microsoft Certified: Security, Compliance, and Identity Fundamentals.

In-depth knowledge of Microsoft Azure services and architecture.

Expertise in Microsoft Intune for endpoint management and security.

Strong scripting skills, especially with PowerShell.

Familiarity with IT security best practices and compliance standards.

Excellent troubleshooting and problem-solving skills.

Effective communication and collaboration."
