Position,Company_Name,Location,Post_Month,Post_Year,Details
Support Engineer,Support Engineer,ClickHouse,May,2024,"About ClickHouse

We are the company behind the popular open-source, high performance columnar OLAP database management system for real-time analytics. ClickHouse works 100-1000x faster than traditional approaches . By offering a true column-based DBMS, it allows for systems to generate reports from petabytes of raw data with sub-second latencies. With an amazing community already adopting our open-source technology, we are now embracing our journey in delivering Cloud first solutions to delight our customers.

With top adopters such as Lyft, Cisco, and eBay - not only do our products work at lightning speed, so do we.

We are an open and collaborative company. Our colleagues are curious, engaged and excited about what they do. If you want to work in an environment where you can learn, grow, be an agent of change and have your voice heard - then please read on!

We are currently hiring for this role in the United States. This is a remote position; it is not office-based.

We are currently growing our customer support team at ClickHouse who provides excellent service to our customers around the world. We hope to find you ready to take on a large variety of tasks related to our customers locally in North America as well as more regionally across EMEA and APJ. You will be owning a wide variety of tasks: from support tickets to community support, helping with both pre- and post- sales customer activities, partnering with our Go To Market team with deeply technical aspects of POCs, and suggesting improvements to how we do things in Support at ClickHouse. This is a great opportunity for someone ready to roll-up their sleeves and help us expand our global support presence!

What you will be doing:

Work closely with the Support Services team, Engineering, and Product Management to help define functionality required by users and customers
Develop solutions based on ClickHouse Cloud and ClickHouse open-source that can be shared with our users, community, and customers via documentation, knowledge base, blogs, meetups, webinars, and training
Assist with mentoring, training, and sharing your knowledge with colleagues, users, and customers


And of course:

You will deliver excellent customer service as a front-line engineer and representative of ClickHouse. Our Support Engineers provide professional response, on call coverage, and guidance within the required Service Level Agreement (""SLA"") on technical cases that are opened via a ticketing system, email, Slack, and/or phone
You will build strong, trusted relationships with colleagues, customers, and partners


What you will bring along:

Prior experience within a technical support organization
Technical breadth and depth in relevant subjects, for example: ClickHouse DBMS or similar OLAP or SQL databases, experience with Cloud/SaaS platforms, Linux/Unix experience, experience with Kubernetes and containers, System or Network Administration experience
Be present and available according to the scheduling and any onsite travel required to deliver high-quality 24x7 Support in a global, distributed environment
Strong written and verbal communication skills
Experience in a customer-facing role that entailed pre- and post-sales support, solution or sales engineering, consulting, and/or training
A mindset of teamwork, global engagement, empathy, and solving challenging problems
A sense of adventure and urgency in building the most scalable, highest performing, largest, and fastest databases on the planet
Self-driven, curious, and eager to continuously learn and grow


Bonus points:

Demonstrated success in collaborating with software developers, product managers, account representatives, and a user Community to deliver an amazing user and customer experience
Passion for applying open-source software technology to massive data sets in order to solve complex questions and improve the world in which we live


New York Area / San Francisco Area - Salary Range

$112,000 — $167,000 USD

Washington State - Full Salary Range

$95,200 — $141,950 USD

General US Remote Salary Range

$95,200 — $141,950 USD

Los Angeles, CA / Washington, DC - Salary Range

$100,800 — $150,300 USD

Seattle, WA - Full Salary Range

$100,800 — $150,300 USD

Compensation

This role offers cash compensation and a stock options grant. For roles based in the United States, you can find above our typical starting salary ranges for this role, depending on your specific location.

The positioning of offers within a certain range depends on various factors, including: candidate experience, qualifications, skills, business requirements and geographical location.

If you have any questions or comments about compensation as a candidate, please get in touch with us at paytransparency@clickhouse.com .

Perks

Flexible work environment - ClickHouse is a distributed company offering remote-first work to all employees
Healthcare - Employer contributions towards your healthcare.
Equity in the company - Every new team member who joins our company receives stock options.
Time off - Flexible time off in the US, generous entitlement in all countries.
A $500 Home office setup if you’re a remote employee.
Employee-driven international mobility - we enable you to relocate internationally if you wish (within certain countries and timelines and subject to role requirements, time zones and work permit considerations)


Culture - We All Shape It

As part of our first 200 employees, you will be instrumental in shaping our culture.

We look for candidates who are:

Motivated by doing great work as part of a team :)
Open to learning from others and sharing with others
Team Players: helpful, resourceful, responsive
Respectful and see feedback as an opportunity to grow


Are you interested in finding out more about our culture? We are a one year old company therefore we are excited to be building it together at the moment. Our first 200 employees are the culture shapers of our future. Check out our blog posts or follow us on LinkedIn to find out more about what’s important to us, and to find out if you’d like to come and contribute to building our culture with us!

Please see here for our Privacy Statement."
Technical Support Engineer,Technical Support Engineer,Atlas Search,May,2024,"One of the most reputable Hedge Funds in the NY area that has been around since the 1960's. They've consistently been known to hire some very talented Engineers and Technologists as they believe this is the backbone of their business.

They want to add Desktop Support Analyst, where you would be responsible for the design, implementation, operations, maintenance, and improvement of all systems, including Active Directory, Teams, and related systems.

Requirements:
Windows/Microsoft Office experience
Bachelors degree preferred
3+ Years of experience

The annual base salary range is $100,000 to $140,000. The actual compensation offered to the successful candidate may vary from posted hiring range based on geographic location, work experience, education, and/or skill level, among other things. Details about eligibility for bonus compensation (if applicable) will be finalized at the time of offer."
IT Support Engineer,IT Support Engineer,Edged,May,2024,"The IT Support Engineer will be a vital member of the leadership team of the North American division of Edged Data Centers. In this position you will work directly with the Edged IT Director and Edged staff and be responsible for being the primary IT support and technical specialist. We are looking for someone who can execute from start to finish. You will be responsible for troubleshooting technical issues and providing solutions. Attention to detail and the ability to keep day-to-day operations stable will be crucial.

The IT Support Engineer needs to be an agile, team-focused individual, with proven professionalism, who is comfortable in a rapidly changing environment. The right person is trustworthy with confidential information, highly organized, self-motivated, has excellent communication skills, can think strategically, and works equally as well independently as with a team. Edged strives to maintain smooth operations and achieves this by empowering our people, by providing autonomy and flexibility in the way we work, by developing a habit of constant, open communication, and by creating a culture of excellence, appreciation, trust, and respect.

About Edged
Edged is a fast-growing global network of carbon neutral, zero-water data centers that leads the industry in energy efficiency. Edged is backed by a deep proprietary technology stack including advanced waterless cooling, renewable microgrid systems, ultra-clean generators, and waste-to-fuel solutions. The platform is designed for rapid deployment and has so far announced nine major projects in construction in the U.S., with many more in development.

The North American division of Edged is a joint venture between an affiliate of Endeavour and one of the largest private multinational corporations with business lines including technology, energy, engineering, as well as other materially related economic sectors. Endeavour is a purpose-driven organization helping innovators to develop and launch solutions for global challenges in the areas of energy, water, and waste to guarantee renewable energy and clean water to everyone, everywhere. Endeavour companies are made up of passionate change-makers who want to leave the world better than the way we found it. Today, Endeavour is deploying solutions that are immediately scalable and profitable, including EV charging, data center cooling, and energy systems.

Key Responsibilities
Include but are not limited to:
Serve as the first point of contact for users seeking technical assistance from our corporate and data center environments.
Perform remote troubleshooting through diagnostic techniques and pertinent questions.
Determine the best solution based on the issue and details provided.
Walk the user through the problem-solving process.
Direct unresolved issues to the next level of support personnel.
Provide accurate information on IT products or services.
Record events and problems and their resolution in tickets.
Pass on any feedback or suggestions by users to Edged & Endeavour IT internal teams.
Identify and suggest possible improvements to procedures and processes.
Create IT knowledgebase articles and update existing articles accordingly.
Complete all support and administrator requests of Microsoft 365 and other SaaS platforms.
Procure requested hardware equipment and maintain asset inventory list.
Assist with IT technical implementations to meet business requirements
Other duties as assigned.

Skills & Requirements

Education / Experience
3+ years' experience in IT support, troubleshooting, problem solving and operations.
Two-year associate degree in information technology, computer science or related field.
IT support experience in data center/microgrids/mission critical facilities preferred.
Possesses professional IT certifications (A+, Sec+, Azure, AWS) preferred.

Specific Skills / Abilities
Critical Thinker
Work in a fast-paced environment
Solve complex problems
Strategies and scale ideas and solutions
Trustworthy and reliable
Self-Starter and ability to work independently
Ability to work with technical and non-technical staff
Strong written and verbal communication skills

Great Place to Work
Enjoy…
A fast-paced, entrepreneurial culture focused on innovation.
A flexible, autonomous work environment.
A culture of respect, learning, and excellence.
Experienced, highly talented experts as team peers.
Growth and travel opportunities.
A team of change-makers having a significant impact on people and the planet.

Position: IT Support Engineer
Full-Time or Part-Time: Full-Time
Reports to: IT Director
Location: Remote

Contact: edcrecruiting@edged.us"
IT Support Engineer,IT Support Engineer,ACT Group,May,2024,"More About The Job

ACT Commodities is the world’s leading provider of market-based sustainability solutions. As a pioneer of the global energy transition, ACT helps organizations hit their climate targets, no matter how ambitious. Since 2009, ACT has become a trusted brand in high-impact climate projects, green electricity markets, renewable energy, emission allowances and carbon offsets. With a growing portfolio of over 70 products in 40 plus countries, ACT builds its relationships on trust and fosters an entrepreneurial environment.

Our Amsterdam, New York, Paris, Shanghai, and Singapore teams deliver tailor-made solutions backed up by extensive market knowledge. We are a fast-paced and forward-thinking organization that believes that we are better together!

Our IT team is responsible for the global ACT IT landscape and further strengthens the solid base that has already been laid out. As a rapidly growing company, we need IT Support talent to strengthen and support our team. We continuously evolve in all segments of IT to fulfil the constant demands of the trading floor and bring new techniques and technologies for efficient trading. Together with our vendors we can pioneer and innovate on a global scale and help further strengthen the market leader position of ACT.

Key Responsibilities

Member of a dynamic IT Support team which acts as a primary contact for IT related queries and incidents
Perform hardware and software installations, configurations and updates as needed for continuous improvement process
Coordinate with developers and all third-party vendors to fix production issues and enhancements as well as onboarding new projects
Write documentation using JIRA/Confluence or similar tools for repositories and knowledge base

Key Requirements

3-5 years experience in an IT Support role, preferably in the finance domain
Understanding of workstations and Microsoft OS and Office applications, Windows AD/AZURE hybrid environment
Experience working on Intune, SharePoint and Teams and its troubleshooting
Understanding of incident/problem management with excellent communications skills
Self-motivated with strong customer focus and problem-solving skills
Strong troubleshooting and communication skills with “extra-mile” strive for results
ITIL certification is a plus
Bachelor’s degree or higher in IT & Business or equivalent

Salary Range: $100,000-$115,000

Actual base pay may vary based on various factors such as job-related knowledge, skills, level and experience. The base pay is just one component of the total competitive compensation package for employees.

ACT Commodities Inc. is an Equal Opportunity Employer. All employment decisions at ACT Commodities, Inc. are made without regard to race, color, ethnicity, national origin, age, citizenship status, physical or mental disability, religion, creed, gender, sex, sexual orientation, gender identity or expression, genetic information, marital status, family or parental status, status with regard to public assistance, military or veteran status, or any other characteristic protected by applicable federal, state, or local law."
System Support Engineer,System Support Engineer,Billtrust,May,2024,"What You'll Do:

The Systems Support Engineer proactively monitors, supports and reports on all electronic operations and applications to guarantee reliability and availability for our Software-as-a-Service (SaaS) platforms. This position provides support to a variety of internal teams in the troubleshooting and analysis of technical issues affecting customer-facing solutions. The Systems Support Engineer is responsible for the resolution of internal issues to ensure 24x7 systems availability.

This position requires working a later shift; 10 am - 7 pm EST OR 11 am - 8 pm EST (Monday-Friday)

Proactively monitor applications and system performance in production environments, using tools such as Datadog or similar
Respond to and troubleshoot complex issues with our SaaS products and electronic operations
Write SQL statements to fix application data issues
Serve as a resource for development teams on code deployments and release management
Identify system/application shortcomings and recommend solutions
Create and maintain documentation
Automate tasks and create efficiencies by writing scripts in applicable data tools
Serve as a primary point of contact for internal production issues
Work with the systems/network engineering teams to resolve complex issues within specific service level agreement times

What You'll Bring to the Team:

Bachelor’s degree in Computer Information Systems, Engineering or related discipline (or equivalent experience) - 3+ years of proven success in a fast-paced 24x7 production environment
Ability to proactively monitor application and system performance to ensure reliability and availability
Demonstrated experience in troubleshooting complex technical issues
Ability to write and execute SQL scripts
Demonstrated ability to automate with Powershell or a similar scripting language
Solid understanding of supporting applications in a Windows server environment
Experience with Linux nice-to-have
Understanding of monitoring database performance; experience with SQL server preferred
Experience supporting applications hosted in Azure preferred
Ability to manage changing priorities in a fast-moving, dynamic environment
Ability to communicate effectively with all levels of the business including peers, technical management, customers and/or external vendors
Strong ability to work in a collaborative, team environment
Experience in a SaaS and/or online payments business preferred
Ability to work a staggered/flexible schedule as needed, with rotational on-call duties (10 am - 7 pm EST OR 11 am - 8 pm EST (Monday-Friday))

The expected base salary range for this position is $65,000.00 - $78,000 annually.

Compensation may vary depending on several factors, including a candidate’s qualifications, skills, experience, competencies, and geographic location. Some roles may qualify for extra incentives like equity, commissions, or other variable performance-related bonuses. Further details will be provided by our Talent Acquisition team during the interview process.

Don't meet every single requirement? Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single qualification. At Billtrust, we celebrate and support diversity and are committed to creating an inclusive environment for all employees. So, if your experience aligns but doesn't exactly match each and every qualification, apply anyway. You may be exactly what we are looking for!

What You'll Get:

Work from Anywhere: Your home, a coffee shop, a company paid WeWork.... you decide!
A Culture that Lives its Values: Our values are not just words or window dressing, they guide our decisions - big and small - each and every day.
Flexible Working Hours: We support your lifestyle- the results are what count.
Open PTO: Work-life balance is important. We believe in giving our employees time to truly relax and recharge.
Sabbatical: A paid leave to reward longevity and commitment to Billtrust.
Paid Parental Leave: To promote parent-child bonding and increase gender equity at home and in the workplace.
Opportunities for Growth: Professional development can take many shapes. Join one of our seven ERGs or participate in our Mentor-Mentee, and Leadership development programs- we foster an environment where all employees can grow.
Recognition: From Billtrust Bucks and CEO Shoutouts to Culture Champion and CEO Excellence Awards, our employees are recognized for hard work and outcomes achieved.
Benefits: Medical, dental, vision, 401(k) with company match, short-term and long-term disability, flexible spending accounts, HSA, and life, cancer, and AD&D insurance.
Minimal Bureaucracy: An entrepreneurial environment of ownership and accountability allows you to get work done.

Who We Are:

Finance leaders turn to Billtrust to control costs, accelerate cash flow and improve customer satisfaction. As a B2B order-to-cash software and digital payments market leader, we help the world's leading brands get paid faster while transitioning from expensive paper invoicing and check acceptance to efficient electronic billing and payments. With over 2,600 global customers and more than $1 trillion invoice dollars processed, Billtrust delivers business value through deep industry expertise and a culture relentlessly focused on delivering meaningful customer outcomes."
Desktop Support Engineer,Desktop Support Engineer,Anastasia Beverly Hills,May,2024,"Anastasia Beverly Hills is looking for an experienced Desktop Support Engineer who excels at servicing internal resources with network, endpoint, and software related issues. The position is and must be available to support our Beverly Hills and Pico Rivera locations should the need arise. The ideal candidate will have experience working with a ticket-based work system and will enjoy helping team members with day-to-day system issues. With the requisite technical background, the typical day for the Desktop Support Engineer will involve the following tasks:

First point of contact for end users via ticket system
Walk end-users through installing applications and computer peripherals
Guide users with simple, step-by-step instructions
Conduct remote troubleshooting
Test alternative pathways until a resolution is achieved
Customize desktop applications to meet user needs
Record technical issues and solutions in logs
Direct unresolved issues to the next level of support personnel
Follow up with end-users to ensure their systems are functional
Report customer feedback and potential product requests
Create technical documentation and knowledge base articles
Onboard and Offboard new team members
Configure and image end-user hardware (laptops, mobile devices, tablets, etc)
Provide progress reports as needed and in weekly team standups

Requirements
Proven work experience as a Desktop Support Engineer, Technical Support Engineer, or similar role
Excellent oral and written communication skills
Exceptional analytic and problem-solving skills, with the ability to think creatively and outside the box
Ability to work independently with minimal supervision
Ability to work successfully with managed service and support providers
Participates in developing procedures and suggesting improvements to existing procedures.
Effectively escalates company issues and follows-up to make sure they are taken care of promptly.
Documents all communication in the trouble-ticketing application.

Technical Skills
Ability to perform remote troubleshooting and communicate clear instructions to end users with limited technical skills
Customer-oriented attitude
Knowledge of network security practices and anti-virus programs
Experience supporting Windows 10 & 11
Experience supporting Apple environments (iOS and MacOS)
Familiarity with Windows Server 2012/2016, particularly Active Directory
Familiarity with cloud services (Microsoft 365, G Suite, Azure AD)
Familiarity with MDM solutions (MaaS 360)
Familiarity with troubleshooting and managing DNS, DHCP, VPN, and other network/server related services
Familiarity with Meraki firewalls, Meraki switches/APs, Dell servers, Ubiquity/Ruckus managed wireless systems.
3-4+ years On-Site Desktop Support
3-4+ years supporting Microsoft Windows, iOS, and MacOS
3-4+ years experience supporting Microsoft Office 365
3-4+ years experience supporting Spyware and Antivirus software
3-4+ years experience configuring, troubleshooting, and repairing desktop and/or laptop computers.

Anastasia Beverly Hills offers a competitive compensation package with full benefits and a 401(K) plan with matching contributions from the company. The starting base salary range for this position in the selected city is $70,000.00- $80,000.00 yearly. Compensation may vary outside of this range depending on several factors, including a candidate’s qualifications, skills, competencies, experience, and geographical location. Base pay is one part of the total compensation package that is provided to compensate and recognize employees for their work. This role is bonus eligible."
Application Support Engineer,Application Support Engineer,TechHuman,May,2024,"Join Our Team and Make a Real Impact in Healthcare!
Title: Application Support Engineer
Location: 100% On-Site (San Antonio, TX )
Responsibilities:
Provide exceptional technical support for a variety of healthcare applications, including Agfa Enterprise Imaging, LifeImage, Provation, PowerScribe, and more (see full list below).
Troubleshoot and resolve application issues efficiently and accurately.
Collaborate with internal teams and vendors to ensure optimal application performance.
Document solutions and maintain a knowledge base for future reference.
Stay up-to-date on the latest healthcare technology trends.
Bonus points if you have:
Experience supporting applications in a hospital environment (We understand the specific needs of this setting!)
Familiarity with medical imaging systems
Why Join Us?
Make a Difference: Your work will directly impact patient care and improve the overall healthcare experience.
Phenomenal Benefits: We offer a comprehensive benefits package that includes health insurance, vision insurance, dental insurance, and more.
Supportive Team Environment: You'll collaborate with a small, dedicated team that values open communication and mutual support.
Growth Opportunities: Be part of a large, growing organization with ample opportunities for professional development.
Give Back to Your Community: Work for a company that's committed to serving and improving the health of our local community.
Must Haves:
2+ years of experience in Application Support (hospital experience a big plus!)
Ability to work 100% on-site
Please list any clinical applications you have supported in your application.
Ready to make a real impact? Apply today!
Applications
Agfa Enterprise Imaging
LifeImage
Provation
PowerScribe
AS
Medis
IQQA
TeraRecon
ISP
Ascend
4DM
TomTec
Rapid
DynaCAD
TCP/IP
FTP"
IT Support Engineer,IT Support Engineer,OneTrust,May,2024,"Strength in Trust

OneTrust is the trust intelligence cloud platform organizations use to transform trust from an abstract concept into a measurable competitive advantage. Organizations globally use OneTrust to enable the responsible use of data while protecting the privacy rights of individuals, implement and report on their cyber security program, make their social impact goals a reality, and create a speak up culture of trust. Over 14,000 customers use OneTrust's technology, including half of the Global 2,000. OneTrust currently ranks #24 on the Forbes Cloud 100 list of top private cloud companies in the world and employs over 2,000 people in regions across North America, South America, Asia, Europe, and Australia.

The Challenge

We are looking for a skilled IT Support Engineer to join our IT Operations Team. IT Support Engineers report to the IT Manager and are focused on providing technology support and operational stability to the organization’s internal systems. This role involves troubleshooting and resolving IT issues, maintaining our IT infrastructure, and assisting in the implementation of new IT solutions.

This is a hybrid role that will require you to be on site in OneTrust’s Atlanta office 3-4 days per week.

Your Mission

As An IT Support Engineer, You Will

Troubleshoot Windows and macOS hardware, software, and network issues
Administer and support IT systems and applications (Azure AD, MDM, etc.)
Provide technical support for SaaS productivity and collaboration tools
Manage and troubleshoot office technologies such as Teams conference rooms and enterprise network
Monitor the ticket queue and address, escalate, and resolve tickets using documented processes and critical thinking
Perform system deployments, application configurations, and security policy enforcements
Participate in the execution of IT projects
Collaborate with other IT team members to deliver consistent and reliable IT services

You Are

You are someone with a passion and curiosity for technology, strong problem-solving skills, and the ability to quickly learn while creatively applying new concepts. You have excellent technical, communication, and interpersonal skills and the ability to address user needs in a timely and professional manner. The ideal candidate will be self-motivated and proactive, and will lead key tasks such as user onboarding, ensuring IT service delivery, and documenting best practices and procedures.

At least 3 years in an IT Support/Administrator role in a global company
Strong experience supporting Windows and macOS hardware and software
Working knowledge of Microsoft Azure AD and Microsoft 365
Experience in a cloud native company supporting SaaS like Atlassian, Zoom, Monday.com, Salesforce, etc.
Experience providing support for iPhone and Android devices
Familiarity with ITSM ticket tracking tools such as Jira
Ability to work collaboratively in a team environment supporting global employees in both in-person and remote settings
Technical certifications such as Microsoft Azure Administrator, ITIL, and CompTIA (A+, Network+, etc.)
Experience managing IT projects
Experience with automation and scripting

Extra Awesome

Technical certifications such as Microsoft Azure Administrator, ITIL, and CompTIA (A+, Network+, etc.)
Experience managing IT projects
Experience with automation and scripting

For California, Colorado, Connecticut, Nevada, New York, Rhode Island, and Washington-based candidates: the annual base pay range for this role is listed below. Within this range, individual pay is determined by several factors, including location, job-related skills, work experience, and relevant education and/or training. This role may also be eligible for discretionary bonuses, equity, and/or commissions, as well as benefits.

Salary Range

$67,500—$101,250 USD

Where we Work

OneTrust embraces a hybrid working model. Our Working@ OneTrust initiative is our way of clarifying where we hire, how we work together, and where we’re located in that hybrid model.

The underlying “why” for Working@ is that we are intentional about the culture that we want to create together. That includes bringing teams together, in-person, throughout the year to collaborate, build connections, learn from each other, and celebrate our wins to Finish Stronger.

We are committed to a flexible approach informed by a set of guiding principles. You’ll see that reflected in our worker designations: “Office-flex” and “Location-flex”.

Office-flex: Like a traditional hybrid model, OneTrust “Office-flex” employees may be asked to work in an office periodically if they are within a commutable distance to a OneTrust office. This includes coming into the office for our Company Kickoff, Company All Hands, and other larger company events. Beyond that, we give our leaders and teams the flexibility to set additional guidelines based on the nature of your role.
Location-flex: Similar to other companies’ remote policies, for OneTrust “Location-flex"" roles, you will primarily work from your home office location. However, you may be required to travel to our OneTrust offices or customer sites periodically based on the nature of your role.

Each role may have specific requirements, so we encourage you to verify the location of the role with your recruiter during your first interview.

Benefits

As an employee at OneTrust, you will be part of the OneTeam. That means you’ll receive support physically, mentally, and emotionally so that you can do your best work both in and out of the office. This includes comprehensive healthcare coverage, flexible PTO, equity stock options, annual performance bonus opportunities, retirement account support, 14+ weeks of paid parental leave, career development opportunities, company-paid privacy certification exam fees, and much more. Specific benefits differ by country. For more information, talk to your recruiter or visit onetrust.com/careers.

Resources

Check out the following to learn more about OneTrust and its people:

OneTrust Careers on YouTube
@LifeatOneTrust on Instagram

Your Data

You have the right to have your personal data updated or removed. You also have the right to have a copy of the information OneTrust holds about you. Further details about these rights are available on the website in our Privacy Overview. You can change your mind at any time and have your personal data removed from our database. In order to do this you must contact us and let us know you wish to be removed. The request should be made on the Data Subject Request Form.

Our Commitment to You

When you join OneTrust you are stepping onto a launching pad — the countdown has begun. The destination? A career without boundaries working alongside a diverse and inclusive crew who is passionate about doing meaningful work. As a pioneer, your voice and expertise will help chart the direction of an entirely new industry — Trust. Our commitment to putting people first starts with you. Your growth is part of the mission. Our goal is to give you the power to embark on the next phase of your uniquely, unique career

OneTrust provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by local laws."
Information Technology Support Engineer,Information Technology Support Engineer,Ashton Solutions,May,2024,"Take the next step in your IT career as an IT Systems Engineer with a supportive team, tons of room for career growth, competitive salary, and comprehensive benefits!

Ashton Solutions is a fast-growing MSP servicing business across the Northeastern Ohio Region. We are looking for an L2 IT Engineer to become a part of our collaborative team. You’ll troubleshoot a wide variety of end-user environments with senior engineers and get the hands-on technical experience that will grow your career.

Position Highlights:
$55,000+ scalable based upon experience
Retirement plan, PTO, health insurance benefits, and bonus plan
Remote/Hybrid work schedule (up to 2 days remote) after training completed
Friendly, people-focused management and technical mentors
What You’ll Do:
Support common business applications (O365) via email, phone, and on-site support for 100+ SMB’s
Maintain client networks and network security (LAN/WAN, firewalls, access points, switches)
Troubleshoot a wide variety of on-premises, and cloud environments
Oversee new and existing equipment, hardware, and software upgrades
Provide guidance to junior members of the team
Participate in implementing network security solutions.
Prioritize tickets, set client expectations, provide incredible customer service, and accurately document client issues
Skills You’llNeed:
Strong interpersonal skills, positive mentality, and ability to change tasks rapidly—as a service business, we expect the unexpected to disrupt our plans
Confidence and commitment to top-tier customer service in a fast-paced environment
Ability to stay organized and follow tasks through to completion with accuracy
Willingness and ability to learn new applications and skills
2+ years of hands-on PC support experience
Office 365 experience
Proficient knowledge of different hardware platforms, cloud services, and line of business applications
Ready to apply?
Quick apply with your resume

OR
Get a head start on the application process through our online portal here:

https://www.ondemandassessment.com/link/index/JB-JGDF215W0?u=1049388"
Technical Support Specialist,Technical Support Specialist,ChiroTouch,May,2024,"Job Title: Technical Support Specialist

Department: Customer Success

Reports To: Customer Success Manager

Our Company:

At PracticeTek, we believe healthcare should be easy for providers, accessible for patients, and simple for everyone involved.

PracticeTek was established by healthcare professionals and entrepreneurs who share a common goal: deliver seamless, high-quality, on-demand healthcare, free of the confusing limitations of traditional technological platforms.

PracticeTek is a collection of innovative software companies working together to make healthcare easier, and more accessible, for everyone. We deliver robust software solutions that support practitioners, and foster exceptional patient experiences, contributing to the growth of healthcare clinics specializing in chiropractic, dental, orthodontics, optometry, and multi-discipline therapy.

Doctible is a technology company that provides patient communication and online reputation management software for healthcare practices. The company's software is designed to increase production, streamline communication, help improve patient satisfaction, and increase revenue. With a focus on innovation and customer satisfaction, Doctible is a trusted partner for healthcare practices of all sizes. If you are passionate about technology and healthcare, Doctible may be the right place for you.

The Customer Success Department:

At Doctible, our Customer Success team serves as the cornerstone of customer satisfaction. We believe in going the extra mile to ensure that every aspect of our customers' needs are addressed promptly and with the highest level of care. Our support representatives are dedicated to becoming experts in our product, enabling them to efficiently resolve any issues that arise.

In this position, you'll have the opportunity to become a superhero for our customers, guiding them through the ins and outs of the Doctible platform. Through comprehensive training, you'll learn how to effectively manage and prioritize customer inquiries, providing both product and technical support as needed. Collaboration with

your colleagues and other departments will be key as you work to deliver timely solutions and exceptional service to our valued customers.

The Career Opportunity:

The Technical Support Specialist role has several responsibilities. One of the primary duties is onboarding new clients by integrating Doctible’s software with their patient management system. This is done through remote accessing onto clients’ servers and performing a remote install. This role owns the integration component, it is a very crucial component of our business.

In tandem with software integrations, a technical support specialist will provide support or manage a broad range of customer support related tasks. These include troubleshooting technical issues with our services, website management, vendor communication, and much more. This is an ideal position for a proactive and enthusiastic person who enjoys working with technology, customers, solving problems and staying busy with varied tasks. It is also a role where you will be offered as much responsibility as you are able or willing to handle, in addition to ongoing training and growth opportunities. We are rapidly growing!

Areas of Accountability:

The Technical Support Specialist has responsibility for the following outcomes:

Onboard a steady stream of new customers by remotely deploying Doctibles software onto our customers systems
Troubleshoot technical inquiries surfaced by the customer support team
Manage advanced Tier 2 support issues with software development and 3rd party partners
Keep accurate records and ensure processes are well documented
Help our customers get the most from our platform, solve problems as they arise, and escalate matters to the appropriate channels as needed


Competencies for Success:

Minimum of 1 year of Customer Support experience
Background and interest in technology: Must have solid computer skills, and the ability to adapt and learn technology quickly
Skilled at explaining technical problems and issues in detail to developers and can adjust your language to simple terminology to support your customers
Knowledge of Windows operating systems, remote desktop tools, G-Suite, and ticketing systems
Maintain high standards of integrity and accountability
Must be hungry to learn, caring towards others, and creative in your problem solving


At Doctible (part of the PracticeTek family of companies) we carefully consider a wide range of compensation factors to determine our offers of employment. This includes internal and external market factors as well as your individual experience and skills. These considerations can cause compensation to vary but we reasonably expect to pay between $33050-$68650 for this position.

PracticeTek is an Equal Opportunity Employer that values employees with a broad cross-cultural perspective. We strive to create an inclusive environment, empower employees, and embrace diversity. We encourage everyone to respond. All applicants will receive fair and impartial treatment without regard to race, color, religion, sex, national origin, ancestry, citizenship status, age, legally protected physical or mental disability, protected veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or on any other basis which is protected under applicable federal, state, or local law."
