Position,Company_Name,Location,Post_Month,Post_Year,Details
Power bi analyst Tampa dallas ref,Power bi analyst Tampa dallas ref,Executive Staff Recruiters / ESR Healthcare,May,2023,"Company Profile

esrhealthcare.com.mysmartjobboard.com

Power bi analyst Tampa dallas

Experience level: Associate Experience required: 5 Years Education level: Bachelor’s degree Job function: Human Resources Industry: Financial Services Pay rate : View hourly payrate Total position: 1 Relocation assistance: No

This role is Contract to Hire !

Main focus: Resource should have advanced proficiency in Power BI Desktop

Principal Responsibilities:

Business Process Management and Modeling

Analyzes business processes and derives functional requirements.

Designs functional processes by analyzing requirements, constructing workflow charts and diagrams.

Creates conceptual, logical and physical data model structures and reusable data flows

Describes data attributes.

Understands data relationships and dependency rules Graphical User Interface Design and Usability Integration of Business functions and services.

Assists in the development of Test scripts.

Ensures functional accuracy through peer review process.

Participates in aspects of SIT execution an defect reviews; supports user acceptance testing Process automation.

Recommends controls by identifying gaps and designing solutions to automate manual processes Provides process methodology support for their team members and projects Awareness of Security and Privacy Risks Company best practices, standards and regulations

Adheres to standards (ex: ISO messaging standards option; IOSCO principles compliance)

Recommends and promotes solutions that support best practices

Contributes and supports functional best practices in department Maintains system documentation Maintains professional and technical knowledge by participating in continuing education; reviewing professional publications; establishing personal networks

Power Query and coding fundamentals (ability to use M language to build loops, pull APIs, etc.)

Proficient Data Transformation experience (Cleansing, Aggregation, Filtering, Merging, Appending, Advanced Logic)

Proficient Data Architecture and Modeling experience (Structuring Tables, Attributes, and Relationships [One-to-One, One-to-Many, Many-to-One, Many-to-Many])

Data Sourcing Experience (including assessing data completion, accuracy, business readiness, stating assessments, etc.)

Understanding business requirements (ability to translate business questions into data/technical questions)

Experience:

Minimum of 3 years' experience in IT (1 year of experience in application development and/or testing)

Nice to have:

ETL (Extract, Transform, and Load) Knowledge as well as Power Automate (Microsoft Flow) and Power Apps experience

Powered by Webbtree"
Business Intelligence Analyst - Sales,Business Intelligence Analyst - Sales,Signode,April,2024,"About Signode:
With over $2B in revenue, 80+ manufacturing facilities across 6 continents and over 9,000 employees worldwide, Signode is a leading manufacturer of a broad spectrum of transit packaging consumables, tools, software, and equipment that optimize end-of-line packaging operations and protect products in transit. Signode brings this extensive product portfolio together under hundreds of trusted brands to offer complete transit packaging solutions to its customers.
We produce strap, stretch and protective packaging. We also manufacture packaging tools and equipment used to apply the bulk packaging materials. These commercial packaging products are used to pack, bundle, unitize, protect, and secure goods during warehousing and transit. Our company is a pioneer in the industrial packaging sector with a long history of customer-focused innovations in materials, processes and automation technology that have revolutionized the sector.
Headquartered in Tampa, Florida, we are proud to be the Transit Packaging Division of Crown Holdings, Inc. We are excited to go to market as Signode and to share the portfolio of products, services and capabilities that make us the world’s premier end-of-line packaging company.

Benefits:
Signode offers a comprehensive benefits package to full-time employees, which includes health, dental, vision, 401k, paid time off, life insurance, wellness perks, and more. Benefits begin the month following the hire date.

Summary:
The Business Intelligence Analyst will be instrumental in supporting the Americas commercial team with timely, insightful data analytics and reporting to the VP of Sales Operations, while looking for opportunities to improve business processes and the flow of information to the commercial team and to our customers. Cross-functional collaboration with the Commercial (Sales, Marketing, Product Development), Finance, Supply Chain, and Customer Experience functions will be important to success in this role.

Essential Functions:
analysis and reporting; supporting the commercial team with regular and ad hoc reports.
data analytics to identify trends and opportunities to improve sales productivity.
closely with regional sales leaders to drive new, data-driven, business opportunities.
closely with the commercial operations and supply chain teams to create and track key business metrics to improve our processes.
cross-functional collaboration between sales, customer service, supply chain, IT and finance.
business process changes, pricing changes and business updates to commercial team.
sales leadership with projects and tasks as needed.
sales team with questions and training.

POSITION QUALIFICATIONS

Education and Experience:
degree in Business Administration or Computer Science / Data Analytics
of 5 years combined experience in a commercial sales support function within a complex, fast-moving organization in a Business Analytics function.
proficiency in MS Suite products (specifically Advanced Excel, Word, PowerPoint, Power BI, Visio, and Outlook)
to analyze large and multi-dimensional data sets.
with data warehousing and architecture tools, including SQL.
CRM Skills, Microsoft D365 and AX/SX is a plus.
or Portuguese language knowledge is an advantage.

Interpersonal, Communications and Influencing skills:
be comfortable working with all levels in the organization.
be comfortable working with different cultures throughout the Americas.
be flexible and agile to adjust to changing needs of the business.

Business and Financial Acumen
Competencies
Management

Functional Success Drivers: These competencies are what we require for an individual to be successful in this role.
Analysis Skills
Problem Solving
Adaptability
Communication
Results-Oriented
Tenacity
Time Management

Reasonable Accommodation Statement
To perform this job successfully, the individual must be able to perform each essential duty satisfactorily. Reasonable Accommodations may be made to enable qualified individuals with disabilities.

The Company has reviewed this job description to ensure that essential functions and basic duties have been included. It is intended to provide guidelines for job expectations and the employee's ability to perform the position described. It is not intended to be construed as an exhaustive list of all functions, responsibilities, skills and abilities. Additional functions and requirements may be assigned by supervisors as deemed appropriate. This document does not represent a contract of employment, and the Company reserves the right to change this job description and/or assign tasks for the employee to perform, as the Company may deem appropriate.

Signode Industrial Group, LLC is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status."
Business Intelligence Analyst/Engineer,Business Intelligence Analyst/Engineer,Valant,May,2024,"Join our growing team where you will help customer operations and clinical productivity through the creation of BI and reporting solutions that help turn data into better outcomes for our customers:

What We Are Looking For
You have a solid knowledge of business intelligence and data reporting/analytics
You like to dig deep until you understand everything about the data and how it can guide customers
You relish data accuracy and clarity
You like learning and staying up to date on new tools and technologies for data mining
You are entrepreneurial and can work independently and collaboratively to help support and develop new customer facing programs related to technical services

What You’ll Do:
Work with our external customers and internal customers (business teams/product) to understand requirements needed to craft BI solutions and other technical deliverables (e.g. operational and clinical reports, data feeds into data warehouses and data focused partner integrations)
Work with the CEO and other stakeholders to help develop the Valant Practice Services program which is designed to support customers with Custom Reports and Mobile Notes templates and Medical Billing and Practice Management consultation.
Develop, maintain, optimize and test reports and visualizations on our existing reporting platform
Generate data for ad hoc queries from internal customers
Debug and troubleshoot data quality problems
Work with the R&D team to model data for optimal reporting and analytics

What You’ll Need:
Two or more years’ experience using software and reporting tools such as SSRS, Report Builder, Cognos, Tableau, BI Publisher, PowerBI
Proficiency in SQL and working with structured data a must
Excellent communication, project management and client partnership capability
Experience using Agile Software development process
A proven ability to succeed in a fast-paced changing environment requiring creativity, independent judgement and ability to manage multiple priorities

What We Offer:
Flexible work schedule (on site or remote)
Competitive compensation package, including 100% employer-paid medical, dental, and vision premiums
Employer contribution to Health Savings Account (HSA)
Generous paid time off policy
Bonus plans
401k
Company-paid ORCA pass
Salary range for this position is $95,000 - $120,000.

This position can be 100% remote, but employees must be located in: California, Florida, Georgia, New Jersey, Oregon, Texas, South Carolina, Utah, or Washington state.
US Citizens and Green Card holders are encouraged to apply. We are unable to sponsor visas at this time."
Power BI Business Analyst,Power BI Business Analyst,Randstad USA,May,2024,"Job Summary

Must be local to Orlando FL. Hybrid 2-4 days in office

Are you a Sr. Business Analyst looking to grow your career with a Fortune 100 company with high international brand recognition? If so, we have a contract position with the opportunity to convert to a permanent employee. This position offers excellent pay, benefits, and an opportunity to work with one of the top leaders in the IT and entertainment space.

Required Skills

2+ years' experience creating and maintaining dashboards in PowerBI (experience w/ dashboards in Tech-related field preferred)
2+ years' experience creating and maintaining dashboards in Grafana (experience w/ dashboards in Tech-related field preferred)
Proven experience providing data analysis (basic calculations, data manipulation, trending, graphs, statistical analysis, etc.) via Excel or similar tools
Proven experience creating presentations that tell a coherent story and match the level of audience

location: Bay lake, Florida

job type: Contract

salary: $50 - 58 per hour

work hours: 8am to 5pm

education: Bachelors

Responsibilities

Builds and maintains dashboards in PowerBI and Grafana that display accurate, relevant, and meaningful metrics.
Evaluates desired KPIs/metrics by determining if appropriate data is readily available and analyzing existing data in Excel to determine whether or not a meaningful story can be told.
Partners with existing internal reporting experts to ensure clear direction and division of work to avoid overlap and conflicts.
Assists leadership with creation of report-outs/presentations to share identified trends/opportunities.
Acts as liaison with members of other reporting teams to ensure consistency of how metrics are calculated and how data is categorized; addresses gaps that are identified to ensure alignment
Creates concise and accurate documentation of dashboarding that: assist consumers with interpretation; provides partners with transparency of what is reported and how it is tabulated; and ensures internal supportability by clearly documenting processes and queries.

Qualifications

Experience level: Experienced
Minimum 2 years of experience
Education: Bachelors (required)

Skills

Business Analysis (3 years of experience is preferred)
Technical Analyst
Business Systems Analyst
power BI
Six Sigma
servicenow

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

At Randstad Digital, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contact HRsupport@randstadusa.com.

Pay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc. In addition, Randstad Digital offers a comprehensive benefits package, including health, an incentive and recognition program, and 401K contribution (all benefits are based on eligibility).

Applications accepted on ongoing basis until filled."
Business Analyst (Power BI),Business Analyst (Power BI),"ACS Consultancy Services, Inc",April,2024,"Position: Business Analyst (Power BI)

Location Albany, NY (Hybrid)

Are you an experienced Business Analyst with proficiency in Power BI seeking a remote opportunity? Join our team and contribute to our data-driven projects from anywhere!

Key Responsibilities

Gather and analyze business requirements from stakeholders to understand data needs and objectives.
Design, develop, and maintain Power BI reports and dashboards to visualize key business metrics and insights.
Collaborate with cross-functional teams to identify data sources, extract relevant information, and transform data into actionable insights.
Conduct data analysis to identify trends, patterns, and opportunities for optimization.
Provide recommendations based on data analysis to support decision-making processes.
Create and maintain documentation, including requirements, specifications, and user guides.
Train end-users on Power BI functionalities and best practices for data visualization and interpretation.

Requirements

Proven experience as a Business Analyst, with expertise in Power BI.
Strong understanding of data analysis techniques and methodologies.
Proficiency in Power BI report development, including DAX queries and data modeling.
Experience working with SQL databases and data manipulation techniques.
Excellent communication and presentation skills.
Ability to work independently and as part of a remote team.
Certification in Power BI or related areas is a plus.

If you meet these qualifications, please submit your application via link provided in Linkedin. Kindly do not call the general line to submit your application"
Business Analytics Analyst,Business Analytics Analyst,Empire Life,May,2024,"Business Analytics Analyst

Location: Hybrid/Remote - York Mills, ON

Empire life is looking to hire a Business Analytics Analyst to join our Group Solutions team!

The Business Analytics Analyst supports the business units by providing business intelligence and reporting to assist in identification, research and analysis of opportunities to improve the business unit results. The incumbent is guided by defined procedural constraints, and works under the moderate supervision of the VP Finance & Actuarial.

Why pursue this opportunity
Join a transforming business - we are a medium-sized Canadian company in a stable industry which is rapidly transforming.

Play an integral role - this is an opportunity that allows for you to grow your skills, while directly contributing to the business unit you are a part of.

Hone your skills - this is an opportunity that allows for you to grow your technical, and functional skills.

What you’ll be working on
Produce business intelligence and control reports for management team with a high degree of accuracy
Provide operational business intelligence, fact-finding, diagnostics and data mining; compile data requirements and make recommendations for change and conversion
Develop and maintain analytical tools and process control reports for business units to support ongoing business and process improvement
Ability to troubleshoot and debug reports to improve quality of reporting
Provide training to team members to improve self-service using analytical tools
Collaborate with business units and manage prioritization of data and reporting related issues
Respond to ad hoc requests for data and analysis to support business problem solving
Develop consistent and standardized methods of collecting and reporting information
Ensure quality delivery and implementation of end user applications and associated process changes with appropriate communication for integration into business unit operations
Generate reliable time series forecasts for management team using statistical software or spreadsheet models
Develop complex spreadsheet models for reporting key business metrics for the senior management team
Provide business process analysis

What we’re looking for you to have
Completion of University degree with courses in Business, Economics, Mathematics
Knowledge of Business intelligence tools (e.g.PowerBI, Tableau, MS Access, SQL)
Strong knowledge of relational databases
1+ years relevant work experience
Advanced Knowledge of MSOffice Word, Excel and Access; knowledge of SQL
Knowledge of the Insurance business: processes, systems, data sources, customers, products, channels, regulations, competition, industry trends
Knowledge of data management and statistical principles
Ability to think logically, analyze and/or solve problems
Ability to design reports and features to meet stated and anticipated user requirements
Ability to work independently and/or as a team member
Ability to analyze and visualize data in order to identify hidden trends and patterns
Attention to detail/accuracy
Well-developed communication, negotiation, persuasion and/or presentation skills
Ability to prioritize and balance multiple tasks or projects
If you are applying for a position which is open to applicants across Canada, unless otherwise indicated in the position, language proficiency in English is required for communicating with customers, advisors, or employees across Canada.

Beyond the salary
For regular full-time positions, Empire Life offers a comprehensive total rewards package that includes:
Competitive salaries with annual pay increases
Annual bonus program, which recognizes both strong company performance and individual contributions, for non sales positions
Competitive uncapped commission, for sales positions
A comprehensive employer-funded benefits package that includes life insurance, disability, health and dental and a generous health account
Flexible work arrangements and an annual allotment of personal health days.
Four weeks annual vacation from hire date
A defined contribution pension plan with generous employer matching
Top up programs for parental leave and compassionate leave
Employer-sponsored wellness and recognition programs
A cash employee referral program
To learn more about working at Empire Life, visit https://www.empire.ca/workatempire.

Get to know us
Empire life is proud to be an equal opportunity employer. We celebrate diversity, are committed to creating an inclusive environment, and welcome everyone to participate in our application process. We encourage those of all backgrounds and experiences to apply, even if you don't believe you meet each unique qualification outlined. Applicants will receive equal consideration without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, disability, or age.
Empire Life welcomes applications from people with disabilities and disabled people. Accommodations are available upon request for candidates taking part in all aspects of the screening and selection process. If you need this job posting in an alternative format or have any accessibility questions, please contact recruitment@empire.ca ."
Sr. Business Analyst - SAP BI,Sr. Business Analyst - SAP BI,Rialtes,December,2023,"Senior Business Analyst – SAP BI

Location: Flexible (US based) Remote

Travel: Available to travel up to 50% of the time

Roles & Responsibilities

Conduct requirement gathering sessions and document the requirements
Provide planning and reporting solutions to ensure clients reporting needs are aligned to their business requirements.
Perform business intelligence analysis by working with business units to determine, capture, and analyze business process and information requirements.
Produce flow diagrams and process documentation; determine required data sources and element definitions; collect metadata; help identify and connect business rules; and facilitate business question development as well as draft reporting requirements.
Define the solution architecture, design and configuration/development of extractors, staging objects, cubes, views and queries.
Clarify the master data set up, configuration and integration strategies to develop tightly integrated solutions.
Use BI tools to develop reusable objects (facts, attributes, metrics, filters, hierarchies etc.) for information products including reports, documents, dashboards and scorecards.
Identify data quality gaps and develop a plan to close data quality gaps.  Write system documentation, procedures, and product descriptions
Conduct performance tuning and provide post-implementation support.

Desired Skills & Experience

Minimum of 5 years of experience in a similar role
Experience with any of the following is required:
BW
SAP BPC
BO
HANA, BI and Planning/Forecasting experience.
Proven ability to successfully communicate and collaborate with colleagues and business subject matter experts with demonstrated ability to conduct analyses and effectively communicate results.
Manufacturing experience is an asset.

Powered by JazzHR

Hu8z17l3Pa"
Sales Business Intelligence Analyst,Sales Business Intelligence Analyst,GIFTCRAFT,May,2024,"In this role you will be responsible for providing data-driven and functional support to different stakeholders across our organization; delivering detailed sales analytics, forecasting & business intelligence for Planning, Sales, Accounting and other core functions of the business.
Additional responsibilities include delivery of inventory reporting, financial performance reporting, ad-hoc reporting, business reviews, presentations and developing other efficient reporting solutions as well as dashboards for senior management.

In this role you need to be curious and motivated to learn and use new technologies. You also need to be a pro-active problem solver who likes numbers, trends, programming, and enjoys working collaboratively as well as individually.

ABOUT OUR COMPANYwww.giftcraft.com
Our company has been in business for over 80 years, and for over 10 years we’ve been named one of Canada’s ‘Best Managed Companies’.
We proudly design, develop, and merchandise thousands of unique sku’s each year, across a growing number of categories including: Home Décor, Seasonal & Every Day Gifts, Fashion, Wellness and many more.
Today we service a network of more than 20K independent, specialty and boutique retailers across North America, as well as fulfill orders for large National Accounts in Canada and the US.

SPECIFIC JOB DUTIES INCLUDE:
Develop and maintain ongoing reports and dashboards using Power BI/Excel
Lead contributor for measuring, monitoring, and reporting of all key business metrics
Preparation and delivery of sales data, and analysis of relevant industry data. Including delivery of Sales Operations reporting, and Dashboard and tracking of leading and lagging indicators of performance.
Conduct ad-hoc analysis to respond to queries and address key business concerns
Provide timely and insightful analytics to influence management decisions or identify gaps
Key contributor to the annual business planning processes including development of Sales budgets comprising departmental, regional and territory budgets and relevant scorecards.
Provides sales management oversight with delivery of monthly and quarterly business reviews including reporting of Sales and Sales Team performance.
Utilize self-developed analytics, reporting and business acumen to identify risks and opportunities to sales target achievement and communicate findings with tactical recommendations to the Sales Leadership.
Build, support and enhance business intelligence reports, dashboards and interactive tools
Drive process improvements through automated solutions to current manual reporting practices
Present the data in a visual and easy to read format
Ensure accuracy of the data to maintain the integrity of the reports
Other duties as required

WHAT YOU NEED TO BRING:
Undergraduate degree in Statistics, Mathematics, Business or a related field; and/or combination of Advanced Certification in Microsoft Excel, and relevant work experience.
2 years of experience in a Corporate or Professional work environment.
Advanced Microsoft Excel Skills (nested formulas, pivot tables, vlookups, etc.) as well as proficiency with using Power Query to manipulate large amounts of data
SQL, Azure expert level knowledge
Knowledge of VBA for Excel
Experience with ERP implementations and/or third-party integrations.
Previous experience with NetSuite will be considered a strong asset.
Experience in developing solutions with one or more leading BI platform technologies including: PowerBI, Tableau, Looker, Sisense, Qlik, or related equivalents
Excellent problem-solving skills, attention to detail and the ability to think strategically
Effective interpersonal and communication skills with the ability to create compelling reports and/or presentations
Team player and adaptable in a fast paced and changing environment"
Onsite Work - Need Data Visualization Analyst - Power BI/Qlikview/Excel in Columbus OH,Onsite Work - Need Data Visualization Analyst - Power BI/Qlikview/Excel in Columbus OH,Steneral Consulting,April,2024,"Data Visualization Analyst - Power BI/Qlikview/Excel - w2 candidates only

Columbus, OH - Local or Someone who can relocate to work onsite from day one at candidates expense.

Near Columbus, OH

809 Collins Avenue Marysville Ohio 43040

Work Onsite Required Full time

Required

Bachelors in Data science, statistics, math, or Computer science, Masters is a plus.
Data visualization tools - power platform (Power BI, Power Apps, Power Automate, Power Virtual Agents), qlikview, excel
Create Reports/Visualizations and Dashboards
Data Analysis, data manipulation, data cleaning to extract insights from complex datasets.
Visual design experience (UX/UI) Creating intuitive and user-friendly interfaces and dashboards
Familiar with statistical analysis methods and hypothesis testing
Python and R (desired)

Data Visualization Analyst

The Data Visualization Analyst is responsible for transforming complex data sets into visual representations, such as charts, graphs, and interactive dashboards. They use various tools and software, such as Power BI, to create visually appealing and easily understandable data visualizations.

Primary Responsibilities

Dashboard Design and Development: Creating visually appealing and interactive dashboards using tools like Microsoft Power Platform or Excel to present data in a clear and concise manner.
Data Analysis: Conducting in-depth analysis of complex data sets to identify trends, patterns, and insights.
Data Visualization: Selecting appropriate charts, graphs and visual elements to effectively communicate data insights and key findings.
Data Storytelling: Presenting data in a compelling and meaningful way to stakeholders, decisionmakers, or clients, using storytelling techniques to convey the significance of the data.
Data Quality Assurance: Ensuring the accuracy, consistency and integrity of data used in visualizations, performing data validation and verification.
Data Governance: Adhering to data governance policies and best practices, ensuring compliance with data privacy and security regulations.
User Experience (UX) Design: Focusing on creating intuitive and user-friendly interfaces and dashboards that provide an optimal user experience, considering factors such as navigation, interactivity and accessibility.
Collaboration: Working closely with scientists and engineers, data professionals, business intelligence teams, and general stakeholders (customers) to understand data requirements and objectives and collaborating with cross-functional teams to align visualizations with business goals.
People Development: Developing and coaching others to gain proficiency in digital tools, data management and visualization.
Communication and Presentation: Effectively communicating and presenting to both technical and non-technical audiences, explaining complex concepts in a clear and concise manner.
Continuous Learning: Staying updated with the latest trends, tools and techniques in data visualization and data analytics to enhance skills and knowledge.

Additional Responsibilities

Training for Dashboard Owners and their teams
Design, Generation, and Export of formatted reports from visualized data (eg. in PDF)
SharePoint Designer/Architect (for global / cross-site use)
Preparation, Organization, and Launching of Content as Part of UX Design (eg. Digital Spaces, etc)
Digital Tools Developer (using the Microsoft Power Platform or similar)
Link with broader Digital Community within Nestle and sharing of best practices
Experience in Advanced Analytics/Machine Learning is a plus
Experience with programming languages such as Python and R is a plus

Job Qualifications (Minimum Education, Experience, And Knowledge)

Education: Bachelors degree in Data Science, Statistics, Mathematics, Computer Science or a related technical field. A Masters degree is a plus.
Data Analysis Skills: Strong analytical skills are essential. Proficient in data manipulation, data cleaning and data analysis techniques to extract insights from complex datasets.
Data Visualization Tools: Proficiency in data visualization tools such as Power Platform, QlikView and/or Excel is required. Demonstrated experience in creating interactive dashboards, designing visualizations and using advanced features of these tools is highly valued.
Design and Visualization Principles: A strong understanding of design principles, color theory and information best practices is crucial for creating visually appealing and effective data visualizations.
Visual Design: Knowledge of UX/UI design principles.
Communication and Presentation Skills: Excellent communication skills, effectively communicating complex data insights to both technical and non-technical audiences. Presentation skills, storytelling abilities and the ability to explain data in a clear and concise manner.
Attention to Detail: Have a keen eye for detail to ensure accuracy and quality in output. Ability to identify inconsistences or errors in data and take necessary steps to rectify them.
Problem Solving Abilities: Strong problem-solving skills. Ability to identify data related challenges, propose solutions and make data-driven recommendations.
Continuous Learning: Willingness to learn and stay updated with the latest tools, techniques, and trends.
Statistical Knowledge: Understand statistical concepts and techniques. Familiarity with statistical analysis methods and hypothesis testing.
Programming Skills: Perform advanced data analysis, automate tasks and customize visualization. Knowledge of programming languages such as Python or R is a plus."
BI Project Analyst,BI Project Analyst,"Donato Technologies, Inc.",March,2024,"Location: Owings Mills(Hybrid 2 Days a Week)

Duration: Long term

The Contractor will assist DEADA Enterprise Data Warehouse Support initiatives and provide the following services:

Overall support to EDW MI/BI (Project Managers) PMs and Tech Leads with a strong technical understanding of the Enterprise Data Warehouse (EDW) ecosystem, processes, and tools

Support EDW MI/BI PMs and Technical Leads in documentation of technical EDW MI/BI processes and procedures
Participate in meetings and discussions to gain clear understanding of project’s technical solution(s)
Partner with EDW and project team members to analyze, extrapolate, and document detailed technical tasks to prepare technical project tracking plans
Collaborate with team members to develop integrated master project activity plans and coordinate timelines

Skills & Qualifications

Strong leadership qualities and ability to work with a diverse group of teams and individuals
Excellent written and verbal communication skills to facilitate meetings and communicate with stakeholders
Organizational and time management skills to keep project activities on schedule
Knowledge of new and established software systems used by SSA and the EDW
Analytical and problem-solving skills"
