Position,Company_Name,Location,Post_Month,Post_Year,Details
Senior Business Analyst,Senior Business Analyst,Jobs Malaysia - Two95 HR HUB,April,2024,"Title: Senior Business Analyst

Location: Fort Worth, TX

Job Type: Full Time

Key skills required for the job are:

Functional-L2 (Mandatory)
Third Party Logistics - Supply Chain Management-L2

As a Senior Business Analyst, you are responsible for interfacing with clients for requirements/processes understanding, ensure that the resources are equipped to be productive in time to meet requirements of customer.

You are also responsible for nurturing and mentoring junior business analysts.

You should coordinate with Project/Program Managers in delivery and talent decisions.

Expected to be part of complex, large scale project or medium complex program.

Minimum work experience:8 - 10 Years

Mandatory Skills: Functional Business Analysis, Statistical Analysis, Business Analytics, SAS for Statistics, Statistical Modeling

Desirable Skills: Third Party Logistics - Supply Chain Management

Note: If interested please send your updated resume and include your rate requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.

We look forward to hearing from you at the earliest!"
Senior Business Analyst - Army,Senior Business Analyst - Army,Armedia,May,2024,"Armedia is in search of a Senior Business Analyst. This position can be fully virtual, however, candidates that can be onsite for 2 (two) days per week in Ft. Eustis, Virginia are highly preferred. The Senior Business Analyst will be responsible for assisting the Armedia Support Contract Program Manager (PM) in reviewing/reporting contract Performance Work Statement (PWS) requirements.

This position will require a strong understanding of Army curriculum development, Programs of Instruction (POI), resource allocation/tracking, military instructional course delivery methods, scheduling of and a broad perspective of current Army training related systems/applications, as they relate to military scheduling and planning.

Understanding of the organizational structure of proponent units and shall have an intermediate level of understanding of the Doctrine, Organizations, Training, Materiel, Leadership & Education, Personnel, Facilities (DOTMLPF) methodology. The Senior Business Analyst must have experience and expert knowledge in the Defense Business System (DBS) acquisition processes performing Business Process Re-Engineering on Army Training information Systems (ATIS). The Senior Business Analyst shall demonstrate a comprehensive knowledge of the DBS process, procedures, and supporting documentation requirements required for execution of the Business Case Analysis and Army Acquisition requirements documentation.

The Senior Business Analyst must have a high degree of expertise with the following systems/protocols: Army Office of Enterprise Management’s (OEM) Enterprise Knowledge Repository / ARIS suite of architecture tools; No Magic MagicDraw; Microsoft Excel, Word, and SharePoint; online collaboration tools, i.e. Defense Collaboration Service; MS Teams; Jira/Confluence; and Army Knowledge Online group management and file storage operation and administration.

Responsibilities:

Support the Capability Integration Team in the Office of the TRADOC Proponent Office, ATIS
Attend meetings as required associated with the development of the ATIS Program of Record
Coordinate with other offices as required to include Combined Arms Center, PdM ATIS, and HQDA

Required Qualifications:

US citizenship
Minimum of 7 years of relevant experience

Required Skills:

Experience developing, analyzing, and maintaining Army BEA artifacts in accordance with Army OEM guidance
Experience working with the Army EKR (ARIS)
Experience supporting Army programs of record in accordance with the Army BCAC Implementation Guidance
Experience working with TRADOC and knowledge of Army training and TRADOC regulations and publications
Experience working with the ATIS and other legacy IT systems the Army uses to develop, manage, and deliver Army training and education

Preferred Skills:

Familiarity with Army Organizational Structure
Experience with Business Capability Acquisition Cycle (BCAC) process
Familiarity of the Agile Development Process
Certified Enterprise Architect Practitioner (CEAP Yellow Belt) or equivalent

Powered by JazzHR

22VwZrkkqT"
Senior Business Analyst,Senior Business Analyst,ICONMA,May,2024,"Engagement Description:
The qualified candidate will be able to research government regulations for the Medicare Advantage program.
The candidate will apply their research to be able to perform an accurate marketing review assessment for required materials; i.e., (Evidence of Coverage, Annual Notice of Change, Summary of Benefits, etc.).
Will also be able to interpret regulatory guidance to assess risk and present to leadership.

Top 3 Required Skills/Experience:
Regulatory analytical experience
Research guidance/regulations
Marketing compliance reviews

Required Skills/Experience:
Organizational
Ability to Interpret regulations
Computer proficiency
Communication (written and verbal)

Preferred Skills/Experience:
Excel
PowerPoint
Presentation
Risk assessment

Education/Certifications:
Bachelor’s Degree

Note: This Is Not a Position for It Professionals.

As an equal opportunity employer, ICONMA provides an employment environment that supports and encourages the abilities of all persons without regard to race, color, religion, gender, sexual orientation, gender identity or express, ethnicity, national origin, age, disability status, political affiliation, genetics, marital status, protected veteran status, or any other characteristic protected by federal, state, or local laws."
Senior Business Analyst,Senior Business Analyst,Synechron,May,2024,"Our Challenge:
We are looking to hire a highly driven senior business analyst to assist the company to improve business efficiency. The senior business analyst’s responsibilities involve developing new business strategies and models, communicating to management on how these strategies and models will enhance business efficiency, and creating monthly reports on the performance of the business. You should also be able to utilize the monthly reports to identify business areas in need of improvement.

Responsibilities:
Identifying and addressing operational, financial and technological risks within the business.
Maintaining, testing and improving business and systems operations.
Building and maintaining relationships with key stakeholders.
Identifying and capitalizing on improvement opportunities.
Identifying innovative ways to increase customer satisfaction.
Evaluating the performance of project teams to ensure that targets and deadlines are met.
Communicating ideas and viewpoints to senior management.
Acting as a liaison between business and IT groups.
Supervising the design of new products and evaluating how these will perform on the market.


Requirements:
University degree in the field of business administration (MBA & PMP Preferred)
10-12 years related relevant work experience
Proven experience with business and technical requirements analysis, elicitation, modeling, verification, and methodology development
Demonstrated project management skills and project management software skills, including planning, organizing, and managing resources
Excellent understanding of the organization's goals and objectives.
Must have Domain experience in Capital Markets, Stocks, and Derivatives etc.


It would be great if you also had:
Detail-oriented, ability to turn deliverables around quickly with a high degree of accuracy
Strong analytical skills, ability to interpret business requirements and produce functional and technical design documents
Good time management skills – Ability to prioritize and multi-task, handling multiple efforts at once
Strong desire to understand and learn domain.
Experience in a financial services/banking industry
Ability to work in a fast paced environment; to be flexible and learn quickly.
Ability to multi-task with attention to detail/ prioritize tasks.

We can offer you:
A highly competitive compensation and benefits package
A multinational organization with 48 offices in 19 countries and the possibility to work abroad
15 days of paid annual leave (plus national holidays)
Maternity & Paternity leave plans
A comprehensive insurance plan including: medical, dental, vision, life insurance, and long-/short-term disability
RRSP with employer’s contribution
A higher education certification policy
Comprehensive Relocation Expense Coverage
Extensive training opportunities, focused on skills, substantive knowledge, and personal development
On-demand Udemy for Business for all Synechron employees with free access to more than 5000 curated courses
Coaching opportunities with experienced colleagues from our Financial Innovation Labs (FinLabs) and Center of Excellences (CoE) groups
Cutting edge projects at the world’s leading tier-one banks, financial institutions and insurance firms
A flat and approachable organization
A truly diverse, fun-loving and global work culture

SYNECHRON’S DIVERSITY & INCLUSION STATEMENT
Diversity & Inclusion are fundamental to our culture, and Synechron is proud to be an equal opportunity workplace and is an affirmative action employer. Our Diversity, Equity, and Inclusion (DEI) initiative ‘Same Difference’ is committed to fostering an inclusive culture – promoting equality, diversity and an environment that is respectful to all. We strongly believe that a diverse workforce helps build stronger, successful businesses as a global company. We encourage applicants from across diverse backgrounds, race, ethnicities, religion, age, marital status, gender, sexual orientations, or disabilities to apply. We empower our global workforce by offering flexible workplace arrangements, mentoring, internal mobility, learning and development programs, and more.
All employment decisions at Synechron are based on business needs, job requirements and individual qualifications, without regard to the applicant’s gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law."
Senior Business Analyst(100% Resume),Senior Business Analyst(100% Resume),SmartIPlace,March,2024,"Title: Senior Business Analyst

Location: 100% remote(candidate must be within California (preferably in Sacramento)

Visa: ANY NO H1B

direct experience working with any government department or public sector and experience with the PAL process."
REMOTE: Sr. Business Analyst,REMOTE: Sr. Business Analyst,Stellar Professionals,December,2023,"Applicant Must Have The Following Experience

Business analysis experience.
Capable of applying the listed knowledge, skill, competency, or performing the activity independent of supervision.
Able to instruct and mentor others in the exercise or performance of the business analysis responsibilities.
Mastery of industry standards & best practices for the business analysis responsibilities with the ability to contribute improvements to the practice."
Senior Business Analyst,Senior Business Analyst,Greif,March,2024,"Greif offers a great working environment and the opportunity to make an immediate impact at a company where your ideas are always welcome.

Job Requisition #:

026842 Senior E-commerce Business Analyst (Open)

Job Description

As the Senior E-commerce Business Analyst for the Customer Digital Portal (CDP) team, your primary role is to forge strong relationships with customers and business stakeholders to gain a deep understanding of their needs. This insight will drive the definition and continuous refinement of the product roadmap, as well as the prioritization of the product backlog. Collaborating with the CDP DevOps team, you will oversee feature planning, the articulation of Epics and User Stories, and ensure the delivered functionalities align with customer expectations and business objectives.

Key Responsibilities

Portal Vision and Strategy Formulation: Collaborate with customers and key business stakeholders to craft the portal's vision, strategy, and roadmap, integrating market research and user needs.
Feature Development and Prioritization: Lead the portal's continuous innovation by designing and refining new features and enhancements. Utilize customer insights, market analysis, and strategic goals to inform development priorities.
Interdepartmental Collaboration: Act as a central figure in product development, engaging with Security, IT Architecture, Infrastructure, and Integration teams to ensure unified efforts meet enterprise standards and promote innovation.
Product Backlog Management: Sustain a product backlog that reflects the roadmap's direction, prioritizing features to balance customer value, business impact, and technical feasibility.
Sprint/Release Planning: Determine sprint and release content, ensuring a mix of functional and non-functional requirements, and coordinate closely with the DevOps team for execution.
Backlog Specification and Sign-off: Ensure backlog items are clearly defined for Business Analysts to develop precise specifications and approve these specifications for development.
Quality Assurance Oversight: Verify that the developed features align with customer needs and give the final approval for their release.
Feature Adoption Analysis: Monitor feature utilization and engage with customers and business stakeholders in feedback sessions to gauge effectiveness and areas for enhancement.
Competitive and Market Analysis: Stay abreast of the competitive environment, industry trends, and technological innovations that could influence the product's trajectory.
Regulatory Compliance Assurance: Guarantee that the product adheres to all applicable regulations and standards, maintaining the integrity and compliance of the portal.

Education and Certification

Bachelor’s degree in computer science or information technology or equivalent required, Master`s degree preferred.
Agile methodologies - SAFe® Product Owner/Product Manager or Agile Project Management (AgilePM®) certifications.
Project Management Professional and Certified Scrum Master certification would be significant pluses.

Experience And Knowledge

5+ years’ experience in an (B2B) e-commerce product environment on the edge of business and IT. In-depth knowledge of e-commerce strategies, best practices, and platforms, with a focus on B2B operations. Demonstrated experience in a closely related industry.
Agile Skills: experience implementing and executing Agile principles (e.g., Scaled Agile) with strong technical skills. Experience with definition of business requirements and acceptance criteria
Project Management Experience: Proven track record in managing complex projects with cross-functional teams, and familiarity with project management tools and methodologies.
Technical Proficiency: Strong grasp of web technologies, CMS, e-commerce platforms, CRM systems, ERP integration.
Communication skills: Effective communicator (verbal and written) and facilitator who is able to deal with multiple key stakeholders and cross-functional teams.
Customer centric mindset: strong business and customer centric mindset with clear commercial vision (knows how to prioritize efforts based on creating value for end users/customers). Experience in UX/UI principles.
Analytical skills: proficient in understanding complex business challenges and formulating effective solutions in an IT environment (i.e., familiar with software-related challenges).
Data Driven: Make decisions and set priorities based on data analysis.
Collaborative Mindset: Experience in working with diverse teams such as IT, sales, marketing, and external partners to achieve business objectives.
Adaptability and Continuous Learning: Ability to adapt to rapidly changing technologies and industry trends, with a commitment to continuous learning and development.

Scheduled Weekly Hours

40

Compensation Range

The pay range for this position is $ 100,000.00 to $ 110,000.00 per year. The base pay offered for this position may vary based on market data and other factors, such as job-related knowledge, skills, experience, and geographic location. The position may be eligible for a short-term incentive in addition to base pay.

Benefits Statement

Greif offers a comprehensive benefits package, including medical, dental, paid time off, and other competitive benefits which are available for eligible colleagues effective day one.

EEO Statement

https://www.greif.com/wp-content/uploads/2023/04/HR-101-Equal-Employment-Opportunity-Policy-English.pdf

We offer a competitive salary, excellent benefits and opportunity for growth. Greif, Inc. is an equal opportunity employer. We will not discriminate against any applicant or employee on the basis of sexual orientation, gender identity, race, gender, religion, age, national origin, color, disability, or veteran status. EOE/Minority/Female/Disabled/Veteran. For more information read Greif’s Equal Opportunity Policy."
Senior Business Analyst,Senior Business Analyst,Whopper Technologies,March,2024,"Title: Senior Business Analyst

Location: Nova Scotia (Hybrid) (onsite 60%)

Seniority on the skill/s required on this requirement: Senior

Estimated Duration: 9 months with possible extension for another 2 years

Work authorization: any (candidate must be authorized to work in CA)

Must Have Skills: Senior Business Analyst with at least 10 years of experience as Business Analyst. Government (federal / provincial / municipal / crown corporation) experience and Certified Business Analysis Professional (CBAP®) is an asset.

Responsibilities

Provide senior business analyst expertise on the overall tolling and traffic management projects and the individual projects collaborating with the Project Managers, stakeholders, and Client leadership.
Develop an in-depth knowledge of each tolling and traffic management projects workstream to aid in current state analysis and subsequent design/development of future state.
Conduct an analysis of tolling and traffic management projects business rules and processes and functional requirements with internal stakeholders and prepare appropriate documentation to communicate and validate the information. Help stakeholders define tolling and traffic management business requirements and workflow, data requirements and flow, key decisions, required approvals and new roles and responsibilities.
Implement requirements management, system specification templates, application and other tools for tracking business and technical requirements, testing, and change control processes. Translate business requirements into technical solutions, outlining functional and non-functional specifications.
The following deliverables may be required:
o Project Vision Document
o Requirement Management Plan
o User Stories, Use Cases, Test Cases
o Business Requirement Document
o Requirement Traceability Matrix (RTM)
o Functional Requirement Specification (FRS)/ Functional Specification Document (FSD)
o Non-Functional Specification
o System Requirement Specification (SRS)/ System Requirement Document (SRD)
Create comprehensive acceptance criteria and test steps to provide expected results for success in relation to product, performance, user acceptance and operational acceptance testing.
Facilitate group and one on one sessions.
Contribute to the development of project plans by participating in planning sessions.
Provide timely, accurate, and relevant information to enable decision making and support desired business outcomes.
Partner with the Project Managers, Architect and Cybersecurity Lead, Privacy and Change Managers where appropriate.
Report progress to the Project Managers.
Assist with RFP and SOW creation and evaluation where requested.
Other duties as assigned.
Qualifications

Strong facilitation skills to elicit requirements using interviews, document analysis, requirements workshops, site visits, business process descriptions, use cases, scenarios, task and workflow analysis.
Excellent written and oral communication skills.
Strong interpersonal and organizational skills.
Proven ability to multitask and manage multiple project deadlines.
Ability to map out complex processes, analyze data and provide the business with recommendations and opportunities.
Demonstrated ability to develop and implement continuous improvements in business processes.
Flexible and adaptable in learning and understanding new industries & technologies.
A strong teamwork orientation and the ability to work with cross functional teams at all management levels.
Intermediate to advanced skills in MS Office applications, including Word, Excel, Microsoft Project and Visio.
Government (federal / provincial / municipal / crown corporation) experience is an asset.
Certified Business Analysis Professional (CBAP®) is an asset.

Whopper Technologies, a minority women-owned enterprise, is at the forefront of digital transformation, technology excellence, and business growth solutions. Specializing in talent mobilization and innovation, we are dedicated to enhancing customer experiences across diverse sectors such as Information Technology, Telecommunications, Healthcare, Engineering, and the Public sector. With a focus on deploying top-tier talent and fostering innovation, we empower businesses to thrive and excel in a rapidly evolving digital landscape, helping them reach new heights of success.

Whopper Technologies is committed to fostering workforce diversity and is proud to be an equal opportunity employer."
Senior Business Analyst,Senior Business Analyst,"Anveta, Inc",March,2024,"Role: Senior Business Analyst

Location: Indianapolis, IN 46204 (In person only)—(Hybrid)

Note: Locals only (Only on W2)

Duration: 6+ Months

Job Description

The essential functions of this role are as follows:

Assists in the development of technical standards and policies to meet the customers, peers, and organization;
Recommends and facilitates quality improvement efforts;
Formulates and defines system scopes and objectives through research and fact-finding combined with a basic understanding of user needs and business systems and industry requirements;
Creates process change through the integration of new processes with existing ones and communication of changes to impacted Business Systems teams;
Establishes and maintains strategic partnerships with assigned customers in order to help them meet their business and technical needs;
Participates in the development of strategic plans based on customer needs;
Analyzes business and user needs, document requirements and devises new technical business system solutions, or revises existing system logic difficulties as necessary;
Develops or modifies moderately complex information or telecommunication systems processes;
Facilitates the delivery of technical business solutions and products to customers;
Manages the expectations of customers, peers, vendors, and management;
The job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee. Other duties, responsibilities and activities may change or be assigned at any time.

Thanks & Regards

Charan

Anveta, Inc.

1333 Corporate Drive, Suite #108

Irving, TX 75038

charan@anveta.com

https://www.linkedin.com/in/charan-reddy-ba6450236/"
Senior Business Analyst,Senior Business Analyst,Steneral Consulting,April,2024,"Senior Business Analyst with airline experience ( Hybrid onsite - CTH )

This is a hybrid onsite role and there will be travel on request for this role.

This is a contract to hire role. Only GC or USC.

Looking for a BA with a lot of airline experience. SHARES experience is highly encouraged. Knowledge about HOT files and ECR files.

Top 5 Skill sets

Airline Experience
HOT File Experience
ECR File Experience
SHARES or PSS Experience
E-ticket Experience

Role: Senior Business Analyst

Duration: 12 month contract to hire

Location: Chicago, IL or Houston, TX

Interview: Video

OVERVIEW/SUMMARY

Supports development and implementation of solutions to improve processes for below-the-wing activities and airport tools. Successful candidates will work collaboratively across the organization, including the operational teams in the field, to ensure project and initiatives are executable for frontline teams. This role includes experiences across the ramp airport journey, including planeside, transfer and sortation of bags, and during IRROPs scenarios.

ESSENTIAL DUTIES AND RESPONSIBILITIES

Collaboratively support key projects that improve the employee experience and drive customer satisfaction within the airport experience
Design and deliver solutions that bring an innovative approach and consider practical limitations
Manage project timeline and budget commitments effectively
Support testing strategy for new processes and tools
Keep leadership informed of project health through regular status updates and contribute in the development of executive level presentations
Regularly spend time in the field to gauge operational needs and build relationships with AO leaders to ensure priorities are appropriately aligned
Collaborate with training, change management, and communications teams to develop and deploy informative and actionable materials to support project updates and deployments

TRAVEL

International travel required

KNOWLEDGE

Required

Airport Operations

Required

SKILLS/ ABILITIES

Strong verbal and written communication skills
Microsoft Office and analytical skills
Demonstrate agility managing through ambiguity and be adaptable in the face of change
Strong business acumen

Preferred

Demonstrated project planning and execution

EDUCATION AND/OR BACKGROUND

Required

Bachelor's Degree or equivalent work experience

EXPERIENCE

Required

2+ years of operations experience and/or project management experience"
