Position,Company_Name,Location,Post_Month,Post_Year,Details
Adjunct Faculty - Business Analyst,Adjunct Faculty - Business Analyst,Lambton College,May,2024,"Located on the beautiful homeland that is the traditional territory of the Ojibwe, Potawatomi and Odawa Nations, for over 50 years, Lambton College has been a ground-breaking institution. Lambton College is a national leader in applied research, teaching methodologies, experiential learning opportunities and future-facing educational innovations. With 13,000+ students from 20 countries around the world, two main campuses in Sarnia, Ontario, and a growing roster of more than 90 diploma, certificate and degree programs, Lambton College offers students flexible learning options with a broad range of programs and courses that incorporate elements of classroom, mobile, hybrid and accelerated educational alternatives.

Lambton College currently ranks third overall in Canada, and second overall in Ontario for Research in addition to maintaining a ranking within the top 4 Colleges for Research in Canada for seven straight years.

At Lambton College, we're proud of where we have been, but more importantly, where we are going, together. With Caring and Vitality as two of our core values at Lambton College, you know you'll be joining a team of passionate and fun colleagues.

About The Position

Lambton College of Applied Arts & Technology invites applications from qualified and passionate individuals interested in teaching Business Analytics. Courses to be delivered include Managing Requirements and Engagement, Introduction to Business Analytics, Careers in Business Analysis.

This role is part-time, commencing September 2024. Classes will be held in person or online at the Lambton College Centre for Graduate Studies, located at the St. Paul’s University campus in Ottawa, Ontario.

Rate of pay is to be determined at time of hire in accordance with education & qualifications based on our classification form in the Collective Agreement.

Specific Accountabilities

Create a positive teaching and learning environment;
Prepare and/or update lesson plans;
Deliver course materials and provide instruction in-person or online;
Prepare and grade student assessments including detailed feedback;
Communicate with students in a timely manner;
Follow the Academic Calendar and the policies and procedures

Qualifications

Bachelor’s degree in the following: Information Technology, Computer Science, Information Systems, Economics, Finance, Business Process Improvement, Accounting.
A master’s degree is preferred;
Related work/industry experience;
Teaching experience would be an asset.

Applicants must possess strong interpersonal skills with the ability to communicate effectively with students, faculty, and staff. The successful candidate will be a team player with a student-centered teaching philosophy.

Lambton College seeks candidates who are confident working with a diverse student population and who hold values of equity, diversity, and inclusion.

Lambton College is committed to an inclusive, barrier-free selection process. If contacted regarding this competition, please advise the interview coordinator of accommodation measures you may require during our selection process. Information received relating to accommodation needs of applicants will be addressed confidentially.

We thank all applicants for their interest and wish to advise that only those candidates selected for an interview will be contacted.

Lambton College is an equal opportunity employer seeking to live its values in all we do. We are committed to taking proactive steps to provide and create opportunities for historically marginalized groups. We seek applicants who will strengthen our commitment to diversity, equality, and inclusion. We strongly encourage the following qualified candidates: women, Indigenous peoples, racialized people, persons with disabilities, and those who identify as 2SLGBTQ+ to consider working with and for Lambton College.

We recognize that structural barriers shape experiences and job qualifications, and therefore we seek to use employment equity to differentiate between candidates who meet the required qualifications; and encourage people to apply even if they feel that the position would be a stretch.

Employee Perks

Lambton College provides a wide range of exciting opportunities for both unionized and non-unionized positions with competitive total compensation packages, wages and benefits.

Investing In Our People

Lambton College is committed to the personal and professional growth of all our employees. Employees of Lambton College are incredibly valued and part of a transformative adventure. They enjoy an engaging and vibrant culture where they are encouraged to realize their full potential via development opportunities and accessible, supportive employee wellness initiatives.

Investing in our People

Lifetime Retirement Pension - Defined Benefit Pension Plan

Our employee benefit package includes a defined benefit pension to help you create a secure future. The CAAT Pension Plan provides you with a predictable lifetime retirement income, survivor benefits, early retirement options, and more without the stress of making investment decisions. CAAT makes it easy for you to build stable, secure retirement income while you work."
Business Analyst,Business Analyst,Amare Global,April,2024,"Amare is looking for a Business Analyst to join our Finance team. This person will leverage data and analytical tools to support senior leadership by extracting valuable insights and making data-driven decisions for an organization. This role specializes in business analytics services such as business intelligence, market and customer research and analysis, and dashboard creation for business units and integrated services groups as well as plays a critical role in extracting value from data, optimizing business processes, and driving competitive advantage through advanced analytical techniques. This person will report to our Sr. Director of Commissions.

Responsibilities

Develops predictive models to forecast future trends, behaviors, or outcomes based on historical data
Understands the decision-making process, workflows, and business and information needs of business executives
Translates business needs into analytics/reporting requirements to support executive decisions and workflows with required information.
Coordinates with knowledge workers to understand their information needs and identifies ways to visualize and present information in a user-friendly manner
Works with key business partners to understand business priorities, identify strategic initiatives, and develop effective and timely analytic solutions.
Proactively mines data warehouses to identify trends and patterns and generates insights for business units and senior leadership.
Supports user experience specialists and information architects to enhance information visualization through the development of dashboards and user interfaces.
Works closely with information managers, architects, and business units for knowledge sharing, mentoring, and training.
Develops analytical strategies to solve business problems by understanding the business problem, identifying relevant data, gathering and summarizing data meaningfully, and applying appropriate statistical analysis.
Transforms complex data into easy-to-follow reporting through graphing, charts, and dashboards.
Reviews existing analytic processes to identify best practices and opportunities for improvement


Requirements

Skills & Requirements

Experience working in Direct Sales/MLM industry is *required* for this role.
Bachelor's degree in data science, computer science, management information systems, finance, statistics (or related field)
At least five years of experience as a data analyst, business intelligence analyst, market research analyst, financial analyst, statistician or equivalent role.
Experience collaborating with cross-functional teams, including executives, managers, and marketing professionals, to provide data-driven insights and recommendations that support strategic decision-making processes
Experience with consumer-level data for the purposes of analysis, reporting, or marketing.
Demonstrated experience in the creation of reports, dashboards, and data visualizations for the effective communication of insights and findings to a variety of internal and external stakeholders.
Substantial experience with relational customer databases and query tools.
Strong ability to extract, manipulate, visualize, and model large datasets.
High understanding of analytic tools (SQL, T-SQL, PL/SQL). Programming languages (Python, R, JavaScript) are helpful, but not required.
Ability to perform functional requirements analysis and business domain analysis.
Strong communication, summarization, and presentation skills between diverse departments with varying technical knowledge.
Ability to identify patterns, correlations, and trends from data that can provide insights into business operations, customer behavior, or market dynamics.
Willingness and ability to stay up to date with the latest trends, techniques, and tools in data analysis, machine learning, and business intelligence.
Proven leadership of business intelligence and analytic initiatives in a fast-paced, multiple-project environment
Hands-on knowledge of statistical methods and techniques such as predictive modeling, segmentation, and regression
Ability to collaborate and excel in complex, cross-functional teams involving data scientists, business analysts, and stakeholders
Strong influential skills with the ability to glean insights and translate them into business recommendations for senior management.


Pay range:

$70,000 - $100,000 annual salary

Benefits

Medical, Dental, Vision
401k with match
Company-sponsored income protection
Flexible Spending Accounts
Health Savings Account
Voluntary Benefits
3 Weeks Paid Time off
Paid Holidays"
Business Analyst,Business Analyst,"Spruce Technology, Inc.",May,2024,"GENERAL DESCRIPTION
The Business Analyst will work with the business and technology teams on solutions from inception through ongoing maintenance. This position will play a pivotal role in providing analysis support from ideation to implementation of new technology and processes, including workflow, operational process, systems and data flow design for Parametric. This position will lead business and functional requirements gathering, analysis and documentation, including workflows, wireframes, user stories, acceptance criteria, data mapping, data flows, assistance with user testing and where applicable, processes and procedures documentation.

PRIMARY RESPONSIBILITIES
• Communicate effectively - both verbally and written - to peers and business partners to include strong questioning and listening skills and the ability to look beyond obvious answers to understand impacts.
• Interview business counterparts to effectively draw out and articulate the business need/problem/ opportunity to be addressed. Provide scaled options for implementation based on the business need.
• Gather and analyze requirements. Organize and document business needs to enable design and development, including elicitation and documentation of current state and future state workflows, user stories, acceptance criteria, data mapping and UI wireframes.
• Elicit and document processes and procedures, as well as prepare training and adoption materials
• Lead and influence cross-functional teams.
• Provide consultation to development team and product owner for business facing application enhancements.
• Create test cases, coordinate user acceptance testing and verify production completeness

JOB REQUIREMENTS
• Bachelor's degree required/Master's degree preferred
• A minimum of 8-10 years of experience in Business Analysis
• Strong experience in requirements gathering, documentation and workflow diagramming
• Experience leading and directing others to achieve measurable results.
• Demonstrated ability to articulate customized solutions to meet business requirements
• Advanced experience working with Agile/Lean/Kanban software development processes
• Advanced skills using a variety of tools to document workflows and data mapping including but not limited to Excel, SQL and Visio
• Understanding of analysis and documentation goals throughout the project lifecycle
• Strong domain knowledge in finance/asset management
• Ability to learn quickly and work in a changing environment and under tight deadlines
• Ability to independently manage personal timelines and meet tight deadlines
• Ability to successfully manage and coordinate simultaneous project deliverables across groups and teams
• Strong experience with SQL, Excel, Visio, Balsamiq, Jira, Tableau, Agile

Spruce Technology, Inc. is a mid-size, award-winning (Inc 5000, SmartCEO, Entrepreneur of the Year) technology services firm with a steadily growing portfolio of commercial and government clients. Spruce provides innovative technology solutions, specialized IT staff, and IT strategy consulting nationwide. Spruce maintains partnerships with major technology vendors and continually develops leading-edge offerings in service areas such as digital experience, data services, application development, infrastructure, cyber security, and IT staffing.

Spruce Technology, Inc. is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information. Consistent with the Americans with Disabilities Act, it is the policy of Spruce Technology, Inc. to provide reasonable accommodation when requested by a qualified applicant or employee with a disability, unless such accommodation would cause an undue hardship. The policy regarding requests for reasonable accommodation applies to all aspects of employment, including the application process."
"Business Analyst, Reporting & Analytics","Business Analyst, Reporting & Analytics",Umbra,April,2024,"At Umbra, we're in search of a Business Analyst, Reporting & Analytics, who thrives on simplifying the complex. If you're passionate about turning intricate data into actionable insights and have a knack for designing solutions that make a difference, we want you on our team. Your role will be pivotal in understanding user requirements and working with technology to deliver solutions that drive our business forward.

What You'll Do To Be Successful In This Role...

Dive into complex data sources including SAP, customer POS and advertising spend. Designing solutions that streamline and simplify for impact
Understand business needs and lead thoughtful design discussions through the engagement with several business units
Evaluate business challenges to determine the most effective tools and resources for the job
Support budgeting & forecasting process and process changes throughout the year
Develop and apply a deep understanding of the data structure and general configuration for assigned systems to resolve business issues
Hands-on architecture and implementation of solutions with a focus on complex business areas: direct to consumer, wholesale, marketing, and budgeting
Document technical architecture, system design and taking full ownership of the architectural decisions
Lead the charge in unit testing, User Acceptance Testing (UAT), and the rollout of new solutions, including training and support for the business
Manage relationships with external consultants, keeping them focused on important deliverables

Requirements

What you'll bring...

Technical Skills:

Solid knowledge of reporting and analytics systems
Proven experience implementing solutions in SAP BW & BPC
Solid understanding of data architecture / design in both legacy and current technologies
Experience with any of the following is considered an asset: SAP BPC, Azure Data Factory, Snowflake, Power Automate and Power BI

Organizational Abilities:

Understanding of business processes in areas such as product lifecycle, sales operations, supply chain, logistics and cost analysis
Excellent time management and organization skills with a strong sense of urgency
Mature analytical and evidence-based decision-making style
Customer-centric team player with strong sense of integrity
Entrepreneurial spirit with an appreciation for design, trends and housewares

Work Style: Reliable, logical thinker with the ability to self-direct and work independently in a fast-paced environment. Assertive with demonstrated ability to successfully manage relationships with partners including developers and consultants to achieve goals.

Preferred Experience: 5+ years of experience as a Business Analyst or in a comparable position within a medium-sized organization. Proficiency in Microsoft Excel is an asset.

Suggested Education: University degree in Business, IT, Social Sciences or related field and strong mathematical skills.

Language/Communication Requirements: Good oral and fluent English communication skills are required.

Benefits

Here's how we reward success ...

Umbra is a place where innovative minds thrive on its fast pace and make things happen. We value our unique work space, our global mindset and our distinct design-centric culture.

We offer all permanent full-time associates competitive base compensation and incentive plans, group benefit coverage and RSP matching programs, as well as more exciting things like flexible working arrangements, continuous learning opportunities, a generous employee product discount, recognition galore, an on-site gourmet café and full gym facilities to keep you healthy. Overall, a great place to work and build a career.

We're Umbra... A leading global design company, inspired and driven to perform

We share a vision of creating original, modern, casual and affordable design for every room in the home. We are a privately owned, Canadian company with 40 years of industry experience. Led by one of our founders, our designs can be found in over 120 countries across five continents. Our global success is attributed to our entrepreneurial nature and a desire to push ourselves, and each other, beyond our limits.

We encourage applications from all qualified persons, however only those who are being considered for the position will be contacted.

Umbra welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates with disabilities taking part in all aspects of the selection process. Please note that the term ""accommodation"" in this posting means changes that are made in order to meet the needs of a person with disabilities, and not lodging.

No phone calls or agencies please."
Business Analyst,Business Analyst,Armedia,May,2024,"Armedia is in search of a Business Analyst, this position can be fully remote, however, candidates that are in the DC Metro area are highly preferred to attend occasional meetings at our office in Vienna, VA (Tyson's Corner).  A Business Analyst at Armedia is responsible for completing analytical functions in the organization. The position requires you to collaborate with clients and be responsible for eliciting, documenting, and analyzing business requirements to ensure the successful completion of projects.  Business Analysts will work within software development teams to complete organization goals and objectives.

Responsibilities:

Communicate effectively between technical and non-technical groups.
Lead customer facing and multiple user-focused, functional requirements gathering workshops
Identify and propose solutions for business needs.
Collect, analyze, and document user wants/needs.
Compose both user stories and detailed requirements documents.
Provide knowledge transfer and end-user training.
Conduct various aspects of testing, including user acceptance testing.

Required Skills:

Proven ability to manage requirements timeline, issues and risks, and the ability to manage tasks, plans and projects.
Thorough understanding of the SDLC and first-hand experience working with teams throughout the life cycle.
Experience working with one or more requirements gathering tools such as Contour, CaliberRM, JIRA etc
Self-motivated and results-oriented
Quality Assurance
Customer or User Experience design

Required Qualifications:

US citizenship
Bachelor’s degree business, finance, information technology, or related field.
Minimum of 3 years of Business Analyst or Project Management experience.

Preferred Qualifications:

5 years of Business Analyst or Project Management experience.
IIBA Certified Business Data Analytics (IIBA®-CBDA)
Certified Scrum Master (CSM) or a Certified Scrum Product Owner (CSPO)
Project Management Professional (PMP)® Certification



Armedia offers a comprehensive benefits package, including subsidized medical, dental, and vision insurance, life insurance, discounted disability insurance, a 401k retirement plan with company match, generous PTO, and paid holidays.

Powered by JazzHR

dkKGQZNpNk"
"Business Analyst, Amazon Ads","Business Analyst, Amazon Ads",Amazon,May,2024,"Description

Amazon Advertising operates at the intersection of eCommerce and advertising, offering a rich array of digital advertising solutions with the goal of helping our customers find and discover anything they want to buy. We help advertisers reach Amazon customers on Amazon owned and operated sites and on other high quality sites across the web. We start with the customer and work backwards in everything we do, including advertising. If you’re interested in joining a rapidly growing team working to build a unique, world-class advertising product with a relentless focus on the customer, you’ve come to the right place.

Key job responsibilities

We are seeking an exceptional Business Analyst who loves solving complex problems to drive analysis and will be able to work in a fast paced environment and communicate their analysis effectively to stakeholders. As a Business Analyst, you will help,

Our business stakeholders in generating actionable insights to help them make better business decisions by means of robust reporting and interactive visualizations.

Be responsible for establishing measurement frameworks to identify growth initiatives that help move the needle for our business.

Identify improvement opportunities by monitoring existing metrics, analyzing data, and partnering with many internal teams to protect Customer Trust.

We are open to hiring candidates to work out of one of the following locations:

Seattle, WA, USA

Basic Qualifications

5+ years of Excel (including VBA, pivot tables, array functions, power pivots, etc.) and data visualization tools such as Tableau experience
3+ years of business or financial analysis experience
Bachelor's degree or equivalent
Experience defining requirements and using data and metrics to draw business insights
Experience with Excel
Experience with SQL
Experience making business recommendations and influencing stakeholders
3+ years of tax, finance or a related analytical field experience

Preferred Qualifications

Master's degree in business or analytical discipline

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $59,500/year in our lowest geographic market up to $143,100/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. Applicants should apply via our internal or external career site.


Company - Amazon.com Services LLC

Job ID: A2526386"
Business Analyst,Business Analyst,Loam Bio,April,2024,"About Loam:

At Loam, we have the earth in our hands. As a team of scientists, farmers, and entrepreneurs, we are on a mission to revolutionise agriculture and address climate change. Through our cutting-edge microbial technology, we are enhancing soil health, boosting crop yields, and sequestering carbon to create a sustainable future for farming. We are committed to empowering farmers and promoting regenerative practices that benefit both the environment and their bottom line.

As a fast-growing agricultural startup, Loam offers a dynamic and collaborative work environment where innovation and passion thrive. We embrace diversity and believe that our collective expertise and shared commitment can make a significant impact on the global agricultural landscape.

Join us on this exciting journey as we transform agriculture and build a sustainable future together.

About The Role

We are seeking a Business Analyst to lead the design and documentation of our SecondCrop™ Carbon Programs' workflows and methodologies. This role is critical in ensuring our initiatives are underpinned by robust, efficient, and scalable processes that can be effectively implemented across the organisation. The ideal candidate will possess exceptional communication skills, a keen attention to detail, and a proven track record of process optimization in complex project environments.

Develop comprehensive process maps and documentation for all aspects of our Carbon Programs, from initial design through to final audit and carbon credit issuance
Ensure that processes are clearly communicated and effectively implemented across the organisation, providing training and support as needed to ensure compliance and efficiency
Regularly review and refine processes to ensure they remain efficient, scalable, and aligned with our program goals. Establish feedback mechanisms to capture pain points and suggestions for improvement from across the organisation
Work closely with teams across the organisation to ensure process requirements are understood and integrated into daily operations. Act as a liaison between departments to facilitate smooth execution of program initiatives


Requirements

Bachelor's or Master's degree in Business Administration, Engineering, Environmental Science, or a related field. Additional qualifications in management consulting are highly desirable
Proven experience in process engineering or analysis, ideally within a management consulting environment or in roles that involved the design and optimization of complex project processes
Strong analytical skills and attention to detail, with the ability to design processes that are both efficient and scalable
Excellent communication and interpersonal skills, capable of working effectively across various levels of the organisation and with external partners
Experience in environmental or sustainability projects is a plus, demonstrating a commitment to driving positive change in global environmental practices
Demonstrated ability to manage multiple projects simultaneously, prioritising tasks to meet deadlines and organisational goals


Benefits

Fast-growing start-up with many opportunities for capacity building and career development
Work alongside leading scientists and innovators in an international organisation
Enjoy an inclusive and supportive culture
Competitive salary based on experience


Why you should join us:

We're tackling some of the most challenging issues of our time, and we're doing it with a team that's passionate about making a difference. If you're looking for a role where you can use your skills to contribute to a mission that matters, we'd love to hear from you.

Loam Bio is proud to be an equal opportunity employer. We are committed to building a diverse and inclusive team. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, or any other characteristic."
Business Analyst,Business Analyst,Armedia,May,2024,"The Business Analyst will elicit, analyze, document, and validate the business needs of stakeholders, be they, customers or end users. Collaborate with stakeholders to determine project scope and vision. Develop or contribute to solutions to a variety of problems of moderate scope and complexity. Works independently with some guidance; may review or guide activities of more junior employees. Focus on solutions identification, risk analysis, and collaboration with IT teams. Work on providing highly innovative solution identification of complex problems. This position is fully remote, but candidates must be in Eastern or Central time zones.

Required Qualifications:

Bachelor’s degree
Minimum of 3 years of experience as a business analyst
Experience translating customer vision into user stories
Experience with presenting solutions to senior leaders
Experience with Agile methodology
Experience with user experience concepts highly preferred
Ability to obtain a security clearance (FDA Public Trust)

Preferred Qualifications:

Experience with analyzing and verifying requirements for completeness, consistency, comprehensibility, feasibility, and conformity to standards
Prior experience with FDA operational systems
Ability to manage and track the status of requirements throughout the project lifecycle
Ability to communicate changes, enhancements, and modifications of business requirements verbally or through written documentation to project managers, product owners, and other stakeholders so that issues and solutions are understood
Alfresco/Docman and ArkCase knowledge

Powered by JazzHR

ESDwXpvW7J"
Business Analytics Analyst,Business Analytics Analyst,Empire Life,May,2024,"Business Analytics Analyst

Location: Hybrid/Remote - York Mills, ON

Empire life is looking to hire a Business Analytics Analyst to join our Group Solutions team!

The Business Analytics Analyst supports the business units by providing business intelligence and reporting to assist in identification, research and analysis of opportunities to improve the business unit results. The incumbent is guided by defined procedural constraints, and works under the moderate supervision of the VP Finance & Actuarial.

Why pursue this opportunity
Join a transforming business - we are a medium-sized Canadian company in a stable industry which is rapidly transforming.

Play an integral role - this is an opportunity that allows for you to grow your skills, while directly contributing to the business unit you are a part of.

Hone your skills - this is an opportunity that allows for you to grow your technical, and functional skills.

What you’ll be working on
Produce business intelligence and control reports for management team with a high degree of accuracy
Provide operational business intelligence, fact-finding, diagnostics and data mining; compile data requirements and make recommendations for change and conversion
Develop and maintain analytical tools and process control reports for business units to support ongoing business and process improvement
Ability to troubleshoot and debug reports to improve quality of reporting
Provide training to team members to improve self-service using analytical tools
Collaborate with business units and manage prioritization of data and reporting related issues
Respond to ad hoc requests for data and analysis to support business problem solving
Develop consistent and standardized methods of collecting and reporting information
Ensure quality delivery and implementation of end user applications and associated process changes with appropriate communication for integration into business unit operations
Generate reliable time series forecasts for management team using statistical software or spreadsheet models
Develop complex spreadsheet models for reporting key business metrics for the senior management team
Provide business process analysis

What we’re looking for you to have
Completion of University degree with courses in Business, Economics, Mathematics
Knowledge of Business intelligence tools (e.g.PowerBI, Tableau, MS Access, SQL)
Strong knowledge of relational databases
1+ years relevant work experience
Advanced Knowledge of MSOffice Word, Excel and Access; knowledge of SQL
Knowledge of the Insurance business: processes, systems, data sources, customers, products, channels, regulations, competition, industry trends
Knowledge of data management and statistical principles
Ability to think logically, analyze and/or solve problems
Ability to design reports and features to meet stated and anticipated user requirements
Ability to work independently and/or as a team member
Ability to analyze and visualize data in order to identify hidden trends and patterns
Attention to detail/accuracy
Well-developed communication, negotiation, persuasion and/or presentation skills
Ability to prioritize and balance multiple tasks or projects
If you are applying for a position which is open to applicants across Canada, unless otherwise indicated in the position, language proficiency in English is required for communicating with customers, advisors, or employees across Canada.

Beyond the salary
For regular full-time positions, Empire Life offers a comprehensive total rewards package that includes:
Competitive salaries with annual pay increases
Annual bonus program, which recognizes both strong company performance and individual contributions, for non sales positions
Competitive uncapped commission, for sales positions
A comprehensive employer-funded benefits package that includes life insurance, disability, health and dental and a generous health account
Flexible work arrangements and an annual allotment of personal health days.
Four weeks annual vacation from hire date
A defined contribution pension plan with generous employer matching
Top up programs for parental leave and compassionate leave
Employer-sponsored wellness and recognition programs
A cash employee referral program
To learn more about working at Empire Life, visit https://www.empire.ca/workatempire.

Get to know us
Empire life is proud to be an equal opportunity employer. We celebrate diversity, are committed to creating an inclusive environment, and welcome everyone to participate in our application process. We encourage those of all backgrounds and experiences to apply, even if you don't believe you meet each unique qualification outlined. Applicants will receive equal consideration without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, disability, or age.
Empire Life welcomes applications from people with disabilities and disabled people. Accommodations are available upon request for candidates taking part in all aspects of the screening and selection process. If you need this job posting in an alternative format or have any accessibility questions, please contact recruitment@empire.ca ."
Business Analyst - Tableau Dashboards -Hybrid (3Off-2On) $48-60p/h,Business Analyst - Tableau Dashboards -Hybrid (3Off-2On) $48-60p/h,Oscar,April,2024,"Level Description
8 or more years of experience, relies on experience and judgment to plan and accomplish goals, independently performs a variety of complicated tasks, a wide degree of creativity and latitude is expected. Min 5 years of experience, served as a liaison between the Business community and Customer IT Teams (i.e., Architecture, Project Delivery, Application Sustain, etc.). Strong experience as a Data Analyst in analyzing raw data, and as a Business Analyst in requirements gathering, understanding technology, and any project management experience with PMP are a huge plus.
Job Description
Reviews, analyzes, and evaluates business systems and user needs. Formulates systems to parallel overall business strategies. Experienced with business process reengineering and identifying new applications of technology to business problems to make business more effective. Familiar with industry standard business process mapping, and reengineering. Prepares solution options, risk identification, and financial analyses such as cost/benefit, ROI, buy/build, etc. Writes detailed description of user needs, program functions, and steps required to develop or modify computer programs.
8 years required strong tableau dashboards and reports
Additional job details and special considerations
Must be able to work hybrid environment in-office and remote. Must be able to work in Agile environment.
Services are expected to start 05/23/2024 and are expected to complete by 08/31/2024.
The worker will work hybrid. Mon, Tues, Fri (Remote) and Wed, Thurs (On-Site)

Oscar Associates Limited (US) is acting as an Employment Agency in relation to this vacancy."
