Position,Company_Name,Location,Post_Month,Post_Year,Details
Solutions Architect Infrastructure,Solutions Architect Infrastructure,ISOutsource,May,2024,"We are only able to hire candidates that are currently located in WA, OR, ID, FL, NC, TX, and AZ

The Opportunity

As a modern technology consulting firm, ISO is at the forefront of change. We strengthen our clients with technology solutions that help them boost performance, streamlines processes, and excel at serving their clients.

With ISO, you’ll join a profitable, established company with over 500 clients throughout the Western United States. You can expect a fun, energetic, fast-paced environment where you are encouraged to bring your ideas and expertise, focus on our clients, try new things, and learn from mistakes and successes.

Our Core Values

We are client centric.
We are innovative.
We are results driven.
We pursue excellence.
We are trustworthy.
We empower our team.

Work you will do as an ISOutsource Engineer:

Adhere to standards and approved solutions introduced by the ISOutsource Engineering Leadership
Designs networks and infrastructure to meet customer needs.
Ensures computer networks, systems, and security are set up and functioning based on industry best practices
Ensures that hardware and software used in environments meets compatibility, performance, and user requirements
Ensures that networks and infrastructure are working optimally and free of design defects
Interface with consulting team for field infrastructure tasks and support
Interface with PMO for project-based engagements
Maintains networks and infrastructure to meet customer requirements
Maintains punctuality and thorough communication in all facets of internal and external customer engagements
Maintains required level of utilization
Participate in on call rotation twice a year
Performs maintenance on information systems, networks, and infrastructure
Prioritizes work in areas expertise and at the appropriate level
Performs other duties as assigned
Daily entry of time for all activities

Our ideal candidate will possess the following qualities:

A passion for customer service
Strong time management skills
Prior consulting experience
Excellent communication skills (both technical and non-technical)
Demonstration of the ability to communicate effectively with non-technical decision makers

Highly sought-after experience and skill includes:

Networking –VLAN design and deployment. Proficiency at all layers of OSI Model. Experience with major brands of small/medium sized enterprise network infrastructure - Cisco, HPE, Sophos, Fortinet
Cloud Computing – Expertise with buildout, policies, administration, and troubleshooting with Infrastructure as a Service (IaaS) and/or Software as a Service (SaaS).
OSX – Desktop, Server, XSAN troubleshooting
Virtualization – VMWare, Hyper-V, Xen, EC2, Hyper-Convergence -Buildout, Deployment, management, troubleshooting
Exchange –2013/2016/2019/Exchange Online - Design, Deployment, Administration, and troubleshooting
Windows Server – 2012/2012 /2016/2019 - Design, Deployment, Administration, and troubleshooting
Networking – Cisco, HP Aruba, Fortinet, etc.- Switching, Routing, and IPsec Tunneling.
Short term strategic planning and budgeting for Information Technology
Strong troubleshooting skills

Additional experience we look for includes:

SharePoint – highly desirable
MDM Solutions - highly desirable - InTune, JAMF, Workspace1, etc
Perimeter Security – Fortinet, Sonicwall, Cisco, Juniper, WatchGuard
Enterprise Security – MFA, PKI, Group Policy, antivirus, log management, encryption, best practices
Core Infrastructure – DNS, DHCP, Subnetting, Active Directory, Group Policy
Microsoft SQL Server – 2012/2014/2016/2017
Core Management Solutions – Backups, Monitoring, Configuration Management, DSFR
Desktop Management – Windows 7+, Mac, Linux
Mobile Platform Support – iOS, Android, MDM
Project Management

Requirements:

Bachelor’s degree (BA.) or equivalent from four-year college or university; and/or ten+ years related experience and/or training; or equivalent combination of education and experience
Valid driver's license with insurance
Some local travel to and from clients is required

Why ISOutsource?

Access to Management and Senior Leadership
Autonomy of schedule
Ability to define your own niche within the organization
Exposure to a wide range of technologies
Monthly training and career enhancing opportunities
Being part of a highly skilled team who is willing to help and share knowledge
Help from support organizations, which allows you to focus on the technical work
Tons of room for growth, ISO has a long history of promoting from within
A On Call Rotation that is only for 1 week, twice a year.
A company emphasis on work/life balance

We Take Care of Our People

Excellent total compensation package
A salary range of $115,000 to $150,000 annualized
Possibility of up to $3,000.00 in utilization bonuses per quarter
Competitive insurance benefits package includes health, dental, vision, life, disability coverage
401(k) & Employer match
Generous Paid Time Off schedule
Parking and mileage reimbursement
Stocked snacks, sodas, coffee, and lots of treats (including healthy alternatives)
Monthly team activities including trivia nights, holiday parties and more

ISOutsource is an equal opportunity firm.

We are driven by seeing our team succeed and grow, and we work to ensure everyone contributes to their fullest potential. We consider all qualified applicants without regard to race, color, sex, religion, age, marital status, national origin, citizenship or immigration status, the presence of any sensory, mental, or physical disability, genetic information, honorably discharged veteran or military status, sexual orientation, gender identity, political ideology, status as a victim of domestic violence, harassment, sexual assault, or stalking, family status, source of income, or any other status or characteristic protected by applicable local, state or federal law.

Final candidates will be required to submit to a complete background check.

We are only able to hire candidates that are currently located in WA, OR, ID, FL, NC, TX, and AZ

The Opportunity

As a modern technology consulting firm, ISO is at the forefront of change. We strengthen our clients with technology solutions that help them boost performance, streamlines processes, and excel at serving their clients.

With ISO, you’ll join a profitable, established company with over 500 clients throughout the Western United States. You can expect a fun, energetic, fast-paced environment where you are encouraged to bring your ideas and expertise, focus on our clients, try new things, and learn from mistakes and successes.

Our Core Values

We are client centric.
We are innovative.
We are results driven.
We pursue excellence.
We are trustworthy.
We empower our team.

Work you will do as an ISOutsource Engineer:

Adhere to standards and approved solutions introduced by the ISOutsource Engineering Leadership
Designs networks and infrastructure to meet customer needs.
Ensures computer networks, systems, and security are set up and functioning based on industry best practices
Ensures that hardware and software used in environments meets compatibility, performance, and user requirements
Ensures that networks and infrastructure are working optimally and free of design defects
Interface with consulting team for field infrastructure tasks and support
Interface with PMO for project-based engagements
Maintains networks and infrastructure to meet customer requirements
Maintains punctuality and thorough communication in all facets of internal and external customer engagements
Maintains required level of utilization
Participate in on call rotation twice a year
Performs maintenance on information systems, networks, and infrastructure
Prioritizes work in areas expertise and at the appropriate level
Performs other duties as assigned
Daily entry of time for all activities

Our ideal candidate will possess the following qualities:

A passion for customer service
Strong time management skills
Prior consulting experience
Excellent communication skills (both technical and non-technical)
Demonstration of the ability to communicate effectively with non-technical decision makers

Highly sought-after experience and skill includes:

Networking –VLAN design and deployment. Proficiency at all layers of OSI Model. Experience with major brands of small/medium sized enterprise network infrastructure - Cisco, HPE, Sophos, Fortinet
Cloud Computing – Expertise with buildout, policies, administration, and troubleshooting with Infrastructure as a Service (IaaS) and/or Software as a Service (SaaS).
OSX – Desktop, Server, XSAN troubleshooting
Virtualization – VMWare, Hyper-V, Xen, EC2, Hyper-Convergence -Buildout, Deployment, management, troubleshooting
Exchange –2013/2016/2019/Exchange Online - Design, Deployment, Administration, and troubleshooting
Windows Server – 2012/2012 /2016/2019 - Design, Deployment, Administration, and troubleshooting
Networking – Cisco, HP Aruba, Fortinet, etc.- Switching, Routing, and IPsec Tunneling.
Short term strategic planning and budgeting for Information Technology
Strong troubleshooting skills

Additional experience we look for includes:

SharePoint – highly desirable
MDM Solutions - highly desirable - InTune, JAMF, Workspace1, etc
Perimeter Security – Fortinet, Sonicwall, Cisco, Juniper, WatchGuard
Enterprise Security – MFA, PKI, Group Policy, antivirus, log management, encryption, best practices
Core Infrastructure – DNS, DHCP, Subnetting, Active Directory, Group Policy
Microsoft SQL Server – 2012/2014/2016/2017
Core Management Solutions – Backups, Monitoring, Configuration Management, DSFR
Desktop Management – Windows 7+, Mac, Linux
Mobile Platform Support – iOS, Android, MDM
Project Management

Requirements:

Bachelor’s degree (BA.) or equivalent from four-year college or university; and/or ten+ years related experience and/or training; or equivalent combination of education and experience
Valid driver's license with insurance
Some local travel to and from clients is required

Why ISOutsource?

Access to Management and Senior Leadership
Autonomy of schedule
Ability to define your own niche within the organization
Exposure to a wide range of technologies
Monthly training and career enhancing opportunities
Being part of a highly skilled team who is willing to help and share knowledge
Help from support organizations, which allows you to focus on the technical work
Tons of room for growth, ISO has a long history of promoting from within
A On Call Rotation that is only for 1 week, twice a year.
A company emphasis on work/life balance

We Take Care of Our People

Excellent total compensation package
A salary range of $115,000 to $150,000 annualized
A $1,500 bonus per quarter for every 5% over the utilization goal
Competitive insurance benefits package includes health, dental, vision, life, disability coverage
401(k) & Employer match
Generous Paid Time Off schedule
Parking and mileage reimbursement
Stocked snacks, sodas, coffee, and lots of treats (including healthy alternatives)
Monthly team activities including trivia nights, holiday parties and more

ISOutsource is an equal opportunity firm.

We are driven by seeing our team succeed and grow, and we work to ensure everyone contributes to their fullest potential. We consider all qualified applicants without regard to race, color, sex, religion, age, marital status, national origin, citizenship or immigration status, the presence of any sensory, mental, or physical disability, genetic information, honorably discharged veteran or military status, sexual orientation, gender identity, political ideology, status as a victim of domestic violence, harassment, sexual assault, or stalking, family status, source of income, or any other status or characteristic protected by applicable local, state or federal law.

Final candidates will be required to submit to a complete background check.

Powered by JazzHR

tNAoMVvUPq"
Solutions Architect - AWS,Solutions Architect - AWS,TensorIoT Inc.,May,2024,"Job Description

Accepting remote candidates in the following states: Arizona, California, Colorado, Delaware, Florida, Georgia, Idaho, Maryland, Minnesota, Nevada, New York, North Carolina, Ohio, Pennsylvania, Tennessee, Texas, Virginia, Washington, and Wisconsin.

Requires up to 25% travel.

The TensorIoT Solutions Architect team partners with our customers and AWS to design and build some of the world's most modern cloud architectures and solutions. TensorIoT Solutions Architects collaborate with each other and their respective Sales counterparts to address customer challenges, oftentimes working together to formulate a solution for a given challenge.

A TensorIoT Solutions Architect assists the Customer with bridging the gap between business goals and technology solutions. As the customer’s trusted technical advocate, Solutions Architects not only help organizations small and large understand best practices around advanced machine learning and cloud based solutions, but also provide insight into areas such as migrations, modernizing existing infrastructure or applications, and building new and innovative solutions using cutting edge services.

As a Solutions Architect, you will have the unique opportunity to assist customers in shaping the future of their business. In order to accomplish this, you will be in constant communication with TensorIoT Delivery practice managers and industry and area-of-depth experts to help shape and execute the strategy to realize the customer’s overarching vision.

The TensorIoT Solutions Architect team is committed to ensuring harmony of both work and life. We do this by allowing for autonomy in your day to day activities, focusing more on the solutions and outcomes driven by customer obsession to steer your work day. Since we serve customers all over the world, expect up to 25% travel. While there are TensorIoT offices available in select locations, the Solutions Architecture team works primarily remotely. Work hours are very flexible and typically are driven by your workload.

We’re looking for someone who has:

2+ years of design, implementation, or consulting experience in AWS application or infrastructure
4+ years within specific technology domain areas (Gen AI, ML/AI, IoT)
Technical degree in Computer Science or related field or equivalent experience
4+ years developing technology solutions in the cloud
Experience building out CDK scripts, CloudFormation and Terraform templates, and architecting production-grade enterprise-scale applications on AWS.
Strong familiarity with one of the following languages: Python, Java, Javascript, Nodejs
At least 1 AWS Professional or Specialty certification
Willing to do up to 25% travel to customer sites. Will be in front of customers, holding POCs, demos, and working with sales teams.
2+ Years customer-facing experience in a pre-sales engineering role
Excellent written and verbal communication skills to articulate findings and recommendations to stakeholders.
The ability to create and present detailed reports and presentations.
Strong interpersonal skills to work effectively with different teams and stakeholders.
Time management and organizational skills to handle multiple projects simultaneously.
Adaptability and willingness to learn new tools and techniques as needed.

What we offer:

Competitive salary based on experience
Medical, dental, vision, and life insurance
401k plan with matching
Unlimited PTO
Flexible work hours and the ability to work from home

About TensorIoT

TensorIoT is an AWS Advanced Consulting Partner. We help companies realize the value and efficiency of the AWS ecosystem. From building PoCs and MVPs to production-ready applications, we are tackling complex business problems every day and developing solutions to drive customer success.

TensorIoT's founders helped build world-class IoT and AI platforms at AWS and Google, and are now creating solutions to simplify the way enterprises incorporate edge devices and their data into their day to day operations. Our mission is to help connect devices and make them intelligent. Our founders firmly believe in the transformative potential of smarter devices to enhance our quality of life, and we're just getting started!

TensorIoT is proud to be an equal opportunity employer. This means that we are committed to diversity and inclusion, and encourage people from all backgrounds to apply. We do not tolerate discrimination or harassment of any kind, and make our hiring decisions based solely on qualifications, merit, and business needs at the time.

Company Description

TensorIoT's founders helped build world-class IoT and AI platforms at AWS, and Google and are now creating solutions to simplify the way enterprises incorporate edge devices and their data into their day to day operations. Our mission is to help connect devices and make them smarter. Our founders firmly believe in the transformative potential of smarter devices to enhance our quality of life and we're just getting started! Connect with us today to learn more!

TensorIoT's founders helped build world-class IoT and AI platforms at AWS, and Google and are now creating solutions to simplify the way enterprises incorporate edge devices and their data into their day to day operations. Our mission is to help connect devices and make them smarter. Our founders firmly believe in the transformative potential of smarter devices to enhance our quality of life and we're just getting started! Connect with us today to learn more!"
Cloud Architect,Cloud Architect,Agile Tech Labs,May,2024,"Job Title: Cloud Architect

Job Location: Lansing, MI (Hybrid)

Job Type: Contract

Job Description/ Requirement

Experience implementing and supporting the Accela Civic Platform (Accela Automation) for Licensing and Case Management and Accela Citizen Access Required 5 years
Experience with reporting (AD HOC and Crystal reports) Required 5 years
Strong experience with Accela data migration using Accela Data Migration Tool Required 5 years
Experience in the Accela environment with design, development and testing Required 5 years
Experience in the Accela environment with setting up application security roles, best practices for security roles and FIDS Required 5 years
Experience in the Accela environment with scripting and configuration (event, batch, page flow and expression) Required 5 years
Experience with Accela Mobile Office Required 3 years
Experience with Accela GIS Desired 2 years
Experience with Oracle databases Required 5 years
Understanding of Accela payment adapter configurations Desired 2 years

Interested candidates can send their updated resumes at manish.yadav@agile-techlabs.com"
AWS Solutions Architect,AWS Solutions Architect,Simeio,May,2024,"Job Summary:

We are seeking a highly skilled AWS Architect to join our Global Services Architecture (GSA) group. The ideal candidate will have over 10 years of experience in architecting solutions on the AWS platform, with a strong emphasis on improving security, resiliency, and efficiency of cloud-based operations. This role requires a deep understanding of AWS services and best practices, as well as relevant AWS certifications. Experience with Oracle Cloud Infrastructure (OCI), Microsoft Azure, or Google Cloud Platform (GCP) is a plus.

Key Responsibilities:

Architect and Design Solutions: Develop and implement AWS-based solutions that meet the highest standards of security, resiliency, and efficiency
Security: Ensure all architectures and designs adhere to industry and AWS best practices for security, including data protection, identity management, and threat detection
Resiliency: Architect solutions with a focus on high availability, disaster recovery, and business continuity
Efficiency: Optimize architectures for cost-efficiency and performance, leveraging AWS services and features effectively
Certification and Compliance: Stay current with AWS certifications and maintain knowledge of AWS technologies and services
Cross-Platform Skills: Utilize skills in OCI, Azure, or GCP to design multi-cloud solutions or assist in cross-cloud migration efforts
Collaboration: Work closely with development teams, project managers, and other stakeholders to ensure successful project delivery
Documentation and Standards: Create and maintain architectural documentation, standards, and best practices
Mentorship: Provide guidance and mentorship to junior architects and other technical staff

Qualifications:

Experience: 10+ years of experience in architecting solutions on the AWS platform
Certifications: AWS Certified Solutions Architect – Professional, AWS Certified Security – Specialty, or other relevant certifications
Cross-Platform Skills: Experience with Oracle Cloud Infrastructure (OCI), Microsoft Azure, or Google Cloud Platform (GCP) is a plus
Technical Expertise: Deep understanding of AWS services, architecture patterns, and best practices
Security: Strong knowledge of security principles and AWS security services
Resiliency: Experience designing highly available and resilient solutions
Efficiency: Proven ability to optimize cloud architectures for performance and cost
Communication: Excellent verbal and written communication skills, with the ability to convey complex technical concepts to non-technical stakeholders
Team Player: Ability to work collaboratively in a team environment

Simeio is a global managed services provider offering Identity and Access Management solutions delivered as a service and interoperable with leading IAM tools.

With 700+ employees worldwide, Simeio secures over 160 million identities globally for large enterprises and government entities.

Services and solutions from Simeio include Customer Identity & Access Management, Privileged Access Management, Identity Proofing, Access Management & Federation, Identity Governance & Administration, Application Onboarding, and Simeio Identity Orchestrator.

The company has been recognized for its business and technical leadership and highly rated by Gartner, Forrester, and Kuppinger Cole, and was ranked by Great Places to Work®.

Simeio is an equal opportunity employer. If you require assistance with completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to any of the recruitment team at recruitment@simeio.com or +1 404-882-3700.

Powered by JazzHR

liL7HjRPD6"
AWS Architect,AWS Architect,"IT Engagements, Inc.",May,2024,"Hi

Greeting from IT Engagements.

We IT Engagements is a global staff augmentation firm providing a wide-range of talent on-demand and total workforce solutions. We have an immediate opening for the below position with one of our premium client.

Job Title: AWS Architect

Location: Miami, FL (3 days a week onsite)

Duration: 6+ months

Responsibilities

The focus is on AWS
Cloud Security and Infrastructure
Develop and maintain infrastructure as code (IaC) templates for cloud environments such as AWS
Terraform
Work with development teams to ensure that security is built into the SDLC and that all code is secure by design
Monitor and investigate security incidents and vulnerabilities in the infrastructure and take corrective actions

Thanks and Regards

Divya kumari

Technical Recruiter

divya(at)itengagements(dot)com"
Cloud Architect,Cloud Architect,Steneral Consulting,February,2024,"Each Candidates needs to have 2 references when submitted to me.

Full Name of Reference

Phone

Email

Business Relationship? ie Manager, Co-worker etc..

Qualifications

The successful candidate must have minimally achieved the following level of experience:

8+ years of experience in planning, designing, and managing Azure and Nerdio AVD infrastructures.
8+ years of experience in implementing backup and disaster recovery solutions for Azure and Nerdio AVD environments, following industry best practices and change management policies.
8+ years of experience in expert-level architecture design for Nerdio AVD environments, including user profile management.
8+ years of experience in analyzing Azure environments and recommending best practices in Compute, Storage, Backup Recovery, and Archiving specific to Azure.
8+ years of experience in Capacity Planning and Disaster Recovery Planning within Azure.
8+ years of experience in delivering expert-level architecture design for Azure services and solutions.
8+ years of experience in proposing procedural optimizations to enhance Azure operations.
8+ years of experience in participating in Root Cause Analysis reviews to improve Azure system performance.
8+ years of experience in ensuring responsible architecture, ongoing management, configuration, and layout of both Azure and Nerdio AVD infrastructures.

Preferable Qualifications

Azure certifications or Nerdio-specific certifications

Prior education industry/project experience

Must be a self-starter and be able to work well independently and in a team setting

Excellent oral and written communication skills; ability to communicate in a credible and confident manner at all levels in the organization especially on technical issues to a nontechnical audience

Detailed and process-oriented"
Enterprise Cloud Architect,Enterprise Cloud Architect,Steneral Consulting,January,2024,"The Enterprise Cloud Architect will provide enterprise Cloud Services direction for one of the largest healthcare companies in the US with International reach. The position will work closely with various areas of the organization to define, architect and enable the delivery of cloud capabilities and solutions, focusing on infrastructure, platform and application “as a service” models.

Role & Responsibilities

Serve as lead architect where appropriate/assigned on initiatives at the direction of leadership
Develop and maintain core components of the Architecture Plan to ensure these are up-to-date
Direct, identify and proof emerging technologies
Ensure project technology decisions are aligned to Enterprise Architecture standards and policies (or otherwise see that they are expanded)
Identify architecture challenges related to the project activities and work with Project Manager, Application Architect and Technical Architect to resolve
Responsible for building strong relationships with IT&S leaders, Business leaders, project managers, and other technical domain experts
Serves as a key agent for supporting the development of an overall competency in key technologies, disciplines and architectures
Provide mentoring and guidance on technical and architectural direction, methodology, design, and reuse

Will work with our security, networking, and other departments to ensure that our integration solutions meet all established policies"
AWS Architect,AWS Architect,Zortech Solutions,December,2023,"Experience & Responsibilities

The right candidate will have a proven track record with the following responsibilities within AWS:

Sizing, architecting and designing cloud analytics solutions within AWS, Snowflake, Informatica Cloud and Tableau
Sizing, design and implementation of secure network solutions within AWS that meet business requirements.
Sizing, design and implementation of scalable Snowflake schemas and tables
Sizing, design and implementation of scalable Informatica Cloud native ETL and ELT integrations
Sizing, design and implementation of scalable Tableau dashboards (or any other reporting tools)
Sizing, design and implementation of disaster recovery procedures and solutions
Working with clients, third parties and internal teams to architect and design solutions to meet business requirements
Leading teams in the implementation of AWS, Snowflake, Informatica Cloud, and Tableau business solutions
Lead analysis of potential improvements to the system
Experience working with the pharmaceutical industry

Skills And Qualifications

Excellent communication skills
Expert customer skills
Strong analytical skills with the ability to own the creation and presentation of analysis
Solid understanding of networking and hosting technologies and solutions
Ability to multi-task in a fast-paced environment
A “can do” attitude and willingness to dig into customer issues
Bachelor of Science in Computer Science, Telecommunications, Information Technology, or other related fields"
Solutions Architect (Azure Cloud Architect),Solutions Architect (Azure Cloud Architect),"Donato Technologies, Inc.",May,2024,"Project Overview

Public website group...moving from Pivotal Cloud Foundry ....moving to Azure Public Cloud for Microservices Infrastructure

KEY NOTES:

Role: Cloud (Azure) Solution Architect

Location: Chicago, IL - Hybrid - 3 days per week

3 days per week (Mon -Tue-Wed)

Duration: 6 months to start, will extend

Top Skills

Need to have done a cloud migration to Azure. Does not matter if it's on-prem to azure or public-cloud to azure, they need to have migrated to azure specifically
Terraform - strong
DO NOT NEED a prior Northern Trust resource
the azure migration is very new/initial stages for Northern Trust, so previous resources would likely not have this experience (unless they moved to a different company and did it elsewhere, since working at Northern)
Prior Cloud Architect/Azure Architect are highly preferred
Tasks & Responsibilities

Works with the technical leadership team to define a technical architecture for PWS Cloud Public Architecture
Highly flexible and adaptable to change
Ensures the realization of the desired business outcome by implementing solutions and tracking those through to final development
Exercises judgement based on the analysis of multiple sources of information
Serves as objective escalation point for conflicts during the development process
Mentors the team as needed to remove impediments, achieve project goals and grow less experience team members
Provide solutions to complex problems
Carries out the most complex initiatives involving multiple disciplines and strategic execution
Define best practices and development guidelines and ensures the team is aligned to those standards
Exhibits strong oral and written communication skills"
Arquitecto Cloud/Arquitecto Jr,Arquitecto Cloud/Arquitecto Jr,Scotiabank,August,2023,"¡Gracias por tu interés en Scotiabank!

Nuestro grupo tiene un fuerte compromiso en promover un lugar de trabajo en donde te sientas respaldado/a por tus supervisores/as, de forma tal que asegures tu éxito y el de cada cliente.

Ayudarás a contribuir en el diseño Arquitectónico de Soluciones que satisfagan los requerimientos tecnológicos de las diferentes áreas usuarias dentro del banco, de forma que se tenga la vista 360 de la arquitectura misma que incluye a la aplicación, la infraestructura, la seguridad, las comunicaciones etc.

Responsabilidades

Presentar en los comités globales y locales las soluciones arquitectónicas que le sean encomendadas
Participar en la definición y promoción de los estándares definidos a nivel SB Internacional.
Promover el uso de las tecnologías integradas y de la arquitectura orientada a Microservicios.
Vigilar el cumplimiento de las reglas, guías, políticas, estándares y mejores prácticas en términos de arquitectura.
Coordinarse con equipos de trabajo multidisciplinarios para lograr proyectos exitosos.
Apoyar para que la organización se encuentre lo mas vigente conforme al nivel de cambios tecnológicos y su complejidad, orientando siempre las soluciones en un marco tecnológico vigente y de tecnología de punta.
Análisis permanente de las versiones de software que se estarán utilizando por las áreas de desarrollo y producción (Software Currency) para identificar su viabilidad, compatibilidad, aceptación y costo.
Participar en el diseño de la arquitectura de Infraestructura y de Comunicaciones.
Participar en las definiciones de Alta Disponibilidad de los servicios críticos de la institución (backup, DRP, BDR, y Fail Over).
Apoyar al análisis constante de capacidades de computo (Hardware Currency) para las soluciones actuales y nuevas formas de optimización de recursos.
Vigilar y proponer soluciones para que los sistemas se realicen bajo la premisa del reuso en términos de infraestructura, aplicación y comunicaciones, evitando soluciones aisladas.
Coordinar, junto con el resto de las áreas de la DGA de TI, la entrega de piezas arquitectónicas para su uso y liberación.
Propiciar la innovación tecnológica que permita alcanzar los objetivos tácticos y estratégicos del negocio.
Aportar en el proceso de Ingeniería de Sistemas de los elementos que le permitan desarrollar los sistemas de forma mas eficiente, económica y estandarizada.
Mantener un alto grado de conocimiento en los productos y sistemas de forma que permita tener una visión amplia para orientar, diseñar e implementar soluciones integrales.
Participar en el análisis funcional y técnico para incorporarlo correctamente dentro de la arquitectura institucional, colaborando con las áreas de Ingeniería de Sistemas, Producción, Seguridad, etc.
Participar en los diversos comités globales presentando las soluciones que lo ameriten.
Apego a la metodología establecida.
Comprende la cultura de riesgo del Banco y cómo debe considerarse el apetito de riesgo en las actividades y decisiones diarias.
Realiza activamente operaciones eficaces y eficientes en sus áreas respectivas, a la vez que garantiza la idoneidad, el cumplimiento y la eficacia de los controles de negocios diarios a fin de cumplir con las obligaciones destinadas a reducir el riesgo operacional, el riesgo de incumplimiento reglamentario, el riesgo de lavado de dinero y de financiamiento al terrorismo y el riesgo de conducta, entre las que se incluyen las responsabilidades establecidas bajo el Marco de Gestión del Riesgo Operacional, el Marco de Gestión de Riesgo del Incumplimiento Reglamentario, el Manual Internacional de Prevención del Lavado de Dinero y Financiamiento al Terrorismo y las Pautas para la Conducta en los Negocios.

Experiencia

Tener asignados al menos 2 proyectos de tamaño grande/mediano o 1 muy complejo
Llevar a cabo el gobierno de arquitectura al menos 2 meses al año
Contribuir con al menos 1 curso de capacitación al año para los equipos de TI
Presentar en el comité de ARB TODAS las soluciones que le sean asignadas y lograr su aprobación
Conocimientos importantes de tecnologías en la Nube primordialmente Azure y GCP
Conocimientos importantes sobre la arquitectura de microservicios
Dominio sobre herramientas Open Source para Desarrollo de código, Repositorios, Pruebas, Revisión de código, Monitoreo etc.
Conocimiento sobre modelo de desarrollo Scrum u otros modelos ágiles
Diseño de la arquitectura en sus diferentes vistas: Infraestructura (Física), Aplicativa (Lógica), Seguridad, Comunicaciones
Conocimiento del Pipeline de PCF (Pivotal Cloud Foundry) (Deseable)

Ofrecemos un buen ambiente laboral, prestaciones superiores a las de ley, la oportunidad para realizar voluntariado y/o actividades de Responsabilidad Social. Scotiabank está considerado como el mejor grupo financiero para trabajar en México, con presencia internacional.

Agradecemos tu interés, sin embargo, únicamente las personas seleccionadas para entrevista serán contactadas.

**Scotiabank es una empresa incluyente, que respeta la diversidad y no hace ningún tipo de discriminación**"
