Position,Company_Name,Location,Post_Month,Post_Year,Details
SOC Security Analyst - Level 1,SOC Security Analyst - Level 1,Coretek,April,2024,"Join a highly skilled and motivated team of Cyber Security Professionals tasked with protecting Coretek and its customers. The Cyber Security Analyst level 1 is an entry level role that is primarily focused on responding to alerts, setting up cases for escalation, and triage. Analysts will leverage Microsoft Sentinel as well as, cyber case management and supplementary tools to investigate, contain, and remediate cyber security incidents. The Cyber Security Analyst must have a drive to learn and grow as the industry changes and Coretek adapts rapidly.

Coretek understands that a candidate may not possess all the skills required of a Security Analyst for the unique service provider space and will educate and grow the right candidate. At Coretek the desire to learn and work with in a team is a requirement of the position. Skills in other disciplines are always welcome and shows a candidate's ability to adapt. Those with formal education are welcomed as well as those that are self-taught. Structured training as well as on the job experience is a required part of the job to bring security professionals up to speed for the complex requirements and fast paced environment of a service provider. Security Analysts must have a drive to learn and grow as the industry changes and Coretek adapts.

ESSENTIAL FUNCTIONS:

Respond to alerts and validate findings
Escalate security incidents incident response teams for investigation / remediation
Support Incident Response investigations for Coretek and Coretek customers
Learn to perform analysis of logs and alerts
Coordinate with appropriate teams to provide incident handling and response support
Learn to use and improve incident response procedures & runbooks
Handle security incident escalation via Cyber Case Management tools, SIEM, ITSM, email, phone, or walk-up


Requirements

MINIMUM QUALIFICATIONS:

Knowledge of incident response, investigation, system forensics, or related cyber security education / self-learning
Familiarity with Windows and Linux operating systems including command line operation
Possess a foundation in networking fundamentals and TCP/IP
Knowledge of common network-based services and common client/server applications
Excellent verbal/written communication, interpersonal and organizational skills
Communicate effectively with varied levels of staff to develop positive working relationships
Excellent problem-solving skills to diagnose technical issues
Manage customer situations professionally to aid in positive customer satisfaction
Ability to learn new technology and concepts quickly
Ability to work on a shift or on-call rotation if needed
Formal education or certifications in incident response, forensics, cyber security case management, IT technology, networking, or related topics
Experience working on a security operations team
Experience reviewing and analyzing log data from various network and security devices
Experience with well-known information security related tools for packet capture, network/OS fingerprinting, and communication
Practical understanding of exploits, vulnerabilities, computer network intrusions, adversary tactics, exfiltration techniques and common knowledge
Experience with enterprise SIEM products
Experience with ITSM, SOAR, or Cyber Case Management Tools
Scripting with Python, Perl, Bash and/or PowerShell a plus
Database structures and queries, Regular Expressions a plus
Experience acquiring and analyzing data from clients and servers related to security incident response
Digital Forensic or Threat Intelligence work


PREFERRED QUALIFICATIONS:

Formal education or certifications in incident response, forensics, cyber security case management, IT technology, networking, or related topics
Experience working on a security operations team
Experience reviewing and analyzing log data from various network and security devices
Experience with well-known information security related tools for packet capture, network/OS fingerprinting, and communication
Practical understanding of exploits, vulnerabilities, computer network intrusions, adversary tactics, exfiltration techniques and common knowledge
Experience with enterprise SIEM products
Experience with ITSM, SOAR, or Cyber Case Management Tools
Scripting with Python, Perl, Bash and/or PowerShell a plus
Database structures and queries, Regular Expressions a plus
Experience acquiring and analyzing data from clients and servers related to security incident response
Digital Forensic or Threat Intelligence work


EDUCATION and TRAINING:

Degree in technology, cyber security, criminal justice/forensics, or equivalent work experience
Security related certifications desired"
SOC/Security analyst,SOC/Security analyst,Stellar Professionals,May,2024,"We are looking to fill a 2nd Shift role as Security analyst in Des Moines, IA

2nd Shift 4:00pm - 12:30am CST

The purpose of this position is to provide tier two triage for information technology issues and information security incidents. As a tier two information security incident handler, this position will be responsible for information security incidents for the entirety of their lifecycle.

Serve as the primary incident owner for the Security Operations Center. Lead efforts related to the incident handling processes such as incident discovery, analysis and verification, incident tracking, containment and recovery, incident response coordination, escalation and notification. Lead efforts in coordinating with other teams to remediate detected incidents. Communicate intelligence to key personnel.

Applicants must have minimum of 6 years of relevant experience.

Candidate Requirements

Systems Security Certified Practitioner (SSCP), CompTIA Security+ (Security+ CE), CompTIA Cybersecurity Analyst (CSA+) or other information security certifications.
Strong understanding of security technologies and strategies, including but not limited to: firewall, IDS, policy management, security processes/best-practice, logging/monitoring, antivirus, vulnerability assessment, patch management, and incident response.
Solid knowledge of common and emerging attack vectors, penetration methods and countermeasures.
Knowledge of conflict resolution and incident escalation.
Ability to work effectively with customers to solve business challenges while balancing the need for confidentiality, integrity, and availability.
Demonstrated ability to resolve issues in a variety of complex situations which require complex judgments and solutions based on sophisticated analytical thought.
Demonstrated ability to solve complex problems, convey both oral and written instruction, and handle multiple task interruptions while providing services in a professional and courteous manner.
Proven ability to work with diverse audiences and translate technical information into non-technical information.
Must be an individual of high integrity and be a model of unwavering integrity to others.
Commitment to fostering a diverse working environment.
Demonstrated ability to work independently,as part of a team of peers, and also to support and contribute to amultidisciplinary team environment."
Cyber Security Analyst,Cyber Security Analyst,"Anveta, Inc",March,2024,"Job Title: Cyber Security Analyst

Location: 4 IRVING PLACE, NY

Type: Contract

Jd

The Cyber Security Operations Center is seeking individuals in a fast-paced environment focused on operational technology.

The employee should perform monitoring and response including follow-up and escalation measures on security events and incidents.

Must possess the ability to document findings including timelines, evidence and artifacts relating to each event.

Ability to coordinate meetings with device owners, managers, and forensics teams as needed to verify evidence.

Ability to record and update key metrics on a weekly basis.

Bachelor's Degree and 1+ year of experience in an information security or related field OR a Master's degree in lieu of experience.

Technical Skills

Must Have

Ability to take-on multiple tasks and prioritize workload based on criticality
Ability to utilize skills in a team environment to collaboratively produce solutions for unique situations
Creative problem-solving abilities, coupled with a desire to take on responsibility
Critical Thinker & Analytical Capacity
Knowledge of network security operations with a solid understanding of technology and attention to detail
Organizational, decision making, and communications skills
Practical knowledge of recent or emerging cyber threats
SIEM Experience (Splunk)
Threat Detection & Response Experience

Nice To Have

Ability to translate technical jargon into easy to understand information
CompTIA Security+ or equivalent
Knowledge of Enterprise Networks & Security infrastructure, Operational Technology, Firewalls, Intrusion Prevention Systems, Remote Access VPN, and Network/Endpoint Security Data Analysis
Working knowledge of information security frameworks such as MITRE Telecommunication & CK or Cyber Kill Chain"
IT Security Analyst,IT Security Analyst,GuideIT,May,2024,"About GuideIT

GuideIT is a US based technology services company Headquartered in Plano, Texas, focused on providing value to its customers by aligning technology with business outcomes, maximizing value through cost management, and allowing rapid, proactive response to change. We are looking for a Full-time IT Security Analyst to join our team! Candidate must live in the Dallas/Fort Worth area, be results oriented, highly adaptable and thrive in a team environment centered on mutual trust and respect. This is a fully onsite role.

Security Monitoring and Incident Response:

Monitor security event logs and alerts from various sources including SIEM tools, intrusion detection/prevention systems and firewall logs.

Help ensure monitoring tools are ‘fit’ to the environment so that relevant alerts and events are correlated, and potential incidents notified.

Investigate and respond to security incidents in a timely manner, following established procedures and protocols.

Conduct root cause analysis for security incidents and recommend remediation actions to prevent future occurrences.

Vulnerability Management:

Perform regular vulnerability assessments on systems and networks.

Identify and prioritize security vulnerabilities based on risk assessment.

Coordinate with system owners and IT teams to remediate identified vulnerabilities.

Rapid7 InsightVM, Qualys Vulnerability Management, and Tenable Nessus.

Security Policy and Compliance:

Assist development and implementation of security policies, standards and procedures.

Ensure compliance with relevant regulatory requirements (e.g., GDPR, GLBA, PCI-DSS, SOX) and industry best practices.

Participate in security audits and assessments, threat hunting and ‘Purple-team’ exercises to identify and resolve security risks.

Threat Intelligence and Research:

Stay up to date with the latest cyber threats, attack techniques and security trends.

Use threat intelligence sources to enhance security monitoring and incident response capabilities.

Security Awareness and Training:

Collaborate with other departments to promote security awareness and best practices among employees.

Develop and deliver security training sessions and materials.

Participate in design, delivery & monitoring of security awareness campaigns; assist in driving improvements to company cyber-wellness performance.

Requirements:

Bachelor’s degree in computer science, Information Security or related field (or equivalent experience).
Previous experience in a cybersecurity role, preferably as a Security Analyst or similar position.
Strong understanding of network protocols, operating systems, and cybersecurity principles.
Familiarity with security tools such as SIEM (Rapid7 InsightIDR, Splunk, QRadar, and Elastic SIEM), IDS/IPS (Cisco Sourcefire, Snort, and Palo Alto), antivirus and endpoint detection and response (EDR) solutions (InsightIDR, Darktrace Endpoint Privilege Monitoring, Carbon Black Response, SentinelOne, and Crowdstrike Falcon).
Experience with security standards and frameworks such as ISO 27001, NIST Cybersecurity Framework, or CIS Controls.
Excellent analytical and problem-solving skills.
Effective communication skills, both written and verbal.
Relevant certifications such as CompTIA Security+ or Certified Ethical Hacker (CEH) are a plus.
Next-Generation Firewalls (NGFW): Cisco ASA / Cisco SourceFire, Palo Alto Networks, and Fortinet
Antivirus/Anti-Malware: Microsoft Defender for Business, Symantec Endpoint Protection, and McAfee Endpoint Security.
Email Security: Microsoft Exchange Online, Proofpoint Email Protection / Targeted Attack Protection, Darktrace Email Protection, and Barracuda.

Relevant Software Experience Preferred:

Network Packet Analyzers: Wireshark, tcpdump, and Zeek.
Network Traffic Analysis: Darktrace Network Monitoring, Cisco Stealthwatch, and ExtraHop.
Patch Management Systems: Microsoft SCCM, Microsoft Endpoint Manager (Intune), Quest KACE, and ManageEngine Patch Manager Plus.

Benefits:

GuideIT offers competitive pay, performance-based bonuses, and 401K with match. Health, dental and vision insurance coverage, paid holidays, and paid time off for full-time employees.

GuideIT is committed to Equal Employment Opportunity. It is the policy of GuideIT to encourage and support equal employment opportunity for all Team Members and applicants for employment without regard to sex, race, color, ancestry, religious creed, national origin, pregnancy, physical disability, mental disability, medical condition, age, marital status, political affiliation, sexual orientation, disabled veteran, or Vietnam era veteran status.

Powered by JazzHR

oqt3YHqr6B"
IT Security Analyst,IT Security Analyst,Summit Human Capital,May,2024,"Conduct internal and external Investigation on our business partners

Google Vault tool for Google Workspace

Support FOIA request

Conduct McAfee Web Filter, SIEM

IT Security Project Implementation

Monitor Logs Analysis

Analyze, mitigate and resolve security risks, threats, and vulnerabilities

Support VITA and Catalog in-depth knowledge

Perform PowerShell Audit tools

Analyze CIFS Storage Knowledge

Assist in efforts with the DOC Security Program in the areas of risk management

Assist in providing Business Impact Analysis and Business Continuity assessments

and updates

Assist in implement security solutions to improve the DOC security posture

Perform Risk Assessments (including systems, third party reviews)

Analyze, mitigate and resolve security risks, threats, and vulnerabilities

Implement secure solutions to take advantage of new features and functionality

available in cloud environments

Monitor, report and respond to security events

Assist with implementing cloud security strategies

Develop and recommend enhancements to technical standards, policies and

practices

Monitor and conduct quality assurance reviews and assess IT security compliance

with policies, procedures and standards

Assists with conducting security incident management

Works with ISO to ensure compliance with results from penetration testing and

vulnerability scans

Research emerging security trends and attack vectors"
Cyber Security Analyst,Cyber Security Analyst,FXI,May,2024,"Building our Future Together. FXI is a leading producer of foam innovation in the Bedding, Furniture, Industrial, Home & Office, Healthcare, and Transportation markets. We have made it our mission to provide tailored solutions that delight our customers and consumers. With our corporate headquarters, high-tech research and development facility, and multiple manufacturing locations in North America, FXI has built a culture of innovation and achievement that is recognized by customers, suppliers and peers. Our products include finished goods, sub-assemblies, services, and raw materials for OEMs, fabricators, and retailers. You will find FXI’s foam innovations inside, around, and under yourself in countless applications. Everywhere foam goes, FXI’s innovations lead the way! Won’t you join us?

Responsibilities:
Performs and actively monitors cybersecurity risk assessments including compliance with existing standards, policies, and risk appetite.
Performs risk reviews and assessments of organizational security controls (policies, processes, configurations) to verify they comply with applicable security standards.
Assists with development and implementation of security standards and best practices.
Administers, or supports the administration of, security protection toolsets, including, but not limited to e-mail, endpoints, network, firewalls, and related.
Collaborates with technical team members (architects, IT support technicians, MSSP vendors) to address cybersecurity improvement opportunities and cybersecurity operational issues.
Supports the implementation of security and privacy policies, procedures, or contractual language, as required.
Recommends security enhancements.
Monitors and administers detection and response capabilities, SIEM, and similar. Partners with external partners to create, enact, and maintain incident response playbook and capabilities.
Fulfills a supporting role and works with external partners in any of the following: vulnerability assessments, penetration testing, and breach investigations, among others.
Creates, deploys, and monitors cybersecurity awareness training / campaigns, including related compliance reporting.
Proactively and reactively collaborates with MSSP / security vendors as needed.
Ensures endpoints remain current with security updates and patches; regularly captures and reports on cybersecurity metrics and related risks.
Learns and adapts to modern technologies.
Prepares reports that document findings from security assessments and testing.
Responds to security incidents quickly and effectively, either independently or as part of a response team.

Qualifications:
Bachelor’s degree in Cybersecurity, Information Security, Computer Science, Engineering, or other technology field, or equivalent experience.
Strong preference for certification(s) in cybersecurity (e.g., CISSP, CCSP, CISA).
1-2 years cybersecurity experience.
EDR / XDR administration (Defender, CrowdStrike Falcon, etc.).
At least one year Microsoft 365 security administration experience.
Security awareness training administration (Microsoft Defender / Attack Simulation Training, KnowBe4, Proofpoint, etc.).
Demonstrated experience with security operations including responding to and managing security incidents.
Willingness to travel up to 5%.

Competencies:
Comfortable dealing with the challenges of an evolving technical product roadmap where decisions around technology choices are based on evolving business strategy.
Familiarity with NIST Cybersecurity framework or similar.
Familiarity with Microsoft Sentinel, Windows Defender, and Office 365 administration and security.
Demonstrated commitment to continual learning in varied technology related fields and ability to translate that knowledge into solutions that increase business value.
Ability to communicate technical concepts to non-technical audiences. High level of interpersonal and communication skills and an exceptional ability to effectively interact and influence.
Highly self-motivated and outcome-oriented contributor."
Information Security Analyst,Information Security Analyst,Doxim,May,2024,"Doxim is the customer communications and engagement technology leader serving financial and regulated industries. Our platform with its suite of integrated, SaaS software and document technology solutions helps clients digitize operations, improve efficiency, and modernize customer experience. With Doxim, clients can communicate reliably and effectively, improve cross-sell and upsell opportunities, and drive increased loyalty and wallet share through personalized omnichannel communications.

Job Description

Security Analyst’s primary responsibility is to monitor all information security tools and systems for unusual and unauthorized activity, as well as Indicators of Compromise (IoC). These systems must also be maintained and managed. The hands-on control of security for an international company and management of Security systems.

Responsibilities

Security Monitoring

Ensure that security principles are maintained and adhered to by all employees.
Monitor of all security tools for any security related incidents which might occur.
Identified incidents must be investigated and reported.
Providing content creation and tuning policies to ensure that Doxim is aware of and protected from known security vulnerabilities and threat actors.
Effectively manage reported system, application and device vulnerabilities and through remediation and maintenance in adherence with incident response procedures.
Communicate with various team for remediation.

Incident management and Response:

Raising and logging security Incidents as they occur.
Be able to be a part of an incident response team and triage.
Assess security incidents quickly and effectively and communicate a course of action to Regional Security SMEs.
Compile and maintain information security incident reports. Ensure that all incidents are recorded and tracked to meet audit and legal requirements.
Oversee and conduct root cause analysis to identify gaps and recommendations ultimately remediating risks to the organization.

Security Management and improvement:

Be involved in maintaining all the security governance documents, technical controls, and processes that are required to support the security strategy/solutions.
Develop and optimize processes to improve security threat identification and remediation.
Maintain an active understanding of industry practices for threat analytics and incident response.
Assist developers in secure coding best practices, risk mitigation techniques, and threat modeling.
Explain, present, demonstrate (when applicable) and document operational impact of a particular vulnerability, threat or risk.
Monitor and maintain approved baseline network topologies and configuration.
Be involved in vulnerability and penetration testing.
Compile vulnerability and penetration testing reports
Provide security, technical, configuration, and architecture support to Doxim representatives as required.

Day to day operational tasks as assigned.

Daily checks for any security events
Phishing analysis
DLP alerts review
Onboarding / Offboarding personal requests

Education:

BSC in IT security or equivalent industry qualifications/certifications.

Experience:

A minimum of two (2) years relevant work experience in the information security field.
Experience using vulnerability management tools, firewalls, intrusion detection systems, and responding to network/computer intrusions and supporting inquiries.
Knowledge of information systems security principles and methods, the requirements for certification and accreditation of systems testing and evaluation, and performance management methods.
Knowledge of test and assessment methods to evaluate security authentication technologies.
Knowledge of standards like PCI, ISO 27001, HiTrust, GDPR, Privacy Shield.
Expensive general IT knowledge.
Strong technical ability.

Experience in the following would be advantageous:

Ability to conduct information security risk assessments
Ability to create and execute security monitoring tool sets such as DLP, SIEM and Web Gateway, Cyber Protection.
Exposure to cyber security or SOC monitoring.
Stakeholder Management
Ability to support an information security strategy that supports business needs
Understanding of the NIST and ISO 27000 frameworks
Ability to travel
Microsoft Security best practices
Good understanding of risk and compliance
Understanding of business process analytics
Project Management skills

Other:

Due to the Global nature of the role and the different time zones, scheduled after-hours and weekend work might be required.
The employee is required to be on standby for urgent escalations at all times.

Doxim company encourages applications from all qualified individuals. Applicants with disabilities may notify us of any accommodations needed to support your participation in the recruitment process. We wish to thank all applicants for their interest and effort in applying. Please be aware that only candidates selected for interviews will be contacted for this position.

EOE/M/F/Disabled/Vets

Doxim is an equal opportunity employer and makes employment decisions without regard to race, gender, disability or protected veterans’ status.

#INDOX"
Cybersecurity Analyst,Cybersecurity Analyst,"Donato Technologies, Inc.",April,2024,"Role: Cybersecurity Analyst

Location: New York City, NY On Site

Experience: 12 Plus Years

Job Description

Required Skills:

Cisco ISE/Stealthwatch
Threat Detection and Vulnerability Assessments
Data Analysis

Knowledge To Have Skills

BGP, OSPF and Switching (Cisco)
Network Segmentation and Isolation
Physical Access Control Systems
Video Management Systems
Virtualization and Infrastructure (Vmware, Virtual Switches)
Endpoint Credential Management
Active Directory and Windows Server Administration and Hardening
Vulnerability and Patch Management
Privileged Access Management
Cybersecurity Incident Response Plan/Program
Implementing Deception Technology (Honeypot/Honeynets)
DWDM and SONET
Nozomi maintenance and management
TDI administration and management
Gigamon maintenance and management experience"
Cyber Security Analyst,Cyber Security Analyst,Addwiser,March,2024,"Seeking a Cyber Security Analyst for a Fintech Client :

Responsibilities

Document the security breaches and measure the damage caused.
Install software like firewalls and essential data encryption programs to safeguard organization’s vital data.
Be up-to-date about the latest security trends.
Prepare documentation about the security breaches and the damage caused.
Suggest security enhancement methods to the organization management
Implementing both internal and external security audits.
Analyze the security issues thoroughly to identify the root cause.
To verify whether the third-party vendors meet security requirements.
Providing guidance to amateur computer users when they want to know about security procedures.
Research about the newest security technology that best suits to safeguard your organization.
Implement penetration testing.
Create a disaster recovery plan, which is an essential procedure to be followed by every employee during an emergency. The disaster recovery plan includes transferring data to other locations and restoring IT functioning immediately after a disaster.

Qualifications And Technical Skills -

Should have experience working with tools that help with network security monitoring, network intrusion detection, penetration tests, antivirus software, encryption and scanning for web vulnerability.
A bachelor’s or master’s degree in a relevant discipline, such as information technology, cybersecurity, or computer science,
Hold any of the cybersecurity accreditation such as CEH, CISM, CISSPor CompTIA Security+."
Cybersecurity Analyst,Cybersecurity Analyst,HatchPros,May,2024,"Video

Remote

No H1

BS or MA in Business, Computer Science, Information Security, or a related field
[2+] years of work experience in information security, especially in an information senior cybersecurity risk role
[2+] years of experience in managing risk and compliance issues, or similar experience managing applications, projects or systems that require identification, evaluation, and remediation of risk
Technical background or demonstrable understanding of a range of operational and IT risks and operations
Strong business background; experience gathering and interpreting risks and associated impacts in the context of financial and operational concerns
Strong understanding of complex vendor risk-related issues through demonstrated experience managing vendor relationships, information security or regulatory compliance programs, and audits
[4+] years of experience with regulatory compliance and information security management frameworks (e.g., International Organization for Standardization [IS0] 27000, COBIT, National Institute of Standards and Technology [NIST] 800)

Desired, But Not Required

Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM), and/or Certified Information Systems Auditor (CISA)

Knowledge And Skills

Ability to define risk statement, identify and assess the likelihood/frequency and potential impact of risks. Understand how to characterize the significance of issues/ findings based on how they affect the likelihood and impact of associated risks.
Ability to apply original and innovative thinking to produce new ideas. Sound understanding of different factors that make up risk (e.g., assets, vulnerabilities, controls, threats, etc.) and their relationships to one another to inform risk decisions
Communicate risk assessment findings to risk owners outside the cybersecurity program in a way that consistently drives objective, fact-based decisions about risk that optimize the trade-off between risk mitigation and business performance.
An understanding of organizational mission, values, goals, and consistent application of this knowledge.
An ability to work on several tasks simultaneously and pay attention to sources of information from inside and outside one’s network within an organization.
An ability to apply original and innovative thinking to produce new ideas. Sound understanding of different factors that make up risk and their relationships to one another to inform risk decisions
An understanding of business needs and commitment to delivering high-quality, prompt and efficient service to the business.
An ability to effectively influence others to modify their opinions, plans or behaviors.
Excellent prioritization capabilities, with an aptitude for breaking down work into manageable parts, effectively assessing the priority and time required to complete each part.
Strong decision-making capabilities, with a proven ability to weigh the relative costs and benefits of potential actions and identify the most appropriate one.

Strong problem-solving and troubleshooting skills."
