Position,Company_Name,Location,Post_Month,Post_Year,Details
Security Analyst,Security Analyst,Morgan Stanley,May,2024,"Company Profile

Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments, and individuals from more than 1,200 offices in 43 countries.

As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence, and dedicated team ethic. Morgan Stanley can provide a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture.

Department Profile

The mission of the Cyber Data Risk and Resilience division is to ensure the Firm manages its global businesses and serves clients on a market-leading technology platform that is resilient, safe, efficient, smart, fast, and flexible.

The Security Response Team (SRT) is part of the Cyber Data Risk and Resilience division and manages the incident response capability to support day-to-day cross-enterprise event investigations and strategic input into security controls and countermeasures to proactively create better security for the Firm. The group's vision is to deliver programs that protect and enable the business, ensure secure delivery of services to clients, adjust to address the risks presented by an evolving threat landscape and meet regulatory expectations.

Team Profile

Morgan Stanley is looking for a Lead Security Analyst to join the firm's Cyber Incident Response Team Operations (CIRT Operations). The global CIRT Operations is a 24/7 operation with members in key geographical locations; performing incident response and remediation, campaign assessments, network and host-based forensics. Lead Security Analysts work core hours in their region with an on-call rotation for critical incidents.

Primary Responsibilities

Lead Security and Triage Analysts.

Engage with Regional and Global Leadership with respect to resourcing and operational requirements.

Investigate cyber security incidents and threats.

Interact with stakeholders and leadership teams as part of the response and remediation efforts.

Improve the detection, escalation, containment, and resolution of incidents.

Enhance existing incident response methods, tools, and processes.

Maintain knowledge of technologies and the threat landscape.

Assist during non-core business hours during an emergency, critical, or large-scale incident.

Qualifications

Candidates should have a genuine interest in cyber security and a good understanding of the tactics, techniques, and procedures of attackers. Candidates should be interested in a leadership/management or hybrid career path. This role requires a detail oriented, critical thinker who can anticipate issues, and solve problems. Candidates should be able to analyze large datasets to detect underlying patterns and drive to a root cause analysis.

Required Skills

Experience with Security Analysis and Incident Response (i.e., working in SOC/CIRT/CSIRT/CERT).

Subject matter expert in multiple areas such as Windows, Unix, firewalls, intrusion detection, and network- and host-based forensics.

Understand the totality of a threat across multiple technologies and think like an adversary.

Sound understanding of TCP/IP and networking concepts, security alerts, and incidents.

Excellent writing and presentation skills are required to communicate findings, recommendations, and status of ongoing investigations.

Experience with investigating common types of attacks, network packet analysis, log analysis, and reviewing security events.

Ability to build mitigations to defend against network-based threats.

Experience with developing response workflow for a security event.

Experience reverse engineering malware to understand attack vector and objective(s).

Ability to develop and maintain professional contacts in the security community.

Desired Skills

Security product assessments.

Scripting (Python, BASH, Perl, or PowerShell), coding, or other development experience.

In-depth knowledge of security event management, network security monitoring, log collection, and correlation.

Experience in Splunk usage or administration.

Experience in Security Orchestration and Automated Response (SOAR) usage.

Industry certifications: GCIH, GNFA, GREM, or other related certifications.

Experience in the financial industry.

Understanding of Cloud Security.

Knowledge on OWASP Top 10.

Morgan Stanley's goal is to build and maintain a workforce that is diverse in experience and background but uniform in reflecting our standards of integrity and excellence. Consequently, our recruiting efforts reflect our desire to attract and retain the best and brightest from all talent pools. We want to be the first choice for prospective employees.

It is the policy of the Firm to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, religion, creed, age, sex, sex stereotype, gender, gender identity or expression, transgender, sexual orientation, national origin, citizenship, disability, marital and civil partnership/union status, pregnancy, veteran or military service status, genetic information, or any other characteristic protected by law.

Morgan Stanley is an equal opportunity employer committed to diversifying its workforce (M/F/Disability/Vet).

Expected base pay rates for the role will be between $135,000 and $200,000 per year at the commencement of employment. However, base pay if hired will be determined on an individualized basis and is only part of the total compensation package, which, depending on the position, may also include commission earnings, incentive compensation, discretionary bonuses, other short and long-term incentive packages, and other Morgan Stanley sponsored benefit programs.

Posting Date

May 2, 2024

Primary Location

Americas-United States of America-Maryland-Baltimore

Education Level

Bachelor's Degree

Job

Threat Management

Employment Type

Full Time

Job Level

Vice President"
SOC/Security analyst,SOC/Security analyst,Stellar Professionals,May,2024,"We are looking to fill a 2nd Shift role as Security analyst in Des Moines, IA

2nd Shift 4:00pm - 12:30am CST

The purpose of this position is to provide tier two triage for information technology issues and information security incidents. As a tier two information security incident handler, this position will be responsible for information security incidents for the entirety of their lifecycle.

Serve as the primary incident owner for the Security Operations Center. Lead efforts related to the incident handling processes such as incident discovery, analysis and verification, incident tracking, containment and recovery, incident response coordination, escalation and notification. Lead efforts in coordinating with other teams to remediate detected incidents. Communicate intelligence to key personnel.

Applicants must have minimum of 6 years of relevant experience.

Candidate Requirements

Systems Security Certified Practitioner (SSCP), CompTIA Security+ (Security+ CE), CompTIA Cybersecurity Analyst (CSA+) or other information security certifications.
Strong understanding of security technologies and strategies, including but not limited to: firewall, IDS, policy management, security processes/best-practice, logging/monitoring, antivirus, vulnerability assessment, patch management, and incident response.
Solid knowledge of common and emerging attack vectors, penetration methods and countermeasures.
Knowledge of conflict resolution and incident escalation.
Ability to work effectively with customers to solve business challenges while balancing the need for confidentiality, integrity, and availability.
Demonstrated ability to resolve issues in a variety of complex situations which require complex judgments and solutions based on sophisticated analytical thought.
Demonstrated ability to solve complex problems, convey both oral and written instruction, and handle multiple task interruptions while providing services in a professional and courteous manner.
Proven ability to work with diverse audiences and translate technical information into non-technical information.
Must be an individual of high integrity and be a model of unwavering integrity to others.
Commitment to fostering a diverse working environment.
Demonstrated ability to work independently,as part of a team of peers, and also to support and contribute to amultidisciplinary team environment."
Cyber Security Engineer,Cyber Security Engineer,QuantumBricks,May,2024,"Responsibilities And Duties

Design, implement, and monitor security measures for the protection of computer systems, networks, and information.
Design computer security architecture and develop detailed cybersecurity designs.
Perform vulnerability testing, risk analyses and security assessments
Research security standards, security systems and authentication protocols
Develop technical solutions and identify and implement new security tools to help mitigate security vulnerabilities and automate repeatable tasks
Evaluate new technologies and processes that enhance security capabilities.
Test security solutions using industry standard analysis criteria.
Investigate intrusion incidents, conduct forensic investigations, and mount incident responses.
Collaborate with colleagues on authentication, authorization, and encryption solutions.
Respond to information security issues during each stage of a project’s lifecycle
Review and approve modification of firewall rules, systems changes and other IT changes that could impact the security or integrity of PCHI data and systems.
Test final security structures to ensure they behave as expected
Consult with IT staff to ensure that security is factored into the evaluation, selection, installation of hardware, applications, and software.
Participate in Incident Management and work collaboratively with Risk, Audit, and Legal teams. Conduct annual review and keep plans and documentation up to date.
Provide company-wide security alerts to known vulnerabilities
Stay current with the latest cyber security threat landscape and notify IT teams of applicability to the company’s systems.
Manage outsourced vendors that provide information security functions for compliance with contracted service-level agreements and information security policies and procedures.
Manage the day-to-day activities of threat and vulnerability management, identify risk tolerances, recommend treatment plans and communicate information about residual risk.
Manage security projects and provide expert guidance on security matters for other IT projects.
Helps facilitates training and education efforts as appropriate for Party City personnel related to security policies, procedures, practices, awareness and risks associated with technology, cyber and data security.
Responsibilities sometimes require working evenings and weekends, sometimes with little advanced notice.

Skills Required

Knowledge of networking, common workstation and server platforms and protections, Linux, Active Directory, ecommerce, vulnerability management, cloud security and O365.
Strong technical background in information systems, systems administration, network design, network traffic analysis, and cloud security
Excellent problem-solving skills.
Excellent communication skills, both written and oral
Ability to work with both team members and internal customers in a collaborative environment.
CISSP or equivalent preferred
Knowledge of information security and compliance related issues involving PCI-DSS, Sarbanes-Oxley, data privacy, and similar regulations
Knowledge of common exploits and attack vectors
Experience with scripting languages such as PowerShell, shell scripting, etc. a plus

Working knowledge of common security tools."
Cyber Security Engineer,Cyber Security Engineer,Accroid Inc,May,2024,"Position - Cyber Security Engineer

Location - Hybrid

Duration - 6 Month contract

MOI - Video

Required Skills

Cyber security for Nuclear Facilities or Power facility experience
Experience in integrated plant control design and tuning or major system commissioning including testing development
Experience in Environmental qualification programs for Nuclear facilities
Experience with NUREG 0800, Chapters 7 and 18
Knowledge & understanding of US domestic or international licensing standards
Experience with applicable IEE, IEC, EPRI, ISA, ANSI, and IAEA codes and standards"
Security Analyst,Security Analyst,Wingstop Restaurants Inc.,May,2024,"WHO WE ARE
We’re not in the wing business. We’re in the flavor business. It’s been our mission To Serve the World Flavor since we first opened in 1994, and we’re just getting started. 1997 saw the opening of our first brand partner operated Wingstop location, and by 2002 we had served the world one billion wings. It’s flavor that defines us and has made Wingstop one of the fastest growing brands in the restaurant industry.
Above all else – our success is largely due to our people and our core values, or what we call The Wingstop Way, of being entrepreneurial, service-minded, fun and authentic. We believe having a strong people foundation centered on these collective values creates a crave-worthy culture and talented team, as well as ensures our brand is poised for accelerated growth. We all win together.

YOUR IMPACT
The Security Analyst, will play a key role is helping to support and execute security projects in the company’s overall security and data privacy programs.

This includes managing our Vulnerability Management program. The Analyst will leverage our security tools and data to identify vulnerabilities, assess and prioritize risks, and then work with cross functional teams to track and drive remediation efforts.

The Security Analyst, will also work to enhance and further build out our Security Awareness program to drive employee awareness on our Information Security Policies and Standards and ensuring that they are accessible and understood by all impacted users.

This role will also help to support our security operations by helping to investigate security alerts. This activity will include leveraging their technical knowledge, our security tools, and engaging IT Teams to validate the alert and determine risk and impact to identify next steps in our security incident response plan.

The Security Analyst will have the opportunity to also work with our Security Engineering, Data Privacy and IT Controls teams on various security projects to further build out Wingstop’s security technical and organizational measures.

WHAT YOU’LL DO
Manage all security vulnerabilities that have been identified via our 3rd party assessments and vulnerability management tools to ensure they are properly assessed for risk and prioritized appropriately. This role will then work with cross functional teams to communicate the vulnerabilities and track and drive remediation efforts.
Work directly with our Wingstop Learning and Development team to develop and execute an annual security awareness training program that ensures corporate and restaurant employees understand Wingstop’s security policies, are educated on security risks, and the role our team members play in keeping Wingstop secure. The training material will be used to also support and enhance compliance programs (PCI, SOX, etc..) ensuring all training requirements are successfully completed and documented.
Investigate and respond to security alerts to identify the validity of the alert and to identify the risk and impact to Wingstop.
Identify and establish key metrics to indicate the health and status of Wingstop’s Vulnerability Management Program and Security Awareness Program.
Work with cross functional teams to drive security related initiatives

WHO YOU ARE
HUMBLE: You feel there is always opportunity to further your personal and professional growth.
B.S. degree in a computer science, information technology, computer related discipline or 5+ years IT work experience.
Team Player with proven leadership, communication, organizational, and relationship management skills.
Self-motivated, with keen attention to detail and excellent judgment skills.
grasp of information security principles and methodologies
with information security tools and solutions supporting vulnerability management.
key operational, and program metrics designed to provide transparency of key attributes related to vulnerability management and security awareness.
to write and present articulated documentation and processes.\
Knowledge of hybrid IT systems, networking, co-locations, and cloud environments (AWS, Azure, etc.).
CISA, CRISC, GIAC, CISM, or CISSP Certification is a plus
HUNGRY: You have a fire in you to keep pursuing excellence. You have strong business knowledge and an analytical mindset, easily managing tasks and projects across business lines, and building relationships.
SMART: You have a high degree of emotional intelligence and a thirst for knowledge. You have the aptitude to work both independently and collaboratively, the talent to apply sound, strategic thinking and analysis to address a variety of business circumstances, and the capability to produce high-quality, detail-oriented work within a fast-paced environment.
SERVICE-MINDED: You consider others at every turn by exercising your responsibilities in an energetic, proactive and organized way.
ENTREPRENEURIAL: You work with an owner’s mentality when collaborating cross-functionally as you manage multiple concurrent tasks and projects from inception through execution.

A DAY IN THE LIFE
So, what does ‘all in a day’s work’ look like to a Wing Expert in this role? Your day could shape up somewhat like this:
use of a computer and other technology essential to the successful completion of your everyday role responsibilities, often in a seated position.
use of mental energy while gathering, documenting, analyzing, and communicating information with cross-functional colleagues, vendors, and extended Wingstop team.
Routine need to shift priorities among simultaneous tasks and projects, while upholding quality and sense of urgency.

Benefits:
FLAVOR PERKS:
Unlimited paid time off for exempt employees
One paid volunteer day of your choice
Competitive bonus structure for eligible roles
Team member stock purchase plan
Health savings or flexible spending account options
401k – (dollar for dollar on the first 3% and then 50 cents on the dollar for the next 2% for team member contributions up to 5% of eligible compensation)
Comprehensive medical, dental, and vision benefits
Basic life and AD&D insurance provided
Pet insurance
Education Assistance
Discounted reimbursement program
Paid maternity and paternity leave
FUN IS THE BEST FLAVOR:
Lunch provided every Tuesday and Thursday in office
Work from home Fridays
Discount on Wingstop gift cards
Discounted onsite dry cleaning
Discounted onsite car detailing
Onsite game room and patio

Wingstop provides equal opportunities for everyone that works for us and everyone that applies to join our team, without regard to sex or gender, gender identity, gender expression, age, race, religious creed, color, national origin, ancestry, pregnancy, physical or mental disability, medical condition, genetic information, marital status, sexual orientation, any service, past, present, or future, in the uniformed services of the United States (military or veteran status), or any other consideration protected by federal, state, or local law."
Cybersecurity Engineer,Cybersecurity Engineer,"Paragon Cyber Solutions (8a, EDWOSB, SDVOSB, CMMC-C3PAO) | 2023 Small Business of the Year",August,2023,"Paragon Cyber Solutions has an immediate opening for those ready for an exciting and dynamic career as a Cybersecurity Engineer to join other smart, talented, and dedicated engineers that pride themselves in analyzing the most difficult challenges for the launch-test range while developing and delivering solutions to meet the needs of the US Space Force and their customers. This opportunity designs, develops, modifies, evaluates, and implements new and existing Telemetry hardware systems, leading the technical aspects of a multi-disciplined project team.

Clearance

Active Secret Clearance

Requirements

Essential Functions

Responsible for, support of, and coordinating with other Engineers, Architects, and teams in implementing a comprehensive cloud and application cybersecurity program in a DevSecOps environment
Hands on experience with ESXi, VMWare, Linux, Windows AD, SCAP, and remediating STIG findings
Review, assess, and create documentation including Statement of Objectives (SOO)
Perform other duties as assigned


Required Skills

Experience in implementing and enforcing application cybersecurity and vulnerability management


Required Experience

Bachelor's degree in Cybersecurity, Information Technology, Computer Science or related field; or equivalent combination of education and experience
Five (5) years or more of Cybersecurity related experience
Understanding of RMF, eMASS, POA&Ms, ACAS, and Vulnerability Management
Experience conducting Information Systems vulnerability assessment, risk mitigation, and application of mitigation strategies


Additional Eligibility Qualifications

DoD 8570 IAT II or IAM II Certified (Security+ CE or equivalent) required at higher


Benefits

Health Care Plan (Medical, Dental & Vision)
Retirement Plan (401K w/ employer matching)
Paid Time Off & 11 Paid Holidays
Short and Long-Term Disability
Healthy Work-Life Balance
Training & Development


Why Work For Paragon Cyber Solutions?

You want to make a difference. You want to be recognized by name versus being a number. You want to work with a company where you can grow and work in different areas to increase your knowledge/experience. You have an entrepreneurial spirit and need to live it.

As a small business, each team member rolls up their sleeves and helps where needed (including our CEO). Our ideal candidate will be comfortable with multi-tasking and prefers working in a fast-paced, dynamic environment. You must be adaptable to the needs of a growing business.

A Model of Excellence

That's our motto in all we do and what we seek in our team members.

Are you a hardworking professional seeking a new opportunity that fosters growth? Look no further!

We are an award-winning minority, woman, veteran-owned, 8(a), EDWOSB, VOSB, certified Tampa, FL-based small business. We pride ourselves on delivering high-quality solutions that help our clients protect the integrity of their business operations."
Information Security Engineer,Information Security Engineer,Mantek Solutions Inc.,May,2024,"Our Client is in need of an Information Security Engineer for a full time position in Montebello, CA.

May require travel to sites.

Job Summary

The IT Security Engineer is responsible to identify, evaluate, and implement technical security controls to prevent, detect, contain, and respond to information security threats which includes supporting the technology efforts of the Client. This person is required to analyze threats using a variety of security technologies including a SIEM, email filtering, phishing detection, web filtering, firewalls, intrusion prevention, data loss prevention, and data encryption. Reviews and provides guidance for security configuration of Servers, Firewalls, VPN, Intrusion Prevention Systems, Routers and Switches. Required to lead projects and project teams within and outside the security department. Must maintain an in-depth understanding of current and emerging security threats, recommending upgrades to the organization's technical infrastructure to protect against such threats. This individual also assists in the development and maintenance of information security strategy and will be required to provide support across other technology and business units, ensuring the implementation and operation of the appropriate security controls across the organization are aligned with Information Security policies and standards.

Skills And Abilities

Strong analytical skill set to decipher business needs and recommend solutions.
Must have the ability to manage multiple deadlines.
Excellent problem solving abilities.
Detailed oriented and able to follow-up and follow-through on project actions and tasks.
Demonstrated ability to address IT risk by coming up with the appropriate security controls to mitigate the risk to the business.
Excellent communication and organization skills, both written and verbal
Superior customer focus and the ability to manage customer expectations.
Demonstrated commitment to and leadership of continuous process improvement.

Physical Requirements

Ability to sit, stand, stoop, reach, lift (up to 10 pounds), bend, etc., hand and wrist dexterity to utilize computer.
May require travel to sites/program and special functions.

Environmental Conditions Critical To Performance

Work is in an office environment, climate controlled through central air conditioning.

Education And Experience

Bachelor’s Degree in Computer Science, Health / Business Administration or Information Technology and 2 years of progressive experience in information security as an engineer, architect or analyst.
In lieu of a college degree, 4 years of progressive experience in information security as an engineer, architect or analyst.
Knowledge and understanding of relevant legal and regulatory requirements (i.e. HIPAA, PCI, Privacy, etc.) is required.
At least one security industry certification is preferred (CISSP, CISM, CISA or SANS), but not required.
Knowledge of healthcare industry and hospital operations preferred.
Appropriate certification in risk management and/or health care compliance desirable.

Essential Job Functions Of Job Description

Serves as security engineer for network, infrastructure, application, end point, database, operating system and cloud security controls, helping Health Services comply with enterprise and IT security policies, Federal/State law, industry regulations and best practices.
Assists with interpretation of information security policies, standards, and other requirements as they relate to specific internal and externally hosted IT systems and assists internal and external technology teams in the implementation of information security requirements.
Recommends security requirements by evaluating business strategies and requirements; researching information security standards; conducting system security and vulnerability analyses and risk assessments; studying architecture/platform; identifying integration issues; preparing cost estimates.
Participates in ensuring that IT Security controls meet the requirements of all regulatory and/or contractual requirements; HIPAA, PCI Security Standards, State and Federal Privacy Laws, etc.
Assists in the designing and engineering of internal information handling processes so that information is appropriately protected from a wide variety of problems including unauthorized disclosure, unauthorized use, inappropriate modification, premature deletion, and unavailability
Serves as an active member of incident response teams and participates in security incident response efforts by having an in-depth knowledge of common security exploits, vulnerabilities and countermeasures. Acts as a technical consultant on information security incident investigations and forensic technical analyses.
Ensure all areas of the Information System and Technology environment adhere to established standards of good practice or defined frameworks (NIST, ISO, COBIT, etc.)

If qualified and interested in this opportunity, please apply with an updated resume and annual salary requirements.

No Corp to Corp / No Sponsorship / W2 Only / No third party candidates considered for this position.

JPC-6939"
Cyber Security Engineer,Cyber Security Engineer,QuantumBricks,April,2024,"Responsibilities And Duties

Design, implement, and monitor security measures for the protection of computer systems, networks, and information.
Design computer security architecture and develop detailed cybersecurity designs.
Perform vulnerability testing, risk analyses and security assessments
Research security standards, security systems and authentication protocols
Develop technical solutions and identify and implement new security tools to help mitigate security vulnerabilities and automate repeatable tasks
Evaluate new technologies and processes that enhance security capabilities.
Test security solutions using industry standard analysis criteria.
Investigate intrusion incidents, conduct forensic investigations, and mount incident responses.
Collaborate with colleagues on authentication, authorization, and encryption solutions.
Respond to information security issues during each stage of a project’s lifecycle
Review and approve modification of firewall rules, systems changes and other IT changes that could impact the security or integrity of PCHI data and systems.
Test final security structures to ensure they behave as expected
Consult with IT staff to ensure that security is factored into the evaluation, selection, installation of hardware, applications, and software.
Participate in Incident Management and work collaboratively with Risk, Audit, and Legal teams. Conduct annual review and keep plans and documentation up to date.
Provide company-wide security alerts to known vulnerabilities
Stay current with the latest cyber security threat landscape and notify IT teams of applicability to the company’s systems.
Manage outsourced vendors that provide information security functions for compliance with contracted service-level agreements and information security policies and procedures.
Manage the day-to-day activities of threat and vulnerability management, identify risk tolerances, recommend treatment plans and communicate information about residual risk.
Manage security projects and provide expert guidance on security matters for other IT projects.
Helps facilitates training and education efforts as appropriate for Party City personnel related to security policies, procedures, practices, awareness and risks associated with technology, cyber and data security.
Responsibilities sometimes require working evenings and weekends, sometimes with little advanced notice.

Skills Required

Knowledge of networking, common workstation and server platforms and protections, Linux, Active Directory, ecommerce, vulnerability management, cloud security and O365.
Strong technical background in information systems, systems administration, network design, network traffic analysis, and cloud security
Excellent problem-solving skills.
Excellent communication skills, both written and oral
Ability to work with both team members and internal customers in a collaborative environment.
Knowledge of information security and compliance related issues involving PCI-DSS, Sarbanes-Oxley, data privacy, and similar regulations
Knowledge of common exploits and attack vectors
Experience with scripting languages such as PowerShell, shell scripting, etc. a plus
Working knowledge of common security tools.

Qualifications

Bachelor's Degree in Computer Science, Information Security, or other related field. Or equivalent work experience.
5+ years of experience with information security.
CISSP or equivalent preferred"
SOC Analyst,SOC Analyst,Team Remotely Inc,May,2024,"This is a remote position.

SOC Analyst (1 year experience, remote)

Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.

Hiring Type: Full-Time

Base Salary: $61K-$71K Per Annum.

Responsibilities

The SOC Analyst (Level 1) is responsible for:

Initial triage of security events using established procedures, tools, and monitoring platforms including, but not limited to:
Firewalls and network devices
Servers and workstations
Web proxies
Intrusion detection and prevention systems (IDS/IPS)
Anti-malware systems
Security Incident and Event Management systems (SIEM)
Data Loss Prevention systems (DLP)
Advanced Endpoint Detection and Response systems (EDR)
External communications from outside entities, users, phone calls, and emails.
Assist senior members of the SOC with analyzing and responding to potential security incidents
Maintain situational awareness of emerging cyber trends by reviewing open-source reports for recent vulnerabilities, malware, and other threats that have the potential to impact our client organizations.
Document threat campaign(s) techniques, lateral movements and extract indicators of compromise (IOCs).
Manage the Security monitoring tools, and set up dashboards and alerts.
Develop and maintain technical documentation and Standard Operating Procedures (SOP).
Conduct security research and intelligence gathering on emerging threats and exploits.
Participate in shift transition calls to ensure all open cases and tasks are properly managed and addressed.
Periodic reporting of metrics and corresponding analysis for client review and strategic information security program adjustments and planning.
Maintenance and management of various security technology platforms.

Qualifications

Highly motivated to work in information security
Candidate must be a US citizen / permanent resident.
Customer-oriented & professional.
Strong verbal and written communication skills, fluent in English.
Ability to understand and correlate data from multiple sources, not limited to user authentication events, windows security event logs, Syslog, NetFlow/PCAP data, DHCP logs, DNS logs, intrusion detection alerts, proxy logs, packet captures, and firewall events.
Knowledge of various security methodologies and processes, and technical security solutions a plus.
Understanding how both Windows, Linux, and network platforms are compromised is a plus.
Experience as a Security/Network Administrator or equivalent knowledge. Previous Security Operations Center (SOC) experience is a plus.
Experience with Security Information and Event Management (SIEM) tools is a plus.
Regular expression creation experience to support dynamic security event analysis.
Solid understanding of IP networking fundamentals, including IPv4, TCP/IP, LAN/WAN design theory, static and dynamic routing protocols, NAT, ACLs, etc.
Solid Understanding of TCP/IP, the OSI Model, and underlying Protocols.
Scripting language skills in Python or PowerShell are a plus.
Understanding of cyber forensics concepts including malware, hunt, etc. a plus.
Understanding how to interpret vulnerability and penetration scan results is a plus.
Configuration and knowledge of design and implementation concepts of firewall, VPN, IPS, vulnerability management platforms, and other security technologies is desirable
Bachelor’s degree in Information Technology or equivalent experience preferred; background will be considered instead of formal education.
Competency with Microsoft Operating Systems, including server and workstation and AD engineering and administration capabilities, is desirable
Basic knowledge of Linux operating systems (command line and GUI) is a plus
Expected to stay current on security industry trends, new threats and attack techniques, mitigation techniques, and emerging security technologies"
Cyber Security Engineer,Cyber Security Engineer,JCS Solutions LLC,April,2024,"JCS Solutions LLC (JCS) is seeking a highly skilled Cybersecurity Specialist with a strong background in U.S. Government security standards and requirements. The ideal candidate will have experience working with NIST, OMB, and FISMA guidelines. This role involves collaborating with operational teams to ensure robust security controls across our systems, both within the NOAA data center and in the cloud.

Key Responsibilities:

Monitor and ensure compliance with federal, state, and local IT laws and regulations.
Provide Security Incident management support, actively participating in incident mitigation for FISMA Systems.
Develop and update policy documents, checklists, and SOPs to meet client requirements.
Document all security-related activities for compliance. Manage routine Data Call processes, interpreting information from government agencies
Operate and maintain a Cybersecurity Awareness and Training program
Conduct application training and provide user support
Stay informed on Enterprise security trends, translating information for upper management.
Monitor emerging security vulnerabilities and changes to regulatory standards.
Prepare monthly, quarterly, and annual cybersecurity evaluation reports
Support vulnerability management and Smartsheet Dashboard operations.
Assist in the Assessment and Authorization (A&A) process, including monitoring POA&M status.
Review and approve Draft POA&Ms, ensuring compliance.
Monitor ATO status for FISMA systems, taking proactive measures for timely A&A completion.
Manage SharePoint, CSAM, and Security Center account management activities

Position Requirements:

Must be a US Citizen
Must be within 50 miles of Washington, DC
Bachelor's degree in Cybersecurity, Information Technology, or related field, or compensatory experience.
2+ years of experience in cybersecurity compliance
Proficiency in IT policy interpretation and compliance.
Strong documentation skills for policy development and maintenance
Experience in managing cybersecurity awareness and training programs
Familiarity with Data Call processes and government agency information interpretation.
Knowledge of vulnerability management, A&A processes, and compliance monitoring tools.
Effective communication skills with the ability to provide clear reports to upper management

Desired Requirements:

Relevant certifications (e.g., CISSP, CISM, CompTIA Security+)

About JCS Solutions LLC:

JCS Solutions LLC (JCS) is a premier technology firm specializing in enterprise-wide capabilities including cloud and infrastructure solutions, cyber security, digital modernization, next generation technologies enablement, software solutions, and mission support services dedicated to providing the highest quality of services and solutions. Our employees enjoy a work culture that promotes upskilling, innovation, and we've been certified as a Great Place to Work four years in a row!

JCS benefits include 401k retirement plans, paid time off, health insurance, dental insurance, vision insurance, life insurance, long term disability, short term disability, and opportunities for professional development.

It is JCS’ policy to promote equal employment opportunities. All qualified applicants will receive consideration for employment without regard to sex, race, color, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.

All successful candidates must be COVID-19 vaccinated.

If you require additional accommodation, please contact us at Careers@jcssolutions.com or (703) 972-9115.

Powered by JazzHR

7OqBGHllNG"
