Position,Company_Name,Location,Post_Month,Post_Year,Details
Data Analyst,Data Analyst,Microsoft,May,2024,"Microsoft Cloud Operations + Innovation (CO+I) is the engine that powers Microsoft's cloud services. Microsoft Cloud Operations + Innovation is responsible for designing, building, and operating our unified global datacenters, managing the supply planning and capacity utilization of our unified infrastructure, and is responsible for all of the operations needed to run the physical infrastructure (including supply chain, hardware, power, security, and workflow teams).



The Demand and Strategic planning organization is seeking a Data Analyst to help drive demand data insights and strategic initiatives across CO+I organization. This role is responsible for deriving business insights to leadership using data that will lead to better decision making as we grow in complexity.

This critically vital role requires an individual who can apply in-depth knowledge of the business, its data landscape, and the lineage of those data to proactively identify opportunities to explore and address business questions across multiple areas. The solutions and data analysis developed by the individual in this role will be delivered to executives through a high-tempo rhythm of business that demands the ability to develop robust analysis, navigate evolving strategies, communicate crisply, and drive changes on short intervals. In addition, this role will be responsible for identifying demand needs and coordinating across engineering, operations, and finance teams to evaluate and recommend potential solutions.

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.

In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day.

Responsibilities

Clean, analyze, and visualize a variety of Demand telemetry and Demand metrics to identify opportunities, insights, and anomalies.
Develop automated dynamic reports and dashboards to support key business functions and initiatives.
Compile comprehensive and accurate stakeholder facing reports on a timely basis
Guide business leaders with confidence in your analytics and reporting to ensure smooth execution.
Summarize and clearly communicate data analysis assumptions and results.
Support day-to-day operations with ad-hoc analysis.
Support demand planning in Sales & Operations Planning (S&OP) and Executive S&OP
Work across a diverse group of stakeholders to ensure we collaboratively improve, adapt, and adopt our processes and support software systems to support rapidly changing business requirements.
Build and manages key relationships needed for demand planning. Drives collaboration and alignment on plans; cross-functional relationships.
Collaboration and supply chain management
Other
Embody our Culture and Values
Qualifications

Required Qualifications:

Bachelor's Degree in Statistics, Mathematics, Analytics, Data Science, Engineering, Computer Science, Business, Economics or related field AND 2+ years experience in data analysis and reporting, data science, business intelligence, or business and financial analysis
o OR Master's Degree in Mathematics, Analytics, Data Science, Engineering, Computer Science, Business, Economics or related field
o OR equivalent experience.
Other Requirements

These requirements include, but are not limited to, the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.

Preferred Qualifications

Sound communication and leadership skills to drive projects and build buy-in and support.
Demonstrated experience leading and managing a business-critical function.
Technical certifications relevant to data analysis/BI

Data Analytics IC3 - The typical base pay range for this role across the U.S. is USD $80,900 - $162,200 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $105,300 - $176,900 per year.

Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/us/en/us-corporate-pay

Microsoft will accept applications and processes offers for these roles on an ongoing basis.

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
"Junior Data Analyst, Guest Experience, Burger King","Junior Data Analyst, Guest Experience, Burger King",Burger King,May,2024,"About Restaurant Brands International

Restaurant Brands International Inc. is one of the world's largest quick service restaurant companies with over $40 billion in annual system-wide sales and over 30,000 restaurants in more than 100 countries. RBI owns four of the world's most prominent and iconic quick service restaurant brands – TIM HORTONS®, BURGER KING®, POPEYES®, and FIREHOUSE SUBS®. These independently operated brands have been serving their respective guests, franchisees and communities for decades. Through its Restaurant Brands for Good framework, RBI is improving sustainable outcomes related to its food, the planet, and people and communities.

Position Overview

As Analyst, Guest Intelligence, you will play a pivotal role in leveraging data analytics to extract valuable insights from guest interactions, behaviors, and preferences. The ideal candidate will have a strong technical background with expertise in SQL, and the ability to code in Python. Familiarity with data warehousing, especially Snowflake, is a significant advantage. This role involves not only specializing in Guest Analytics but also providing support for various technical analytics requests from teams across the brand.

Key Responsibilities

Guest Analytics
Utilize advanced SQL skills to analyze and interpret guest data, providing valuable insights to enhance guest experiences.
Develop and implement analytics strategies focused on understanding guest behaviors, preferences, and trends.
Technical Analytics Support
Collaborate with cross-functional teams to address technical analytics requests, providing expertise in SQL and Python coding.
Contribute to the development and optimization of data queries and analytical models to meet diverse business needs.
Data Warehousing
Leverage familiarity with data warehousing concepts, with a focus on Snowflake, to optimize data storage, retrieval, and analysis processes.
Work closely with the data engineering team to ensure seamless integration and accessibility of guest-related data.
Reporting and Visualization
Generate clear and concise reports, dashboards, and visualizations to communicate analytical findings to stakeholders.
Contribute to the continuous improvement of reporting tools and methodologies.
Qualifications

Bachelor's degree in a quantitative field such as Computer Science, Statistics, Physics, Economics, or related discipline.
Proven experience in a technical analytics role, with a focus on SQL expertise.
Coding proficiency in Python for data analysis and manipulation.
Familiarity with data warehousing concepts, particularly with Snowflake.
Strong analytical and problem-solving skills with a keen attention to detail.
Excellent communication skills to convey complex technical insights to non-technical stakeholders.

#BurgerKing

Restaurant Brands International and all of its affiliated companies (collectively, RBI) are equal opportunity and affirmative action employers that do not discriminate on the basis of race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or veteran status, or any other characteristic protected by local, state, provincial or federal laws, rules, or regulations. RBI's policy applies to all terms and conditions of employment. Accommodation is available for applicants with disabilities upon request.

50241631"
Data Analyst,Data Analyst,MemorialCare,May,2024,"Title: Data Analyst

Location: Long Beach

Department: Central Staffing

Status: Full-time

Shift: Days

Pay Range*: $30.05/hour - $43.58/hour

At MemorialCare Health System, we believe in providing extraordinary healthcare to our communities and an exceptional working environment for our employees. Memorial Care stands for excellence in Healthcare. Across our family of medical centers, we support each one of our bright, talented employees in reaching the highest levels of professional development, contribution, collaboration and accountability. Whatever your role and whatever expertise you bring, we are dedicated to helping you achieve your full potential in an environment of respect, innovation and teamwork.

Position Summary

The Data Analyst is responsible for preparing the budgets, analyzing and tracking financial performance, and reporting biweekly and monthly workload information by work group.

Essential Functions And Responsibilities Of The Job

Organizes and analyzes the department’s financial data by pay period and month and prepares reports and graphs for managers and staff. Maintains department data and files on the Pharmacy server for manager access
Analyzes and tracks department financial performance.
Engages in a positive and constructive manner with co-workers, and projects a professional image of the department in dress and behavior. Attends department education and training in-services. Participates in specific performance improvement projects as applicable.
Is organized and has the ability to manage multiple tasks at one time. Organizes work, sets priorities, and determines resource requirements; determines the necessary sequence of activities needed to achieve goals.
Allocates time and resources efficiently and effectively; prioritizes work and delegates as appropriate; works to minimize institutional risk by acting as a responsible steward for the organization.
Generates creative approaches to addressing problems and opportunities; identifies and weighs options; makes sound decisions after reviewing all relevant information; anticipates and plans for potential problems; takes calculated risks; recognizes the impact of solutions.
The ability to efficiently and accurately identify and locate relevant sources of information followed by a capacity to synthesize and analyze data of various complexity and importance.
Demonstrates the ability to use technology effectively and productively; continually updates skills and knowledge; addresses problems as they arise or seeks help as appropriate.
The ability to understand a situation or problem by identifying patterns or connections between ideas or situations that are not obvious or related. The ability to recognize and organize the parts of an issue in a systemic way and to frame new ideas and courses of action.
The ability to effectively utilize available time for the completion of necessary job tasks.
Placement in the pay range is based on multiple factors including, but not limited to, relevant years of experience and qualifications. In addition to base pay, there may be additional compensation available for this role, including but not limited to, shift differentials, extra shift incentives, and bonus opportunities. Health and wellness is our passion at MemorialCare—that includes taking good care of employees and their dependents. We offer high quality health insurance plan options, so you can select the best choice for your family. And there’s more...Check out our MemorialCare Benefits for more information about our Benefits and Rewards."
Data Analyst,Data Analyst,LTIMindtree,May,2024,"About Us:
LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com.
Job Title: Data Analyst

Work Location
Location: Atlanta GA

Job Description:

Responsibilities:
Analyze large datasets to identify patterns, trends, and outliers.
Collaborate with cross-functional teams to understand business requirements and data needs.
Develop and optimize SQL queries using Teradata SQL and BTEQ for efficient data extraction and manipulation.
Utilize Python for data processing, transformation, and statistical analysis.
Analyze data pipelines and processes, identifying and resolving any issues that arise.
Create and maintain documentation related to data analysis processes, methodologies, and findings.
Provide insights and recommendations based on data analysis to support business decision-making.
Work with business stakeholders to document and explain findings.
Requirements:
Proven experience as a Data Analyst, with a focus on analyzing large datasets.
Expertise in Teradata SQL and BTEQ for data querying and manipulation.
Proficiency in Python for data analysis and scripting.
Strong understanding of cloud computing principles, with experience working on AWS native services.
Experience with CloudWatch and Lambda is a plus.
Excellent analytical and problem-solving skills.
Strong communication skills, with the ability to convey complex technical concepts to non-technical stakeholders.
Detail-oriented with a focus on accuracy and quality.
Must be located in Atlanta and available to work in-office on a full-time basis.

Benefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):

Benefits and Perks:
Medical Plan Covering Medical, Dental, Vision
Term and Long-Term Disability Coverage
Plan with Company match
Insurance
Time, Sick Leave, Paid Holidays
Paternity and Maternity Leave

The range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.

Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.

LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.
Safe return to office:
In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes."
Associate Data Analyst,Associate Data Analyst,Zest AI,May,2024,"Zest AI has been perfecting AI for consumer lending decisions since 2009. Our mission is to broaden access to equitable lending and our AI-enabled software creates some of the most inclusive risk models in the industry. Our Model Management System helps lenders make better decisions and better loans — increasing revenue, reducing risk, and automating compliance — while expanding credit access to deserving people with no added risk!

Our technology teams at Zest AI thrive on solving challenging problems that have a big impact on people's daily lives. We build tools to improve consumer lending by meeting the needs of financial institutions and their customers around the world. By leveraging a combination of machine learning and vast amounts of data, we seek to challenge traditional credit scoring models, while expanding the use of our proprietary technology across the fintech industry. Our team is committed to continuously leveraging and adapting the latest advances in AI/ML to benefit those we serve.

As a Data Analyst, you will be responsible for interpreting and analyzing complex data sets, developing insights to help drive business strategies, and communicating your findings to both technical and non-technical team members. You will also be involved in project management, ensuring that data-driven projects are completed on time and within scope. In this role, you will work closely with Data Scientists, Engineers, and our Client Success team to ensure our data solutions meet and exceed client expectations. Additionally, you will have the opportunity to drive your own research projects under the guidance of senior team members.

Responsibilities:
- Analyze and interpret complex data sets and machine learning model results using advanced statistical techniques.
- Translate model results to business impact.
- Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality
- Identify, analyze, and interpret trends or patterns in complex data sets
- Work closely with management to prioritize business and information needs
- Communicate findings to company through standard and ad hoc reports
- Promote and support data-driven decision making within the organization

Requirements:
- Expertise in data wrangling and manipulation in Python and SQL
- Solid understanding of machine learning and statistical analysis
- Excellent business acumen and ability to understand and solve complex business problems
- Strong coding skills, comfortable with Object-Oriented Programming
- Strong communication skills, with the ability to present complex data in a clear and concise manner
- Good project management skills, with a proven track record of delivering projects on time and within scope
- Bachelor's degree in Computer Science, Statistics, or a related field

Perks and benefits:
All Zestys experience:
The opportunity to join a mission-focused company
People – the best part of Zest
Robust medical, dental and vision insurance plans
Annual bonus plan participation
401(k) with generous match
Employee Awards and Recognition
11 company holidays
Winter break (office closed between Christmas and New Year's Day)
Unlimited vacation time
Employee Resource Groups
Generous family leave policy (12 week maternity leave / 6 week paternity leave)
Phone, internet, wellness, and professional development allowances
Employee gatherings, including Town Hall meetings

Additionally, our Burbank, CA area, hybrid model Zestys enjoy:
Beautiful, modern, dog-friendly office with lounge areas, video games, and gigantic jigsaw puzzles
Daily catered lunches from LA’s best restaurants and a fully stocked kitchen
Complimentary manicures, pedicures, and mindfulness sessions
Company happy hours, social events, outings, and much more!

About Zest AI:
Creating a diverse and inclusive culture where all are welcomed, valued, and empowered to achieve our full potential is important to who we are and where we’re headed in the future. We know that unique backgrounds, experiences, and perspectives help us think bigger, spark innovation, and succeed together. Zest is committed to diversity, equity, and inclusion and encourages professionals from underrepresented groups in technology and financial services to apply.

Our core values are Communication, Collaboration, Bias for Action, Client-centricity, and Heart. Learn more at Zest.ai, follow us on LinkedIn (linkedin.com/company/zest-ai/) or Twitter @Zest_AI, or check out our Insights blog (https://www.zest.ai/cms/insights)."
Data Analyst,Data Analyst,SPC Student Price Card,May,2024,"We're on a mission to improve Student Life - savings for students of every need!

We are a forward-thinking marketing and product-driven organization seeking a skilled and informed data analyst expert with new, innovative ideas and a keen eye for detail.
We are looking for a Data Analyst that's passionate about everything related to data. We eagerly invite new graduates and interns to join our team, offering exciting opportunities for growth and development.

The ideal candidate knows how to use analytical tools to analyze large datasets to better understand trends, patterns, and anomalies. You will collaborate with teams to assist with building reports and presentations of insights to help discover critical business opportunities and customer personalization. You’ll also work to present the data in a way that’s concise, appealing, and readable.
Here's how you will impact SPC:
Build Business Cases: Shape strategic business decisions by assisting in analysis on various metrics/business cases to drive growth and member engagement
Data Visualization: Develop dashboards and automated reports to gather product insights and enable other teams to explore data sets to help answer questions or formulate stronger concepts/ideas.
Cohort Building: Responding to ad-hoc requests from the executive, financial or marketing teams when insights into our data are needed to offer personalization in product offerings.
Data Segmentation: Analyze and understand business requirements from multiple behavioral data sets
Product Analytics: Analyze user behaviour and create funnels that measure KPIs such as engagement, conversion, and retention
Help Grow the Business: Evolve loyalty into digital customer experience, define and oversee digital customer tools including App and Web
Other data tasks as needed

The soft skills you bring to the team:
Data-Driven: Data is your passion, and you have a good understanding of large datasets
Analytical: Great ability to know what to search for, in regard to data correlations and understand how information from data can influence action
Digitally Savvy: Someone who is passionate about the most current tools and tech trends
Collaborator: Able to build genuine relationships and work across various departments
Curious: Consistently asking questions and is able to use the tools available to find answers
Learning Ability: The ability to absorb new information readily and to put it into practice effectively.
Creativity: The ability to come up with original and innovative ideas and solutions, to adopt points of view outside the usual parameters.
Planning and Organizing: The ability to determine goals and priorities and to assess the actions, time and resources needed to achieve those goals.
Perseverance: The ability to hold on to views and plans of action despite adversity and constructive feedback.
Willingness to challenge the status quo: The ability to think out of the box and challenge traditional thinking
TECHNICAL ABILITIES
Excel
SQL
Mixpanel or similar tools such as Salesforce, Amplitude, PowerBI etc.
GoogleSuite
Tableau
R/ Python
ClickUp – Project Management tool like Asana, Monday etc.
What you contribute to the team:
Diploma or Bachelors – in the field Data Science, Statistics, Math, Analytics, Economics
1-2 years of working experience in the Data Science area
1-2 years’ experience building reports and dashboards
Experience working with complex data sets in a professional or educational setting
You have experience in and enjoy working in a fast-paced environment (start-up environment)
You are passionate about working with the Gen-Z demographic
Apply if you're a recent grad or seeking an internship before graduation
Attach your portfolio to your application!
Here’s what SPC offers:
VIP SPC Membership - Shop like a Student!
Out of Office – Vacation and Personal Days
Health Benefits - Health Spending Account, Dental, Drug, Travel and Group Insurance Coverage
SPC University - Develop your skills with a corporate Coursera subscription
Be Social - Company Sponsored Events both virtual and in-person
Early Friday, Every Friday – we like to think it’s summer year-round
Flexible Work – remote or in-person – it’s up to you
How we work:
You aren’t just valued for your experience and skillsets, but equally for your growth mindset and attitude. We work as a flat organization, working collaboratively as a team and showing up every day as our authentic selves. Our team knows that creative solutions require a diverse approach to thinking and life experiences.

SPC is an equal opportunity employer and values diversity at our company. Our hiring process is inclusive of all candidates regardless of their race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or, disability status. Accommodations are available upon request for all aspects of the selection process.

It’s not a big deal if you don’t meet all our requirements. Only 1% of candidates will ever meet every single requirement posted on most job postings.
If you’ve read this far, click Apply Now!"
Data Analyst,Data Analyst,Emonics LLC,May,2024,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users. 
 Responsibilities
Understand the day-to-day issues that our business faces, which can be better understood with data
Compile and analyze data related to business' issues
Develop clear visualizations to convey complicated data in a straightforward fashion

Qualifications
Bachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience
1 - 2 years' Data Analysis experience
Proficient in SQL"
Data Analyst,Data Analyst,Mason Alexander,May,2024,"Associate, IT Data Analytics – Private Credit
Location: New York
Employment Type: Full-time, Exempt
Hybrid Work Schedule: 4/1 split (Monday-Thursday work from office, Friday work from home)

Company Description:
Our client is a leading global investment firm that seeks to provide creative capital solutions and generate attractive risk-adjusted returns for our clients. They manage various strategies across the capital structure that include syndicated leveraged loans and high yield bonds to privately negotiated senior secured debt and mezzanine investments, asset-based leasing, and private equity.

Department Description:
The IT Data Analytics team is responsible for sourcing, processing, distributing data internally and externally. The team covers data needs across all aspects of investment analysis, portfolio management, back-office processing, investor reporting, and regulatory filings. Data Analytics team members collaborate closely with SMEs across Front Office, Backoffice, Investor Relations, Tax, Legal, Management Company in delivering data reporting and analytics technology solutions.

Position Description
Our client is seeking a Business Analyst / Business Intelligence Developer to join our technology team. This person will be responsible for building data analytics and reporting solutions associated with our Private Credit strategies. He/she will be involved in multiple projects, many of which will involve working directly with our Portfolio Management, Operations and Finance teams.

Responsibilities:
Specific responsibilities will include but not be limited to the following:
Work directlywith designated businessgroups to identifyprocess inefficiencies and automation opportunities
Own detailedanalysis of businessprocess workflows, helpingwith data cleanupand compiling data for ad-hoc requests
Collaborate with our internalsoftware development team as well as application vendors to develop solutions and integrate vendor products to deliver rich, enterprise-wide software solutions
Projects will include facilitating co-ordination and development of data analytics/ reporting solutions supporting the following:
Senior Management reporting
Business Development and Investor Relations
Various FrontOffice PMs, Tradersand Analysts
Risk Analytics
Middle Office operations
Ability to partner with offsite and offshore development teams
Continuously provide inputs to enrich data access and innovate dashboard capabilities

Candidate Profile:
Demonstrated track record of academic and professional achievement
Undergraduate degreewith focus on Computer Science/ Finance / Economics or equivalent
3-5 yearsof relevant experience in the financialindustry; hedge fund, private debt fund
Ability to perform businessanalysis, as well as manageand maintain varioususer relationships
Outstanding MicrosoftPowerBI skills
Technical expertise using MS SQL, MS Excel,Python, or other relevant data manipulation tools
Experience with Snowflake eco-system desired
Product knowledge with one or more asset classes (Bank Loans, bonds, credit derivatives, FX forwards)
Strong written and verbal communication abilities and inter-personal skills
Highest degree of business ethics and professionalism

Rate of Pay: The base salary range for this position is $125,000- $140,000 but may vary based on various factors including job function, experience, and geographic location. This position is eligible for a discretionary annual bonus."
Data Analyst,Data Analyst,Spot Pet Insurance,May,2024,"Spot Pet Insurance is the fastest growing pet insurance company in North America. Our commitment to an exceptional end-to-end customer experience and our data-driven approach have quickly established us as a leading pet insurance provider. We're dedicated to providing pet parents with peace of mind by offering accessible and comprehensive coverage so their furry companions can lead happier, healthier lives. To demonstrate this, we recently joined forces with MrBeast to find homes for 100 homeless pets and committed to giving each of them pet insurance for life! Along the way, we’ve created a company culture that allows our employees to thrive, with perks like daily free meals, a pet-friendly office, and ridiculously fun company events every quarter. Our dedication to fostering a positive and rewarding work environment for our team has even earned us a Great Place to Work certification.

We are seeking a Data Analyst to join our dynamic team! The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users. We are looking for someone who is high energy, willing to run through walls, and has a great ability to collaborate.

Salary: $80-90K / year
*This job is in office only at our Downtown Miami Office. No remote work offered*

Responsibilities:
Work directly with management to help drive strategy and execute experiments to improve company efficiency across sales and marketing channels
Build full-cycle experiments, reports, dashboards that help the business achieve its goals and enable better decision-making
Capture our stakeholders' data needs and identify the primary output metrics that measure success. Regularly report on those metrics
Investigate new data sources and work on adding, automating, and updating data pipelines responsible for delivering data
Explore data correlations to refine the relationships between metrics
Align data handling practices with data privacy in mind
Build data governance with a single source of truth
Ensure data integrity and observability across all data

Qualifications:
Have 1-3 years working as a data analyst, business analyst, or data engineer.
Strong experience using SQL to turn datasets into metrics.
Experience with the ELT pattern
Experience in managing databases, including relational database architecture, query optimization, and database schema design.
Empathy and creativity to understand and solve stakeholders' problems.
Passion for data origins, integrity, accuracy, and storytelling.

Technologies:
SQL Databases (Postgres, MySQL)
Data Studio and Tableau
Google Analytics
GCP
BigQuery
Segment CDP
Python Programming
R Studio

Nice to haves:
Experience in analytics & visualization tools such as Tableau, Power BI
Experience with data engineering tools such as BigQuery
Experience with machine learning, advanced modeling, or market mix modeling
Experience with advanced statistics

What we offer:
The opportunity to work on challenging and impactful projects at the intersection of design and data.
A collaborative and supportive work environment, recognized as a Great Place to Work.
Cell phone allowance of $100
Benefit package
Dental, and visions benefits
Life insurance
Unlimited PTO
Bring your pet to work
Your pet insurance is covered (Up to $100)
401k with Company match
Annual performance-based bonus"
Data Analyst,Data Analyst,Atlas Search,May,2024,"We are working with a professional soccer league sanctioned by the US Soccer Federation. They are actively looking to hire a Data Analyst to join their Finance Department for a hybrid, contract assignment. The candidate in this role will review data based on parameters provided, conduct thorough analysis of large data sets, clean data within Excel and Hyperion, and source usable information from data sets. SQL, Python and Excel are a must for this position!

Primary Responsibilities
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Produces timely and accurate reports, presented in a clear and relevant format
Utilize tools such as Microsoft Power BI to present data, use automation tools available in Microsoft Office 365 Suite
1-2 years of experience"
