Position,Company_Name,Location,Post_Month,Post_Year,Details
Jr. DBA,Jr. DBA,Vaco,May,2024,"Junior Database Administrator
(Onsite - Wilmington, NC)

Job Summary: Assist the Database Administrator in managing MS SQL databases and servers, including design, development, maintenance, and troubleshooting.
Essential Job Functions:
Aid in developing and maintaining SQL Server maintenance plans, performance, security, and backup procedures.
Offer HelpDesk support for IT issues in a Microsoft Active Directory Domain environment.
Monitor and resolve Tier 1 issues with SQL integration points.
Maintain database backups and transaction logs.
Conduct database audits to ensure integrity.
Support organizational SQL reporting and data analysis.
Perform other assigned duties.
Available for essential duties during emergencies.
Education, Experience, and Requirements:
Bachelor's degree in computer services, information technology, or related field.
One to three years of experience in information technology, with foundation in MS SQL Server management.
Proficiency in T-SQL and scripting languages like PowerShell, JavaScript, or Python.

*Those not authorized to work in the US, please be aware that Vaco's clients are unable to offer sponsorship at this time. Additionally, this role is not open to C2C."
Database Administrator,Database Administrator,Texas Roadhouse,May,2024,"Want to love your job? We're hiring at the Texas Roadhouse Support Center! Flexibility, teamwork, and fun are some of the reasons our employees are proud to be Roadies. Apply today and join our team!

Requirements

We offer a comprehensive total rewards package on the first day of the month following 31 days of employment to Support Center Employees that meet our benefit eligibility requirements. The total rewards package includes, but is not limited to, the following:

A choice of medical plans that are best in class
Dental and Vision Insurance
Paid Vacation, Parental, Donor, Bereavement and 100% Paid Maternity Leave
Adoption Assistance
Short-Term and Long-Term Disability
Life, Accident and Critical Illness Insurance
Identity Theft Protection
Employee Assistance Program
Business Travel Insurance
401(k) Retirement Plan
Flexible Spending Accounts
Tuition Reimbursements up to $5,250 per year
Quarterly Restricted Stock Units Program
Annual holiday bonus

We also offer a variety of services for our Support Center employees! Car detailing and oil changes in the parking lot, on site haircuts, workout gym with personal trainers, spray tans, dry cleaning delivery service, chair massages just to name a few! We also have a Registered Nurse in the building to help with our wellness initiatives and keep us healthy. Willie's Joynt is our full-service café that serves breakfast and lunch and prepares delicious TO GO meals. We love taking care of our Roadie family and making our company a LEGENDARY place to work! As our founder, Kent Taylor once said, “We are a people company that just happens to serve steaks.” Check us out, you won't be disappointed!

Administers and controls the activities related to data planning and development, and the establishment of policies and procedures pertaining to its management, security, maintenance, and utilization. The role is responsible for management, monitoring, and support for on-premises SQL Server resources as well as cloud data resources like Azure SQL Databases, Azure Data Factory, and Microsoft Fabric that constitute the Texas Roadhouse Data Platform.

Responsibilities

Configures, monitors, and updates all SQL Server instances, or migrates them to Azure, if applicable
Configures, schedules, and implements database maintenance jobs (data integrity check, re-index, etc.)
Troubleshoots database performance issues
Queries databases and provides various extracts where existing reporting does not exist
Performs backup and recovery on database management systems
Defines data repository requirements, data dictionaries, and warehousing requirements
Develops and designs data platform strategies and system monitoring
Improves database performance and capacity and plans for future expansion requirements
Controls and monitors user access to the data platform
May also plan, coordinate, and implement security measures to safeguard the database
Manages the support ticket queue, liaises with the support teams, and writes Knowledge Base articles

Reasonable accommodation may be made to enable qualified individuals with disabilities to perform the essential functions.

We encourage and welcome all applicants to apply. We are proud to be an equal opportunity employer. We are committed to providing equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, age, gender, gender identity, disability, veteran status, sexual orientation, citizenship, national origin, or any other legally-protected status.

Bachelor's degree in computer science or related discipline required
5+ years relevant experience in Information Technology required
5+ years relevant experience in SQL Server administration required
3+ years' experience using Microsoft Azure data platform preferred
Effective communication skills required

This job description includes essential functions and basic duties and is intended to provide guidelines for job expectations and the employee's ability to perform the position described. It is not an exhaustive list of all functions, responsibilities, skills, and abilities. Additional functions and requirements may be assigned by supervisors as appropriate. This document is not a contract of employment, and the Company reserves the right to change this job description and/or assign tasks for the employee to perform, as the Company may deem appropriate."
Database Administrator,Database Administrator,The Mentors Circle,May,2024,"Overview

We at The Mentors Circle have entire dedicated support from different Universities and colleges from abroad that help us in delivering the best services directly to our students. We let our students talk to the counsellors directly, that helps in knowing which course and college/university are best for them.

Key Responsibilities

Design and implement database structures and schemas
Manage and maintain database systems
Ensure data security and integrity
Optimize database performance
Troubleshoot database issues and provide technical support
Develop backup and recovery procedures
Monitor and analyze database usage
Collaborate with developers for database design and optimization
Implement data encryption and access controls
Stay updated with database technology advancements
Create and manage database reports
Assist in database capacity planning
Perform database software upgrades
Document database processes and procedures
Train staff on database usage and best practices

Required Qualifications

Bachelor's degree in Computer Science or a related field
Proven work experience as a Database Administrator
Proficiency in SQL and database management
Strong understanding of data security principles
Experience in performance tuning and optimization
Excellent problem-solving skills
Knowledge of database backup and recovery procedures
Ability to analyze and interpret complex data
Experience with database monitoring tools
Understanding of data encryption and access controls
Familiarity with database reporting and analysis
Capacity planning and system scaling experience
Up-to-date knowledge of database technology trends
Excellent documentation and communication skills
Relevant certifications such as Oracle Certified Professional (OCP) or Microsoft Certified Database Administrator (MCDBA)

Benefits

Medical, dental, vision, disability, and life insurance
Flexible Spending Accounts
401(k)
PTO
Tuition reimbursement
Paid federal holidays

Skills: sql,database management,data security,performance tuning,reference data,benefits administration"
Database Administrator,Database Administrator,O'Reilly Auto Parts,May,2024,"A Database Administrator I, is responsible for the performance, integrity and security of the databases to support the computing environment. Under direct supervision, a Database Administrator I will work through day-to-day operational tasks related to the database systems. The ideal candidate will be responsible for creating, installing and managing our databases. You will ensure optimal database performance by analyzing database issues and monitoring database performance.
ESSENTIAL JOB FUNCTIONS
Works with development teams to optimize design of databases and access from applications.
Develops a methodology for the ongoing assessment of database performance and the identification of problem areas.
Reviews database backup and disaster recovery resources to ensure company data is adequately protected.
Provides database support assistance to the IT department and log support calls to vendor when required.
Responds to operational needs which may involve working after hours and/or travel to resolve issues.
Performs other duties as assigned.

SKILLS/EDUCATION/KNOWLEDGE/EXPERIENCE/ABILITIES
Required:
College degree or equivalent experience
3-5 years system administration experience, or application development experience
0-2 years database administration experience
Exceptional problem-solving skills
Above average oral and written communications skills
Willingness to work flexible schedule including nights/weekends
Must work well in a team environment
Must be able to learn independently

Responsibilities
Manage database changes and re-designs
Analyze database issues and troubleshoot or configure the database accordingly
Drive automation of code
Monitor database performance to ensure high levels of security and speed"
Entry-Level/Junior Database Administrator,Entry-Level/Junior Database Administrator,Augment Jobs,May,2024,"Responsibilities

Job Description:

Database Maintenance:
Assist in performing routine maintenance tasks such as backups, restores, and updates on databases.
Learn and become familiar with database management systems (DBMS) and related tools used within the organization.
Monitor database performance and assist in troubleshooting issues as they arise.
Data Security and Access Control:
Assist in implementing and enforcing data security measures, access controls, and user permissions.
Learn and adhere to data privacy regulations and compliance requirements.
Database Performance Optimization:
Assist in monitoring and optimizing database performance, including identifying and resolving performance bottlenecks.
Learn basic database optimization techniques and strategies to improve database efficiency.
Documentation and Reporting:
Document database configurations, procedures, and troubleshooting steps.
Assist in generating reports and metrics related to database performance and usage.
Collaboration and Support:
Collaborate with other team members, including senior database administrators, developers, and system administrators, to support database-related initiatives and projects.
Provide technical support and assistance to end-users and stakeholders as needed.
Qualifications

Education: Bachelor's degree in computer science, information technology, or related field.
Experience:
0-2 years of relevant experience in database administration or related fields (internships or academic projects may be considered).
Technical Skills:
Basic understanding of relational database concepts and structures.
Familiarity with SQL and database querying languages.
Knowledge of database management systems (e.g., MySQL, Microsoft SQL Server, Oracle).
Proficiency in basic IT skills such as operating systems (Windows, Linux), networking concepts, and scripting languages (e.g., Python, PowerShell).
Soft Skills:
Strong problem-solving skills and attention to detail.
Good communication and interpersonal skills.
Ability to work well in a team environment and willingness to learn from more experienced colleagues.
Eagerness to develop technical skills and grow professionally in the field of database administration."
SQL Server DBA,SQL Server DBA,"Liberty Personnel Services, Inc.",May,2024,"Job Details:

SQL Server DBA

My client has a full time opening for a SQL Server DBA. This role is primarily remote, but will require on site a couple times a year for meetings, so you must be local to the Vegas area. Position will involve the following:

Database maintenance and optimization
Ensure reliability and performance
Monitoring
Clustering
Database back ups
Provisioning
Patching
Configuration
Database objects
Modifications
Replication
Log shipping
High availability
SQL 1014, 2019 etc

Please reach out for additional info. Email your resume directly to me: tc@libertyjobs.com

Tim Campbell

Liberty Personnel Services Inc.

610-941-6300 ext 121 direct: 484-567-2089

tc@libertyjobs.com www.libertyjobs.com

www.linkedin.com/pub/tim-campbell/0/a9b/616

#midsenior"
SQL Server DBA - Remote | WFH,SQL Server DBA - Remote | WFH,Get It Recruit - Information Technology,May,2024,"Are you passionate about database management and optimization? Do you thrive in ensuring the reliability and performance of SQL Server environments? We have an exciting opportunity for a SQL Server Database Administrator to join our team!

Responsibilities

Perform database maintenance and optimization to enhance system performance.

Ensure the reliability and efficiency of SQL Server databases.

Monitor database systems to identify and resolve issues promptly.

Implement and manage clustering for high availability and scalability.

Conduct regular database backups to safeguard critical data.

Handle provisioning, patching, and configuration of database servers.

Manage database objects, including modifications and enhancements.

Implement and maintain database replication and log shipping.

Ensure high availability of databases through proactive measures.

Work with SQL Server versions 2014, 2019, and beyond.

Requirements

Proficiency in SQL Server database administration.

Strong knowledge of database maintenance and optimization techniques.

Experience with clustering, database backups, and replication.

Familiarity with high availability solutions.

Excellent problem-solving and troubleshooting skills.

Ability to work independently and collaboratively in a remote team environment.

Additional Information

For more details about the role or to apply, please send your resume to our email. We look forward to hearing from you!

Employment Type: Full-Time"
SQL Database Administrator,SQL Database Administrator,Beacon Hill,May,2024,"Required Skills:
Bachelors Degree
5+ years experience in database administration
Strong background in data warehouse management and data integration
Expertise in Microsoft SQL Server
Experience with Integration Services (SSIS), Reporting Services (SSRS), and Analysis Services (SSAS)
Skilled with Power BI and other business intelligence tools
Proven experience in data visualization and dashboard creation
Strong understanding of ETL processes, performance tuning, and SQL query optimization
Experience with cloud technologies (Azure) and managing hybrid database environments

Desired Skills:
Experience working in fast past/high demand environments
Experience supporting implementation and post-implementation troubleshooting



Description of Role/Responsibilities:
We are seeking an experienced Database Administrator to oversee the performance, integrity, and security of all databases. The person in this role will play a key part in the management and maintenance of both on-prem and cloud databases. This role will be responsible for building enterprise data lakehouse and warehouse, establishing robust data connections, and creating data gateways across multiple sources. This role will work closely with system engineers, data analysts, and project managers. If you are a strong DBA and team player looking for a new role with an outstanding organization this could be the perfect opportunity!


Desired Skills and Experience

Required Skills:
Bachelors Degree
5+ years experience in database administration
Strong background in data warehouse management and data integration
Expertise in Microsoft SQL Server
Experience with Integration Services (SSIS), Reporting Services (SSRS), and Analysis Services (SSAS)
Skilled with Power BI and other business intelligence tools
Proven experience in data visualization and dashboard creation
Strong understanding of ETL processes, performance tuning, and SQL query optimization
Experience with cloud technologies (Azure) and managing hybrid database environments

Desired Skills:
Experience working in fast past/high demand environments
Experience supporting implementation and post-implementation troubleshooting



Description of Role/Responsibilities:
We are seeking an experienced Database Administrator to oversee the performance, integrity, and security of all databases. The person in this role will play a key part in the management and maintenance of both on-prem and cloud databases. This role will be responsible for building enterprise data lakehouse and warehouse, establishing robust data connections, and creating data gateways across multiple sources. This role will work closely with system engineers, data analysts, and project managers. If you are a strong DBA and team player looking for a new role with an outstanding organization this could be the perfect opportunity!



Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.

If you would like to complete our voluntary self-identification form, please click here or copy and paste the following link into an open window in your browser: https://jobs.beaconhillstaffing.com/eeoc/

Completion of this form is voluntary and will not affect your opportunity for employment, or the terms or conditions of your employment. This form will be used for reporting purposes only and will be kept separate from all other records.

Company Profile:

Beacon Hill Technologies, a premier National Information Technology Staffing Group, provides world class technology talent across all industries utilizing a complete suite of staffing services. Beacon Hill Technologies' dedicated team of recruiting and staffing experts consistently delivers quality IT professionals to solve our customers' technical and business needs.

Beacon Hill Technologies covers a broad spectrum of IT positions, including Project Management and Business Analysis, Programming/Development, Database, Infrastructure, Quality Assurance, Production/Support and ERP roles.

Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Life Sciences and Beacon Hill Technologies by visiting www.beaconhillstaffing.com.

We look forward to working with you.

Beacon Hill. Employing the Future (TM)"
Database Administrator,Database Administrator,"Spruce Technology, Inc.",May,2024,"Project Title:
JCIT Enterprise Projects - Database Administrator

Summary of Work
The JCIT Enterprise Projects database administrator (dba) will provide database support for projects. This position will plan for, develop, test, and support database migrations to new databases within a Cloud environment.

Minimum Job-Specific Skills/Qualifications Required (in order of relative importance):
• 5+ years' experience designing complex, normalized, relational application databases, including Oracle.
• 5+ years' experience designing, developing, and deploying relational databases in a cloud environment, especially Azure and/or AWS, ensuring the integrity and security of the database.
• Experience migrating an on-premises or cloud Oracle DB to any one cloud-based solution such as Azure SQL, MySQL, Azure Oracle in VM, AWS Aurora, or AWS RDS.
• Excellent written and verbal communication skills, with both technical and non-technical audiences.
• Experience analyzing requirements, researching alternatives, and making successful recommendations for database solutions.
• Experience developing and executing successful migration plans from one database solution to another (e.g., Maria DB to MY SQL, Oracle to Azure SQL, not from one Oracle DB to another Oracle DB).
• Demonstrated knowledge and successful execution of the principles and techniques of the full database design, modeling, development, testing, and documentation lifecycle.
• Demonstrated knowledge and successful execution of the principles and techniques of systems implementation, including conversion, data reconciliation, and documentation.
• Experience developing and documenting relational database models, based on functional specifications and conceptual object models. •
• Experience developing and documenting database schemas based on relational models.
• Experience building and deploying relational databases based on database design, models, and schemas.
• Experience administering relational databases and conducting performance optimization to meet SLAs.
• Experience analyzing database configuration to research and resolve database and application issues.
• Extensive experience with function and stored procedure packages using SQL.
• Experience with database performance monitoring and tuning tools and techniques.
• Experience developing data scrubs to correct data based on knowledge of the application.
• Principles of information systems architecture for enterprise-wide systems deployment such as multi-tier, web based, distributed system architecture and development principles, and internet/intranet application delivery mechanisms.
• Experience coordinating with 3rd party vendors to resolve database software issues

Additional Skills/Qualifications Desired:
• Experience with software and tools used by the Judicial Council IT office including, ERwin Data Modeler, Toad, Eclipse, JIRA, Clear Quest, and Subversion.

Tasks and Responsibilities:
1. Research, analyze, present alternatives, including cost and performance analysis, and recommend cloud alternatives to the current databases.
2. Develop and document a plan to migrate to a new database, including conversion, data migration, and data reconciliation.
3. Design, develop, and document the structure for the new database, including database models and schemas, ensuring the integrity and security of the database.
4. Lead and execute the build and deployment of the new database.
5. Lead and execute the migration to the new database, including conversion and data reconciliation.
6. Administer the new database and provide plans and instructions for administration activities.
7. Conduct performance optimization to meet SLA's.
8. Analyze reported issues and provide recommendations for resolving.
9. Develop auditable data scrubs to correct data issues.
10. Provide a monthly status report.

Spruce Technology, Inc. is a mid-size, award-winning (Inc 5000, SmartCEO, Entrepreneur of the Year) technology services firm with a steadily growing portfolio of commercial and government clients. Spruce provides innovative technology solutions, specialized IT staff, and IT strategy consulting nationwide. Spruce maintains partnerships with major technology vendors and continually develops leading-edge offerings in service areas such as digital experience, data services, application development, infrastructure, cyber security, and IT staffing.

Spruce Technology, Inc. is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information. Consistent with the Americans with Disabilities Act, it is the policy of Spruce Technology, Inc. to provide reasonable accommodation when requested by a qualified applicant or employee with a disability, unless such accommodation would cause an undue hardship. The policy regarding requests for reasonable accommodation applies to all aspects of employment, including the application process."
MSSQL DBA,MSSQL DBA,HCLTech,May,2024,"Job Title :- MSSQL DBA
Job Location :- Calgary, AB
Onsite from day 1 .

Job Description :-

MSSQL Technical Expertise
Install, upgrade, and manage database, Instance ( SQl Server 2008,2012,2014,2016,2017)
Advanced knowledge of database security, backup and recovery, and performance monitoring standards
Set and maintain database standards.
Performance tuning of database systems.
Diagnose and troubleshoot database errors.
Recommend and implement emerging database technologies.
Create automation for repeating database tasks.
Familiarity with SSAS, SSIS, SSRS
Be available for on-call support as needed.
Excellent written and verbal communication skills
Good hand on Experience in establishing High Availability configurations including: SQL Mirroring, SQL
Clustering, Always-On Failover Clustering, Always-On Availability Groups, and log-shipping
advantgae if having experice for Powershell scripting and any no SQL database experince
Hands on experince on Azure / AWS realtion database service.
Independently analyze, solve, and correct issues in real time, providing problem resolution end-to-end.
DB2 Expertise.
Resource should be able to support L1/L2 level DB2 related work.
Co-ordinate with customer for DB2 related queries and concern."
