Position,Company_Name,Location,Post_Month,Post_Year,Details
"IT Auditor--Birmingham, AL","IT Auditor--Birmingham, AL",Steneral Consulting,April,2024,"2-3 days a week

Must be local

need valid LinkedIn

W2 candidates only

We are looking for all levels of experience from associate to managerial level.

Job Description

Internal Audit examines and evaluates the effectiveness, efficiency, and economy of the organization's activities. This department assists management and the Board of Directors in the effective discharge of their responsibilities by furnishing them with analyses, appraisals, recommendations, counsel, and information concerning activities and by promoting effective control at a reasonable cost.

Primary Responsibilities

The IT Audit area is responsible for planning and conducting audits, special projects, and third-party facilitations related to Information Technology for the purpose of reviewing and evaluating the system of internal controls in place for the company’s Medicare and Private Business operations. Also, for providing management and customers with assurance about the integrity of the control environment. This individual will lead and perform IT audits and follow-up reviews of Private business and Medicare activities related to the integrity of internal controls and their compliance with applicable laws and regulations. Additionally, this individual will coordinate IT audits performed by external auditors and government regulators.

Summary Of Qualifications

Bachelor’s degree with emphasis in Computer Science, MIS, or other related technical field
Minimum of two to four years of experience directly related to IT audit or consulting
Experience in a position evaluating mainframes, databases, file structures, etc.
Experience interacting with technical and non-technical management and staff
Experience documenting projects in a concise and thorough manner
Experience managing multiple projects with various priorities
Experience working independently to resolve problems without direct supervision
Experience in Access Control List (ACL), Crystal, Auto-Audit, or other programming preferred
Insurance industry experience beneficial
Certified Internal Security Auditor certification (CISA) desired"
Information Technology Auditor,Information Technology Auditor,Electrosoft,May,2024,"Responsibilities and Duties:
Work with the government customer with regard to internal control test scheduling.
Responsible for IT internal control testing and reporting of test results.
Performing root cause analysis and making recommendation with regard to required remedial actions, and robust resolution.
Support the government customer with status reporting.

Skills/Experience/Certifications:
Must have CISSP or CISA (or equivalent) in good standing
3 or more years relevant experience.
Bachelor’s degree preferred.
Experience with Federal accounting principles: how to apply them in various accounting systems and how data can be captured and analyzed in various environments.
Demonstrated understanding of the Federal Financial Improvement Act (FFMIA) requirements and experience applying FFMIA requirements to assessments of financial systems.
Understanding of systems development phases and related work products, including requirements and design documentation.
Experience in planning, executing, and reporting on information systems controls assessments.
Understanding of GAO the Federal Information Systems Controls Audit Manual and Federal Audit Manual approaches, and ability to access information system controls in areas of information assurance, access controls, change controls and segregation of duties
Demonstrated experience in evaluating controls within ERP systems."
Auditor interno de TI,Auditor interno de TI,Jose Cuervo,May,2024,"Jose Cuervo es la marca de tequila número uno y el productor de tequila más grande del mundo. Además, somos el segundo mayor distribuidor de destilados, vinos y licores en México, con un portafolio diverso que cubre las principales categorías.
Somos una empresa multinacional 100% mexicana que busca atraer, desarrollar y retener el mejor talento, impactando positivamente a las comunidades donde operamos. Por lo que, te invita a formar parte de su equipo de trabajo como Auditor interno de TI.

¿Qué estarás realizando?
Responsable de llevar a cabo el cumplimento de los planes y programas de trabajos asignados por auditoria, mediante la evaluación de los procesos, así como evaluar los controles generales de TI bajo metodologías (COBIT, ITIL, etc)
Brindar consultoría en temas especializados de Seguridad de la Información
Coordinar los esfuerzos de automatización de pruebas de auditoría recurrentes, así como de análisis de data
Mejora en los procesos y/o sistemas de herramientas CAAT (computer assisted Audit techniques)
Diseñar y proponer el programa anual de auditoría de Sistemas basado en riesgos y entrevistas con la Dirección de IT
Evaluar los esfuerzos de la organización en materia de identificación y evaluación de riesgos tecnológicos que impacten al cumplimiento de los objetivos institucionales y estratégicos

¿Qué se necesita?
De 3 a 4 años de experiencia en posiciones similares de auditoría interna o externa en proyectos de Tecnología
Carreras participantes: Administración de empresas, Contabilidad, Finanzas, Ing. Industrial o a fines
Nivel de Inglés avanzado
Proactividad, liderazgo, trabajo en equipo, resolución de problemas, análisis de información
Manejo de Excel avanzado
Deseable contar con certificación CISA
Deseable manejo de software para análisis de datos, ACL, Power BI, CAAT o a fines
Deseable experiencia y conocimiento en procesos de sistemas y su análisis/revisión efectiva.
Disponibilidad de laborar de manera presencial en Santa Fe


¡No pierdas esta oportunidad y forma parte del equipo de Jose Cuervo!"
IT Auditor 4- NEED LOCAL CANDIDATES,IT Auditor 4- NEED LOCAL CANDIDATES,Alrek Business Solutions Inc,February,2024,"Required/Desired Skills

Skill Required /Desired Amount of Experience Bachelor’s degree in Information Technology, Computer Science, or a related field. Required 0 Proven experience in IT auditing, with a focus on data migration projects. Required 10 Years In-depth knowledge of data governance principles and best practices. Required 0 Strong analytical and problem-solving skills. Required 0 Excellent communication and collaboration abilities Required 0 Certifications such as CISA (Certified Information Systems Auditor) are preferred. Required 0 Strong knowledge in Microsoft Office with emphasis on Microsoft Excel. Required 0"
IT internal Audit Manager,IT internal Audit Manager,Sinch,May,2024,"Description

We are Sinch. The world’s #1 in mobile engagement, helping amazing companies communicate with customers. And whether or not you know us you’ve definitely used our technology. From the life-changing to the time-saving, we’re helping over 3,000 businesses interact with people like never before. We reach every phone on the planet within seconds, so imagine the scale, the variety, the opportunity, and the growth that offers. Here you'll dream even bigger than ever, face fascinating challenges, and build your skills and career alongside amazing experts. And every time you hear a phone ping, you’ll be proud of knowing you were part of making that happen.

We are now looking to expand the team with an IT Internal Audit Manager based in Atlanta to chase the dream with us.

The Essence of the Role

Internal Audit is an independent, objective assurance, and consulting services function designed to add value and improve the operations of Sinch. As our new IT Internal Audit Manager, you will play a crucial role in helping the company achieve its goals. By conducting thorough audit reviews, you will identify opportunities for improving processes and implementing effective controls. This will not only bring value to the organization but also provide valuable insights to both management and Sinch’s Audit Committee. Your expertise will be instrumental in ensuring the adequacy and effectiveness of internal controls.

In this influential position, you will be an independent contributor reporting directly to the Senior Manager, IT Internal Audit Manager located in Stockholm. Travel to our main offices across the globe will be required.

As Our New IT Internal Audit Manager, You Will

Conduct and direct audits and ongoing reviews of organization controls, operating procedures, and compliance with policies and regulations across the entire organization
Review the soundness, effectiveness, and proper application of accounting and financial controls, compliance procedures and controls, and timeliness of documentation generation
Collaborate with the business to create feasible audit action items to strengthen the business operations
Compile and issue reports detailing conclusions and providing recommendations for improvements
Assess the strength, efficiency, and correct implementation of IT general controls
Ensure the efficient and prompt completion of audit action items
Support the business in ad-hoc Internal Control requests and act as a business partner to ensure the success of the organization
Gain a deep understanding of the businesses you will be collaborating with, including their strategic direction, the stages of their product lifecycle, the essential business operations, the cutting-edge technology they utilize, and the regulatory obligations they adhere to

Requirements

The ideal candidate will play a crucial role in shaping and driving the organization's objectives. You will demonstrate a track record of successfully managing high-level projects and will guide and oversee complex audit engagements, special projects, and ad-hoc internal audit activities.

In order to be successful in this role, we believe you have:

A diverse background in the field is preferred, with at least 6 years of hands-on experience in Audit. This experience could have been gained from a consultancy firm or a multinational organization
Proven experience with IT Audit, with an understanding of IT processes, including applications, and infrastructure; security and vulnerability assessments, change control, IT risk assessment, data privacy, governance, cyber security best practices, etc.
Knowledge of IT frameworks (e.g., COBIT, ISO27001, NIST)
Proven experience in project management practices, tooling, and managing projects through the audit lifecycle
Proven audit-related data analysis and systems experience
Strong command of the English language
You'll definitely catch our attention if you hold the Certified Information Systems Auditor (CISA) certification

Benefits

STAY HEALTHY: We offer comprehensive market competitive medical, dental, and vision plans. A variety of supplemental plans are also provided to meet your individual needs including access to telehealth for all participants.
CARE FOR YOURSELF: Take advantage of our free virtual counseling resources through our global Employee Assistance Program. Your mental health is as important as your physical health.
SECURE YOUR FUTURE: Plan for your future with our Roth and Pre-tax 401(k) options including an employer match for all participants.
TAKE A BREAK: Enjoy a generous paid time off program. We value balance and understand that performance at work requires time to rest at home and/or rejuvenate on vacation.
PUT FAMILY FIRST: We know that families can be built in a variety of ways; therefore, we offer paid parental leave and family planning support.
WORK WHEREVER: Our flexible remote work offerings allow you to work wherever you’re the most productive and successful. It’s what you do, not where you work, that matters.
MAKE AN IMPACT: Support betterment in your community and beyond by taking paid time off to support a volunteer program of your choice.

Our expert teams are built from some of the most experienced in the industry. We employ people from all over the world, from all walks of life and from all backgrounds. We work together, feeding on our diversity to make us stronger, and we encourage each other to be the best we can be. Innovation drives us, and we challenge ourselves every day. Get in touch and join us on our journey!

The annual starting salary for this position is between $110,000 - $130,000. Factors which may affect starting pay within this range may include geography/market, skills, education, experience, and other qualifications. This role will be accepting applications until 04/19/2024 at a minimum. Please note that the application timeline may be flexible to accommodate a comprehensive candidate evaluation.

EEO/Vets"
Information Technology Audit Manager,Information Technology Audit Manager,Audit & Risk Recruitment,May,2024,"Audit and Risk Recruitment
Audit and Risk Recruitment has just been briefed by one of the world’s largest manufacturer and distribution companies on a Group IT Audit vacancy based in Atlanta. My client employs over 90,000 people, has operations in nearly thirty countries and is the perfect opportunity for auditors looking for massive exposure and long term career opportunities. My client has a track record of internal promotion as well as pivoting people into the wider business.

Operations in Americas are the heartbeat of my client’s global business and as such international travel would be required in this position – around 40% of the time.

Key Attributes:
Naturally motivated and demonstrable ability to work proactively and independently in a changing environment
Ability to execute effectively in ambiguous environment
Excellent communication skills . Ability to develop strong relationships and win buy in from stakeholders and other team members
Audit experience in ITGC controls testing, IT governance, internal controls evaluation. Particular knowledge of security and control for SAP platforms

Necessary Experience:
Fluent English both verbal and written.
5 years minimum experience as an IT auditor within practice, private or public sector (Ideally TOP 10 /Big 4
Experience of reviewing or working with industrial control / manufacturing environments and systems
Experience in SOX 404 and ISO-IEC 27001 compliance testing
Experience in SAP HANA • Relevant professional certifications (i.e. CISA or local equivalent)

Audit and Risk Recruitment: Experts in Audit and Risk!"
Staff IT Auditor,Staff IT Auditor,GreenSky®,May,2024,"Position: Staff IT Auditor
Overview:
We are looking for an experienced Staff IT Auditor with 2-3 years IT Audit experience, who is ready to take the next step in their career by joining the GreenSky Internal Audit organization. In this role you will be responsible for the completion of audit work covering the IT infrastructure, applications, and delivery channels. You will participate in technology and integrated audits through partnership with business and Internal Audit peers. In addition, you will assist with the responsibility for assessing the adequacy of technology controls around various projects including major application development initiatives, Sarbanes-Oxley compliance assessments, IT audits and IT advisory services and will be expected to develop on-going relationships with IT management. This position reports directly to the IT Audit Manager.

Duties & Responsibilities:
Work closely with business and Internal Audit colleagues to ensure that key risks are identified and assessed in a program of IT audit coverage.
Execute IT and integrated audits while ensuring compliance with GS Audit Department methodology and industry professional standards.
Ensure proper testing of IT internal controls.
Establish and maintain strong relationships with technology management and related control groups.
Monitor key risk indicators and significant change activities and escalate emerging technology issues to management in a timely fashion.

Location: Atlanta, GA 30342
Required Skills & Qualifications:
Minimum of a bachelor’s degree, with a major in Accounting, Business Administration, Finance, Information System, Computer Science or related field of study.
2-3 years of experience, successful candidate likely to have a mix of corporate internal audit, Big 4 or large regional firm and Financial Services experience.
Must be at least a candidate or interested in pursuing one or more relevant professional certifications CISA, CIA or CISSP. Experience with computer-assisted audit tools is a plus.
Working knowledge of application controls and application development lifecycles and methodologies such as Waterfall or Agile.
Basic understanding of key IT impacting regulations, frameworks, and standards such as NIST, GLBA, PCI-DSS and/or SSAE 18, service organization controls (SOC) attestations.
Willingness to research and learn the fundamentals of new technologies, platforms and tools.
Effective oral and written communication skills and an ability to manage multiple tasks concurrently in an efficient and effective manner with minimal supervision.
Ability to build strong partnerships with key technology stakeholders and across IT and other audit teams through a proactive, open, communicative approach.
Enthusiastic, self-motivated, and effective under pressure.
Proven ability and desire to learn quickly, be flexible and think strategically.
Little to no travel required.
Hybrid work environment

GreenSky is an equal opportunity employer and will not discriminate against any employee or applicant on the basis of age, color, disability, gender, national origin, race, religion, sexual orientation, veteran status, or any classification protected by federal, state, or local law."
Information Technology Audit Manager,Information Technology Audit Manager,Audit & Risk Recruitment,May,2024,"Audit and Risk Recruitment

Audit and Risk Recruitment (ARR) are exclusively working with a globally recognised Airline to recruit an IT Audit Manager.

This is a great opportunity to be involved in a dynamic, forward thinking Internal Audit team. In this role you will gain excellent experience and exposure to my client’s activities and processes. The role offers opportunities to rotate into the wider business as you will help set the strategic leadership and direction of internal audit across the Global IT Audit team.

When normality resumes you can be based in New York office with the option of flexible working from home, 3-4 days per week. You will travel 30% within the North America and occasional travel to the Europe and the UK.

Key Responsibilities:

· Perform IT operational and compliance reviews according to Internal Audit risk assessment and plan.
· Perform non-IT operational audits to determine compliance with policies and procedures, and evaluate the effectiveness on internal control systems as needed.
· Assist in annual risk assessment and planning.
· Assist in the development of audit programs for the testing of IT controls across various platforms and application environments.

Personal Specification:

· CISA, CISM, CISSP Preferred
· Strong communication skills
· High integrity, trustworthy and reliable.
· Ability to be team player and drive standards.
· Good coaching and people development skills.
· Minimum 10 years of IT audit or similar experience"
"Senior IT Analyst/Auditor, Internal Controls & SOX (HYBRID, 3 Days in Palo Alto Office)","Senior IT Analyst/Auditor, Internal Controls & SOX (HYBRID, 3 Days in Palo Alto Office)",Guardant Health,May,2024,"Company Description

Guardant Health is a leading precision oncology company focused on helping conquer cancer globally through use of its proprietary tests, vast data sets and advanced analytics. The Guardant Health oncology platform leverages capabilities to drive commercial adoption, improve patient clinical outcomes and lower healthcare costs across all stages of the cancer care continuum. Guardant Health has commercially launched Guardant360®, Guardant360 CDx, Guardant360 TissueNext™, Guardant360 Response™, and GuardantOMNI® tests for advanced stage cancer patients, and Guardant Reveal™ for early-stage cancer patients. The Guardant Health screening portfolio, including the Shield™ test, aims to address the needs of individuals eligible for cancer screening.

Job Description

Guardant Health is looking for IT Senior Auditor/Analyst, Internal Controls & SOX, to join our Global Internal Controls Team. If you are intellectually curious, view challenges as learning opportunities, want to experience the transformative world of global internal controls, and enjoy working with people, we'd love to speak with you!

You're excited about this opportunity because you will…

Lead the team in internal controls and IT SOX related activities (ITGCs & ITACs) between the company and external audit.
Manage and collaborate with process and control owners and external auditors and advisory partners on various matters including planning activities, walkthrough participation, evidence (PBC) requests, information sharing, and status updates.
Lead all SOX testing for Information Technology (IT) controls for in-scope applications, operating systems and databases including security, change management and infrastructure controls, key reports, data analytics and operational reviews.
Perform internal controls reviews and risk assessments for IT environment and systems.
Lead efforts related to quarterly management certifications (user access, change management, monitoring activities and reporting)
Own the process for dataflows and narratives for all IT and application controls on a quarterly basis.
Assist in updating and maintaining company-wide internal control standards and provide controls-related training to process owners.
Responsible for third-party SSAE 18 (SOC) reports.
Take point in researching and documenting ITGC & ITAC internal control issues and tracking remediation to conclusion.
Perform assessments for SOX impact of new initiatives, including system implementations (SDLCs), and special projects.
Responsible for the upkeep of SOX GRC application with real-time updates and appropriate visibility and access by stakeholders.
Work cross-functionally with Finance, IT, and Operations groups building key relationships, enhancing collaboration, and developing knowledge and expertise in multiple areas, as there is tremendous potential for growth, as we expand.

Qualifications

We're excited about you because you have…

Bachelor’s degree in information systems or a relevant field.
A minimum of 4 years’ experience in information technology, audit, SOX Compliance, applications, information security, networks, and infrastructure.
Solid understanding of internal controls over financial reporting (ICFR), IT Governance, Risk & Controls, COSO, Cobit, NIST & InfoSEC.
Operational and/or audit experience with technologies such as ERPs (Oracle/SAP), data visualization tools, cloud technologies, and GRC tool.
Professional Certification is preferred (CISA, CISSP, SSCP, CIA, or equivalent).
Demonstrated proficiency of information technology auditing control disciplines including a solid foundation in security and one or more pertinent areas of technical specialization (application development, change management, or operations).
Good communication and interpersonal skills, and a willingness to learn.
Above all else, you are bright, personable, and motivated by new experiences and challenges!

Nice to Have…

Life Science /Healthcare industry experience.
Strong personal integrity with the highest ethical standards.
Organized, solid attention to detail, and ability to re-prioritize in a fluid environment.

Why Guardant Health?

As a member of the Guardant Health Global Internal Controls team, you will have lots of opportunities working with collective teams of bright, personable, and motivated by challenge individuals. You are encouraged to be your authentic self here and lead by example.
We are a successful, fast-growing company at the forefront of Life Sciences, conquering cancer with data!
We are committed to our patients, business partners and peers, foster transparency, boldness and being original.
We love solving problems, thinking creatively, and focusing on impact by working smarter and together.
We believe in autonomy, taking initiative and making every moment matter.
We take what we do seriously! We don't take ourselves seriously!

Additional Information

Hybrid Work Model: At Guardant Health, we have defined days for in-person/onsite collaboration and work-from-home days for individual-focused time. All U.S. employees who live within 50 miles of a Guardant facility will be required to be onsite on Mondays, Tuesdays, and Thursdays. We have found aligning our scheduled in-office days allows our teams to do the best work and creates the focused thinking time our innovative work requires. At Guardant, our work model has created flexibility for better work-life balance while keeping teams connected to advance our science for our patients.

For positions based in Palo Alto, CA or Redwood City, CA, the base salary range for this full-time position is $88,800 to $133,200. The range does not include benefits, and if applicable, bonus, commission, or equity.

Within the range, individual pay is determined by work location and additional factors, including, but not limited to, job-related skills, experience, and relevant education or training. If you are selected to move forward, the recruiting team will provide details specific to the factors above.

Employee may be required to lift routine office supplies and use office equipment. Majority of the work is performed in a desk/office environment; however, there may be exposure to high noise levels, fumes, and biohazard material in the laboratory environment. Ability to sit for extended periods of time.

Guardant Health is committed to providing reasonable accommodations in our hiring processes for candidates with disabilities, long-term conditions, mental health conditions, or sincerely held religious beliefs. If you need support, please reach out to Peopleteam@guardanthealth.com

Guardant Health is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

All your information will be kept confidential according to EEO guidelines.

To learn more about the information collected when you apply for a position at Guardant Health, Inc. and how it is used, please review our Privacy Notice for Job Applicants.

Please visit our career page at: http://www.guardanthealth.com/jobs/

, , , , ,"
Internal IT Audit Manager,Internal IT Audit Manager,Nordstrom,May,2024,"Job Description
The ideal IT Audit Manager is an effective team collaborator, problem solver and IT control specialist who is committed to providing exceptional risk-based assurance, advice and insight to our internal stakeholders. This position will primarily support integrated IT audit engagements with a focus on system implementation reviews and support Nordstrom’s Internal Control over Financial Reporting (SOX) program for IT General Controls (ITGCs).

This role is Hybrid in Seattle, WA and would require 3 days per week in office. **We can offer relocation for this role.

A day in the life…
Lead and perform integrated and IT audit engagements of varying complexity through all phases, including planning, risk assessment, execution, reporting, and remediation follow-ups, with a focus on system implementations and key technology-enabled initiatives, and support other IT operational audits including security and privacy assessments as needed
Partner with company financial, operational and technology groups to conduct walkthroughs, assess control design, test control operating effectiveness, evaluate impacts and propose remediation solutions for ITGCs and automated business cycle controls in a variety of computing environments, including: Cloud (AWS, Azure, Google Cloud Platform and Kubernetes), Infrastructure (Windows, Unix/Linux, AS/400, Oracle, SQL), andBusiness Systems and Tools (Oracle, Workday, GitLab)
Apply appropriate audit techniques (e.g. benchmark, survey, interview, etc.) to evaluate IT systems and controls mitigating financial, operational, strategic and compliance risks
Leverage industry best practices and established frameworks to develop audit programs and identify opportunities to strengthen controls and improve processes
Utilize AI and data analysis tools, and provides data driven insights to support work as well as improving audit productivity and efficiency
Prepare and review key audit deliverables that are accurate, clear, and concise
Keep current and increase knowledge of company strategies, priorities, and business objectives
Build and maintain strong relationship with internal and external business partners
Train and coach junior team members to help their career growth


You own this if you have…
Bachelor degree or above in computer science, engineering, data science, MIS, or equivalent education focused on information technology
Professional certifications such as CISA, CIA, CISSP, PMP, Scrum Master desired
7+ years of experience in a combination of IT Audit, IT Project or Product Management, IT Risk Management, IT Compliance, and/or IT Assurance & Advisory Services. Experience working with a Big 4 or large publicly traded company preferred
Working knowledge of modern information system terminology, concepts, and practices, including Cloud technologies, microservices, and abstraction layers
Proven experience in auditing and/or managing IT system development following traditional waterfall SDLC, Agile, and/or DevOps methodologies
Familiarity with COSO, COBIT, ISO, ITIL and NIST frameworks, and SOX regulations
Strong organization and time management skills
Exceptional communication and interpersonal skills
High level of ownership, accountability, initiative, and customer service
Strong desire and ability to learn and grow
Analytics experience with ACL, Tableau, SQL, Python, is a plus
Ability to work from Seattle office on an ad-hoc basis is preferred


We’ve got you covered…

Our employees are our most important asset and that’s reflected in our benefits. Nordstrom is proud to offer a variety of benefits to support employees and their families, including:
Medical/Vision, Dental, Retirement and Paid Time Away
Life Insurance and Disability
Merchandise Discount and EAP Resources

A few more important points...

The job posting highlights the most critical responsibilities and requirements of the job. It’s not all-inclusive. There may be additional duties, responsibilities and qualifications for this job.

Nordstrom will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.

Applicants with disabilities who require assistance or accommodation should contact the nearest Nordstrom location, which can be identified at www.nordstrom.com.

© 2022 Nordstrom, Inc

Current Nordstrom employees: To apply, log into Workday, click the Careers button and then click Find Jobs.

Pay Range Details

The pay range(s) below are provided in compliance with state specific laws. Pay ranges may be different in other locations.

Washington: $89,000 - $170,500 Annually


This position may be eligible for performance-based incentives/bonuses. Benefits include 401k, medical/vision/dental/life/disability insurance options, PTO accruals, Holidays, and more. Eligibility requirements may apply based on location, job level, classification, and length of employment. Learn more in the Nordstrom Benefits Overview by copying and pasting the following URL into your browser: https://careers.nordstrom.com/pdfs/Ben_Overview_17-19.pdf"
