Position,Company_Name,Location,Post_Month,Post_Year,Details
"Senior Project Manager, IT PMO Delivery","Senior Project Manager, IT PMO Delivery",Bath & Body Works,April,2024,"Description

At Bath & Body Works, everyone belongs. We are committed to creating a diverse, equitable and inclusive culture focused on delivering exceptional fragrances and experiences to our customers. We focus on recruiting, retaining, and advancing diverse talent where our associate population is as diverse as the communities we serve, live and work. In addition, we work to improve our communities and our planet in a way that will make us proud for years to come because we believe the world is a brighter, happier place when everyone has access to the things that make them happy.

Senior Project Manager, IT PMO Delivery

The Sr. Project Manager is expected to lead all aspects of large-scale and highly complex technology projects (or multiple medium-scale technology projects/small programs), including project planning, execution, timing, functionality, quality, communication, and cost. Implements projects from original concept through final implementation and ensures projects are aligned with BBW strategic goals. Establishes and communicates goals and advises team activity. Sets direction and applies knowledge of multiple methodologies, tools, and templates.

This role is responsible for mentoring and influencing project management practices. Aid in the onboarding of new employees. Regularly leads learning sessions and drives capability uplift. Supports new employee on-boarding planning, coordination and execution.

May have direct reports with associated expectations and responsibilities. May also be responsible for management of contractor PM's.

Role accountability includes overall Store Point of Sale (POS) migration project management. Preferred experience leading large Stores and Omni projects and/or implementing Point of Sale for large organizations. Must be comfortable working in a fast-paced, highly collaborative, matrixed team environment and skilled at change leadership.

Responsibilities:

Independently performs all aspects of a large-scale and highly complex technology project (or multiple medium-scale technology projects/small programs), including project planning, execution, timing, functionality, quality, communication, and cost.
Ensures the strategic alignment and success of major initiatives and projects spanning multiple business units or organizations.
Complete performance standards; provide appropriate performance and mentoring/coaching, where applicable, to assist project team members as well as direct reports in achieving success.
Creates and drives small program / large-scale project plans that may involve multiple teams in the information technology field; leads program/project teams in the development and implementation of detailed work plans, schedules, small program/project estimates, resource plans, and status reports.
Defines, leads and completes successful integration and dependency management capability across the various requests, projects and small programs.
Monitors / assesses small program and project progress; drives communications, status reporting, management reporting and executive presentations.
Facilitates resolution, mitigation and appropriate escalation of action items, scope changes, risks and issues to senior leadership.
Defines, leads and completes successful vendor management capability across the various projects and programs.
Gathers and analyzes data to identify trends that support visibility to potential issues and inconsistencies; anticipates and identifies issues inhibiting successful program / project delivery.
Is an authority in all project methodologies and has the knowledge to assess which methodologies to deploy within a small program.
Understands how to create and deploy an effective governance model for large-scaled, complex initiatives.
Promotes culture related priorities and execution across the PMO that is consistent within the organization and demonstrates innovation while doing so.
Point of escalation for Program / Project team members; coaches less experienced team members; leads by example.
Facilitates the on-boarding of new associates and consultants.

Qualifications

8-10 years of experience with 5+ years of specialty in Project Management, including exposure to Waterfall, Iterative, and Agile methodologies
3+ years leading teams directly or indirectly.
Advanced project and process management skills, with the ability to lead effectively globally in an environment of ambiguity and change.
Advanced knowledge of business, retail, and technology fundamentals through an understanding of how business processes and technology intersect.
Stores Point Of Sale migration experience.
Applies critical thinking to proactively identify/mitigate risk and minimize issue occurrence for successful project delivery and business analysis.
Must possess strong oral and written communication skills to interact with all levels of the company as well as external parties; streamlines partner communications; concisely presents complex information/recommendations in terms meaningful to various audiences.
Innate curiosity and desire to learn, strong analytical and logical thinking skills.
Advanced problem-solving skills Ability to maintain a high level of professionalism and work well independently and within a team environment.
Ability to manage through conflict.
Advanced organizational skills and ability to multi-task and prioritize.
Have a strong passion for retail; able to work in a fast-paced environment.

Education:

Bachelor’s degree or equivalent experience
Advanced-level experience with project management tools is required.
Demonstrates continuous learning through certifications, a plus.

Salary: 105k - 136,500k

Core Competencies:

Lead with Curiosity & Humility
Build High Performing Teams for Today & Tomorrow
Influence & Inspire with Vision & Purpose
Observe, Engage & Connect
Strive to Achieve Operational Excellence
Deliver Business Results

Benefits

We invite you to join Gingham Nation, where we invest in our associates through competitive compensation, benefits, and development opportunities, so they can continue to be their best at work, at home, and in their communities. Benefits offered to our eligible associates include a no cost mental health and well-being program, health coverage with a variety of plans to choose from, flexible and affordable saving programs, paid time off and a merchandise discount. Visit bbwbenefits.com for details.

View Benefits Information

The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties and skills required.

We are an equal opportunity and affirmative action employer. We do not make employment decisions based on an individual’s race, color, religion, gender, gender identity, national origin, citizenship, age, disability, sexual orientation, marital status, pregnancy, genetic information, protected veteran status or any other legally protected status, and we comply with all laws concerning nondiscriminatory employment practices. We are committed to providing reasonable accommodations for associates and job applicants with disabilities. Our management team is dedicated to ensuring fulfillment of this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, associate activities and general treatment during employment. We only hire individuals authorized for employment in the United States.

Application window will close when all role(s) are filled.

Category: Information Technology"
IT Project Manager- Healthcare (REMOTE),IT Project Manager- Healthcare (REMOTE),PSRTEK,January,2024,"Position:- IT Project Manager

Remote

The IT Project Manager is recognized as the expert in managing strategic cross-functional projects by example and therefore establishing confidence in the IT Governance model to proliferate wide-spread adoption. Position requires acute understanding Project Management fundamentals. Successful candidate will possess confidence, leadership, influence and superb communication skills. Position will report to the Director of IT Project Governance but will work closely with the other IT Services Lanes and Operations.

Desired Professional Skills And Experience

PMP certification
10+ combined IT and healthcare experience
Project Management Body of Knowledge, business analysis as well as budgeting and finance principles
1 year experience working in ServiceNow Strategic Portfolio Management (SPM) and MS Project
Strong work ethic with ability to self-start and work independently or as part of a diverse team
Detail oriented and organized
Fast learner that is adaptable to new technologies and applications
Positive attitude
Bachelor’s Degree preferred
Communication skills, written and verbal – excellent grammar, punctuation, business writing, presentation and facilitation skills
Good at creating charts and visual aids to relate information in a concise manner
Experience using ServiceNow Strategic Portfolio Management SPM on Paris or higher preferred
A general knowledge of the healthcare and Radiology technical workflow including experience integrating or supporting PACS, RIS, DICOM or HL7 interface engines, Voice Rec and Worklist Management systems desired

PSRTEK is a reputed technology recruitment and IT staffing brand with a global footprint and an admired client base. As an ideas and innovation powerhouse with a culture of excellence, we bring remarkable expertise and deliver powerfully transformative results."
Director of Project Management Office,Director of Project Management Office,Mi-Case,April,2024,"Company Background

Founded in 1992, Mi-Case is the industry leader in fully integrated offender management software solutions and provides industry expertise and consulting within Criminal Justice, Public Safety, and Digital Transformation teams.

Mi-Case leverages a unique combination of technical, functional and industry specialization as well as partnerships with key software vendors to deliver maximum value add projects.

Position Summary
We are looking for a combination Project Management Officer / Senior Project Manager to join our team to manage our Project Managers, define and improve PMO best practices and help manage our projects. Project Management Officer responsibilities include planning project management activities, analyzing financial information to keep projects on track, and collaborating with different departments to ensure all leaders understand where a project is in the development process.
Ultimately, you will work with leaders across various departments to help streamline our projects to ensure we reach our goals and keep projects on track for timely completion.
Responsibilities
Manage other project managers.
Oversee the development of the project and ensure that team members are carrying out their tasks efficiently.
Draft new and improving existing project management office policies and processes.
Evaluate projects to ensure they are meeting company standards, adhere to budgets, and meet deadlines.
Document the project’s creation, development, and execution as well as the project’s scope, budget, and justification.

Educational/Training and Certification Requirements
A bachelor's degree in business, Administration, or a related field.
A Project Management Professional (PMP) Certification may be advantageous.

Knowledge, Skills and Experience
A minimum of ten years' experience in the industry.
A minimum of five years' experience in a supervisory position.
Strong leadership skills.
Good written and verbal communication skills
Strong attention to details and technicalities
Excellent organizational and technical abilities
Good interpersonal and multi-tasking skills
Relevant training and/or certifications as a Project Management Officer
Agile software development experience
Experience managing software development projects.
Experience with Team Foundation Server / DevOps
Experience with various software development methodologies.
Analytical thinking and problem-solving capability

Competencies

Process and Project - Be well versed in core organizational processes and project management competencies for use at the program management level. Competent in processes to handle program level issues. Must possess operational competencies, including project management methods and tools, to effectively manage the operational elements of the program. When it comes to project management competencies, the program manager role has many similarities to that of the project manager with the key added dimension of leading and integrating.
Stakeholder Management - Stakeholder management skills are critical for program manager success. Understand who the program stakeholders are and their needs, understanding the level of influence each stakeholder has on the program, and understanding their allegiance and attitude toward the program. Ability to choose the right mode of communication to address customers, senior management, team members, suppliers, and others. This involves knowing when to see people face to face, when to send messages, and when to avoid them altogether.

Leadership - Build, coalesce, and champion the team to deliver solutions that will
satisfy the company’s goals and customer’s needs. Success begins with the core principles of team leadership: creating a common purpose, establishing team chemistry, building, and sustaining trust, demonstrating personal integrity, empowering the team, driving participation, collaboration, and integration, communicating effectively, managing conflict, making difficult decisions, and providing recognition and rewards.

Influencing - Proficient in influencing the actions of the team and stakeholders by being socially adept in interacting with others in any given situation, having the ability to assess all aspects of information and behavior without passing judgment or injecting bias, and being able to effectively communicate his/her point of view to change opinion or change course of action. Assist team members to reach their collective goals by helping to make team communication and collaboration easier, ensuring relationships between team members continue to develop and that ongoing communication and collaboration between is occurring.

Prioritization of Work – Prioritize the team’s work to achieve the greatest return from the actions of the group. Validate the core assumptions driving the direction of the program with primary stakeholders. Oversee financial constraints, keep the team focused on the technical aspects of the program and understand the importance of maintaining a high level of team focus and commitment.
Environmental and/or Physical Factors
work environment and dress code tend to be informal, depending on the amount of client contact.
required to sit, use hands, talk, and hear.
hours are typically 8am – 5:00pm, however working extended hours and/or weekends may be required to meet project deadlines."
IT Project Manager & Analyst,IT Project Manager & Analyst,Pizza Nova,May,2024,"We are looking for a versatile IT professional who can blend project management expertise with analytical abilities and a proficient understanding of helpdesk environments. As an integral member of our team, this individual will have to leverage their proficiency in O365 and Windows environments to drive successful project outcomes while providing valuable insights through robust reporting and analysis.


Key Responsibilities:
Project Management in conjunction with director of technology:
Lead the planning, execution, and delivery of IT projects, ensuring alignment with organizational goals and objectives.
Develop comprehensive project plans, including scope, timeline, budget, and resource allocation.
Coordinate cross-functional teams and stakeholders to achieve project milestones and deliverables.
Monitor project progress, identify risks, and implement mitigation strategies to ensure on-time and within-budget delivery.
Foster a collaborative and results-driven project management culture within the IT department.
Analytical & Reporting:
Utilize analytical tools and methodologies to extract insights from data related to IT operations, project performance, and helpdesk activities.
Generate regular reports and dashboards to communicate key performance metrics, trends, and areas for improvement.
Conduct root cause analysis to identify underlying issues impacting IT service delivery and recommend corrective actions.
Develop predictive models and forecasting techniques to anticipate future IT needs and optimize resource allocation.
Helpdesk Support:
Collaborate with helpdesk teams to streamline processes, enhance service delivery, and improve customer satisfaction.
Troubleshoot technical issues, escalated from the helpdesk.
Technical Proficiency:
Demonstrate a strong understanding of O365 and Windows environments, including deployment, configuration, and troubleshooting.
Provide guidance and support to organization on technical matters, ensuring adherence to industry standards and compliance requirements.


Qualifications:
Bachelor's degree in Computer Science, Information Technology, or related field.
Proven experience in IT project management, with a track record of successfully delivering projects on time and within budget.
Strong analytical skills with the ability to interpret complex data sets and communicate actionable insights to stakeholders.
Experience working in helpdesk environments, with a solid understanding of ITIL framework and service management principles.
Proficiency in Microsoft Office 365 suite and Windows operating systems.
Excellent communication, leadership, and interpersonal skills, with the ability to collaborate effectively across teams and departments.
Project management certification (e.g., PMP, PRINCE2) and ITIL certification are desirable."
IT Project Manager (Onsite),IT Project Manager (Onsite),"QualityWorks Consulting Group, LLC",April,2024,"IT Project Manager

QualityWorks Consulting Group

Position Overview:

We are seeking a skilled and experienced IT Project Manager to join our team. The ideal candidate will be responsible for overseeing the planning, implementation, and tracking of IT projects from initiation to completion. The IT Project Manager will work closely with stakeholders, team members, and third-party vendors to ensure that projects are delivered on time, within scope, and within budget.

Responsibilities:

Lead the planning and implementation of IT projects
Define project scope, goals, and deliverables
Develop detailed project plans and timelines
Identify and secure necessary resources for project success
Coordinate internal resources and third-party vendors for the flawless execution of projects
Manage project budgets, expenses, and resource allocation
Track project progress and report updates to stakeholders
Identify and mitigate project risks and issues
Ensure compliance with relevant regulations and quality standards
Conduct post-project evaluations and identify areas for improvement
Provide leadership and guidance to project team members

Requirements:

Bachelor's degree in Computer Science, Information Technology, or related field (Master's degree preferred)
Proven experience as an IT Project Manager or similar role
Solid understanding of project management methodologies and tools
Excellent leadership, communication, and interpersonal skills
Strong analytical and problem-solving abilities
Ability to manage multiple projects simultaneously
Experience working with cross-functional teams and external stakeholders
Proficiency in project management software (e.g., Microsoft Project, Jira)
Project Management Professional (PMP) certification is a plus

Powered by JazzHR

oPgDHfkmHC"
Project Manager Non Tech 2,Project Manager Non Tech 2,Rylem Staffing,May,2024,"Job Title: Project Manager Non Tech 2

Job Type: Contract

Site Type: Remote (PST)

Duration: 1 Year 27 Days

Job Overview

The main function of a non-IT project manager is to plan, direct, or coordinate activities in such fields as engineering, research and development, financial systems and product roll-out, etc., or any other non-IT-based project.

Job Responsibilities

Maintain MECx communications calendar
Provide thought leadership and strategic direction in MECx content/experience design/operations/communications
Develop project plans for content/experience deliveries
MECx Power-BI data pulls to ensure attendance/survey capture
Establish/maintain/support/improve stakeholder relationships with MECx Partners such as LPLs, Deployment Leads, Facilitators, Global facilitation, Inclusive Learning, Sponsor, Business/Geo representatives, Tiger Team
Support MECx Program Team on event planning, budget, strategy, execution, and reporting
Teams Channel Management
Maintain engagement with Deployment Leads with regard to launches and increased attendance/satisfaction
Partner with TLX Operations for in-session support
Manage all MECx Communications
MECx communications strategy, content creation, review, editing, and distribution
Create and manage the MECx deployment tracker and launch/ promotional templates
Tier 1 inbox queries
Maintain MECx Sharepoint pages including Materials

Job Requirements

Bachelor's degree in business administration or a related field
2-4 years experience required
PMI or PMP certification preferred
5-7 years of experience with MSFT 365 Suite. (Teams, SharePoint, etc)
5-7 years of Project Management experience
Excellent written and verbal communication skills
Problem-solving skills, attention to detail, and interpersonal skills
Basic ability to work independently and manage one’s time
Basic knowledge of production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods
Basic knowledge of business and management principles involved in strategic planning, resource allocation, and production methods
Basic knowledge of computer software, such as MS Word, MS PowerPoint, MS Project, Visio etc."
IT Project/Program Manager,IT Project/Program Manager,Zivahh LLC,March,2024,"Job Title - - Project/Program Manager IT 4

Request #34673-1

Location: 100% remote

Duration- 12 Months

Position’s Contributions To Work Group

Manage application portfolio governance processes.
Lead multiple projects in parallel with rigor, lead chartering sessions, develop project and resource plans, proactively manage program communication, and enhance project schedule quality through risk and issue management.
Lead and coordinate large cross-functional team to ensure results are delivered on schedule, on budget, meet requirements, and are of high quality.
Ensure effective stakeholder management and communication through development of communication plans, meeting agendas, presentation contents, and progress updates to stakeholders and leadership.
Define, document, and deploy repeatable processes aligned with industry best practices.
Develop and utilize data analysis, reports and trends to improve business processes.
Document and track project milestones and financial progress.

Education & Experience Required

Bachelor's degree in Information Technology or relevant field
8 years of IT experience with at least 3 years as project manager

Technical Skills

(Required)

Understanding of how IT operational model (e.g., Key IT roles, IT Cost components, IT Terminology).
Experience managing complex IT projects. Projects that must coordinate work for senior IT stakeholders (e.g., application portfolio governance, IT transformations, IT costs optimization, IT roadmap development).
Exceptional communication skills for business and executive audiences.
Strong initiative, leadership, business acumen, accountability, adaptability change.
Strong problem solving, analytical, and change management skills.
Excellent organizational and time management skills
Ability to work effectively with multiple business teams, IT teams, vendor partners, and other management personnel both global and virtual.
Experience improving processes utilizing industry methodologies (e.g., Lean, Six Sigma, Agile).
PMI – PMP Project Manager
Data analysis and visualization capability
Experience with application portfolio management
Software Applications: MS productivity suite (PowerPoint, Excel, Word), MS Project, MS Visio, PowerBI, PowerApps

Soft Skills

(Required)

Exceptional communication skills for business and executive audiences.
Strong initiative, leadership, business acumen, accountability, adaptability change.
Strong problem solving, analytical, and change management skills.
Excellent organizational and time management skills
Ability to work effectively with multiple business teams, IT teams, vendor partners, and other management personnel both global and virtual.

Job Duties/Responsibilities May Include, But Are Not Limited To

Lead multiple projects in parallel with rigor, lead chartering sessions, develop project and resource plans, proactively manage program communication, and enhance project schedule quality through risk and issue management.
Lead and coordinate large cross-functional team to ensure results are delivered on schedule, on budget, meet requirements, and are of high quality.
Ensure effective stakeholder management and communication through development of communication plans, meeting agendas, presentation contents, and progress updates to stakeholders and leadership.
Define, document, and deploy repeatable processes aligned with industry best practices.
Develop and utilize data analysis, reports and trends to improve business processes.
Document and track project milestones and financial progress."
"Manager, Technical Project Management","Manager, Technical Project Management",The Walt Disney Company,May,2024,"Position Description: Manager, Technical Program Management

Disney Entertainment & ESPN Technology

On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories while also transforming Disney’s media business for the future. Whether that’s evolving our streaming and digital products in new and immersive ways, powering worldwide advertising and distribution to maximize flexibility and efficiency, or delivering Disney’s unmatched entertainment and sports content, every day is a moment to make a difference to partners and to hundreds of millions of people around the world.

A few reasons why we think you’d love working here:


Building the future of Disney’s media: DE&E Technologists are designing and building the infrastructure that will power our media, advertising, and distribution businesses for years to come.
Reach & Scale: The products and platforms this group builds and operates delight millions of consumers every minute of every day – from Disney+ and Hulu, to ABC News and Entertainment, to ESPN and ESPN+, and much more.
Innovation: We develop and implement groundbreaking products and techniques that shape industry norms and enhance how audiences experience sports, entertainment & news.


Business Operations is the glue of DE&E Technology, with a persistent focus on connecting all the pieces of the business. All the components that make up the organization – engineering, product, design, operations, support and more – come together and move the business forward with oversight, effective prioritization, and guidance. This team synthesizes information from across the business to ensure leaders are armed with all the necessary data before making strategic and financial decisions. From forecasting, funding, tracking, and reporting on projects, to ways of working, and resource management, Business Operations has transparency and input into all aspects of the team.

This Technical Program Manager leadership role is a senior level program position that will drive efficiency and coordination to support the engineering services organization. The person in this position will be working directly with engineering and program leadership in a large, cross functional organization to lead program delivery efforts. You will have the opportunity and be accountable for improving and refining processes for intake, delivery, reporting, and road mapping.

Responsibilities:


Lead a team of Technical Program Managers.
Mentoring and assisting in team development while holding TPMs accountable for their commitments, removing roadblocks to their work, and leveraging organizational resources to improve capacity for project work.
Ensure TPM standards are met and continue to be optimized through continuous improvement.
Oversee the roadmap, planning and project budget processes. Serve as program lead driving planning and delivery as well as working cross functionally across teams.
Work with business relationship management, delivery and intel operations and other key stakeholders to support engineering efforts.
Work with engineering teams and leadership to establish processes across all program areas that will ensure success on high priority business initiatives and improve efficiency.
Ability to articulate a technical solution into business strategy and understand the big picture as it relates to business value.


Basic Qualifications:


Well-established in Technical Program Management, with 8+ years’ experience managing projects that include infrastructure, application, and hardware.
2+ years of successfully leading Technical Program Managers.
Experience working with engineering teams, hardware and application lifecycle delivery, and release management.
Experience working with stakeholders to understand requirements, prioritize initiatives, and engage with engineering teams to drive projects forward.
Have in-depth experience executing infrastructure and hardware procurement and implementation methodologies.
Have mastered industry-standard project management tools such as Confluence, Smartsheets and Excel.
Excel at working with project stakeholders to define project scope and objectives, and you can effectively communicate requirements to engineering teams.
Excel in leading effective meetings, planning, documenting decisions and follow up.
Identify, analyze, prioritize, mitigate, and communicate project risks to internal and external partners.
Display initiative, take a proactive approach, and can start the conversation and guide other program leads in process development. Consistently evaluating processes and seeking for ways to improve at every iteration.
Have developed essential soft skills including meeting leadership, communication, teamwork, collaboration, flexibility, problem solving, critical thinking, & conflict resolution.
Learn quickly and enthusiastically, particularly about technical systems and issues.
BA/BS or equivalent experience


The hiring range for this position in NY is $156,300.00 to $209,600.00 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered."
IT Project Manager - 100% Remote - 6m Contract - ASAP,IT Project Manager - 100% Remote - 6m Contract - ASAP,Elevate Digital,May,2024,"**MUST reside in AL, AZ, CA, CO, FL, GA, KY, LA, MD, MO, NC, NM, NV, OH, PA, SC, TN, TX, UT, or VA

At a glance:
~ 100% remote
~ 6-month contract
~ Market rate
~ Rapid 2-step interview process
~ Needed ASAP

Top skills:
~ 3+ years of PM experience
~ Application Dev/IT background
~ Strong in Agile/Waterfall
~ Proficiency using Microsoft Project/Excel
~ Comfortable in a fast-paced environment
~ Experience in retail preferred

Official job description:
The IT Project Manager will lead a cross-functional team to ensure effective project delivery via continuous management of scope, schedule, and budget.

*Scope/Planning:
The IT Project Manager is responsible for working with key business and technology leaders to confirm clear definitions of (high-level) scope, confirm resource/team requirements, and for building a feasible project roadmap (timeline) to accommodate delivery. The IT PM will facilitate conversation to ensure that iterative delivery is achieved where possible (focus on MVP vs a longer-term roadmap) and will ensure effective definition and communication of delivery expectations with the team and with key stakeholders. The IT PM will facilitate cross-team planning and collaboration sessions to ensure that all dependencies are clearly identified and factored into the project delivery schedule.

*Budget:
The IT PM will work with stakeholders to help document the total cost of delivery for the defined project. Project estimates should include licenses, software, hardware, and resource costs, including any specific contracts directly tied to the project. The IT PM will be responsible for working with the technical managers and the finance team to assess and track actuals and manage the forecast monthly.

*Status Reports and Change Requests:
The IT PM will maintain continuous oversight and visibility into the overall project delivery plan, with a focus on Scope, Schedule, Cost, and Resources. He or she will work with the Business Analyst to ensure that requirements are clearly defined and approved and that the project remains focused on timely delivery of what is expected. The IT PM will produce a weekly status report that indicates key accomplishments and milestones, will be responsible for articulating issues and risks, and will ensure adequate escalation to closure. Change Requests will be used when additional scope, schedule, or cost is needed, and the project manager will facilitate documenting the change and escalating to leadership as appropriate.

*Team Engagement:
The IT PM will engage all resources necessary to ensure that all pieces of scope and interdependencies are effectively managed. This may include working directly with specific shared resources while also coordinating closely with Scrum Team leadership (Scrum Masters/Pos) where appropriate to ensure that team backlogs are appropriately prioritized and aligned with project objectives.

*Communication:
The IT PM will work closely with both technical and business leadership to ensure that the project is well-defined, all team members are properly aligned, and that status and major milestones are clearly articulated. The IT PM must build effective relationships both “up and down” the organization to ensure trust and confidence in the team’s ability to deliver on commitments.

*Responsibilities of the IT Project Manager:
Lead a cross-functional team to achieve project requirements, deadlines, and schedules
Identify and resolve project issues
Prepare project status reports
Coordination of change requests
Use technology to ensure all parties are informed on schedule and budget
Coordinate the development of documentation to enable implementation and turnover of the process of system
Lead team in meeting client expectations and project deliverables
Conduct post-project evaluation

*Qualifications for the IT Project Manager:
Proven experience managing a team
Experience with both Agile and Waterfall project delivery. Understands how to navigate defined project objectives and milestones leveraging Agile and non-Agile delivery practices
Experience using Teams, Jira, and other project management tools to manage workflow
Expert-level in Microsoft Office Applications
Excellent written and oral communication skills"
Project Manager Non Tech 2,Project Manager Non Tech 2,Rylem Staffing,March,2024,"Job Title: Project Manager Non Tech 2

Job Type: Contract

Site Type: Remote

Duration: 3 Months 17 Days

Job Overview

The main function of a non-IT project manager is to plan, direct, or coordinate activities in such fields as engineering, research and development, financial systems and product roll-out, etc., or any other non-IT based project.

Job Responsibilities

Coordinate projects, make detailed plans to accomplish goals, and direct the integration of technical activities
Present and explain proposals, reports and findings to clients
Recruit employees, assign, direct, and evaluate their work, and oversee the development and maintenance of staff competence
Analyze technology, resource needs and market demand, to plan and assess the feasibility of projects

Job Requirements

Bachelor's degree in business administration or a related field
2-4 years of relevant experience required
PMI or PMP certification preferred
Proficiency with MSFT Excel
3+ years of basic ability to work independently and manage one’s time
3+ years of Microsoft contractor experience
Excellent verbal and written communication skills
Problem-solving skills, attention to detail, and interpersonal skills
Basic ability to work independently and manage one’s time
Basic knowledge of production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods
Basic knowledge of business and management principles involved in strategic planning, resource allocation, and production methods
Basic knowledge of computer software, such as MS Word, MS PowerPoint, MS Project, Visio, etc."
