Position,Company_Name,Location,Post_Month,Post_Year,Details
IT Security Analyst,IT Security Analyst,Summit Human Capital,May,2024,"Conduct internal and external Investigation on our business partners

Google Vault tool for Google Workspace

Support FOIA request

Conduct McAfee Web Filter, SIEM

IT Security Project Implementation

Monitor Logs Analysis

Analyze, mitigate and resolve security risks, threats, and vulnerabilities

Support VITA and Catalog in-depth knowledge

Perform PowerShell Audit tools

Analyze CIFS Storage Knowledge

Assist in efforts with the DOC Security Program in the areas of risk management

Assist in providing Business Impact Analysis and Business Continuity assessments

and updates

Assist in implement security solutions to improve the DOC security posture

Perform Risk Assessments (including systems, third party reviews)

Analyze, mitigate and resolve security risks, threats, and vulnerabilities

Implement secure solutions to take advantage of new features and functionality

available in cloud environments

Monitor, report and respond to security events

Assist with implementing cloud security strategies

Develop and recommend enhancements to technical standards, policies and

practices

Monitor and conduct quality assurance reviews and assess IT security compliance

with policies, procedures and standards

Assists with conducting security incident management

Works with ISO to ensure compliance with results from penetration testing and

vulnerability scans

Research emerging security trends and attack vectors"
IT Security Analyst,IT Security Analyst,GuideIT,May,2024,"About GuideIT

GuideIT is a US based technology services company Headquartered in Plano, Texas, focused on providing value to its customers by aligning technology with business outcomes, maximizing value through cost management, and allowing rapid, proactive response to change. We are looking for a Full-time IT Security Analyst to join our team! Candidate must live in the Dallas/Fort Worth area, be results oriented, highly adaptable and thrive in a team environment centered on mutual trust and respect. This is a fully onsite role.

Security Monitoring and Incident Response:

Monitor security event logs and alerts from various sources including SIEM tools, intrusion detection/prevention systems and firewall logs.

Help ensure monitoring tools are ‘fit’ to the environment so that relevant alerts and events are correlated, and potential incidents notified.

Investigate and respond to security incidents in a timely manner, following established procedures and protocols.

Conduct root cause analysis for security incidents and recommend remediation actions to prevent future occurrences.

Vulnerability Management:

Perform regular vulnerability assessments on systems and networks.

Identify and prioritize security vulnerabilities based on risk assessment.

Coordinate with system owners and IT teams to remediate identified vulnerabilities.

Rapid7 InsightVM, Qualys Vulnerability Management, and Tenable Nessus.

Security Policy and Compliance:

Assist development and implementation of security policies, standards and procedures.

Ensure compliance with relevant regulatory requirements (e.g., GDPR, GLBA, PCI-DSS, SOX) and industry best practices.

Participate in security audits and assessments, threat hunting and ‘Purple-team’ exercises to identify and resolve security risks.

Threat Intelligence and Research:

Stay up to date with the latest cyber threats, attack techniques and security trends.

Use threat intelligence sources to enhance security monitoring and incident response capabilities.

Security Awareness and Training:

Collaborate with other departments to promote security awareness and best practices among employees.

Develop and deliver security training sessions and materials.

Participate in design, delivery & monitoring of security awareness campaigns; assist in driving improvements to company cyber-wellness performance.

Requirements:

Bachelor’s degree in computer science, Information Security or related field (or equivalent experience).
Previous experience in a cybersecurity role, preferably as a Security Analyst or similar position.
Strong understanding of network protocols, operating systems, and cybersecurity principles.
Familiarity with security tools such as SIEM (Rapid7 InsightIDR, Splunk, QRadar, and Elastic SIEM), IDS/IPS (Cisco Sourcefire, Snort, and Palo Alto), antivirus and endpoint detection and response (EDR) solutions (InsightIDR, Darktrace Endpoint Privilege Monitoring, Carbon Black Response, SentinelOne, and Crowdstrike Falcon).
Experience with security standards and frameworks such as ISO 27001, NIST Cybersecurity Framework, or CIS Controls.
Excellent analytical and problem-solving skills.
Effective communication skills, both written and verbal.
Relevant certifications such as CompTIA Security+ or Certified Ethical Hacker (CEH) are a plus.
Next-Generation Firewalls (NGFW): Cisco ASA / Cisco SourceFire, Palo Alto Networks, and Fortinet
Antivirus/Anti-Malware: Microsoft Defender for Business, Symantec Endpoint Protection, and McAfee Endpoint Security.
Email Security: Microsoft Exchange Online, Proofpoint Email Protection / Targeted Attack Protection, Darktrace Email Protection, and Barracuda.

Relevant Software Experience Preferred:

Network Packet Analyzers: Wireshark, tcpdump, and Zeek.
Network Traffic Analysis: Darktrace Network Monitoring, Cisco Stealthwatch, and ExtraHop.
Patch Management Systems: Microsoft SCCM, Microsoft Endpoint Manager (Intune), Quest KACE, and ManageEngine Patch Manager Plus.

Benefits:

GuideIT offers competitive pay, performance-based bonuses, and 401K with match. Health, dental and vision insurance coverage, paid holidays, and paid time off for full-time employees.

GuideIT is committed to Equal Employment Opportunity. It is the policy of GuideIT to encourage and support equal employment opportunity for all Team Members and applicants for employment without regard to sex, race, color, ancestry, religious creed, national origin, pregnancy, physical disability, mental disability, medical condition, age, marital status, political affiliation, sexual orientation, disabled veteran, or Vietnam era veteran status.

Powered by JazzHR

oqt3YHqr6B"
SOC Security Analyst - Level 1,SOC Security Analyst - Level 1,Coretek,April,2024,"Join a highly skilled and motivated team of Cyber Security Professionals tasked with protecting Coretek and its customers. The Cyber Security Analyst level 1 is an entry level role that is primarily focused on responding to alerts, setting up cases for escalation, and triage. Analysts will leverage Microsoft Sentinel as well as, cyber case management and supplementary tools to investigate, contain, and remediate cyber security incidents. The Cyber Security Analyst must have a drive to learn and grow as the industry changes and Coretek adapts rapidly.

Coretek understands that a candidate may not possess all the skills required of a Security Analyst for the unique service provider space and will educate and grow the right candidate. At Coretek the desire to learn and work with in a team is a requirement of the position. Skills in other disciplines are always welcome and shows a candidate's ability to adapt. Those with formal education are welcomed as well as those that are self-taught. Structured training as well as on the job experience is a required part of the job to bring security professionals up to speed for the complex requirements and fast paced environment of a service provider. Security Analysts must have a drive to learn and grow as the industry changes and Coretek adapts.

ESSENTIAL FUNCTIONS:

Respond to alerts and validate findings
Escalate security incidents incident response teams for investigation / remediation
Support Incident Response investigations for Coretek and Coretek customers
Learn to perform analysis of logs and alerts
Coordinate with appropriate teams to provide incident handling and response support
Learn to use and improve incident response procedures & runbooks
Handle security incident escalation via Cyber Case Management tools, SIEM, ITSM, email, phone, or walk-up


Requirements

MINIMUM QUALIFICATIONS:

Knowledge of incident response, investigation, system forensics, or related cyber security education / self-learning
Familiarity with Windows and Linux operating systems including command line operation
Possess a foundation in networking fundamentals and TCP/IP
Knowledge of common network-based services and common client/server applications
Excellent verbal/written communication, interpersonal and organizational skills
Communicate effectively with varied levels of staff to develop positive working relationships
Excellent problem-solving skills to diagnose technical issues
Manage customer situations professionally to aid in positive customer satisfaction
Ability to learn new technology and concepts quickly
Ability to work on a shift or on-call rotation if needed
Formal education or certifications in incident response, forensics, cyber security case management, IT technology, networking, or related topics
Experience working on a security operations team
Experience reviewing and analyzing log data from various network and security devices
Experience with well-known information security related tools for packet capture, network/OS fingerprinting, and communication
Practical understanding of exploits, vulnerabilities, computer network intrusions, adversary tactics, exfiltration techniques and common knowledge
Experience with enterprise SIEM products
Experience with ITSM, SOAR, or Cyber Case Management Tools
Scripting with Python, Perl, Bash and/or PowerShell a plus
Database structures and queries, Regular Expressions a plus
Experience acquiring and analyzing data from clients and servers related to security incident response
Digital Forensic or Threat Intelligence work


PREFERRED QUALIFICATIONS:

Formal education or certifications in incident response, forensics, cyber security case management, IT technology, networking, or related topics
Experience working on a security operations team
Experience reviewing and analyzing log data from various network and security devices
Experience with well-known information security related tools for packet capture, network/OS fingerprinting, and communication
Practical understanding of exploits, vulnerabilities, computer network intrusions, adversary tactics, exfiltration techniques and common knowledge
Experience with enterprise SIEM products
Experience with ITSM, SOAR, or Cyber Case Management Tools
Scripting with Python, Perl, Bash and/or PowerShell a plus
Database structures and queries, Regular Expressions a plus
Experience acquiring and analyzing data from clients and servers related to security incident response
Digital Forensic or Threat Intelligence work


EDUCATION and TRAINING:

Degree in technology, cyber security, criminal justice/forensics, or equivalent work experience
Security related certifications desired"
IT Security Analyst,IT Security Analyst,Stellar Professionals,March,2024,"Candidates Must Have Minimum 5 Years Of Relevant Experience

Utilizing emerging technologies to design and implement security solutions; monitoring and improving those solutions
Consulting and engineering in the design and development of security best practices; implementation of security measures to meet business goals.
Identity and access management; tracking and creating/enforcing policies that govern access sensitive technology resources and information assets.
Demonstrated ability to identify risks associated with business processes, operations, technology projects and information security programs.
The NIST 800-53 rev 5 specifications for an information security management system and/or Criminal Justice Information System (CJIS)
5+ years’ experience in IT risk management and information security
IT security or risk assessment certifications are advantageous (CISM, CCSP, CISSP, and/or Comptia Security+)

We are not offering any sponsorship or Visa for this role. This position is eligible for candidates who are authorized to work in US"
SOC/Security analyst,SOC/Security analyst,Stellar Professionals,May,2024,"We are looking to fill a 2nd Shift role as Security analyst in Des Moines, IA

2nd Shift 4:00pm - 12:30am CST

The purpose of this position is to provide tier two triage for information technology issues and information security incidents. As a tier two information security incident handler, this position will be responsible for information security incidents for the entirety of their lifecycle.

Serve as the primary incident owner for the Security Operations Center. Lead efforts related to the incident handling processes such as incident discovery, analysis and verification, incident tracking, containment and recovery, incident response coordination, escalation and notification. Lead efforts in coordinating with other teams to remediate detected incidents. Communicate intelligence to key personnel.

Applicants must have minimum of 6 years of relevant experience.

Candidate Requirements

Systems Security Certified Practitioner (SSCP), CompTIA Security+ (Security+ CE), CompTIA Cybersecurity Analyst (CSA+) or other information security certifications.
Strong understanding of security technologies and strategies, including but not limited to: firewall, IDS, policy management, security processes/best-practice, logging/monitoring, antivirus, vulnerability assessment, patch management, and incident response.
Solid knowledge of common and emerging attack vectors, penetration methods and countermeasures.
Knowledge of conflict resolution and incident escalation.
Ability to work effectively with customers to solve business challenges while balancing the need for confidentiality, integrity, and availability.
Demonstrated ability to resolve issues in a variety of complex situations which require complex judgments and solutions based on sophisticated analytical thought.
Demonstrated ability to solve complex problems, convey both oral and written instruction, and handle multiple task interruptions while providing services in a professional and courteous manner.
Proven ability to work with diverse audiences and translate technical information into non-technical information.
Must be an individual of high integrity and be a model of unwavering integrity to others.
Commitment to fostering a diverse working environment.
Demonstrated ability to work independently,as part of a team of peers, and also to support and contribute to amultidisciplinary team environment."
Information Security Analyst,Information Security Analyst,"Villa-Tech, Inc.",May,2024,"Job Description

**THIS IS A FULL-TIME POSITION**

**THIS POSITION IS 100% IN OFFICE, NOT REMOTE**

**UPTO $55K/YEAR SALARY**

Information Security Analyst

We are looking for an Information Security Analyst to join our team. The successful candidate will be responsible for providing technical assistance and support related to computer systems, hardware, or software, as well as an overview/understanding of the team as a whole. This includes responding to inquiries, troubleshooting problems, and providing solutions. The ideal candidate will have excellent communication skills, a strong understanding of computer systems and networks, and the ability to think critically and solve complex problems. Position is meant to be a stepping stone for transition into a team leadership role.

Responsibilities Include:

Centrally manage, monitor, maintain, and troubleshoot 1k+ firewalls.
Reach out to customer for Troubleshooting.
Provide technical support to users via phone, email, or in-person.
Communicate on e-mail threads, read and respond to vendors, and clients.
Handle tickets, update notes, escalate when needed.
Perform system maintenance tasks such as backups, disk clean-up, and virus scans.
Be aware of what is going on in the environment and with problem stores at all times.
Collection and compilation of data into weekly / monthly reporting following SOPs.
Attending of weekly and monthly meetings with clients.
Act as point of contact between client and team; liaison for escalation of immediate issues or asks.
Solid documentation of issues in both knowledge base and troubleshooting tickets.
Be able to manage small-scale projects, assist team members in creating processes and implementation and update management with project status.

Information Security Analyst Qualifications:

2-3+ years of experience in the field.
Strong customer service skills to deliver quality results in a demanding environment.
Excellent verbal, written communication, and interpersonal skills.
Excellent detailed and analytical approach to problem solving.
Ability to learn new concepts, hardware, and technologies.
Advanced troubleshooting skills.
Ability to perform and deliver under pressure and stressful situations.
Strong organizational skills to structure and manage tasks from initiation to completion.
Prospective candidates should be comfortable presenting to audiences of varying sizes and skillsets.
Proficient in preparation of reports and documentation.
Knowledge of Networking (CCNA, CCNP).
Understanding of firewalls, proxies, SIEM, antivirus, and IDPS concepts.
Relevant certifications and field knowledge preferred, for example CompTIA SEC+, CompTIA NET+, GIAC, CISSP, etc."
Cybersecurity Analyst,Cybersecurity Analyst,"Donato Technologies, Inc.",April,2024,"Role: Cybersecurity Analyst

Location: New York City, NY On Site

Experience: 12 Plus Years

Job Description

Required Skills:

Cisco ISE/Stealthwatch
Threat Detection and Vulnerability Assessments
Data Analysis

Knowledge To Have Skills

BGP, OSPF and Switching (Cisco)
Network Segmentation and Isolation
Physical Access Control Systems
Video Management Systems
Virtualization and Infrastructure (Vmware, Virtual Switches)
Endpoint Credential Management
Active Directory and Windows Server Administration and Hardening
Vulnerability and Patch Management
Privileged Access Management
Cybersecurity Incident Response Plan/Program
Implementing Deception Technology (Honeypot/Honeynets)
DWDM and SONET
Nozomi maintenance and management
TDI administration and management
Gigamon maintenance and management experience"
Information Security SoC Tier 1 Analyst (Contract),Information Security SoC Tier 1 Analyst (Contract),Legend Biotech,April,2024,"Company Information

Legend Biotech is a global biotechnology company dedicated to treating, and one day curing, life-threatening diseases. Headquartered in Somerset, New Jersey, we are developing advanced cell therapies across a diverse array of technology platforms, including autologous and allogenic chimeric antigen receptor T-cell and natural killer (NK) cell-based immunotherapy.

Legend Biotech entered into a global collaboration agreement with Janssen, one of the pharmaceutical companies of Johnson & Johnson, to jointly develop and commercialize ciltacabtagene autolecuel (cilta-cel) in 2017. Our strategic partnership is designed to combine the strengths and expertise of both companies to advance the promise of an immunotherapy in the treatment of multiple myeloma.

Legend Biotech is seeking an Information Security SoC Tier 1 Analyst (Contract) as part of the IT team based in Somerset, New Jersey.

Role Overview

Information Security SoC Tier I Analyst will be a key team member within the Information Security Office. His or her skills and judgement early in the triage phase will determine the time to detect and time to respond to breaches. In addition, the new hire will contain breach or malware prior to infiltrating and impacting the organization. He/She will monitor systems to alert, manage, and report on potential system and data breaches. Additional duties will include and not limited to assisting with implementation of company cybersecurity strategy, preparations of key metrics and operational security reporting. Ensuring the highest standards for IT security projects are implemented and maintained. He/She will demonstrate working knowledge of current enterprise technologies and security best practices.

Key Responsibilities

Monitor security alerts from SIEM and other security tools.
Triage security alerts from ITSM and SWFM systems.
Assign initial priority to security events.
Close out low priority security events in consultation with Tier 2 SoC analyst.
In case of doubt or suspicion of a serious security nature, gather all information including initial analysis and escalate to Tier 2 SoC analyst.
Participate in containment and remediation activities after a security incident.
In the case of a serious security incident, be prepared to work beyond normal hours.
Conduct periodic vulnerability assessments and co-ordinate remediation effort with the IT operations team.
Generate monthly Cybersecurity status report with feeds from various security tools.
Participate in threat hunting and red-team/blue/purpleteam exercises.


Key Relationships:

Business Function Leaders, IT Peers, QA, Service Providers, and Process & System Owners.


Requirements

A Baccalaureate Degree or Post-graduate from an accredited university in Computer Science, Engineering or related field of study.
Five plus years’ experience in cybersecurity, utilizing security tools and cloud environment experience.
Related certificates in security.
Experience with implementing and configuring security tools.
Experience with testing and evaluating security products.
Working knowledge of IT-related and compliance mandates (e.g. Sarbanes Oxley, HIPPA, GDPR, CCPA, PIPL, HGR, PCI DSS, FDA) is desired.
Must have knowledge of security frameworks and standards (NIST, ISO, CIS, CoBit).
Must know NIST IR end to end standard.
Experience the following (Azure AD, ADFS, SSO, Multi-factor authentication, SAML, PAM).
Excellent analytical and technical skills.
Professional planning and organizational skills, including presentation and strong written communication.
Ability to communicate technical information in understandable business terms.
Great interpersonal skills, including teamwork, facilitation and negotiating skills.
Ability to positively influence the behavior of peers and build relationships with other teams without direct authority over those teams.


Legend Biotech is a proud equal opportunity/affirmative action employer committed to attracting, retaining, and maximizing the performance of a diverse and inclusive workforce. It is Legend’s policy to ensure equal employment opportunity without discrimination or harassment based on race, color, religion, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity or expression, age, disability, national origin, marital or domestic/civil partnership status, genetic information, citizenship status, uniformed service member or veteran status, or any other characteristic protected by law.

Legend Biotech maintains a drug-free workplace."
Information Security Analyst,Information Security Analyst,Stellar Professionals,February,2024,"Applicant must have 3 years of relevant experience with the following:

Security Policy development, reviewing, and revision.
Experience in information security or information assurance.
Experience working with IT technology and security tools.
Networking terminology, analytical ability & troubleshooting.
Microsoft Server, Windows, Active Directory (AD) & MS-O365.
Bachelor's degree in information technology, computer science, information assurance, or a related field from an accredited college or university
Security+ Certification (MUST UPLOAD CERTIFICATION)"
Cybersecurity Analyst,Cybersecurity Analyst,Steneral Consulting,May,2024,"Work is ONSITE w/Video interviews.

NEED LINKEDIN, DOB, and LOCAL TO JACKSON, MS

5+ years of Cybersecurity experience.
Tenable/Nessus or other vulnerability scanning experience.
Endpoint protection, AV/XDR, AV/XDR policy config, endpoint agents.
SIEM, logging/syslog, Alerting.
Windows/Linux Server administration of on-premise Cybersecurity applications.
Experience with cybersecurity tools used for routine security related tasks. Example: Nmap, Wireshark, phishing sim.
Experience participating in situational tabletop exercises (malware, phishing, ransomware).
Experience with vulnerability scanning, identification and remediation, penetration testing, endpoint
protection/hardening, CIS benchmarks, NIST/Cybersecurity frameworks, MITRE ATT&CK Matrix, IRS 1075, SSA, PII,
threat vectors, threat hunting, incident response and remediation.
Experience with common IT infrastructure found in most large organizations including but not limited to load balancers,
network LAN/WAN, firewall, email, AV, SIEM, GPO, web proxy, web, application development processes, database,
Windows/Linux server, Windows workstation, wireless, 365 ATP/DLP."
