Position,Company_Name,Location,Post_Month,Post_Year,Details
IT Support - 24-38149,IT Support - 24-38149,Zortech Solutions,April,2024,"Essential Job Functions

Must be self-motivated and a self-starter.
This role supports the resolution of critical situation technical problems.
Managing incidents and requests in coordination with global IT service desk, utilizing ITIL foundational principles.
ServiceNow experience required.
This role is the link between business applications and users from a technical and process perspective.
This role is responsible for direct interaction with internal customers.
This role requires you to drive results and proactively identify and resolve problems.
In this role you must understand the business impact of all IT decisions.
Create and communicate decisions impacting the wider business, effectively managing customer expectations.
Develops training materials to support process changes and new technology introductions.
Follow established safety and environmental policies, procedures, and methods applicable to the work area.
Perform other duties as necessary.

Qualifications

Education:

Bachelor’s degree

Experience

At least 1 year of experience in an information technology role or related discipline
At least 1 year of experience in a support or service role, actively interacting with customers on a regular basis
At least 1 year of experience with maintenance and repair of computer hardware
Microsoft Active Directory applications
Business software applications, including Microsoft Office Suite
IT Service Management ticketing tool such as ServiceNow, preferred
Manufacturing environment, preferred

Certifications

ITIL Foundation, strongly preferred
Microsoft Certified Professional, preferred
Microsoft Certified Solutions Expert, preferred
CompTIA A+, preferred

Skills

Strong customer service orientation
Proficiency in English language, including speaking, reading, and writing
Ability to apply innovative thinking toward problem resolution
Ability to handle sensitive information in a confidential manner
Strong written and verbal communication
Detail-oriented with excellent organizational and time management
Ability to work in a fast-paced environment and manage multiple priorities
Willingness to learn and take initiative
Self-starter with the ability to work independently, collaboratively, and in a team environment

Physical Demands

Ability to work for extended periods of time while sitting or standing.
Ability to use hands and fingers for extended periods of time.
Ability to perform repetitive motions for extended periods of time.
Ability to lift and move equipment up to 30 pounds."
IT Support,IT Support,EVONA,May,2024,"IT Support
Location: Remote (US)

EVONA have partnered with a trailblazer in geospatial analytics empowering organizations reliant on scientific insights from real-world events, is seeking a talented Front-End/Full-Stack Engineer to join our dynamic team. As a remote-first organization, they prioritize your well-being, productivity, and career growth, offering a flexible work environment that aligns with your lifestyle.

They are a remote-first, deliberately distributed company, committed to supporting our employees' diverse needs and lifestyles. They believe in enhancing well-being and productivity, recognizing that each individual's path to success is unique.

Position Overview:
We are seeking an IT Specialist with expertise in software, networking, customer service, and troubleshooting to ensure smooth operations. The ideal candidate will excel in remote desktop support for both MacOS and Windows clients, manage software updates and installations, and handle access and authorizations across various online tools.

Key Responsibilities:
Manage and maintain all desktops and laptops.
Assist in onboarding and offboarding employees, ensuring quick access to accounts, laptops, and services.
Address all desktop and client support issues.
Administer accounts on SaaS tools and develop SSO workflows.
Oversee billing and budgets for SaaS tools.
Collaborate with security personnel to maintain a secure desktop environment.

Required Skills and Experience:
Expert troubleshooting abilities.
Strong customer service skills.
Proficiency with MacOS and Windows systems.
Experience as a Google Workspace administrator.

Preferred Qualifications:
Experience in remote management and automation of client laptops, networks, and meeting equipment.
Familiarity with Okta or other SSO solutions.
Ability to script for remote installations and patches, or a willingness to learn.

Why Join:
We prioritize collaboration over ownership, iteration over perfection, and principles over rules.
We leverage cutting-edge technology to address global challenges with a focus on sustainability and impact science.
We foster an inclusive work environment where respect and professional regard are paramount.
We promote teamwork and celebrate collaborative success.
We offer a flexible work environment.
Competitive compensation package including salary, medical plans, dental, life, and disability insurance, 401K, paid holidays, and PTO.

If your skills and interests align with this role, we encourage you to apply."
IT Support Specialist,IT Support Specialist,Cint,May,2024,"Company Description

Who We Are

Cint is a pioneer in research technology (ResTech). Our customers use the Cint platform to post questions and get answers from real people to build business strategies, confidently publish research, accurately measure the impact of digital advertising, and more. The Cint platform is built on a programmatic marketplace, which is the world’s largest, with nearly 300 million respondents in over 150 countries who consent to sharing their opinions, motivations, and behaviours.

We are feeding the world’s curiosity!

Job Description

Overview:

Are you a highly motivated IT Support Technician and a team player good knowledge in Windows, network, hardware, and software? Do you feel comfortable to explain problems and solutions and giving support to non-technical users? Aiming to work towards long term goal and in fast growing environment? Join our global IT Support team and take part in building the next generation web systems. Our main goal is to connect everyone who has a question, to anyone wanting to give his or her opinion. As an IT Support Specialist, you will be part of a global IT operation who is providing internal support to more than 1000 users around the world.

This position is hybrid, working in office 2-3 days/week.

Responsibilities

Act as the 1st line IT Support within the company
Technical support for Cint’s staff across globe.
Troubleshoot and support wireless and wired networks
Windows OS (Operating System) 10/11 and MAC OS X troubleshooting.
Provide technical support and assistance to end-users, both remotely and on-site, by diagnosing and resolving complex hardware, software, and network issues.
Manage and prioritize multiple support requests, ensuring adherence to service level agreements (SLAs) and delivering exceptional customer service.
Assist in the deployment, configuration, and maintenance of IT infrastructure, including servers, network devices, and workstations.
Stay updated with the latest industry trends, technologies, and best practices to enhance knowledge and improve support services.
Participate in IT projects and initiatives, such as system upgrades, migrations, and implementations, ensuring smooth transitions and minimal disruption to users.
Maintain accurate records of support activities, including incident reports, resolutions, and documentation of technical procedures.
Provide technical knowledge around our internal systems
Close communication with Cint IT teams.
Share knowledge and find ways to high level learning through hackathons, seminars and conferences.
Envolve the working environment that currently embraces continuous learning and cross functional teams.
Document procedures and solutions, and constantly maintain and improve the knowledge base, both for IT internal use and for the Cint employees.
Establish a continuous improvement culture and associated processes to ensure support needs reduce over time.

Qualifications

Bachelor’s degree in information technology, Computer Science, or a related field (or equivalent work experience).
Relevant experience (3+ years) in providing technical support in a corporate environment, with a focus on troubleshooting complex IT issues.
Experience with a ticketing system (Service Cloud, Zendesk, Jira, etc.)
MDM knowledge (Intune preferred)
Experience and good understanding in working with Atlassian Suite - Jira, Confluence, Okta.
Being familiar with tools and environments like VMWare, Google, mail and Azure.
Good understanding of Windows system, networking, hardware and software.
Provision and deprovision new user computers and accounts
Network / Connectivity: File server, wireless and LAN internet, etc.
VPN configuration and implementation
Active Directory and security group setup experience
Basic knowledge of ITIL process.
Basic Knowledge about Incident management, service request and Change process.
Basic knowledge about IT security.
Desire and capability to solve problems, both independently and as a group.
Ability to explain problems and solutions to non-technical users.
Ability to work independently and prioritize tasks in a fast-paced environment, while maintaining attention to detail.
Excellent problem-solving and analytical skills, with the ability to think logically and approach issues systematically.

Additional Information

3+ years of experience in providing Support to the internal users or Customers based on SAAS tool and Windows and Mac OS.
Rotational shift
Willing to work from the office 3-4 days a week.
This position a full time position with hybrid model, meaning minimum 3 days in the office in NOLA.
Good Communication skills.
ITIL Process knowledge.
Windows and Mac OS environment troubleshooting.
MDM (Intune preferred)

Our Values

Collaboration is our superpower

We uncover rich perspectives across the world
Success happens together
We deliver across borders.

Innovation is in our blood

We’re pioneers in our industry
Our curiosity is insatiable
We bring the best ideas to life.

We Do What We Say

We’re accountable for our work and actions
Excellence comes as standard
We’re open, honest and kind, always.

We are caring

We learn from each other’s experiences
Stop and listen; every opinion matters
We embrace diversity, equity and inclusion.

More About Cint

In June 2021, Cint acquired Berlin-based GapFish – the world’s largest ISO certified online panel community in the DACH region – and in January 2022, completed the acquisition of US-based Lucid – a programmatic research technology platform that provides access to first-party survey data in over 110 countries.

Cint Group AB (publ), listed on Nasdaq Stockholm, this growth has made Cint a strong global platform with teams across its many global offices, including Stockholm, London, New York, New Orleans, Singapore, Tokyo and Sydney. (www.cint.com)"
Help Desk Technician,Help Desk Technician,The Select Group,May,2024,"Tier 1 DESKTOP SUPPORT TECHNICIAN | REMOTE | 8am - 5PM EST Shift

The Select Group is looking for a talented Desktop Support technician to join one of our top clients. This position will be 100% Remote. The Ideal Candidate would have around 2-3 years experience of remote IT Support.


MUST HAVE REQUIREMENTS:
Windows 10 Administrative Experience
Ticket Queue Experience (ServiceNow, Spiceworks, ect...)
Experience in Active Directory (Account Creation, PW resets, Onboarding & offboarding)
Experience troubleshooting the office 365 suite
Experience Issuing Microsoft Licenses
Experience creating identities in Office 365

PLUS SKILLS:
Experience using SolarWinds
Email tracing & Distributions list experience
Azure Administrative Experience

RESPONSIBILITIES:
Provide remote IT support (through phone and email)
Troubleshoot any IT issues that arise
Complete initial triage, and escalate if needed
Work cross functionally with Escalation & other teams."
IT Support Specialist,IT Support Specialist,Motion Recruitment,May,2024,"Looking to be at the nucleus of service and support, for a Construction and building organization? As an IT Support Specialist you'll be the go-to resource for resolving a diverse range of SAAS Products, and overseeing a wide suite of windows products.

This role is pivotal in delivering top-tier customer satisfaction and meeting the continuous service demands of a fast-paced environment, where your expertise will be deployed via phone, email, and in-person interactions. We're looking for individuals who thrive on initiative, exercise sound judgment, and can independently diagnose and resolve issues.

Required Skills & Experience

Experience supporting Microsoft 365
Hands-On Projects with Azure AD/Entra
Experience supporting Azure services
Working AD and TCP/IP knowledge

Desired Skills & Experience

Prior experience with end user hardware issues
Network Security interest or experience

Applicants must be currently authorized to work in Canada on a full-time basis now and in the future.

Posted By: Adrian Cronk"
Help Desk Technician,Help Desk Technician,The Select Group,May,2024,"Tier 1 DESKTOP SUPPORT TECHNICIAN | REMOTE | 11am - 8PM EST Shift

The Select Group is looking for a talented Desktop Support technician to join one of our top clients. This position will be 100% Remote. The Ideal Candidate would have around 2-3 years experience of remote IT Support.


MUST HAVE REQUIREMENTS:
Windows 10 Administrative Experience
Ticket Queue Experience (ServiceNow, Spiceworks, ect...)
Experience in Active Directory (Account Creation, PW resets, Onboarding & offboarding)
Experience troubleshooting the office 365 suite
Experience Issuing Microsoft Licenses
Experience creating identities in Office 365

PLUS SKILLS:
Experience using SolarWinds
Email tracing & Distributions list experience
Azure Administrative Experience

RESPONSIBILITIES:
Provide remote IT support (through phone and email)
Troubleshoot any IT issues that arise
Complete initial triage, and escalate if needed
Work cross functionally with Escalation & other teams."
IT Support Specialist,IT Support Specialist,IntegriChain,March,2024,"Company Description

IntegriChain is the data and application backbone for market access departments of Life Sciences manufacturers. We deliver the data, the applications, and the business process infrastructure for patient access and therapy commercialization. More than 250 manufacturers rely on our ICyte Platform to orchestrate their commercial and government payer contracting, patient services, and distribution channels. ICyte is the first and only platform that unites the financial, operational, and commercial data sets required to support therapy access in the era of specialty and precision medicine. With ICyte, Life Sciences innovators can digitalize their market access operations, freeing up resources to focus on more data-driven decision support. With ICyte, Life Sciences innovators are digitalizing labor-intensive processes – freeing up their best talent to identify and resolve coverage and availability hurdles and to manage pricing and forecasting complexity.

We are headquartered in Philadelphia, PA (USA), with offices in: Ambler, PA (USA); Pune, India; and Medellín, Colombia. For more information, visit www.integrichain.com, or follow us on Twitter @IntegriChain and LinkedIn.

Job Description

This is a hybrid role working out of our Philadelphia and Ambler locations.

What this role entails:

Provide Onsite IT support in the Ambler and Philadelphia Offices
Build and Provide required technology for new onboarding employees
Conduct IT Onboarding meetings with new employees
Reclaim issued technology for departing employees
Serve as an escalation point for Support desk issues with Dell and Apple hardware.
Serve as an escalation point for Support desk issues with Windows, MAC OS, Zoom, Okta, Google, and other IT tools
Manage software licensing deployed on employee issued assets.
Maintain an up to date laptop Inventory coordinating with People and Culture team to fulfill the needs of the quarterly onboarding pipeline
Manage relationship with UPS for shipping and receiving of corporate assets
Accountable for reviewing and approving employee equipment purchases request through the employee portal.
Ability to work autonomously with minimum supervision maintaining transparency with good written and verbal communication

Qualifications

Bachelor's degree in Information Technology or related field
Certifications, MCSA or CompTIA A+
Extensive experience with laptop builds, both windows and mac, application installation, encryption process, hardware and software troubleshooting.
Experience maintaining Windows active directory domain/Google/O365
Experience with JIRA ticketing system
1-3 years of experience with Inventory provisioning and Management
1-3 Years of experience with Laptop/Desktop networking LAN/WLAN
Strong Teamwork and communication skills a must
Strong Troubleshooting and problem solving skills

Additional Information

What does IntegriChain have to offer?

Mission driven: Work with the purpose of helping to improve patients' lives!
Excellent and affordable medical benefits + non-medical perks including Flexible Paid Time Off (PTO), 401(k) Plan with a Company Match to prepare for your future, Parental Leave, Mental Health HRA and Lifestyle Spending Account, Student Loan Reimbursement and much more!
Robust Learning & Development opportunities including over 700+ development courses free to all employees

IntegriChain is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to race, color, religion, national origin, ethnicity, age, sex, marital status, physical or mental disability, gender identity, sexual orientation, veteran or military status, or any other category protected under the law. IntegriChain is an equal opportunity employer; committed to creating a community of inclusion, and an environment free from discrimination, harassment, and retaliation.

Our policy on visa sponsorship for US based positions: Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by IntegriChain."
IT Support Engineer,IT Support Engineer,Edged,May,2024,"The IT Support Engineer will be a vital member of the leadership team of the North American division of Edged Data Centers. In this position you will work directly with the Edged IT Director and Edged staff and be responsible for being the primary IT support and technical specialist. We are looking for someone who can execute from start to finish. You will be responsible for troubleshooting technical issues and providing solutions. Attention to detail and the ability to keep day-to-day operations stable will be crucial.

The IT Support Engineer needs to be an agile, team-focused individual, with proven professionalism, who is comfortable in a rapidly changing environment. The right person is trustworthy with confidential information, highly organized, self-motivated, has excellent communication skills, can think strategically, and works equally as well independently as with a team. Edged strives to maintain smooth operations and achieves this by empowering our people, by providing autonomy and flexibility in the way we work, by developing a habit of constant, open communication, and by creating a culture of excellence, appreciation, trust, and respect.

About Edged
Edged is a fast-growing global network of carbon neutral, zero-water data centers that leads the industry in energy efficiency. Edged is backed by a deep proprietary technology stack including advanced waterless cooling, renewable microgrid systems, ultra-clean generators, and waste-to-fuel solutions. The platform is designed for rapid deployment and has so far announced nine major projects in construction in the U.S., with many more in development.

The North American division of Edged is a joint venture between an affiliate of Endeavour and one of the largest private multinational corporations with business lines including technology, energy, engineering, as well as other materially related economic sectors. Endeavour is a purpose-driven organization helping innovators to develop and launch solutions for global challenges in the areas of energy, water, and waste to guarantee renewable energy and clean water to everyone, everywhere. Endeavour companies are made up of passionate change-makers who want to leave the world better than the way we found it. Today, Endeavour is deploying solutions that are immediately scalable and profitable, including EV charging, data center cooling, and energy systems.

Key Responsibilities
Include but are not limited to:
Serve as the first point of contact for users seeking technical assistance from our corporate and data center environments.
Perform remote troubleshooting through diagnostic techniques and pertinent questions.
Determine the best solution based on the issue and details provided.
Walk the user through the problem-solving process.
Direct unresolved issues to the next level of support personnel.
Provide accurate information on IT products or services.
Record events and problems and their resolution in tickets.
Pass on any feedback or suggestions by users to Edged & Endeavour IT internal teams.
Identify and suggest possible improvements to procedures and processes.
Create IT knowledgebase articles and update existing articles accordingly.
Complete all support and administrator requests of Microsoft 365 and other SaaS platforms.
Procure requested hardware equipment and maintain asset inventory list.
Assist with IT technical implementations to meet business requirements
Other duties as assigned.

Skills & Requirements

Education / Experience
3+ years' experience in IT support, troubleshooting, problem solving and operations.
Two-year associate degree in information technology, computer science or related field.
IT support experience in data center/microgrids/mission critical facilities preferred.
Possesses professional IT certifications (A+, Sec+, Azure, AWS) preferred.

Specific Skills / Abilities
Critical Thinker
Work in a fast-paced environment
Solve complex problems
Strategies and scale ideas and solutions
Trustworthy and reliable
Self-Starter and ability to work independently
Ability to work with technical and non-technical staff
Strong written and verbal communication skills

Great Place to Work
Enjoy…
A fast-paced, entrepreneurial culture focused on innovation.
A flexible, autonomous work environment.
A culture of respect, learning, and excellence.
Experienced, highly talented experts as team peers.
Growth and travel opportunities.
A team of change-makers having a significant impact on people and the planet.

Position: IT Support Engineer
Full-Time or Part-Time: Full-Time
Reports to: IT Director
Location: Remote

Contact: edcrecruiting@edged.us"
IT Desktop Support Technician,IT Desktop Support Technician,"Krystal Biotech, Inc.",May,2024,"About Krystal Bio:

At Krystal Biotech, Inc., we bring together the brightest and most eager minds to relentlessly pursue the discovery, development and commercialization of gene delivery medicines for patients with serious and life-threatening genetic diseases. Founded in 2016, Krystal is a leader in gene therapy. Krystal received U.S. FDA approval for the first-ever redosable gene therapy treatment, VYJUVEK™, for the treatment of Dystrophic Epidermolysis Bullosa. Krystal continues to leverage our proprietary platform to develop new treatments across a robust clinical pipeline.

Krystal Biotech is based in Pittsburgh, PA which is home to our two state-of-the-art GMP facilities. Additional offices are situated in Boston, MA and in Zug, Switzerland.

Join us on our journey to implement our mission to identify, develop and deliver genetic medicines to patients!

Job Description Summary:

Krystal Biotech, Inc is seeking a highly motivated and customer-oriented Desktop Support Technician to join our team and provide exceptional onsite technical support to both local and remote employees. As a Support Technician, you will be responsible for diagnosing and resolving technical issues, assisting with hardware and software installations, and ensuring the smooth overall operation of our IT systems. This is a full-time onsite role.

Primary Responsibilities:

Provide Onsite Technical Support: Offer timely and effective technical support to employees on-site, addressing hardware, software, and network-related issues
Remote Support: Extend technical support to remote employees through phone, email, and remote desktop tools, ensuring minimal downtime and disruptions
Hardware and Software Troubleshooting: Diagnose and resolve hardware and software problems for desktops, laptops, printers, and other peripherals
Customer Service: Provide excellent customer service by actively listening to user concerns, empathizing with their issues, and ensuring timely resolution
Installation and Configuration: Assist in the installation, configuration, and maintenance of computer hardware, operating systems, and software applications
User Training: Offer guidance and training to employees on utilizing IT resources, software applications, and security best practices
Inventory Management: Maintain an accurate inventory of IT assets, including computers, peripherals, and software licenses
Documentation: Create and update technical documentation, user manuals, and knowledge base articles to facilitate efficient issue resolution
Security and Compliance: Ensure compliance with IT security policies, implement security measures, and educate employees on cybersecurity best practices
Collaboration: Collaborate with IT team members to escalate and resolve complex technical issues and participate in IT projects as needed

Experience and Skills Desired:

Bachelor’s degree in relevant discipline such as computer science is preferred, or equivalent combination of technical education (i.e., Associate’s programs / IT certifications) and professional experience
1-2+ years of experience in an IT support role
Strong knowledge of computer hardware, software, and operating systems (Windows, macOS)
Familiarity with network protocols and troubleshooting network-related issues
Excellent problem-solving and communication skills
Ability to work both independently and collaboratively in a team
IT certifications (e.g., CompTIA A+, Microsoft Certified Professional) are a plus
Customer-oriented attitude with a commitment to delivering outstanding service
Must be able to work in a fast-paced and changing environment with an ability to prioritize activities appropriately

Krystal Biotech, Inc. is an Equal Employment Opportunity and Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Krystal Biotech, Inc. does not accept unsolicited headhunter and agency resumes. Krystal Biotech, Inc. will not pay fees to any third-party agency or company that does not have a signed agreement with Krystal Biotech, Inc.

Powered by JazzHR

B3AKjd0Ok8"
Technical Support Specialist,Technical Support Specialist,ChiroTouch,May,2024,"Job Title: Technical Support Specialist

Department: Customer Success

Reports To: Customer Success Manager

Our Company:

At PracticeTek, we believe healthcare should be easy for providers, accessible for patients, and simple for everyone involved.

PracticeTek was established by healthcare professionals and entrepreneurs who share a common goal: deliver seamless, high-quality, on-demand healthcare, free of the confusing limitations of traditional technological platforms.

PracticeTek is a collection of innovative software companies working together to make healthcare easier, and more accessible, for everyone. We deliver robust software solutions that support practitioners, and foster exceptional patient experiences, contributing to the growth of healthcare clinics specializing in chiropractic, dental, orthodontics, optometry, and multi-discipline therapy.

Doctible is a technology company that provides patient communication and online reputation management software for healthcare practices. The company's software is designed to increase production, streamline communication, help improve patient satisfaction, and increase revenue. With a focus on innovation and customer satisfaction, Doctible is a trusted partner for healthcare practices of all sizes. If you are passionate about technology and healthcare, Doctible may be the right place for you.

The Customer Success Department:

At Doctible, our Customer Success team serves as the cornerstone of customer satisfaction. We believe in going the extra mile to ensure that every aspect of our customers' needs are addressed promptly and with the highest level of care. Our support representatives are dedicated to becoming experts in our product, enabling them to efficiently resolve any issues that arise.

In this position, you'll have the opportunity to become a superhero for our customers, guiding them through the ins and outs of the Doctible platform. Through comprehensive training, you'll learn how to effectively manage and prioritize customer inquiries, providing both product and technical support as needed. Collaboration with

your colleagues and other departments will be key as you work to deliver timely solutions and exceptional service to our valued customers.

The Career Opportunity:

The Technical Support Specialist role has several responsibilities. One of the primary duties is onboarding new clients by integrating Doctible’s software with their patient management system. This is done through remote accessing onto clients’ servers and performing a remote install. This role owns the integration component, it is a very crucial component of our business.

In tandem with software integrations, a technical support specialist will provide support or manage a broad range of customer support related tasks. These include troubleshooting technical issues with our services, website management, vendor communication, and much more. This is an ideal position for a proactive and enthusiastic person who enjoys working with technology, customers, solving problems and staying busy with varied tasks. It is also a role where you will be offered as much responsibility as you are able or willing to handle, in addition to ongoing training and growth opportunities. We are rapidly growing!

Areas of Accountability:

The Technical Support Specialist has responsibility for the following outcomes:

Onboard a steady stream of new customers by remotely deploying Doctibles software onto our customers systems
Troubleshoot technical inquiries surfaced by the customer support team
Manage advanced Tier 2 support issues with software development and 3rd party partners
Keep accurate records and ensure processes are well documented
Help our customers get the most from our platform, solve problems as they arise, and escalate matters to the appropriate channels as needed


Competencies for Success:

Minimum of 1 year of Customer Support experience
Background and interest in technology: Must have solid computer skills, and the ability to adapt and learn technology quickly
Skilled at explaining technical problems and issues in detail to developers and can adjust your language to simple terminology to support your customers
Knowledge of Windows operating systems, remote desktop tools, G-Suite, and ticketing systems
Maintain high standards of integrity and accountability
Must be hungry to learn, caring towards others, and creative in your problem solving


At Doctible (part of the PracticeTek family of companies) we carefully consider a wide range of compensation factors to determine our offers of employment. This includes internal and external market factors as well as your individual experience and skills. These considerations can cause compensation to vary but we reasonably expect to pay between $33050-$68650 for this position.

PracticeTek is an Equal Opportunity Employer that values employees with a broad cross-cultural perspective. We strive to create an inclusive environment, empower employees, and embrace diversity. We encourage everyone to respond. All applicants will receive fair and impartial treatment without regard to race, color, religion, sex, national origin, ancestry, citizenship status, age, legally protected physical or mental disability, protected veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or on any other basis which is protected under applicable federal, state, or local law."
