Position,Company_Name,Location,Post_Month,Post_Year,Details
Information Technology Instructor - Remote | WFH,Information Technology Instructor - Remote | WFH,Get It Recruit - Educational Services,May,2024,"About Us

We're dedicated to empowering youth from diverse communities to realize their potential. With a focus on technical and professional skills, we've proudly guided hundreds of young individuals towards fulfilling careers. Join us as we expand our reach across Northern California, with centers in Watsonville, Salinas, Gilroy, Modesto, and soon, Stockton.

Position Overview

We're seeking a passionate IT Instructor to join our team and support the growth of our Web & Information Technology pathway. This role involves developing, implementing, and instructing individuals aged 17 to 24 in IT concentrations, preparing them for careers as IT Support Specialists and Computer Technicians, while also helping them obtain industry-recognized certifications. As an IT Instructor, you'll play a pivotal role in recruiting, instructing, advising, mentoring, and coaching our members, fostering their technical and professional skills development through engaging projects and collaborations.

Responsibilities

Program Development and Delivery (60%):

Plan annual programs in Information Technology concentration, ensuring synergy across centers.

Develop comprehensive training outlines and curriculum for IT Support, aligning with industry standards and certifications.

Implement curriculum across all centers, including weekly lab sessions.

Collaborate with the team to provide effective learning support to remote trainees.

Maintain accurate records of members' progress and provide regular reports.

Establish clear objectives for all learning activities and hold members accountable.

Provide positive youth development services, including advising, mentoring, and career guidance.

Showcase members' work through activities to engage the community.

Member Engagement and Recruitment (30%):

Provide diverse learning materials and resources to meet members' needs.

Develop activities and coordinate career development events.

Build relationships with youth members and engage them in center programs.

Conduct outreach activities to attract youth to the IT concentration.

Key Member of the Team (10%):

Represent the organization professionally to stakeholders.

Support fundraising efforts and promote organizational values.

Adhere to organizational policies and procedures.

Act as a role model for members and participate in NEST programs and events.

Qualifications

WIT Career Training:

1 year of IT experience or relevant certifications.

Experience teaching youth in a similar setting.

Classroom management and instructional design skills.

Ability to connect positively with youth and work in a team.

Member Engagement

Experience mentoring or coaching youth.

Basic group facilitation and conflict resolution skills.

General Qualifications

Knowledge of engaging diverse youth populations.

Growth mindset and strong organizational skills.

Cultural sensitivity and awareness of social issues.

Preferred Qualifications

Spanish language proficiency.

Experience in technical resume writing and interview strategies.

Expertise in instructional design.

General Requirements

Uphold organizational values and mission.

Support fundraising efforts and follow policies.

Serve as a positive role model for members.

Participate in NEST programs and events.

Must pass a background check.

Benefits

Comprehensive health, dental, vision, and life insurance.

Retirement benefits with employer match.

Paid vacation, holidays, and sick time.

Inclusive workplace culture that values diversity.

We're Looking For

We understand that no candidate is a perfect fit, and we value diverse experiences and perspectives. If you're dedicated, passionate, and eager to learn, we encourage you to apply. We're committed to creating an inclusive environment where everyone can thrive. Join us in making a difference in the lives of youth in our community.

Equal Opportunity Employer

We are an equal opportunity employer and welcome applicants from all backgrounds. We do not discriminate based on race, color, religion, gender, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by law.

Accessibility

We strive to provide a positive interview experience for all applicants and will make reasonable accommodations for qualified individuals with disabilities.

We look forward to hearing from you and having you join our team!

Employment Type: Full-Time"
IT Instructor Trainer,IT Instructor Trainer,Steneral Consulting,March,2024,"Job Description:

Must have 5 years of experience with the laws of immunizations/vaccines.
Location: 1 day onsite in Austin, 4 days remote. On-site Monday through Friday. Local candidates only no further than 1-1.5 hours away.

This position will develop modules and facilitate trainings for the Texas Vaccines for Children program and immunization practices as part of the onboarding process, and standard operating procedure activities, for newly enrolled healthcare providers, Texas Department of State Health Services Public Health Region, and Local Health Department staff. Coordinates and prepares reports for review and promotes the use of training services, methods, and techniques. Adapts to a variety of learning styles and can effectively transfer knowledge to participants.

ESSENTIAL JOB FUNCTIONS

(80%) Works closely with the Vaccine Operations Group Manager and the pertinent leadership to coordinate educational training programs and activities that meet required activities of the CDC’s annual Immunization Program Operations Manual. Assists in the coordination of project goals with others related to training activities and initiatives. Develops training curricula, formulates training objectives, and produces training aids and materials to meet internal and external training needs. Evaluates data and reports on training programs and materials on a routine basis. Works with the VOG Training Specialist IV to provide information and draft content for reports, work plans, contracts and other documents as needed.

(10%) Assists with the planning, coordination and facilitation at immunization partner and stakeholder meetings, trainings, and conferences. Assists or participates in the coordination and/or facilitation of Immunization-related training in a classroom, distance learning, or e-learning environment; facilitates workshops and meetings.

(5%) Develops, implements, and evaluates training strategies, policies and procedures related to internal and external educational and training activities to ensure quality and consistent education and training is delivered to immunization partners and stakeholders.

(5%) Other duties as assigned include but are not limited to actively participating and/or serving in a supporting role to meet the agency’s obligations for disaster response and/or recovery or Continuity of Operations (COOP) activation. Such participation may require an alternate shift pattern assignment and/or location.

Knowledge of local, state, and national laws, rules, regulations, and policies relevant to Immunization services/programs.
Knowledge of the principles and practices of training.
Knowledge of Captivate training software.
Knowledge of Moodle training software.
Skill in oral and written communication.
Skills to generate accurate reports and materials under short deadlines.
Skill in presentation development and delivery.
Skill in planning, organizing, developing, implementing, and managing multiple projects.
Ability to evaluate the effectiveness of training programs and revise training based on evaluation.
Ability to assess training needs.
Ability to communicate effectively and persuasively both orally and in writing.
Ability to identify problems, evaluate alternatives and implement effective solutions.

Minimum Requirements:

II. CANDIDATE SKILLS AND QUALIFICATIONS

Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.

Years

Required/

Preferred

Experience

5

Required

Knowledge of local, state, and national laws, rules, regulations, and policies relevant to Immunization services/programs.

5

Required

Ability to evaluate the effectiveness of training programs and revise training based on evaluation.

5

Required

Knowledge of Captivate training software.

5

Required

Knowledge of Moodle training software.

5

Preferred

Skills in oral and written communication.

5

Preferred

Skills to generate accurate reports and materials under short deadlines.

5

Preferred

Skill in presentation development and delivery.

5

Preferred

Skill in planning, organizing, developing, implementing, and managing multiple projects."
Information Technology Trainer,Information Technology Trainer,"eWorld Enterprise Solutions, Inc.",May,2024,"About eWorld Enterprise Solutions, Inc.
eWorldES was founded in 1999 and has become a proven and trusted company in the Information Technology and Solutions development community in Hawaii. Our staff of over 450 associates provides a wide range of skills and experience that we leverage to form efficient, multifaceted, collaborative project teams. Our success derives from the delivery of quality results and the development of our people.
We are devoted to our clients and working in partnerships with organizations to meet and exceed their goals. Our extensive network of experience allows us to construct and deliver quality, scalable, and comprehensive enterprise solutions and innovate and modernize local businesses in Hawaii.

About the role
Information Technology (“IT”) Trainer will be delivering comprehensive training sessions to end-users and administrators, focusing on application administration, configuration, and usage.
The IT Trainer will excel in communication, possess strong problem-solving skills, and demonstrate adaptability to evolving priorities.
Requires the ability to engage with diverse audiences, from technical specialists to business users, and foster a culture of continuous learning and development.

What you'll do
Conduct in-person training workshops for end-users and administrators, both in individual and group settings.
Develop expertise in the end-to-end solution and customer work processes to effectively train and support users.
Collaborate cross-functionally to create and maintain training assets, including presentations, videos, and other educational materials.
Partner with educational administrators and food service personnel to customize training programs according to specific needs.
Document training processes and procedures to ensure consistency and scalability.
Provide exceptional customer service and support throughout the training lifecycle.

Qualifications
Qualified candidates must reside on the island of O'ahu to be considered for this job opportunity.
Bachelor’s degree in a relevant field
3+ years of experience in training roles
3+ years of customer service experience
3+ years of training and workshop experience
Experience in point of sale, procurement, and application support
Strong presentation creation skills with an emphasis on user-friendly materials
Proven ability to navigate and prioritize in dynamic environments

eWorldES is committed to competitive, equitable compensation ranging from $25 to $30 per hour for this contract position. Final pay, influenced by factors such as experience, skills, education, licenses/certifications, and/or geographic location, underscores our dedication to pay equity. Top-range hiring is reserved for exceptionally qualified candidates. Our decision-making considers internal and external factors to craft compelling final offers."
IT Instructor Trainer,IT Instructor Trainer,Steneral Consulting,March,2024,"Job Description:

Must have 5 years of experience with the laws of immunizations/vaccines.
Location: 1 day onsite in Austin, 4 days remote. On-site Monday through Friday. Local candidates only no further than 1-1.5 hours away.

This position will develop modules and facilitate trainings for the Texas Vaccines for Children program and immunization practices as part of the onboarding process, and standard operating procedure activities, for newly enrolled healthcare providers, Texas Department of State Health Services Public Health Region, and Local Health Department staff. Coordinates and prepares reports for review and promotes the use of training services, methods, and techniques. Adapts to a variety of learning styles and can effectively transfer knowledge to participants.

ESSENTIAL JOB FUNCTIONS

(80%) Works closely with the Vaccine Operations Group Manager and the pertinent leadership to coordinate educational training programs and activities that meet required activities of the CDC’s annual Immunization Program Operations Manual. Assists in the coordination of project goals with others related to training activities and initiatives. Develops training curricula, formulates training objectives, and produces training aids and materials to meet internal and external training needs. Evaluates data and reports on training programs and materials on a routine basis. Works with the VOG Training Specialist IV to provide information and draft content for reports, work plans, contracts and other documents as needed.

(10%) Assists with the planning, coordination and facilitation at immunization partner and stakeholder meetings, trainings, and conferences. Assists or participates in the coordination and/or facilitation of Immunization-related training in a classroom, distance learning, or e-learning environment; facilitates workshops and meetings.

(5%) Develops, implements, and evaluates training strategies, policies and procedures related to internal and external educational and training activities to ensure quality and consistent education and training is delivered to immunization partners and stakeholders.

(5%) Other duties as assigned include but are not limited to actively participating and/or serving in a supporting role to meet the agency’s obligations for disaster response and/or recovery or Continuity of Operations (COOP) activation. Such participation may require an alternate shift pattern assignment and/or location.

Knowledge of local, state, and national laws, rules, regulations, and policies relevant to Immunization services/programs.
Knowledge of the principles and practices of training.
Knowledge of Captivate training software.
Knowledge of Moodle training software.
Skill in oral and written communication.
Skills to generate accurate reports and materials under short deadlines.
Skill in presentation development and delivery.
Skill in planning, organizing, developing, implementing, and managing multiple projects.
Ability to evaluate the effectiveness of training programs and revise training based on evaluation.
Ability to assess training needs.
Ability to communicate effectively and persuasively both orally and in writing.
Ability to identify problems, evaluate alternatives and implement effective solutions.

Minimum Requirements:

II. CANDIDATE SKILLS AND QUALIFICATIONS

Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.

Years

Required/

Preferred

Experience

5

Required

Knowledge of local, state, and national laws, rules, regulations, and policies relevant to Immunization services/programs.

5

Required

Ability to evaluate the effectiveness of training programs and revise training based on evaluation.

5

Required

Knowledge of Captivate training software.

5

Required

Knowledge of Moodle training software.

5

Preferred

Skills in oral and written communication.

5

Preferred

Skills to generate accurate reports and materials under short deadlines.

5

Preferred

Skill in presentation development and delivery.

5

Preferred

Skill in planning, organizing, developing, implementing, and managing multiple projects."
IT Instructor - Remote | WFH,IT Instructor - Remote | WFH,Get It Recruit - Educational Services,May,2024,"We are seeking an experienced engineer with a passion for teaching to join our dynamic team in the IT training department. If you're adept at Data Engineering and Software Development and love sharing your knowledge, we want to hear from you!

About The Role

Work Arrangement: This role is available or individual contracts only, with arrangements.

Remote Work: Enjoy the flexibility of 100% remote work.

Part-Time: This is a part-time position, requiring approximately 10 to 20 hours of commitment each week.

Responsibilities

Conduct engaging lectures on data engineering and programming.

Administer written and practical exercises, exams, and compile conference reports.

Evaluate and grade students' class and laboratory assignments.

Provide timely assistance and address students' questions during class sessions.

Offer constructive feedback on curriculum development regularly.

Requirements

Professional Experience: Minimum of 3 years of proven experience in the IT industry within the United States. Ideal candidates should have flexible schedules and may currently work as independent contractors.

Language Proficiency: Proficiency in Mandarin is required.

Teaching Skills: Ability to effectively communicate and teach complex technical concepts with patience and clarity.

Education: Degree in Computer Science or related field.

Technical Expertise: Proficiency in SQL and at least one of the following programming languages: Python, Java, or Scala. Experience with cloud-based Big Data and Software Engineering technologies is highly desirable.

Organizational Skills: Strong organizational and planning skills, including the ability to conduct lab-based instruction.

Content Knowledge: Comprehensive understanding of theoretical concepts, principles, and certification requirements.

Multi-Tasking: Demonstrated ability to prioritize tasks and manage multiple responsibilities simultaneously.

Employment Type: Part-Time"
Especialista de TI - León,Especialista de TI - León,Tecnológico de Monterrey,May,2024,"La disrupción es la nueva normalidad, y en el Tecnológico de Monterrey, cada mañana, nos despertamos con la responsabilidad de transformar nuestro entorno. Nuestros procesos están centrados en las personas, asegurando experiencias extraordinarias junto con nuestro talento y el nuevo Modelo Educativo Tec21. ¡Aquí encontrarás tu propósito! aprovecharás oportunidades innovadoras, formando parte de una cultura colaborativa basada en la inclusión, la meritocracia y el respeto.

¿Te consideras una persona con mucha pasión por nuevos retos, inquietud por aportar ideas innovadoras y sobre todo comprometido a transformar México a través de la educación?

¡Esta oportunidad es para ti!

¿Qué harás?
Siendo Especialista TI el reto principal es asegurar la calidad de los servicios de TI, soportando el uso de las tecnologías en las actividades académicas, administrativas y extra-curriculares, brindando soporte especializado para habilitar el uso innovador de la tecnología de educación de vanguardia, asegurando que nuestros profesores y alumnos tengan herramientas tecnológicas que les permitan desarrollarse en el mejor ambiente, asi como dominar las herramientas tecnológicas que soportan la vida académica estudiantil y administrativa, resolviendo problemas y asesorando a los usuarios en dudas e inquietudes, enmarcado en las mejores prácticas profesionales de la industria. A su vez poder preparar y mantener en excelentes condiciones equipos de cómputo, equipo audiovisual en salones, compuaulas, salas de juntas, espacios comunes y laboratorios dentro la institución.
¿Cómo lo harás?

Tus Principales Retos Serán

Dar soporte especializado a usuarios: Atención especializada vía remota o en sitio en atención a equipos de cómputo, impresión, videoconferencias y/o redes mediante el uso de herramientas involucradas con la tecnología y su configuración, incluyendo plataformas de colaboración como TEAMS o ZOOM.
Gestionar de forma eficiente nuevas herramientas y/o estrategias para otorgar soporte: investigando y analizado los procesos, el software y hardware, que puedan apoyar a la mejora y crecimiento de la institución mediante los servicios de TI en sus diferentes actividades.
Apoyar en eventos de la institución, tanto académicos como extra-académicos, para proveer servicios y/o equipo tecnológico requerido, brindando al usuario final una mejor experiencia en el uso de la tecnología.
Documentar todos los servicios mediante el uso de herramientas tecnológicas, para llevar la medición y control del aseguramiento de la calidad del servicio.
Mantener en correcto funcionamiento equipo de cómputo y audiovisual en espacios dentro de la institución.
Experiencia en soporte en equipos con sistema operativo Windows o MACOS.
¿Qué buscamos?

Si tienes formación en Licenciatura/Ingenieria Tecnologias de la Información o afín, has tenido la experiencia de trabajar en soporte técnico y atención a usuarios y entre tus habilidades se encuentran servicio al cliente, análisis de problemas, asi como manejo de inglés técnico. ¡Te estamos buscando, postúlate ya!

¿Por qué trabajar con nosotros?

Nuestro talento es la fuerza que impulsa nuestro éxito. Su talento, dedicación y pasión son los pilares fundamentales de nuestra organización. Por ello, nos enfocamos en ofrecer beneficios de calidad que promuevan su equilibrio emocional, su bienestar financiero y su desarrollo profesional.

Esquema de trabajo: Presencial – Campus León

Contacto: Anakaren Irais Cantú

Correo: ana.cantue@tec.mx

En el Tec de Monterrey actuamos bajo un principio de igualdad de oportunidades. Por ello no discriminamos por edad, origen étnico, nacionalidad, género, orientación sexual, estado civil, condición social, estado de salud, creencias religiosas, doctrina política o discapacidad.

Agradecemos tu interés en participar en nuestras vacantes. En caso de no ser contactado/a por el equipo de Atracción de Talento, te invitamos a continuar revisando nuevas oportunidades en el portal de Oportunidades de Crecimiento, si eres colaborador del TEC. Si eres candidato externo en jobs.tec.mx y aplicar a aquellas que se ajusten a tu perfil.

¡Síguenos!

Instagram: jobs.tec.mx
Linkedin: Tecnológico de Monterrey"
IT EPIC Trainer Non-Certified,IT EPIC Trainer Non-Certified,Infirmary Health,May,2024,"Minimum Qualifications

One of the following

Associates degree in Education
Associates degree in IT
Associates degree in Informatics
Associates degree in Business
2 of the most recent 4 years’ experience in a clinical/medical IT/medical educational environment


Desired Qualifications

Bachelor’s degree in a clinical area, IT, business

Works with the IT leadership team, IT Educational Designer, and EPIC application coordinators to develop and deploy training to the appropriate end users (physicians/mid-levels/staff) including but not limited to new hires and existing employees. Provides classroom training to end users of assigned IT applications using the curriculum, lessons, and training materials for the various applications. Responsible for the classroom logistics including set-up, materials, supplies and equipment. Acts as a liaison between the Help Desk, IT Department, and its customers. Participates in ""go-live"" support activities."
Consultor/a IT (México),Consultor/a IT (México),Enzyme | Part of [Strategic Platform],May,2024,"¿Estás listo/a para dar un salto cuántico en tu carrera y formar parte de un equipo que está transformando el panorama empresarial?

Sobre Nosotros:

Nuestra esencia se nutre de la fusión entre la estrategia y la tecnología. Strategic Platform es la alianza perfecta entre una consultoría estratégica y una consultoría tecnológica. Nos especializamos en la creación de servicios y productos que unifican la visión de modelo de negocio, tecnologías y digitalización inteligente, incluyendo IA, blockchain, big data, entre otras. Con un equipo multidisciplinario de más de 100 expertos, operamos en cuatro sectores clave: Gran Consumo, Retail, Servicios e Industria, atendiendo a clientes de renombre tanto a nivel nacional como internacional.

Tu Misión:

Dar soporte y apoyo en un proyecto a nuestro equipo en México, con un cliente en el sector Servicios para poder dar apoyo en un proyecto muy prometedor.

Desarrollo y ejecución de proyectos con componente tecnológico.
Identificación de necesidades.
Definición de soluciones.
Acompañamiento completo.
Siguiendo la visión y definición del equipo senior experto en tecnología y negocio.

¿Quién Eres Tú?:

Consultor/a desarrollador/a experto/a en arquitectura e IA. Ingeniería en Telco o Informática. Valorable otras carreras de campos STEM.

En diseño de arquitecturas/ administración y gestión de BD/ Ingeniería de software.
Certificaciones oficiales de especialización.
Arquitectura, Funcionalidad UI y UX, Programación, Data anlitycs

¿Estás listo/a para unirte a una empresa en crecimiento y contribuir a su expansión? ¡Esta es tu oportunidad!

No esperes más, ¡únete a Strategic Platform y haz realidad tu potencial!

En Strategic Platform, nos comprometemos a asegurar la igualdad de oportunidades para todos/as. No toleramos la discriminación por motivos de género, estado civil, orientación sexual, etnia, religión, discapacidad o edad, ni en la selección de candidatos/as ni en el trato a nuestros/as empleados/as."
IT Specialist (infosec),IT Specialist (infosec),Naval Air Systems Command (NAVAIR),May,2024,"This role is with Naval Air Systems Command (NAVAIR). WayUp is partnering with Naval Air Systems Command (NAVAIR) to hire top talent.

**Summary**

You will serve as an IT Specialist (INFOSEC) in the Corporate Business & Analysis Group, DITAC, Advanced Programs Division, Cyber Weapons Branch of NAVAIRWARCENWPNDIV POINT MUGU.

**Duties**

You will perform as the lead technical authority (ISSM) for all facets of Cybersecurity at Point Mugu Sea Range, providing guidance and oversight on cybersecurity requirements and implementation in accordance with the JSIG and governing policy.
You will advise CISSM, CISSEs, and CISO of changes affecting the organization's cybersecurity posture.
You will be responsible for the development of Assessment and Authorization artifacts such Concept of Operation (CONOPS), System Security Plan, (SSPs), Security Controls Traceability Matrix (SCTM), System Profiles, testing documentation, and more.
You will review and evaluate the security impacts of new systems or system changes to include existing or proposed interfaces with other IT systems.
You will perform activities and prepare documentation at each step of the Risk Management Framework (RMF) in pursuit of or to maintain an Authorization to Operate (ATO).
You will perform and track Information System (IS) self-inspections, reports, system tests and responses.
You will analyze vulnerability scans, STIG compliance and deficiencies of all types identified during internal and external cyber security reviews.
You will ensure that deficiencies and vulnerabilities are included in a Plan of Action and Milestones and are tracked until the adequate mitigation measures have been implemented.
You will perform data integrity containments and investigations on Information Assurance (IA) related security violations / incidents.
You will manage and mentor assigned CSWF members.
You will conduct security education training for system users and peers on appropriate risk mitigation strategies and security practices on an initial and annual basis.

**Position Duties/Responsibilities**

N/A

Minimum Salary

101,121

Maximum Salary

156,323"
"IT Trainer, Workday (6-to-9-month contract)","IT Trainer, Workday (6-to-9-month contract)",The Salvation Army in Canada,March,2024,"IT Trainer, Workday

Location: Remote/Hybrid

Division: Information Technology, Front Line Experience and Transformation

About The Salvation Army

For more than 130 years, The Salvation Army (TSA) has had the privilege of serving vulnerable people in communities across Canada and Bermuda. Last year, we helped over 2.1 million people, providing necessities of life such as food, clothing, and shelter. And our work goes well beyond that to including supporting people through unemployment, loneliness, finding church community, and responding to family challenges. We continually adapt to meet emerging needs.

These are exciting times at The Salvation Army as we launch a significant digital and business transformation. We are in the midst of revolutionizing our core capabilities to maximize service and mission outcomes. This will include an integrated platform for relationship and people management, learning, intranet and data warehouse. In order to achieve all this, we are now recruiting for a temporary IT Trainer to enable our end users in leveraging Workday.

Please note: This is a 6 to 9 month, full time contract.

What You’ll Do

Develop and coordinate an overall software application training curriculum for end users at all levels
Help define the scope of training services within the organization and put in place a program of delivery, providing input to the overall training strategy and plan
Support the assessment and recommendation of courseware packages and support development of appropriate courseware tools
Design, develop and deliver new courses for new and existing software applications, including all course materials, exercises, and skills evaluations
Review training materials and documentation and keep them up to date to ensure currency of content delivered
Create and communicate training schedules in consultation with stakeholders

What You Bring

College diploma or university degree in the field of computer science, information systems or education
Certification in Adult Learning Theory and Practices
4+ years of IT industry experience
2+ years direct IT training related experience to Workday or similar HRIS
Experience creating content for Learning Management Systems
Experience analyzing organizational training needs and defining programs and materials to support those needs
Proven experience with adult learning principles, methodologies, and course design and build techniques
Excellent written and oral communication skills, including instructional and presentation skills
Excellent interpersonal skills, with a focus on motivational skills and positive attitude and the ability to present ideas in business-friendly and user-friendly language
Ability to travel ~ 25-30%

What We Promise

Belonging to a creative, dynamic team of IT professionals where what you do will make a difference in your own backyard and across Canada & Bermuda
Continuous learning and growth through challenging work
The chance to be part of a leading digital and business transformation for over 100,000 employees and volunteers
An opportunity to launch and/or grow your career with a huge, stable, international not-for-profit organization
We live our Core Values as a faith & values-based organization, we hire and serve people of all backgrounds, faiths, and traditions – there’s a place for everyone to belong here.

Compensation

The salary range for this position is $60,363 (min.) to $90,545 (max). Placement in the salary range will be based on factors such as market conditions, internal equity, and candidate experience, skills, and qualifications relevant to the role.

How We Hire

We are committed to creating a workplace where people experience meaningful work, a sense of hope and optimism, an environment of trust, and inspired results. If this sounds like an environment in which you would like to work, apply today!

We embrace equity, diversity, justice, inclusion and belonging and we’re committed to building a team that represents many backgrounds, perspectives and skills, representative of the communities we serve. The more inclusive we are, the better our work and workplace will be.

The Salvation Army will provide reasonable accommodation upon request. Please let us know if you have a need for any accommodation.

We thank all applicants and will contact candidates selected for next steps. Internal Applicants are encouraged to notify their current supervisor when applying for a new position within The Salvation Army. This posting will close to internal staff March 29, 2024."
