Position,Company_Name,Location,Post_Month,Post_Year,Details
IT Software QA Specialist Sr,IT Software QA Specialist Sr,"Donato Technologies, Inc.",May,2024,"Description

Need Locals

Manager's Notes

Proactively engage in the end-to-end software testing cycle as it pertains to the assigned projects
Ability to independently create and execute test plan, test design, test data.
Ability to work and mange deliverables in multiple projects in parallel and manage time effectively
Collaborate and work closely with other QA, SA and Dev teams for defect resolution
Work closely and follow direction from Project management / leadership team
Develop and execute test cases, scripts, plans and procedures (manual and automated).
Knowledge and experience in testing and documenting test results related to IT projects of data warehousing, IT application / product development, ETL, data modeling, reporting, data visualization, reporting and software upgrades regression test verifications.
Good understanding of SDLC process and procedures
Experience in gathering and documenting requirements related to enterprise initiatives projects, system migration or upgrade projects, data warehousing and visualizations
Good knowledge of PL/SQL and able to write medium to complex queries
Working experience with SAP BO, Tableau, Oracle Exadata, SAP HANA is an added advantage
Knowledge of data test analysis with strong Excel skills

PRIMARY PURPOSE: To develop, maintain, test and debug tests for software to meet defined requirements; to formulate and define moderately complex system scope and objectives; to prepare detailed specifications for testing applications; and to design, implement, test, debug, document and maintain test scripts.

ESSENTIAL FUNCTIONS and RESPONSIBILITIES Becomes familiar with most aspects of the application including reports, parameters, claims management, intake services, carrier/client interfaces and vendor/business partner interfaces. Analyzes user needs as required; assists in design of tests to verify that end user needs have been met. Develops and modifies software test scripts and test plans to verify systems meet the specifications outlined in data processing requests; develops and maintains software test script and test plans to verify systems meet requirements of insurance carrier and regulatory groups. Tests and verifies assigned projects; assists in testing projects for members of the programming staff. Prepares documentation on new or existing software. Investigates call escalations from the support staff; makes necessary corrections to data and/or software tests. Assists in the professional growth of other quality assurance analysts. Follows pre-established standards and guidelines as they pertain to design and development of tests and test plans. Maintains up-to-date knowledge of current quality assurance tools and other technology advances. Delivers and maintains the highest quality of customer services to our clients.

ADDITIONAL FUNCTIONS and RESPONSIBILITIES Performs other duties as assigned. Supports the organization's quality program(s).

Qualifications

Education & Licensing Bachelor's degree from an accredited college or university preferred. Information Systems or Computer Science major preferred. Experience Six (6) years of information technology/computer science experience or equivalent combination of education and experience required to include three (3) years of testing and/or business analytical experience. Experience in interpreting user requirements and development of business application tests strongly preferred. Skills & Knowledge Strong knowledge of software testing and test design Good oral and written communication skills PC literate, including Microsoft Office products Analytical and interpretive skills Strong organizational skills Excellent interpersonal skills Excellent negotiation skills Ability to work in a team environment Ability to meet or exceed Performance Competencies

WORK ENVIRONMENT When applicable and appropriate, consideration will be given to reasonable accommodations."
Information Assurance Specialist - RMF,Information Assurance Specialist - RMF,"Resource Management Concepts, Inc.",May,2024,"Resource Management Concepts, Inc. (RMC) provides high-quality, professional services to government and commercial sectors. Our mission is to deliver exceptional management and technology solutions supporting the protection and preservation of the people and environment of the United States of America.
RMC is hiring for Information Assurance Specialist - RMF to support our customers in Indian Head, MD (Main Side). The selected applicant will provide virtual collaboration technology support to US Navy Systems. 
Applicant must be able to perform risk assessments, accreditation, data calls, vulnerability assessments and information assurance requirements
Applicant must be able to document the definition, production, and maintenance of security policy and documentation. Develop and maintain Information Assurance (IA) documents to support accreditation requirements for RDT&E Labs to achieve an Authority to Operate (ATO) or Platform Risk Assessment (PRA)
Applicant must be able to review security relevant documentation specific to the required systems Authorization and Accreditation (A&A) process and IA compliance and prepare technical discussion papers documenting the results of this analysis to ensure shortfalls are identified per CDRL A002. Provide the support and information required to transition to and comply with DoD, DON, and national level. policies if needed
Knowledge of the Department of Navy Application Database and Management System (DADMS) and Track all software to ensure it is current and approved
Maintain a detailed inventory of all software and hardware components within the RMF package
Evaluate system requirements and identify applicable Security Technical Implementation Guidelines (STIG) requirements, procedures, policy and guidance for the system
Evaluation, determine and document if policy/procedures/guidance are adhered to and
implemented
Compile and document artifacts such as SOPs, certifications, policies, scans, checklists, and POA&Ms generated or collected that are required for C&A or A&A
Applicant must have strong verbal and written communication skills and be detail-oriented
Applicant must be knowledgeable of the relevant NIST Special Publications guidance as it pertains to the RMF, specifically the NIST SP 800-53A - Revision 4 for Assessing Security & Privacy Controls


Requirements

A Bachelor's Degree and two to four (2-4) years of experience is required. Six (6) years of experience or a NQV Level II appointment or higher is required without a degree
The selected applicant must have DoD 8570/5239 IAT Level 2 Certification (Security + CE) or IAT Level 3 Certification (CASP or CISSP) and the ability to work independently and as part of a team in researching data and developing analytical techniques and methodologies
Working knowledge of the Navy's eMASS system, is preferred
Security Clearance{{:}} An Interim DoD Secret clearance is required to start. A Top Secret clearance will be required for this position. Applicant selected may be subject to a security investigation and must meet eligibility requirements for access to classified information


Benefits

At RMC, we're committed to your career growth! RMC differentiates itself from other firms through its investment in our employees. We invest our resources to train, certify, educate, and build our employees. RMC can offer you a great place to work with a small company feel and give you the experience and certifications that will take your career to the next level. RMC also offers high-quality, low-deductible healthcare plans and a competitive 401K package.
#IND123"
Cyber Information Assurance Analyst,Cyber Information Assurance Analyst,Penn State University,April,2024,"APPLICATION INSTRUCTIONS:

CURRENT PENN STATE EMPLOYEE (faculty, staff, technical service, or student), please login to Workday to complete the internal application process. Please do not apply here, apply internally through Workday.
CURRENT PENN STATE STUDENT (not employed previously at the university) and seeking employment with Penn State, please login to Workday to complete the student application process. Please do not apply here, apply internally through Workday.
If you are NOT a current employee or student, please click “Apply” and complete the application process for external applicants.

JOB DESCRIPTION AND POSITION REQUIREMENTS:

We are searching for a Cyber Information Assurance Analyst to join our Cyber, Modeling and Simulation Division in our Reston, VA office of the Applied Research Laboratory (ARL) at Penn State University. ARL’s purpose is to research and develop innovative solutions to challenging scientific, engineering, and technology problems in support of the Navy, the Department of Defense (DoD), and the Intel Community (IC). CMS Division leverages M&S expertise and other resources to deliver prototypes, demonstrations, and accelerated transitions of emerging research and technologies vital to national security needs, in addition to performing research, development, testing, and evaluations facilitating innovation in practice and development of critical, in-demand capabilities.

ARL is an authorized DoD SkillBridge partner and welcomes all transitioning military members to apply

This position will be filled at the intermediate professional or advanced professional level depending on the successful candidate’s competencies, education, and experience. Minimally requires a Bachelor’s degree or higher in Information Technology, Cybersecurity or related field plus 1-3 years of related experience for the intermediate professional level. Additional experience and/or education are required for higher level positions. A Master’s Degree is preferred.

The successful candidate will be responsible for the following:

Conduct risk assessments and provide recommendations for system, network, and application design, implementation, and operation of departmental systems
Conduct vulnerability assessments of departmental systems and networks to identify deviations from acceptable configurations or policies
Meet with stakeholders regularly to assess needs and requirements at a departmental level
Conduct vulnerability assessments of departmental systems and networks to identify deviations from acceptable configurations or policies
Monitor the corrective actions of departmental system audits; draft documentation of Plan of Action and Milestones (POAM) for review
Obtain certification and accreditation for departmental systems through the creation of process documentation support; may assist with unit or University wide process documentation
Participate in the establishment of program control processes to ensure risk mitigation
Perform periodic audits of departmental systems under general supervision
Participate in the implementation of required policies, procedures, and configurations; make recommendations for improvements
Participate in the preparation of requirements and procedures for forensic preservation
Research and stay current on industry best practices

Additional responsibilities for higher level position includes:

Lead risk assessments and provide recommendations for system, network, and application design, implementation, and operation of unit-wide systems
Lead vulnerability assessments of unit-wide systems and networks to identify deviations from acceptable configurations or policies; conduct assessments of non-standard systems
Monitor the corrective actions of unit-wide system audits; develop and manage Plan of Action and Milestones (POAM)
Meet with stakeholders regularly to asses needs and requirements at a unit-wide level
Obtain certification and accreditation through the creation of process documentation; develop unit or University-wide process documentation
Establish program control processes to ensure risk mitigation
Perform periodic audits of systems
Implement required policies, procedures, and configurations; make recommendations for improvements
Develop requirements and procedures for forensic preservation
Assist in the development of policy, process, and standards of Cyber Incident Response Team (CIRT) program and participate in CIRT activities as needed
Assist in the development and delivery of information security training material
May interface with external entities including law enforcement and intelligence/government agencies
May provide guidance to lower level Analysts

Required Skills:

Knowledge of Linux OS
Understand CI/CD pipeline
Experience reviewing hardware and software vulnerabilities
Working knowledge of DoD Risk Management Framework (RMF)
Knowledge of publications to include; NIST 800-53, 53a, JSIG
Understand and enforce policies and procedures within classified space
Ability to effectively communicate and work in team environment
Attention to detail
Ability to learn in a fast paced agile work environment
Active Top Secret /SCI Clearance or SCI eligible

Certifications and licensures required:

Security+, CAP, GSEC or equivalent

Desired Skills:

Experience with Elastic
Experience with Kubernetes
Knowledge in Git and Ansible
Working knowledge of JIRA ticketing and wiki
Experience with ACAS, OpenSCAP, and Trivy
Software development, Networking, or System Administration experience

Certifications and licensures preferred:

CASP+, GSLC, CISM, CISSP or equivalent

ARL at Penn State is an integral part of one of the leading research universities in the nation and serves as a University center of excellence in defense science, systems, and technologies with a focus in naval missions and related areas.

The candidate selected will be subject to a government security investigation and will be required to obtain and maintain a TS/SCI clearance. Applicants with an active TS/SCI will be given preference. You must be a U.S. citizen to apply. Employment with ARL will require successful completion of a pre-employment drug screen.

ARL is committed to diversity, equity, and inclusion; we believe this is central to our success as a Department of Defense designated University Affiliated Research Center (UARC). We are at our best when we draw on the talents of all parts of society, and our greatest accomplishments are achieved when diverse perspectives are part of our workforce.

FOR FURTHER INFORMATION on ARL, visit our web site at www.arl.psu.edu.

The pay range for this position, including all possible grades is:

$68,200.00 - $115,100.00

Salary Structure - additional information on Penn State's job and salary structure.

CAMPUS SECURITY CRIME STATISTICS:

Pursuant to the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act and the Pennsylvania Act of 1988, Penn State publishes a combined Annual Security and Annual Fire Safety Report (ASR). The ASR includes crime statistics and institutional policies concerning campus security, such as those concerning alcohol and drug use, crime prevention, the reporting of crimes, sexual assault, and other matters. The ASR is available for review here.

Employment with the University will require successful completion of background check(s) in accordance with University policies.

EEO IS THE LAW

Penn State is an equal opportunity, affirmative action employer, and is committed to providing employment opportunities to all qualified applicants without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. If you are unable to use our online application process due to an impairment or disability, please contact 814-865-1473.

Federal Contractors Labor Law Poster

PA State Labor Law Poster

Affirmative Action

Penn State Policies

Copyright Information

Hotlines

University Park, PA"
ISSO,ISSO,"VersaTech, Inc",May,2024,"VersaTech is an ISO-certified provider of innovative technology solutions to the public sector, providing services that include Digital Transformation, IT Infrastructure Support, Cyber Security, Agile Software Development, Audio Visual Solutions, and Healthcare Consulting. Our long record of customer satisfaction and commitment to excellence provides assurance to our clients that we have the talent, management, and innovation necessary to solve their problems and exceed expectations.

VersaTech is currently looking for an ISSO to ensure that security requirements for major applications or general support system are being or will be met. In this role, you will ensure that requests for security authorization of computer systems are completed in accordance with the published procedures. Must have experience working in a Federal environment. This position is remote but may be required to work on customer sites periodically.

ISSO Essential Duties

Maintain an inventory of hardware and software
Coordinate the development of a Contingency Plan and ensure that the plan is tested and maintained
Demonstrated experience writing information system security documentation.
Strong knowledge and experience with information security standards, policies and practices - NIST (800-53 rev4), FISMA
Knowledge of Privacy Threshold assessments, Privacy Impact Assessments, and Privacy Continuous Monitoring Assessments.
Knowledge of CSAM management
Advanced knowledge of Disaster Recovery (FCD-1), ISCP development and exercises
Strong knowledge of 800-53 rev4
Strong knowledge of ISSO duties (SSPs, POAM management, vulnerability management)


Requirements:

5+ years of experience in Info Sec and B.S. in Information Technology or Info Sec desired (2 years of relevant work experience may be substituted for B.S)
Knowledge of information security engineering, design concepts and principles.
Recent experience working with a federal customer.
Knowledgeable with the Systems Development Lifecycle (SDLC) and continuous monitoring methodologies.
Extensive experience analyzing information technology and system risk in complex environments and articulating results (verbal/reports) to all levels of management.
Must be a team player with ""can do"" attitude. Must be able to work independently with initiative and innovation.
Knowledge of vulnerability assessment tools (NESSUS, etc.) and analyzing the reports generated from these assessments.
Must have excellent written communication skills as the candidate's job will include written interaction with senior- level executives.
Ability to use MS Office, Ability to use PC, Analytical and Critical Thinking Skills, Interpersonal and People Skills, Listening Skills, Multi-Tasking Ability.


Preferred Qualifications:

Industry certifications, such as CISSP, CAP, Security+ certifications are preferred.
Exceptional interpersonal and verbal communication skills, with the ability to collaborate well across teams and organizations.
Proven ability to multi-task and deliver on-time with the highest quality.


Clearance: Public Trust

VersaTech offers an excellent benefits package that includes 401k employer-matching retirement contributions, generous paid time off (3 weeks PTO plus 11 holidays), and ample growth opportunities.

VersaTech, Inc. is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decision without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class."
Information Assurance Analyst,Information Assurance Analyst,"Amyx, Inc.",May,2023,"Amyx is seeking to hire a Information Assurance Administrator to support our USTRANSCOM TGIS contract at Scott Air Force Base. The IA Administrator will work with the Government and IA Team as designated within SDDC to provide and share system security data and program information.

Ensure that all Contractor employees complete appropriate IA training and security training as prescribed by DoD and SDDC instructions, and track individual training completion by-name and by-subject in the MSR.
Ensure TGIS applications’ RMF POA&Ms are updated NLT the last business day of each month.
Provide program specific input to facilitate TGIS security accreditation IAW the latest version of DoDI 8510.01, RMF for DoD Information Technology, formerly DIACAP.
Ensure organization’s information assurance policy is meeting customer, regulatory, and industry requirements
Validate that all operating systems, software, and hardware are protected and compliant with TGIS policies

Supported Technology ESRI ArcGIS, AWS, Oracle, Microsoft Office, Cloud Developer Tools, SQL, Earth Resources Data Analysis System (ERDAS), Imagine/Softcopy Exploitation Toolkit (SOCET), Geospatial eXploitation Product (GXP), Python, .Net, Java

Required

At least 5 years of experience
Secret Level Clearance
Security+

Desired

Top-Secret Level Clearance
Experience working on a Geospatial related project
Geographic Information Systems Professional (GISP) Certification
BA/BS in technical/related field

Benefits include

Medical, Dental, and Vision Plans (PPO & HSA options available)
Flexible Spending Accounts (Health Care & Dependent Care FSA)
Health Savings Account (HSA)
401(k) with matching contributions
Roth
Qualified Transportation Expense with matching contributions
Short Term Disability
Long Term Disability
Life and Accidental Death & Dismemberment
Basic & Voluntary Life Insurance
Wellness Program
PTO
11 Holidays
Professional Development Reimbursement

Please contact talent@amyx.com with any questions!

Amyx is an Equal Opportunity employer. Amyx is committed to providing equal employment opportunity to all job seekers. Every qualified applicant receives focused consideration for employment and no one is discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status. In addition to federal law requirements, Amyx complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Equal Opportunity Employer- Minorities/Females/Veterans/Individuals with Disabilities/Sexual Orientation/Gender Identity. Amyx is an E-Verify employer.

Amyx proudly and proactively takes affirmative action to advance employment of individuals who are minorities, women, protected veterans and individuals with disabilities.

Physical Demands

Employee needs to be able to sit at a workstation for extended periods; use hand(s) to handle or feel objects, tools, or controls; reach with hands and arms; talk and hear. Most positions require ability to work on desktop or laptop computer for extended periods of time reading, reviewing/analyzing information, and providing recommendations, summaries and/or reports in written format. Must be able to effectively communicate with others verbally and in writing. Employee may be required to occasionally lift and/or move moderate amounts of weight, typically less than 20 pounds. Regular and predictable attendance is essential."
Information Assurance Analyst,Information Assurance Analyst,Leidos,April,2024,"Description

Grow with us! Through training, teamwork, and exposure to challenging technical work, let Leidos show you how to accelerate your career path.

The Leidos Defense Group is seeking Information Assurance Analysts for future and upcoming positions at Langley AFB. These positions are part of a large Military Intelligence Program supporting the USAF Air Combat Command’s (ACC) ISR mission.

Applicants will support the Air Force Distributed Common Ground System (AF DCGS) by providing Information Assurance (IA) support to AF Wing and Squadron-level organizations located at Joint-Base Langley-Eustis VA.

Note: This is a contingent job posting for vacancies as they arise within the program.

Primary Responsibilities

Advise, conduct and document risk assessments.
Help develop System Security Plans (SSP), Plans of Action and Milestones (POA&M).
Provide continuous surveillance of mission critical AF DCGS systems and components inclusive of Authority to Operate (ATO) and Interim Authorizations to Test (IATT) components.
Perform computer equipment, software and magnetic media inspections during Sensitive Compartmented Information Facility (SCIF) installations and removals.
Investigate, verify and report information related to firewall exception requests, network service requests (NSR) and port service requests (PSR).
Implement IA and security standards and procedures to identify, report and resolve security violations.
Develop capability-based IA requirements based upon user, policy, regulatory, and resource demands.
Develop, collaborate and coordinate IA solutions with product developers and AF acquisition agents, security, Information Technology and operations personnel during day-to-day operations and during weekly / monthly Integration forums.
Validate and maintain the accreditation of the assigned Security Plans.
Assist with preparation and maintenance of documentation.

Basic Qualifications

BA/BS Degree and 4 years of experience. Additional experience may be considered in lieu of a degree.
Must possess a current TS/SCI clearance eligibility and DOD 8570.01 certifications prior to assignment
Must be capable of working independently and collaboratively with on-site personnel and enterprise AF DCGS stakeholders and possess excellent oral and written communication skills.

Preferred Qualifications

Applicants possessing extensive working knowledge of Risk Management Framework (RMF), Assessment and Authorizations (A&A), Xacta IA Manager and Enterprise Mission Assurance Support Service (eMASS) A&A workflow platforms are highly desired

Original Posting Date

2024-01-24

While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above.

Pay Range

Pay Range $81,250.00 - $146,875.00

The Leidos pay range for this job level is a general guideline onlyand not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law."
Information System Security Officer,Information System Security Officer,Avint,March,2024,"Avint LLC is seeking a highly skilled and motivated individual to join our team as an Information System Security Officer. In this role, you will provide expertise in the Risk Management Framework (RMF) and support various aspects of cybersecurity, with a focus on inspections, operations, and orders processing. Your primary responsibility will be to assist in executing RMF processes, support security assessment and authorization activities for information systems, and maintain a 100% Authorization to Operate (ATO) status.

Position Responsibilities:

Provide expertise in the Risk Management Framework (RMF) and support various aspects of Cybersecurity, including inspections, operations, and orders processing
Assist in executing RMF processes, support security assessment and authorization activities for information systems, and maintain a 100% Authorization to Operate (ATO) status
Contribute to cybersecurity-related audits, inspections, and assessments, ensuring compliance with client requirements and industry standards
Conducting regular audits, inspections, and assessment reports, as well as providing status briefings and reports on remediation efforts. You'll play a key role in developing system security contingency plans and disaster recovery plans
Assist in implementing programs to promote awareness of and adherence to system security policies and procedures among systems, networks, and data users
Ensuring the rigorous application of information security and information assurance practices in all IT services delivery will be central to your role
Help coordinate user and privileged account processing and ensure the proper confirmation and documentation of certification information


Requirements

Bachelor's degree in Cybersecurity, Information Technology, or a related field
6 years of experience
Relevant certifications such as CISSP, CISM, or CompTIA Security+
Proven experience in executing RMF processes and supporting security assessment and authorization activities
In-depth knowledge of cybersecurity practices, policies, and industry standards
Strong analytical and problem-solving skills
Excellent communication and interpersonal skills


Benefits

Joining Avint is a win-win proposition! You will feel the personal touch of a small business and receive BIG business benefits. From competitive salaries, full health, to a new Open Time Off Policy and Federal Holidays. Additionally, we encourage every Avint employee to further their professional development. To assist you in achieving your goals, we offer reimbursement for courses, exams, and tuition. Interested in a class, conference, program, or degree? Avint will invest in YOU and your professional development!

Avint is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity and Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class."
Information Assurance Policy Analyst,Information Assurance Policy Analyst,Information Protection Solutions,December,2023,"RESPONSIBILITY

Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.

Research, recommend, develop, maintain, and update domestic and overseas cybersecurity policies, to include use of new and emerging technology (e.g. WiFi, cloud, mobile devices), software, hardware, and other IT-related systems (e.g. VoIP, Building Automation Systems)
Examine incoming requests for exceptions to policy and draft recommended decision memorandum to include requisite mitigation strategies
Coordinate clearances of all draft cybersecurity policies and memorandum with DoS stakeholders
Participate in intra-agency policy working groups (e.g. WiFi) and provide cybersecurity policy subject matter expertise
Provide support for the review and coordination for National level classified and unclassified cyber and communications security policies and guidelines

Experience

10+ years Policy Development. Familiar with NIST, DoD, DHS cyber security and information assurance policies and directives.

EDUCATION

Master’s Degree, IA Level III Certification (i.e. CISSP; CASP; CISA; CISM; GSLC).

CLEARANCE

Active TS/SCI

Powered by JazzHR

GdTC57HRvQ"
Onsite Work - Need Information Security Analyst in Malvern PA,Onsite Work - Need Information Security Analyst in Malvern PA,Steneral Consulting,January,2024,"Information Security Analyst - 2 Interviews

Onsite job

Contract till August 2024

Onsite: Malvern PA

Note: Candidates can relocate or be local but must be onsite day 1 (But must be from EST time zone)

Responsibilities

Provide vulnerability management and secure configuration baseline management oversight and governance programs.
Adjudicate risk-acceptance (""exception"") requests and false positive requests, review metrics, shape and govern based on trends being presented

Qualifications

Looking for strong AWS experience and security experience - Vulnerability Management, Security Assurance, Cloud Security Engineering, or DevSecOps
Working knowledge of security risk oversight, CVSS (Common Vulnerability Scoring System), CVE (Common Vulnerabilities and Exposures), and technical security vulnerability remediation/mitigation
Practical experience analyzing cloud infrastructure vulnerability data to understand and communicate risks, concerns and outcomes of decisions
Extensive experience working with AWS EC2s (or Azure VMs), as well as Container (Kubernetes / EKS) and image security scanning
Preferred knowledge of cloud infrastructure hardening – such as validating EC2 Operating Systems against CIS benchmarks, or detecting security misconfigurations with EKS deployments
Security Certifications preferred"
Senior IT Software QA Specialist,Senior IT Software QA Specialist,ICONMA,April,2024,"Senior IT Software QA Specialist

Location: Memphis, TN/Remote
Duration: 11 months with possible contract to hire

Description:
Manager's notes:
Proactively engage in the end-to-end software testing cycle as it pertains to the assigned projects
Ability to independently create and execute test plan, test design, test data.
Ability to work and mange deliverables in multiple projects in parallel and manage time effectively
Collaborate and work closely with other QA, SA and Dev teams for defect resolution
Work closely and follow direction from Project management / leadership team
Develop and execute test cases, scripts, plans and procedures (manual and automated).
Knowledge and experience in testing and documenting test results related to IT projects of data warehousing, IT application / product development, ETL, data modeling, reporting, data visualization, reporting and software upgrades regression test verifications.
Good understanding of SDLC process and procedures
Experience in gathering and documenting requirements related to enterprise initiatives projects, system migration or upgrade projects, data warehousing and visualizations
Good knowledge of PL/SQL and able to write medium to complex queries
Working experience with SAP BO, Tableau, Oracle Exadata, SAP HANA is an added advantage
Knowledge of data test analysis with strong Excel skills

Primary purpose:
To develop, maintain, test and debug tests for software to meet defined requirements; to formulate and define moderately complex system scope and objectives; to prepare detailed specifications for testing applications; and to design, implement, test, debug, document and maintain test scripts.

Essential functions and responsibilities :
Becomes familiar with most aspects of the application including reports, parameters, claims management, intake services, carrier/client interfaces and vendor/business partner interfaces.
Analyzes user needs as required; assists in design of tests to verify that end user needs have been met.
Develops and modifies software test scripts and test plans to verify systems meet the specifications outlined in data processing requests; develops and maintains software test script and test plans to verify systems meet requirements of insurance carrier and regulatory groups.
Tests and verifies assigned projects; assists in testing projects for members of the programming staff.
Prepares documentation on new or existing software.
Investigates call escalations from the support staff; makes necessary corrections to data and/or software tests.
Assists in the professional growth of other quality assurance analysts.
Follows pre-established standards and guidelines as they pertain to design and development of tests and test plans. Maintains up-to-date knowledge of current quality assurance tools and other technology advances. Delivers and maintains the highest quality of customer services to our clients.

Additional functions and responsibilities :
Performs other duties as assigned. Supports the organization's quality program(s).

Qualifications
Education & licensing:
Bachelor's degree from an accredited college or university preferred.
Information Systems or Computer Science major preferred.
Experience Six (6) years of information technology/computer science experience or equivalent combination of education and experience required to include three (3) years of testing and/or business analytical experience. Experience in interpreting user requirements and development of business application tests strongly preferred.

Skills & knowledge:
Strong knowledge of software testing and test design Good oral and written communication skills PC literate, including Microsoft Office products Analytical and interpretive skills Strong organizational skills Excellent interpersonal skills Excellent negotiation skills Ability to work in a team environment Ability to meet or exceed Performance Competencies

Work environment :
When applicable and appropriate, consideration will be given to reasonable accommodations.

Mental:
Clear and conceptual thinking ability; excellent judgment, troubleshooting, problem solving, analysis, and discretion; ability to handle work-related stress; ability to handle multiple priorities simultaneously; and ability to meet deadlines

Physical:
Computer keyboarding,

Auditory/visual:
Hearing, vision and talking

Note:
The statements contained in this document are intended to describe the general nature and level of work being performed by a colleague assigned to this description.
They are not intended to constitute a comprehensive list of functions, duties, or local variances.
Management retains the discretion to add or to change the duties of the position at any time.

Education level:
High School Graduate/GED"
