Position,Company_Name,Location,Post_Month,Post_Year,Details
Network Engineer,Network Engineer,LTIMindtree,May,2024,"About Us:
LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com
Job Title: Senior Specialist - Networking
Work Location: Cleveland, OH (Hybrid Working)
Job Description
Proficient in Cisco Routing & Switching, emphasizing DATA CENTER Nexus.
Expertise in Routing Protocols: BGP, OSPF, RIP, RIPv2, IGRP, EIGRP.
Specialized knowledge in Cisco Wireless technologies: Wireless LAN Controllers (WLC), Access Points (AP).
CCIE certification is a mandatory requirement.
CCNP certification is a must-have.
CCDP – Good to have
Extensive experience in the administration and maintenance of Cisco Wireless technologies.
Competence in configuring and managing Wireless LAN Controllers and Access Points.
Design, deployment, and operation of complex enterprise networks.
Collaboration with vendors for existing and new implementations.
Hands-on experience in handling 3rd party connectivity infrastructure for both network and security.
Proficient in implementing and managing authentication protocols, including Passwordstate.
Establishing and maintaining access policies for clients on firewalls.
Creation and troubleshooting of VPN tunnels, especially Site-to-Site VPN.
In-depth CCIE expertise, showcasing advanced skills in Cisco technologies.
Proficiency in designing and implementing highly scalable and resilient network architectures.
Advanced knowledge of emerging networking technologies and trends.
Utilization of monitoring tools like SolarWinds, CA Spectrum, and Syslog Server for effective network monitoring.
Handling service restoration, service requests, and change requests.
Commissioning and decommissioning of network components.
Adherence to Change Control submission and approval processes.
Planning, scheduling, and implementing network device software/hardware upgrades and migrations.
Inventory management of network assets.
Creation and upkeep of comprehensive network documentation, including network drawings using Visio.
High degree of analytical ability and creativity in resolving complex network problems.
Expertise in developing and presenting network architecture proposals and solutions.
Proven ability to align network architecture with organizational goals and objectives.
Strong understanding of cloud networking and hybrid network environments.
Willingness and availability to work evening and weekend hours for network infrastructure changes.

Benefits/perks listed below may vary depending on the nature of your employment with LTIMindtree (“LTIM”):
Benefits and Perks:
Comprehensive Medical Plan Covering Medical, Dental, Vision
Short Term and Long-Term Disability Coverage
401(k) Plan with Company match
Life Insurance
Vacation Time, Sick Leave, Paid Holidays
Paid Paternity and Maternity Leave
The range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.
Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.
LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, colour, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.
Safe return to office: In order to comply with LTIMindtree’ s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree’s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree’s applicable processes."
Network Engineer,Network Engineer,Central Point Partners,April,2024,"Title: Network Engineer

Travel: Expected day travel only. Up to 3 days travel to client sites with 2 days work-from-home.

Type: Full time/Direct Hire OR Contract-to-hire

General Description

The Senior Network Engineer will work with clients, solutions architects, and vendors to plan and design local area networks (LANSs) and wide area networks (WANs) across client organizations. The Senior Network Engineer will take part in the implementation, monitoring, and optimization of network hardware such as switches, routers, wireless infrastructure, servers, PC’s and software. The Senior Network Engineer is also responsible for ensuring the stability and integrity of a client’s data, voice and wireless network service by troubleshooting and resolving issues. This position will provide assistance and feedback using a variety of remote support platforms as well as on-site support when necessary, in a timely and professional manner. Finally, the Senior Network Engineer will provide mentorship to teammates in an effort to develop skillsets and efficiency.

Position Qualifications

Bachelor’s degree in computer science or related field with 7+ years related work experience with a minimum of 5 years field experience as a Network Engineer.
Experience in Network Based Equipment installations with a Managed Network Services provider) is a plus.
Ability to pass advanced proficiency tests on hardware, software, networking, servers and cloud services, and mobile devices.
Minimum 2 years experience designing, configuring and installing network solutions (switches, routers, firewalls, WAP’s).
Senior level experience installing and configuring Fortinet hardware preferred.
Certifications include Cisco Certified Network Associate (CCNA), Cisco Certified Network Professional (CCNP), Fortinet NSE 1-4 Wireshark.
Preferred Certifications include CompTIA Network+, CompTIA Security+, Azure Network Engineer Associate.
Additional Cisco certifications and experience are advantageous.
Exceptional knowledge of networking technologies (OSI network layers, TCP/IP).
Working knowledge of Microsoft Office Suite including Microsoft Visio.
Ability to work independently, and work effectively in a collaborative team environment while keeping all stake holders informed.
Proven technical ability to include research, decision-making and organizational skills.
Excellent client facing skills.
Keen attention to detail and interest in problem-solving.
Ability to know when to escalate issues.
Ability to travel for training, off-site meetings, and travel to client locations as necessary.
Ability to: work as scheduled, sitting, standing, stooping, lift and carry 35 pounds, use a keyboard, and speak on the phone.

Primary Functions

Install, configure, and troubleshoot large and/or complex network infrastructure (LAN, LWAN, WAN) environments and network devices such as switches, routers, wireless and servers remotely or on-site as appropriate.
Collaborate with clients, solutions architects, and engineers to identify, assess, and present options for meeting the functional and technical requirements, which may include hardware and/or software. Document configuration and environment as necessary.
Serve as escalation for clients’ issues that require higher level of support or onsite support.
Research issues to identify and implement an appropriate solution in accordance with documented procedures.
Perform remote and onsite remediation through diagnostic techniques and pertinent questions.
Monitor network performance and integrity ensuring client satisfaction through documented processes and/or through automation.
Create, oversee and test security measures.
Document all client (internal and external) interactions, notably a description of the issue, steps taken to troubleshoot, escalate and ultimately resolve those issues.
Provide transparent and regular status updates in requested format.
Recognizing and escalating issues when additional skillsets are needed.
Follow up with clients and users to complete the resolution and ensure client satisfaction.
Maintain detailed product knowledge of all supported products and solutions in order to support all aspects of our product offerings.
Provide training to clients on products installed and solutions provided.

Basic Responsibilities

Maximize client satisfaction by providing exceptional technical support and communication.
Communicate and interact with clients, service, sales and administrative staff in a courteous and professional manner
Provide third party vendor management on behalf of clients.
Submit time entries, work summary, and client documentation in accordance with company processes.
Perform other tasks and assist on special projects as assigned.
Be self-motivated, flexible and take initiative.
Work as a team player by continually learning and sharing knowledge.
Inform Manager of recurring issues.
Demonstrate strong client service skills as you will be assisting end users who are seeking resolution to technical issues.
Participate in meetings or training seminars as assigned.
Perform on-call duties on a rotating basis as assigned.
Maintain confidentiality and adhere to data protection and other guidelines where appropriate."
Network Engineer,Network Engineer,JD Finish Line,May,2024,"Performs strategic and technical activities necessary to design, support and operate a high volume, dynamic, enterprise class network. Designs, administers, installs, maintains, and supports all of the Finish Line USA, Inc. network hardware including routers, switches, firewalls, wireless, and monitoring software in an enterprise class network. Provides necessary 24/7 support to maintain high service level objectives and network performance. This individual will effectively exhibit JD Finish Line’s core values of Customer, People, Winning, Community, and Financial Responsibility in everything they do by performing the following main duties:

Designs, monitors, maintains, and manages all Finish Line USA, Inc's network infrastructure including but, not limited to, the Wide Area Network (WAN), Local Area Network (LAN), Wireless LAN (WLAN), 3G/4G backup network, Firewalls, Virtual Private Network (VPN), and overall network security.
Creation of all networking hardware configurations and related documentation, which will include the IP address, circuit IDs, and other related information.
Analyzes and evaluates the network and recommends upgrades/changes, security procedures and policies, with considerations of present-day and future network needs including disaster recovery and proper network redundancies, and security best practices in alignment with Finish Line’s Data Security group.
Works with Network Security and Regulatory Compliance groups to execute network security monitoring, logging, and auditing information for the Finish Line USA, INC.
Performs Tier III Troubleshooting and Root Cause Analysis on networking issues working with Finish Line USA, INC Information Systems staff
Works with Network Security group to perform monthly, quarterly, and annual audits of network passwords, configuration, and IOS changes or updates including security and compliance
Provides business justification or statistical reporting to assist management in annual budgetary initiatives including licensing, maintenance, and hardware replacement
Assists in the 24/7 availability, performance, and network monitoring of the network infrastructure in conjunction with Finish Line’s Operations Group in order to meet Service Level Objectives established by management
Team lead on special network projects and strategic initiatives including network upgrades and alternative forms of network access.
Assist Operations Team in meeting Service Level Agreements established by management.
Provide afterhours support for network infrastructure outages and emergencies
Provide technical leadership to Tier I & Tier II staff by actively seeking out opportunities to mentor and provide technical assistance to these team members
Assists Sr. Engineers in identifying Tier I & Tier II staff technical skills that need improvement, and by providing guidance to the Tier I & Tier II staff as necessary
Executes the best practices, processes, and methods provided by the Sr. Engineers for problem resolution, change control, and implementation activities
Additional projects and duties as required.


Qualifications
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


Education and/or Experience
Bachelor’s degree in Computer Science and/or Technology from a four-year college or university or equivalent work experience. Additional 5+ years of operational networking experience with Telecommunication technologies. Strong technical background to understand technologies used for networking activities, network connectivity, and various protocols. Operational experience working with any of the follow is a plus: Cisco networking hardware including routers and switches, routing protocols (BGP, EIGRP), Cisco and Checkpoint firewalls (VPN, IPSEC, ACLs), wireless (802.11 A/B/G/N), F5’s, and general knowledge of VoIP concepts. CCNA Certification required, CCNP preferred.
Must have a thorough understanding of TCP/IP, LAN Switching, Routing protocols, L2/L3, device configuration, VLAN, ACL, and security best practices.
Understands QoS (Quality of Service) and all the mechanisms required for QoS in both the LAN/WAN and Wireless environment.
Familiarity with MPLS, 3G wireless, 802.1x, mobile computing, DS3, T-1, DSL, Metro Ethernet, two factor authentication systems, troubleshooting tools (Wireshark, Solarwinds), etc.
Proficient knowledge of Enterprise LANs, WANs, Disaster Recovery and High Availability.
Strong ability to handle multiple network support requests over a given time period
Mentoring skills to help team members solve complex technical problems


Physical Demands
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Sit for more than 6 hours per shift
Use hands to finger, handle and feel
Reach with hands and arms
Talk and/or hear
Walk or move from one location to another
Periodically may need to climb, balance, stoop, kneel, or crouch
Lift and/or move up to 10 pounds regularly and up to 50 pounds occasionally

The company reserves the right to modify this job description with or without notice. Employees may be asked to perform additional duties outside of normal job scope on a temporary basis per company policy."
Network Engineer,Network Engineer,Franklin Fitch,May,2024,"Network Engineer | Rhode Island | $85,000-$100,000 | Hybrid

You will work within and provide your expertise to a market-leading firm that provides economic and financial analysis to its clients. Aiming to analyze and resolve clients’ issues around the rapid change of pace in technology advancement. Their mission statement is to provide empirical, innovative, and rigorous solutions to their client’s needs.

They are going through unprecedented levels of growth and therefore investing very heavily in their technical teams! Within this upscale, comes an increase in opportunities for a Network Security Engineer to join their existing team.

You will be working closely with senior members of the infrastructure team to ensure the integrity and stability of their in-house data, video, voice, and wireless network services. While building out your skillset around network security and firewalls.

You will need:
Firewalls (must have)
VMware
Checkpoint
Fortinet/Palo Alto/ASA
Cisco or Juniper

What you will receive:
- 100% paid for Medical, Dental, and Vision insurance
- 401k Plan
- Tuition reimbursement and continued training"
Network Engineer,Network Engineer,Razor Technology,May,2024,"Job Description

Job Summary: We are seeking a skilled Network Engineer specializing in the deployment and support of network and security environments built on primarily Cisco, Fortinet, and HPE solutions. In this role, you will be responsible for designing, implementing, and supporting our teams management of customer networks. You will collaborate with cross-functional teams to deliver innovative solutions that meet the evolving needs of our business.

Key Responsibilities:

PreSales Assistance:

Collaborate with the Solution Architect/Engineer to understand customer requirements and provide technical expertise during pre-sales discussions and presentations.
Assist in the development of network and security solutions proposals, including solution architecture, hardware/software selection, and pricing.
Address technical inquiries and concerns from prospective customers, providing insights and recommendations to address their specific needs.
Stay informed about industry trends and competitive offerings to effectively position our solutions and differentiate them in the market.

Implementation:

Design and plan the deployment of network and security solutions based on customer requirements and best practices.
Configure and deploy networking equipment, including routers, switches, firewalls, and VPN appliances, according to design specifications.
Conduct testing and validation of implemented solutions to ensure functionality, performance, and security compliance.
Collaborate with other teamsto coordinate implementation activities and minimize disruption to business operations.
Document configurations, procedures, and best practices to facilitate knowledge transfer and future troubleshooting.

Support Operations:

Provide ongoing support for deployed network and security environments, responding to incidents, service requests, and change management activities.
Troubleshoot network issues, diagnose root causes, and implement corrective actions to restore service and prevent recurrence.
Monitor network performance and security posture using monitoring tools and perform proactive maintenance activities as needed.
Escalate complex issues to higher-level support teams or vendors, ensuring timely resolution and minimal impact on business operations.
Maintain accurate records of incidents, service requests, and changes in the ticketing system, adhering to established SLAs and KPIs.

Service Development:

Collaborate with product management and engineering teams to identify opportunities for service enhancements and new feature development.
Participate in service design and development initiatives, providing technical insights and recommendations to improve product offerings.
Conduct research and evaluation of emerging technologies and industry trends to inform service roadmap and strategy.
Contribute to the creation of service documentation, including user guides, training materials, and knowledge base articles.
Engage with customers and stakeholders to gather feedback and insights, driving continuous improvement of our network and security services.

Qualifications:

7+ years of experience in network engineering, with a focus on Cisco, Cisco Meraki, Fortinet, and HPE solutions.
Strong proficiency in configuring and troubleshooting Cisco routing and switching technologies (e.g., Cisco IOS, Catalyst, Nexus).
Experience deploying and managing Fortinet firewall appliances and security features (e.g., FortiGate, FortiAnalyzer, FortiManager).
Familiarity with HPE networking products and solutions, including Aruba switches and wireless access points.
Solid understanding of network protocols and technologies, including TCP/IP, VLANs, VPNs, and DNS.
Experience with network monitoring and management tools (e.g., Auvik, OpsRamp)
Certifications such as CCNA, CCNP, Fortinet NSE, or HPE ASE are highly desirable.
Strong analytical and problem-solving skills, with the ability to prioritize and manage multiple tasks in a dynamic environment.
Excellent communication and interpersonal skills, with the ability to work effectively both independently and as part of a team.

Company Description

Your Trusted IT Solutions Expert

Razor Technology gives you all the tools, resources, and technology you need to stay competitive, relevant, and profitable. Your fast-changing business challenges keep us focused on providing world-class technology solutions. But our desire to create trusted, long-lasting relationships keeps us focused on delivering the highest standards of service.

Keeping up with emerging technologies and trends isn’t easy—but you don’t have to do it alone. We’re with you every step of the way. We develop, implement, and support end-to-end IT solutions that simplify your infrastructure, eliminate cost, and allow you to scale on demand.

Headquartered in Philadelphia, we serve over 300 clients in the greater Northeast and Mid-Atlantic regions. Whether SMB or enterprise, our clients need help leveraging the benefits of scalable, reliable and secure IT solutions. We take the pressure off you and your IT department so you can focus on what matters most: running your business.

Your Trusted IT Solutions Expert Razor Technology gives you all the tools, resources, and technology you need to stay competitive, relevant, and profitable. Your fast-changing business challenges keep us focused on providing world-class technology solutions. But our desire to create trusted, long-lasting relationships keeps us focused on delivering the highest standards of service. Keeping up with emerging technologies and trends isn’t easy—but you don’t have to do it alone. We’re with you every step of the way. We develop, implement, and support end-to-end IT solutions that simplify your infrastructure, eliminate cost, and allow you to scale on demand. Headquartered in Philadelphia, we serve over 300 clients in the greater Northeast and Mid-Atlantic regions. Whether SMB or enterprise, our clients need help leveraging the benefits of scalable, reliable and secure IT solutions. We take the pressure off you and your IT department so you can focus on what matters most: running your business."
Network Engineer,Network Engineer,Razor Technology,May,2024,"Job Description

Job Summary: We are seeking a skilled Network Engineer specializing in the deployment and support of network and security environments built on primarily Cisco, Fortinet, and HPE solutions. In this role, you will be responsible for designing, implementing, and supporting our teams management of customer networks. You will collaborate with cross-functional teams to deliver innovative solutions that meet the evolving needs of our business.

Key Responsibilities:

PreSales Assistance:

Collaborate with the Solution Architect/Engineer to understand customer requirements and provide technical expertise during pre-sales discussions and presentations.
Assist in the development of network and security solutions proposals, including solution architecture, hardware/software selection, and pricing.
Address technical inquiries and concerns from prospective customers, providing insights and recommendations to address their specific needs.
Stay informed about industry trends and competitive offerings to effectively position our solutions and differentiate them in the market.

Implementation:

Design and plan the deployment of network and security solutions based on customer requirements and best practices.
Configure and deploy networking equipment, including routers, switches, firewalls, and VPN appliances, according to design specifications.
Conduct testing and validation of implemented solutions to ensure functionality, performance, and security compliance.
Collaborate with other teamsto coordinate implementation activities and minimize disruption to business operations.
Document configurations, procedures, and best practices to facilitate knowledge transfer and future troubleshooting.

Support Operations:

Provide ongoing support for deployed network and security environments, responding to incidents, service requests, and change management activities.
Troubleshoot network issues, diagnose root causes, and implement corrective actions to restore service and prevent recurrence.
Monitor network performance and security posture using monitoring tools and perform proactive maintenance activities as needed.
Escalate complex issues to higher-level support teams or vendors, ensuring timely resolution and minimal impact on business operations.
Maintain accurate records of incidents, service requests, and changes in the ticketing system, adhering to established SLAs and KPIs.

Service Development:

Collaborate with product management and engineering teams to identify opportunities for service enhancements and new feature development.
Participate in service design and development initiatives, providing technical insights and recommendations to improve product offerings.
Conduct research and evaluation of emerging technologies and industry trends to inform service roadmap and strategy.
Contribute to the creation of service documentation, including user guides, training materials, and knowledge base articles.
Engage with customers and stakeholders to gather feedback and insights, driving continuous improvement of our network and security services.

Qualifications:

7+ years of experience in network engineering, with a focus on Cisco, Cisco Meraki, Fortinet, and HPE solutions.
Strong proficiency in configuring and troubleshooting Cisco routing and switching technologies (e.g., Cisco IOS, Catalyst, Nexus).
Experience deploying and managing Fortinet firewall appliances and security features (e.g., FortiGate, FortiAnalyzer, FortiManager).
Familiarity with HPE networking products and solutions, including Aruba switches and wireless access points.
Solid understanding of network protocols and technologies, including TCP/IP, VLANs, VPNs, and DNS.
Experience with network monitoring and management tools (e.g., Auvik, OpsRamp)
Certifications such as CCNA, CCNP, Fortinet NSE, or HPE ASE are highly desirable.
Strong analytical and problem-solving skills, with the ability to prioritize and manage multiple tasks in a dynamic environment.
Excellent communication and interpersonal skills, with the ability to work effectively both independently and as part of a team.

Company Description

Your Trusted IT Solutions Expert

Razor Technology gives you all the tools, resources, and technology you need to stay competitive, relevant, and profitable. Your fast-changing business challenges keep us focused on providing world-class technology solutions. But our desire to create trusted, long-lasting relationships keeps us focused on delivering the highest standards of service.

Keeping up with emerging technologies and trends isn’t easy—but you don’t have to do it alone. We’re with you every step of the way. We develop, implement, and support end-to-end IT solutions that simplify your infrastructure, eliminate cost, and allow you to scale on demand.

Headquartered in Philadelphia, we serve over 300 clients in the greater Northeast and Mid-Atlantic regions. Whether SMB or enterprise, our clients need help leveraging the benefits of scalable, reliable and secure IT solutions. We take the pressure off you and your IT department so you can focus on what matters most: running your business.

Your Trusted IT Solutions Expert Razor Technology gives you all the tools, resources, and technology you need to stay competitive, relevant, and profitable. Your fast-changing business challenges keep us focused on providing world-class technology solutions. But our desire to create trusted, long-lasting relationships keeps us focused on delivering the highest standards of service. Keeping up with emerging technologies and trends isn’t easy—but you don’t have to do it alone. We’re with you every step of the way. We develop, implement, and support end-to-end IT solutions that simplify your infrastructure, eliminate cost, and allow you to scale on demand. Headquartered in Philadelphia, we serve over 300 clients in the greater Northeast and Mid-Atlantic regions. Whether SMB or enterprise, our clients need help leveraging the benefits of scalable, reliable and secure IT solutions. We take the pressure off you and your IT department so you can focus on what matters most: running your business."
Network Engineer,Network Engineer,OakStar Bank,May,2024,"Summary

Job Description

The position of Network Engineer will be proactive in addressing problems and will quickly solve issues and address concerns presented by the user base and any other consumer of OSB’s IT services. Additionally, this position will continually look for ways to improve the efficiency of the corporate-wide IT initiatives and processes, identifying issues and potential issues before they become impactful to the company’s operations and/or customers. At all times the individual will provide exemplary customer service and will tenaciously pursue problem resolutions, working until such issues have been resolved to the requester’s satisfaction.

Assures compliance with all Bank policies and procedures, as well as, all applicable state and federal banking regulations.

Essential Duties

Technical assistance and problem resolution to all OSB employees, contractors, regulatory representatives, vendors, service providers, and other such entities as may be necessary. Such services will be provided via phone, e-mail, in person, or using a combination of each.
Technical assistance and problem resolution with 3rd party software applications
Demonstrate and effectively use advanced troubleshooting techniques to solve problems
Set up new computer systems and peripherals, and perform advanced maintenance as required.
Maintain a high degree of familiarity and competency in the areas of malware detection and prevention.
Train and support computer users on the appropriate use of devices and common software products.
Maintain computer equipment and software to ensure secure and efficient operations.
Repair computer hardware, office equipment, and associated devices as and where required.
Evaluate, test, and implement new software programs for the company when applicable.
Read and understand technical manuals.
Managing Desk/IP-Based phone systems, and mobile phone operations, with a technical understanding of both.
Ensure that all provided services are delivered to the complete satisfaction of the receiver.
Travel to all locations to perform necessary tasks in support of the organizations needs.

Minimum Requirements

These specifications are general guidelines based on the minimum experience normally considered essential to the satisfactory performance of this position. The requirements listed below are representative of the knowledge, skill and/or ability required to perform the position in a satisfactory manner. Individual abilities may result in some deviation from these guidelines.

High school diploma or general education degree (GED) and 1+ years of related experience and/or training, or the equivalent combination of education and experience. Work related experience should consist of a banking background. Educational experience, through in-house training sessions, formal school, or financial industry related curriculum, should be business or financial industry related.
Desktop, notebook, laptop, tablet and mobile device hardware and operating systems.
All productivity tools and applications within the Microsoft Office 365 suite.
Working knowledge of/familiarity with the various operational software products used within the organization.
High degree of proficiency with the troubleshooting and repair techniques necessary to fully support all user endpoint devices, including desktop PC’s, notebook computers, peripheral devices such as printers, scanners, network devices, monitors, external storage devices, telephones, and other such equipment as may be introduced into the company’s operational environment.
Proficiency with Windows Server configuration, management, and maintenance
Understanding of virtualization technologies
Proficiency with network switch and router configuration and maintenance.
Understanding of VPN routing techniques
Complete understanding of WiFi technologies.
High degree of understanding with data security methodologies, philosophies, and techniques
Must be helpful and possess a high degree of self-confidence.
Must be motivated to seek solutions based upon the needs of customers and Bank staff.
Must be outwardly friendly, engaging, articulate, organized, and self-motivated.
Should be able to communicate clearly and effectively both verbally and in written form.
Current STATE driver’s license and a vehicle with appropriate insurance coverage if required to drive while performing assigned duties and responsibilities.

Company Description

Our team has created a unique work culture that is rooted and cultivated throughout every aspect of the Bank. Working for OakStar Bank means creating real relationships with team members and customers, making a difference in the community, and striving to be the best version of yourself while serving others each day. In addition, OakStar Bank offers excellent benefits and many different career opportunities. Come create a difference and leave a legacy with us!

Our team has created a unique work culture that is rooted and cultivated throughout every aspect of the Bank. Working for OakStar Bank means creating real relationships with team members and customers, making a difference in the community, and striving to be the best version of yourself while serving others each day. In addition, OakStar Bank offers excellent benefits and many different career opportunities. Come create a difference and leave a legacy with us!"
Network Engineer,Network Engineer,Wipro,May,2024,"Wipro
Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries. We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.
A PROUD HISTORY OF OVER 75 YEARS
FY22 REVENUE 10.4 BN USD
WE’RE PRESENT IN 66 COUNTRIES
OVER 1,400 ACTIVE GLOBAL CLIENTS

Network Engineer
Dallas TX
Responsibilities:

In your role as Network Engineer, you will maintain biggest enterprise network solutions, spread over the entire globe, You will be a part of the Network Engineering team within IT Operations. Provides service to clients to ensure that their IT infrastructure and systems remain operational through proactively identifying, investigating, and resolving technical incidents and problems and to restore service to clients by managing incidents to resolution.
Responsibilities include:
Monitoring all active network equipment, ensuring seamless operations, system availability and reliability.
Trouble shooting and resolving network issues, implementing security measures, and proactively optimizing network performance.
Performing network maintenance and system upgrades including service packs , patches hot fixes and security configurations
Configure and Install various network devices and services ( Routers , Switches, IP addresses, VLANs, routing protocols, MPLS, VPN, QOS)
Monitor system resource utilization , trending, and capacity planning.
Provide Level 3 support and troubleshooting to resolve issues.( This includes diagnosing network problems, analyzing network logs, and implementing solutions to resolve network issues)
Work within established configuration and change Management policies.
Assist in network design and implementation.
Troubleshoot issues with Network Deployment.
Identify potential failures and recommend solution.
Liaise with Vendors and other IT personnel for Problem resolution.
Update knowledge base with known errors.
Requirements and Skills
L3 Network Engineer with 8 - 10 yrs.
Proven experience in a network administrator role
Excellent knowledge and troubleshooting skills on SD WAN, LAN segmentation, Cisco Switches, Cisco Wireless Access Points, Cisco Wireless Controllers, Cisco Routers, Riverbed Bandwidth Optimizers.
Maintain design of LAN/WAN including protocols and routing.
Proven hands-on experience in networking , routing, and switching.
Solid understanding of network operating systems ( JUNOS and Cisco IOS)
Sharp troubleshooting skills. Ability to work independently.
Deep understanding of Networking protocols ( IPSEC, HSRP, BGP, OSPF)
Solid understanding of the OSI or TCP/IP Model
Experience with Internet VPN’s remote implementation, troubleshooting, and problem resolution is desired.
Hands on experience with Monitoring network diagnostic and network analytics tools
Excellent Written and Verbal Communication.
Flexible to work in 24x7 Shifts.
Bachelor’s degree (or equivalent) in computer science or related field
Professional certification, such as CCNA, CCDP or CCNP
Stay up to date with the latest networking technologies and best practices.


Equal Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law."
Network Engineer,Network Engineer,Steneral Consulting,May,2024,"Network Engineer Hybrid in Philadelphia PA - Locals Only

Green Card Holder or US Citizen

Important Skills

Cisco Network Engineering

LAN, WAN, MAN, Wireless Cloud Technology Wavelength Services

Cisco Nexus Switches

Cisco Catalyst Switch Technology

Cisco ISR and ASR Router Technology

Cisco NFG Firewsll

Certifications

CCNA or CCNP; or equivalent experience"
Junior Network Engineer,Junior Network Engineer,Franklin Fitch,April,2024,"Jr. Network Engineer | Hybrid in San Antonio | $60,000 - $70,000 + 100% covered health insurance

We are currently working with a reputable technology firm who are looking to add a Junior Network Engineer to their team as they continue to grow and invest heavily in their IT. This engineer will be responsible for escalated support along with designing/implementing network infrastructures. You will be joining a successful organization with an award-winning culture.

Requirements:
MSP Experience
Cisco
Fortinet or Palo Alto

Benefits:
Flexible working schedule
100% covered health insurance
401k 3% match
Award-winning culture

Jr. Network Engineer | Hybrid in San Antonio | $60,000 - $70,000 + 100% covered health insurance"
