Position,Company_Name,Location,Post_Month,Post_Year,Details
Network Security Engineer II,Network Security Engineer II,McDonald's,May,2024,"McDonald’s evolving Accelerating the Arches growth strategy puts our customers and people first, and leverages our competitive advantages to strengthen our brand. We are recognized on lists like Fortune’s Most Admired Companies and Fast Company’s Most Innovative Companies.

Doubling Down on the 4Ds (Delivery, Digital, Drive Thru, and Development)

Our growth pillars emphasize the important role technology plays as the leading, global omni-channel restaurant brand. Technology enables the organization through digital technology, and improving the customer, crew and employee experience each and every day.

Global Technology forging the way

Leading the digitization of our business is the Technology organization made up of intrapreneurs who build industry defining tech using the latest innovations and platforms, like AI and edge computing to deliver on the next set of cutting-edge opportunities for the business. At McDonald’s you get to solve technology innovation challenges at an incredible scale, and work across global teams who are always hungry for a challenge. This provides access to exciting career paths for technologists. It’s bonus points when you get to see your family and friends use the tech you build at their favorite McD restaurant.

Check out the Global Technology Technical Blog to learn how technology is directly enabling the Accelerating the Arches strategy.

Job Description

This opportunity is part of the Global Technology Infrastructure & Operations team (GTIO), where our mission is to deliver modern and relevant technology that supports the way McDonald’s works. We provide best-in-class foundational technology products and services including Global Networking, Cloud, End User Computing, and IT Service Management. It’s our goal to always provide an engaging, relevant, and simple experience for our customers!

The Network Security Engineer I will design, implement, and maintain the McDonald’s network security infrastructure and systems internally and externally. This is an exciting opportunity for an experienced technology leader to help craft the transformation of infrastructure, operations, products and services to the entire McDonalds environment.

Accountabilities & Responsibilities:

This role is responsible for our network security critical services, including firewall, IPS/IDS, Content Filtering, SASE, SSE, ZTNA, VPN and DDoS. You will manage the strategic direction, technical evolution, and day to day operation of some of our Network Security products and platforms.

You will work closely with market technology teams, Global Technology Risk Management teams, Global Technology Infrastructure and Operations teams, application owners, key vendors, and others to ensure the accurate design and functioning of McDonald’s network security services.
Participate in Design, implement, and operate global network security platforms that supports global, corporate and restaurant network infrastructure and operations.
Produce high quality, high Level designs, Low level design, migration plans and runbooks.
Configure and manage firewalls, intrusion detection/prevention systems, NAC, VPN, SSE and other security platforms.
Collaborate with Network Security Engineers, Technical Product Managers and architects and managed service partners to innovate and deliver network security and wider NIO outcomes.
Provide urgent support and troubleshooting for our customers including outside of regular business hours.
Participate in proof of concepts and technical feasibility studies for business requirements.
Drive automation first approach to platform and configuration deployment. Adopt Infrastructure as code.
Participate in producing test plan, create test cases and perform functional and non-functional testing of network security platforms.
Remain up-to-date on emerging technologies and architecture and propose ways to use them in current and upcoming projects.
Support technical assessments and vendor selection to develop and deploy brand new platforms, spanning beyond traditional technologies.
Support the NDR/NSOC function to respond to network security Incidents in a quick and effective manner.
Effectively communicate project health, risks and issues to the program partners, sponsors and management teams.
Identify and direct changes through appropriate review and approval mechanisms.
Drive continuous service improvements for network security platforms and processes.

Qualifications

Willingness and ability to live the McDonald’s values every day: Serve, Inclusion, Integrity, Community, and Family.
Experience with Network/Network Security technologies and concepts.
Experience with Routing and Switching technologies.
Good understanding of Azure, AWS and/or GCP.
Demonstrated knowledge of Cyber security concepts and technologies.
Hands on experience with one or more of the following
Configuring firewalls (Palo Alto, Cisco or Check Point)
Configuring SASE/SSE solutions (ZScaler, Cisco or Palo)
Configuring routers/switches.
Automation and scripting via python, JSON etc..
Strong analytical and troubleshooting skills.
Proficient in leading collaborator expectations and conflict resolution.
Highly organized and diligent, with the ability to keep many engagements active at once.
Highly collaborative along with independent critical thinking and creative problem-solving skills
Preferred Experience
Previous technical internship(s), if applicable.
Ability to effectively articulate technical challenges and solution.
Solid knowledge of computer science fundamentals
Strong verbal and written communication skills, self-driven and delivers high quality results in fast-paced environment.
Bachelor's degree in information technology, or a related field or relevant experience.
Experience with designing, deploying, and managing NAC solutions.
Experience in working in an Agile environment with a Scrum Master, Daily Scrum meetings, Backlogs, Sprints and written Stories and deliverables. Familiar with documentation process and tools, JIRA and Confluence preferred.

Additional Information

McDonald’s is committed to providing qualified individuals with disabilities reasonable accommodations to perform the essential functions of their jobs. Additionally, if you (or another applicant of whom you are aware) require assistance accessing or reading this job posting or otherwise seek assistance in the application process, please contactrecruiting.supportteam@us.mcd.com

McDonald’s provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to sex, sex stereotyping, pregnancy (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), race, color, religion, ancestry or national origin, age, disability status, medical condition, marital status, sexual orientation, gender, gender identity, gender expression, transgender status, protected military or veteran status, citizenship status, genetic information, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Nothing in this job posting or description should be construed as an offer or guarantee of employment."
Network / Security Administrator,Network / Security Administrator,Sierra ITS,November,2023,"1+ Year Contract - 36hrs Per Week - Onsight

You'll join a three-member team (Dir of IT, NE, Tech Support) as the Network Security Administrator. You'll use your security experience to take ownership of network security initiatives going forward.

Enhance and support the cyber readiness of the environment
Take the lead in implementing and planning wireless endpoints, fiber optic lines, and pathways
Own the transition from full Cisco to Fortinet environment
Utilize Nessus and a scanning and monitoring tool

Must Have

Fortinet, HyperScale, Nessus, and Fiber Optic lines/pathways
Security and Networking certifications are a bonus
Willingness to live within 30 minutes of Tinkley Park (no Indiana will be accepted)
Willingness to participate in an on-call rotation
Successful completion of a criminal background screen

Urgent need - please apply now. Local residents only, no third parties."
Network Security Engineer III,Network Security Engineer III,McDonald's,May,2024,"McDonald’s evolving Accelerating the Arches growth strategy puts our customers and people first, and leverages our competitive advantages to strengthen our brand. We are recognized on lists like Fortune’s Most Admired Companies and Fast Company’s Most Innovative Companies.

Doubling Down on the 4Ds (Delivery, Digital, Drive Thru, and Development)

Our growth pillars emphasize the important role technology plays as the leading, global omni-channel restaurant brand. Technology enables the organization through digital technology, and improving the customer, crew and employee experience each and every day.

Global Technology forging the way

Leading the digitization of our business is the Technology organization made up of intrapreneurs who build industry defining tech using the latest innovations and platforms, like AI and edge computing to deliver on the next set of cutting-edge opportunities for the business. At McDonald’s you get to solve technology innovation challenges at an incredible scale, and work across global teams who are always hungry for a challenge. This provides access to exciting career paths for technologists. It’s bonus points when you get to see your family and friends use the tech you build at their favorite McD restaurant.

Check out the Global Technology Technical Blog to learn how technology is directly enabling the Accelerating the Arches strategy.

Job Description

This opportunity is part of the Global Technology Infrastructure & Operations team (GTIO), where our mission is to deliver modern and relevant technology that supports the way McDonald's works!

The Network Security Engineer III (Manager level) will design, implement, and maintain the McDonald’s network security infrastructure and systems. You will play an essential role in ensuring that McDonald’s network is secured from both internal and external threat landscape.

The successful candidate will have superb communication and problem-solving skills, as well as the ability to work well in a global team.

Accountabilities and Responsibilities:

This team is responsible for securing of McDonald’s information assets at a global level. This role will be part of the group within Global Technology that is responsible for our critical network security services, including firewall, IPS/IDS, Content Filtering, SASE, SSE, ZTNA, VPN, NDR and DDoS. You will work closely with market technology teams, Global Technology Risk Management teams, Global Technology Infrastructure and Operations teams, application owners, key vendors, and others to ensure the proper design, implementation and operations of McDonald’s network security platforms and services.
Design, implement, and operate global network security platforms that supports global, corporate and restaurant network infrastructure and operations.
Configure and handle firewalls, intrusion detection/prevention systems, NAC, VPN, SSE and other security platforms.
Collaborate with Technical Product Managers, architects and managed service partners to innovate and deliver network security and wider NIO outcomes.
Drive automation first approach to platform and configuration deployment. Adopt Infrastructure as code.
Produce test plan, create test cases and perform functional and non-functional testing of network security platforms.
Monitor and predict platform capacity and performance related issue and work with TPM to resolve it before it becomes an issue.
Remain up-to-date on emerging technologies and architecture and propose ways to use them in current and upcoming projects.
Support technical assessments and vendor selection to develop and deploy groundbreaking platforms, spanning beyond traditional technologies.
Maintain comprehensive documentation for platform designs, configurations and configuration standards,, changes, and troubleshooting procedures.
Support the NDR/NSOC function to respond to network security Incidents in a quick and effective manner including development and testing of emergency response plans for network security incidents.
Effectively communicate project health, risks and issues to the program collaborators, sponsors and management teams.
Resolve most conflicts between timeline, budget, and scope independently but intuitively escalate complex or consequential issues to senior management.
Drive continuous service improvements for network security platforms and processes.

Qualifications

Subject matter expert in Network Security Platforms such as Firewalls, NAC, IDS/IPS, VPN., NDR and/or SASE technologies.
Demonstrable experience (7+ Years) with design and deployment of Network Security technologies.
In depth knowledge and experience (7+ years) with one or more of the following
Firewall (Palo Alto, Cisco, Check Point and/or Cloud Native) installation, administration and management.
SASE/SSE solutions such as Zscaler, Cisco, and/or Palo Alto SASE solutions
7+ years' of experience with Network technologies (Switching/Routing)
Strong analytical and troubleshooting skills.
Proficient in leading collaborator expectations and conflict resolution.
Confirmed experience working in an Agile environment with a Scrum Master, Daily Scrum meetings, Backlogs, Sprints and written Stories and deliverables. Familiar with documentation process and tools, JIRA and Confluence preferred.
Track record of successful automation using tools such as Ansible, Terraforms, python etc.
Desirable Skills Experience:
Bachelor's degree or 7 years relevant experience.
Experience with Large Global Networks.
Experience with designing, deploying, and managing NAC solutions.
Experience in driving continuous service and process improvements and translating them into viable solutions.
Knowledge of networking protocols such as OSPF, BGP, VTP, TCP/IP, DNS, DHCP, LAN/WAN, and VPN design.
Experience with network monitoring solutions.
Experienced with Dev/Ops and CI/CD pipeline tools and processes are advantageous.
Experience in leading a 24x7x365 team.
Professional certifications such as CCNP Security, PCNSE, FCNSP, CISSP, or similar

Additional Information

McDonald’s is committed to providing qualified individuals with disabilities reasonable accommodations to perform the essential functions of their jobs. Additionally, if you (or another applicant of whom you are aware) require assistance accessing or reading this job posting or otherwise seek assistance in the application process, please contact mcdhrbenefits@us.mcd.com

McDonald’s provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to sex, sex stereotyping, pregnancy (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), race, color, religion, ancestry or national origin, age, disability status, medical condition, marital status, sexual orientation, gender, gender identity, gender expression, transgender status, protected military or veteran status, citizenship status, genetic information, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Nothing in this job posting or description should be construed as an offer or guarantee of employment."
Network Security Administrator (Security Analyst II),Network Security Administrator (Security Analyst II),"Johnson County, KS Government",May,2024,"A career with Johnson County Government is more than just a job, it is an opportunity to serve a diverse and expanding community in meaningful ways. We challenge ourselves to be a different kind of government because we care deeply about our community and each other. Committed to our shared values, we provide excellent public service, seeking always to improve ourselves and our organization. We offer wonderful benefits, retirement plans, wellness incentives, a great organizational culture, and much more! If you’re searching for something more than just a job, something akin to a calling, then consider the challenge and opportunity of being a member of Johnson County Government!
 Johnson County's Justice Information Management Department is currently recruiting for a Network Security Administrator position.  First review of applications for this position will begin on June 17th, 2024.  Duties include:
Leads projects and executes tasks in order to implement security policies; collaborates with other team members to troubleshoot issues; identifies resources needed and ensures tasks and projects are completed.
Coordinates with other staff on the design, implementation, operation, and maintenance of system and network security controls; recommends changes and enhancements as needed to fulfill security requirements.
Designs and assists in the development, testing, implementation, and maintenance of security software, systems and appliances; performs installation, maintenance and upgrades security for complex systems; examines effectiveness of existing security systems; generates reports and documents processes and procedures.
Analyzes and evaluates system generated security incident reports and information security notices issued by in house systems, information system vendors, and other organizations; advises management on appropriate safeguards for adoption; familiar with protocols, subnetting, routing, switching, encryption and firewalls.
Recommends and evaluates security policies; develops and implements procedures necessary to carry out security policies; monitors software modifications and security controls; researches and recommends new technologies, assists in the transition to operational service; provides recommendations for securing environmental deficiencies through process, technology, and educational change.
 Bachelor’s degree in Information Technology or related field; four (4) years’ experience in information technology; two (2) years’ experience in network security monitoring and administration required.
 Experience can substitute for education.  Education can substitute for experience.
 Candidate must be able to successfully complete background screenings and reference checks. 
 Physical, Environmental, and Special Working Conditions:
All County employees may be called upon to assist other departments/agencies in a declared emergency situation."
Network Security Analyst 1,Network Security Analyst 1,Accroid Inc,February,2024,"Job Description

Candidate should be available to be on-site at Winters office in Austin when requested for an on-site work.

A network security analyst ensures that information systems and computer networks are secure. This includes protecting the company against hackers and cyber-attacks, as well as monitoring network traffic and server logs for activity that seems unusual. Additionally, these analysts are responsible for finding vulnerabilities in the computer networks and creating recommendations for how to minimize these vulnerabilities. The network security analyst investigates security breaches, develops strategies for any security issues that arise, and utilizes the help of firewalls and antivirus software to maintain security.

MUST HAVE

Description

Years Required Description

3 Required Utilize EDR/XDR platforms, including NetWitness, SentinelOne, Microsoft Defender for Endpoint, and related products, to correlate data from various network and security tools across the HHSC network.

3 Required Research, document, and present threat hunting research on cyber threat actors specifically targeting HHSC business operations, information networks, and data.

3 Required Leverage cyber threat hunting frameworks including PEAK, Sqrrl, and TaHiTI, to develop threat hunting hypotheses, determine scope, ensure repeatable processes, define outputs, and measure success in malicious behaviors detected, vulnerabilities discover.

3 Required Employ threat modeling methodologies such as STRIDE, TRIKE, MITRE ATT&CK, and PASTA, to identify potential vulnerabilities, attack vectors, and threat actors specifically targeting HHSC networks, data, and users.

3 Required Develop, maintain, and update HHSC threat hunting program documentation, including policies, SOPs, and playbooks, in accordance with industry, DIR, and HHSC guidelines and documentation standards.

3 Required CTI analyst experience within a security operations center (SOC), providing support to internal cybersecurity Incident Response teams or external cybersecurity engagements on managed security services (MSS) teams in large-scale organizations."
Network Security Administrator,Network Security Administrator,SpaceX,May,2024,"SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars.

NETWORK SECURITY ADMINISTRATOR

SpaceX is looking for a Network Security Administrator with expertise of network security technologies (firewalls, VPNs, IDS/IPS, etc.). This employee will be a member of the Security Engineering team and will focus on Network Security. The ideal candidate will be flexible, excel at multi-tasking, and flourish in a fast-paced and challenging environment. This person should be a self-starter, self-motivator and possess the ingenuity to excel in this position.

Responsibilities

Manage network firewall requests and exceptions
Deploy new security appliances and participate in day-one builds
Work with customers to diagnose network connection issues
Respond to network security alerts and assist in incident response
Utilize Commercial off the Shelf (COTS) and in-house tooling to manage network security appliances
Support Security Operations Center (SOC) to identify security risks or incidents

Basic Qualifications

Associates degree in a STEM discipline and 2+ years of network security experience; or 4+ years of network security experience without a degree
Experience with networking protocols and the OSI model
Understanding of security concepts (i.e. Segmentation, ACLs, Defense-in-Depth, Securing Data-in-Transit)
1+ years experience hardening Windows, MacOS, and/or Linux operating systems

Preferred Skills And Experience

Understanding of network security technologies, their operation and limitations, including:
Firewalls (Palo Alto, Checkpoint and Juniper)
Network IDS/IPS solutions
Network Security Monitoring (NSM)
Switch/router ACLs
Network access control solutions
IPSec and TLS based VPNs
Logging and alerting with SIEMs
Experience with automation tooling
Familiarity with networking protocols and the OSI model
Experience testing and implementing changes in a production environment
Adept at learning new technologies and systems
Strong self-starting and time-management skills
Excellent communication skills, both written and verbal
Additional Requirements

Willingness to work extended hours and weekends as needed

Pay Range

COMPENSATION AND BENEFITS:

Network Security Administrator: $85,000.00-$115,000.00/per year

Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience.

Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year.

Itar Requirements

To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C.
1157, or (iv) Asylee under 8 U.S.C.
1158, or be eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here.

SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.

Applicants wishing to view a copy of SpaceX’s Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should notify the Human Resources Department at (310) 363-6000."
Network Security Engineer Jr,Network Security Engineer Jr,OscarMike,May,2024,"Direct Hire 1099 or W2 only.

The client is not offering subcontracting for this position.

This role is onsite in Irving, TX with a Hybrid WFH option. In office at least 3 days is required.

[10871]

Job Summary:

You will not see any vendor names in the responsibilities listed below. We are more interested in aptitude and attitude than specific OS experience. Let us know your history, but of more interest is your grasp of technical concepts, not specific user interfaces. We want team members who take ownership of issues and drive them to resolution, not simply perform tasks as assigned. You will work with subject matter experts (SME) on behalf of our customers (other business units within the Company), to ensure their projects and deployments succeed with appropriate security posture, on time. You must have a passion for learning new technologies, not simply working with what you already know. You will be provided with the tools to produce your own career success, but you should exercise initiative to seize those resources and create that success. You will be challenged in a fast-paced environment, but success in handling these challenges will not go unnoticed or unrewarded.

Certifications required

Requirements:

Responsibilities:

You will be a member of a team responsible for all aspects of Network Security within 7-Eleven. You are expected to continue developing you professional knowledge of security concepts and apply company policies and procedures to resolve a variety of issues of moderate scope in appropriate ways, in all of the following domains. As an engineer, you will receive general technical direction for all but complex tasks, with more detailed guidance on new assignments:
Firewalls and network filters, in both Enterprise, Stores, and cloud networks
Intrusion Prevention policies
Site-to-site and remote-access VPN connectivity
Network Access Control
Authentication, Authorization and Accounting (to include multi-factor authentication)
Web access proxy servers and URL filtering
DNS Security
Threat research, vulnerability remediation, and creation of compensating controls
Network Security policy creation, exception documentation and approval
Participate with team lead/manager in creating your professional development and training plan.
Prioritize taskings and projects assigned based on importance to accomplishment of business objectives. Seek assistance from senior teammates as needed.
Solve issues of moderate complexity and scope where analysis of situations and data requires a review of a variety of identifiable factors. Exercise judgment within defined procedures and practices to determine appropriate actions.
Work on projects with senior engineers, in effort to advance partnership opportunities between Network Security team and other business areas.
Implement compensating controls and mitigations to identified security risks.
Assist in performing network security platform testing, vulnerability remediation, and operating system hardening to reduce attack surface.
Maintain network security policies, standards, processes and workflows.

Requirements:

Education/Experience

High School/GED (Bachelor’s degree preferred)
3 years of related experience or Bachelor’s in related field

Certification/Licenses

*Must have: At least one entry-level vendor certification in the Networking or Network Security arenas (Palo Alto PCNSA/PCNSE preferred, Cisco CCNA/CCNP (Security preferred), Juniper JNCIA/JNCIS (-SEC preferred), etc.) or one entry-level vendor-neutral certification in the Information Security arena (GICF, GSEC, CISA, CEH, etc.)

Additional Skills: Experience deploying and troubleshooting IPsec VPN tunnels on Palo Alto firewalls is highly desirable."
Network/Security Engineer,Network/Security Engineer,Accroid Inc,May,2024,"The Job Description For The Role Is

Some months in C2C contract, then the resource move to Payroll
Full on-site in Green bay, Wisconsin.
Long-term duration
2 rounds of interview

How long do you need to put someone on the payroll?

And do you charge anything for that process?

I ask why the client should be notified how much time he or she should spend as a freelancer for hiring on the payroll.

Requirements

3-5 years in similar roles
Knowledge of networking and its components (ISO/OSI stack, NAT, DHCP, DNS etc.)
Experience with devices (Firewall, Switch, AP) of the most known Vendors in Enterprise type network infrastructures (e.g.: Cisco, HPE, Fortinet, …)
Knowledge of protocols and security techniques applied to the network (Firewall UTM, NAC, NGFW, IPS/IDS.)
Knowledge of Cloud infrastructures most used at the Enterprise level such as AWS, Azure, Google Cloud"
Network Security Analyst,Network Security Analyst,TØMRERMESTER TRULS STOKKER,December,2023,"Does this describe you?

Organized

Adaptable

Disciplined

Detail-Oriented

If so, let’s talk!!

We are seeking a self-motivated person to join our team as a NETWORK SECURITY ANALYST.

As a Network Security Analyst, you serve as a security expert in implementing, reviewing and maintaining security controls for all company networks, switches and servers. You also provide support for corporate cloud and on-premise infrastructure, administer network resources, diagnose infrastructure issues, deploy and manage updates, and setup new server instances.

Requirements:

A minimum of two (2) years of progressive experience working with and managing on-premise infrastructure and/or cloud infrastructure
Previous experience using issue tracking software, such as JIRA or an equivalent.

Responsibilities/Essential Functions: Other duties may be assigned to meet business needs.

Investigation and remediation of network security incidents
Plan, coordinate, and implement network security measures to protect data and infrastructure
Provisioning and maintaining networks to align with our security policies
Maintain and administer infrastructure environments including systems software, applications software, and all configurations
Configure, monitor, and maintain server-based applications
Monitor the performance of infrastructure and coordinate network access and use
Create and maintain scripts that automate various infrastructure tasks and handle infrastructure orchestration
Collect, receive and analyze network information from various sources and synthesize to communicate results to peers, supervisors, and customers
Confer with staff, users, and management to establish requirements for new systems or modifications
Improves infrastructure by writing and maintaining documentation
Knowledge of relevant software computer applications and equipment
Improves system performance by identifying problems; recommending changes
Refer major hardware or software problems or defective products to vendors or technicians for service
Develop training materials and procedures, or train users in the proper management of cloud infrastructure

Qualifications/ Competencies:

Bachelor’s degree from an accredited college or university in computer science, computer engineering, MIS or related field, preferred.
Related subject area certifications including MCSE, A+, Network+, Server+ and Security+, preferred.
Effective written and verbal communication skills
Strong system and security analysis skills
Knowledge of various infrastructure services and how they interoperate
Ability to write scripts to automate various tasks and orchestrate updates, application deployments, etc
Ability to quickly learn and adapt to innovative technologies being utilized or adopted
Must be sure that all details are complete and their work is exact
Knowledge of customer service principles and practices
Multi-tasking capabilities
Should be a self-starter, able to manage his/her own time

About Funeral Directors Life

Funeral Directors Life, a subsidiary of Directors Investment Group (DIG), offers an award-winning workplace that is truly one-of-a-kind.

Funeral Directors Life is a full-service preneed insurance company. We help funeral directors grow their businesses and serve more families every year. With Funeral Directors Life’s preneed programs, at-need solutions, and marketing services, funeral owners and directors can start saving time, growing their businesses and increasing profitability in a rapidly changing marketplace.

DIG has been recognized with numerous workplace awards, including the prestigious FORTUNE magazine “Best Small & Medium Workplaces” List, the “Best Workplaces in Finance & Insurance” List, the “Best Workplaces for Millennials” List, and the “Best Workplaces in Texas” List. The company is also a winner of the top 100 “Best Companies to Work for in Texas,” published by Texas Monthly.

Based in Abilene, TX, DIG offers a unique corporate culture and benefits that our employees love! Founded on Christian principles of leadership through service, integrity, honesty, and respect, the company is dedicated to serving the funeral profession and helping funeral homes enhance their service to families in a rapidly changing marketplace. In fact, our mission is ""to be known as the best, most-respected provider of service to the funeral industry.""

So, what makes DIG such a great place to work? We apply these same principles to how we treat our employees: offering excellent compensation, a fun, friendly, and supportive work environment, and more benefits and perks than we can mention; including employer-paid health coverage, 401 (k) matching, life insurance, an on-site clinic, a 24-hour fitness center, free fresh fruit and beverages, a corporate university, book studies, and many personal growth opportunities for mind, body, and soul.

An Equal Opportunity Employer

Powered by JazzHR

PutzW21BN6"
Network Security Analyst 1 - 24BLC013,Network Security Analyst 1 - 24BLC013,Five Cubes,February,2024,"Job Title: Network Security Analyst 1

Location: Austin, TX

Duration: Long Term

Job Description

Require the services of one Network Security Analyst meeting the general qualifications of a Network Security Analyst 1 Category Type, Security and the specifications outlined in this solicitation.
This position requires the ability to perform moderately complex (journey-level) cybersecurity analysis work, essential for TDLR to fulfill its mission of service to the citizens of Texas. Work involves protecting cybersecurity assets and delivering cybersecurity incident detection, incident response, threat assessment, cyber intelligence, software security, and vulnerability assessment services.
This position also requires analysis of cybersecurity threat indicators and their behaviors, and research and implement new security risk and threat mitigation strategies, tools, techniques, and solutions for the prevention, detection, containment, and correction of data security breaches; monitoring agency systems, reporting anomalous activity or malicious traffic, and perform cybersecurity incident detection, analysis, and prevention; assist in administration of security tools; and assisting in conducting vulnerability scans of networks and applications to assess effectiveness and identify weaknesses; assist in identifying and evaluating new cybersecurity technologies to identify and remediate vulnerabilities; and providing input on improving network, server, workstation and application security.

Required Skills

Information security analysis work or related IT security work
Graduation from an accredited four-year college or university with major coursework in information technology security, information assurance, computer information systems, computer science, management information systems, or a related field is generally
With a cybersecurity architecture and data flow documentation
With a Vulnerability Management programs
Doing web application security scans/assessments
With custom dashboards and/or configurations of SIEM tools
With patching Windows based computers, using WSUS, SCCM or other tools/patch management programs"
