Position,Company_Name,Location,Post_Month,Post_Year,Details
PMO Analyst,PMO Analyst,Deloitte,May,2024,"Are you a creative thinker who loves to be on the cutting edge, solving problems though innovative technology solutions? Are you passionate about customer strategy, digital design, marketing, and platform development? Our Customer & Marketing Offering Portfolio integrates the differentiated customer and marketing businesses that support the mission-critical goals of federal, state and local government agencies, and higher education institutions. By joining our team, you will play a vital role in making an impact for our clients and the people they serve through our growth strategy, enhanced user experiences, and engagement through the entire lifecycle of customers' interactions with the public sector.

Work you'll do

We are seeking a highly motivated PMO (Project Management Office) Analyst to join our team. The PMO Analyst will play a pivotal role in supporting project management activities, ensuring adherence to processes, facilitating communication, and maintaining project documentation. This position requires a detail-oriented individual with strong analytical skills and a passion for driving project success.

This role supports the PMO activities for a state-wide integrated eligibility determination, benefit computation, benefit delivery, case management and information management system.

Primary Responsibilities:

Collaborate with project manager and stakeholders to establish and maintain project management standards, methodologies, and best practices.
Assist in the development and implementation of project plans, schedules, and deliverable timelines, ensuring alignment with project goals and milestones.
Monitor project progress, track key performance indicators (KPIs), and produce reports for management and stakeholders.
Manage project documentation, including project charters, status reports, risk registers, change control logs, and meeting minutes.
Conduct regular project reviews and audits to ensure compliance with established procedures and identify areas for improvement.
Facilitate communication between project teams, stakeholders, and offshore teams to ensure a shared understanding of project objectives and deliverables.
Support the PMO in analyzing data, identifying trends, and providing insights to optimize project management processes and decision-makin
Assist in the onboarding of new team members, providing training and support on project management tools and
Contribute to continuous improvement initiatives within the PMO by suggesting and implementing enhancements to existing processes.

The team

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Human Services Transformation offering designs and implements large, complex systems development and transformation projects to Human Service agencies across federal, state, and local government agencies as well as higher education institutions. With end-users, customers, and workers at the center, we collaborate with our clients to deliver quality human services and work to support individuals in need. Some areas that we focus on include Children Services, Eligibility & Enrollment, Child Support Enforcement, and Labor & Workforce Development.

Qualifications

Required:

Bachelor's degree required
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future
2+ years of experience in a project management office or related role, preferably with Healthcare or Health and Human Services industry experience
2+ years of experience with project management methodologies (Agile, Waterfall, etc.) and tools (Jira, MS Project, etc.)
2+ years of experience with project documentation, reporting, and data analysis
Ability to travel 20 - 50%, on average, based on the work you do and the clients and industries/sectors you serve.

Preferred:

Excellent organizational, analytical, and problem-solving skills with a keen attention to detail
Effective communication skills with the ability to interact with stakeholders at various levels
Capability to work independently and collaboratively in dynamic environment
Bachelor's degree in Business Administration, Computer Science, Information Technology
Project Management Professional (PMP) certification or equivalent is a plus

The wage range for this role takes into account the wide range of factors that are considered in making compensation decisions including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. At Deloitte, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is $61,000 to $91,000.

Information for applicants with a need for accommodation: https://www2.deloitte.com/us/en/pages/careers/articles/join-deloitte-assistance-for-disabled-applicants.html

HST_CALSAWS24"
PMO Associate ( Project Analyst ),PMO Associate ( Project Analyst ),IT Associates,May,2024,"Project Administrator - IT PMO

THIS IS NOT A PROJECT MANAGER ROLE - the role supports Sr PMs for all the administrative functions in the PMO

12+ month contract with extension or hire in future
100% REMOTE
Client is a multi billion dollar company with a IT PMO with 12-15 Project managers and portfolio managers

REQUIREMENTS
Work Experience
2-3 years experience in a project administrator role or other IT administrator role.
An understanding of project management terminology and practices.
Experience with project management/time reporting tools.
Competencies
Experienced utilizing/configuring a project management/time management tool.
Excellent organizational skills and time-management skills.
Excellent communication skills.
Procedural compliance and appropriate follow-up.
Working knowledge of various Microsoft products (Project 2019 or Online, SharePoint, Excel, Word, PowerPoint, Visio and Power BI).
Need Proficiency in SharePoint (configuring web pages with content, not just being able to upload documents), Project Server (2019 or Online), and managing KPI’s/metrics and creating PMO portfolio performance reporting ( Power BI experience would be good ).
Value-Added Skills
Knowledge of Systems Development Life Cycle (SDLC) and SaaS implementation.


Job duties
Managing resource timesheet submissions across PMO and IT Manager projects every week & responsible for time period closure.
Maintain IT contract and IT contractor information, including on-boarding/off-boarding of project resources.
Leverage eSHIFT to provide reporting on goods receipt deadline for PMO projects, PO liquidation status.
Conduct monthly audits on PMO projects for PDM deliverables and other related project activities.
Maintain monthly forecast sheet for projects and monitor for project variances.
Monitor Power BI resource management dashboard for effective resource management across projects and report on over-allocation of resources.
Provide 'Project Server' support and address issues with 'Project Server' and project plans when needed.
Creating PMO projects financials report(Actuals, Spend type, Period based reports) and assisting the PMO management team on updating project portfolio dashboard.
Co-ordinate changes to CAB calendar and run weekly project delivery review meetings. Circulate agenda prior to the meeting and notes after the meeting.
Creation of project SharePoint site’s when needed and provide administrator support. Customize and maintain PMO SharePoint site."
PMO Analyst,PMO Analyst,Volitiion IIT - Putting Intelligence in IT,May,2024,"Volitiion IIT Inc. is an IT Service and Staffing firm based of Leesburg VA. We have hiring Top Talents to add to our growing team of Technology Professionals.

We are looking for a PMO Analyst to add to our team.

Job Overview

The PMO Analyst collects data and prepares organization-wide project status analysis and reporting on budgets, actuals and forecast cost, the person supports the Program Management Office (PMO) that oversees the program and project control of an organization.
Coordinates efforts to optimize cross-project resources, assists the individual project participants with resources and leads process documentation, workflows, training, and best practices.
In addition, the resources participate in the financial auditing and assessment of completed projects and assist with the development of future project roadmaps.
The PMO Analyst collects data and prepares organization-wide project status analysis and reporting on budgets, actuals and forecast cost, the person supports the Program Management Office (PMO) that oversees the program and project control of an organization.
Coordinates efforts to optimize cross-project resources, assists the individual project participants with resources and leads process documentation, workflows, training, and best practices.
In addition, the resources participate in the financial auditing and assessment of completed projects and assist with the development of future project roadmaps.
Document business process improvement, process mapping and or user guides, to include technical documentation, Workflow, Business process analysis.
Process improvement, documentation review, editing, and document creation, identifies relevant changes for assigned departments based on process changes in other areas of the business, adhere to project timelines created in coordination with team lead and program manager and assigned department leaders and utilize tools such as MS Office tools to include Visio.

4 Reasons To Join Volitiion IIT, Inc.

Our Commitment to You - We offer competitive pay, multi-year projects, and a list of exciting clients.
Work-Life Balance - We work hard; we work smart and have quality time for family and ""life.""
Our Mantra - We treat our consultants the way we want to be treated: with integrity, professionalism, and trust.
Career Development - We help you meet your career goals and continuously support your efforts to build your skillset.

Check out our Referral Program!

Volitiion IIT Inc will pay you up to $1000 for every qualified professional that you refer and we place. If you see a position posted by Volitiion IIT Inc. and know the perfect person for the job, please send us your referral.

Volitiion IIT Inc. is an Equal Opportunity/Affirmative Action Employer."
Program Management Office Analyst,Program Management Office Analyst,Apexon,May,2024,"Company Description:
Apexon is a digital-first technology services firm backed by Goldman Sachs Asset Management and Everstone Capital. We specialize in accelerating business transformation and delivering human centric digital experiences. For over 17 years, Apexon has been meeting customers wherever they are in the digital lifecycle and helping them outperform their competition through speed and innovation.

Skills:
Microsoft Office
PowerPoint
Adobe Acrobat
JIRA
ServiceNow
SharePoint
Agile
SDLC

Experience:
Experience in understanding of the software development lifecycle (SDLC) in detail, or experience in software development or technology project delivery.
Proficient in Microsoft Office (Outlook, Excel, Word, PowerPoint, Project, and Visio).
Experience in working with large organizations/accounts with multiple projects and teams.
Gather, document, and distribute daily project status across teams to ensure timeline and accurate schedule updates.

Education details:
Any bachelor’s degree or relevant experience.

Disclaimer:
If you feel that this is a good match for your skillsets, please submit a current word version of your resume along with a cover letter describing your skills, experience and salary expectations. We are an Equal Opportunity Employer (EOE)."
Remote - PMO Analyst - Project Management Office Analyst - ServiceNow,Remote - PMO Analyst - Project Management Office Analyst - ServiceNow,DTI (Diversified Technology Inc.),May,2024,"DTI has an immediate need for a ServiceNow PMO Analyst for a fulltime position.

Must work on our W2
Consultant must be fine with travel in US and UK

Key Responsibilities:
1. Project Management: Lead and manage ServiceNow projects, ensuring successful delivery within scope, schedule, and budget constraints.
2. Service Portfolio Management (SPM): Utilize your expertise in SPM to design, develop, and implement ServiceNow solutions that align with organizational goals and objectives.
3. Human Resources (HR): Leverage your knowledge of HR processes and ServiceNow HR modules to streamline HR workflows, automate tasks, and enhance employee experience.
4. Requirements Gathering: Collaborate with stakeholders to gather and document business requirements, ensuring alignment with ServiceNow capabilities.
5. Configuration and Customization: Configure and customize ServiceNow applications and modules to meet business needs, leveraging best practices and industry standards.
6. Testing and Quality Assurance: Conduct thorough testing of ServiceNow configurations and customizations to ensure functionality, reliability, and user acceptance.
7. Training and Support: Provide training and support to end-users and stakeholders on ServiceNow functionality, ensuring effective adoption and utilization.
8. Documentation: Prepare and maintain documentation, including project plans, process flows, configuration guides, and user manuals.
9. Change Management: Implement change management processes to manage and communicate changes effectively throughout the organization.
10. Continuous Improvement: Identify opportunities for continuous improvement in ServiceNow processes, applications, and configurations.
Requirements:
• Bachelor's degree in Computer Science, Information Technology, or related field.
• Minimum of 5 years of experience in project management and PMO roles.
• Proven experience with ServiceNow implementation, configuration, and optimization.
• In-depth knowledge of Service Portfolio Management (SPM) and Human Resources (HR) modules within ServiceNow.
• Strong analytical and problem-solving skills.
• Excellent communication and interpersonal skills.
• ServiceNow certifications (e.g., Certified Implementation Specialist) preferred."
Program Management Office Analyst,Program Management Office Analyst,MIGSO-PCUBED,May,2024,"At MIGSO-PCUBED, our mission is to support delivery of our clients’ most important projects and programs. We take pride in delivering world-class project, program and portfolio management expertise and services to clients in every industry. We are specialists in helping businesses to react faster, hit their targets and maximize value within their project environment. In the +30 years that we’ve been in business, we’ve helped some of the world’s largest companies achieve their most complex goals.

Your Next Challenge:
We are looking to welcome an PMO Analyst with a demonstrated desire to grow as a Project Management professional to join our Houston Hub. As a PMO Analyst, you will be responsible for supporting project management activities, maintaining project governance standards, and facilitating effective communication between project teams and stakeholders. You will work closely with project managers, project teams and PMO leadership to ensure projects are executed efficiently and deliver expected outcomes. This role will be your entry point into the MIGSO-PCUBED Project Management Consultant career path.

To learn more about MP Project Management services and solutions in the Houston area, click here: https://www.migso-pcubed.com/united-states/project-management-houston/

As an MP Consultant, you will have the opportunity to:
Work across diverse sectors to manage diverse projects and support programs of work.
Deliver within complex client engagements and aid MP team leadership with client relationship management
Support the engagement lead to build our footprint within a client or multiple clients, while taking advantage of a diverse range of professional development opportunities
Ensure customer satisfaction and and successful delivery of key client initiatives.

Your Responsibilities will include:
Supporting project managers in project planning, tracking project progress, and managing risk.
Maintaining project governance standards and ensuring compliance with formal project management methodologies.
Generating project performance reports, dashboards, and metrics for analysis.
Facilitating communication between project teams, project stakeholders and PMO leadership.
Identifying process improvement opportunities and assist in implementing best practices in Project Management.

Who are you?
You are someone who has at least a Bachelor’s degree in Engineering, Business or Project Management; Master's degrees are preferred. You have significant Project Coordination or Project Management experience and exhibit a baseline understanding of Project Management disciplines, including but not limited to Waterfall and Agile methodologies, scope management, project scheduling, risk management, stakeholder management, and cost management. You are someone with a strong projection to growth in the project management field, and are able to work effectively in a fast-paced, dynamic environment while managing multiple priorities. Proficiency in project management tools such as MS Project, Primavera, Jira is preferred. Project Management Certifications (CAPM, Prince2, PMP, etc.) are a plus!

You must possess strong leadership, communication, problem-solving, and project management skills to successfully execute and support the delivery of projects that contribute to the client's growth and competitiveness. Analytical skills are your strong suit and you have a rigorous attention to detail. You are an excellent communicator, adjusting communication styles based on your audience. You are a quick learner, adaptable and can thrive in new environments. You have experience working within large and complex organizations. You are proactive, confident, and engaging; especially when it comes to collaborating with project stakeholders.

Benefits and Perks:
Comprehensive contributions to medical, dental, and vision for colleagues and dependents
Notable PTO and Paid Holidays
401k with company match
Professional development opportunities and career development roadmapping
Flexible, working schedule

To learn more about MIGSO-PCUBED, a pioneer in Project Management Consulting, visit https://www.migso-pcubed.com/about-us/.

To learn about how MIGSO-PCUBED supports early career development in Project Management, visit: https://www.migso-pcubed.com/join-our-team/your-profile/im-an-early-professional-how-can-you-help-me/

Take the next step in your career as an MP Project Management Consultant! Apply Today!

Equal Opportunity Statement
MIGSO-PCUBED recognizes the civil right of every person to obtain and maintain employment without discrimination. We have a longstanding policy that no individual may be refused a job, discharged, or discriminated against in any way due to any protected characteristics established by local, state and Federal law. In all respects, MIGSO-PCUBED is committed to a policy of full and fair equal employment under the law and applies this in all employment decisions, including recruitment, hiring, compensation, engagement staffing, training, promotion, transfer, and termination."
Business Analyst,Business Analyst,ZARA USA,May,2024,"ZARA IS LOOKING FOR A BUSINESS ANALYST BASED IN NEW YORK.

Started in 1975 in Spain, ZARA today is an internationally known fashion retailer represented in over 88 countries around the world. Our company requires professionalism, imagination, high energy and team spirit. ZARA will give you the means to excel. ZARA will put you into the heart of the action and the heart of its growth.

BUSINESS ANALYST

Based in our NYC Corporate Office (not remote)

Detects opportunities and provides a strategic vision for the future, based on 360° business analysis and generating a collaborative environment focused on a common objective.

KEY RESPONSABILITIES:

Detailed execution of analysis, detection of challenges and opportunities of the business.
Detailed sales analysis (by buyer and subfamily), revision of commercial actions.
Analysis of operational product moves (product flow, product movements).
Monitoring productivities and hours in region, taking into account budget and workload measures.
Monitors productivity in collaboration with the Operations Managers to propose improvements.
Cross-sectional analysis of the business map from a commercial point of view, relying on the operational HR and financial part.
P&L revision and follow up at a store and regional level.
Proactively proposes actions in order to improve profit and control spendings.
Proactivity in the analysis and contribution of valuable synthesized information for business management.
Use of the tools provided by the company and HQ (Store Map, Cuenta Gestion, ITX stock, Money Mapping, Orquest, A3, etc).
Decision making capacity providing clear information to the Regional Managing Director.
Training of the regional teams in new analysis tools, work methodologies, and business visions.
Participation in the implementation and follow-up of projects.
Analyze refurbishments of stores, new store openings and closings.
Follows up on actions agreed upon with all managers.
Is in constant contact with the country's Business Analyst.
Competitor analysis

PERSONAL PROFILE:

Min. 2-years’ experience in Retail (preferably in Commercial or Management role)
Bachelor degree in Finance/Accounting will be a plus
Proficiency in Ms Excel (ideal candidates should be familiar with macros)
Practical knowledge of PowerBi will be a plus
Proficient user of other Microsoft Office programs: Word, PowerPoint...
Ability to execute daily tasks and meet deadlines.
Global Vision- Link between the three key parts of the business, product, operations, and people
A leader, capable of influencing and guiding towards the objective goal
Analytical Capacity - Structured and organized
Strategy- Anticipate with wide-ranging strategic projects in the medium and long term.
Proactive- Critical spirit with its own concerns, proposing new ideas for improvement
Good communications skills
Understanding of the retail market in the country


Annual compensation range: $103,000 - $111,500 + discretionary annual bonus


* Zara, in good faith, believes that this posted rate of compensation is the accurate range for this role at this location at the time of this posting. This range may be modified in the future. Actual compensation within that range will be dependent upon the individual’s skills, experience, qualifications, and applicable laws.

Our company requires professionalism, imagination, high energy and team spirit. Sounds like you? THEN, APPLY NOW ONLINE TODAY!

Zara USA, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, gender, gender identity and expression, sex, sexual orientation, disability, age, citizenship status, veteran status or any other characteristic protected by applicable federal, state or local laws.

JOIN US NOW!

EOE/DFW"
PMO Analyst,PMO Analyst,Nakupuna Companies,May,2024,"Overview

Na Ali'i is looking for a PMO Analyst to provide support to the Nakupuna Enterprise Project Management Office. The successful candidate will work closely with the PMO Manager to continue developing training programs, providing administrative support, capturing user needs, and maintaining PMO resources, tools, and documents.

Responsibilities

The following reflects management’s definition of essential functions for this job but does not restrict the tasks that may be assigned. Management may assign additional duties and responsibilities to this job at any time due to reasonable accommodation or other reasons.

Provide Administrative and Coordination support to PMO Manager
Assist in the development of PMO training materials.
Create and sustain training materials based on inputs from stakeholders
Develop user training schedules
Conduct end-user training
Assist in ISO Compliance efforts.
Assist in Reporting and Compliance.
Support PMO Communication and Events.
Training materials, guides, and course manuals must be organized or obtained, and revised to accommodate updates or changes within PMO software tools and platforms.
Perform other duties as required.

Qualifications

Must have demonstrated ability and willingness to meet the Position Description requirements. Additional required skills include:

Experience managing multiple tasks at one time.
Experience liaising with various stakeholders to coordinate activities, support tasking, and solve problems.
Organizational training background is highly desired.
Outstanding verbal and written communication skills.
Excellent organizational skills and attention to detail.
Excellent time management skills with a proven ability to meet deadlines.
Strong analytical and problem-solving skills.
Proficient in Microsoft Office Suite, including Word, PowerPoint, and Excel.
Ability to work under pressure and adapt quickly in a changing environment.
Willingness to take action to overcome challenges or obstacles and look for ways to improve results.
Knowledgeable in SharePoint administration.

Education and Experience: This position requires a Bachelor’s degree or equivalent working experience of 4 years.

Desired Certifications: Training or Teaching Certifications.

Physical Requirements: In addition to the skills and qualifications mentioned above, candidates must, at a minimum, be able to meet the following physical requirements.

Ability to lift up to 25 pounds
Ability to use stairs without assistance
Ability to perform repetitive motions with the hands, wrists, and fingers
Ability to engage in and follow audible communications in emergency situations
Ability to sit for prolonged periods at a desk and working on a computer
Ability to stand, sit, walk, lift, carry, reach, kneel, crouch, bend and climb a step stool/ladder"
PMO Analyst,PMO Analyst,DTI (Diversified Technology Inc.),May,2024,"Who We Are

Founded in 2007, DTI (Diversified Technology, Inc.) is a successful African American owned IT Consulting/Staffing firm based in Chicago's Loop.

What We Do

We focus on providing delivery, staffing, and supported services such as enterprise integration/implementations including, but not limited to, CRM, EAM, ERP, PMO, and QA. We service clients in SLED (state/local gov't & education), financial services, fortune, public utility, as well as regularly partnering with Big 4 SI partners.

Are you a PMO Analyst with experience managing large project plans including integrated project plans looking for your next opportunity? If so, we want to speak to you! DTI has an immediate need for a PMO Analyst for a 1yr+ hybrid opportunity in New York.

Must work on our W2

Client requests the services and expertise of a full-time dedicated and experienced project manager to act as a FTE to ensure that all required processes and tasks are implemented and executed correctly and on schedule. The main areas of focus will be the creation and management of an integrated project plan and overall project schedule. This function will be responsible for creating and maintaining the project plans through Stage 2 (pilot design) with an extension through Stage 3 (pilot construction) of the pilot projects.

Skills

"" Strong experience in Microsoft Project (or similar software).

"" Very good communication skills with ability to host and manage progress meetings.

"" Good organizational skills.

"" Experience in creating and managing large project plans, including integrated project plans."
PMO Analyst,PMO Analyst,Blue Star Partners,December,2023,"Job Title: PMO Analyst

Time Period: November 2023 – June 2025

Location: Hybrid, with requirement to be onsite twice a week in Columbus, OH or Merrillville, IN

Pay Rate: $100 per hour

Scope of Services: As a PMO Analyst, you will be a key player in supporting the Project Management Office (PMO) by providing analytical and administrative assistance to ensure the effective delivery of projects. Your responsibilities include data analysis, reporting, and assisting in the implementation of project management processes.

Role, Responsibilities, And Deliverables

Data Analysis:
Collect, analyze, and interpret project data to provide insights into project performance.
Prepare reports and dashboards to communicate key project metrics.
Documentation and Reporting:
Maintain project documentation, ensuring accuracy and completeness.
Generate regular project status reports for internal and external stakeholders.
Process Support:
Assist in the development and improvement of project management processes.
Ensure adherence to established project management methodologies.
Resource Management:
Support resource managers in tracking and allocating resources for projects.
Contribute to resource forecasting and planning.
Risk and Issue Tracking:
Maintain a register of project risks and issues.
Collaborate with project managers to develop and implement risk mitigation strategies.
Meeting Coordination:
Schedule and coordinate project meetings, including preparation of agendas and minutes.
Follow up on action items to ensure timely resolution.
Quality Assurance:
Conduct audits to ensure compliance with project management processes.
Contribute to the identification and implementation of quality improvement initiatives.

Qualifications

Bachelor's degree in Business, Project Management, or a related field.
Proven experience (X years) in a project support or analyst role.
Familiarity with project management methodologies (PMP, PRINCE2).
Strong analytical and problem-solving skills.
Proficiency in project management tools and software.
Excellent communication and interpersonal skills.
Detail-oriented with a commitment to accuracy.
Ability to work collaboratively in a team-oriented environment."
