Position,Company_Name,Location,Post_Month,Post_Year,Details
Junior Penetration Tester (US),Junior Penetration Tester (US),BreachLock Inc,March,2024,"BreachLock is looking for a US based Penetration Testing talent with programming skills. We have multiple positions open for passionate bug bounty hunters or penetration testers that also like developing security tools using python or other technologies.

Who are we?

BreachLock is an Innovative Cybersecurity Company deploying new age technology to make Cyberspace a safe place for everyone.

Recognized by Gartner as a key Cybersecurity Innovator 3 years in a row, BreachLock is a high growth Scaleup with Offices in the US, Europe, UK and India.

At BreachLock we take pride in a High-Performance Culture and are looking for talent with a growth mindset.

We are an equal opportunity workplace and our multinational team consists of people with more than 10 nationalities and 20 ethnicities.

Organization Details:

https://www.breachlock.com/

https://www.linkedin.com/company/breachlock/

Leadership Team:

https://www.breachlock.com/about/leadership/

Media Coverage:

Meet the BreachLockers:

https://www.youtube.com/watch?v=asewHeTvJoQ&list=PLDnjJvaOd9VFsMCLiTgxUL95LvRf_ESJE&index=14

Rueters BreachLock - Making Cyberspace a safer place:

https://youtu.be/OCe63fIlI-4?si=k0wmetVzzSREMr6a

Cybercrime magazine - CEO and Founder, Seemant Sehgal, explains his vision for BreachLock:

https://www.youtube.com/watch?v=jvV4vUGV0NA

Seemant Sehgal, BreachLock CEO & Founder interview aired on RT4 and RTLZ:

https://www.youtube.com/watch?v=8E1rvzV1XX0&t=6s

Some of our achievements include:

Featured in Gartner HypeCycleas top 8 PTaaS Vendor Globally
One of the fastest-growing SaaS companies in Cyber Security
HOT 150 Cybersecurity companies 2021 - Cybersecurity Ventures
Cyber Security Innovator for Analysis and Testing category 2019 - SC Magazine
Top 10 Vulnerability Management Solution for 2019 - Enterprise Security Magazine
Most promising Cyber Security startup 2019 - CIO Review
Cyber Security Innovator for the year 2019 - Mirror Review
Top 10 Vulnerability Assessment vendor in Gartner Peerinsight


Requirements

What we are looking for:

You love Penetration Testing - Web Applications / Network / Cloud / API/ Mobile apps
You want to work with global leaders in Cyber Security
Have track record that proves you have invested time in research and learning about security via: Writing blogs, articles, research papers,Bug bounty
Programming projects for own or published research
Attended training related to Cyber Security
Preference to candidates that have developed projects using python, AI, Machine Learning
You are based in the US and can work without additional sponsorship/VISA


Benefits

Opportunity to join and grow in a passionate, rapidly expanding industry
Competitive compensation
Ability to work remotely
Equity plan possibilities based on performance
Flexible work hours
You will be working alongside international experts
Strong career prospects in an early-stage startup"
"Penetration Tester Skill, Level 3 (2023-0202)","Penetration Tester Skill, Level 3 (2023-0202)",Acclaim Technical Services,December,2023,"Acclaim Technical Services, founded in 2000, is a leading language and intelligence services company supporting a wide range of U.S. Federal agencies. We are an Employee Stock Ownership Plan (ESOP) company, which is uncommon within our business sector. We see this as a significant strength, and it shows: ATS is consistently ranked as a top workplace among DC area firms and continues to grow.

The Penetration Tester will:

Will serve as a Subject Matter Expert providing testing expertise of the Risk Management Framework. Direct and/or participate in the testing phase of security controls assessments using specialized knowledge of network protocols, operating systems, architectures, equipment, services, and standards.

Perform vulnerability and penetration testing using a wide variety of tools; Research and evaluate emerging technologies relevant to information systems security; interpret agency specific and federal security regulations; Perform both network and application-level testing using established testing protocols and methods.

Requirements:

Eight years of related work experience as a Penetration Tester performing both network and application-level testing using established test protocols and methods. A Bachelor’s degree in Computer Science or Information Technology Engineering. In lieu of a Bachelor’s degree, four additional years of Penetration Testing experience maybe substituted.

Equal Employment Opportunity / Affirmative Action

ATS is committed to a program of equal employment opportunity without regard to race, color, ethnicity, national origin, ancestry, citizenship, sex, pregnancy, marital status, sexual orientation, gender identity, age, religion/creed, hairstyles and hair textures, handicap/disability, genetic information/history, military/veteran status, or any other characteristic or condition protected by federal, state or local law. It is the policy of ATS not merely to refrain from employment discrimination as required by the various federal, state, and local enactments, but to take positive affirmative action to realize for women, people of color, individuals with disabilities and protected veterans full equal employment opportunity. We support the employment and advancement in employment of individuals with disabilities and of protected veterans, and we treat qualified individuals without discrimination on the basis of their physical or mental disability or veteran status.

Equal Employment Opportunity / Affirmative Action

ATS is committed to a program of equal employment opportunity without regard to race, color, ethnicity, national origin, ancestry, citizenship, sex, pregnancy, marital status, sexual orientation, gender identity, age, religion/creed, hairstyles and hair textures, handicap/disability, genetic information/history, military/veteran status, or any other characteristic or condition protected by federal, state or local law. It is the policy of ATS not merely to refrain from employment discrimination as required by the various federal, state, and local enactments, but to take positive affirmative action to realize for women, people of color, individuals with disabilities and protected veterans full equal employment opportunity. We support the employment and advancement in employment of individuals with disabilities and of protected veterans, and we treat qualified individuals without discrimination on the basis of their physical or mental disability or veteran status.

Powered by JazzHR

EgjMveQ2JD"
SOC Analyst I,SOC Analyst I,Team Remotely Inc,May,2024,"This is a remote position.

SOC Analyst I (1 year experience, remote)

Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.

Hiring Type: Full-Time

Base Salary: $59K-$69K Per Annum.

Responsibilities

The SOC Analyst (Level 1) is responsible for:

Initial triage of security events using established procedures, tools, and monitoring platforms including, but not limited to:
Firewalls and network devices
Servers and workstations
Web proxies
Intrusion detection and prevention systems (IDS/IPS)
Anti-malware systems
Security Incident and Event Management systems (SIEM)
Data Loss Prevention systems (DLP)
Advanced Endpoint Detection and Response systems (EDR)
External communications from outside entities, users, phone calls, and emails.
Assist senior members of the SOC with analyzing and responding to potential security incidents
Maintain situational awareness of emerging cyber trends by reviewing open-source reports for recent vulnerabilities, malware, and other threats that have the potential to impact our client organizations.
Document threat campaign(s) techniques, lateral movements and extract indicators of compromise (IOCs).
Manage the Security monitoring tools, and set up dashboards and alerts.
Develop and maintain technical documentation and Standard Operating Procedures (SOP).
Conduct security research and intelligence gathering on emerging threats and exploits.
Participate in shift transition calls to ensure all open cases and tasks are properly managed and addressed.
Periodic reporting of metrics and corresponding analysis for client review and strategic information security program adjustments and planning.
Maintenance and management of various security technology platforms.

Qualifications

Highly motivated to work in information security
Candidate must be a US citizen / permanent resident.
Customer-oriented & professional.
Strong verbal and written communication skills, fluent in English.
Ability to understand and correlate data from multiple sources, not limited to user authentication events, windows security event logs, Syslog, NetFlow/PCAP data, DHCP logs, DNS logs, intrusion detection alerts, proxy logs, packet captures, and firewall events.
Knowledge of various security methodologies and processes, and technical security solutions a plus.
Understanding how both Windows, Linux, and network platforms are compromised is a plus.
Experience as a Security/Network Administrator or equivalent knowledge. Previous Security Operations Center (SOC) experience is a plus.
Experience with Security Information and Event Management (SIEM) tools is a plus.
Regular expression creation experience to support dynamic security event analysis.
Solid understanding of IP networking fundamentals, including IPv4, TCP/IP, LAN/WAN design theory, static and dynamic routing protocols, NAT, ACLs, etc.
Solid Understanding of TCP/IP, the OSI Model, and underlying Protocols.
Scripting language skills in Python or PowerShell are a plus.
Understanding of cyber forensics concepts including malware, hunt, etc. a plus.
Understanding how to interpret vulnerability and penetration scan results is a plus.
Configuration and knowledge of design and implementation concepts of firewall, VPN, IPS, vulnerability management platforms, and other security technologies is desirable
Bachelor’s degree in Information Technology or equivalent experience preferred; background will be considered instead of formal education.
Competency with Microsoft Operating Systems, including server and workstation and AD engineering and administration capabilities, is desirable
Basic knowledge of Linux operating systems (command line and GUI) is a plus
Expected to stay current on security industry trends, new threats and attack techniques, mitigation techniques, and emerging security technologies"
SOC Security Analyst - Level 1,SOC Security Analyst - Level 1,Coretek,April,2024,"Join a highly skilled and motivated team of Cyber Security Professionals tasked with protecting Coretek and its customers. The Cyber Security Analyst level 1 is an entry level role that is primarily focused on responding to alerts, setting up cases for escalation, and triage. Analysts will leverage Microsoft Sentinel as well as, cyber case management and supplementary tools to investigate, contain, and remediate cyber security incidents. The Cyber Security Analyst must have a drive to learn and grow as the industry changes and Coretek adapts rapidly.

Coretek understands that a candidate may not possess all the skills required of a Security Analyst for the unique service provider space and will educate and grow the right candidate. At Coretek the desire to learn and work with in a team is a requirement of the position. Skills in other disciplines are always welcome and shows a candidate's ability to adapt. Those with formal education are welcomed as well as those that are self-taught. Structured training as well as on the job experience is a required part of the job to bring security professionals up to speed for the complex requirements and fast paced environment of a service provider. Security Analysts must have a drive to learn and grow as the industry changes and Coretek adapts.

ESSENTIAL FUNCTIONS:

Respond to alerts and validate findings
Escalate security incidents incident response teams for investigation / remediation
Support Incident Response investigations for Coretek and Coretek customers
Learn to perform analysis of logs and alerts
Coordinate with appropriate teams to provide incident handling and response support
Learn to use and improve incident response procedures & runbooks
Handle security incident escalation via Cyber Case Management tools, SIEM, ITSM, email, phone, or walk-up


Requirements

MINIMUM QUALIFICATIONS:

Knowledge of incident response, investigation, system forensics, or related cyber security education / self-learning
Familiarity with Windows and Linux operating systems including command line operation
Possess a foundation in networking fundamentals and TCP/IP
Knowledge of common network-based services and common client/server applications
Excellent verbal/written communication, interpersonal and organizational skills
Communicate effectively with varied levels of staff to develop positive working relationships
Excellent problem-solving skills to diagnose technical issues
Manage customer situations professionally to aid in positive customer satisfaction
Ability to learn new technology and concepts quickly
Ability to work on a shift or on-call rotation if needed
Formal education or certifications in incident response, forensics, cyber security case management, IT technology, networking, or related topics
Experience working on a security operations team
Experience reviewing and analyzing log data from various network and security devices
Experience with well-known information security related tools for packet capture, network/OS fingerprinting, and communication
Practical understanding of exploits, vulnerabilities, computer network intrusions, adversary tactics, exfiltration techniques and common knowledge
Experience with enterprise SIEM products
Experience with ITSM, SOAR, or Cyber Case Management Tools
Scripting with Python, Perl, Bash and/or PowerShell a plus
Database structures and queries, Regular Expressions a plus
Experience acquiring and analyzing data from clients and servers related to security incident response
Digital Forensic or Threat Intelligence work


PREFERRED QUALIFICATIONS:

Formal education or certifications in incident response, forensics, cyber security case management, IT technology, networking, or related topics
Experience working on a security operations team
Experience reviewing and analyzing log data from various network and security devices
Experience with well-known information security related tools for packet capture, network/OS fingerprinting, and communication
Practical understanding of exploits, vulnerabilities, computer network intrusions, adversary tactics, exfiltration techniques and common knowledge
Experience with enterprise SIEM products
Experience with ITSM, SOAR, or Cyber Case Management Tools
Scripting with Python, Perl, Bash and/or PowerShell a plus
Database structures and queries, Regular Expressions a plus
Experience acquiring and analyzing data from clients and servers related to security incident response
Digital Forensic or Threat Intelligence work


EDUCATION and TRAINING:

Degree in technology, cyber security, criminal justice/forensics, or equivalent work experience
Security related certifications desired"
Penetration Tester,Penetration Tester,Smart Gauge Staffing LLC,May,2024,"W2 Only No C2C
US Citizen,Greencard Holder,TN Visa,GC EAD,H4-EAD
Penetration Tester
Location: 2600 South Price Road Chandler Arizona 85286 United States (need nearby candidates within 50 to 60 miles from client location)
Work Arrangement : hybrid ( 3 days office 3 days remote)
Job Description
4+ years of Information Security Engineering experience, or equivalent demonstrated through one or a combination of the following: work or consulting experience, training, military experience, education.
JD:
5+ years of experience in penetrations testing"
Penetration Tester,Penetration Tester,SandTech Solutions,May,2024,"Cloud Security Penetration Tester

Job Summary

At SandTech Solutions we are committed to “Enabling Success” of our client’s missions. As such, we are searching for a highly skilled and motivated person who has:

Minimum Clearance Required

Active DOD Top Secret Clearance

Education/Certification Requirements

Bachelor's degree in Computer Science, Cybersecurity, or a related field (or equivalent experience).
CompTIA Security+ or equivalent IAT Level II certification.
Certification in ethical hacking, penetration testing, or related field (e.g., CEH, OSCP, OSWE)
Experience with containerization technologies such as Docker and Kubernetes

Work Experience & Skill Requirements

AWS Experience: Demonstrated hands-on experience with AWS services, including but not limited to EC2, S3, IAM, VPC, and AWS Security services.
Kubernetes Experience: Proficiency in Kubernetes, including deployment, configuration, and security best practices.
Threat Intelligence: Strong understanding of threat intelligence sources and techniques.
Security Frameworks: Familiarity with security frameworks and standards (e.g., NIST, CIS).
Analytical Skills: Strong analytical and problem-solving skills, with the ability to think critically in high-pressure situations.
Communication Skills: Excellent written and verbal communication skills, including the ability to convey technical information to non-technical stakeholders.
Team Player: Collaborative mindset with the ability to work effectively within cross-functional teams.
Experience with scripting languages such as Python, Bash, or PowerShell
Familiarity with security tools such as Nmap, Metasploit, Nessus, and Burp Suite
Ability to identify and prioritize security risks and vulnerabilities
Excellent written and verbal communication skills
Strong problem-solving skills and attention to detail
Ability to work independently and as part of a team

Primary Responsibilities

Conduct security assessments, vulnerability scans, and penetration tests on our Kubernetes and AWS cloud environment
Identify and prioritize security risks and vulnerabilities
Work closely with DevOps team to implement security measures and remediate vulnerabilities
Develop and maintain testing scripts and tools
Stay up-to-date with the latest security threats, vulnerabilities, and best practices
Provide recommendations for improving the security of our Kubernetes and AWS cloud environment
Prepare and present reports to management and stakeholders on the results of security assessments and penetration tests
Threat Detection and Analysis: Monitor security events and alerts to identify and analyze potential threats and vulnerabilities.
Incident Response: Collaborate with incident response teams to investigate and respond to security incidents effectively.
Security Assessment: Conduct security assessments of AWS environments and Kubernetes clusters to identify and address weaknesses.
Vulnerability Management: Manage and remediate vulnerabilities in cloud and containerized environments.
Security Best Practices: Stay up-to-date with security best practices for AWS and Kubernetes and ensure their implementation.
Threat Intelligence: Continuously gather and analyze threat intelligence to proactively identify emerging threats and vulnerabilities.
Policy Compliance: Ensure compliance with security policies, procedures, and standards, and recommend improvements when necessary.
Security Awareness: Assist in the development and delivery of cybersecurity training and awareness programs.

Physical Requirements

Prolonged periods of sitting at a desk and working on a computer.
Must be able to lift up to 15 pounds at times.

AAP/EEO Statement

It is the policy of SandTech Solutions to provide an equal employment opportunity for all applicants and employees. The Company does not unlawfully discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, national origin, ancestry, age, medical condition, disability, workers’ compensation status, or veteran status.

Job Information Summary

Location: San Antonio, TX - HYBRID

Job Type: 40 hours per week

At SandTech, our employees enjoy benefits to support their physical, financial, and emotional wellness. These benefits include comprehensive medical, dental and vision plans, 401(k), life insurance, paid time off program with paid holidays and various wellness programs. Additionally, our career path planning assists employees with their professional goals."
Penetration Tester Associate,Penetration Tester Associate,Securin Inc.,May,2024,"Consider joining a leading provider of Tech-enabled cybersecurity solutions in Albuquerque, NM!

Securin Inc. has been a leader in the cybersecurity services industry. We have continuously improved the security posture of our customers against evolving and emerging cyber threats through our services in vulnerability management, penetration testing, cloud security and a wide range of cybersecurity products.

Headquartered in Albuquerque, Securin has grown to a staff of 250 technology professionals located throughout the US and India. We deliver solutions effectively by combining human intelligence and automation while providing its customers with full coverage, extensive support, and guided remediation, helping them improve their security posture.

At Securin we live by a people-first approach and we firmly believe that our employees should enjoy what they do. We provide a hybrid work environment with a competitive best in industry pay, providing an inclusive environment to learn, thrive, and grow. For the right candidate, this will feel like your second home!

Please note that a relocation package will be available to successful hires.

To learn more about us, please visit our website: https://securin.io

Job Summary

This position exposes a candidate to the best of both worlds - Penetration Testing as well Developing Prototype tools to assist in the testing phase. This position includes research and prototype development of automated cyber security testing and security data analytics tools used in the assessment of enterprise network segments and web applications. The selected candidate will also participate in cyber security penetration testing engagements in order to establish subject matter expertise.

Qualifications

Minimum qualifications

Bachelor's Degree in Computer Science or similar
Minimum of 1 year experience in Cyber Security
Experienced with programming/scripting languages (e.g.: Python, Rust)
Demonstrated experience in prototype development of automated cyber security testing
Experience in security data analytics tools

Preferred qualifications:

GIAC, OSCP, CEH, CompTIA Pentest+, or any equivalent security certifications would be an added advantage
Awareness about tools like Acunetix, Netsparker, Burp Suite, SQL Map, Nessus, Qualys, Nexpose, Nmap, Metasploit, etc

Duties And Responsibilities

Performs network, application, and device penetration testing, incident response, threat modeling, and source code review for customers
Supports the team and lead analyst in custom penetration test projects as required
Assists in client calls to scope complex engagements
Participates in required client communication, kick-off calls, data analysis, and findings presentation both remotely and in person
Assists developers and server administrators on coding best practices, secure configurations, and remediation best practices
Provides assistance to penetration test team for debugging, exploitation and vulnerability analysis
Contributes to the design of penetration test report deliverables, constantly evaluating effectiveness of report outline
Helps innovate and develop technology penetration testing
Supports infrastructure maintenance for penetration testing team
Assists in automation tools and vulnerability scanner

Working conditions

Work is generally conducted indoors, typically during regular business hours, Monday through Friday, unless emergent IT crises occur during weekend or evening hours.

Physical Requirements

Stand, sit, or kneel for extended periods of time. Lift heavy objects on a regular basis. Do repetitive tasks with few breaks. Resolve emergent crises on an immediate and ongoing basis.

Access is granted based on job classification, job function and business need, and according to the principle of ‘least privilege'

All applicants applying for U.S. job openings must be authorized to work in the United States. Equal Opportunity Employer M/F/Disabled/Vet.

Powered by JazzHR

jLC0p78iZa"
Pentester,Pentester,Axtel,April,2024,"En Axtel nos reinventamos, nos transformamos y nos adaptamos a través de nuestra pasión: La innovación.

Somos la suma del talento y esfuerzo de la gente que integra nuestra organización , nos diferenciamos por ofrecer un servicio al cliente que supera sus expectativas a través de su satisfacción permanente, y eso nos hace la empresa mexicana líder en ofrecer soluciones de Tecnologías de Información y Comunicaciones a la cuál tú puedes pertenecer.

Queremos integrar a nuestro equipo a un

PENTESTER

Lo Que Realizarás

Responsable del análisis de vulnerabilidades y pruebas de penetración en las diversas plataformas , así como la detección de debilidades y creación de planes de mejora.
Deberá investigar y emitir recomendaciones constantes sobre nuevas vulnerabilidades descubiertas, así mismo, sugerir como mitigarlas y el cómo es que son explotadas. ?

Experiencia Requerida

3- 5 años de experiencia realizando pruebas de penetración
Conocimiento en Ethical Hacking
Certificaciones vigentes - CEH ó GPEN
Kali Linux

Te ofrecemos

Contrato directo
Esquema 100% nominal
Prestaciones superiores a las de ley.,
Excelentes beneficios para tu salud y bienestar, tu economía y balance con tu vida, te están esperando para que disfrutes de ellos a cambio de tu contribución. intermedio- técnico.
En Axtel promovemos y vivimos la igualdad laboral. Por ello, evaluamos competencias laborales sin distinción de género, preferencia sexual, raza, edad, estatus y religión, así como de personas con discapacidades, para TODAS nuestras vacantes.
Servicios Axtel NO realiza ningún cobro a los candidatos por ningún trámite del proceso de reclutamiento, selección y/o contratación.

Al participar en nuestros procesos de selección apruebas el tratamiento de datos que se describe en el Aviso de Privacidad en nuestra página. Te invitamos a consultarlo."
Penetration Tester,Penetration Tester,Fusion Technology LLC,December,2023,"Who are you?

Trusted Employee: The Government trusts you and so do we. You possess an active Public Trust security clearance (Or are able to obtain a Public Trust clearance). You must also be able to obtain Department of Homeland Security (DHS) suitability.

U.S. citizenship is a requirement for this position.

Knowledgeable: You are a seasoned professional at conducting Penetration Tests on networks and IT enterprises.

What we do:

The U.S. Department of Homeland Security (DHS) Science & Technology Directorate (S&T) Office of the Chief Information Officer (OCIO) focuses on providing the tools, technologies, and knowledge products for the nation’s Homeland Security Enterprise. S&T strives to enable effective, efficient, and secure operations across all homeland security missions by applying scientific, engineering, analytics, and innovative approaches to deliver timely solutions in support of DHS's mission.

What you’ll do:

Some of the services you will provide will include the following:

Interface and coordinate with system stakeholders in efforts to establish rules of engagement, the system’s targets of evaluation, timely test schedules, test goals,
Help identify and resolve security vulnerabilities affecting the digital assets and computer networks associated within DHS’s enterprise
Conduct vulnerability assessments and penetration testing for all IT systems, with the assessment/testing level to be based on each system’s status within the security assessment and authorization cycle and authority to operate status
Proficient at conducting network and software vulnerability assessments and performing effective penetration testing techniques for systems residing within a hybrid multi-cloud enterprise Analyze systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses
Produce well organized reports and present all security issues that are found to the system owner with an assessment of their impact, associated risks, and a recommendation for remediation or mitigating technical solutions
Familiar with service level agreement practices requiring detailed responses regarding vulnerability issues and remediation recommendations within 5 calendar days of occurrence
Provide penetration testing and ethical hacking services in network, wireless and web application environments; these shall include Social Engineering (including but not limited to the ability to perform Phishing and Spear Phishing); these services should be performed following a documented and standardized methodology
Organize and facilitate activities that will clearly identify and document system vulnerabilities as well as help design and communicate effective improvement strategies
Stay current on enterprise related attacking trends and vectors and stay up to date on specific penetration tools and methods used to identify and remediate threats
Experience performing source code analysis in collaboration with development teams in efforts to establish and refine secure coding practices a huge plus

Who is Fusion Technology?

Fusion Technology is a performance-driven HUBZone Small Business concern residing in the heart of the beautiful mountainsides of West Virginia, steps away from the Federal Bureau of Investigation's Criminal Justice Information Services Division's Headquarters. Founded in 2007 by an Engineer-by-trade, Fusion Technology dedicates our valuable resources to providing comprehensive IT services and solutions to mission-critical US Government programs and the Intel Community.

What Matters To You Matters To Us.

Fusion Technology values its employees and works hard to ensure proper care for them and their families. We desire to compensate employees in a competitive, motivational, fair, and equitable way with other employers in the marketplace. Salary is only one component of employee compensation but an integral part of recruiting and retaining qualified employees. However, at Fusion Technology, we take a comprehensive approach and consider each employee's needs to tailor a compensation plan that provides financial security and peace of mind. Our competitive package includes a best-in-class matching 401K program, comprehensive Cigna healthcare plan, a competitive employer contribution to a health savings account, vision and dental plans, life insurance, short- and long-term disability, and personal leave, in addition to paid certifications and training.

Fusion Technology LLC is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills, and experiences within our workforce. Qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.

Powered by JazzHR

aW0EIcv3w9"
Cybersecurity Analyst,Cybersecurity Analyst,HatchPros,May,2024,"Video

Remote

No H1

BS or MA in Business, Computer Science, Information Security, or a related field
[2+] years of work experience in information security, especially in an information senior cybersecurity risk role
[2+] years of experience in managing risk and compliance issues, or similar experience managing applications, projects or systems that require identification, evaluation, and remediation of risk
Technical background or demonstrable understanding of a range of operational and IT risks and operations
Strong business background; experience gathering and interpreting risks and associated impacts in the context of financial and operational concerns
Strong understanding of complex vendor risk-related issues through demonstrated experience managing vendor relationships, information security or regulatory compliance programs, and audits
[4+] years of experience with regulatory compliance and information security management frameworks (e.g., International Organization for Standardization [IS0] 27000, COBIT, National Institute of Standards and Technology [NIST] 800)

Desired, But Not Required

Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM), and/or Certified Information Systems Auditor (CISA)

Knowledge And Skills

Ability to define risk statement, identify and assess the likelihood/frequency and potential impact of risks. Understand how to characterize the significance of issues/ findings based on how they affect the likelihood and impact of associated risks.
Ability to apply original and innovative thinking to produce new ideas. Sound understanding of different factors that make up risk (e.g., assets, vulnerabilities, controls, threats, etc.) and their relationships to one another to inform risk decisions
Communicate risk assessment findings to risk owners outside the cybersecurity program in a way that consistently drives objective, fact-based decisions about risk that optimize the trade-off between risk mitigation and business performance.
An understanding of organizational mission, values, goals, and consistent application of this knowledge.
An ability to work on several tasks simultaneously and pay attention to sources of information from inside and outside one’s network within an organization.
An ability to apply original and innovative thinking to produce new ideas. Sound understanding of different factors that make up risk and their relationships to one another to inform risk decisions
An understanding of business needs and commitment to delivering high-quality, prompt and efficient service to the business.
An ability to effectively influence others to modify their opinions, plans or behaviors.
Excellent prioritization capabilities, with an aptitude for breaking down work into manageable parts, effectively assessing the priority and time required to complete each part.
Strong decision-making capabilities, with a proven ability to weigh the relative costs and benefits of potential actions and identify the most appropriate one.

Strong problem-solving and troubleshooting skills."
