Position,Company_Name,Location,Post_Month,Post_Year,Details
"Project Manager, Team Lead","Project Manager, Team Lead",Sand Cherry,May,2024,"Company Profile

At Sand Cherry Associates, we excel in the design and delivery of strategic customer-centric initiatives through digitally native, data-empowered solutions. Our client's confidence in us is centered on exceptionally skilled, high-energy talent working with the support of the full Sand Cherry team. Finding the right match for this role is a critical aspect of continuing that success.

Overview

This role is responsible for planning, managing, and overseeing the work of a large team of contract analysts. Responsible for ensuring the quality and efficiency of the team's work, as well as providing guidance and escalation support to the team. The successful candidate will be proactive leader with excellent attention to detail, communication, and organizational skills. The role will support rollout of new process and procedures, and identify opportunities for efficiency through additional process improvements. This position is remote, however qualified candidates must live in the continental United States and be fully authorized to work without requiring visa sponsorship.

Duties & Responsibilities

Manage and monitor project progress and a team of analysts
Work with management to review, optimize and document repeatable and effective processes
Liaison between cross functional teams to facilitate resolution of issues and share best practices
Build and maintain project documentation that will support organization and management of scheduled work
Manage risks and issues and taking corrective measurements
Identify, track and report program KPIs to assess impact
Provide and perform quality assurance checks on project artifacts and deliverables
Facilitate and lead project meetings and discussions with stakeholders at all levels
Create appropriate documentation to communicate program status/risks/needs
Consistently exercise informed judgment and discretion in matters of significance


Requirements

Desired Skills & Experience

Experience leading and supporting a large team of front-line employees or analysts, as well as hands-on project management
Experience performing business analysis on business documentation
Experience analyzing processes to identify areas of optimization and improvement
Ability to work positively with the wide range of individuals
Strong leadership, stakeholdering, and management skills, coupled with the ability to individually contribute all duties and responsibilities outlined here
Superior oral and written communication skills with ability to build project assets
Proven experience with MS Excel or Smartsheet
Strong reporting skills
Ability to find innovative ways to resolve problems
Ability to process information quickly and present it in a succinct and insightful format
Direct hands-on experience with Excel or Smartsheet


Education & Certifications

Bachelor's degree required; preferably in Business, IT, Computer Science, or Finance


Compensation

For individuals assigned and/or hired to work in Colorado, Sand Cherry Associates is required by law to include a reasonable estimate of the compensation range for this role. This compensation range is specific to the State of Colorado and takes into account a wide range of factors that are considered in making compensation decisions including but not limited to skill sets; experience and training; licensure and certifications; and delivery model. This is a short-term consulting engagement, with an hourly range of $55-$65/hr. Years of experience, level of education, geographic location, unique skills/qualifications for the specific role and potential certifications can be key factors in the final compensation for this role.

Benefits

Our team is unique — we are passionate about what we do. At Sand Cherry, our consultants know they are impacting and shaping our clients' industries. We recognize our employees for their contributions. Our culture is one of the most friendly and communicative in the consulting industry. Sand Cherry is not a top-heavy organization. We offer the opportunity to be part of a digital workforce. Discover the experience that only comes with self-responsibility in the workplace. Our team members manage their own workloads and are expected to deliver exceptional work for our clients. Professional career growth is one of our main priorities, as we affirm that investing in our consultants and empowering our people will also deliver the best results and value for our clients."
Project Management Lead,Project Management Lead,Corient,May,2024,"Join a team that values your ambition and empowers your growth
At Corient, we help high- and ultra-high-net-worth individuals and families to enjoy a full life, while enabling them to preserve their wealth for future generations, and provide for the people, causes and communities they care about. We focus on exceeding expectations, simplifying lives, and establishing legacies that last for generations. We are always looking for talented and motivated individuals to join our team. If you want to work for a company that values your contributions and supports your growth, we would like to meet you.
Responsibilities
Oversee design and construction of 6 Active headquarters projects across the US with a 2024 budget of approximately $40 MM
Vendor Management: Manage nationwide PJM, AOR, FFE,
Moves/Add/Changes: Coordinate office moves, renovations, and expansions as needed in partnership with design and construction teams.
Build out maintenance project program for 50+ leased premise across the country
Stakeholder collaboration: Partner with real estate and corporate team to deliver on key initiatives and meet employee and client needs, manage space upgrades and
Lease adherence: Lead relationships with landlords and ensure compliance with the lease and building rules and regulations.
Policies and Procedures: Develop, communicate, and implement policies and procedures for project creation, approval, change order management, moves, closeout, and executive approval.
Budget: Monitor and manage capital expense budget including forecasting and expense tracking.
Health and Safety Compliance: Ensure the office environment meets health and safety standards and complies with local regulations.
Technology Support: Serve as a liaison with IT support for office-related technology needs. Coordinate repairs or upgrades and manage inventory of IT assets.
Reporting and analytics: Provide operating expense breakdown, trends, and savings opportunities. Develop workorder tracking and reporting capabilities to enable smart capital planning and metrics and KPI’s for employee satisfaction.
Qualifications:
Bachelor's degree in construction, facilities management, business administration, or related field (preferred).
Proven experience in project management across multiple locations, including vendor procurement/management and budget oversight.
Strong understanding of building systems, maintenance procedures, and safety protocols.
Excellent communication and interpersonal skills, with the ability to collaborate effectively with diverse teams.
Proficiency in Microsoft suite and project management software and tools.
Strong leadership and decision-making skills.
Ability to multitask, prioritize, and manage time effectively in a fast-paced environment.
Knowledge of relevant regulations and compliance standards for New York market facilities.
Pay Information
This position is exempt and is paid according to the laws of the State of NY. The pay range for this position is $160,000 -200,000 per year. We are required to provide a reasonable estimate of the compensation range for this role. This range takes into account the wide range of factors that are considered in making compensation decisions including but not limited to experience, skills, knowledge, abilities, education, licensure and certifications, and other business and organizational needs. It is not typical for an individual to be offered a salary at or near the top of the range for a position. Salary offers are determined based on final candidate qualifications and experience.
Physical Requirements
This position requires the physical capabilities to work in an office environment, which may include prolonged periods of sitting at a desk and working on a computer. Corient seeks to make reasonable accommodations that enable individuals with disabilities to perform essential duties when possible.
This position may require the ability to lift up to 15 pounds.
This position is required to work onsite 4 days per week.
U.S. Eligibility Requirements
Must be 18 years of age or older.
Must be willing to submit to a background investigation; any offer of employment is conditioned upon the successful completion of a background investigation.
Must have unrestricted work authorization to work in the United States. For U.S. employment opportunities, Corient hires U.S. citizens or permanent residents. Exceptions to these requirements will be determined based on shortage of qualified candidates with a particular skill. Corient will require proof of work authorization.
Corient participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S. If E-Verify cannot confirm that you are authorized to work, this employer is required to give you written instructions and an opportunity to contact Department of Homeland Security (DHS) or Social Security Administration (SSA) so you can begin to resolve the issue before the employer can take any action against you, including terminating your employment. Employers can only use E-Verify once you have accepted a job offer and completed the Form I-9.
Must be willing to execute Corient’s Employee Agreement or Confidentiality and Non-Disclosure Agreement, which require, among other things, post-employment obligations relating to non-solicitation, confidentiality, and non-disclosure.
What You Can Expect From Us
Our dedication to the Employee Experience at Corient is aimed at supporting, empowering, and inspiring our talented team through:
Flexible & Hybrid Work Program
401(k) Plan with Employer Matching
Four Medical Plan options that is generously subsidized by Corient
Employer paid Dental, Vision & Life and AD&D Insurance
Employer paid Short-term & Long-term Disability
Paid Maternity & Parental Leave
Flexible Spending Accounts & Health Savings Accounts
Dependent Care FSA
Commuter & Transit FSA
Corporate Discount Program - Perkspot
Training Reimbursement
Paid Professional Designations
Giving back to the community - Volunteer days
Corient is one of the fastest-growing wealth management platforms in the United States. We serve more than 10,000 clients and manage over $100 billion of assets through offices located across the country. We combine a boutique's personal service, creativity and objective advice with the extensive resources and vast intellectual capital of an innovative industry leader to create a profoundly different wealth management experience for our clients.
Full participation of all employees in a safe, healthy and respectful environment is key to individual and company success. We are committed to fully utilizing the abilities of all our employees and expect each of our employees to honor this commitment in their daily responsibilities.
We are an equal opportunity employer. All candidates will be recruited and, if applicable, selected and employed without regard to sex, race, religion, marital status, veteran status, age, national origin, sexual orientation, gender identity, color, creed, ancestry, disability, genetic information or any other basis prohibited by law."
"Project Lead, Flexible Adaptable Home Support Team","Project Lead, Flexible Adaptable Home Support Team",Interior Health Authority,May,2024,"Interior Health is looking for an experienced Project Lead, Flexible Adaptable Home Support Team (FAHST) to join our team on a full time term basis. This position offers a flexible work location within the Interior Health Region.

What We Offer

Employee & Family Assistance Program
Employer paid training/education opportunities
Employer paid vacation
Medical Services Plan
Employer paid insurance premiums
Extended health & dental coverage
Potential Municipal Pension Plan
Work-life balance

Salary

Salary range for the position is $88,990 to $127,923. Interior Health establishes salaries within the minimum and maximum of the salary range based on consideration of the qualifications, experience of the applicant, and an internal equity review of the salaries of other employees.

About The Job

In accordance with the established vision and values of the organization and providing support to the Director, Home Support Transformation, the Project Lead, Flexible Adaptable Home Support Team (FAHST) will develop, implement, and evaluate initiatives, organizational systems, processes, and practices. The Project Lead will lead a variety of organizational planning including identifying organizational needs and analyzing the capacity for change and resource capabilities throughout the program. The Project Lead is required to lead or coordinate several initiatives simultaneously.

The Project Lead will work with leaders from across Interior Health (IH) and key partners, both internal and external to IH, including peer Health Authorities and community partners, to facilitate ongoing collaboration and effective application of ongoing work, initiatives, and projects. Additionally, the Project Lead will develop briefing papers and reports, ensuring the timely and effective implementation of decisions and work on specific activities and projects as assigned.

In alignment with IH’s Occupational Health & Safety Program, employees shall adhere to all Occupational Health and Safety policies and procedures at all times and attend all required training. Employees are responsible to report any identified hazards, unsafe conditions or incidents to the manager or supervisor immediately.

Typical Duties And Responsibilities

Applies knowledge and experience in process review and analysis to recommend system and process improvements to initiatives and projects within the program. Ensures improvement initiatives are completed in a timely manner and result in quantifiable improvements.
Analyzes business initiatives and opportunities and provides feedback to the Director and other leaders within the program on the feasibility and requirements for the achievement of objectives. Maps out alignment with future direction and ensures activities, projects and initiatives are aligned with other cross-functional organizational initiatives and business/improvement strategies.
Identifies and promotes the expedited resolution to problems or barriers to enable successful completion and transformation of initiatives.
Provides updates to the Director on the implementation and issues of key strategic initiatives; prepares reports, briefings, and presentations, researching elements as required.
Collaborates with departmental and portfolio leaders for a coordinated and strategic approach to the planning and implementation of the program.
Promotes consistent processes and continuous improvement of practices.
Collaborates with departments to identify, develop, implement, evaluate, and report on the impact and outcomes of initiatives.
Monitors, on behalf of the Director, program plans and operations, measures progress toward goals and objectives, identifies key factors that account for deviation from stated goals and objectives, and works with other key management staff on process implementation.
Assists with defining the staffing model and supports the Director by working with Finance to develop the staffing budget for the program.
Works collaboratively with change and project management experts to ensure the integration of sound change and project management principles in all initiatives and projects. Provides project management expertise to guide and support implementation.
Consults externally with others including representatives of other Health Authorities; supports and/or identifies opportunities to partner with other Health Authorities, regional entities, community agencies, and private partners in system redesign or care and service improvements.
Leads multiple initiatives simultaneously; develops implementation and work plans including identification of key partners, critical timeframes and processes required to ensure effective identification of capital and program requirements and leads the implementation.
Performs other related duties as assigned."
PROJECT LEAD,PROJECT LEAD,Finlink Group,May,2024,"PROJECT LEAD

The ideal candidate will have a strong understanding of structural engineering principles and be proficient in the use of design software.

Responsibilities

Performing structural analysis and design of buildings and other structures
Preparing and submitting construction documents
Working with architects, engineers, and other professionals to ensure that projects meet code requirements
Supervising the construction of projects

Qualifications

Bachelor's degree in Civil Engineering or a related field
4-6 years of experience in structural engineering
Proficiency in structural engineering software, such as SAP2000, ETABS, and RISA-3D
Strong analytical and problem-solving skills
Excellent communication and teamwork skills

Although the benefits are not publicly listed here, we'd share the compensation structure with you when we reach out. Feel free to reach out and apply for this fantastic next career step! We'd love to have a discussion with you and go over more details on the position and answer any of your questions."
PROJECT LEAD,PROJECT LEAD,Finlink Group,May,2024,"PROJECT LEAD

The ideal candidate will have a strong understanding of structural engineering principles and be proficient in the use of design software.

Responsibilities

Performing structural analysis and design of buildings and other structures
Preparing and submitting construction documents
Working with architects, engineers, and other professionals to ensure that projects meet code requirements
Supervising the construction of projects

Qualifications

Bachelor's degree in Civil Engineering or a related field
4-6 years of experience in structural engineering
Proficiency in structural engineering software, such as SAP2000, ETABS, and RISA-3D
Strong analytical and problem-solving skills
Excellent communication and teamwork skills

Although the benefits are not publicly listed here, we'd share the compensation structure with you when we reach out. Feel free to reach out and apply for this fantastic next career step! We'd love to have a discussion with you and go over more details on the position and answer any of your questions."
"Technical Program Manager I, Project Starline","Technical Program Manager I, Project Starline",Google,May,2024,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Atlanta, GA, USA; Kirkland, WA, USA; New York, NY, USA; Portland, OR, USA; San Francisco, CA, USA; Sunnyvale, CA, USA.Minimum qualifications:

Bachelor's degree in a relevant field, or equivalent practical experience.
1 year of technical program management work experience.
Project management related work experience.

Preferred qualifications:

Ability to be an influential member of a highly integrated team composed of both technical and non-technical members.

About The Job

A problem isn’t truly solved until it’s solved for all. That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Technical Program Manager at Google, you’ll use your technical expertise to lead complex, multi-disciplinary projects from start to finish. You’ll work with stakeholders to plan requirements, identify risks, manage project schedules, and communicate clearly with cross-functional partners across the company. You're equally comfortable explaining your team's analyses and recommendations to executives as you are discussing the technical tradeoffs in product development with engineers.

Our goal is to build a Google that looks like the world around us — and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company.

Project Starline from Google combines advances in hardware and software to enable friends, families and co-workers to feel together, even when they’re cities (or countries) apart. Imagine looking through a magic window, and through that window, you see another person, life-size and in three-dimensions. As part of the Project Starline team, you'll work with researchers and engineers in a fast-paced product-oriented environment. Our teams collaborate closely with Google Workspace and Research teams. Your contributions will have an impact on the future of communications with Google products. You will apply technology to solve that really important problem that we often want to be together and we can’t.

The US base salary range for this full-time position is $102,000-$150,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google .

Responsibilities

Coordinate and deliver program communications in close collaboration with program stakeholders, including metrics progress, meeting notes, meeting AIs, decision/escalation logs, newsletters, and websites.
Collect data relating to program progress from program stakeholders. Maintain project trackers and status reports in close collaboration with program stakeholders.
Author program charter that addresses scope and timeline of basic program, specify program OKRs, and explain resource requirements/dependencies, in close collaboration with program stakeholders.
Author stakeholder map that specifies who is impacted by, and who influences, program outcome in close collaboration with program stakeholders.
Triage technical bugs and feature requests alongside engineering stakeholders for purposes of prioritization, resourcing, and tracking execution.


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form ."
"Chocolate, Project Lead Scientist","Chocolate, Project Lead Scientist",Voyage Foods,April,2024,"Description

The R&D Lead will be responsible for leading and moving products forward in the development process from ideation to commercialization. You will be leading key projects important to Voyage’s mission. This role will be within the research and development team and will be imperative to the business and our future. You will be expected to report on any technical product issues that are discovered during evaluation, manage product testing and trials, and assess the materials used, the efficiency of the process, and the effectiveness of the final product.

This is an exempt, supervisory position based at our Oakland, CA HQ location and will report directly to the VP of R&D.

What you’ll do

Lead key projects within R&D to support business goals with ownership of the entire development process from start to finish.
Demonstrate knowledge of industry manufacturing operations that will ultimately be used to commercialize new products.
Develop research programs incorporating current developments to improve existing products and study the potential of new products.
Plan and execute equipment trials to scale new products.
Demonstrate creative problem solving with a bias to action.
Document all phases of research and development and communicate results and learnings to key stakeholders
Present regular reports on project progress, problems, and solutions.
Ability to collaborate with cross-functional teams, including Production, Quality Control, Sales and Marketing.
Apply quantitative methods: analyze data, evaluate results, form conclusions, and provide/implement process or document improvement.
Mentor and Lead a team of scientists by providing ongoing coaching and feedback.
Assess the scope of research projects and ensure they are on time.
Performs other duties as assigned
Track spending and assess the value proposition of any expenditures as it relates to the success of the team or project in concert with the VP of R&D.

What makes you successful / What makes a great candidate

5+ years in chocolate, confectionery, or related R&D desired
Excellent leadership skills with ideally 1-2 years experience supervising and motivating teams.
Experience conducting equipment trials and scale-up commercialization runs
Possesses a proactive bias towards action, readily initiating and driving forward solutions in dynamic environments. Demonstrates comfort and proficiency in navigating complex scenarios, leveraging adaptability and critical thinking to achieve successful outcomes.
Demonstration of ownership of at least one product from ideation to commercialization
Strong analytical skills, with the ability to analyze data and make informed decisions.
Excellent verbal and written communication skills, with the ability to communicate effectively with internal and external stakeholders.
Strong proficiency with Microsoft Excel and Google Suite

Physical Demands

Tasting and comparing the tastes of a full range of foods and food products (including dairy, fruits, vegetables, mushrooms, grains, nuts, meat, poultry, fish, shellfish, spices, and other foods) for different characteristics, such as appearance, smell, taste, flavor, and quality of ingredients.
Prolonged periods of sitting at a desk and working on a computer

Compensation

United States-based roles only: The Annual salary for this role is between $104,000-$130,000 plus immediate participation in our benefits program (health, dental, 401k and many others), utilization of our generous paid time off and, where applicable, participation in our incentive programs. All employees are owners of Voyage Foods and receive an equity grant as part of their total package. At Voyage Foods, we approach each individual's compensation with a promise of fair market value and internal equity commensurate with experience and specific skill set.

Benefits

Medical, Dental, Vision Plans
STD/LTD, Life and AD&D policies
FSA, HRA, and Mental Health Program Benefits
Commuter Benefits
401K Program
Unlimited Vacation
Paid Family Leave Program
Ongoing Team Events, including Weekly Friday Lunches

Voyage Foods is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual"
Team Lead,Team Lead,Homestead Healthcare,May,2024,"The Detroit Free Press has ranked Homestead as a TOP WORKPLACE, and we are hiring!

We have an exciting opportunity for you to join our team at Homestead as a Team Leader. We manage a Senior Living Community in Westland MI. At Homestead we are on a mission to create an exceptional living experience for our cherished residents, and we need an enthusiastic supervisor to make it happen. If you have a deep passion for making a difference in the lives of others, then this position offers a truly rewarding career path. As a supervisor you will be helping with the training and mentoring of the caregivers, as well as caring for the residents. This is more than just a job, it is a way for you to cultivate essential life skills such as patience, teaching skills, empathy, and effective communication. You will find fulfillment in knowing that every day, you are positively impacting the lives of our staff and residents.

Homestead has been awarded a Top Workplace 2023 honor by The Detroit Free Press Top Workplaces. The award, based solely on employee feedback, reflects Homestead’s commitment to its employees. Join our team of dedicated and engaged colleagues, and benefit from specialized training and support, employee referral program, as well as opportunities for growth and advancement.

Leader Responsibilities

Supervise resident aides, train new staff, ensure duties are performed correctly by all staff
Also Resident Aide responsibilities


Resident Aide Job Responsibilities

Assisting with care needs dressing, grooming, bathing, incontinence care, etc.
Assisting with meal preparation
Maintaining the cleanliness of the environment which may include light housekeeping
Complete all required documents and charting
Assess for change in condition and communicate immediately to supervisor
Follow all emergency procedures. Comply with all safety and health standards, including infection control procedures
Perform other duties as assigned by supervisor


Benefits

Opportunities for advancement
Paid orientation and training
Employee recognition events
Paid time off
Medical, dental and vision available for full time employees


Requirements

At least 2 years supervising and training caregiving staff is required
Caring and compassion for the elderly
The ability to arrive on time to each shift"
Team Lead,Team Lead,Homestead Healthcare,May,2024,"The Detroit Free Press has ranked Homestead as a TOP WORKPLACE, and we are hiring!

We have an exciting opportunity for you to join our team at Homestead as a Team Leader. We manage a Senior Living Community in Westland MI. At Homestead we are on a mission to create an exceptional living experience for our cherished residents, and we need an enthusiastic supervisor to make it happen. If you have a deep passion for making a difference in the lives of others, then this position offers a truly rewarding career path. As a supervisor you will be helping with the training and mentoring of the caregivers, as well as caring for the residents. This is more than just a job, it is a way for you to cultivate essential life skills such as patience, teaching skills, empathy, and effective communication. You will find fulfillment in knowing that every day, you are positively impacting the lives of our staff and residents.

Homestead has been awarded a Top Workplace 2023 honor by The Detroit Free Press Top Workplaces. The award, based solely on employee feedback, reflects Homestead’s commitment to its employees. Join our team of dedicated and engaged colleagues, and benefit from specialized training and support, employee referral program, as well as opportunities for growth and advancement.

Leader Responsibilities

Supervise resident aides, train new staff, ensure duties are performed correctly by all staff
Also Resident Aide responsibilities


Resident Aide Job Responsibilities

Assisting with care needs dressing, grooming, bathing, incontinence care, etc.
Assisting with meal preparation
Maintaining the cleanliness of the environment which may include light housekeeping
Complete all required documents and charting
Assess for change in condition and communicate immediately to supervisor
Follow all emergency procedures. Comply with all safety and health standards, including infection control procedures
Perform other duties as assigned by supervisor


Benefits

Opportunities for advancement
Paid orientation and training
Employee recognition events
Paid time off
Medical, dental and vision available for full time employees


Requirements

At least 2 years supervising and training caregiving staff is required
Caring and compassion for the elderly
The ability to arrive on time to each shift


BNM123"
Team Lead,Team Lead,Homestead Healthcare,May,2024,"The Detroit Free Press has ranked Homestead as a TOP WORKPLACE, and we are hiring!

We have an exciting opportunity for you to join our team at Homestead as a Team Leader. We manage a Senior Living Community in Westland MI. At Homestead we are on a mission to create an exceptional living experience for our cherished residents, and we need an enthusiastic supervisor to make it happen. If you have a deep passion for making a difference in the lives of others, then this position offers a truly rewarding career path. As a supervisor you will be helping with the training and mentoring of the caregivers, as well as caring for the residents. This is more than just a job, it is a way for you to cultivate essential life skills such as patience, teaching skills, empathy, and effective communication. You will find fulfillment in knowing that every day, you are positively impacting the lives of our staff and residents.

Homestead has been awarded a Top Workplace 2023 honor by The Detroit Free Press Top Workplaces. The award, based solely on employee feedback, reflects Homestead’s commitment to its employees. Join our team of dedicated and engaged colleagues, and benefit from specialized training and support, employee referral program, as well as opportunities for growth and advancement.

Leader Responsibilities

Supervise resident aides, train new staff, ensure duties are performed correctly by all staff
Also Resident Aide responsibilities


Resident Aide Job Responsibilities

Assisting with care needs dressing, grooming, bathing, incontinence care, etc.
Assisting with meal preparation
Maintaining the cleanliness of the environment which may include light housekeeping
Complete all required documents and charting
Assess for change in condition and communicate immediately to supervisor
Follow all emergency procedures. Comply with all safety and health standards, including infection control procedures
Perform other duties as assigned by supervisor


Benefits

Opportunities for advancement
Paid orientation and training
Employee recognition events
Paid time off
Medical, dental and vision available for full time employees


Requirements

At least 2 years supervising and training caregiving staff is required
Caring and compassion for the elderly
The ability to arrive on time to each shift"
