Position,Company_Name,Location,Post_Month,Post_Year,Details
Manual Quality Assurance Tester,Manual Quality Assurance Tester,Creyos (formerly Cambridge Brain Sciences),April,2024,"Who we are:

Creyos (formerly Cambridge Brain Sciences) is a leading growth-stage B2B SaaS HealthTech company. Our proprietary brain health tools, including digital cognitive assessments and mental health questionnaires, are used by healthcare practitioners treating mental health conditions, brain injuries, aging, and other patient populations throughout the world, as well as by leading researchers. To learn more about our organization, please visit www.creyos.com.

You will be part of a team that includes not just your typical SaaS business functions (Sales, Marketing, Customer Success), but also engineers, psychologists, business leaders, and even a world-renowned neuroscientist. We are proud to say that you will be surrounded by some of the smartest, enthusiastic, hard working and dedicated people that you'll ever meet (at least, that we've ever met!).

Who we are looking for:

At Creyos, we know that solving big challenges requires unrelenting resilience. We don't give up in achieving our goals. People who succeed at Creyos have a sense of urgency, a strong work ethic, natural curiosity, strong internal drive, and enthusiasm about growing a company... as well as a sense of humor. If this all sounds good to you, we invite you to join us!

You possess a strong aptitude for understanding processes and a keen eye for identifying unique details, all while taking delight in being the first to explore new features in real-world scenarios. As part of the Creyos team, you will play a key role in shaping our quality assurance practices, ensuring the seamless delivery of innovative, error-free features for customers. Our team will empower you to collaborate with a diverse group of professionals, including scientists, product managers, designers, developers, and test automation QAs, as you work together to define, test and launch new functionalities, in order to deliver maximum value for our global user base.

What you will be doing:

As a Manual QA Tester at Creyos, you will:

Take ownership of QA processes, evaluate testing tools and methodologies, implement technologies that align with our strategic objectives, and drive continuous improvements
Establish and implement QA best practices while continuously improving the overall efficiency and effectiveness of development and QA processes
Coach and mentor colleagues across multiple departments and specialities. Provide technical expertise and foster a culture of continuous improvement and learning
Work with our Science and Product teams to refine features, write test cases, and contribute to requirements
Design, develop and execute regression tests together with exploratory testing of the new features
Provide feedback and guidance, while working directly with developers to test the features throughout the development lifecycle


The skills and experience we are looking for:

3+ years proven experience in testing and delivering high-quality web applications
Strong analytical skills, self-driven, reliable, and keen to learn
Excellent interpersonal and communication skills - because we know that teamwork achieves the best possible results
An understanding that quality is a collective effort, rather than one person's responsibility
Determination to investigate and isolate the root cause of bugs. A strong focus on documenting issues thoroughly and concisely while always bearing the reader in mind
A strong motivation to understand every small detail of our product. Someone who is driven to make observations - no matter how small - to improve the experience of our users as much as possible


Nice to have:

Experience with Ruby on Rails
Ability to write BDD scenarios using Cucumber in a consistent and structured manner
Industry-specific certifications, such as ISTQB, CSTE, or CSQA
Familiarity with CI and CD tools and practices
Familiarity with Gherkin
Experience in Healthtech


Some of the reasons people choose to join the Creyos team include:

Grow through our career paths leading to more senior roles. We invest in the development of our team members, provide significant opportunities for growth and career advancement, and do everything we can to support one another to ensure individual and team success. In 2022, 40% of our team members were promoted at least once to more senior roles!
Recharge during our annual company-wide break and extra holidays. In addition to vacation and quarterly Personal Days, every year we take a company-wide break in December to rest and recharge. We also give team members two additional holidays off per year: U.S. Independence Day and U.S. Thanksgiving, which we celebrate as Brain Holidays. We want you to feel motivated and energized at work!
Get access to comprehensive employee benefits. We pride ourselves on offering benefits covering medical, dental, vision, mental health, wellness and more


Additional information:

Please note that in accordance with company policy, any successful candidate will be required to demonstrate proof of full vaccination against COVID-19.

Creyos is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, and disability, or another legally protected status. We are committed to providing employment accommodation in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act, 2005 (AODA). Creyos will provide accommodations to job applicants with disabilities throughout the recruitment process. If you require accommodation, please notify our Talent Acquisition Manager directly and we will work with you to meet your needs."
REMOTE: Quality Assurance Tester,REMOTE: Quality Assurance Tester,Stellar Professionals,April,2024,"Applicant must have 7 years of relevant experience with the following:

Experience with entire software development life cycle and test cycles
Experience with writing effective test cases and test scripts
Experience with gathering, documenting and testing of business requirements
Experience with gathering, documenting and testing functional requirements
Experience in change management
Experience with Agile Development Methodology
Experience using the Test Manager
Experience with Team Foundation Server (TFS/DevOps)"
Quality Assurance Analyst,Quality Assurance Analyst,Logical Paradigm,May,2024,"Company Description

Logical Paradigm LLC is an E-Verified, IT consulting company based in Herndon, Virginia that specializes in Business Intelligence, JAVA, Business Analysis, Quality Assurance Analysis, Project Managers, and Validation Engineers positions with employees working all over United States. Our professionals work in broad spectrum of IT projects within industries ranging from finance and healthcare to media and telecom and much more. We work directly with clients from different domains. To name a few: Health Insurance: Anthem, Blue cross Blue Shield, United Health Group, Financial: Bank of America, World Bank, Wells Fargo, JP Morgan Chase, Fannie Mae, Master Card Retail: Walmart, Lowes, Home Depot, Insurance: Geico, State Farm, Nation Wide, Progressive , Logistics: UPS.

Job Description

As a Quality Analyst You Will Be Responsible For :

Reviewing requirements, specifications and technical design documents to provide timely and meaningful feedback.

Creating detailed, comprehensive and well-structured test plans and test cases.

Estimating, prioritizing, planning and coordinating testing activities.

Designing, developing and executing automation scripts using open source tools.

Maintaining cordial relationships between cross functional teams like development, configuration management, program management, product managers etc.

Performing thorough regression testing when bugs are resolved.

Developing and applying testing processes for new and existing products to meet client needs.

The QA role is to verify the QC tests are conducted in accordance with the appropriate standard.

Monitoring debugging process results.

Investigating the causes of non-conforming software and train users to implement solutions.

Tracking quality assurance metrics, like defect densities and open defect counts.

Developing and applying testing processes for new and existing products to meet client needs.

Qualifications

Manual Testing

Automotive Testing

Additional Information

Competitive Base Salary: Base Pay with periodic reviews (usually every 6 months) and increments.
Health Insurance:

Our Company provides all its full-time employees with medical insurance. Health Insurance coverage (PPO Plan) is offered by United Healthcare, one of the leading healthcare companies in the United States. This allows easy access to dependable healthcare, through a large network of physicians and hospitals, spread across the United States. We also provide benefits like Dental/Vision -Workers Compensation and Life Insurance: Workers' compensation"
Quality Assurance Tester,Quality Assurance Tester,Team Remotely Inc,May,2024,"This is a remote position.

Quality Assurance Tester (1 year experience, remote)

Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.

Hiring Type: Full-Time

Base Salary: $59K-$69K Per Annum.

Overview:

You will be responsible for ensuring the product is in pristine condition, creating test cases, ensuring the requirements are fully implemented, proposing improvement points, and analyzing whether the features and the products can solve the user’s needs.

Requirements:

Good problem-solving skills.
Loves to play and find loopholes in a game/app.
Strong knowledge of software QA methodologies, tools, and processes.
Proven ability to employ analytical thinking to solve problems and generate solutions.
Ability to troubleshoot and think out of the box.
Proven ability to collaborate in a multicultural team.
Ability to remain focused in a team-oriented environment.
Ability and willingness to keep learning.
Ability to use software tools such as Gitlab, Word Processor, Spreadsheet, and Web Browser.
Knowledge of modern education systems and development fields is desirable.
Good verbal and written communication skills (Required language: English)

Educational Background:

Has a Bachelor’s degree in engineering, computer science, computer engineering, or a similar major.
Experience writing clear, concise, and comprehensive test strategies, plans, and cases.
Understand the difference between white-box, grey-box, and black-box testing.
Proven work experience in software quality assurance.
Proven work experience in the game industry.
Experience with automated testing tools.
Understanding of basic user experience design patterns – such as button placement, screen space use, hot zones, critical paths, and color pallet.
Experience writing automated UI testing scenarios using Selenium or equivalent frameworks.

Tasks:

Writing test plans and creating test cases for the products.
Collaborate with other QA Testers and developers to develop strategies and an effective test plan.
Run test cases and analyze the results.
Report bugs and errors to the development team in detail.
Propose improvement points that will ease the user experience.
Help solve problems faced by users and propose ideas to bypass errors.
Work with cross-division teams to ensure quality throughout the software development cycle.
Develop and apply testing processes for new and existing products to meet users’ needs.

Benefits

Working remotely with an international team
Healthcare
Internet package incentive"
REMOTE: Quality Assurance Tester,REMOTE: Quality Assurance Tester,Stellar Professionals,April,2024,"Applicant must have 10 years of relevant experience with the following:

4 year college degree in computer information systems or equivalent technical study
10+ years of QA testing experience with industry standard quality assurance methodologies, verification and validation processes
3+ years of business process analysis
2+ years of hands-on experience with test automation development using AccelQ
hands-on experience in test automation design and development involving GUI, API and back-end database verification
Experience with Continuous Integration testing tools
Experience with automated mobile testing utilizing cloud-based solutions
Competency in Microsoft applications including Visio, Word, Excel, PowerPoint and Outlook"
Quality Assurance Analyst,Quality Assurance Analyst,Donegal Insurance Group,May,2024,"About The Role

Donegal Insurance Group has an opening for a Quality Assurance Analyst. As a member of our Commercial Lines team, this position will be primarily responsible for ensuring the company’s underwriting policies, procedures, and guidelines are in compliance with company expectations. The ideal candidate will work directly with the Commercial Lines staff to promote a continuous improvement environment through the consistent application of the Quality Assurance programs along with participating in the training and development of the staff to improve underwriting knowledge and skills.

Responsibilities And Duties

Ensure high-quality service is delivered to the independent agents and support the underwriters as they manage each agent for profitability and growth
Proven working experience in Java development and object-oriented design
Communicate Donegal Insurance Group’s underwriting philosophy to the underwriting staff and monitor the book of business for quality and profitability
Conduct quality assurance reviews for special projects and re-underwriting programs
Full underwriting authority for position grade level
Participate in re-underwriting or book review programs as required by the company
Build and maintain positive agent relationships by delivering quality service and becoming a business partner with each agent to ensure profitability

Qualifications And Skills

Bachelor’s Degree with a background in insurance or equivalent work experience
Minimum of five (5) to ten (10) years of underwriting experience at a company or agency
Minimum of (5) five years commercial lines underwriting experience
Demonstration of self-development through attainment of professional insurance designations, CPCU, ARM, PLU, etc

To apply, please submit your resume and online application

Competitive Benefits Package

Donegal Insurance Group offers a comprehensive benefits package for all full-time, permanent positions including:

Medical, Dental, and Vision Coverage: Available to you and your dependents. Coverage begins the first of the month after start date
401(k) with the first 3% matched at 100%: the next 6% is matched at 50%
Paid Time Off: Paid vacation, sick days, paid holidays, & bereavement days
Career Development: Including college partnership discounts and industry designation(s) reimbursements

Additional benefits include company-paid basic life insurance; short & long-term disability insurance; employee stock purchase plan; and employee assistance program (EAP). Learn more about our full benefit offerings by visiting our

Who We Are

Donegal Insurance Group provides commercial and personal insurance products through a network of independent agents in 23 states and across several regions of the U.S. In Texas, Colorado, Utah, New Mexico and Arizona, business is conducted under the Mountain States Insurance Group name; and in Michigan, business is conducted under the Michigan Insurance name.

Headquartered in Lancaster County, Pennsylvania, along with four (4) regional offices located in: Athens, GA, Grand Rapids, MI, Albuquerque, NM, and Glen Allen, VA, our steady growth and successes have allowed us to establish a culture of which we're proud. Check out our Glassdoor profile where our rating speaks for itself:

By joining the Donegal family, you would be joining a team of dedicated, hard-working employees, all with a common goal of providing peace of mind to our policyholders and being There when it matters most.™.

Work Arrangement

Donegal Insurance Group has a variety of positions that are either onsite, hybrid, or remote. With each department and position being different, the work arrangement for a specific position will be reviewed with candidates during a initial phone screening. For a fully remote position, the ideal candidate must live within our Donegal footprint (Current approved states for remote work are: AL, AZ, CT, DE, FL, GA, IA, IL, IN, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NY, OH, PA, SC, SD, TN, TX, UT, VA, WI, and, WV. Please note, this list is subject to change without notice.)

E-Verify

Donegal Insurance Group participates in E-Verify in the following states: Alabama, Arizona, Florida, Georgia, Louisiana, Mississippi, Nebraska, North Carolina, South Carolina, Tennessee, and Utah. If you reside in one of the listed states, please review the ""Notice of E-Verify Participation"" and the ""Right to Work Poster"" on the links below:

Powered by JazzHR

hei4siSfNn"
QA Analyst- Food Safety and Quality Systems,QA Analyst- Food Safety and Quality Systems,McDonald's,May,2024,"McDonald’s is proud to be one of the most recognized brands in the world, with restaurants in over 100 countries that serve 70 million customers daily.We continue to operate from a position of strength. Our updated growth strategy is focused on staying ahead of what our customers want and realizing further growth potential. Our relentless ambition is why McDonald’s remains one of the world’s leading corporations after almost 70 years. Joining McDonald's means thinking big and preparing for a career that can have influence around the world.

At McDonald’s, we see every day as a chance to create positive impact. We lead through our values centered on inclusivity, service, integrity, community and family. From support of Ronald McDonald House Charities to our Youth Opportunity project and sustainability initiatives, our values keep us dedicated to using our scale for good: good for our customers, people, industry and planet. We also offer a broad range ofoutstanding benefits including a sabbatical program, tuition assistance and flexible work arrangements.

We are enjoying the flexibility of a hybrid work model, in which employees spend part of their week connecting with co-workers in our state-of-the-art headquarters.Located in the booming West Loop of downtown Chicago, it's set up to be a global hub that cultivates collaboration:
Take a class at Hamburger University
Sample future items in our Test Kitchen
Utilize the latest technology to connect with your team around the globe
We are an equal opportunity employer committed to the diversity of our crew members, staff, operators, and suppliers. We promote an inclusive work environment that creates feel-good moments for everyone.

Job Description

The U.S. Food Safety & Quality Systems Team (FSQS) is part of the North America Supply Chain function that enables the McDonald’s System to connect customers with food they love and trust. Primary responsibilities include:
Develops and acts as a US FSQS data expertresponsible for the daily oversight, management, analyses and reporting for multiple information and compliance databases.
Translates data and metrics into scorecards and other team needs to aid in driving FSQS performance across the 3LS.
Continuously improvesand optimizes the USFSQS team’s capability to manage performance, while proactively seeking ways to improve data accuracy and integrity.
Builds strong relationshipswithin the USFSQS team as well as developing relationships with all of US Supply Chain and key partners across the business, establishing and building open lines of communication
Provides ongoing information and compliance database coaching and trainingensuring cross-functional team engagement
Leads self and provides lateral or informal leadership across different areas of the business
Key Needs of the Role
FSQS performance tracking and reporting, managing the delivery, summary and analysis of relevant information, enabling the USFSQS team to develop appropriate strategies in areas such as supplier, distributor, restaurant and product performance metrics, compliance to US and Global standards, etc.
Anticipates current and changing business needs, collaborates in the development, execution and reporting of the department plan and scorecard and KPI measurements.
Maintains and utilizes all global and US databases (e.g. RizePoint, Product Incident Database) with accountability for tracking tools development and enhancement.
Provides oversight and daily management McDonald’s Product Lifecycle Management tools, with specific focus on verifying global and US governance compliance, actively managing issues and finding consensus solutions.
Maintains up-to-date knowledge of technology and data systems, bringing Innovation & Technology ideas and potential solutions to the team.

Qualifications

3+ years of Quality Systems experience, QSR/Food industry preferred
Bachelors Degree required. Preferably in food science or related field
Proficiency in Excel, PowerBI experience preferred
Understand organizational project, program and/or product lifecycle management concepts.
Possess strong analytical skills including problem solving and critical thinking skills
Ability to catch on and adapt to new technologies and systems
Possess excellent verbal and written communications skills to effectively communicate information with FSQS team members, supply chain and the others across the system

Additional Information

McDonald’s is an equal opportunity employer committed to the diversity of our workforce. We promote an inclusive work environment that creates feel-good moments for everyone. McDonald’s provides reasonable accommodations to qualified individuals with disabilities as part of the application or hiring process or to perform the essential functions of their job. If you need assistance accessing or reading this job posting or otherwise feel you need an accommodation during the application or hiring process, please contact mcdhrbenefits@us.mcd.com. Reasonable accommodations will be determined on a case-by-case basis.

McDonald’s provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to sex, sex stereotyping, pregnancy (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), race, color, religion, ancestry or national origin, age, disability status, medical condition, marital status, sexual orientation, gender, gender identity, gender expression, transgender status, protected military or veteran status, citizenship status, genetic information, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Nothing in this job posting or description should be construed as an offer or guarantee of employment."
Mobile Quality Assurance Tester,Mobile Quality Assurance Tester,"Anveta, Inc",December,2023,"Role: Mobile Quality Assurance Tester

Location: Denver, Colorado 80203 (Remote from anywhere from the State of Colorado)

Duration: 6+ Months

Qualifications

Bachelor’s Degree in Computer Science or related field
Preferred experience in mobile app testing
4+ years of relevant experience with functional system test cases, data, or test suites, standard defect management tools and processes, application development, or regular client-side use of relevant applications with demonstrated understanding of program and mobile app functionality.
Preferred experience with testing iOS and Android operating systems.
Preferred experience in creating mobile app test plans for complex to majorly complex projects.
Ability to execute functional and regression test cases as well as performance and security test cases.
Experience on working with Technical Owners, Operations and Product Managers, Vendors and Business Analysts to coordinate the testing process to ensure correct reporting information is relayed.
Experience on working in an Agile scrum environment using Azure DevOps
Experience with API testing

Preferred Skills

Strong knowledge of software QA methodologies, tools, and processes.
Demonstrated experience writing clear, concise, and comprehensive test plans and cases.
Hands-on experience with both white and black box testing.
Preferred hands-on experience with accessibility tools (Wave, JAWs, and Siteimprove).
Proficiency with standard office software (Microsoft Word/Excel/Powerpoint or Google Docs/Sheets/Slides).
Demonstrated flexibility to address stakeholder-driven test scenarios and communications.
Experience with accessibility tools.
Knowledge and experience applying software QA methodologies, tools, and processes in practice.
Demonstrated knowledge and experience as a member of an Agile team.
Experience testing vendor-developed, commercial off-the-shelf/customized software systems.
ISTQB certification or equivalent professional accreditation.

Essential Duties

Create mobile app test plans for complex to majorly complex projects.
Execute functional and regression test cases as well as performance and security test cases.
Create and maintain requirements traceability matrices.
Identify and manage test data needed for complex projects
Coordinate with Technical Owners, Operations and Product Managers, Vendors and Business Analysts throughout the testing process to ensure correct reporting information is relayed.
Analyze system requirements, identify and document the most important test cases.
Analyze the effectiveness of test cases after project completion and make any necessary improvements.
Determine what test data is needed and work with the Senior Tester to acquire it.
Follow defect management process for system test and user acceptance test.
Establish effective communication with development teams for defect management.
Document defects and their resolution.
Monitor the management of defects.
Determine when a valid defect has occurred, how to communicate it, or if it needs to be escalated for analysis or repair.
Identifies and recommends defect management strategies.
Determine the severity and priority of defects with support from the development team.
Determine if a defect fix is successful with support from the business requirements team.
Determine what defect metrics to communicate.
Participate in agile scrum related meetings.
Facilitate defect review meetings.
Facilitate peer review meetings as they relate to test plans and test scripts for other testers.
Provides recommendations for test plan and script modifications.
Recommends courses of actions in relation to defects, test schedule, strategy.

Thanks & Regards

Charan

Anveta, Inc.

1333 Corporate Drive, Suite #108

Irving, TX 75038

charan@anveta.com

https://www.linkedin.com/in/charan-reddy-ba6450236/"
Quality Assurance Analyst,Quality Assurance Analyst,ForceBrands,May,2024,"***This is not a role with ForceBrands***

An exciting, high-growth baby food brand is looking for a Quality Assurance Analyst to join their team in a remote capacity.


Responsibilities:

Stay updated on food safety regulations, industry trends, and emerging technologies to improve quality assurance practices and disseminate information to internal teams and suppliers.
Maintain accurate records and documentation related to quality assurance activities, ensuring compliance with internal policies and regulatory requirements, and keep certifications up to date (organic, non-GMO).
Review and approve production and quality documentation, such as batch records, specifications, and certificates of analysis, and ensure accurate data entry in relevant systems.
Collaborate with cross-functional teams to implement and adhere to regulations and quality standards, consistently monitor production processes, and address customer communications to identify and correct issues.
Analyze large datasets to identify trends and determine areas needing further investigation, and organize printed materials with version controls and tracking for all packaging levels.
Manage the retain and sampling program, analyze corrective actions from vendors to ensure quality standards, and assist with quality onboarding for new grocery supermarket vendors.

Qualifications:

Bachelor’s degree in Food Science, Microbiology, or a related field.
At least 3 years of experience in quality assurance or quality control within the food industry, with a preference for experience in baby food manufacturing.
Exceptional analytical skills and keen attention to detail, capable of interpreting complex data and identifying trends.
Strong understanding of food safety regulations, including FDA, USDA, and HACCP requirements.
Familiar with quality management systems and various quality assurance tools and methodologies.
Demonstrated ability to lead projects, improve processes, and manage multiple priorities in a dynamic environment.
Excellent communication and interpersonal skills, able to work effectively with diverse teams and cultures.
Quality management certification (e.g., Certified Quality Auditor, Certified Quality Engineer) is a plus."
REMOTE: Mobile Quality Assurance Tester,REMOTE: Mobile Quality Assurance Tester,Stellar Professionals,December,2023,"Applicant must have 7 years of relevant experience with the following:

Bachelor’s Degree in Computer Science or related field
Preferred experience in mobile app testing
4+ years of relevant experience with functional system test cases, data, or test suites, standard defect management tools and processes, application development, or regular client-side use of relevant applications with demonstrated understanding of program and mobile app functionality.
Preferred experience with testing iOS and Android operating systems.
Preferred experience in creating mobile app test plans for complex to majorly complex projects.
Ability to execute functional and regression test cases as well as performance and security test cases.
Experience on working with Technical Owners, Operations and Product Managers, Vendors and Business Analysts to coordinate the testing process to ensure correct reporting information is relayed.
Experience on working in an Agile scrum environment using Azure DevOps
Experience with API testing"
