Position,Company_Name,Location,Post_Month,Post_Year,Details
Scrum Master with AWS Expertise,Scrum Master with AWS Expertise,Artius Solutions,April,2024,"Title: Scrum Master with AWS Expertise

Location: Remote

Duration: 2 Months

Job Description: We are seeking a Scrum Master with expertise in AWS (Amazon Web Services) for a short-term remote position. The ideal candidate will have experience in leading agile teams and managing AWS-based projects. This role requires strong leadership and communication skills to guide the team through the Agile process and ensure successful delivery of AWS projects within the specified timeframe. Additionally, the candidate should have in-depth knowledge of AWS services and best practices to provide technical guidance and support to the team.

Responsibilities

Serve as the Scrum Master for agile teams working on AWS-based projects.
Facilitate sprint planning, daily stand-ups, sprint reviews, and retrospectives to ensure efficient and effective project delivery.
Coach and mentor team members on Agile principles and practices.
Work closely with Product Owners and stakeholders to prioritize and groom the product backlog.
Remove impediments and escalate issues as needed to ensure timely delivery of project milestones.
Provide technical guidance and support to the team on AWS services and best practices.
Monitor project progress and communicate status updates to stakeholders.
Foster a collaborative and high-performing team environment.

Requirements

Bachelor's degree or equivalent experience in Computer Science, Information Technology, or a related field.
Certified Scrum Master (CSM) or equivalent Agile certification.
Proven experience as a Scrum Master leading Agile teams.
In-depth knowledge of AWS services, architecture, and best practices.
Strong communication and leadership skills, with the ability to motivate and inspire teams.
Experience working in remote or distributed teams is preferred.
Familiarity with Agile tools such as Jira, Confluence, or similar.
Ability to work independently and collaboratively in a fast-paced environment.
AWS certification(s) such as AWS Certified Solutions Architect, AWS Certified Developer, or AWS Certified DevOps Engineer is a plus"
Scrum Master - Healthcare Centers of Excellence,Scrum Master - Healthcare Centers of Excellence,Sondhi Solutions,May,2024,"As a Scrum Master within our client’s Healthcare Centers of Excellence, you will play a pivotal role in leading and facilitating Agile development processes to drive the delivery of innovative technology solutions. Leveraging your expertise in healthcare, Azure DevOps, and software design & development, you will oversee a team of 8 developers, fostering collaboration, efficiency, and continuous improvement. Join us in our mission to advance healthcare delivery, research, and education through technology innovation.

Responsibilities

Agile Leadership:
Lead and coach an Agile development team of 8 developers, fostering a culture of collaboration, transparency, and continuous improvement.
Facilitate agile ceremonies including sprint planning, daily stand-ups, sprint reviews, and retrospectives, ensuring adherence to Agile principles and practices.
Process Facilitation:
Act as a servant leader, removing impediments and facilitating resolution of conflicts to ensure the team's progress and productivity.
Empower the team to self-organize and make decisions, promoting accountability and ownership of deliverables.
Healthcare Expertise:
Utilize your deep understanding of healthcare industry dynamics, regulations, and best practices to guide the development team in delivering solutions that meet healthcare requirements and standards.
Collaborate with stakeholders from healthcare centers, research teams, and educational institutions to align technology initiatives with organizational goals and priorities.
Azure DevOps Mastery:
Leverage Azure DevOps (ADO) as a central platform for project management, collaboration, and software delivery, ensuring effective utilization of ADO's features for backlog management, sprint planning, and tracking.
Provide guidance and support to the team in utilizing ADO for source control, continuous integration, automated testing, and deployment pipelines.
Software Design & Development Oversight:
Apply your expertise in software design and development methodologies to guide the team in creating scalable, maintainable, and high-quality software solutions.
Collaborate with architects, developers, and quality assurance professionals to ensure that architectural principles, coding standards, and best practices are followed throughout the development lifecycle.
Continuous Improvement:
Foster a culture of continuous improvement, encouraging the team to identify opportunities for optimization, innovation, and learning.
Facilitate retrospective sessions to reflect on team performance, celebrate successes, and identify areas for improvement, driving iterative enhancements to processes and practices.

Requirements

Required Skills

Bachelor's degree in Computer Science, Business, Information Technology, Healthcare Administration, or a related field. Master's degree preferred.
Certified Scrum Master (CSM) or equivalent Agile certification required.
Minimum of 5 years of experience as a Scrum Master or Agile Coach, with a track record of successfully leading Agile development teams.
Deep understanding of the healthcare industry, including regulatory requirements, compliance standards, and operational challenges.
Proficiency in Azure DevOps (ADO) with hands-on experience in backlog management, sprint planning, and project tracking.
Strong background in software design and development methodologies, with knowledge of modern technologies, frameworks, and best practices.
Excellent communication, facilitation, and coaching skills, with the ability to engage with diverse stakeholders and foster a collaborative team environment.
Experience overseeing distributed or remote development teams is a plus."
 Scrum Master III, Scrum Master III,Argyll Infotech Enterprise Pvt Ltd,May,2024,"Job title: Scrum Master III
Location: Chicago, IL (Partial Remote)
Primary role: Facilitating the definition, development, implementation, and ongoing improvement of Agile practices within the organization.
Key responsibilities: Facilitating sprint planning, retrospective, and daily activities related to stand-ups and sprint burn down; maintaining relevant metrics; resolving identified impediments; leading Agile transformation; promoting accountability and transparency across all levels of the organization.
Leadership role: Serving as a senior team member, leading the scaling of Agile from team level to enterprise level, acting as a change agent, making decisions and independently driving any aspect of Agile rollout.
Training role: Creating training materials, providing training and coaching throughout the organization, supporting Agile teams in their development and playbook creation.
Collaboration role: Collaborating with non-Agile team, supporting them throughout transformation, advising on dependency management techniques.
Assessment role: Performing ongoing assessments of the teams' Scrum maturity to inform ongoing support decisions.
Education requirement: Bachelor's Degree and/or equivalent work experience.
Certification: CSM/CSPO Certification or PMI-ACP preferred.
Key skills required: Proficiency with common Agile practices, ability to build effective partnerships, aptitude for learning and using technology, ability to communicate well with all levels of the organization, ability to lead and demonstrate value-add principles to a team in a collaborative way, assertiveness, enthusiasm, continuous improvement mindset, ability to help leaders & teams define clear metrics, outstanding presentation and communication skills, deep understanding of common Agile practices and better product envisioning and development practices, superb conflict resolution and consensus-building skills, understanding of fundamentals of iterative development, software development processes and procedures."
"Scrum Master - Trabajo Remoto - Toluca, Mexico","Scrum Master - Trabajo Remoto - Toluca, Mexico",BairesDev,May,2024,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.

Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.

Nuestros Ingenieros de Scrum Master son desarrolladores seniors sumamente comprometidos con la calidad. Permiten la creación diaria de código altamente optimizado y listo para la para la producción. No necesitan que se les convenza de la importancia de la documentación o del trabajo en equipo, dado que los consideran los pilares de su trabajo. Son miembros apasionados y activos de nuestra comunidad que disfrutan compartiendo conocimientos, desafiando y siendo desafiados por otros desarrolladores y están realmente comprometidos con la mejora de sí mismos y de los que les rodean.

Actividades Principales

Asistir al equipo en la preparación de ART y Solution Train utilizando varias herramientas, como los progra,as y soluciones de Kanbans y otros elementos de información
Capacitar a los equipos en metodologías y enfoques Lean-Agile.
Aportar información sobre la provisión de recursos para abordar los cuellos de botella críticos.
Fomentar la colaboración entre los equipos y los sistemas y soluciones de arquitectura/ingeniería.
Trabajar en conjunto con la Gerencia de Productos y Soluciones, Product Owners y todas las partes interesadas para apoyar en el aseguramiento de la alineación de la estrategia y ejecución.
Mejorar el flujo de valor a través de los flujos de valor utilizando Continuous.
Entregar Pipeline y DevOps.
Facilitar los demos del sistema y de la solución.

¿Qué Buscamos?:

Sólida experiencia en posiciones similares.
Uso de metodologías Ágiles.
Excelentes habilidades de comunicación.
Cerrtificaciones acorde al perfil.
Nivel de inglés avanzado.

Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:

Trabajo 100% remoto: trabaja desde tu casa o donde quieras.
Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.
Hardware y software.
Horarios flexibles
Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.
Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.
Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.

¡Únete a nuestro equipo global!"
Scrum Master / Agile Coach (HYBRID - Atlanta),Scrum Master / Agile Coach (HYBRID - Atlanta),Vaco,May,2024,"Vaco in Atlanta is actively seeking a Scrum Master/Agile Coach with over 10 years' experience in successfully implementing Agile techniques and practices in different work cultures and environments and managing agile development team. This role will lead the delivery of software implementation for our client!

**Candidates MUST live in the metro Atlanta area as this is a HYBRID role 3-4 days/week in the midtown Atlanta area.

***NO Corp/C2C/3rd-parties, please!***


Responsibilities will include, but not limited to:

* Act as servant Leader for the team
* Implement Best Practices and process
* Keep all Parties on Track and Informed
* Introduce Agile Engineering Practices
* Host Daily Stand-up Meetings and other scrum ceremonies
* Assist the Product Manager with the Product Backlog preparation and prioritization based on estimates, dependencies and criticality
* Remove roadblocks and impediments
* Guides and coaches' team on the agile practices
* Teaching and mentoring Agile teams
* Makes the transition smooth by teaching key members of the teams to develop the agile mindset
* Draft governing policies to aid agile-based practices
* Determine the tools, reports, and correct metrics to ensure a standard measurement
* Facilitate and enable smooth change in working ways
* Implement systems thinking to uncover problems
* Build agile maturity and self-organizing teams
* Interacting with stakeholders for generating business value"
Scrum Master with Retail Domain Exp.,Scrum Master with Retail Domain Exp.,Flexton Inc.,May,2024,"Job Title: Scrum Master
Location: Cincinnati, OH /Charlotte, NC / Boca Raton, FL / San Jose, CA / Portland, OR / Chicago, IL. - Hybrid
Duration: 6 Month(s), Contract to Hire

Retail or Supply Chain Domain experience is preferred.

• Scrum master experience in a complex large-scale enterprise
• Experience in an agile environment in other roles; such as quality assurance, development, product owner, or as an agile coach
• Proven knowledge and experience with agile software development methodologies, values, and procedures
• Demonstrated leadership ability to coach and mentor the team to reach their highest potential. Excellent team player and team builder
• Ability to work with all levels of the organization
• Excellent interpersonal skills, ability to work collaboratively with diverse personality types
• Ability to understand technical issues at a high level and communicate agile methodologies within the organization
• Must have exceptional communication, organization, and time management skills
• Strong ability to manage multiple agile teams and ensure a proper balance between PMO (Project Management office, business and technology teams and management)
• Must be self-motivated as well as creative and efficient in proposing solutions to complex problems
• Strong analytical and problem-solving skills with a high attention to detail

Key Responsibilities:
• Guide, coach and motivate the team with the goal of increasing productivity
• Passionate about Scrum, Kanban, Lean Thinking, Lean Startup, eXtreme Programming, SAFe, LeSS, etc.
• Organize and lead Scrum ceremonies
• Oversee and manage scope, timeline, quality, goals and deliverables that support business goals
• Remove impediments or guide the team to remove impediments
• Build a trusting and safe environment where problems can be raised without fear of blame, retribution, or being judged, with an emphasis of productive conflict resolution and problem solving
• Facilitate discussions, decision making, and conflict resolution
• Prepare and present reports on the progress and success
• Coordinates activities with other teams across the program
• Partner with and support the Product Owner
• Participate in the Scrum of Scrums and partner with other Scrum Masters
• Coaching the team to higher levels of maturity, at a pace that is sustainable and comfortable for the team and organization
• Organize and facilitate planning and coordination including release / Potentially Shippable Increments planning, iteration planning, daily stand-ups, iteration review/demos, and retrospectives
• Ensure teams are held accountable to agile SDLC (Software Delivery Life Cycle) tenants and their internal working agreements including use of appropriate tools, standards and best practices
• Promote and demonstrate core agile principles of collaboration, prioritization, team accountability and visibility
• Ensure the team is tracking and communicating team progress and metrics to the appropriate resources.
• Facilitate and enable an environment of collaboration and creativity
• Support and empower the team to make appropriate commitments through story selection and task definition.
• Empower the team to self-organize around achieving their commitments
• Identify and remove any impediments/distractions that interfere with the team’s ability to deliver against their commitments
• Challenge and enable the team to continuously improve through intentional and data driven inspect and adapt cycles (retrospectives)"
Hybrid Work - Need Scrum Master in Miramar FL,Hybrid Work - Need Scrum Master in Miramar FL,Steneral Consulting,May,2024,"Scrum Master

4 days in Miramar, Fl and remote on Friday - Local Candidates only with in 60-70 Min Commute

Manager Notes: Long term contract with chance to go perm. It will be working with 3 other scrum masters. Would like someone who has a PM background and has moved into a scrum master role. Career path towards agile. Someone who can hit the ground running. This is a laid back group, and she wants someone ""nice"". Would like a senior person with good people skills that can work with and manage many different personalities. Someone who is task oriented and able to use agile best practices. MUST HAVE 10/10 COMMUNICATION

Education

Bachelor's degree in a technology related field or the equivalent related technical work experience in management of large Agile technology projects or program. Must have CSM (Certified Scrum Master) certification. A CSP (Certified Scrum Professional) certification is not required but would be a plus.

Experience

A candidate for this position typically has between 7 to 10 years of experience as a Scrum Master/IT Project Management of which at least 5 years have been in a Scrum Master position.

The applicant must hold a working knowledge of technology appropriate tool sets and relevant operating systems. Highly effective oral and written communication, a customer-service orientation, the ability to work in a team environment, accepting guidance, and following directions are paramount to the success of this role.

Knowledge, Skills & Abilities

Technical and soft skills should include experience in analysis, design, construction and management of high volume web applications. Inclusive of the following:

Understand basic fundamentals of iterative development
Understand other development processes and methodologies and can leverage other techniques to provide value to the team/enterprise
Understand basic fundamentals of software development processes and procedures
Understand the value of commitments to delivery made by a development team
Understand incremental delivery and the value of metrics
Understand backlog tracking, burndown metrics, velocity, and task definition
Familiarity with common Agile practices, service-oriented environments, and better development practices
Strong analytical and problem solving skills
Strong written and verbal skills
Strong vendor management skills
Strong experience in demand management
Solid budget and financial analysis skills
Solid exposure to development of Mobile sites with focus on guest experience"
Agile Coach,Agile Coach,Oteemo Inc.,May,2024,"Company Description

We are a leading-edge technology consulting firm committed to empowering organizations through the implementation of cloud-native and enterprise DevSecOps transformations. Our team of dedicated experts is driven by a passion for harnessing cutting-edge technologies to deliver unparalleled value to our clients, and shepherding our clients through all dimensions of major transformations, including the business process, workforce, and structural changes associated with service modernization.

Job Description

At Oteemo, an Agile Coach plays a key role in ensuring that projects and initiatives meet established objectives, facilitating major change to improve both individual and organizational performance. This person focuses on preparing, supporting, and equipping people to adopt new technologies and processes for working collaboratively.

Oteemo needs a seasoned professional with extensive experience working within and managing software and infrastructure projects within the context of large modernization efforts. Doing so entails straddling various IT groups and Business stakeholder forums to enable smooth planning, prioritization, and execution of engagement objectives. The Agile Coach will have strong experience with all facets of Agile, including working at scale across client organizations and entails working across multiple stakeholders to establish consensus and manage expectations.

In this role, the Agile Coach will:

Facilitate of the introduction and adoption of an Agile approach and mindset across both the IT and corresponding Businesss units
Enable and lead value stream definition, mapping, and downstream activities prioritizing and executing work
Work with Product Owner/Value Stream Leads to develop and implement an iterative and adaptive approach to improving Agile delivery practices
Establish Agile processes/forums for management and executive teams, coaching leadership around the adoption of Agile practices at scale within an organization
Utilize Design Thinking and Business Process Engineering when working closely with cross-functional teams to improve feedback loops
Manage large, complex projects in a high-tech environment with multi-functional teams, and bring functional groups together across various levels of the organization; straddle support across multiple service delivery teams.
Participate and actively contribute to continuously evolving processes to align with larger enterprise Agile transformation strategy and roadmaps.
Conduct Agile classroom/workshop training for professionals across different organizational levels.
Establish and maintain strong relationships, including build trust and/or influence stakeholders toward a common vision or goal.
Conduct ongoing evaluations to ensure the effectiveness of Agile programs; recommend training or other process modifications, as necessary.

Qualifications

8+ years of experience managing DevSecOps-styled technology projects in an Agile manner.
Agile Coach certification or designation desired.
Solid understanding of software development life cycle as well as expert knowledge of both Agile and traditional project management principles and practices, with the ability to blend them together in the right proportions to fit a project and business environment.
Experience with setting up Agile dashboards, reporting and monitoring structures to improve transparency and reporting of the projects across all teams; able to help Business units and IT define and measure success.
Experience introducing, training, and coaching adoption of Agile within an organization, developing training materials and delivering/coaching teams and Business stakeholders throughout product management adoption.
Experience with SAFe framework or equivalent engagements involving complex system development with multiple product teams supporting dependent components.
Exceptional communication skills, both written and verbal; can clearly articulate and tailor messages to a variety of audiences.
Excellent facilitation and active listening skills.
Flexible and adaptable; able to work in ambiguous situations and establish a clear path forward.
Organized with a systems-thinking mindset that can problem-solve based on root-cause identification.
Must be a team player and able to work collaboratively with and through others at all levels of the organization.
Experience managing both Scrum and Kanban projects.

Additional Information

We Value:

Drive: Passion and energy to implement quality technical solutions. Self-motivation and intellectual curiosity
Commitment to Quality: Passion to conceive and produce world-class solutions that drive real-world value for the customer
Customer Focus: Consultative approach to solving problems for customers. Expectations management.
Communication: Superior communication skills. Ability to clearly articulate problems, solutions, risks, rewards etc. (written and verbal)
Technical Skills: Love for technology. You have to be inherently passionate about technology.
Business Acumen: Technology ultimately is used to enable the business. We look for people who understand how the businesses can be enabled through their technical solutions

What we offer:

Ability to make a noticeable difference for the organization and our customers
Tremendous growth opportunity by becoming part of a rapidly growing organization. It’s not your tenure but what you can bring to the table that defines how your career will be shaped. You control your growth.
Complex but interesting challenges to improve the depth and breadth of your technical and business skills. Our consultants are business technologists and understand how technology drives business.
Competitive pay and benefits

Work authorization requirement: US Citizen

Oteemo is an equal employment and affirmative action employer. We evaluate qualified applicants on merit and business needs and not on race, color, religion, creed, gender, sexual orientation, national origin, ancestry, age, disability, genetic information, marital status, veteran status or any other factor protected by law. Oteemo complies with the law regarding reasonable accommodations for handicapped and disabled employees."
Sr. Scrum master/Coach,Sr. Scrum master/Coach,Horizon Information Technology Solutions Inc,May,2024,"Here Is The Requirement As Follows

Position: Scrum Master/Coach

6 months contract

Remote/Hybrid

Exp level: 10+ years

BTC location: Cincinnati, OH

Hub locations: Chicago, IL; Cincinnati, OH; Charlotte, NC; San Jose, CA; Boca Raton, FL; Portland, OR

Top 3 skills - Facilitating Scrum events and coaching on agile methodology; manage and remove impediments to delivery; self-motivated with attention to detail

An experienced servant leader and coach for a cross-functional agile team operating in complex and cross functional work across the Security, Data and Networking domain areas related to transformation to the Cloud. The Scrum Master guides and facilitates a Scrum &/or Kanban team involved in a large fast-paced program implementing complex technology for business-oriented solutions, through effective application of the agile based SDLC (Software Delivery Life Cycle) and associated ceremonies, ensuring the agreed upon agile practice is being followed. Removing impediments and fostering a high performing team with a focus on continuous improvement resulting in quality and timeliness delivery.

Scrum master experience in a complex large-scale enterprise

Experience in an agile environment in other roles; such as quality assurance, development, product owner, or as an agile coach

Proven knowledge and experience with agile software development methodologies, values, and procedures

Demonstrated leadership ability to coach and mentor the team to reach their highest potential. Excellent team player and team builder

Ability to work with all levels of the organization

Excellent interpersonal skills, ability to work collaboratively with diverse personality types

Ability to understand technical issues at a high level and communicate agile methodologies within the organization

Must have exceptional communication, organization, and time management skills

Strong ability to manage multiple agile teams and ensure a proper balance between PMO (Project Management office, business and technology teams and management)

Must be self-motivated as well as creative and efficient in proposing solutions to complex problems

Strong analytical and problem-solving skills with a high attention to detail Guide, coach and motivate the team with the goal of increasing productivity

Key Responsibilities

Organize and lead Scrum ceremonies

Oversee and manage scope, timeline, quality, goals and deliverables that support business goals

Remove impediments or guide the team to remove impediments

Build a trusting and safe environment where problems can be raised without fear of blame, retribution, or being judged, with an emphasis of productive conflict resolution and problem solving

Facilitate discussions, decision making, and conflict resolution

Prepare and present reports on the progress and success

Coordinate activities with other teams across the program

Partner with and support the Product Owner

Participate in the Scrum of Scrums and partner with other Scrum Masters

Coach the team to higher levels of maturity, at a pace that is sustainable and comfortable for the team and organization

Organize and facilitate planning and coordination including release / Potentially Shippable Increments planning, iteration planning, daily stand-ups, iteration review/demos, and retrospectives

Ensure teams are held accountable to agile SDLC (Software Delivery Life Cycle) tenants and their internal working agreements including use of appropriate tools, standards and best practices

Promote and demonstrate core agile principles of collaboration, prioritization, team accountability and visibility

Ensure the team is tracking and communicating team progress and metrics to the appropriate resources.

Facilitate and enable an environment of collaboration and creativity

Support and empower the team to make appropriate commitments through story selection and task definition.

Empower the team to self-organize around achieving their commitments

Identify and remove any impediments/distractions that interfere with the team's ability to deliver against their commitments

Challenge and enable the team to continuously improve through intentional and data driven inspect and adapt cycles (retrospectives)""

Note

Soft Skills Needed - Managing milestones, Proactive Communication, Transparency

Project person will be supporting - Sensitive Project Work

Team details ie. size, dynamics, locations - The team is currently being built. It will likely be a mix of Kroger FTE's and contractors

Work Location (in office, hybrid, remote) - Mostly remote but MUST be in a Hub City. If near by a hub office, may be required to report to the office periodically

Is travel required -No"
Scrum Master/Project Manager III,Scrum Master/Project Manager III,CRG,May,2024,"Scrum Master/Project Manager III

Location: Remote
Duration: 6+ Months, Contract
Pay: $60-65/hour W2

JOB DESCRIPTION
Our Retail client with over $80B in annual revenue has over 2,000 stores, across 21 US states, with over 400,000 employees. This company is a leader in sustainable retailing with a passion for delivering excellence. By driving omni channel growth, efficiency in the shopping experience and continuing to develop with new technologies; this company is growing and developing continuing success. The leadership team strives for work-life balance for all its employees, with options for overtime if desired.
RESPONSIBILITIES
Responsible for all aspects of the development/implementation of a systems project or program involving department or cross-functional teams focused on the delivery of a computer-based system from the design process through a finished state for internal/external customers.
Provides a single point of contact for projects.
Takes projects from original concept through final implementation.
Interfaces with all areas affected by the project including end users, computer services, and client services.
Defines project scope and objectives.
Oversees/coordinates all aspects of project and serves as project manager between clients, systems, line management and other departments.
Plans and directs schedules as well as project budgets.
Monitors the product/program/project from initiation through delivery, interfacing with customer on technical and non-technical matters.
Assesses project issues and develops resolutions to meet productivity, quality, and client-satisfaction goals.
Develops detailed work plans, schedules, project estimates, resource plans, budgets, and status reports.
Conducts project meetings and is responsible for project deliverables.
Manages the integration of vendor tasks, and tracks and reviews vendor deliverables.
QUALIFICATIONS:
Experience as a Scrum Master leading teams going from Waterfall to Agile, but also experience as a Project Manager, handling artifacts, discussing with different stakeholders and other teams to drive results.
Experience handling directly Financials in a Corporate environment.
Experience working with Cloud teams, Azure is a plus!
Category Code: JN008"
