Position,Company_Name,Location,Post_Month,Post_Year,Details
"Classified Cyber Security Analyst / ISSO / Lvl 2 / Orlando, FL","Classified Cyber Security Analyst / ISSO / Lvl 2 / Orlando, FL",Lockheed Martin,May,2024,"Lockheed Martin’s Missiles and Fire Control (MFC) business, the leading provider and pioneer for exceptional weapon systems, sensors and services is seeking a Classified Cyber Security Analyst / Information System Security Officer (ISSO) to join the security team in Orlando, FL. The candidate will perform classified cybersecurity duties supporting multiple programs and must have a working knowledge of the Risk Management Framework (RMF).

Responsibilities Include, But Are Not Limited To

Development and implementation of System Security Plans (SSP), Standard Operating Procedures (SOP), information security policies and required bodies of evidence, as necessary, to ensure compliance with RMF guidelines.
Acting as a liaison with government agency representatives, such as the Defense Counterintelligence Security Agency (DCSA) Information System Security Professionals (ISSP), Advanced / Special Program Security Control Assessors (SCA), and other external /internal customers, including, but not limited to, counterintelligence and Information Technology (IT) professionals.
Ensuring the development and implementation of an effective information system security education, training, and awareness program (SETA).
Overseeing the compliance of security settings for operating systems, to include Windows, Unix/Linux, etc. on classified information systems under their purview.
Ensuring proper measures are taken when an information system incident or vulnerability is discovered.
Managing and executing the information security continuous monitoring program.
Ensuring configuration management policies and procedures for authorizing the use of hardware / software on an information system are followed and assess changes to the system, its environment, and operational needs that could affect the security authorization.
Maintaining required information security certifications (e.g. Sec+, CISSP, etc)."
Cyber Security Engineer 1,Cyber Security Engineer 1,Elsevier,May,2024,"Security Engineer I

Elsevier employs 9,000 people worldwide, including over 2,500 technologists. We have supported the work of our research and health partners for more than 140 years. Growing from our roots in publishing, we offer knowledge and valuable analytics that help our users make breakthroughs and drive societal progress.
Digital solutions such as ScienceDirect, Scopus, SciVal, ClinicalKey and Sherpath support strategic research management, R&D performance, clinical decision support, medical education, and nursing education. Researchers and healthcare professionals rely on over 2,800 journals, including The Lancet and Cell; 46,000+ eBook titles; and iconic reference works, such as Gray's Anatomy.

About our Team: You will be joining the Engineering Assurance team within Elsevier’s Information Security & Data Protection department, where you will support and maintain the company's security infrastructure

About the Role: Your primary responsibilities will include responding to infrastructure and application health alerts, performing routine maintenance, and collaborating with Incident Response and Security Engineering peers to ensure the effective maintenance of security tools and prompt response to security alerts.

We are looking for a candidate with a genuine interest in cybersecurity and a strong motivation to learn and grow in the field. The ideal candidate will have an understanding of cybersecurity principles and exposure to cloud technologies. Familiarity with coding and the ability to write basic applications in Python is highly desirable. We are committed to providing training and development opportunities for all team members to help you build the skills and experience needed to be successful in this role


Responsibilities
Supporting security infrastructure tasks in cloud environments
Documenting and investigating infrastructure health alerts
Escalating to the appropriate security team about confirmed health incidents or if maintenance doesn't go as planned
Escalating the appropriate incident response protocol when a security incident has been identified
Assisting in gathering security metrics and preparing reports for applicable stakeholders
Proposing and collaborating on implementing automations to reduce manual repetitive tasks
Maintaining and improving runbooks to enhance operational capabilities


Requirements
Experience with patching systems in an enterprise setting
Demonstrate familiarity with industry standards such as ISO 27001, NIST or CIS Controls
Have a basic knowledge of IT network concepts and processes and cloud environments
Have preliminary understanding of programming concepts
Demonstrate interest in breaking into cybersecurity; starting on this team opens you up to progress into different areas."
Temporary- Cyber Security Analyst,Temporary- Cyber Security Analyst,Tennessee Board of Regents (TBR),May,2024,"Title: Temporary - Cyber Security Analyst

Position Summary

Under the directive of the Information Security Officer, the cyber security analyst will implement security strategies and best practices in accordance with regulatory standards.

Essential Job Functions/Job Duties And Responsibilities

Conduct or coordinate vulnerability scans and document findings and risk mitigation strategies. Implement, monitor and maintain preventive and detective controls. Operate, administer and monitor network and host-based intrusion detection/prevention systems. Operate, administer and monitor Microsoft Defender SIEM. Analyze network traffic, intrusion attempts, activity logs and system alerts for trends, anomalies and potential security breaches. Analyze compromised computing resources to improve security design and policy compliance. Research, analyze, test and implement new security software solutions. Enforce security policies and procedures by administering and monitoring security profiles. Perform other duties as assigned.

Required Qualifications

High School Diploma or GED

One year of experience in information security and compliance regulations.

Proficiency with Microsoft applications.

Preferred Qualifications

Certificate in information security, i.e., Security+, Pen+, Ethical Hacker.

Experience with SIEM (Microsoft Defender).

Experience in phishing campaign/training.

Knowledge, Skills And Abilities

Basic knowledge of incident response procedures. Knowledge of OSI Model and concepts. Knowledge of Information Security Concepts. Strong analytical, organizational and writing skills. Knowledge of NIST, CIS and FERPA controls. Interpersonal skills to effectively collaborate with both technical and non-technical personnel across different organizational levels.

Experience utilizing IT security systems and tools, including analyzing logs for security breaches. Ability to adhere to department processes and procedures. Demonstrated skills applying security controls to computer software and hardware. Basic proficiency in reading and interpreting security logs. Fundamental knowledge of vulnerability scanning and Basic knowledge of risk assessments procedures.

Open Until Filled: Yes

Rate of Pay: $20.00 per hour

Work Hours: Up to 28 hours per week

Special Instructions to Applicants: Unofficial transcripts are acceptable for the application process. Official transcripts are required upon hire. Applicants may be subject to a background check.

Nashville State offers flexible work arrangements for positions that qualify."
Expression of Interest - Cyber Security Architect,Expression of Interest - Cyber Security Architect,Marlee (Fingerprint For Success),May,2024,"We are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool.

The Marlee Talent Pool is a pilot project designed to:

Help job seekers get discovered by our partners based on their anticipated hiring needs
Provide optional support and resources for job seekers in their career endeavours
Help individuals understand, and bring out the best in themselves and each other

The Marlee Talent Pool process:

Once you express your interest, you will be asked to complete the Marlee work style assessment which measures 48 key attitudes and motivations in the context of work. On completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise.

About Marlee (Fingerprint For Success)

Backed by 20+ years of research, Marlee’s revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviours, and performance.

Ultimately, we help people find purpose and fulfillment at work, and help build and scale high-performing teams.

Keep in mind that joining our talent pool does not guarantee a job offer. We aim to balance your technical skills with the results of your Marlee work style assessment to match the hiring needs of our partners.

Your feedback is a gift! Write to us via: to help co-create the future of recruitment, together.

Powered by JazzHR

p67mWIvNgu"
Senior Cyber Security Engineer,Senior Cyber Security Engineer,Jobs Malaysia - Two95 HR HUB,April,2024,"Title: Senior Cyber Security Engineer

Location: Tampa, FL (Hybrid)

Duration: Full Time

Salary: $Open / Market

Requirements

Required Experience:

Bachelor's Degree or equivalent experience required; advanced degrees or certifications preferred
A minimum of seven years of functional experience in cyber security
At least six years of experience and advanced knowledge in three following systems/languages:
Firewall software/hardware (Cisco ASA and Palo Alto)
Proxy Filtering (Blue Coat Proxy)
Centralized Log configuration and analysis (Splunk)
IDS/IPS configuration and analysis
SSO Infrastructure (CA SiteMinder, LDAP and RSA IdM)
Network Vulnerability Scanning (Nessus/Tenable)
Advanced User Authentication Structures (Cisco ACS and RSA ACE servers)
OS Hardening and Security: IBMi Series, Linux, Mac, Windows
Application vulnerability scanning
Networking TCP/IP and packet capture applications
Endpoint Protection solutions (Proofpoint, CrowdStrike or McAfee)
Encryption Technology
SOX, PCI Requirements, and Auditing
Project management (including mid-to-large scale projects, and managing multiple projects at one time)
IT Security Certification such as the CISSP (Certified Information Systems Security Professional) or the CISM (Certified Information Security Manager) preferred

Benefits

Note: If interested please send your updated resume to ajith.anthoniraj@two95intl.com and include your rate requirement along with your contact details with a suitable time when we can reach you. If you know of anyone in your sphere of contacts, who would be a perfect match for this job then, we would appreciate if you can forward this posting to them with a copy to us.

We look forward hearing from you at the earliest!"
IT security Analyst (CISSP certified),IT security Analyst (CISSP certified),Steneral Consulting,May,2024,"IT Security Analyst

Monitor and advise on information security issues related to the systems and workflow at an agency to ensure the internal IT security controls for an agency are appropriate and operating as intended. Coordinate and execute IT security related projects for the agency. Coordinate response to information security incidents. Develop and publish Information Security policies, procedures, standards, and guidelines based on knowledge of best practices and compliance with State IT Security policies, standards, and guidelines.
Conduct state-wide data classification assessment and security audits and manage remediation plans. Collaborate with IT management, Internal Audit, and SOM to manage security vulnerabilities. Create, manage, and maintain user security awareness. Conduct security research and keep abreast of latest security issues.
Prepares IT security documentation, including department policies and procedures, agency notifications, Web content, and alerts.

IT Security Analyst 3 Years of Experience 4 to 8 years of experience in the field or in a related area. Job Description Has knowledge of commonly used concepts, practices, and procedures within a particular field. Relies on instructions and pre-established guidelines to perform the functions of the job. Primary job functions do not typically require exercising independent judgment.

Top Skills And Years Of Experience

IDS (Intrusion Detection System) 4-8 years
IOC (Indicators of Compromise) 4-8 years
Experience with writing Security Related Policies & Procedures 4-8 years
SEIM (Security Event & Incident Management) experience 4-8 years
Security Operations Center (SOC) Experience 4-8 years
CISSP Certification

This position is a hybrid position (2 days per week in the office and 3 days work from home). The position is on call as needed. Any hours worked after 40 hours will be used as flex time."
Senior Cyber Security Engineer - REMOTE,Senior Cyber Security Engineer - REMOTE,"Sharp Solutions, Inc",May,2024,"We have the following Senior Cyber Security Engineer perm position with full benefits.
100% Remote
Must be a US Citizen
Job description
The Senior Cyber Security Engineer is responsible for ensuring the confidentiality integrity and availability of information through the design implementation and management of the enterprise security systems while maintaining compliance with HIPAA corporate policies and other regulatory requirements.
Researches new and emerging security threats and implement protective measures within the enterprise infrastructure.
The engineer will perform common assessments process and procedure development threat and vulnerability analysis coordination of organizational initiatives and resolution of complex technical issues.
Qualifications
6 Years Information Technology - Information Services And Information Technology - Data Security Required
Certified Information Systems Security Professional Or Related Certification Required
Responsibilities
The Senior Cyber Security Engineer is responsible for ensuring the confidentiality integrity and availability of information through the design implementation and management of the enterprise security systems while maintaining compliance with HIPAA corporate policies and other regulatory requirements
Researches new and emerging security threats and implement protective measures within the enterprise infrastructure
The engineer will perform common assessments process and procedure development threat and vulnerability analysis coordination of organizational initiatives and resolution of complex technical issues"
Network Security Architect/Analyst (Privileged Access Management (PAM),Network Security Architect/Analyst (Privileged Access Management (PAM),Steneral Consulting,April,2024,"Network Security Architect/Analyst (Privileged Access Management (PAM), 10+ years

Hybrid (3 days onsite)

Work Location: 2 Broadway - MTA Headquarters

Desired Start Date: 4/15/2024

Duration: 9 months

Work hours: 40.00

Job Description

Job Description:

This role is specifically tailored for a Privileged Access Management (PAM) Specialist with deep expertise in BeyondTrust solutions, including BeyondTrust Endpoint Privilege Management (BT EPM), as well as a strong foundation in account security and red teaming tactics. The primary responsibility of this position is to lead and support the development, implementation, and management of PAM strategies and frameworks across the enterprise, ensuring the secure operation of BeyondTrust platforms and the safeguarding of privileged accounts. The candidate must demonstrate:

Profound knowledge and hands-on experience with BeyondTrust's PAM solutions, especially BeyondTrust Endpoint Privilege Management (BT EPM).
Expertise in designing and implementing PAM policies, procedures, and standards to protect privileged accounts and reduce the attack surface.
Experience in conducting vulnerability analyses and security assessments, particularly related to privileged account usage, to identify and mitigate potential risks.
Familiarity with the principles of red teaming, including the ability to simulate advanced persistent threats (APTs) and insider threats to test the resilience of PAM controls and processes.
Strong technical background in network and system security technologies, with the ability to design, implement, and manage security solutions that integrate seamlessly with BeyondTrust platforms.
Excellent analytical skills for evaluating security requirements and translating them into effective security controls and measures.

Responsibilities Include

Leading the PAM program, focusing on the secure management of privileged access through BeyondTrust solutions.
Assessing security requirements by analyzing business strategies and requirements; researching information security standards; performing system security and vulnerability analyses specific to privileged access; identifying integration issues; and preparing cost estimates.
Planning and implementing PAM solutions by developing requirements for privileged access security; designing and deploying BeyondTrust EPM configurations; ensuring compliance with industry standards.
Executing security system enhancements by monitoring the PAM environment; evaluating and implementing upgrades and improvements to BeyondTrust solutions.
Preparing system security reports by collecting, analyzing, and summarizing data and trends related to privileged access management.
Staying informed of emerging PAM practices, technologies, and standards through continuous education, reading professional publications, and participating in professional organizations.
Conduct account cleanup by methodically reviewing access tickets and assessing associated risks to ensure robust security postures; leverage expertise in BeyondTrust Privilege Management and red teaming tactics to identify and mitigate vulnerabilities, streamlining account security protocols.
Must possess extensive experience with Active Directory and Azure Identity services, demonstrating a strong understanding of directory services, identity management solutions, and cloud-based identity integration to maintain secure and efficient user access and authentication processes.

The ideal candidate should have previous experience in a lead or managerial role, with a proven track record of effectively securing privileged access in complex environments.

Skills And Information

VMWare Security

Infrastructure Security

Active Directory Hardening and Architecture Security

BeyondTrust PAM / EPM

Infrastructure Platforms (PC, Client/Server. Mainframe) 4 - 6 Years

VMware 4 - 6 Years

IT Security Administration 4 - 6 Years

Microsoft Active Directory 4 - 6 Years

Team Lead 4 - 6 Years"
Senior Cyber Security Specialist (Security Engineer),Senior Cyber Security Specialist (Security Engineer),Whopper Technologies,March,2024,"Job Title: Senior Cyber Security Specialist (Security Engineer) (Remote)

Type: Contract

Location: United States / Canada

Overview / Responsibilities

The Cyber Threat Operations and Engineering team is responsible for the implementation, operation, maintenance, and growth of technology solutions intended to mitigate cyber security threats. These solutions range from network security technologies like firewalls, URL filters, intrusion detection/prevention systems, advanced threat prevention technologies, and web application firewalls to server and endpoint solutions such as filesystem monitoring, filesystem encryption, vulnerability management and malware detection/prevention agents. This team is also responsible for ensuring that documented standards and processes for all aforementioned capabilities exist and are consistently followed. The is primarily a network security position focused on the areas highlighted above in red.

Qualifications

Minimum of five (5) years of experience in information technology, security administration, business analysis, risk, audit, compliance, computer forensics, network perimeter security or other related discipline.
Comprehensive understanding of at least one security, technical, or risk discipline.
Experience working with vendors and resellers, handling vendor/reseller relationships, and bringing available resources to bear to solve problems or realize opportunities.
Experience managing/leading projects and ability to produce any necessary artifacts.
Experience with one or more of the following is preferred:
Crowdstrike, McAfee, Cylance, Bromium, Symantec, Varonis, Tenable, Rapid7, Qualys, Veracode, Vormetric, WhiteHat, Prisma Cloud, AIP/DLP

Skills

Strong verbal and written communication skills.
Solid Interpersonal skills.
Ability to coordinate activities with team members and other stakeholders.
Excellent customer service skills.
Must have a strong work ethic, great time management skills and a positive attitude.
Ability to work independently or on a team
Ability to multi-task and change priorities with effective results.
Strong knowledge of at least one of the following areas: operating systems, databases, systems, networks, application development.
Strong knowledge of computer vulnerabilities, hacker methodologies and other threats.
Strong MS Excel and reporting skills required. Experience using PowerBI strongly preferred.
Ability to leverage various trusted sources of information (articles, webinars, Internet, etc.) to gain accurate knowledge of current security threats, vulnerabilities, mitigating strategies to address them and then recommend and implement appropriate solutions for the FM Global organization.

Education

Bachelor’s Degree in Information Security / Assurance, Computer Science, Information Technology, or a related discipline, or equivalent work experience or technical training with a non-related degree.
(Related certifications such as PWAPT, GWAPT a plus)

Whopper Technologies, a minority women-owned enterprise, is at the forefront of digital transformation, technology excellence, and business growth solutions. Specializing in talent mobilization and innovation, we are dedicated to enhancing customer experiences across diverse sectors such as Information Technology, Telecommunications, Healthcare, Engineering, and the Public sector. With a focus on deploying top-tier talent and fostering innovation, we empower businesses to thrive and excel in a rapidly evolving digital landscape, helping them reach new heights of success.

Whopper Technologies is committed to fostering workforce diversity and is proud to be an equal opportunity employer."
Security Analyst -locals,Security Analyst -locals,Steneral Consulting,May,2024,"Security Analyst

Hybrid in Pittsburgh, PA – Temp to perm – 12 months - Need locals

To provide support for ad hoc reporting, risk treatment/ mitigation discussions (i.e. IAM & Vulnerability remediation) while working in partnership with the ISD ECM Operations team on the VM/IAM creation/management of policy waivers and control gap oversight.

1 Analytical and troubleshooting skills

2 Relentless in the pursuit of continuous cyber hygiene, control completeness, and effectiveness

3 Strong experience with business intelligence data analysis and reporting platforms (SQL, DB2m Power BI, Business Objects, Qlik, Tableau, Excel/PowerPoint, etc.)"
