Position,Company_Name,Location,Post_Month,Post_Year,Details
Software Engineer,Software Engineer,Flint,May,2024,"Founded in May 2023, Flint is a pioneering AI platform that empowers K-12 schools to create personalized AI tutors for their students. Our platform enhances learning while ensuring the utmost protection of student data. Teachers can design AI tutors to facilitate 1-1 conversations with students, tailoring the learning experience based on custom objectives and materials. This unique approach to education has been embraced by top schools in and outside of the US, providing an engaging and effective learning experience for students. Flint has a leadership team that includes a second-time founder as CEO and a former Google engineer as CTO.

To learn more, you can check out our website at https://www.flintk12.com/.

Job Description

As a Software Engineer at Flint, you will be expected to:

Understand and adapt to rapidly evolving business and user needs
Actively participate in product feature ideation
Collaboratively design, develop, and deliver features

You’ll join a lean team with rapidly growing revenue and will own product alongside Jinseo, our CTO. View Jinseo’s GitHub here.

Minimum Qualifications

Proficiency in TypeScript
Hands-on experience with React and Node.js
A keen interest in the application of AI in both formal and informal education settings
No academic qualifications or minimum number of years of experience required

Preferred Qualifications

Strong opinions on product development
A trendy sense of UI/UX design
High level of attention to detail
Experience with NextJS
Familiarity with RDBMS

What We Offer

A competitive salary
Health, dental, and vision insurance
Generous equity
In-person work in San Francisco is preferred, but also open to fully remote
Two round-trip flight tickets to San Francisco every year"
Junior iOS Developer,Junior iOS Developer,Team Remotely Inc,May,2024,"This is a remote position.

Junior iOS Developer (1 year experience, remote)

Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.

Hiring Type: Full-Time

Base Salary: $56K-$66K Per Annum.

Description:

Join our team as an iOS Developer and contribute to the design, development, and maintenance of our iOS applications. You will collaborate with senior developers to create user-friendly and high-performance mobile applications that meet our clients' needs. This is a great chance to enhance your iOS development skills and work on exciting projects in a collaborative and supportive environment.

Responsibilities:

Collaborate with the development team to understand project requirements and objectives.
Assist in the design and development of iOS applications from concept to deployment.
Write clean, efficient, and maintainable code in Swift or Objective-C.
Implement and integrate APIs and web services for data retrieval and storage.
Collaborate with designers to ensure a visually appealing and user-friendly interface.
Conduct testing and debugging to ensure the functionality and performance of applications.
Stay up-to-date with the latest iOS development trends and technologies.
Participate in code reviews and provide constructive feedback to improve code quality.
Document technical specifications and project details.

Qualifications:

Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent work experience).
Solid understanding of iOS development principles and best practices.
Proficiency in Swift or Objective-C programming languages.
Knowledge of iOS frameworks and libraries (e.g., UIKit, Core Data, Alamofire).
Familiarity with RESTful APIs and JSON/XML parsing.
Understanding of version control systems (e.g., Git).
Strong problem-solving and analytical skills.
Excellent communication and collaboration abilities.
Ability to work independently and within a team.
Eagerness to learn and adapt to new technologies.

Preferred Qualifications:

Experience with iOS app development projects (personal or professional).
Familiarity with mobile application architecture patterns (e.g., MVC, MVVM).
Knowledge of backend development languages such as Python, Java, or Node.js.
Exposure to Agile development methodologies.
Basic understanding of software testing principles and methodologies.

Benefits:

Competitive salary based on skills, qualifications, and experience.
Comprehensive health, dental, and vision insurance plans.
Retirement program with lifetime pension benefits.
Paid time off and holidays.
Flexible work schedule and remote work options.
Opportunities for professional development and growth.
Collaborative and inclusive work environment."
Junior Software Development Engineer,Junior Software Development Engineer,Team Remotely Inc,May,2024,"This is a remote position.

Junior Software Development Engineer (1 year experience, remote)

Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.

Hiring Type: Full-Time

Base Salary: $62K-$72K Per Annum.

Description:

As a Junior Software Development Engineer, you will play a crucial role in the design, development, and maintenance of our software applications. You will work closely with senior engineers and collaborate with cross-functional teams to deliver high-quality solutions. This is an exciting opportunity to kick-start your career in software development and contribute to innovative projects in a supportive and collaborative environment.

Responsibilities:

Collaborate with the development team to understand project requirements and objectives
Participate in the entire software development lifecycle, from design to deployment
Write clean, efficient, and maintainable code following best practices and coding standards
Contribute to the development of both front-end and back-end components
Collaborate with designers to ensure a visually appealing and user-friendly interface
Integrate APIs and web services to enable seamless communication between different systems
Conduct testing and debugging to ensure the functionality and performance of applications
Participate in code reviews and provide constructive feedback to improve code quality
Stay up-to-date with the latest software development trends and technologies
Document technical specifications and project details

Qualifications:

Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent work experience)
Solid understanding of software development principles and best practices
Proficiency in at least one programming language (e.g., Java, C++, Python, Ruby)
Familiarity with front-end development languages such as HTML, CSS, and JavaScript
Knowledge of relational databases and SQL
Understanding of version control systems (e.g., Git)
Strong problem-solving and analytical skills
Excellent communication and collaboration abilities
Ability to work independently and within a team
Eagerness to learn and adapt to new technologies

Preferred Qualifications:

Experience with software development projects (personal or professional)
Familiarity with front-end frameworks/libraries like React, Angular, or Vue.js
Knowledge of back-end frameworks (e.g., Spring, Django, Ruby on Rails)
Exposure to cloud platforms such as AWS, Azure, or Google Cloud
Understanding of Agile development methodologies
Basic understanding of software testing principles and methodologies

Benefits:

Flexible vacation, unlimited paid holidays, and paid sick days
401(k) with up to 2% employer match
Health, vision, and dental insurance"
Software Engineer (Remote),Software Engineer (Remote),ECP,May,2024,"ECP is growing quickly and is looking for experienced engineers looking to join an amazing team and write great code to help make life better at senior living communities around the world.

ECP is a market-leading SaaS solution that enables senior living communities to better care for their residents. ECP is used in over 6,000 communities around the world. We're looking to further expand by increasing the number of customers that use our software and increasing the scope of how we serve our customers by developing and releasing new products.

You will join a talented and committed team, and you will have constant opportunities to learn about our business, work with state-of-the-art tools and technology, and build solutions that fuel our growth.

If you have considerable experience with front-end and back-end Javascript frameworks, Java, cloud-native services, relational and no-SQL databases, microservices and CI/CD, and you're ready to hit the ground running, please keep reading.

Our headquarters is in Wisconsin, but we are open to fully remote candidates across the US.

Contribute to day-to-day development: contribute tested, documented, well-written and performant code to solve problems and extend product functionality.Continually improve your knowledge and application of relevant languages and frameworks that we are using, or that are agreed upon potential additions to our tech stack. Stay intellectually curious and up to date on technical best practices
Continually improve your knowledge and application of relevant languages and frameworks that we are using, or that are agreed upon potential additions to our tech stack. Stay intellectually curious and up to date on technical best practices
Work collaboratively in a team. Perform as a productive teammate with your fellow developers and others involved in the development process. Communicate frequently and openly, help those around you to deliver more effectively, and embrace team standards for communication, code management, and development process
Develop an understanding of our overall product and platform. Understand how the work you contribute will fit into our overall development pipeline, and how the functionality you build will benefit our customers, their constituents, and our company


Requirements

1+ years of professional, commercial software development experience
Proficiency with full stack front-end and back frameworks and languages such as React, Node.js, Java, Python, etc
Experience developing in accordance with common applicable design patterns and object-oriented development
Expertise with versioning systems (preferably git)
Experience working in an agile development process
Fluent English, grammatical skills
Legally authorized to work in the United States without sponsorship
Experience managing your work within a ticketing system such as Azure DevOps or Jira
Experience with relational and NoSQL databases"
Software Engineer I,Software Engineer I,The Walt Disney Company,May,2024,"About The Role & Team

On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories while also transforming our media business for the future. Whether that’s evolving our streaming and digital products in new and immersive ways, powering worldwide advertising and distribution to enhance flexibility and efficiency, or delivering Disney’s unmatched entertainment and sports content, every day is a moment to make a difference to partners and to hundreds of millions of people around the world.

A few reasons why we think you’d love working here:


Building the future of Disney’s media: DE&E Technologists are designing and building the infrastructure that will power our media, advertising, and distribution businesses for years to come.
Reach & Scale: The products and platforms this group builds and operates delight millions of consumers every minute of every day – from Disney+ and Hulu, to ABC News and Entertainment, to ESPN and ESPN+, and much more.
Innovation: We develop and implement groundbreaking products and techniques that shape industry norms and enhance how audiences experience sports, entertainment & news.


The Product & Data Engineering team is responsible for end-to-end development of Disney’s world-class consumer-facing products, including streaming platforms Disney+, Hulu, and ESPN+, and digital products & experiences across ESPN, Marvel, Disney Studios, NatGeo, and ABC News. The team drives innovation at scale for millions of consumers around the world across Apple, Android, Smart TVs, game consoles, and the web, with our platforms powering core experiences like personalization, search, messaging and data.

What You Will Do

As a Software Engineer within the Web Application Experiences team, you will focus on building experiences for our core streaming products, pushing the boundaries of what is possible on Disney+, Hulu, and Star+. Our mission: To build highly performant, scalable, and delightful streaming experiences that enable our viewers to discover and engage in the content they love, their way. To deliver on that, you’ll join a team of collaborative engineers focused on product delivery, while partnering closely with stakeholders across product, design, program management, and engineering organizations.

You will focus on building experiences for our core streaming products, pushing the boundaries of what is possible on the client. You’ll work with a team of other developers alongside systems engineers, service engineers, and project managers. Our team uses modern web technologies to deliver scalable and elegant solutions for new product features and core site architecture.

If you ...


Demonstrate determination in finding solutions to complex puzzles
Have the curiosity to research and learn new technologies
Employ positive thinking and are able to work constructively in a diverse team setting
Are passionate about web development
Value learning and being exposed to new experiences
then working at Disney is unlike anything else. We have the latest technology, game-changing ideas, and world-class talent. Come be a part of our team and help us find new ways to interact with users, however and wherever they connect with our brands.


You Will ...


Partner with team members, product and engineering partners to deliver new features and fix project issues while developing specifications for assigned components and projects.
Write, performs tests, and debugs code ensuring standards for readability and maintainability.
Contribute to core software project needs and the evolution of the team's practices; recommending changes in development, coding, maintenance and system standards.
Efficiently support software throughout the development lifecycle and perform technical maintenance and solving for components while maintaining clear documentation.
Participate in the code review process to gain validated understanding of the fundamental knowledge of software systems.


Required Qualifications & Skills


Basic foundational programming knowledge of web based applications.
Experience working within a modern JavaScript workflow.
Proven ability to learn, understand, and adapt to new technologies.
Self-learner who identifies root causes and drives solutions.
Ability to write code that is easy to read and understand that follows standard methodologies.
Highly thorough with the ability to clearly detail work.


Education


Bachelor’s degree in Computer Science, Information Systems, Software, Electrical or Electronics Engineering, or comparable field of study, and/or equivalent work experience


The hiring range for this position in Santa Monica, CA is $93,400 to $125,200 per year and in Seattle, WA and NY, NY is $98,000 to $ 131,300 per year based on a 40 hour work week. The amount of hours scheduled per week may vary based on business needs. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered."
Junior Software Developer Trainee,Junior Software Developer Trainee,Team Remotely Inc,May,2024,"This is a remote position.

Junior Software Developer Trainee (1 year experience, remote)

Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process.

Hiring Type: Full-Time

Base Salary: $61K-$71K Per Annum.

Description

As a Software Developer Trainee, you should be well-versed in programming languages, development frameworks, and third-party libraries. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment.

Responsibilities and Deliverables:

Understanding of Coding languages for frontend or backend development.
Ability to search for components and plugins in platforms matching the requirements.
Basic to medium knowledge of developing custom plugins and components
Should have good analytical skills and logical reasoning skills
Clean and structured coding pattern with a strong focus on documentation and commenting
Excellent at understanding the logic of code and algorithms
Work with development teams and product managers to ideate software solutions.
Creating servers and databases for functionality.
Write effective APIs
Create security and data protection settings
Design client-side and server-side architecture
Understanding of Data structure and complexity

Required Skills:

Able to learn new skill sets and develop software products.
Ability to analyze and understand technical aspects of a project to write code.
Good understanding of the IT industry and the latest technologies in trend.
Effective verbal and written communication skills.
Good at analytical approach, and client-centric approach with exceptional client interfacing and problem-solving skills.
Candidates should have strong knowledge of OOPS, Java / C, C++, HTML, Data Structure, and Algorithms.
The candidate must have excellent programming skills.
The candidate should be a fast learner
Knowledge of Android, iOS, or Angular, ReactJS, or NodeJS would be preferred.

Qualification :

The candidate with a B.tech in CS/IT, MCA/ MBA/ M.Tech, or any post-graduation in Computer Sciences.

Benefits

Work from home
Opportunity to work on the latest technology domains including Blockchain, IoT, Cloud, or AI.
Fast Learning
Flexible working hours
Deep technical training from coding to architecture
Annual salary increment."
Software Engineer 1,Software Engineer 1,Open Systems Inc.,May,2024,"Job Title: Software Engineer 1

Duration: 3 to 6 Months Contract

Location: Irvine CA 92612

Detailed Job Description:

Job Summary:

Assist in the development, testing, release, and integration efforts of software and hardware associated activities.

Major Responsibilities:

Hardware and software integration of new and/or existing systems, functions and LRUs designed by the Development Engineering and the Software Development groups.
Integration test of LRU and system functionality.
Ensure all testing is properly documented and submitted.
Responsible for the integration and maintenance of a test rack configuration with regards to the systems installation. Software and system testing of all In-flight Entertainment (IFE) functionality for existing systems.
Participated in the design and development of all IFE system functionality.
Participate in all efforts in the testing and regression testing of software phase releases.
Assist and support all engineering efforts company wide as required.
Assist in developing test plans and procedures to validate system requirements. Troubleshoot problems reported for all Panasonic Avionics IFE products.
Focal point for software development, integration and problem investigation for all assigned equipment and systems.
Assist in troubleshooting and analyzing root cause of any system anomalies/discrepancies in hardware and/or software.

Additional Job Details:

Knowledge/Skill Requirements:

A technical background in development and test.
Familiar with Unix and Linux OS. Basic understanding of systems administrator capabilities and command language for Linux is preferred.
Ability to plan engineering activities to perform tasks.
Learn to use professional concepts and apply company policies and procedures to resolve routine issues.
Generally, applies existing practices and procedures in analyzing situations or data.
Possess solid writing and communication skills.
Ability to effectively communicate in English, in person and on the phone.
Proficiency with Microsoft Office products.

Education/Experience Requirements:

Bachelor of Science Degree in Computer Sciences, Computer Engineering, Electrical Engineering or Software Engineering, or equivalent experience.
0-3 years’ experience in software/system engineering development and/or software/hardware testing.
IFE and/or Avionics industry experience is preferred.

Other Requirements:

Ability to lift to 25 pounds.
Most time spent at test rack (75%) which includes standing, lifting, bending, twisting and stooping.

Education/Experience Requirements:

Bachelor of Science Degree in Computer Sciences, Computer Engineering, Electrical Engineering or Software Engineering, or equivalent experience.
0-3 years’ experience in software/system engineering development and/or software/hardware testing.
IFE and/or Avionics industry experience is preferred.

Other Requirements:

Ability to lift up to 25 pounds.
Most of the time spent at test rack (75%) which includes standing, lifting, bending, twisting and stooping.

Who We Are:

Open Systems Inc. (OSI) was founded in 1994 to provide information technology solutions and staffing services to large and mid-size companies across the U.S. Our corporate office is located at 6495 Shiloh Road, Ste 310 Alpharetta, GA 30005. We provide a full range of staffing services including contract, contract-to-hire, and direct hire solutions. Our technical recruiting experts are experienced in technical screening, candidate sourcing, and behavioral interviewing techniques. They focus on providing candidates who match your technical requirements and fit seamlessly into your company culture.

Contact Open Systems, Inc. anytime by website, phone or email. We look forward to hearing from you!!"
Software Engineer – Vulnerability Management,Software Engineer – Vulnerability Management,Accroid Inc,May,2024,"Job Description

We are looking for an experienced Software Engineer in the Vulnerability Management team to accelerate one of our client core security application roadmaps. The ideal candidate is a software engineer who is passionate about cloud security, systems engineering, big data, and directly addressing customer-facing issues. This team focuses on delivering products whilst solving engineering challenges at scale. Given the fast-moving nature of this space, candidates should have a learner’s mindset and a curiosity for cloud infrastructure and the surrounding challenges with securing it.

Responsibilities

Develop an in-depth understanding of our clients platform and customer value proposition
Understand the competitive product landscape and our client differentiation
Drive projects/technical initiatives related to vulnerability scanning and reporting
Create a rich set of capabilities to support a “shift-left” strategy for policy-based vulnerability management (CI/CD integration, admission controllers, etc.)
Influence and define delivery timelines in alignment with our field and product teams whilst balancing speed, accuracy and precision
Build instrumentation, observability, and analytics into the vulnerability services to support data-driven decisioning and incident response
Work with leadership to track key performance, cost, and efficiency metrics as Service Level Objectives (SLOs)
Partner with our security modeling team to mutually enhance our detection quality and vulnerability reporting
Build strong cross functional partnerships (field teams, CTO office, Tech Alliances, etc)
Demonstrate good communication skills and present work to company leadership and at company-wide events
Actively participate in both recruiting and mentoring new members of the team
Strive to use readily available, general and scalable methodologies and tools; staying current with latest tools and techniques

Minimum Qualifications

Degree in a quantitative field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related fields) or equivalent practical experience
10+ years of experience with SaaS development and deployment using modern cloud platforms

Preferred Qualifications

Advanced degree (Master’s or PhD or equivalent experience) in quantitative field
Knowledge of industry standard DevOps toolchains (continuous integration systems, build artifact registries, k8s control plane)
Exposure to Redis or other in-memory database (memcached or etcd)
Familiarity with cloud-based data warehouses (Snowflake, Redshift, etc)
Familiarity with Rust for high-performance applications
Experience with modern DevSecOps practices and trends
SQL query optimization
Experience working in Cloud Security or Infrastructure Security
Experience recruiting and mentoring other Engineers
Cloud certifications or other demonstrable cloud domain knowledge
Experience developing data-intensive applications
Hands-on design and development of Go and/or Java-based microservices
Exposure to modern software delivery release models and associated tooling (CI/CD, monitoring, observability)
Experience working with ambiguity, driving design and implementation to conclusion with limited supervision"
Software Engineer,Software Engineer,Dripos,May,2024,"Dripos is a customer-obsessed company that uses the lean startup methodology to make an all-in-one solution for Coffee Shops. We take customers from relying on 5-10 different solutions to run their business to only needing Dripos for all their needs (ordering, scheduling, payroll, etc). We work closely with our partnered locations to build their dream product while internally working at a lightning pace to create a truly unique relationship with our customers.

Join our product team at Dripos, where innovation meets customer-centricity in a fast-paced environment. At the heart of our development process lies complete code ownership, empowering every team member to take full responsibility for their work from conception to deployment.

As a member of our product team, you'll be at the forefront of shaping the future of our products. From system architecture to software design and user experience, you'll have the opportunity to leave your mark on every part of our stack. Our team thrives on creativity, curiosity, and a relentless pursuit of excellence, constantly pushing boundaries and exploring new possibilities.

We’re looking for versatile full-stack engineers to join our team. You will be responsible for front-end development with tools such as Tailwind CSS, React/Redux, Next.js, and React Native, as well as back-end development using Node.js, SQL, and MongoDB. Candidates should have experience developing software in a collaborative environment and demonstrate a strong understanding of data structures and algorithms.

We embrace the no-rules rules culture, originating from Netflix. We believe in unlimited time off, no approvals, no overbearing managers, and a culture of transparency and constructive feedback. We ask that you work as hard as possible to bring the customer and company vision to life. We have an office in Manhattan, and we believe in-person work really helps build our culture and is generally a lot more fun. We are a fully in-person team and require office attendance five days a week.

If you're someone who thrives on challenges, values autonomy and is committed to delivering exceptional results, we want to hear from you. Join us in creating innovative solutions that make a real difference in the lives of our customers."
Security Software Developer,Security Software Developer,49 Solutions,May,2024,"49 Solutions is looking for a Security Software Developer to apply for a Request for Proposal for the Bank of Canada. If successful, the resource will be on a full-time contract and is a Hybrid role. You will be required to go to the head office of the Bank of Canada 8 times a month. Please see below for the requirements.

If this sounds like a good fit for you, and you are available for the opportunity, kindly reach out with your CV and I would be happy to discuss next steps! Please feel free to pass on this posting to anyone you think might be a good fit, but don't forget to ask about our referral program if you do.

The deadline to apply for this role is May 26th by 4 pm.

Term: 6 Months

Hybrid: (expected 8 days on-site per month) Bank of Canada Head Office in Ottawa

Requirements

The Consultant will be responsible for providing the following Services to the Bank:

Under the direction of Assistant Director, CBDC Security, Privacy and Resilience:

Work within a team to develop and test software in support of research and development activities on

digital currency

Collaborate with vendors and partners to design, construct and implement prototype software
Participate in code reviews, explain and justify design choices when multiple options are available
Collaborate with members of the project teams, including other stakeholders, to support the successful

delivery of the project's objectives

Other activities and deliverables, as required


Under the direction of Assistant Director, CBDC Security, Privacy and Resilience:

Work within a team to develop and test software in support of research and development activities on

digital currency

Collaborate with vendors and partners to design, construct and implement prototype software
Participate in code reviews, explain and justify design choices when multiple options are available
Collaborate with members of the project teams, including other stakeholders, to support the successful

delivery of the project's objectives

Other activities and deliverables, as required


Required Qualifications & Skills

The Consultant should have the following qualifications and skills:

University degree or college diploma in computer science, computer engineering or a related field
A minimum of five (5) years of demonstrated recent experience in C++ 17, ideally in a large production-grade project
Demonstrated understanding of programming concepts, object-oriented design, data structures and

software design patterns and multi-threaded design

Demonstrated experience in integrating with cloud services such as SaaS databases
Demonstrated experience in implementing software systems and applications using cryptographic

techniques such as AES, RSA, ECC, and SSL/TLS

Demonstrated experience implementing solutions using cryptographic libraries such as OpenSSL,

TomCrypt or equivalent

Demonstrated experience with a Linux based development environment (gcc/clang, make/CMake, shellscripts) and good working knowledge of version control (git)
Demonstrated experience with systems and network programming (multi-threading, TCP/UDP sockets,

web services)

Demonstrated experience debugging and testing distributed applications


Additional Qualifications

The following will also be considered:

Demonstrated knowledge with Mobile application development
Demonstrated knowledge with cryptography used in cryptocurrencies (e.g., Bitcoin) or similar

applications

Demonstrated knowledge with quantum-safe cryptographic primitives and libraries
Demonstrated knowledge with Terraform, AWS and Azure cloud services
Demonstrated knowledge"
