Position,Company_Name,Location,Post_Month,Post_Year,Details
Senior Project Manager - Software Implementation (Enterprise Healthcare SaaS),Senior Project Manager - Software Implementation (Enterprise Healthcare SaaS),Authenticx,May,2024,"Company Description

Who is Authenticx?

Authenticx is on a mission to help humans understand humans. Our platform is the new standard for humanizing customer interaction data at scale. We do this by channeling our passion and talent into helping health care leaders listen to their conversational data in a way that delivers value to the enterprise.

What do we offer our team members?

A culture based on our core values of Authenticity, Courage and Having Fun
A collaborative environment that supports your personal and professional development
Remote/virtual working flexibility
Free health insurance options
Comprehensive benefits - medical, vision, dental, life, and disability insurance
HSA and FSA plans
401(K)
Unlimited vacation time
Generous paid holidays, sick leave, and parental leave
Perks at Work membership for discounts on shopping, travel and much more

Job Description

As the Senior Project Manager of Software Implementation at Authenticx, you will support software product development and implementation as a member of our high-performing Product Innovation team. You also will:

Own and manage large enterprise customer integrations
Maintain subject-matter-expert knowledge and documentation of the following
Authenticx APIs
Authenticx Connector App
Native Integrations
Manage activity and execution of key platform feature testing and deployments
Assist QA team with testing of data integration enhancements
Mentor other Authenticx staff and support technical conversations with clients

Implementation

Oversee multiple projects related to the Authenticx software platform that involve internal and external stakeholders
Coordinate project teams and meetings, develop project plans, guide internal/external resources, and employ effective tools to manage critical project tasks and milestones
Provide regular reporting on project status, delivery, risks, trends, and opportunity for improvement
Serve as a key liaison between leadership, engineers, and client-facing teams

Release Management

Be accountable for Release Management lifecycle, to include scheduling, coordinating, and management of releases enterprise-wide for multiple applications.
Manage multiple release trains/channels, including promotion through lower environments and for production/pre-prod/performance environments in an Azure cloud environment using DevOps/CICD
Effectively guide defect management and change management within the release management structure.
Design and create Reporting Metrics and SLAs around the release management functions

Qualifications

Our ideal team member will possess the following qualifications:

You are internally motivated and want to be part of something that is bigger than yourself. You thrive on working with people and know that trust is at the heart of building positive and productive relationships. You have experience successfully demonstrating your attention to detail, and you are known for being organized. Simply put, you love to rally teams towards a common goal.

High internal motivation.
Desire to be part of something that is bigger than yourself.
Thrive on working with people and know that trust is at the heart of building positive and productive relationships.

Minimum Qualifications

Bachelor’s degree in business, science, or engineering discipline
3+ years of professional experience as a Technical Project Manager in a software-as-a-service (SaaS) environment
Experience with documenting, communicating, and managing complex technical projects to achieve results that are on time and to stakeholder expectations
Incredible attention to detail, organization, and ability to manage several concurrent projects.
Demonstrated ability to creatively solve problems and work in a fluid fast paced environment
Excellent written and verbal communications and the ability to effectively correspond with both technical and non-technical audiences
Comfort using task-management tools like Jira and Asana.
Effective working in a virtual environment and over web-based teleconferencing

Past Clients And Colleagues Might Describe You As

Detail-Oriented—you are curious and passionate to understand root causes that lie within data and systems
Friendly and personable—you have good written and verbal communication skills
Precise—you are extremely meticulous and strive to know the reasons that we do things the way we do
Responsive—you respond to internal and external needs with a sense of urgency and demonstrate excellent judgment with prioritizing tasks
A Critical Thinker—Develop a healthy skepticism toward any information presented as fact

Additional Information

This is a hybrid or remote/virtual position.
For local team members, occasional (1-2 days per week) on-site working (Indianapolis north side) may be expected for in-person activities.
Traveling to the Authenticx office or a client's office, which could include overnight travel, may be required occasionally throughout the year, based on business needs.
Candidates must reside in the USA and be authorized to legally work in the USA without requiring employment visa sponsorship now or in the future."
Program Manager/ Project Manager (100% Remote) Medicare,Program Manager/ Project Manager (100% Remote) Medicare,SPAR Information Systems LLC,December,2023,"Role: Sr. Program Manager/ Project Manager

Location: Remote

Duration: 12+ Months

Core Skills

12-15 years of experience in project management with 2-3 years as a program manager

Solid experience in healthcare clients like – Anthem/ CareSource/CVS / BCBS

Solid experience on stake holder management

Good experience on Medicaid and Medicare process flows

Thanks & regards.

Arvind Kumar Bind

|| SPAR Information Systems || Phone: 469-750-0607 ||

|| Email: Arvind.B@sparinfosys.com || Web: www.sparinfosys.com ||"
"Senior Project Manager, Customer Experience","Senior Project Manager, Customer Experience",RevolutionParts,May,2024,"RevolutionParts is not just a pioneering force in the automotive eCommerce realm; we're actively seeking passionate and talented individuals to join our squad of Revolutionaries (yes, that's what we call ourselves!). As leaders in providing streamlined, user-friendly solutions, we empower automotive brands to maximize online sales. Our commitment to technology, top-notch customer service, and a profound understanding of the automotive market sets us apart. If you're ready to revolutionize the eCommerce space for automotive parts and accessories, consider joining our dynamic team of Revolutionaries.

The Role:

Are you ready to take your career to the next level and help lead a cutting-edge company into a bright future? We are actively looking for an experienced Senior Project Manager with a passion for driving initiatives and goals from conceptual design to implementation. This role will be part of the Customer Experience team and will lead strategic technical projects across the organization such as the internal implementation of new partnerships, product merchandising team build-out, and the expansion into new markets.

This role will work directly with our internal stakeholders as well as vendors and customers on the execution of projects where you will be responsible for resource management, timeline, scope, and project delivery. This position will lead and host frequent project meetings to ensure work is completed according to stakeholder expectations.

The Senior Project Manager will lead a variety of projects; generally, 5+ projects concurrently (depending on scale). The Senior Project Manager will understand customer dynamics and needs at all levels of the organization (end-user to executive in and outside of the organization) and have the capability to take on complex projects/solutions, break them down into actionable activities, and successfully deliver them on time and within budget. The Senior Project Manager will champion and reinforce the intended value of the projects, tie them back to the overall strategy and strategic imperatives, and help the broader teams make this connection. This job requires experience in analyzing key project indicators to take the necessary proactive actions to keep the project on track and right it when challenges occur. They will also drive decisions, negotiate, influence, facilitate working groups and meetings, drive change management, and resolve conflicts that serve as barriers to success.

To succeed in this role, you will need to be a natural leader who takes pride and initiative with their work, have a passion for technology and eCommerce, be a strong team player, and possess strong communication skills as this role will interface with both internal and external stakeholders on a frequent basis.

Responsibilities

Work with Business Development and Customer Experience teams to understand the RP business opportunity with the Enterprise customer/prospect
Translate the Business opportunity into a technical solution, understanding the needs of the customer and mapping that with RP platform capabilities to evolve and design a bespoke technical solution that wows the customer
Work with RP product and engineering teams to ratify/validate Solution feasibility balancing solution effectiveness with complexity and effort
Ability to quickly traverse the spectrum of stakeholders from customer to engineering to remove any ‘blockers’ or if needed ‘re-pivot’ on the approach and make progress
Client relationship management and high-altitude communication skills that enable context switching to talk business/outcomes with customers while talking technical specs with engineering teams
Lead and mentor at least one Project Manager: have a defined team structure and resource plan as appropriate coordinate team member onboarding and provide appropriate feedback
Outline clear expectations of team performance and involve and engage team members in a manner that inspires them to achieve results
Facilitate project documentation at a sufficient level of detail and align on scope with all stakeholders and team members, including project artifacts such as project charters, project plans, RACI charts, risk registers, meeting agendas, and minutes
Ability to plan and organize the project pulling in all the internal stakeholders of the company and mobilizing them towards delivery for the customer
Drive issues with urgency to ensure resolution decisions are timely and with quality
Apply forward thinking to manage cross team dependencies and ensure a high quality delivery Maximize business benefit by pushing the envelope while assessing risks, anticipate bottlenecks, provide escalation management, make tradeoffs, balance the business needs versus technical constraints
Ability to understand enterprise customer or program KPIs and drive the internal org. to accomplish them
Perform conflict resolution and negotiation to ensure the success of the project in a professional manner




Requirements

Bachelor’s degree in Computer Science, Business or equivalent combination of technical education and work experience
5+ years of Software Development or technical project management experience
Experience managing eCommerce Projects, including platform migrations or new store launches
A strong track record of project delivery for large, cross-functional projects
Ability to handle multiple competing priorities in a fast-paced environment
Leadership experience with a history of managing customer-facing team members
Excellent written and verbal communication skills with the ability to clearly and concisely present both non-technical and complex technical information to a variety of audiences, including leadership and stakeholders
The ability to think clearly, analyze quantitatively, problem-solve, scope technical requirements and prioritize
Experience delivering complex software and business systems successfully to customers
Experience leading complex projects involving multiple global teams. Must be able to think and act both strategically and tactically
Sound business judgment, proven ability to influence without authority, and strong analytical thinking skills are critical to success in this position
Comfort interacting with a broad set of business stakeholders and leading meetings both over the phone and in person
Strong execution and risk management skill set




Are you not sure you meet 100% of the qualifications? You should still give it a shot! Research shows that men will apply to a job when only meeting 60% of the requirements, whereas women and members of other underrepresented groups typically only apply when they meet every single requirement. At Revolution Parts, we are Revolutionaries. We build tools, products, and our people. We value diversity in backgrounds and thoughts, so take a shot and apply! Please highlight some of your accomplishments in your resume and cover letter so we can talk about how you can grow with us.

RevolutionParts is proud to provide all full-time Revolutionaries with a comprehensive employment package including competitive compensation, career development, benefits, 401K match, parental leave, and many more valuable perks. You can learn more about our core-value driven culture at our career page.

RevolutionParts is an Equal Opportunity Employer; we value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, gender orientation, gender identity or expression, sexual identity, sexual orientation, age, marital status, family status, genetic information, veteran status, or disability status.

Please Note: You will only receive correspondence through the Lever ATS or from a @revolutionparts.com email address. If you are receiving communication through any other platform or domain, it may be fraudulent, and we urge you to ignore the communication."
Senior Project Manager (with a consulting background),Senior Project Manager (with a consulting background),SPAR Information Systems LLC,January,2024,"Title: Senior Project Manager (with a consulting background)

Start Date: ASAP

Work Location: Washinton, DC and Springfield, VA

Schedule: Hybrid (2 days on-site, 3 remote) Flex to meet with Senior Leadership when needed

Length: 6+ Months

Top Five Skills

Project Management skills—this PM needs to ""parachute in"" and hit the ground running.
Ability to interact and communicate effectively with Senior Leadership/Board of Directors.
The ideal candidate will have a talent for distilling large sets of project information, creating/writing a report or developing a PowerPoint and then presenting that information to the Senior Leadership. So, someone who can ""tell the story” of the strategic commitments, initiatives, operational performance and financials.
Ability to track projects, report on status, the project financials and at times the willingness to pick-up part of a project and see it through to execution!
PMP preferred or other Project Management Certification

Preferred

Management Consulting Experience
Energy Sector experience would be great

Fit Factors

Flexible and adapts well to shifting priorities
Someone who is very collaborative in nature
Ability to deliver under tight deadlines

Note: the group has a team that utilizes Tech tools for reporting needs, the PM will primarily utilize MS Project and PowerPoint for presentations. This group is also focused on executing the strategy that has already been mapped out, so it's more about delivering on the strategy and reporting on the progress so communication to senior leadership is key!

Summary

Work closely with the executive leadership team and cross-functional team members to deliver a comprehensive view of the company’s strategic initiatives and overall corporate and financial performance. Monitor and report on the plan progress and manage the monthly governance process to secure senior leadership approval for any necessary plan modifications. Drive the cross-functional effort of developing business cases and project plans for annual commitments and goals aligning with the annual strategic plan. Manages strategic projects and initiatives.

Responsibilities

Facilitate and manage effective reporting to senior leadership and the Board that tells the story of the strategic commitments, initiatives, operational performance and financials.
Create effective/professional executive/Board-level communications.
Develop and manage project schedules based on high-level milestones.
Manage day-to-day operational aspects of a project and scope.
Document, track, and manage program/project action items.
Conduct quantitative and qualitative research and analysis.
Maintain quality delivery under tight deadlines and consistently meet senior leadership expectations.
Facilitate and contribute to strategic planning and milestone development.
Support the development and tracking of KPIs and performance management strategies.
Ensure project documents are complete, current, and archived appropriately.
Prepare agendas and minutes of senior level meetings or other documentation that captures decisions made.

Qualifications

5-10 years of experience working in a professional environment.
Experience writing reports, building PowerPoint presentations, and conducting data analysis.
Experience analyzing existing practices of clients and making recommendations for improvements.
Ability to conduct research and analysis or industry best practices.
Ability to work collaboratively in a team environment with people at all levels in an organization.
Excellent verbal and written communication skills.
Bachelor's degree required; MBA preferred.
PMP, Prosci or other certification preferred."
Program Manager/Project Manager,Program Manager/Project Manager,Fallon,May,2024,"When Fallon opened its doors, it introduced itself to the world as “A new advertising agency for companies that would rather outsmart the competition than outspend them.” Over forty years later, media, culture, and even the definition of an ad has changed. But our commitment to outsmarting has never wavered. We’ve simply evolved and modernized it, whether that means creating multi-channel activations to drive billions of impressions (Arby’s), breaking the internet with an iconic pop culture reunion (Mean Girls + Walmart), or helping beloved cable franchises reinvent themselves on streaming platforms (Comedy Central + Showtime).

Regardless of the content or the context, we have a steadfast belief inTHE POWER OF CREATIVITYand its ability to create an unfair competitive advantage for those brave enough to unleash it. We make big work for big brands on big stages. And we care about the work as much as we care about the people making it. We function as one integrated brain withmedia experts who think like creatives who think like strategists who think like account people. And together, our mission is to fuel the forward trajectory of businesses and brands.

Job Description

The Program Manager is responsible for the health and quality of mid-to-large scale client projects, focusing on creative project management, end to end project workflow, and delivery efficiency and quality, while working with managers in learning to manage margin and risk mitigation and resolution.

The ideal candidate should have experience leading marketing and advertising projects comprised of multidisciplinary resources, with experience in collaborating with key agency stakeholders, including but not limited to Creative, Client Services, Finance, Strategy, Data and Analytics, Media, and Technology. Experience with managing multi-channel engagements (video, TVC, print, digital, experiential, activation, etc.) is preferred.

They will also possess a proven ability to represent the Program Management discipline with internal and client stakeholders, and be deft at building and maintaining strong relationships with agency, client and third-party partners.

Responsibilities:
Manage medium-scale projects end to end, from strategy brief to asset delivery. Work with strategy, creative, account, and production teams to ensure smooth delivery of deliverables and assets, while also facilitating communications between teams.
Partner with Creative to effectively shepherd and manage the evolution of creative work, ensuring quality at all points from concept through delivery. Active partnership with Resource Management, Production, and Technology departments to ensure connections and collaborations happen where they should, in support of innovative and award-winning creative ideas.
Provide solutions-oriented program management with a willingness to creatively solve problems with a positive, professional demeanor and emotional intelligence.
Develop scopes, staffing plans, and estimates for medium-scale projects and engagements, with direct manager supervision and support. Responsible for the scoping and management of multiple concurrent projects and client engagements totaling up to $1-3MM annually.
Engage with Resource Management and Finance as appropriate for staffing, scoping and estimating. Work closely with direct supervisors and team members identify flags, find solutions, and manage up.
Contribute to a culture of delivery efficiency and excellence within the Program Management department.
Maintain departmental values, vision, direction and responsibilities with project stakeholders.

Work with account and client stakeholders to instill and enforce processes, workflows and

tools that support the profitable delivery of client work.
Partner with Client Services and Finance stakeholders to actively manage business

challenges, client relationships, develop project plans, and maintain profit margin.
Partner with internal team to help optimize existing operational processes and systems.

Qualifications

Qualifications:
3-5 years project or program management experience in a creative services organization working with cross-functional stakeholders including strategy, data and planning, creative, editorial, experience design, production, technology, operations and resourcing.
Demonstrated understanding of project management methodologies, process and tools, including staffing, scoping, estimating, burn management.
Working knowledge of MS Office, project management software (JIRA, Basecamp, etc.), and project management software (MS Project, Smartsheet).
This position is located in NYC.

Additional Information

All your information will be kept confidential according to EEO guidelines.

Compensation Range: $58,500.00 - $92,000.00 annually. This is the pay range the Company believes it will pay for this position at the time of this posting. Consistent with applicable law, compensation will be determined based on the skills, qualifications, and experience of the applicant along with the requirements of the position, and the Company reserves the right to modify this pay range at any time. For this role, the Company will offer medical coverage, dental, vision, disability, 401k, and paid time off.The Company anticipates the application deadline for this job posting will be 04/30/2024."
Senior Project Manager,Senior Project Manager,Steneral Consulting,May,2024,"Preferred Required

The state of Michigan is seeking an experienced Senior Project Manager- Local to Lansing Michigan, or within 2 hours of Lansing. This project is to last up to 1 year with possible extension. The role will be hybrid with 2 days a week onsite. We can offer an $65 C2C Max Rate for this opportunity. As always prior state experience is preferred but not required. Please see below for details:

Notes

Candidates must be in Lansing, Michigan or within 2 hours of location.

NEED an Active LinkedIn account.

We are having an issue with candidates saying they are local and not, If you send a candidate that is not where they say they are, we will have to stop using your service, and will not respond.

Job Details

Required Experience

5+ years of IT software Project Management experience managing complex projects including coordination of multiple teams
Experience with and knowledge of IT infrastructure, servers, and web applications
Strong oral and written communication skills; excellent problem solving and analytical skills with expertise in identifying risks
Proven ability to drive project planning and execution process and add value beyond just a task-oriented doer or project manager
Familiarity with systems development lifecycle (SDLC)
Must be local to Lansing, Michigan area. Work will be 2 days per week in office and 3 days remote.
Previous SOM experience highly desired

Project Manager 3

This position provides oversight, leadership, accountability, and project management functions for an upgrade of the operating system for application and database servers for two agencies. This effort will start in June 2024 and finish within 18 months. This position will ensure consistency with the State of Michigan project management methodology (SUITE), perform long-term release planning based on organizational direction, regularly interact with the project management teams for status of budget, quality and schedule, escalate issues and risks as needed to executives and exercise project quality control activities to ensure project scope expectations are met.

General Responsibilities

Designs, plans, and coordinates work teams. Follows standard project management industry practices such as the PMI's framework. Understands business and technical objectives of a project and works closely with project sponsor and technical owners. Creates project charter and work plan and tracks budget and schedule progress via appropriate metrics. Establishes project organization and methodologies and defines roles and responsibilities. Documents risks and develops mitigation plans. Manages scope. Creates and implements a communication plan. Builds an effective team, assigns tasks to team members, monitors, and evaluates outcomes. Negotiates resources. Communicates to stakeholders and project sponsor. Identifies, tracks, and ensures resolution of issues and removal of barriers. Provides Project Management technical support to project members. Responsible for project activities that include complex features and technical designs. Generally manages a group of applications system analysts. Relies on experience and judgment to plan and accomplish goals. Professional certification is highly desirable.
May require specific PC, workstation, operating system, application or platform skills. Provides overall direction to the formulation, development, implementation, and delivery of a project. Exercises management responsibility over the achievement of performance, revenue, and profit objectives of a project and its contracts. Ensures that the project plan maintains tasks, schedules, estimates, and status, and disseminates information to team members and customers. Creates a structure and organization for the management of a complex environment with emphasis on quality, productivity, and consistency. Directs corrective actions in any area where performance falls below objectives. Arranges for the assignment of responsibility to other supporting facilities, business areas, and support functions, and monitors their performance. Self-directed and independent. Responsible for the coordination and completion of projects. Oversees all aspects of projects. Sets deadlines, assigns responsibilities, and monitors and summarizes progress of project. Prepares weekly reports for upper management regarding status of project using Clarity reporting tool.
Facilitates meetings and work sessions, including scheduling, agenda preparation, taking/sharing notes, and following up with action items."
"Operations Technical Project Manager, Customer Success","Operations Technical Project Manager, Customer Success",Square,May,2024,"Company Description

Since we opened our doors in 2009, the world of commerce has evolved immensely, and so has Square. After enabling anyone to take payments and never miss a sale, we saw sellers stymied by disparate, outmoded products and tools that wouldn’t work together.

So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, offer buy now, pay later functionality through Afterpay, book appointments, engage loyal buyers, and hire and pay staff. Across it all, we’ve embedded financial services tools at the point of sale, so merchants can access a business loan and manage their cash flow in one place. Afterpay furthers our goal to provide omnichannel tools that unlock meaningful value and growth, enabling sellers to capture the next generation shopper, increase order sizes, and compete at a larger scale.

Today, we are a partner to sellers of all sizes – large, enterprise-scale businesses with complex operations, sellers just starting, as well as merchants who began selling with Square and have grown larger over time. As our sellers grow, so do our solutions. There is a massive opportunity in front of us. We’re building a significant, meaningful, and lasting business, and we are helping sellers worldwide do the same.

Job Description

The Global Program Management and Infrastructure team ensures the smooth and efficient running of the Customer Success organization on a daily basis. With offices in the US, Canada, Japan, Ireland, Australia, Poland, Taiwan, and Guatemala, we improve both qualities of output and cost efficiency of the global organization, while also ensuring the timely execution of essential strategic projects for the growing Customer Success team. As an Operations Technical Program Manager, you'll work cross-functionally — with other Customer Success teams, with systems and engineering teams, and beyond — to build toward the global vision of CS. You will report to a Technical Program Management Lead.

You Will:

Become an expert on our business processes and technology platforms; propose and implement improvements through automation and redesign. You are the point of contact that defines and relays requirements between Customer Success and our technology teams
Create technical product requirements, ensuring our systems and technology teams know exactly how to design their solutions to fit the needs of the growing global Customer Success team
Use your understanding of software development processes to identify dependencies, ""long poles,"" ""blockers,"" and execution risks and develop mitigation strategies
Communicate developments, updates, project health, and problems, and manage expectations of all stakeholders – both technical and non-technical
Develop mutually-beneficial working relationships with different partners and stakeholders, including internal product & engineering teams
Work with our technology teams and hold them accountable for the smooth running of our entire tools ecosystem
Support seamless change management for each infrastructure/system change affecting the global team – ensuring no detail is left out and all impacts are accounted for


Qualifications

You have:

2+ years of experience in project/program management role(s) leading complex technical projects and/or system implementations
Create clarity from ambiguity and break down complex projects into manageable, interdependent deliverables
Experience documenting and translating cross-functional business to technical requirements (and vice versa) (i.e. writing Product Requirements Documents) in a consolidated matter – ready for multiple project execution
Experience managing trade-offs while running multiple projects given specific constraints, often with competing resources
The ability to understand and deal well with rapid development cycles and to remain flexible in the face of uncertainty
Experience with prioritization and continuous optimization. You can discern the urgency and importance of work. You find creative ways to use the full potential of our existing tools and advocate for novel solutions
Excellent soft skills, catered towards a variety of stakeholder functions. You're able to clearly and concisely communicate an idea and its impact
Experience with Salesforce, Amazon Web Services, JIRA, SQL, and Looker is not necessary, but huge pluses!


Additional Information

Block takes a market-based approach to pay, and pay may vary depending on your location. U.S. locations are categorized into one of four zones based on a cost of labor index for that geographic area. The successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. These ranges may be modified in the future.

Zone A: USD $92,300 - USD $138,500

Zone B: USD $87,700 - USD $131,500

Zone C: USD $83,100 - USD $124,700

Zone D: USD $78,500 - USD $117,700

To find a location’s zone designation, please refer to this resource. If a location of interest is not listed, please speak with a recruiter for additional information.

Full-time employee benefits include the following:

Healthcare coverage (Medical, Vision and Dental insurance)
Health Savings Account and Flexible Spending Account
Retirement Plans including company match
Employee Stock Purchase Program
Wellness programs, including access to mental health, 1:1 financial planners, and a monthly wellness allowance
Paid parental and caregiving leave
Paid time off (including 12 paid holidays)
Paid sick leave (1 hour per 26 hours worked (max 80 hours per calendar year to the extent legally permissible) for non-exempt employees and covered by our Flexible Time Off policy for exempt employees)
Learning and Development resources
Paid Life insurance, AD&D, and disability benefits


These benefits are further detailed in Block's policies. This role is also eligible to participate in Block's equity plan subject to the terms of the applicable plans and policies, and may be eligible for a sign-on bonus. Sales roles may be eligible to participate in a commission plan subject to the terms of the applicable plans and policies. Pay and benefits are subject to change at any time, consistent with the terms of any applicable compensation or benefit plans.

We’re working to build a more inclusive economy where our customers have equal access to opportunity, and we strive to live by these same values in building our workplace. Block is a proud equal opportunity employer. We work hard to evaluate all employees and job applicants consistently, without regard to race, color, religion, gender, national origin, age, disability, veteran status, pregnancy, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.

We believe in being fair, and are committed to an inclusive interview experience, including providing reasonable accommodations to disabled applicants throughout the recruitment process. We encourage applicants to share any needed accommodations with their recruiter, who will treat these requests as confidentially as possible. Want to learn more about what we’re doing to build a workplace that is fair and square? Check out our I+D page.

Additionally, we consider qualified applicants with criminal histories for employment on our team, assessing candidates in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance.

Block, Inc. (NYSE: SQ) is a global technology company with a focus on financial services. Made up of Square, Cash App, Spiral, TIDAL, and TBD, we build tools to help more people access the economy. Square helps sellers run and grow their businesses with its integrated ecosystem of commerce solutions, business software, and banking services. With Cash App, anyone can easily send, spend, or invest their money in stocks or Bitcoin. Spiral (formerly Square Crypto) builds and funds free, open-source Bitcoin projects. Artists use TIDAL to help them succeed as entrepreneurs and connect more deeply with fans. TBD is building an open developer platform to make it easier to access Bitcoin and other blockchain technologies without having to go through an institution.

While there is no specific deadline to apply for this role, on average, U.S. open roles are posted for 70 days before being filled by a successful candidate."
"Senior Manager, Project Management","Senior Manager, Project Management",tms,May,2024,"ABOUT US
tms unites technology, marketing, and sourcing to drive transformational change for the world’s leading brands. With 1,200+ employees across 26 countries, we offer an impressive range of solutions – from inspiration and innovation to category management and delivery.

Operating as a creative agency, a strategic consultancy, a sourcing business, and a technology provider, we engage with over 110 million customers every single day for our clients, including Starbucks, T-Mobile, O2, McDonald’s, and adidas.

Most importantly, we're a place where you can achieve great things, and be recognized as the best.

WHAT MATTERS THE MOST
Breakthrough, business-driving ideas come from extraordinary people with the freedom to be their most authentic selves at work. Authenticity and diversity are critical elements of our business. They can only be realized when we create access and equity for all. We foster a culture of inclusion and belonging and aspire to be ever-evolving.

tms is a place where brilliant people are better together. If you want your ideas to be heard and to contribute to a culture of inclusion and authenticity, bring us your voice! Visit us at tmsw.com.

WHY WE THINK YOU WILL LOVE THIS ROLE
Senior Manager, Project Management will sit within our Global Merchandise Services (GMS) team. GMS helps brands bring their fan communities products that unleash badge-wearing potential, so the people who love them most can love them even more.

Through reimagining products and merchandise, designing innovative industry-leading solutions, and developing in-demand products, we spark an emotion connection with customers and have a lasting impact on people, business, and the planet. We want you to be part of it!

PMI Worldwide is looking for an experienced project manager and people leader to champion our project management team focused on product development and lead by example. We are growing rapidly, and we need an experienced and multifaceted project management professional with inspiring people leadership skills to establish the processes and project discipline that will enable our planned growth. You will help build and lead a project management team and collaborate cross functionally with product management, industrial design, color material finish, quality assurance, engineering, sourcing, and supply chain teams to deliver a consistent flow of innovative products across all materials: stainless steel, plastic, glass, ceramic, and soft goods. You will lead all aspects of project management from facilitating program reviews and project kickoffs to product launches. Your passion for navigating progress on a multitude of concurrent projects will encourage the product development community to deliver an outstanding array of products on sometimes challenging timelines and budgets. If you like to think big, take ownership, win as a team, and you want to leave the world better than you found it, we want to hear from you!

WHAT YOU WILL BRING TO THE ORGANIZATION
Manage the Product Manager, Project Management team to impactfully facilitate on time, on budget, top-quality, innovative product development across a dynamic, cross-functional team.

Lead and grow the Product Development Project Management team’s expertise, engage in goal setting, support goal completion, and cultivate talent and leadership.
Create an engaged culture of collaboration and excellence focused on delivering for the business.
Own, champion, build and refine all aspects of Project Management within our Product Development community driving continuous improvement activities throughout the process

Be a driving force in leveraging a highly engaged, efficient, cross-functional development team to deliver to business goals and deadlines. Manage and report regularly on development status across a multitude of fast paced projects varying in design and complexity.

Attend and capture project complexity and timelines in program reviews and project kickoffs to make sure projects are planned and resourced for success. Collaborate with resource managers to ensure appropriate staffing and support on all projects.
Ensure execution of project deliverables are aligned with brand expectations and project complexity; on time, on budget and right quality, including identifying and mitigating risk and facilitating trade-offs as needed.
Manage the communication of project status, prioritization, and risk within project teams and to supporting departments and the Senior Leadership Team.
Think critically in the planning stages of projects and encourage creative ways of working to allow for on time delivery of products within a fast-paced environment
Facilitate the involvement of quality throughout the development process and support internal and external product quality teams in resolving technical or performance issues.
Establish and maintain a culture of winning and ownership throughout the product development community.
Implement continuously improve and champion the product development process throughout PMI globally.

Demonstrated ability in the following:
Crafting project and program plans including analysis and planning of deliverables, resources, timelines, budgets, and risk.
Coaching cross-functional teams in a diverse, multi-brand, matrixed organization with tight timelines, cost, and quality targets.
Quickly building credibility and trust at all levels of the organization for effective collaboration towards mutual outcomes.
Developing a sense of urgency in stakeholders while also building a solid foundation for future collaboration.
Negotiating changes that meaningfully impact the scope, budget, or schedule of a project.
Reporting project results, risks, quality, resourcing, and costs to provide status and facilitate decision making.
Continuously improving project related processes and tools through lessons learned and demonstrating best practices from across PMI.
Strong analytical and problem-solving skills with an outstanding ability to simplify sophisticated concepts and to bring clarity in the face of ambiguity.
Excellent verbal and written communication and organization and time leadership skills.
Expert level proficiency with Microsoft Office, Smartsheet and other project management software.
Product Lifecycle Management (PLM) software experience, with Centric PLM or other PLM software.

SKILLS AND EXPERIENCE WE WOULD LIKE YOU TO HAVE
10 + years of project management experience leading customer-facing engineering projects
5 + years people management experience
Successful track record delivering a consistent flow of products with sometimes challenging and trend driven timelines to multiple product lines by leveraging virtual teams spread across the globe
A PMP or PMI-ACP certification or work experience demonstrating equivalent competency
Bachelors degree is highly desired. Technical degree is helpful. MBA preferred
Willingness and ability to travel domestically and internationally up to 20% of the time
Experience with or knowledge of the manufacturing processes, materials or CMF (color, material, finish) related to hard goods including plastics, stainless steel, glass, ceramics and soft goods is highly desired
Experience working and communicating directly with supply chain personnel including production engineers and factory liaisons, at Asian factories in particular, is highly desired.

Interaction and Environment
Reports to: Director, Product Development, Specialty Coffee

Salary Range:$121,900- $171,050

tms is committed to a diverse and inclusive workplace. tms is an equal opportunity employer and does not discriminate based on race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please contact gmspeopleteam@tmsw.com.
The base pay range for this position is for a successful candidate within the state listed. The successful candidate’s actual pay will be based on multiple factors, such as job-related knowledge, skills, qualifications, and experience. tms is a total rewards company, which includes rewards beyond base salary. At tms, full-time employees are eligible for an annual bonus, based on company and individual results. In addition, we offer a variety of employee benefits, personalized time off, holiday pay, dental, vision, 401(k), and much more."
