Position,Company_Name,Location,Post_Month,Post_Year,Details
Telecommunications Engineer,Telecommunications Engineer,Fusion Technology LLC,December,2023,"Who is Fusion Technology?

Fusion Technology is a performance-driven HUBZone Small Business concern residing in the heart of the beautiful mountainsides of West Virginia, steps away from the Federal Bureau of Investigation's Criminal Justice Information Services Division's Headquarters. Founded in 2007 by an Engineer-by-trade, Fusion Technology dedicates our valuable resources to providing comprehensive IT services and solutions to mission-critical US Government programs and the Intel Community.

In 2020, we established Fusion ESG. Fusion Enterprise Solutions Group (ESG) is a division of Fusion Technology created in response to emerging demands on IT Integration closely related to human factors in the workplace. Operating from the Eastern Shore of Maryland in the idyllic town of Easton, Fusion ESG is a Technology Integration Contractor (TIC) that provides turnkey design, engineering, implementation, logistical, project management, and quality assurance solutions and services to mission-critical facilities worldwide.

Job Description:

Fusion Technology’s Enterprise Solutions Group (ESG) is seeking a dynamic Telecommunications Engineer to join the team.

In the Telecommunications Engineer role, you will support the Communications Engineering Center in Jamaica, NY in designing, cost estimating, scheduling, engineering, coordination, contracting, installation oversite, inspection, site work, Communications systems for a variety of buildings and structures.

This is an exciting role with up to 25% travel.

Telecommunications Engineer Primary Responsibilities:

Plan and design Communications Antenna tower replacement and modifications, site work, Radio and Fiber Optics System establish and replacement projects for a variety of Facilities
Perform on-site surveys to develop “to-scale” designs and detailed reports,
Generate Construction Drawings/specifications showing relation of proposed installation in existing or new facilities with exact specifications and dimensions, in compliance with Government standards and Orders
Conduct design review/Operational Risk Management meetings
Update the Air to Ground Site Survey Database Document
Complete the Site Requirement Form (SFR)
Review project deliverables and provide verbal and written communication to the findings
Confer with engineering staff and other personnel to identify and resolve problems with the design or implementation
Coordinate design components with a multi-disciplinary team
Perform project management related tasks and communication (including safety plans, sequence of work, cutover plans)
Independently Generate and coordinate the Integrated Risk Management Checklists (IRMC), communication plans, project risk register, and coordinating IRMC and ORM meetings needed to meet Operational Risk Management (ORM) requirements
Coordinate and complete applicable EOSH work permits for construction including potential impact lead and asbestos that may be encountered during construction
Participate in meetings inclusive of the preconstruction meeting and on-site construction meetings with stakeholders to coordinate Civil Engineering projects with other ongoing construction and projects
Review contractor design and construction submittals
Plan, schedule, and coordinate installation project activities to meet milestones and deadlines; working directly with stakeholders and contractors

Telecommunications Engineer Basic Qualifications:

Must have an Electrical or Electronics Engineering degree from a 4 year ABET accredited College/University
Four years experience in communication system design, modeling, and simulation of network components
Working knowledge of MS Word, Excel, Power Point, and Engineering Scheduling tools and applications, and be able to use the Internet as a gathering and communicating tool
Proficiency with AUTOCAD / MICROSTATION
Ability to accomplish clear and concise general and technical writing and tactfully coordinate with a variety of project stake holders, peers and management levels
Ability to maintain an electronic project folder (as required) related to site preparation and equipment installation problems
Ability to provide technical assistance and recommendations regarding the closure of construction related punch-list items

What matters to you matters to us:

Fusion Technology values its employees and works hard to ensure proper care for them and their families. We desire to compensate employees in a competitive, motivational, fair, and equitable way with other employers in the marketplace. Salary is only one component of employee compensation but an integral part of recruiting and retaining qualified employees. However, at Fusion Technology, we take a comprehensive approach and consider each employee's needs to tailor a compensation plan that provides financial security and peace of mind.

Our standard competitive package includes a best-in-class matching 401K program, comprehensive Cigna healthcare plan, a competitive employer contribution to a health savings account, vision and dental plans, life insurance, short- and long-term disability, paid personal leave, and paid certifications and training.

Fusion Technology LLC is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills, and experiences within our workforce. Qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.

Powered by JazzHR

w0Flx3abyQ"
Telecommunications Engineer,Telecommunications Engineer,Fusion Technology LLC,December,2023,"Who is Fusion Technology?

Fusion Technology is a performance-driven HUBZone Small Business concern residing in the heart of the beautiful mountainsides of West Virginia, steps away from the Federal Bureau of Investigation's Criminal Justice Information Services Division's Headquarters. Founded in 2007 by an Engineer-by-trade, Fusion Technology dedicates our valuable resources to providing comprehensive IT services and solutions to mission-critical US Government programs and the Intel Community.

In 2020, we established Fusion ESG. Fusion Enterprise Solutions Group (ESG) is a division of Fusion Technology created in response to emerging demands on IT Integration closely related to human factors in the workplace. Operating from the Eastern Shore of Maryland in the idyllic town of Easton, Fusion ESG is a Technology Integration Contractor (TIC) that provides turnkey design, engineering, implementation, logistical, project management, and quality assurance solutions and services to mission-critical facilities worldwide.

Job Description:

Fusion Technology’s Enterprise Solutions Group (ESG) is seeking a dynamic Telecommunications Engineer to join the team.

In the Telecommunications Engineer role, you will support the Communications Engineering Center in College Park, GA in designing, cost estimating, scheduling, engineering, coordination, contracting, installation oversite, inspection, site work, Communications systems for a variety of buildings and structures.

This is an exciting role with up to 25% travel.

Telecommunications Engineer Primary Responsibilities:

Plan and design Communications Antenna tower replacement and modifications, site work, Radio and Fiber Optics System establish and replacement projects for a variety of Facilities
Perform on-site surveys to develop “to-scale” designs and detailed reports,
Generate Construction Drawings/specifications showing relation of proposed installation in existing or new facilities with exact specifications and dimensions, in compliance with Government standards and Orders
Conduct design review/Operational Risk Management meetings
Update the Air to Ground Site Survey Database Document
Complete the Site Requirement Form (SFR)
Review project deliverables and provide verbal and written communication to the findings
Confer with engineering staff and other personnel to identify and resolve problems with the design or implementation
Coordinate design components with a multi-disciplinary team
Perform project management related tasks and communication (including safety plans, sequence of work, cutover plans)
Independently Generate and coordinate the Integrated Risk Management Checklists (IRMC), communication plans, project risk register, and coordinating IRMC and ORM meetings needed to meet Operational Risk Management (ORM) requirements
Coordinate and complete applicable EOSH work permits for construction including potential impact lead and asbestos that may be encountered during construction
Participate in meetings inclusive of the preconstruction meeting and on-site construction meetings with stakeholders to coordinate Civil Engineering projects with other ongoing construction and projects
Review contractor design and construction submittals
Plan, schedule, and coordinate installation project activities to meet milestones and deadlines; working directly with stakeholders and contractors

Telecommunications Engineer Basic Qualifications:

Must have an Electrical or Electronics Engineering degree from a 4 year ABET accredited College/University
Four years experience in communication system design, modeling, and simulation of network components
Working knowledge of MS Word, Excel, Power Point, and Engineering Scheduling tools and applications, and be able to use the Internet as a gathering and communicating tool
Proficiency with AUTOCAD / MICROSTATION
Ability to accomplish clear and concise general and technical writing and tactfully coordinate with a variety of project stake holders, peers and management levels
Ability to maintain an electronic project folder (as required) related to site preparation and equipment installation problems
Ability to provide technical assistance and recommendations regarding the closure of construction related punch-list items

What matters to you matters to us:

Fusion Technology values its employees and works hard to ensure proper care for them and their families. We desire to compensate employees in a competitive, motivational, fair, and equitable way with other employers in the marketplace. Salary is only one component of employee compensation but an integral part of recruiting and retaining qualified employees. However, at Fusion Technology, we take a comprehensive approach and consider each employee's needs to tailor a compensation plan that provides financial security and peace of mind.

Our standard competitive package includes a best-in-class matching 401K program, comprehensive Cigna healthcare plan, a competitive employer contribution to a health savings account, vision and dental plans, life insurance, short- and long-term disability, paid personal leave, and paid certifications and training.

Fusion Technology LLC is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills, and experiences within our workforce. Qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.

Powered by JazzHR

aA81oaRiNk"
Telecommunications Engineer,Telecommunications Engineer,Viasat,April,2024,"What you'll do

The role of the Senior Project Engineer is to provide engineering support on a wide range of turnkey telecoms projects. Primary tasks include: project management, systems design, preparation of engineering documents, testing and commissioning of telecoms systems. To be the lead Engineer for major SI projects and deputise for the Senior Engineering Manager in their absence.
Working in collaboration with the Project Management group to ensure the effective delivery of projects and services to SI customers and with the Sales Group to ensure the effective delivery of technical consultation and estimates for bids and proposals.

The day-to-day

• Compliance with Company policies, standards and regulations.
• Adherence with Company Values
• Management of a virtual project team, lead engineer for the project, supervise other engineers and technicians on the lifecycle of the project maximising utilisation of the available resources.
• The detailed design, production of project documents & drawings, configuration, pre‐fat testing, and conduction of client witnessed fats as required (PAGA, CCTV, ACS, Radio, LAN, WAN, SCS, IDS, etc.)
• To provide effective management of all the project stakeholders during the project lifecycle.
• Liaison with suppliers and third parties and assist the project management group to ensure the smooth and successful delivery of each project on time and budget, ensuring that all agreed customer requirements are met
• Assist the Project Management group with the successful delivery of each Project within timescale and to budget ensuring that all agreed customer requirements are met.
• Mentoring of Graduate Engineers and Engineers
• Support the Company Quality Program within SI operations to uphold the highest quality standards. Ensuring compliance and maintainability of the ISO certifications across the SI operations performing appropriate checks to audit/monitor adherence.
• Commitment to the HSE standards across all technical work groups that provides the appropriate training, awareness, and job planning for zero incidents and accidents, both in the office or customer worksites.
• Travel and attend customer meetings, project review meetings, FATs, vendor system testing; site installation supervision, site commissioning and witnessing SATs both on and offshore as required.
• Any other adhoc tasks

What you'll need

Degree in Engineering or relevant technical subject (Preferably in Electrical & Electronics, or Telecommunications) or extensive relevant experience.
Professional Accreditation such as Chartered Engineer, MIET or working towards these.
Cisco CCNA /CCNP accredication.
Experience in projects work and proven work experience in the oil and gas industry or equivalent
EU citizenship/ Valid work permit

What will help you on the job

• Ability to communicate with people at all levels and participate in teamworking
• Capable of working under pressure and the ability to multi‐task effectively both independently and within a team
• Flexible and willing to meet customer requirements
• Experience with standard MS Office applications
• Travel may be required locally and internationally
• This role is contingent on an upcoming award"
Telecommunications Engineer,Telecommunications Engineer,Strategic Staffing Solutions,May,2024,"Job Title: Telecom Engineer – Hiring FAST!
Location: Charlotte, NC
Pay Rate: $40-42/HR on W2 Only – NO C2C
Setting: Onsite Required (Remote is NOT an Option)
Duration: 12+ months.

***WE DO VISA TRANSFERS***

Responsibilities:
Shift: Wednesday – Sunday, 2pm–11pm.

Required Qualifications:
A CCNA Certification
Prior work experience in an Operations Center environment
Experience with CISCO network implements, Transport related technologies or Voice/ Cellular troubleshooting."
Telecom Engineer,Telecom Engineer,"Conch Technologies, Inc",May,2024,"Hi, FULLTIME JOB

Greetings from Conch Technologies Inc

Role: VoIP Support\Telecom Engineer - (L2)

Location: San Diego, CA (Onsite) – candidate is open to work onsite (5 days a week)

Note: Please share profiles with more Telecom and some n/w background.

Who are we looking for?

Telecom Project Engineer (3-5 years of relevant Experience)
Experience with customer service, including experience working with executives.
Someone capable working independently with some experience implementing large projects.

Technical Skills

Strong knowledge of telecommunications circuits and orders
An understanding of network gear, switches, routers, firewalls
Experience with cloud-based phone systems and technologies
Strong knowledge on Inbound and Outbound architecture, call flow and call routing Well versed with E1, T1 and SIP technologies.
Knowledge on vendor management to coordinate with telco service providers for provisioning and troubleshooting At least 3-5 years of relevant contact center solution related Engineering work experience. Should be aware of ITIL process. Network Certification with Qualification is a plus. Should have good communication skill.

Process Skills

Experience with organizing and keeping track of multiple deliverables.
Capable of analyzing requirements and manage roubleshoot as per project defined process.
Independently managing the process and with complete ownership

Behavioral Skills

Resolve technical issues of projects and explore alternate designs.
Participates as a team member and fosters teamwork by inter-group coordination within the modules of the project.
Effectively collaborates and communicates with the stakeholders and ensure client satisfaction.
Confidently communicate with C-Level/C-Suite stakeholders and ensure 100% customer satisfaction.
Strong decision-making skills.
Train and coach members of project groups to ensure effective knowledge management activity.

Qualification

Education qualification: B.Tech, BE. Tech or equivalent technical degree from a reputed college.
CCNA or similar certification is an advantage.

Thanks & Regards

Nayak Teketi

Phone : 901-317-3453

Email:nayak@conchtech.com

Web: www.conchtech.com"
Telecom Engineer,Telecom Engineer,"Conch Technologies, Inc",May,2024,"Hi, FULLTIME

Greetings from Conch Technologies Inc

Role: VoIP Support\Telecom Engineer - (L2)

Location: San Diego, CA (Onsite) – Please make sure the candidate is open to work onsite (5 days in a week)

Note: Please share profiles with more Telecom and some n/w background.

Who are we looking for?

Telecom Project Engineer (3-5 years of relevant Experience)
Experience with customer service, including experience working with executives.
Someone capable working independently with some experience implementing large projects

Technical Skills

Strong knowledge of telecommunications circuits and orders
An understanding of network gear, switches, routers, firewalls
Experience with cloud-based phone systems and technologies
Strong knowledge on Inbound and Outbound architecture, call flow and call routing Well versed with E1, T1 and SIP technologies.
Knowledge on vendor management to coordinate with telco service providers for provisioning and troubleshooting At least 3-5 years of relevant contact center solution related Engineering work experience. Should be aware of ITIL process. Network Certification with Qualification is a plus. Should have good communication skill.

Process Skills

Experience with organizing and keeping track of multiple deliverables.
Capable of analyzing requirements and manage roubleshoot as per project defined process.
Independently managing the process and with complete ownership

Behavioral Skills

Resolve technical issues of projects and explore alternate designs.
Participates as a team member and fosters teamwork by inter-group coordination within the modules of the project.
Effectively collaborates and communicates with the stakeholders and ensure client satisfaction.
Confidently communicate with C-Level/C-Suite stakeholders and ensure 100% customer satisfaction.
Strong decision-making skills.
Train and coach members of project groups to ensure effective knowledge management activity.

Qualification

Education qualification: B.Tech, BE. Tech or equivalent technical degree from a reputed college.
CCNA or similar certification is an advantage.

With Regards,

Nagesh G

Mobile: 901-779-5999

Desk: 901-313-3066

Email: nagesh@conchtech.com

Web: www.conchtech.com"
Telecom Engineer,Telecom Engineer,"Conch Technologies, Inc",May,2024,"Hi, FULLTIME

Greetings from Conch Technologies Inc

Role: VoIP Support\Telecom Engineer - (L2)

Location: San Diego, CA (Onsite) – Please make sure the candidate is open to work onsite (5 days in a week)

Duration: Fulltime JOB

Note: Share profile with more Telecom and some n/w background.

Who are we looking for?

Telecom Project Engineer (3-5 years of relevant Experience)
Experience with customer service, including experience working with executives.
Someone capable working independently with some experience implementing large projects.

Technical Skills

Strong knowledge of telecommunications circuits and orders
An understanding of network gear, switches, routers, firewalls
Experience with cloud-based phone systems and technologies
Strong knowledge on Inbound and Outbound architecture, call flow and call routing Well versed with E1, T1 and SIP technologies.
Knowledge on vendor management to coordinate with telco service providers for provisioning and troubleshooting At least 3-5 years of relevant contact center solution related Engineering work experience. Should be aware of ITIL process. Network Certification with Qualification is a plus. Should have good communication skill.

Process Skills

Experience with organizing and keeping track of multiple deliverables.
Capable of analyzing requirements and manage roubleshoot as per project defined process.
Independently managing the process and with complete ownership

Behavioral Skills

Resolve technical issues of projects and explore alternate designs.
Participates as a team member and fosters teamwork by inter-group coordination within the modules of the project.
Effectively collaborates and communicates with the stakeholders and ensure client satisfaction.
Confidently communicate with C-Level/C-Suite stakeholders and ensure 100% customer satisfaction.
Strong decision-making skills.
Train and coach members of project groups to ensure effective knowledge management activity.

Qualification

Education qualification: B.Tech, BE. Tech or equivalent technical degree from a reputed college.
CCNA or similar certification is an advantage.

Thanks & Regards

Nayak Teketi

Phone : 901-317-3453

Email:nayak@conchtech.com

Web: www.conchtech.com"
Telecom Engineer,Telecom Engineer,ClientSolv Technologies,April,2024,"Company Description

ClientSolv Technologies is an IT solution firm with over a decade of experience serving Fortune 1000 companies, public sector and small to medium sized companies. ClientSolv Technologies is a woman-owned and operated company that is certified as a WMBE, 8a firm by the Federal government's Small Business Administration.

Job Description

We are seeking a Telecom Engineer for a 4 month contract to start (can be extended) in Atlanta, GA. This role will be onsite/in the office (there are no remote options) near Hartsfield airport.

In this role, you will be responsible for planning, developing, and managing the organization's fiber optic communication infrastructure networks along with:

Preparing and reviewing comprehensive plans for the environment, project plans, contracts and specifications.
Plans, supervises, and participates in the design, construction, installation, maintenance, and repair of the company fiber optic network.
Assists staff in analysis and diagnosis of problems, troubleshooting equipment, and system failures.
Conduct engineering, placing, splicing, and terminating both single-mode and multi-mode fiber optic cables.
Cable Installation quotes gathering for related project
Supervising internal and external cable installers.
Developing SOW for cable work.
Perform Cable Moves, Adds and Changes (including termination, and testing)
Servicing, including rapid response troubleshooting and repair
Network design drawings on electronic media
Conduct test with various cable testing and analytical tools with an Optical Time Domain Reflectometer (OTDR), fiber cable radius, routing specifications and network synchronization.

Qualifications

BS degree in electronics, telecommunications, (or equivalent) field, and/or 3 years working experience, or 5 years cable engineering experience.

Potential candidates will be qualified to design and implement the following:

CAT5, CAT5e data cabling
CAT6, CAT6e data cabling
Coax -Cable TV installs
Fiber Optics
Wireless Local Area Networks and Telecommunications Systems
Local Area Networks
Interfaces into WAN technologies & DWDM,
Knowledge of Avaya Cisco VoIP Telephone system & cabling infrastructure

Experience with Panduit solutions is a plus. RCCD Certification is a plus.

Additional Information

This 4 month contract will have the option to extend further and will be onsite/ in the office in Atlanta, GA."
Telecommunications Engineer,Telecommunications Engineer,eNGINE,May,2024,"eNGINE builds Technical Teams. We are a Solutions and Placement firm shaped by decades of interaction with Technical professionals. Our inspiration is continuous learning and engagement with the markets we serve, the talent we represent, and the teams we build. Our Consulting Workforce is encouraged to enjoy career fulfillment in the form of challenging projects, schedule flexibility, and paid training/certifications. Successful outcomes start and finish with eNGINE.

eNGINE is hiring a Telecommunications Engineer for a position in the transportation/logistics space. This individual will be supporting telecommunication technologies. They will be working with fiber, landline fiber, VOIP, Ethernet, and more. This individual will be providing engineering solutions, configuring devices, perform level 1 wiring, maintain inventory of telecom devices, working with vendors, and more. 4+ years of experience with telecommunication technology is required. Candidates must be local to the Greater Pittsburgh region and be able to work a hybrid schedule. No C2C is available for this role."
Telecommunications Engineer,Telecommunications Engineer,Steneral Consulting,March,2024,"Onsite role, must be local

W2 candidates only

Looking for minimum 1 – 2 years of experience of each responsibility listed.

Details

We are seeking a skilled and experienced Telecommunications and Unified Communications Technician to join our team, responsible for designing, implementing, and maintaining telecommunications systems and video conference systems to meet the needs of our organization.

Responsibilities

Design, configure, and deploy telecommunications systems, including PBX, VoIP, and SIP trunking solutions.
Install, troubleshoot, and maintain telecommunication hardware and software, such as telephone handsets, gateways, routers, and switches.
Perform system upgrades, patches, and firmware updates to ensure optimal performance and security.
Monitor telecommunications infrastructure for performance issues and proactively address potential bottlenecks or failures.
Provide technical support and assistance to end-users experiencing telecommunications and unified communications-related issues.
Collaborate with network engineers and system administrators to integrate telecommunications systems with existing IT infrastructure.
Implement and manage unified communications platforms, including instant messaging, video conferencing, and collaboration tools.
Develop and maintain documentation, including system configurations, procedures, and troubleshooting guides.
Stay current with industry trends and best practices in telecommunications and unified communications technologies.
Participate in project planning and execution, including system upgrades, expansions, and migrations."
