Position,Company_Name,Location,Post_Month,Post_Year,Details
Desarrolladora / Desarrollador de Software Frontend para IT Bootcamp,Desarrolladora / Desarrollador de Software Frontend para IT Bootcamp,Mercado Libre,May,2024,"En Mercado Libre estamos democratizando el comercio, el dinero y los pagos en América Latina. ¡Sumate al propósito!
IT Bootcamp es nuestro programa de capacitación regional para Software Developers que quieran sumarse al enorme desafío de desarrollar la plataforma tecnológica líder en América Latina.
Quienes hayan atravesado exitosamente todo el proceso de selección serán parte del programa. Desde el primer día ingresarán a la compañía como Software Developer en IT, con dedicación full time y, durante los primeros dos meses, tendrán la oportunidad de vivir un plan intensivo de entrenamiento en el stack tecnológico de Mercado Libre, totalmente diseñado y creado por nuestros referentes técnicos. Aprenderán y fortalecerán sus conocimientos en los distintos lenguajes de programación con los que trabajamos en la compañía, hacer pruebas de código seguro y sobre bases de datos. La capacitación técnica también incluye metodologías ágiles y herramientas de monitoreo.
¡Una vez que hayan completado el entrenamiento, estarán en el nivel adecuado para trabajar codo a codo con nuestro equipo y se incorporarán a proyectos estratégicos!
Tenemos un desafío para quienes:
Vibran energía emprendedora: se mueven por la curiosidad, nunca se rinden y se enfocan en superar sus propios límites.
Dan el máximo porque les gusta trabajar con compromiso y dedicación.
Viven los cambios como oportunidades y aprenden de sus errores.
La excelencia y la ejecución son claves en su forma de hacer las cosas.
Promueven el buen clima, aportan alegría y diversión.
Saben cómo construir con otras personas y disfrutan trabajando en equipo.
Imaginate emprendiendo proyectos desafiantes, dinámicos e innovadores y siendo responsable de:
Contribuir en el diseño y la creación de productos que impactan directamente en la vida de miles de personas a diario.
Colaborar en definiciones de arquitectura, pensando siempre en soluciones que resulten escalables.
Programar código de calidad y garantizar que todo funcione correctamente antes de ser implementado.
Requisitos:
Haber finalizado o estar en la etapa final de tecnicaturas o carreras de grado como Ingeniería en Informática, Ciencias de la Computación o afines.
Contar con un máximo de 3 años de experiencia laboral en roles de programación.
Poseer conocimientos básicos teóricos de programación y estructuras de datos, como variable, función, if, bucle, operadores, de HTML, CSS, Javascript, y conocimientos del concepto de versionado, como GIT.
Residir en Ciudad de México.
Te proponemos:
Ser parte de una compañía con espíritu emprendedor en la que nos encanta pensar en grande y a largo plazo.
Ser protagonista de tu desarrollo en un ambiente de oportunidades, aprendizaje, crecimiento, expansión y proyectos desafiantes.
Compartir y aprender en equipo junto a grandes profesionales y especialistas.
Un excelente clima de trabajo, con todo lo necesario para que vivas una gran experiencia. :)"
Jr. Web Developer,Jr. Web Developer,MezTal,May,2024,"We are seeking a skilled and enthusiastic Junior Web Developer to join our team. The ideal candidate will be responsible for supporting the development and management of our HubSpot websites, contributing to the redesign process, and launching new acquisition sites.

Responsibilities:

Support the development and maintenance of HubSpot websites
Collaborate with the design and marketing teams to implement website redesigns
Launch new acquisition sites to expand our online presence.
Troubleshoot and resolve technical issues related to web development
Stay updated on industry trends and best practices in web development


Requirements

Qualifications:

Bachelor's degree in computer science, Web Development, or a related field
1+ year the proven experience as a Jr Web Developer or similar.
Solid understanding of HTML, CSS, and JavaScript.
Experience with HubSpot CMS is a plus.
Strong problem-solving skills and attention to detail.
Ability to work collaboratively in a team environment.
Excellent communication skills, both verbal and written


Benefits

Insurance of major medical expenses (Sum assured $20,000,000.00 MXN)
Life insurance (Death and MXN Disability)
12 Days of vacation per year, with prior approval from your manager, plus three floating days in addition to the seven official Holidays in Mexico
30 days of Christmas bonus
Cell Phone Reimbursement
Transportation Allowance"
Front End Web Developer,Front End Web Developer,"Donato Technologies, Inc.",April,2024,"Hybrid - 2 days in the office

Client requires the services of 1 Front-End Web Developer/Web Designer 2, hereafter referred to as Candidate(s), who meets the general qualifications of Front-End Web Developer/Web Designer 2, Web Development and the specifications outlined in this document for the Client

All work products resulting from the project shall be considered ""works made for hire"" and are the property of the Client and may include pre-selection requirements that potential Vendors (and their Candidates) submit to and satisfy criminal background checks as authorized by Texas law. Client will pay no fees for interviews or discussions, which occur during the process of selecting a Candidate(s).

The Department of Information Resources (DIR) requires the services of [1] Web Developer/Designer, hereafter referred to as Worker, who meets the general qualifications of a Front-end web developer/web designer 2 Level and Core Technology Type and the specifications outlined in this document for Client .

This front-end worker under the guidance of the project manager, business users, and technical architects will be responsible for designing responsive and accessible modern web applications. They will create the prototype develop the style sheets and provide the required components for application developers.

They should have a strong understanding of UX/UI design principles and best practices and experience in creating wireframes, user flows, and prototypes to communicate design concepts. They should be skilled in the use of Sketch, Figma, Adobe XD, or related UX mockup and prototyping software. They should have knowledge of WCAG 2.2 AA accessibility guidelines and experience in designing accessible interfaces. They should be able to collaborate effectively with cross-functional teams including designers, developers, and product managers. They should be proficient in HTML, CSS, MUI, and JavaScript.

They should have excellent communication and presentation skills to articulate design concepts and rationale. They should be familiar with agile development processes and the ability to adapt to changing project requirements. They should have experience conducting heuristic evaluations and expert reviews to identify usability issues. They should have strong problem-solving skills and the ability to think creatively to address user needs and pain points.

WORKER SKILLS AND QUALIFICATIONS (Required)

5 years Minimum experience for the following:

UX/UI design experience.
Figma
HTML, CSS, Javascript

3 Years Minimum Experience For The Following

MUI

Preferred

3 years experience in Sketch

Minimum Requirements

II. CANDIDATE SKILLS AND QUALIFICATIONS

Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity. Years Required/Preferred Experience 5 Required UX/UI Design of Web Applications 5 Required Figma 5 Required HTML, CSS, Javascript 3 Required MUI 3 Preferred Sketch"
Programador frontend Jr.,Programador frontend Jr.,Macropay,April,2024,"En Macropay estamos buscando colaboradores innovadores; creativos en evolución constante que nos ayuden marcar la diferencia. Somos una empresa que ha revolucionado la industria retail con una nueva forma de conectar a las personas a través de la venta de celulares a crédito. Ofrecemos diversos productos financieros, de manera eficiente, ágil, cómoda y confiable.

¡Ven a romper límites con nosotros!

Vacante: Programador frontend Jr.

Sede: Mérida (Presencial)

Requisitos

Escolaridad: Ingeniero en informática, en sistemas o licenciatura relacionada.

Actividades

Conocimiento en desarrollo de interfaces con react, TS, JS y peticiones a API´s y despliegue en nube

Desarrollo de pruebas unitarias automatizadas

conocimiento en el desarrollo de nuevas arquitecturas

Desarrollo con NextJs

Dominio de tecnologías front end vigentes.

Experiencia comprobable de trabajo efectivo con QA, Back y UX

Conocimiento sólido de análisis de interfaces centradas en cliente/usuario, comprobable por proyectos anteriores y/o conocimiento de métricas.

¿Qué ofrecemos

Sueldo base competitivo

Fondo de ahorro

Beneficios superiores: Gastos Médicos Mayores, Seguro de Vida, Seguro de Accidentes, Vales de Despensa, entre otros.

Retos constantes y crecimiento profesional.Requerimientos

Educación mínima: Educación superior - Licenciatura
2 años de experiencia
Edad: entre 22 y 45 años

Palabras clave: developer, desarrollador, juniorHace 21 horas (actualizada)"
"Front End Developer Palermo, CABA ID 100276","Front End Developer Palermo, CABA ID 100276",EducacionIT,March,2024,"Nuestro cliente es un importante holding de medios y está lanzando un nuevo producto educativo.

Estamos ayudándolos a armar su equipo y necesitamos sumar Desarrolladores Front End SSR/SR

Requerimos Experiencia Con

Procesos de Diseño – HTML – SASS (FW) (CSS) – MaterializeMecanismo de Autenticacion – JWT – O OUTJava ScriptType ScriptFrameworks – Angular 1, 2 o + / NGRX / Redux

Beneficios

PREPAGA MEDICUS PLAN CORPORATE – GRUPO FAMILIARALMUERZO A CARGO DE LA EMPRESAMERIENDACAFETERIA LIBRELLAVE DE SNACKSGYMPASS (GYM)HOMEWORKING

También tenés la posibilidad de aprender nuevas tecnologías y de participar en un proyecto de educación muy importante

Locacion: Palermo, CABA"
Junior Front End Engineer,Junior Front End Engineer,minware,April,2024,"About Minware

minware provides engineering business metrics that show the true cost of engineering impediments. This helps organizations make better decisions with stronger alignment between engineers and executives.

Kevin Borders founded minware after bootstrapping his previous company to $86m in revenue and selling in 2021, with the idea of helping others benefit from lessons learned growing an engineering team from 0 to 40.

minware is a self-funded seed-stage company. After promising initial customer traction, we are looking for people who share our values to help bring minware to a larger audience.

The Role

As an early engineer, you will have the unique opportunity to work directly with minware's founders to build the product from the ground up. We are looking for someone who enjoys designing, developing, and maintaining front-end software.

We are seeking an ambitious and nice junior engineer who has experience independently executing complex projects and building scalable, maintainable software. As a purveyor of developer productivity analytics, we are diligent about process efficiency and code quality. Though we are small, we try to avoid unnecessarily creating technical debt and are looking for someone who can lead us toward this goal.

Primary Responsibilities

Develop UX/UX components for customer facing applications to enhance scalability, performance, and user experience
Work closely with product managers and customers to define minware's capabilities
Perform code reviews, unit testing, and continuous integration to maintain code quality standards
Manage a backlog of tech debt reduction and internal efficiency improvements

Qualifications

Familiarity with principles of high-quality code, including continuous integration, declarative and functional programming
Strong communication skills for interfacing with non-technical stakeholders and occasionally with customers
Well-versed in agile or lean planning and project management processes
Proficiency in Figma, HTML, and CSS
Experience with the core stack (Next.js, Apollo GraphQL, React) or similar technologies is preferred

Benefits and Perks

Competitive base salary, bonus, and seed-stage equity compensation
100% remote work, flexible hours, and unlimited vacation policy. (Read here about how we built trust in our previous all-remote company.)
Full health care premium coverage for you and your family
Unique career development guidance reporting directly to the founder/CEO

We offer competitive compensation packages along with stock options based on industry benchmarks for function, and level. Offer amounts are determined by multiple factors such as a candidate's experience and expertise.

Base Compensation:

$80,000—$120,000 USD"
Junior Full Stack Web Developer,Junior Full Stack Web Developer,Patterned Learning Career,May,2024,"This is a remote position.

Junior Full Stack Web Developer - Remote Job, 1+ Year Experience

Annual Income: $59K - $76K

A valid work permit is necessary in the US

About us: Patterned Learning is a platform that aims to help developers code faster and more efficiently. It offers features such as collaborative coding, real-time multiplayer editing, and the ability to build, test, and deploy directly from the browser. The platform also provides tightly integrated code generation, editing, and output capabilities.

Description:

This position is ideal for individuals who are passionate about both front-end and back-end development and want to gain valuable experience in a supportive and collaborative environment.

Responsibilities:

Collaborate with the development team to design, develop, and maintain web applications
Implement responsive and user-friendly front-end designs using HTML, CSS, and JavaScript
Develop server-side code and APIs using programming languages such as Python, Ruby, or Node.js
Design and maintain databases and perform database queries for data retrieval and manipulation
Write clean, modular, and efficient code for both front-end and back-end components
Participate in code reviews and provide constructive feedback
Troubleshoot and debug issues to ensure optimal performance and user experience
Stay up-to-date with emerging web technologies and industry trends
Contribute to improving the overall web development process

Requirements:

Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent experience)
Strong knowledge of HTML5, CSS3, and JavaScript
Experience with front-end frameworks (such as React, Angular, or Vue.js)
Proficiency in at least one server-side programming language (Python, Ruby, Node.js, etc.)
Familiarity with databases and SQL
Understanding of RESTful APIs and web services
Experience with version control systems (e.g., Git)
Good problem-solving and analytical skills
Excellent communication and teamwork abilities

Preferred Qualifications:

Familiarity with back-end frameworks (such as Django, Ruby on Rails, Express, etc.)
Knowledge of NoSQL databases (MongoDB, Firebase, etc.)
Understanding of web security best practices
Familiarity with cloud platforms (AWS, Azure, Google Cloud)
Experience with testing frameworks (Jest, Mocha, Jasmine, etc.)
Projects or personal portfolio showcasing your full-stack development skills

Why Patterned Learning LLC?

Patterned Learning can provide intelligent suggestions, automate repetitive tasks, and assist developers in writing code more effectively. This can help reduce coding errors, improve productivity, and accelerate the development process.

Pattern recognition is particularly relevant in the context of coding. Neural networks, intense learning models, are commonly employed for pattern detection and classification tasks. These models simulate human decision-making and can identify patterns in data, making them well-suited for tasks like code analysis and generation."
Junior Front End Engineer,Junior Front End Engineer,minware,April,2024,"About Minware

minware provides engineering business metrics that show the true cost of engineering impediments. This helps organizations make better decisions with stronger alignment between engineers and executives.

Kevin Borders founded minware after bootstrapping his previous company to $86m in revenue and selling in 2021, with the idea of helping others benefit from lessons learned growing an engineering team from 0 to 40.

minware is a self-funded seed-stage company. After promising initial customer traction, we are looking for people who share our values to help bring minware to a larger audience.

The Role

As an early engineer, you will have the unique opportunity to work directly with minware's founders to build the product from the ground up. We are looking for someone who enjoys designing, developing, and maintaining front-end software.

We are seeking an ambitious and nice junior engineer who has experience independently executing complex projects and building scalable, maintainable software. As a purveyor of developer productivity analytics, we are diligent about process efficiency and code quality. Though we are small, we try to avoid unnecessarily creating technical debt and are looking for someone who can lead us toward this goal.

Primary Responsibilities

Develop UX/UX components for customer facing applications to enhance scalability, performance, and user experience
Work closely with product managers and customers to define minware's capabilities
Perform code reviews, unit testing, and continuous integration to maintain code quality standards
Manage a backlog of tech debt reduction and internal efficiency improvements

Qualifications

Familiarity with principles of high-quality code, including continuous integration, declarative and functional programming
Strong communication skills for interfacing with non-technical stakeholders and occasionally with customers
Well-versed in agile or lean planning and project management processes
Proficiency in Figma, HTML, and CSS
Experience with the core stack (Next.js, Apollo GraphQL, React) or similar technologies is preferred

Benefits and Perks

Competitive base salary, bonus, and seed-stage equity compensation
100% remote work, flexible hours, and unlimited vacation policy. (Read here about how we built trust in our previous all-remote company.)
Full health care premium coverage for you and your family
Unique career development guidance reporting directly to the founder/CEO

We offer competitive compensation packages along with stock options based on industry benchmarks for function, and level. Offer amounts are determined by multiple factors such as a candidate's experience and expertise.

Base Compensation:

$80,000—$120,000 USD"
"Frontend Software Engineer, Search","Frontend Software Engineer, Search",Airbnb,May,2024,"Airbnb was born in 2007 when two Hosts welcomed three guests to their San Francisco home, and has since grown to over 4 million Hosts who have welcomed more than 1 billion guest arrivals in almost every country across the globe. Every day, Hosts offer unique stays and experiences that make it possible for guests to connect with communities in a more authentic way.

The Community You Will Join

The Location team at Airbnb is responsible for building a world class search experience for our guests. The team works on one of the most used features at Airbnb, the map search experience and aims to provide our guests the necessary location context for them to easily and efficiently find the right listings to book. The team also owns a family of products in the location space, such as point of interests, the places page, and guidebook.
The team is cross-discipline with expertise in iOS, Android, web and backend development and works closely with other search teams, platform teams, and partners in design, product, and data science to deliver new search experiences for Airbnb’s guests.

A Typical Day

Build the next-gen map search experience used by millions of guests.
Collaborate with cross-functional partners such as Product Managers, Experience Designers and other Engineers to design, prototype, and deliver high-quality guest-facing products on Desktop and Moweb.
Identify areas of improvement and drive web best practices, as well as maintain a high quality bar in our codebase.

Your Expertise

2+ years industry experience developing Web applications at scale
Experience with modern JavaScript/Typescript libraries and tooling (e.g. React, graphql)
Fluency in HTML, CSS, and related web technologies
Strong product sense and a passion for UX product development
Ability to collaborate with Product Management, Design, and backend, and other web engineers
Prior experience working on map related products and/or 3rd-party SDK integration is a plus.

Your Location:

This position is US - Remote Eligible. The role may include occasional work at an Airbnb office or attendance at offsites, as agreed to with your manager. While the position is Remote Eligible, you must live in a state where Airbnb, Inc. has a registered entity. Click here for the up-to-date list of excluded states. This list is continuously evolving, so please check back with us if the state you live in is on the exclusion list. If your position is employed by another Airbnb entity, your recruiter will inform you what states you are eligible to work from.

Our Commitment To Inclusion & Belonging

Airbnb is committed to working with the broadest talent pool possible. We believe diverse ideas foster innovation and engagement, and allow us to attract creatively-led people, and to develop the best products, services and solutions. All qualified individuals are encouraged to apply.

We strive to also provide a disability inclusive application and interview process. If you are a candidate with a disability and require reasonable accommodation in order to submit an application, please contact us at: reasonableaccommodations@airbnb.com. Please include your full name, the role you’re applying for and the accommodation necessary to assist you with the recruiting process.

We ask that you only reach out to us if you are a candidate whose disability prevents you from being able to complete our online application.

How We'll Take Care Of You

Our job titles may span more than one career level. The actual base pay is dependent upon many factors, such as: training, transferable skills, work experience, business needs and market demands. The base pay range is subject to change and may be modified in the future. This role may also be eligible for bonus, equity, benefits, and Employee Travel Credits.

Pay Range

$153,000—$184,900 USD"
Junior Front End Engineer,Junior Front End Engineer,minware,April,2024,"About Minware

minware provides engineering business metrics that show the true cost of engineering impediments. This helps organizations make better decisions with stronger alignment between engineers and executives.

Kevin Borders founded minware after bootstrapping his previous company to $86m in revenue and selling in 2021, with the idea of helping others benefit from lessons learned growing an engineering team from 0 to 40.

minware is a self-funded seed-stage company. After promising initial customer traction, we are looking for people who share our values to help bring minware to a larger audience.

The Role

As an early engineer, you will have the unique opportunity to work directly with minware's founders to build the product from the ground up. We are looking for someone who enjoys designing, developing, and maintaining front-end software.

We are seeking an ambitious and nice junior engineer who has experience independently executing complex projects and building scalable, maintainable software. As a purveyor of developer productivity analytics, we are diligent about process efficiency and code quality. Though we are small, we try to avoid unnecessarily creating technical debt and are looking for someone who can lead us toward this goal.

Primary Responsibilities

Develop UX/UX components for customer facing applications to enhance scalability, performance, and user experience
Work closely with product managers and customers to define minware's capabilities
Perform code reviews, unit testing, and continuous integration to maintain code quality standards
Manage a backlog of tech debt reduction and internal efficiency improvements

Qualifications

Familiarity with principles of high-quality code, including continuous integration, declarative and functional programming
Strong communication skills for interfacing with non-technical stakeholders and occasionally with customers
Well-versed in agile or lean planning and project management processes
Proficiency in Figma, HTML, and CSS
Experience with the core stack (Next.js, Apollo GraphQL, React) or similar technologies is preferred

Benefits and Perks

Competitive base salary, bonus, and seed-stage equity compensation
100% remote work, flexible hours, and unlimited vacation policy. (Read here about how we built trust in our previous all-remote company.)
Full health care premium coverage for you and your family
Unique career development guidance reporting directly to the founder/CEO

We offer competitive compensation packages along with stock options based on industry benchmarks for function, and level. Offer amounts are determined by multiple factors such as a candidate's experience and expertise.

Base Compensation:

$80,000—$120,000 USD"
