Job_Title,Job_Description,Job_Url
Desarrollador Power App,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18404057,"Descripción
AZKAIT es una empresa Mexicana que busca y conecta el mejor talento IT con empresas Latinoamericanas y de Estados Unidos.

Estamos en la búsqueda de tu talento como Desarrollador Power Apps.

Objetivo General del Puesto: Cumplir con el rol de Desarrollador Power APPS.

Requerimientos
Requisitos:

Experiencia de 1 a 2 años.
Ingeniería en Sistemas, Tecnologías de la Información (titulado).

Experiencia:

Experiencia en creación de Power Apps Desktop
Experiencia en implementación de procesos con Power Automate.
Experiencia en el uso de conectores estándar y conectores con SharePoint y Teams.
Experiencia en desarrollos sobre Power Apps Model Driven, Power Apps Canvas, Power Pages.
Definición del modelo de datos sobre Dataverse, creación de formularios, vistas.
Conocimiento básico de SQL.
Conocimiento básico de modelización de datos.

Habilidades:

Habilidad para comunicarse eficazmente con los clientes y otros miembros del equipo.
Conocimiento de programación.
Habilidad para trabajar de forma autónoma y en equipo.
Capacidades de comunicación."
Programador Frontend App,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18397269,"Descripción

Empresa: DABI (DATA ACQUISITION BUSINESS INTELLIGENCE S.A.P.I de C.V.)

Descripción (técnica) 

Requisitos:
React js 18
React native 0 73 (preferible)
UX, UI
Expo
Metodologia Agile
Base de datos Mysql 
Github, Github Actions
De 1 a 3 años de experiencia. 

Ofrecemos:
Contratación directa con la empresa. 
De 1 a 3 años de experiencia. 
Prestaciones de ley y superiores.

Ubicación:
Col. Los Doctores, Monterrey, N.L"
Desarrollador de aplicaciones,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18363835,"Descripción
Estamos buscando un desarrollador de aplicaciones talentoso para unirse a nuestro equipo innovador. En este apasionante puesto, tendrá la apasionante oportunidad de diseñar, desarrollar y mantener aplicaciones de vanguardia que revolucionarán la industria.

Desarrollador de Aplicaciones
100% PRESENCIAL
 Monterrey

- Licenciatura en Informática o equivalente TITULADOS

- Más de 3 años de experiencia
INGLES AVANZADO  (SE REPORTA A ESTADOS UNIDOS )
Prácticas de desarrollo, es decir, HTML, CSS, JavaScript, JQuery, etc.,
Como conocimiento práctico de lenguajes y conceptos orientados a objetos.
•Experiencia en la consulta de bases de datos para la creación y recuperación de datos.
•Habilidades competentes de Microsoft Office, incluidos Outlook, Word y Excel.
• Familiarizado con las prácticas básicas de desarrollo web, es decir, HTML, CSS, JavaScript, JQuery, AngularJS, modelo-vista-controlador (MVC), etc.
•Familiarizado con herramientas de desarrollo en equipo y control de fuente, es decir, Visual Studio, TFS, CVS, JIRA, GIT, etc.
•Capaz de escribir código de manera efectiva y desarrollar soluciones en varios lenguajes de programación diferentes, incluidos Java, ASP .NET, JavaScript/JQuery, AngularJS, model-view-controller (MVC),VB/C#, TSQL, HTML/CSS, etc.
•Capaz de escribir y evaluar el rendimiento de consultas SQL básicas.
•Automatiza procesos para mejorar la eficiencia.
•Construye herramientas para eliminar tareas repetitivas.
•Participa en equipos auto organizados que trabajan hacia un objetivo común.
•Responde a los problemas que surgen y se asocia con Systems Assurance Group para mejorar el monitoreo.

SE OFRECE:
·        $50,000 BRUTOS MENSUALES
·        Prestaciones de ley
·        Oportunidad de trabajo y Desarrollo
·        De Lunes a Viernes de 9:00 am 6:00 pm
·        Zona de trabajo: Edificio de Pabellón M - Monterrey"
Desarrollador de aplicaciones web,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18379007,"Descripción
Desarrollador de aplicaciones web con conocimientos de Bases de Datos

Requisitos
desarrollo de aplicaciones web
Conocimiento de bases de datos
Responsabilidades
Crear nuevas aplicaciones web basadas en requisitos funcionales."
Web application developer,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18404450,"Descripción
Somos una empresa líder de gestión de capital humano y servicios tecnológicos con más de 15 años en el mercado nacional y Centro América, ofreciendo un valor agregado y solución a los procesos de consultoría de TI, atracción de talento, pruebas de Software y centro de desarrollo.
Teniendo siempre la satisfacción de nuestros clientes y el desempeño profesional de nuestros colaboradores.
En Getecsa estamos comprometidos a brindar la mejor experiencia, a seguir innovando y
dirigirnos con honestidad, respeto y compromiso.
¡La oportunidad de crecer está en tu manos... únete a nuestro equipo de trabajo!

Web Applications Developer

Requirements and Experience:
3 years of experience as a Web applications development
Database knowledge
Advanced Enlgish Level
This is a on site vacancy
Graduated form Systems Engineer or related field

Responsibilities:
Create new web applications based in functional requirements.

Soft Skills:
Oral and written comunications habilities.
Ability to work as a team, conflict management.
Assertive, goal-oriented and highly proactive.
Ability to deliver results, meeting deadlines.

Está es una vacante presencial
Horario de Lunes a Viernes 8:30 am a 6:00 pm
Contrato inicial de 3 meses con posibilidad de extenderse en base a desempeño."
Analista de sistemas,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18400933,"Descripción
Empresas Gibraltar, un grupo que integra más de 1000 colaboradores a nivel nacional entre las empresas, Hydrocon®, KEY® Soluciones de Limpieza y Cyan® Labs busca para su Planta de Manufactura ubicada en Apodaca, N.L (Periférico de Monterrey),

Analista de Sistemas

Requisitos:
Carrera Profesional en Ingeniería en Sistemas, Tecnologías de Información o afín. 
Experiencia mínima de 3 años como:
·        Analista de ERPs
·        Desarrollador de aplicaciones
·        Desarrollador de procedimientos Microsoft SQL Server
Conocimientos Técnicos: Bases de datos, Lenguajes de programación, ERPs, Aplicaciones en administración de almacenes y de manufactura.
Herramientas de computación: SO Windows Client 8 o superior, SO Windows Server 2012 o superior, Microsoft SQL Server versión 2008 o superior, Visual Studio 2010 o superior, Crystal Reports 10 o superior.
Office 365 – Excel, Access. Microsoft Project 2010 o superior
Indispensable radiquen en Apodaca , Escobedo, Garcia y/o San Nicolas (sin problemas de traslado)

Ofrecemos:
Sueldo competitivo
Prestaciones superiores a la ley

Interesados postularse por este medio, te sugerimos incluir tu cv para ser tomado en cuenta.
Agradecemos tu interés y postulación en esta oferta laboral, si tu experiencia coincide con el perfil requerido, nos pondremos en contacto contigo, de no ser así mantendremos tus datos en nuestra base de candidatos para futuras oportunidades."
Net developer sr,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18396572,"Descripción
AZKA IT is a Mexican company that seeks and connects the best IT talent with Latin American and United States companies.

We are looking for your talent as Fullstack developer.

?Fullstack developer - .Net Core, Angular & SQL


Skills required:

English: intermediate-advanced
4+ years of proven experience as a .NET Developer or Application Developer
3+ years of experience in developing microservices based applications
2+ years of experience expertise in Frontend development using React, Angular
4+ years of experience working with databases like SQL, MongoDB (or other non-relational DBs)
Familiarity with architecture styles/APIs (REST, RPC)
.NET framework, C#, ASP .NET MVC, and Entity Framework
Experience with HTML, CSS, and JavaScript frameworks
Experience with Azure Pipelines and Git
Demonstrable understanding and practice of code development best practices

Main responsibilities
Design, develop, and maintain .NET-based web applications using languages such as C#, ASP .NET, Typescript and JavaScript
Utilize front-end technologies like HTML5, CSS3, and JavaScript frameworks like AngularJS, React, or Vue. js for creating dynamic user experiences
Develop and implement server-side logic using .NET MVC and/or .NET Core
Engage with SQL or other databases to store, manipulate, and retrieve application data efficiently
Participate in the entire application lifecycle, focusing on coding, debugging, and ensuring high performance and responsiveness
Collaborate with cross-functional teams to define and design new features
Perform unit and integration testing before launch and functional testing after deployment
Analyze user and system requirements, and prioritize, devise, and implement solutions accordingly
Implement security principles to protect sensitive user data and maintain data integrity. 

Ofrecemos:
Esquema:100% nómina
SGMM para el recurso y su familia directa
Seguro de Vida por 1 millón de pesos
Vales de despensa
PTU de ley
Aguinaldo 30 días
10 días de vacaciones a partir del primer año
25% prima vacacional
Certificaciones gratuitas
Apoyo con telecomunicaciones

Beneficios adicionales como seguro dental, descuentos departamentales y en redes médicas.


?"
Desarrollador Full stack Jr,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18374656,"Descripción
Desarrollador Fullstack es un profesional de la tecnología con la habilidad de manejar tanto el desarrollo de frontend (interfaz de usuario) como el backend (lógica y base de datos) de una aplicación o sitio web. Esta dualidad de competencias les permite tener una comprensión integral del desarrollo web y de software, facilitando la creación de soluciones completas y coherentes.

Funciones:
Diseño de Interfaz de Usuario: Crear y optimizar la interfaz de usuario para mejorar la experiencia del usuario.
Programación Backend: Desarrollar y mantener la lógica del servidor y las bases de datos.
Gestión de Bases de Datos: Manejar y optimizar bases de datos para garantizar un almacenamiento y recuperación eficientes de datos.
Integración de Sistemas: Asegurar que los componentes del frontend y backend trabajen armónicamente.
Pruebas y Depuración: Realizar pruebas para garantizar la funcionalidad, seguridad y eficiencia del software.

Responsabilidades
Desarrollo de aplicaciones web y móviles con net C#
 Conocimientos y Habilidades:
-         Conocimientos en Lenguajes de Programación: Dominio de HTML, CSS y JavaScript para el desarrollo frontend web Responsive web design y app
-         Competencia en uno o más lenguajes de backend, como net c#, Java o PHP.
-         Experiencia con frameworks de frontend como React, Angular o blazor.
-         Conocimiento de frameworks de backend como Node js, Ruby on Rails o Spring.
-         Habilidad para trabajar con bases de datos relacionales como MySQL o Sql server.
-         Experiencia con bases de datos NoSQL como MongoDB.
-         Capacidad para crear y consumir APIs RESTful y SOAP.
-         Conocimientos de Diseño y UX/UI: Entendimiento básico de principios de diseño y experiencia de usuario para crear interfaces atractivas y funcionales.
-         Experiencia en escribir y realizar pruebas unitarias, de integración y funcionales.
-         Conocimientos de Arquitectura web, control de versiones git hub.
-         Conocimiento de Azure web/app developer, Microsoft power plataform developer
-         Experiencia en el despliegue y mantenimiento de aplicaciones, incluyendo el uso de contenedores y herramientas como Docker y Kubernetes (Microsoft azure o aws).
-         Familiaridad con conceptos y herramientas de DevOps, como la integración y entrega continuas (CI/CD), utilizando herramientas como Jenkins, Travis CI.
-         Habilidades básicas en gestión de proyectos, como la capacidad para estimar tiempos, gestionar tareas y trabajar con metodologías ágiles como Scrum o Kanban."
Desarrollador Back-end,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18395496,"Descripción
En Grupo Bimbo estamos en busca de colaboradores que quieran alimentar un mundo mejor con grandes acciones; hoy es tu oportunidad de colaborar y hacer carrera con nosotros y pertenecer a una gran comunidad global que se encarga de llevar alimentos deliciosos y nutritivos a las manos de todos como:

Analista-Desarrollador Backend Sr.

OBJETIVO DEL PUESTO:

IDIOMA: inglés intermedio

FORMACIÓN: Licenciatura o Ingeniería en Informática, Sistemas o carrera afín. Titulado

CONOCIMIENTOS:
• Skills de desarrollo
Java Core al menos la versión - Experto
Spring core/boot/hybernate - Experto
Mulesoft: anypoint studio 7, on-premise y on-cloud deployments - Avanzado
Experiencia con framework de integración: Apache Camel/Karavan - Avanzado
Programación concurrente y paralela, manejo de excepción, POO, patrones de desarrollo, integración de DB, manejo de archivos remoto y local, manejo de excepciones - Experto
Desarrollo REST, SOAP (exposición y explotación) - Experto
SQL Server (structured query language): MySQ/SQLServer - Avanzado
Desarrollo de microservicios - Avazando
Sistema operativo Linux, shell scripting - Experto
Testing unitario, estres, performance, concurrente - Deseable
Postman/JMeter Deseable 1 Proxy y API manager - Deseable
Seguridad aplicativa: certificados, https, ftps, etc - Medio
Python - Medio
Javascript - Deseable
Debug de código (front & back)- Avanzado
Trazabilidad de logs - Avanzado
Consultas de status en DB - Avanzado
Datadog - Deseable
Manejo de cli: powershell, Linux, aws, jbang, camel, maven, java, docker -Avanzado
?
Integración y diseño:
Webservices REST & SOAP: análisis y diseño - Experto
Patrones de diseño arquitectura: MVC, Middleware, SOA, microservicios, coreografía, orquestación, canary, blue/green - Deseable
Conocimiento en manejo y procesamiento de archivos locales y SFTP - Experto
Scripts y procesos batch Linux o Windows - Experto
Front: Javascript, HTML Medio 2 Manejo de Código (git, bitbucket) - Experto
Conocimiento de Protocolos: TCP, HTTPs, FTP, SFTP, TELNET - Experto
Computación en la nube (AWS preferentemente) - Deseable
Manejo de conceptos de despliegue en la nube a nivel arquitectura de diseño y despliegue de soluciones: instancias EC2, load balancer, routing, TCP/IP, puertos, firewalls (WAF), DNS, VPN, VPC, EKS, ECR - Deseable
Experiencia en contenedores: Docker, Kubernetes - Avanzado
Conocimiento con CI/CD: pipelines Atlasian/Bitbucket - Avanzado
Seguridad aplicativa: api proxies, patrones de seguridad - Deseable
?
CERTIFICACIONES:
Deseable: AWS Certified Developer Associate
Java EE 7 Application Developer Certification
Cualquiera de: MuleSoft Certified Integration Associate / MuleSoft Certified Developer - Level 2 / MuleSoft Certified Integration Architect - Level 1
Deseable: Software Architecture Professional

COMPETENCIAS:
Analítico
Atención al detalle
Sentido de urgencia y priorización de actividades
Atención al cliente
Gusto por aprender de manera autónoma
Sentido de calidad en los entregables
Trabajo en equipo
Facilidad de palabra

ACTIVIDADES:
Saber interpretar requisitos y definiciones de comerciales para plasmarlos como definiciones técnicas funcionales desde el punto de vista arquitectónico de la solución.
Desarrollo de soluciones backend con el stack tecnológico requerido (ecosistemas java en Containers/Linux/windows).
Automatización y reutilización de componentes para desarrollo y despliegue en los diferentes ambientes,
Realizar cambios en proyectos existentes y nuevos a medida que el negocio lo requiera
Brinde documentación y capacitación sobre proyectos al departamento de control de calidad según lo requiera la empresa
Brinde información y presentación de propuestas de solución arquitectónicas de software
Diseño y desarrollo de soluciones backend de acuerdo con los estándares BimboNet
Participación en todo el ciclo de desarrollo para llevar exitosamente despliegues productivos
Elaboración de la documentación requerida y necesaria alrededor de los desarrollos elaborados
Innovación tecnológica

DISPONIBILIDAD PARA VIAJAR: NO
ZONA DE TRABAJO / HORARIO: CDMX (esquema híbrido) 9:00hrs a 18:00hrs L-V
TIPO DE CONTRATACIÓN: Indefinida

Gracias al talento de cada uno de sus colaboradores, Grupo Bimbo es una empresa sólida, socialmente responsable, altamente productiva y plenamente humana que busca siempre la mejora continua de sus marcas, el aseguramiento de la calidad y variedad de sus productos que satisfagan las necesidades y expectativas de todos.

Ten en cuenta que Grupo Bimbo no realiza ningún cobro por el proceso de selección.

En Grupo Bimbo no se discrimina por motivo de origen étnico o nacional, género, edad, discapacidad, condición social, condiciones de salud, religión, condición migratoria, opiniones, preferencias sexuales, estado civil o cualquier otra dimensión."
Application developer,https://www.occ.com.mx/empleos/de-app-developer/en-Mexico/?page=1&jobid=18200585,"Descripción
SWBC is seeking a talented individual to develop and maintain our customer interfacing applications and core internal integrations. This role works within self-organized teams to ensure software is built to customer expectations.

Why you'll love this role:
As an application developer for SWBC, you have the ability to work in a remote, supportive environment that maintains and supports a diverse product portfolio for SWBC partners and employees. The wide range of options available when it comes to products, teams, and technologies provides excellent opportunities for growth and advancement in your career.

Essential duties include the following:
Maintains existing systems and fix defects, as necessary.
Automates processes to improve efficiency.
Builds tools to eliminate repetitive tasks.
Participates in self-organizing teams working toward a common goal.
Responds to issues as they arise and partner with Systems Assurance Group to improve monitoring.
Performs all other duties as assigned.

Serious candidates will possess the minimum qualifications:
Bachelor's Degree from an accredited college or four-year university or equivalent experience required.
Minimum of one (1) year of experience required with working knowledge of basic web development practices, i.e. HTML, CSS, JavaScript, JQuery, etc., as well as working knowledge of object oriented languages and concepts. 
Experience querying databases for data creation and retrieval.
Proficient Microsoft Office skills, including Outlook, Word, and Excel.
Excellent verbal and written communication skills.
Exposure to external data storage systems, such as files shares, databases, flat files, etc.
Familiar with basic web development practices, i.e. HTML, CSS, JavaScript, JQuery, AngularJS, model-view-controller (MVC), etc.
Familiar with team development tools and source control, i.e. Visual Studio, TFS, CVS, JIRA, GIT, etc.
Familiar with and working toward improving working knowledge of OOP, SOLID, and design patterns.
Familiar with the principles of SDLC and separation of duties.
Able to effectively write code and develop solutions in several different programming languages, including Java, ASP .NET, JavaScript/JQuery, AngularJS, model-view-controller (MVC),VB/C#, TSQL, HTML/CSS, etc.
Able to participate in operational support and on-call rotation.
able to write and assess performance of basic SQL queries.
Able to keep up-to-date on the latest testing methods and technologies to producing high-quality software."
