Job_Title,Job_Description,Job_Url
Business intelligence /Cientifico de Datos Jr,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18400568,"Descripción
Importante empresa del giro de Telecomunicaciones, líder en su ramo por expansión te invita a ser parte de su equipo de trabajo! ¡Actualmente nos encontramos en búsqueda de un Científico de Datos Jr / BI!



Requisitos:

• Licenciatura o Ingeniería en Sistemas, Ingeniería de Software o carrera afín

- Analista de desarrollo con 3 años de experiencia reciente y comprobable en análisis y desarrollo de requerimientos de Inteligencia de Negocio.
- Conocimientos de nivel intermedio en: o Bussiness Intelligence (Tableau, Microsoft Power BI,Elastic Search), creación de ETL's, diseño y creación de Tableros de Negocio.
-Base de Datos relacionales (Mysql, MariaDB, PosgreSQL, SQLServer)
-Consumo de información e Integración de aplicaciones mediante API's y Web services.
- Metodologías de trabajo ágiles como SCRUM o Ciclo de Desarrollo de Software (SDLC) o Mejores prácticas a nivel industria para codificación de manera segura, documentación, liberación, control de versiones y respaldo de código.
-Manejo de herramientas para gestión de proyectos ágiles: Jira, Trello o Manejo de Suite MS Office (Word, Excel, Powerpoint, Outlook)

Actividades:

• Obtener, reunir, organizar, procesar y modelar los datos
• Analizar grandes volúmenes de datos estructurados o no estructurados
• Preparar y presentar datos en las formas más adecuadas para la toma de decisiones y la solución de problemas
 • Compartir resultados mediante aplicaciones y dashboards de autoservicio
 • Trabajar directamente con los programas utilizados para analizar, procesar y visualizar los datos
• Crear programas o algoritmos destinados a analizar los datos
 • Recopilar y preparar los datos mediante API
• Realizar análisis de datos exploratorios e identificar relaciones y patrones importantes
• Capacitar e implementar modelos para el uso de soluciones de inteligencia artificial productivas
• Explicar modelos y predicciones de un modo útil para el negocio
• Atender reuniones con stakeholders, para toma y entendimiento de requerimientos.
• Análisis y desarrollo de requerimientos con base en la práctica de Scrum.
 • Analizar y normalizar las fuentes de información a utilizar en los tableros de negocio.
 • Análisis, diseño y generación de ETL's y de los tableros de Negocio requeridos.
• Creación y edición de documentos tales como manuales de usuario y manuales operativos.
• Llevar a cabo capacitación y/o transferencia de conocimientos.
 • Diseño y ejecución de pruebas funcionales en los diferentes ambientes.
 • Estar disponible fuera del horario de oficina para atención de incidentes, cambios urgentes, como liberaciones de funcionalidades.




Ofrecemos:

·Salario: $40,000- $45,000 brutos
·Prestaciones superiores
·Salario reportado en IMSS AL 100%
·Seguro de Vida
·Seguro de Gastos Médicos Mayores
·Zona de trabajo: CDMX, MONTERREY




Sí cumples con los requisitos solicitados no dudes en aplicar para la vacante, nos contactaremos a la brevedad.
“Esta empresa cuenta con un proceso de reclutamiento y selección, inclusivo y libre de discriminación. Otorga las mismas oportunidades de empleo a las personas candidatas, sin importar raza, color, religión, género, orientación sexual, estado civil o conyugal, nacionalidad, discapacidad, o cualquier otra situación protegida por las leyes federales, estatales y locales”"
Líder Técnico IA,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18386882,"Descripción
Un lugar para ti… Trae tu talento a una compañía global de consultoría y tecnología, con presencia en los 5 continentes y más de 43 mil profesionales. Trabajarás en un entorno de soluciones y servicios innovadores para nuestros clientes en los principales sectores de actividad, aportándoles valor añadido. Participarás de la transformación de los negocios trabajando con profesionales de referencia.

Estamos en busca de Líder Técnico IA con el siguiente perfil:


• Actuaría, Física, sistemas o afín

Experiencia minima 4 años en:


Fundamentos de Ciencia de Datos y Machine Learning: Estadísticas, análisis de datos y machine learning.
Implementación de modelos de aprendizaje automático y deep learning.
Percepción Cognitiva y AI: IA relacionada con la percepción cognitiva: NLP, visión por computadora, reconocimiento de patrones.
Redes neuronales aplicadas a la percepción cognitiva.
Herramientas y Lenguajes de Programación: Python. TensorFlow, PyTorch, Scikit-learn, Pandas, etc. Azure
Servicios Relacionados: Azure Machine Learning, Azure Cognitive Services, Azure Databricks. Gestión de infraestructuras en la nube, especialmente en Azure. Azure Synapse Analytics, Azure Data Lake, etc. Desarrollo de Software: Prácticas de DevOps, CI/CD, control de versiones (Git).

Conocimientos Funcionales:

Gestión de Proyectos: Metodologías ágiles como Scrum o Kanban.
Planificación y ejecución de proyectos de ciencia de datos.
Comunicación y Liderazgo: Comunicación efectiva con equipos multidisciplinarios.
Liderazgo de equipos técnicos, mentoría de científicos de datos y desarrolladores.
Conocimiento del Dominio y Ética en AI: Entendimiento del área de aplicación específica.
Consideraciones éticas y de privacidad en proyectos de AI. Actualización Continua:
Mantenerse al día con las tendencias y avances en IA, percepción cognitiva y tecnologías de Azure.


Zona de trabajo Polanco, esquema hibrido

Beneficios:
100% nómina
Beneficios superiores a las de Ley (Vales de despensa, Fondo de ahorro, SGMM Familiar, Seguro de Vida, Integra Salud, Udemy, descuentos)
Plan de carrera

Si cumples con el perfil por favor hazme llegar tu CV al correo mencionado o postulate por este medio para ponernos en contacto contigo y platicarte al respecto"
Desarrollador RPA,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18360333,"Descripción
GRUPO SALINAS

Es un conjunto de empresas dinámicas, de rápido crecimiento y a la vanguardia tecnológica, con enfoque en la creación de valor económico, social y ambiental. Al llevar bienestar a todos los niveles de la sociedad, Grupo Salinas fomenta el desarrollo de los países en los que opera.

Intégrate con nosotros como:

Desarrollador RPA

Objetivo
Investigar, analizar y desplegar procesos automatizados para maximizar la eficiencia de auditoría con la ayuda de tecnologías y herramientas de RPA.

Funciones
·Diseñar, desarrollar y probar los flujos de trabajo de automatización
·Desplegar los componentes RPA: bots, robots, herramientas de desarrollo, entre otros
·Apoyar la implementación de soluciones RPA
·Asegurar la calidad de la automatización
·Proporcionar orientación y asesoría referente a RPA
·Apoyar y garantizar la correcta implementación de la estrategia de desarrollo ciudadano

Requisitos
·Ingeniería en sistemas, Actuaría o similar con interés primordial es tecnología
·Experiencia mínima de 1 año (se tomará en cuenta Servicio Social y Prácticas Profesionales)
·Conocimiento específico: Uipath, RPA, inteligencia artificial, sistemas de la información (nivel medio- avanzado, se evaluará)

Ofrecemos:
·Horario de Lunes a Viernes de 9 am a 6 pm (Con disponibilidad)
·Prestaciones de Ley
·Sueldo competitivo
·Descuentos empresariales
·Servicio de comedor
·Transporte (circuito del corporativo)
·Seguro de vida

En Grupo Salinas respetamos la dignidad y diversidad de las personas. Como empresa comprometida con la igualdad y no discriminación, no hace distinción por motivo de raza, sexo, condición social, económica, embarazo, preferencia sexual o cualquier otra. Somos un grupo incluyente y valoramos el talento esté donde esté.

*EN GRUPO SALINAS NO COBRAMOS POR NINGÚN PROCESO DE RECLUTAMIENTO*"
Python Data Scientist,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18287940,"Descripción
About role
We are actively seeking talented Data Scientists & Analysts proficient in Python to join our
ambitious team dedicated to pushing the frontiers of AI technology. This opportunity is tailored
for professionals who thrive on developing innovative solutions and aspire to be at the forefront
of AI advancements.

Job Responsibilities:
·        Write effective Python code to tackle complex issues, but also use your business sense
·        and analytical abilities to glean valuable insights from public databases
·        Communicate clearly with researchers and help the organization in realizing its
·        objectives
·        Clearly express the reasoning and logic when writing code in Jupyter notebooks, or other
·        suitable mediums
·        Fix bugs in the code and create thorough documentation
·        Utilize extensive data analysis skills to develop and respond to important business
·        queries using available datasets (such as those from Kaggle, the UN, the US
·        government, etc.)
·        Effectively communicate with the researchers to comprehend the needs and provide the
·        results

Job Requirements:
·        Bachelor's/Master's degree in Engineering, Computer Science (or equivalent
·        experience)
·        At least 2 years of relevant experience as a data scientist
·        2+ years of data analysis experience and a desire to have a significant impact on the
·        field of artificial intelligence
·        2+ years of experience working with Python programming
·        Strong data analytic abilities and business sense are required to draw the appropriate
·        conclusions from the dataset, respond to those conclusions, and clearly convey the key
·        findings
·        Excellent problem-solving and analytical skills
·        Excellent communication abilities to work with stakeholders and researchers
·        successfully
·        Fluent in conversational and written English communication skills
Ser mexicano o nacionalizado 
Ofrecemo

Sueldo dependiendo de tu experiencia y conocimiento
Vacante 100% nominal
Vacante remota

(el sponsor es solo aplicable al candidato no a la familia)"
"CIENTÍFICO DE DATOS (EXPERTO EN IA, GPT, LLM)",https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18163077,"Descripción
Importante empres de giro Farmacéutico


Requisitos del puesto

Educación mínima requerida: Posgrado en ciencia de datos e inteligencia artificial.
Experiencia comprobable en Inteligencia Artificial, computación, programación, negocios y desarrollo de proyectos de IA, LLM (Large Language Models) y chat GPT.
Conocimientos en IA, chat GPT y LLM.
Inglés experto.


Responsabilidades del puesto

Desarrollar y aplicar modelos de inteligencia artificial para mejorar los procesos y la toma de decisiones.
Colaborar en el diseño, implementación y evaluación de proyectos de IA.
Analizar datos y generar insights para optimizar la operación y el rendimiento de la empresa.


Prestaciones y beneficios adicionales

Oportunidades de crecimiento y desarrollo profesional.
Ambiente de trabajo colaborativo y dinámico.
Modalidad de trabajo híbrido.
Oportunidades de viajar a nivel nacional e internacional.


Si cumples con los requisitos y estás interesado en formar parte de nuestro equipo, ¡postúlate ahora!"
Científico de Datos Senior,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18274795,"Descripción
Acerca de la empresa

Por crecimiento, en Tus Buenas Noticias IAP estamos en búsqueda de un Científico de Datos Senior con el siguiente perfil:

Requisitos del puesto
Licenciatura en Matemáticas y estudios/certificación en Ciencia de Datos o carreras afines.
Experiencia necesaria en:
Analítica de datos preferentemente especializada en medios de comunicación o periodísticos.
Gestión de campañas publicitarias digitales.
Creación y administración de bases de datos.
Segmentación de audiencias.
Uso de herramientas de análisis (Google Analytics, SEMRUSH, COMSCORE).
Colaboración con el área de creación de contenidos para mejoramientos de estrategias digitales.
Colaboración con el área comercial para mejoramiento de ingresos publicitarios.
Experiencia deseable:
Maestría en Ciencia de datos. 
Participación relevante en la implementación de proyectos con ciencia de datos, desarrollo de algoritmos e inteligencia artificial.
Inglés nivel medio.

Objetivo del Puesto: 
Encargado de desarrollar estrategias digitales a partir del análisis de datos (Análitica de sitios web, SEO, Tendencias, Publicidad programática, Optimización de ADs, Redes Sociales).


Responsabilidades del puesto
Recopilar grandes cantidades de datos estructurados y no estructurados, y transformarlos a un formato adecuado para su análisis y procesamiento, para ayudar a una mejor toma de decisiones.
Ayudar a mejorar las estrategias de contenido, campañas y publicidad programática.
Comunicarse y colaborar con las áreas de Estrategia Digital y Ventas/Finanzas.
Apoyar en la elaboración de informes.
Diseño e implementación de pruebas de algoritmos de modelización, clasificación y predicción.
Monitoreo en tiempo real de herramientas de analítica (GA4, Tendencias, Redes Sociales, etc.)
Elaboración y envío diario de reporte con los temas y palabras clave para apoyar la producción diaria de contenidos.
Comunicar constantemente al equipo de Estrategia Digital sobre los temas y palabras clave para apoyar la producción diaria de contenidos.
Elaboración y envío de contenidos con más vistas del día.
Apoyar la optimización de campañas en redes sociales enfocadas en incrementar la audiencia de los Estados Unidos.


Prestaciones y beneficios adicionales

Oportunidades de crecimiento y desarrollo profesional.
Modalidad de trabajo remoto.
Ambiente de trabajo flexible y colaborativo.
Registro en el Seguro Social con el 100% del sueldo desde el primer día. 
Registro en INFONAVIT desde el primer día de trabajo.
Aguinaldo de 30 días,  dependiendo su antigüedad laboral.
Vacaciones conforme a la nueva reforma.
Prima vacacional del 100%,  dependiendo su antigüedad laboral.
SGMM.
Seguro de vida.
Caja de ahorro.
Fondo de ahorro para el retiro.
Descuentos empresariales.
Vale de despensa.
50% de apoyo en estudios del colaborador y familiares directos.
Jornada laboral de lunes a viernes. "
Científico de datos,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18213534,"Descripción
Nos encontramos en búsqueda de un perfil con experiencia como Científico de Datos:

Principales responsabilidades:

1. Desarrollar modelos de inteligencia artificial y machine learning para mejorar la funcionalidad y la eficiencia de la plataforma.
2. Analizar grandes volúmenes de datos para identificar patrones, tendencias y oportunidades de mejora.
3. Trabajar en estrecha colaboración con otros equipos, como ingenieros de software, diseñadores y expertos en dominios específicos, para integrar soluciones de inteligencia artificial de manera efectiva en la plataforma.
4. Evaluar y seleccionar las técnicas de modelado más apropiadas y las herramientas de aprendizaje automático para abordar los desafíos específicos del proyecto.
5. Desarrollar y mantener pipelines de datos robustos y eficientes para la recopilación, limpieza, preparación y transformación de datos para su uso en modelos de machine learning.
6. Evaluar el rendimiento de los modelos de machine learning, realizar ajustes y optimizaciones según sea necesario, y colaborar en la implementación de soluciones escalables y de alto rendimiento.

¿Qué necesitas?

1. Experiencia previa en análisis de datos y desarrollo de modelos de machine learning.
2. Conocimientos sólidos en estadística, matemáticas y algoritmos de machine learning, con experiencia en la aplicación de técnicas como regresión, clasificación, clustering, procesamiento de lenguaje natural, entre otras.
3. Dominio de lenguajes de programación como Python o R, así como de bibliotecas y frameworks de machine learning como TensorFlow, scikit-learn, PyTorch, etc.
4. Experiencia en el manejo y análisis de grandes conjuntos de datos utilizando herramientas como pandas, NumPy, etc.
5. Familiaridad con técnicas de procesamiento de lenguaje natural (NLP) y procesamiento de imágenes.
6. Habilidades analíticas sólidas y capacidad para comunicar resultados de manera clara y concisa.
7. Capacidad para comunicar de manera efectiva resultados técnicos y hallazgos complejos a audiencias no técnicas, así como trabajar en equipo y colaborar con diversos stakeholders en la organización.
8. Conocimientos básicos de ingeniería de software y experiencia en el desarrollo de software en entornos colaborativos utilizando herramientas de control de versiones y metodologías ágiles.

Herramientas Python
1. NumPy: Esencial para computación numérica en Python, proporciona soporte para arreglos y matrices multidimensionales, así como funciones matemáticas para operaciones eficientes en estos arreglos.
2. pandas: Excelente para la manipulación y análisis de datos estructurados, proporcionando estructuras de datos como DataFrames que permiten realizar operaciones de forma sencilla y eficiente.
3. scikit-learn: Biblioteca de machine learning de uso general que ofrece una amplia gama de algoritmos de clasificación, regresión, clustering, etc. También incluye herramientas para preprocesamiento de datos, validación de modelos y selección de características.
4. TensorFlow / PyTorch: Frameworks de aprendizaje automático de código abierto que permiten la creación y entrenamiento de modelos de machine learning, especialmente en el caso de redes neuronales. TensorFlow es ampliamente utilizado en la producción, mientras que PyTorch es conocido por su flexibilidad y facilidad de uso en la investigación.
5. Matplotlib / Seaborn: Librerías para la visualización de datos en Python. Matplotlib es una librería ampliamente utilizada para crear gráficos estáticos, mientras que Seaborn proporciona una interfaz de alto nivel para crear gráficos estadísticos atractivos y informativos.
6. Jupyter Notebook / JupyterLab: Entornos interactivos de código abierto que permiten crear y compartir documentos que contienen código en vivo, visualizaciones y texto explicativo. Son ideales para prototipado rápido, análisis exploratorio de datos y presentación de resultados.
7. SciPy: Colección de algoritmos y funciones matemáticas de alto nivel para resolver problemas científicos y de ingeniería. Complementa a NumPy y proporciona herramientas adicionales para la optimización, integración numérica, interpolación, etc.
8. NLTK (Natural Language Toolkit): Librería para el procesamiento de lenguaje natural en Python, que proporciona herramientas para tokenización, etiquetado POS, análisis de sentimientos, entre otros.

Ofrecemos:
Sueldo competitivo
Esquema remoto
Gran oportunidad de crecimiento profesional en equipo dinámico y colaborativo.

Comparte tu perfil :)"
Data Scientist Senior,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18225768,"Descripción


Especialista Sr. de Innovación y Transformación
(Santa Fe)
 
En Banorte buscamos talento único, fuerte y extraordinario, que impulse la transformación e innovación del país, convirtiéndonos en un gran aliado para crecer fuerte con México.

Estamos convencidos que la combinación de solidaridad, innovación, respeto, lealtad y responsabilidad es la fórmula perfecta para ser el mejor equipo del sector financiero.


Objetivo del puesto: Desarrollar modelos de Inteligencia Artificial y de Machine Learning, Diseñar, entrenar y evaluar modelos de Machine Learning capaces de adaptarse a entornos productivos complejos y establecer las mejores prácticas de desarrollo de software, a fin de asegurar procesos eficientes y automatizados.

Cada día te encontrarás ante nuevos e interesantes retos dentro de tu puesto, en los cuales serás responsable de:
·        Diseñar, desarrollar e implementar soluciones nuevas y escalables para problemáticas transversales a la organización, con base en técnicas de estadística, Data Science y Machine Learning.
·        Conceptualización de las soluciones analíticas y puesta en producción de las mismas de inicio a fin.
·        Proporcionar informes detallados, teniendo como premisa explicar lo complejo de manera fácil.
·        Participar en reuniones con diferentes stakeholders, interpretar los requerimientos y realizar reportes con herramientas de visualización que simplifiquen la comunicación tanto con equipos técnicos como de negocio.
·        Explotación de datos en formatos texto a través del uso de procesamiento de lenguaje natural (NLP) Analizar fuentes textuales con el fin de identificar conceptos y temas clave que identifiquen las relaciones y tendencias del texto (Aplicación de algoritmos de procesamiento de lenguaje natural)
·        Desarrollo de modelos utilizando Gradient boosting, k-medias, redes neuronales, árboles de decisión, regresión lineal, etc., a través del uso de herramientas tecnológicas como Python.


Requisitos:
·        Formación profesional: Actuaría, Matemáticas, Matemáticas Aplicadas, Ciencias de la Computación, Informática, Ingenieria en Sistemas. Egresado de maestría de preferencia (no indispensable).
·        Años de experiencia: Mínimo 5 años
·        Áreas de experiencia: Analítica, Inteligencia Artificial, Modelaje, Data Science, Banca
·        Conocimientos requeridos: Nivel avanzado R y/o Python,SQL, TensorFlow, PyTorch, Manejo de nubes como Azure y GCP, Plataformas de ML como Databricks, NLP (Procesamiento de Lenguaje Natural), Transformadores
Deseable: Conocimiento de Inteligencia Artificial Generativa (LLM's)
·        Idiomas: Inglés Avanzado Conversacional (Indispensable)
·        Disponibilidad para viajar: No
·        Disponibilidad para cambio de residencia: No

Haz clic en el botón aplicar y no pierdas la oportunidad de desarrollar todo tu potencial.

En Banorte actuamos bajo un principio de igualdad de oportunidades. Por ello no discriminamos por edad, origen étnico, nacionalidad, género, orientación sexual, estado civil, condición social, estado de salud, creencias religiosas, doctrina política o discapacidad."
Ingeniero de datos / Científico de datos,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18353349,"Descripción

INGENIERO DE DATOS / CIENTIFICO DE DATOS
   Educación: licenciatura o mayor -Carreras a fines (Científico de Datos / Big Data / Actuaria / Ciencia de Datos / Arquitecto de Datos / Ingeniero de Datos / Analista de Datos).

Experiencia: de 3 a 5 años, reciente y continua.
 Conocimientos indispensables:

Analizando datos

Definiendo estrategia de Modelado de información, uso de herramientas.
Definición de criterios clave de evaluación y calidad de la información.
 -Gestión de información, análisis e interpretación con aplicabilidad al negocio

-Uso y aplicación de los modelos matemáticos principalmente para Predictiva

-En proyectos de inicio a fin, en el uso de herramientas y determinación de eventos / actividades predictivas

-Inteligencia Artificial

-Programación y Algoritmos de Bases de Datos y estadística (SQL y Python)
  Funciones generales:
 Se encargará de diseñar algoritmos de aprendizaje automático específicos que aumenten la automatización del mantenimiento y minimicen la intervención humana para optimizar la contención de costos y la experiencia del cliente a largo plazo."
Ingeniero de Sistemas de Visión e IA,https://www.occ.com.mx/empleos/de-artificial-intelligence-scientist/en-Mexico/?page=1&jobid=18148031,"Descripción
Responsabilidades Principales:

Gestionar los nuevos proyectos estratégicos de despliegue de los sistemas de visión artificial para el control de calidad y realizar todos los Hitos inducidos del proyecto: Estudio, desarrollo e integración, con el objetivo de aumentar la fiabilidad de la detección y eliminar las paredes cualidades visuales
Desarrollar soluciones de software y hardware, para la optimización y/o desarrollo de prototipos innovadores de visión artificial.
Garantizar la estandarización de las soluciones de control por visión/programación en todos los procesos de producción dentro de la planta.

Requisitos:

Ingeniería en programación, sistemas, electromecánica, mecatrónica. y/o Posgrado afín.
Tener una primera experiencia de al menos 2 años en un entorno similar.
Tener experiencia y capacidad para analizar problemas técnicos y organizativos.
Programación en Python.
Data Scientist
Análisis y Síntesis
Conocimiento en Inteligencia Artificial."
