Job_Title,Job_Description,Job_Url
SR. Business intelligence,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18394028,"Descripción
Sr. Business Intelligence Analyst

Empresa: DIRI Telecomunicaciones 
Ubicación: México, CDMX, Santa Fe
Tipo de Contrato: Tiempo Completo

Sobre nosotros 
¿Listo para la nueva era de las comunicaciones móviles? Somos Diri el operador móvil virtual más disruptivo y vanguardista de la Ciudad de México. Conectamos a una generación joven y tecnológica con una telefonía de calidad, tarifas accesibles y un servicio excepcional. Pero eso no es todo, también estamos comprometidos con el impacto social y creamos estrategias para ayudar a quienes más lo necesitan. Si eres una persona dinámica, creativa y quieres formar parte de una gran empresa, ¡únete a nuestro equipo! Juntos, podemos romper barreras y marcar la diferencia

Responsabilidades:
Como Analista Senior de Business Intelligence especializado en telecomunicaciones, serás responsable de proporcionar informes y análisis clave a todas las áreas internas de la empresa, incluyendo Ventas, Finanzas, Marketing, Operaciones y Tecnología de la Información. Tus responsabilidades específicas incluirán:

Creación de Dashboards ejecutivos utilizando visualizadores como Tableau o Power BI para el equipo ejecutivo.
Análisis de fraude en clientes utilizando datos y métricas relevantes en el sector de telecomunicaciones.
Auditoría de toda la información en las bases de datos para garantizar la precisión y la integridad de los datos, con enfoque en datos de operadores móviles virtuales (OMV).
Experiencia en telecom.
Generación de reportes automáticos para facilitar la toma de decisiones basada en datos en el contexto de las telecomunicaciones.

Reporte directo:
Gerente de Business Intelligence.

Requisitos:
Experiencia mínima de 5 años en roles de Business Intelligence o análisis de datos en el sector de las telecomunicaciones.
Conocimiento y comprensión profunda del funcionamiento de operadores móviles virtuales (OMV).
Fuertes habilidades en Python y R para análisis de datos y creación de scripts.
Experiencia en el uso de herramientas de visualización de datos como Tableau y Power BI.
Capacidad para comunicar de manera efectiva insights y recomendaciones basadas en datos a diferentes partes interesadas.
Excelentes habilidades analíticas y atención al detalle.


Estudios: Licenciatura o Ingeniería en Sistemas Computacionales, Informática, Ciencia de
Datos, Actuaría, Matemática Aplicadas o afín.

Experiencia: 5 años de experiencia en adelante en modelado y análisis de datos

Conocimientos Técnicos: MySQL, Python, Tableau, Power BI, Excel, Linux


Beneficios:
2 días de HO
3 días presencial.
5 días de vacaciones antes de tu primer año.
Servicio nutricional
Descuentos en laboratorios de salud.
Totalpass
Día de cumpleaños libre.
Dias de trabajo de lunes a viernes.
Descuento en comedor


Compromiso con la Privacidad de Datos:
En nuestra empresa, la protección de tus datos personales es una prioridad. Cumplimos con todas las leyes y regulaciones aplicables para garantizar la confidencialidad y seguridad de tu información. Utilizamos medidas técnicas y organizativas para prevenir el acceso no autorizado, el uso indebido, la pérdida o la divulgación de tus datos. Solo recopilamos la información necesaria y la tratamos de forma responsable y transparente. No compartimos tus datos con terceros sin tu consentimiento expreso, a menos que sea requerido por ley. Puedes confiar en que tus datos están en buenas manos y que los protegemos con rigurosidad.

Inclusión y Diversidad:
En Diri, nos comprometemos firmemente a promover y respetar la diversidad en todas sus formas. Valoramos y celebramos las diferencias individuales, incluyendo, pero no limitado a, la raza, el origen étnico, la religión, el género, la orientación sexual y la discapacidad. Creemos que, al fomentar un entorno inclusivo y acogedor, impulsamos la creatividad, la innovación y el crecimiento tanto personal como profesional de nuestros colaboradores. Estamos comprometidos en construir una cultura empresarial que refleje la diversidad del mundo en el que vivimos y en la que todos los empleados se sientan valorados y respetados.

Cómo Aplicar:
Envíanos tu CV aplicando en esta vacante 

Fecha de Cierre: 60 días posterior a la publicación"
Business Intelligence Analyts,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18400263,"Descripción
Grupo de empresas 100% mexicana fundada en 1990 principalmente enfocadas a la logística de transporte de carga “Punto a Punto”. Nuestra presencia de marca en México y el mundo nos permite atender a casi 2,700 clientes por año.

En Grupo Logístico, fomentamos la integración y nos comprometemos con la diversidad en el lugar de trabajo. Por eso nuestro objetivo siempre ha sido atraer y retener a los mejores talentos de México. Ofrecemos retos y oportunidades para el desarrollo personal y profesional.

Business Intelligence Analyst

Nuestro objetivo es convertir datos en información significativa que respalde la toma de decisiones estratégicas en la organización.

¿Cuáles serían tus responsabilidades?

Interpretar los resultados del análisis de datos y presentar hallazgos de manera clara y comprensible a partes interesadas internas y externas.
Desarrollar e implementar herramientas de visualización de datos (dashboard, presentaciones) para la toma de decisiones.
Proponer mejores prácticas para el análisis y gestión de datos.
Desarrollar y mantener paneles de control, informes y modelos predictivos para monitorear el rendimiento empresarial y identificar tendencias clave.
Colaborar con equipos de diferentes departamentos para comprender las necesidades analíticas y desarrollar soluciones que aborden los desafíos comerciales específicos.
Recopilar, limpiar y analizar datos de diversas fuentes, incluidas bases de datos, archivos, sistemas de gestión empresarial y fuentes externas.
Participar en el análisis para entender los requerimientos de los clientes internos y externos.
Proporcionar soporte y capacitación a los usuarios finales en el uso de herramientas de inteligencia empresarial y técnicas de análisis de datos.
Identificar oportunidades para mejorar la eficiencia operativa y la rentabilidad mediante el análisis de datos y el modelado de escenarios.
Mantenerse actualizado sobre las tendencias y avances en tecnología de inteligencia empresarial y aplicar mejores prácticas en el análisis de datos.

Formación / Cualificaciones / Certificados / Requisitos

Licenciatura Terminada en informática o afín.
Experiencia demostrable de al menos 1 a 2 años en área de inteligencia de negocios, haber participado en proyectos de creación, análisis, seguimiento de indicadores, extracción y análisis de datos, así como desarrollando dashboards en Power BI u otro.
Excel intermedio - avanzado; Manejo de bases de datos (SQL (deseable), MySQL o cualquier otro); Power Query; Power Pivot; Python; Manejo de sistemas de inteligencia de negocios (Power BI (deseable), Qlik, Tableau, MicroStrategy, Google Data Studio u otro)."
Business intelligence analyst,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18397833,"Descripción
Acerca de la empresa

Empresa importadora 30 años de experiencia en el mercado. Nos especializamos en la distribución de productos de alta calidad para la salud y el bienestar. Nuestra misión es mejorar la calidad de vida de las personas a través de nuestros productos naturales y promover un estilo de vida saludable. Valoramos el compromiso, la integridad y la pasión por el trabajo bien hecho.

Requisitos del puesto

Educación: Mínimo estudios universitarios.
Habilidades: Dominio experto de Excel.
Análisis de datos nivel experto
Experiencia: Experiencia previa en análisis de datos de ventas.
Deseable conocimiento de Multinivel y/o venta directa

Responsabilidades del puesto

•     Apoyo en la realización de forecast para promociones, inventarios y presupuestos
•     Análisis de reportes de organizaciones de socios comerciales
•     Apoyo en la creación de bases para concursos y/o promociones
•     Reportes que incentiven la recompra, compra, recuperaciones de rango y avances de rango, para los agentes de liderazgo, call center y los centros de experiencia
•     Capacitación a socios y nuevos ingresos sobre el plan de compensación.
•     Asesoramiento de promociones y estrategias de la compañía.
•     Publicación de resultados de concursos, y análisis de cada participante.
•     Auditorias a ordenes de venta
•     Contenido para presentaciones corporativas
•     Realización de Q&A para concursos, promociones e incentivos
•     Seguimiento a pago de bonos
•     Creación de nuevos reportes

Se realizarán exámenes de conocimientos y habilidades técnicas.

Prestaciones y beneficios adicionales

Salario mensual de 17,000 a 20,000 MXN dependiendo de experiencia
Periodos catorcenales de pago
Contratación permanente a tiempo completo.
Modalidad de trabajo híbrido, combinando trabajo presencial y remoto.
Oportunidades de crecimiento y desarrollo profesional.
Ambiente de trabajo dinámico y colaborativo.
Beneficios adicionales como seguro de vida, seguro médico y programa de bienestar para empleados.

Ubicación
La vacante se encuentra en Cuauhtémoc, Ciudad de México"
Analista business intelligence,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18399964,"Descripción
Buscamos consultores dinámicos para hacer crecer nuestro equipo de Sistemas de Información y Digital en Ciudad de México. Tu experiencia, conocimiento y compromiso nos ayudarán a enfrentar los retos de nuestros clientes.
Estarás apoyando diferentes proyectos a través de tu experiencia como consultor Business Intelligence.


Como parte de nuestro equipo, estarás involucrado en todo el ciclo de vida del proyecto, desde las fases iniciales de consultoría/diseño hasta la implementación de soluciones.

Tus principales misiones:
Definir e implementar el Data Warehouse del Grupo
Redactar especificaciones funcionales y técnicas
Desarrollar interfaces desde datos sin procesar hasta herramientas de informes
Realizar pruebas antes de la entrega a los diferentes clientes y supervisar la calidad en producción
Definir e implementar sistemas de control/reconciliación en todo el proceso
Gestionar solicitudes de informes internos y externos
Garantizar la seguridad de la información dentro del Data Warehouse
Asegurar una evolución acorde con los sistemas operativos

Tu perfil:
Posees un título de maestría en informática o un campo relevante.
Demuestras buenas habilidades con el uso de PowerBI
Eres flexible, versátil y disponible profesionalmente
Eres riguroso, metódico y tienes un buen sentido de la organización"
Business intelligence becario,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18404123,"Descripción

Acerca de la empresa

Total System Services de México es una empresa líder en el sector de servicios, con 29 años de experiencia en soluciones tecnológicas y personalización masiva e impresión de datos variables en alto volumen para diversos sectores como retail, medios de pago, gobierno, financiero y telecomunicaciones.

Trabajar con nosotros significa formar parte de una compañía con una sólida trayectoria y un ambiente de trabajo dinámico y colaborativo.

Ubicación:
Parque Industrial Toluca 2000, Toluca, Estado de México.


Requisitos del puesto

Requisitos del puesto: Estudiante de los últimos semestres o cuatrimestres.
Seguro facultativo vigente.
Disponibilidad para trabajar un mínimo de 4 horas diarias de lunes a viernes.
Formación académica en sistemas computacionales, TICS, informática, mercadotecnia o afín.
Conocimientos avanzados en Excel.

Responsabilidades del puesto

Normalización de datos.
Manejo de base de datos.
Elaboración de presentaciones y reportes.

Prestaciones y beneficios adicionales
- Apoyo económico. - Liberación de prácticas y/o servicio social. - Modalidad de trabajo híbrido. - Comedor en las instalaciones."
Becario Business Intelligence,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18396697,"Descripción
Empresa mexicana de alimentos y bebidas reconocida por su crecimiento sostenido con un amplio portafolio de productos de la más alta calidad, innovadores y saludables dentro de su entorno sustentable, solicita Becario Business Intelligence con el siguiente perfil:

Requisitos:
Escolaridad. Licenciatura concluida o cursando el último semestre de Ingeniería Industrial y de Sistemas o Licenciatura en Inteligencia de Negocios.
Idioma inglés a nivel intermedio

Habilidades:
Orientado a resultados
Ética y Confiabilidad
Capacidad Analítica

Experiencia:
No necesaria

Actividades / Funciones:
·        Crear e implementar herramientas que permitan convertir los datos en información relevante para la toma de decisiones.
·        Diseñar gráficos digitales efectivos para mejorar la comunicación visual.
·        Trabajar con herramientas como SQL, Power BI y Office 365 para analizar y visualizar datos.

Ofrecemos:
Sueldo Mensual: $8,000
Media Jornada: Lunes a Viernes de 09:00 a 14:00 hrs.
Zona de trabajo: Santa Fe (CDMX)"
Business Intelligence Specialist Retail,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18396719,"Descripción
Empresa líder en estudios de mercado por crecimiento está en búsqueda de tu talento como

Ejecutivo comercial senior

Responsabilidades

· Experto en solución Madrid 2.0

· Soporte Front End al equipo de Sam's Club México

· Asociación proactiva con los usuarios para consultar y ayudar a identificar y desarrollar casos de negocio mientras se transforman los datos en información valiosa

· Responsable de soportar la transición del programa y la incorporación de nuevos usuarios a la solución Madrid 2.0

· Mayor conocimiento de los clientes, maneja un espectro de cartera más amplio.

· Apoyo en la preparación de propuestas para clientes.

· Presentación y know-how de la solución.

· Responder a las solicitudes de los clientes.

· Identificar y lograr prospectos adicionales a las cuentas y/o clientes habituales.

· Contribuir al objetivo de ventas anual del equipo.

Calificaciones

· Análisis numérico: Capacidad para interpretar datos numéricos, convirtiéndolos en ideas claras y correctas de acuerdo con la realidad en el contexto del marketing.

· Excelentes habilidades analíticas y de comunicación.

· Trabajo en equipo: Capacidad para trabajar con otros en tareas y actividades sin ser necesariamente el líder, incluso cuando éstas no estén directamente relacionadas con sus intereses u objetivos.

· Emprendedor/motivador: capacidad de trabajar para lograr un objetivo sin depender del reconocimiento constante de su superior inmediato.

· Sólidas habilidades de organización y planificación.

· Nivel de inglés: avanzado oral y escrito

Ofrecemos:
$62,000.00 + prestaciones de ley
Prestaciones superiores
Vales de despensa
Fondo de ahorro
Seguro de vida
Seguro de gastos médicos mayores"
Analista business intelligence JR,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18405607,"Descripción
Telasist se encuentra en búsqueda de:

Analista Business Intelligence JR

OFRECEMOS:
Sueldo base negociable de $18,000 a $20,000 mensuales
Prestaciones de ley desde el 1er día.
Zona y horario: Lunes a Viernes de 9:00am a 6:30pm/SANTA FE (Tomar en cuenta la distancia, es 100% presencial).

Actividades:
Análisis de requerimientos.
Desarrollador de MS Power Apps y MS Power BI.
Diseño de modelos de BD normalizadas ER.
Generación de Procesos ETL.
Automatización de Procesos.
Análisis de Tendencias

Requisitos:
Ingeniería en Sistemas, Actuaría, Ciencia de datos o afín.
Experiencia mínima de 1 año.
Experiencia con Power BI, Easymorph, SQL Server."
Business intelligence /Cientifico de Datos Jr,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18400568,"Descripción
Importante empresa del giro de Telecomunicaciones, líder en su ramo por expansión te invita a ser parte de su equipo de trabajo! ¡Actualmente nos encontramos en búsqueda de un Científico de Datos Jr / BI!



Requisitos:

• Licenciatura o Ingeniería en Sistemas, Ingeniería de Software o carrera afín

- Analista de desarrollo con 3 años de experiencia reciente y comprobable en análisis y desarrollo de requerimientos de Inteligencia de Negocio.
- Conocimientos de nivel intermedio en: o Bussiness Intelligence (Tableau, Microsoft Power BI,Elastic Search), creación de ETL's, diseño y creación de Tableros de Negocio.
-Base de Datos relacionales (Mysql, MariaDB, PosgreSQL, SQLServer)
-Consumo de información e Integración de aplicaciones mediante API's y Web services.
- Metodologías de trabajo ágiles como SCRUM o Ciclo de Desarrollo de Software (SDLC) o Mejores prácticas a nivel industria para codificación de manera segura, documentación, liberación, control de versiones y respaldo de código.
-Manejo de herramientas para gestión de proyectos ágiles: Jira, Trello o Manejo de Suite MS Office (Word, Excel, Powerpoint, Outlook)

Actividades:

• Obtener, reunir, organizar, procesar y modelar los datos
• Analizar grandes volúmenes de datos estructurados o no estructurados
• Preparar y presentar datos en las formas más adecuadas para la toma de decisiones y la solución de problemas
 • Compartir resultados mediante aplicaciones y dashboards de autoservicio
 • Trabajar directamente con los programas utilizados para analizar, procesar y visualizar los datos
• Crear programas o algoritmos destinados a analizar los datos
 • Recopilar y preparar los datos mediante API
• Realizar análisis de datos exploratorios e identificar relaciones y patrones importantes
• Capacitar e implementar modelos para el uso de soluciones de inteligencia artificial productivas
• Explicar modelos y predicciones de un modo útil para el negocio
• Atender reuniones con stakeholders, para toma y entendimiento de requerimientos.
• Análisis y desarrollo de requerimientos con base en la práctica de Scrum.
 • Analizar y normalizar las fuentes de información a utilizar en los tableros de negocio.
 • Análisis, diseño y generación de ETL's y de los tableros de Negocio requeridos.
• Creación y edición de documentos tales como manuales de usuario y manuales operativos.
• Llevar a cabo capacitación y/o transferencia de conocimientos.
 • Diseño y ejecución de pruebas funcionales en los diferentes ambientes.
 • Estar disponible fuera del horario de oficina para atención de incidentes, cambios urgentes, como liberaciones de funcionalidades.




Ofrecemos:

·Salario: $40,000- $45,000 brutos
·Prestaciones superiores
·Salario reportado en IMSS AL 100%
·Seguro de Vida
·Seguro de Gastos Médicos Mayores
·Zona de trabajo: CDMX, MONTERREY




Sí cumples con los requisitos solicitados no dudes en aplicar para la vacante, nos contactaremos a la brevedad.
“Esta empresa cuenta con un proceso de reclutamiento y selección, inclusivo y libre de discriminación. Otorga las mismas oportunidades de empleo a las personas candidatas, sin importar raza, color, religión, género, orientación sexual, estado civil o conyugal, nacionalidad, discapacidad, o cualquier otra situación protegida por las leyes federales, estatales y locales”"
Director de marketing y ventas,https://www.occ.com.mx/empleos/de-business-intelligence-professional/en-Mexico/?page=1&jobid=18409394,"Descripción
Acerca de la empresa

'SIO servicios integrales ópticos' es una empresa líder en el sector óptico, con más de 10 años de experiencia en el mercado. Valoramos la innovación, la excelencia y el compromiso con nuestros clientes. Ofrecemos un ambiente de trabajo dinámico y colaborativo, oportunidades de crecimiento profesional y un excelente ambiente laboral. Ubicación: Monterrey, Nuevo León.

Requisitos del puesto

Estudios mínimos de Universitario con título en Mercadotecnia, Administración o carreras afines.
Experiencia previa en el área de Mercadotecnia, con al menos 5 años de experiencia en puestos similares.
Conocimientos avanzados en estrategias de marketing y ventas.
Inglés intermedio.


Responsabilidades del puesto

Desarrollar e implementar estrategias de marketing y ventas para alcanzar los objetivos de la empresa.
Supervisar y coordinar la ejecución de campañas de marketing asegurando la correcta ejecución y seguimiento.
Analizar el mercado y la competencia para identificar oportunidades de crecimiento.
Gestionar la comunicación y relaciones públicas de la empresa.
Realizar seguimiento y análisis de resultados para ajustar las estrategias según sea necesario.
Trabajar con automatización de sistemas
Coordinación de equipo de trabajo así como la capacitación para el buen desempeño del equipo
Colabora en el desarrollo de nuevos productos, su lanzamiento y promoción
Enfocado en las ventas para llegar al presupuesto establecido por la empresa
Detectar oportunidades de negocio a corto y largo plazo



Prestaciones y beneficios adicionales

Sueldo mensual de $60,000 Libres. mas comisiones
Contratación permanente a tiempo completo.
Oportunidades de desarrollo profesional y crecimiento dentro de la empresa.
Ambiente laboral colaborativo y motivador."
