Job_Title,Job_Description,Job_Url
DATA ANALYST,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18401291,"Descripción
Sé parte de nuestro gran equipo. Estamos en búsqueda de:
Analista de Datos.

Actividades Generales del puesto:
Analizar y monitorear la conversación social respecto a un tópico o una marca.
Desarrollo de reportes que indiquen el performance de la marca con base en indicadores sociales.
Análisis de competencia.
Social Listenings indispensable
Identificar crisis de manera oportuna y redactar reportes de alertas que permitan tomar decisiones.
Brindar recomendaciones.
Trackeo de comentarios de marca.
Análisis de Influencers.
Análisis de audiencias de una determinada red social.
Capacidad de análisis.
Capacidad argumentativa.
Sentido de urgencia.
Adaptabilidad

¡¡¡Inglés Avanzado!!!

Habilidades que serían un plus:
Experiencia en Emplifi, Sprinklr
Haber trabajado con marcas corporativas"
Data analyst,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18375061,"Descripción
Data Transformation Senior Specialist drives deliverables from start until completion independently, following the Program planning and roadmap. He/she has a problem-solving mindset, demonstrates leadership, and can quickly adapt and move forward. DTS L2 is able to take on complicated challenges and coaches the more junior members of the team to support team's growth in expertise of Data Management. 

Responsabilities:

•       Identify and engage with all key stakeholders to be involved directly or indirectly to ensure the success of your deliverables within the Programme.
•       Drive and support the intake (gather, agree, and clarify requirements) for Data scope and deployment plan of the Program for the relevant area (e.g., Data Migration, Data Governance, Data Cleansing, etc.).
•       Provide high quality and timely analysis from a range of different sources, coordinate Change Impact Assessment for the proposed changes towards target state.
•       Report deviations and secure corrective actions are planned, executed and monitored.
•       Design, validate, test the target design, ensure signoff and approvals within the correct governance bodies of the Program, but also within the relevant DMO teams where applicable.
•       Align applicable topics across relevant other DMO teams, Global Process and Data Owners, and other counterparts, finding synergies, efficiencies, opportunities for harmonization where possible.
•       Support change management and communications activities from a data point of view.
•       Acts as data SME for the topics/areas that you cover, share information and provide knowledge transfers to peers across Organisation.
•       Secure that all work is documented in a timely manner, standard in line with blueprint methodology.
•       Contribute towards the end-to-end planning and deliverables, drive your tasks until completion. Report risks, interdependencies, issues and blockers to the track lead of the Program.
•       Monitor the work-stream delivery against plans and objectives on a periodic (weekly and, where necessary, daily) basis.
•       Create and provide training for data related topics to all relevant stakeholders. Conduct organizational change management to ensure the Program team and the extended community is trained and executing per standard approach and rules of HEINEKEN Data Management when needed.
Resolve any process and data issues for the Program in a timely manner, develop and execute root cause remediation strategies for data issues. 

Minimum qualifications:
·   4-5 years of experience in Program/Project Management
·   4-5 years of experience in Data Management and Change Management
·   4-5 years of experience in a Global/Regional role in a large size complex Organization, ideally within Data area.

Preferred qualifications:
·   Experience in support role for data and process improvement initiatives, supporting setting up data strategies and policies, participating in mapping out data management processes, preparing training materials, training users,
·   Familiarity and operational experience with IT systems such as SAP, JDE, Navision, MDM tools, various Dashboards, basic understanding of interface between systems,
·   Experience in stakeholder management, ability to collaborate and influence without authority across multiple levels of an organization,
·   Good presentation skills (including material preparation),
·   Ability to navigate ambiguity,
·   Flexibility and adaptability,
Experience in FMCG Industry is an advantage."
Data Analyst Sr,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18406083,"Descripción
Somos una compañía con más de 35 años de trayectoria, tenemos presencia en México, Colombia, Perú, Chile, Argentina y USA. Nuestro portafolio de servicios es uno de los más grandes en la industria: Estrategia Digital, Desarrollo de Software, Business Intelligence, Big Data, Analítica Avanzada, Seguridad, IOT.

Buscamos tu talento como: Data Analyst Sr


Requisitos Indispensable:

+5 o más años de experiencia realizando análisis en tecnología de datos. Back y Front
Oracle y Oracle Apex
Herramientas de integración Datastage
L?ógica de programación
GIT, GIT Flow
Metodología Agile, Jira, Confluence.



Ofrecemos:
SUELDO A NEGOCIAR DE ACUERDO A EXPERIENCIA
Prestaciones: Vales de despensa / SGMM / Clases de inglés / Capacitación, cursos, certificaciones.

Contrato indefinido.

TRABAJO: HIBRIDO (2 o 3 veces al mes)"
Sr. Data analyst,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18047737,"Descripción
Alia, an IT consultancy with over 25 years in the market, is hiring:


SR DATA ANALYST

Requirements and necessary experience:

Senior Data Analyst Consultant with a strong background in commercial data quality projects within global repositories, specifically in Bayer's Global Data Assets - Customer 360 & Event360.
Proven experience as a Senior Developer Analyst in implementing Data Warehouses/Data Lakes on the GCP platform.
Involvement in data analysis initiatives related to business processes and data foundation projects, preferably on the GCP platform.
Knowledge and proficiency in programming languages for databases and ETL.
Advanced English (participation in meetings and client interactions 100% in English).


Main activities to be developed:

Act as the focal point in NORLA for the data team, leading the development of global Customer360 and Event360 data models.
Responsible for monitoring tasks related to the stabilization and improvement of customer data in global repositories.
Coordinate and monitor planned activities, ensuring efficient communication with stakeholders.
Actively participate in data foundation implementation projects on Google Cloud - BigQuery.


What we offer:

Salary: $70,000.00 gross monthly
Schedule: Monday to Friday, 9:00 am - 6:00 pm
Scheme: Hybrid (2 days in the office and 3 days remote)
Work Location: Polanco



If you are interested in the position, apply with your updated CV through this channel."
Warranty Data Analyst,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18381475,"Descripción
STELLANTIS México, empresa trasnacional del sector automotriz y de las 25 mejores empresas para trabajar en México, te invita a formar parte de su equipo como:

Warranty Data Analyst / Control tower Pre-Analyst

Job Description

At Stellantis, we assess candidates based on qualifications, merit and business needs. We welcome applications from people of all gender identities, age, ethnicity, nationality, religion, sexual orientation and disability. Diverse teams will allow us to better meet the evolving needs of our customers and care for our future

Pre-Analyst in Stellantis North America - Control Tower is critical in ensuring effective communication between the customer and the company, particularly in the context of product quality and service issues. Here's a breakdown of the key responsibilities and tasks associated with this position:
Voice of the Customer (VOC):
Utilizing various sources of customer feedback such as warranty information, parts return data, and service reports to understand customer experiences and concerns.
Actively listening to customer feedback to identify patterns, trends, and recurring issues.
Issue Identification and Triage:
Analyzing data to identify emerging issues and potential problems with products or services.
Prioritizing identified issues based on severity, impact on customers, and potential risks to the company.
Triaging issues promptly and efficiently to ensure they are addressed by the appropriate stakeholders.
Problem Statement Development:
Crafting detailed and comprehensive problem statements for identified issues, including all relevant information gathered from customer feedback and data analysis.
Ensuring that the problem statement clearly defines the issue, its impact on customers, and any relevant context or background information.
Issue Resolution Support:
Collaborating with cross-functional teams, including product development, engineering, quality assurance, and customer service, to facilitate issue resolution.
Providing support and guidance to issue owners throughout the resolution process, including assisting with problem-solving and decision-making as needed.
Monitoring the progress of issue resolution efforts and providing regular updates to stakeholders on the status of open issues.
Continuous Improvement:
Participating in regular meetings and discussions to review performance metrics, identify opportunities for improvement, and implement enhancements to the issue management process.
Proactively seeking feedback from stakeholders, including customers and internal teams, to identify areas for improvement and refine processes for capturing and addressing customer concerns.
Overall, the Pre-Analyst plays a crucial role in ensuring that customer issues are promptly identified, thoroughly understood, and effectively addressed, ultimately contributing to improved product quality, customer satisfaction, and brand loyalty.

Requirements
 Basic Qualifications:
 The ideal candidate for the Pre-Analyst position in Stellantis North America - Control Tower should possess the following attributes:
 Educational Background:
 Bachelor's degree or higher in Engineering is preferred. However, other bachelor's degrees may be considered with relevant work experience. This indicates a strong foundation in technical knowledge and problem-solving skills.
 Work Experience:
 3+ years of experience in engineering, manufacturing, supplier operations, or quality. This suggests familiarity with the industry, processes, and standards, which are essential for effectively identifying and resolving issues.
 Communication Skills:
 Strong verbal and written communication skills are necessary for effectively conveying complex technical information, problem statements, and resolutions to stakeholders at all levels of the organization.
 Data Analysis:
 Ability to collect and synthesize data into meaningful information indicates proficiency in data analysis, which is crucial for identifying trends, patterns, and emerging issues from customer feedback and operational data.
 Interpersonal Skills:
 Excellent interpersonal skills are important for collaborating with cross-functional teams, communicating with customers, and building effective working relationships with stakeholders.
 Organizational Skills:
 Strong organizational skills are required for managing multiple tasks, prioritizing issues based on severity and impact, and ensuring timely resolution.
 Analytical Skills:
 Analytical skills are necessary for dissecting complex problems, identifying root causes, and developing comprehensive problem statements for issue resolution.
 Detail Orientation:
 Being detail-oriented ensures accuracy in data analysis, problem statement development, and issue resolution, minimizing the risk of oversight or misinterpretation.

Job Offer

-Direct hiring

18 month Temporary contract

-Above the law benefits

At Stellantis, we assess candidates based on qualifications, merit and business needs. We welcome applications from people of all gender identities, age, ethnicity, nationality, religion, sexual orientation and disability. Diverse teams will allow us to better meet the evolving needs of our customers and care for our future."
Consultor Data Analyst en Databricks,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18380908,"Descripción
**Empresa: Infomedia SA de CV**
Infomedia es una empresa mexicana con más de 32 años de experiencia en el mercado mexicano en la Administración de la Información de los Negocios. Tenemos como Socios de Negocios a empresas líderes a nivel mundial como IBM y Oracle. Somos una empresa certificada en ISO 9001 dedicada a asegurar la continuidad y disponibilidad de los negocios de nuestros clientes a través de nuestra gran experiencia y alta especialización tecnológica.

**Requisitos del puesto:**
Licenciatura relacionada a Sistemas Computacionales o afín.
Al menos 2 años de experiencia en el manejo de DataBricks
Estar certificado en Dta analyst para DataBricks
Conocimientos de SQL y UNIX.
Capacidad de análisis de información
Muy buen manejo del idioma inglés (coordinar y llevar a cabo sesiones, juntas con consultores estadounidenses)
Manejo de paquetería de Office.
Excelente presentación y facilidad de palabra.

**Responsabilidades del puesto:**
Desarrollo de scripts para automatizar procesos
Implementación de modelos lógicos y físicos
Manejo de tablas Oracle y Teradata.
Esquema laboral híbrido, mayormente teletrabajo

**Prestaciones y beneficios adicionales:**
- Salario 100% nómina. - Prestaciones de Ley desde el primer día.
- Seguro de Gastos Médicos Mayores a partir del 3er mes.
- Estabilidad laboral."
Data Analyst Marketing Digital / Dataminig,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18386378,"Descripción
Antevenio by ISPD es una empresa de MKT Digital con reconocimiento a nivel Global, con una visión de agente de transformación social.

Nuestra filosofía está basada en la inclusión, colaboración, responsabilidad y empatía, hacemos que cada miembro de la empresa se sienta orgulloso de su lugar de trabajo.

Por crecimiento del área buscamos te unas a nuestro equipo como:

DATA ANALYST / DATAMING

Misión del puesto
Construcción de reportes e informes mensuales y Ad hoc de cada cuenta / Cliente.

Funciones y responsabilidades
Desarrollar análisis estratégicos y tácticos de acuerdo a los objetivos
Identificar Insights relevantes y accionables
Aterrizar el brief del proyecto a un esquema de informe de análisis
Construcción de query
Generación de dashboard
Categorización y calibración de conversaciones en BW
Generación de búsquedas en Google
Generación de gráficos de los informes
Análisis siguiendo el esquema aterrizado desde el brief
Integración de fuentes externas dentro de los informes
Presentación interna de los informes

Conocimientos:
Excel nivel medio y avanzado.
Brandwatch o herramietas de escucha.
Data Studio, Powe BI. Visualizadores de datos.
Semrush
Fan page karma
Conexiones API

Requisitos profesionales
Titulación: Licenciatura en Actuaría, Matemáticas, Marketing o a fin.
Experiencia: +1 años en analítica y reporteo de datos

OFRECEMOS
- Capacitación constante
- Salario + prestaciones ley + superiores a ley (Vales, Fondo de ahorro, SGMM, Seguro de vida)

Actualiza tu cv y postúlate."
Data analyst - Reconexión OPA / HIBRIDO CDMX,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18397948,"Descripción
ZEMSANIA consultoría Española con presencia en 8 países busca incorporar el siguiente perfil para laborar con uno de nuestros clientes.

Cargo: Data analyst - Reconexión OPA / HIBRIDO CDMX
?
 Cinco o más años de experiencia realizando análisis en tecnología de datos. Back y Front.
Oracle y Oracle Apex.
Herramientas de integración Datastage
Lógica de programación, GIT, GIT Flow
Metodología Agile, Jira, Confluence.

Responsabilidades:

Análisis a la inversa desde el front End hasta el Bachk, identificar datos origen y destino, diseñar en conjunto con los front end la solución de reconexión, bajar de manera funcional cada una de las reglas existentes en los portales OPA y Master Data.

Validar las pruebas E2E de ambos portales."
Warranty Data Analyst / Control Tower Pre-Analyst,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18381499,"Descripción
STELLANTIS México, empresa trasnacional del sector automotriz y de las 25 mejores empresas para trabajar en México, te invita a formar parte de su equipo como:

Warranty Data Analyst / Control Tower Pre-Analyst

Job Description

Pre-Analyst in Stellantis North America - Control Tower is critical in ensuring effective communication between the customer and the company, particularly in the context of product quality and service issues. Here's a breakdown of the key responsibilities and tasks associated with this position:
Voice of the Customer (VOC):
Utilizing various sources of customer feedback such as warranty information, parts return data, and service reports to understand customer experiences and concerns.
Actively listening to customer feedback to identify patterns, trends, and recurring issues.
Issue Identification and Triage:
Analyzing data to identify emerging issues and potential problems with products or services.
Prioritizing identified issues based on severity, impact on customers, and potential risks to the company.
Triaging issues promptly and efficiently to ensure they are addressed by the appropriate stakeholders.
Problem Statement Development:
Crafting detailed and comprehensive problem statements for identified issues, including all relevant information gathered from customer feedback and data analysis.
Ensuring that the problem statement clearly defines the issue, its impact on customers, and any relevant context or background information.
Issue Resolution Support:
Collaborating with cross-functional teams, including product development, engineering, quality assurance, and customer service, to facilitate issue resolution.
Providing support and guidance to issue owners throughout the resolution process, including assisting with problem-solving and decision-making as needed.
Monitoring the progress of issue resolution efforts and providing regular updates to stakeholders on the status of open issues.
Continuous Improvement:
Participating in regular meetings and discussions to review performance metrics, identify opportunities for improvement, and implement enhancements to the issue management process.
Proactively seeking feedback from stakeholders, including customers and internal teams, to identify areas for improvement and refine processes for capturing and addressing customer concerns.
Overall, the Pre-Analyst plays a crucial role in ensuring that customer issues are promptly identified, thoroughly understood, and effectively addressed, ultimately contributing to improved product quality, customer satisfaction, and brand loyalty.
 Requirements

Basic Qualifications:
 The ideal candidate for the Pre-Analyst position in Stellantis North America - Control Tower should possess the following attributes:
 Educational Background:
 Bachelor's degree or higher in Engineering is preferred. However, other bachelor's degrees may be considered with relevant work experience. This indicates a strong foundation in technical knowledge and problem-solving skills.
 Work Experience:
 3+ years of experience in engineering, manufacturing, supplier operations, or quality. This suggests familiarity with the industry, processes, and standards, which are essential for effectively identifying and resolving issues.
 Communication Skills:
 Strong verbal and written communication skills are necessary for effectively conveying complex technical information, problem statements, and resolutions to stakeholders at all levels of the organization.
 Data Analysis:
 Ability to collect and synthesize data into meaningful information indicates proficiency in data analysis, which is crucial for identifying trends, patterns, and emerging issues from customer feedback and operational data.
 Interpersonal Skills:
 Excellent interpersonal skills are important for collaborating with cross-functional teams, communicating with customers, and building effective working relationships with stakeholders.
 Organizational Skills:
 Strong organizational skills are required for managing multiple tasks, prioritizing issues based on severity and impact, and ensuring timely resolution.
 Analytical Skills:
 Analytical skills are necessary for dissecting complex problems, identifying root causes, and developing comprehensive problem statements for issue resolution.
 Detail Orientation:
 Being detail-oriented ensures accuracy in data analysis, problem statement development, and issue resolution, minimizing the risk of oversight or misinterpretation.

Job Offer
-Direct hiring
-Above the law benefits
At Stellantis, we assess candidates based on qualifications, merit and business needs. We welcome applications from people of all gender identities, age, ethnicity, nationality, religion, sexual orientation and disability. Diverse teams will allow us to better meet the evolving needs of our customers and care for our future."
DATA REPORTING ANALYST,https://www.occ.com.mx/empleos/de-data-analyst/en-Mexico/?page=1&jobid=18375023,"Descripción
Data Reporting Analyst
The Data Reporting Analyst is responsible for acquiring data, normalizing data, ensuring that databases remain error free and organized. Provides for production of advanced analytics content, and delivery of analytics product packages and services to customers in the Automotive, Hardware Home Center, Electrical Channels, among others.

What you will be doing:
Responsible for gathering and tracking data across industry sources using varied database and analytics tools in a high volume production scale big data operation.
Conduct routine research and categorize data and attributes for for preparation for content production.
Interpret results from the data using statistical techniques to create regular reporting and analytical content solutions.
Review information to identify and interpret any patterns or useful trends in complex data sets 
Sustain and manage an assigned amount of customer analytics deliverables to contract deadlines and service levels.

What you will likely bring:
Proficient with MS Office and advanced knowledge of Excel, including power pivot tables 
Experience with Business Intelligence tools, reporting tools, statistical applications and desktop databases
Problem Solving - Attention to detail, eager to learn and develop new solutions, persistence in driving improvement, and process driven
Strong written and verbal communication skills, highly collaborative
Ability to adapt - commitment, self-confidence and willingness to embrace change Experience in product research and/or data analysis

What could set you apart:
3+ years of applicable experience and demonstrated success/knowledge 
Bachelor's degree (or equivalent experience)"
