Job_Title,Job_Description,Job_Url
Data Architect,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18402108,"Descripción
Únete a nuestro equipo como Data Architect

Requisitos:
Lic./Ing. en Sistemas Computacionales o afín
Experiencia laboral en Banco o Fintech

Experiencia de al menos 3 años realizando las siguientes actividades:
Diseño de base de datos (creación de índices, relaciones, definición de tablas, campos,
normalización, etc.)
Mantenimiento de las bases de datos
Seguridad en la base de datos, gestión de usuarios, asignación de permiso, control de acceso a la información sensible
Copias de seguridad, respaldos, réplicas
Monitoreo y optimización
Migración de Datos
Documentación de tablas, store procedures, db, scripts, políticas de seguridad etc.

Experiencia de al menos 3 años en algunas de siguientes tecnologías:
Bases de datos relacionales (MySQL, SQLServer, PostgrSQL)
Bases de datos no relacionales (Aws Dynamo, MongoDB)
Python, SQL
Manejo de herramientas de versionado (Git)
Aws (Dynamo, Redshift, RDS)

Ofrecemos:
45,000 Netos
Prestaciones de ley
Horario Hibrido

Interesados postularse por este medio"
Data Architect,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18405316,"Descripción
¡En Lumina Software tenemos una oportunidad laboral para ti!

Envíanos tu CV actualizado y te contactaremos de inmediato.

PERFIL: Data Architect

• 5+ años de experiencia en diseño e implementación de Datawarehouse
• 5+ años de experiencia el en uso de herramientas de Integración de Datos
• 5+ años de experiencia con Power BI
• Experiencia con estrategias, tecnología y herramientas de modelado de datos, perfilamiento, administración de la calidad (QA), performance y entrega.
• Experiencia colaborando con equipos de Gobierno de Datos, Arquitectura de aplicaciones y Arquitectura de Integración de Datos.
• Habilidad para conectar las necesidades del negocio con los requerimientos de información.
• Deseable conocimiento de la metodología de DAMA (DMBOK)"
DATA ARCHITECT,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=17378230,"Descripción
Desarrolla tu carrera en Zurich
 Zurich, aseguradora líder a nivel internacional te invita a ser parte de su equipo: 
  Data Architect
  Tus habilidades y experiencia:
Escolaridad: Licenciatura o ingeniería en Sistemas o afín
Experiencia mínima de 2 años en Data Analysis, Data Science y/o Data Architecture, Lenguajes de programación. Big data en Azure, 
Experiencia lidereando y gestionando soluciones de Big Data en Azure, con un enfoque específico en Delta Lake. Familiaridad con tecnologías como Hadoop Core, Hive, Spark, Kafka, Sqoop, Ambari, Zeppelin y Databricks es esencial.
Experiencia en el diseño y gestión de bases de datos, incluyendo PostgreSQL, DB2, Redis, Cassandra y Neo4j.
Familiaridad con herramientas de orquestación como Apache Airflow y plataformas de seguimiento y gestión de modelos como MLflow.
Experiencia y conocimiento del sector financiero y/o Seguros
Inglés: Intermedio
  Conocimientos técnicos:
    Más de 4 años de experiencia en roles relacionados con ingeniería de datos, big data, ciencia de datos y analítica.
1 a 2 mínimo como gerente o responsable de proyecto interdisciplinarios y multidisciplinarios para la creación de productos de datos.
Experiencia en arquitecturas distribuidas y en entornos cloud, con un enfoque particular en Azure.
Experiencia en gestión de protección y calidad de datos.
Conocimiento de la arquitectura de datos y soluciones tecnológicas.
Conocimiento de las prácticas de gobierno de datos, cuestiones comerciales y tecnológicas relacionadas con la gestión de activos de información empresarial y enfoques relacionados con la protección de datos.
Conocimiento de los requisitos regulatorios gubernamentales relacionados con los datos y las tendencias y problemas emergentes
  Objetivo de la posición:
  Experto digital enfocado en ejecutar la estrategia de datos de la empresa, basado en estándares de calidad, el tratamiento del flujo de datos y la seguridad de los mismos.
Extraer información que pueda transformar el negocio, desarrollo e implementación de estrategias de datos, diseños de modelos de datos, estándares de desarrollo de bases, así como implementación y gestión de almacenes de datos
  Responsabilidades clave
  Liderar la implementación y gestión de soluciones de Big Data en Azure, con un enfoque específico en Delta Lake. Familiaridad con tecnologías como Hadoop Core, Hive, Spark, Kafka, Sqoop, Ambari, Zeppelin y Databricks es esencial.
Supervisar el ciclo completo de desarrollo de proyectos, desde la concepción hasta la implementación, garantizando la eficiencia y calidad en todas las fases.
Desarrollar e implementar estrategias de gobernanza de datos, asegurando la calidad y seguridad de los datos en todo momento.
Establecer y gestionar una hoja de ruta para la implementación del gobierno de datos empresariales que incluya prioridades estratégicas para el desarrollo de capacidades basadas en información.
Implementar un marco de gobierno de datos en toda la empresa, con un enfoque en la mejora de la calidad de los datos y la protección de datos confidenciales mediante modificaciones a las políticas y estándares de comportamiento de la organización, principios, métricas de gobierno, procesos, herramientas relacionadas y arquitectura de datos.
Definir roles y responsabilidades relacionados con el gobierno de datos y garantizar una responsabilidad clara para la administración de los principales activos de información de la empresa.
Servir como enlace entre las áreas comerciales y funcionales y la tecnología para garantizar que los requisitos comerciales relacionados con los datos para proteger los datos confidenciales estén claramente definidos, comunicados y bien comprendidos y considerados como parte de la priorización y planificación operativa.
Liderar equipos ágiles, fomentando la colaboración y la entrega continua. Experiencia en NodeJS (Express), C# y Python (Pandas, Scikit-learn, Seaborn, Flask, Fast-API, Django) es fundamental.
Experiencia en el diseño y gestión de bases de datos, incluyendo PostgreSQL, DB2, Redis, Cassandra y Neo4j.
Familiaridad con herramientas de orquestación como Apache Airflow y plataformas de seguimiento y gestión de modelos como MLflow.
Experiencia práctica con Databricks para la implementación y optimización de flujos de trabajo de big data y análisis.
  Ofertamos:
  Para los internos CEO de tu carrera
Plataforma de beneficios flexibles, MYPDC
Esquema de ayudas
        Zurich reconoce la diversidad de nuestra fuerza laboral como una fortaleza, por lo que contamos con políticas y programas de diversidad e inclusión, donde buscamos igualdad de oportunidades sin importar la edad, etnia, sexo, orientación sexual, identidad o expresión de género, discapacidades, etc. Como empleador inclusivo, queremos asegurarnos de que todos los candidatos se sientan cómodos y puedan rendir al máximo durante la entrevista.
    Por qué elegir Zurich
  En Zurich, nos gusta pensar con originalidad y desafiar el statu quo. Adoptamos un enfoque optimista centrándonos en los aspectos positivos y preguntándonos constantemente ¿Qué puede salir bien?
Somos un empleador que ofrece igualdad de oportunidades y que sabe que cada colaborador es único ¡lo que hace que nuestro equipo sea el mejor! 
Colabora con nosotros mientras exploramos constantemente nuevas formas de proteger a nuestros clientes y al planeta.
 "
Arquitecto de Datos,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18396853,"Descripción
¿Has escuchado sobre Axity?

Somos una de las principales consultorías de TI especializadas en brindar soluciones en tecnologías de la información, ciberseguridad, telecomunicación y automatización. Contamos con un portafolio integral de servicios para ayudar a nuestros clientes a afrontar sus retos de Transformación Digital, también siendo Partner de Cisco, SAP Microsoft y BMC. Actualmente nos enfocamos a Transformar tecnologías de información en valor.

Intégrate a nuestro equipo como: *Arquitecto de Datos*

Perfil:
Arquitecto de datos responsable de diseñar, construir y gestionar la arquitectura de datos que soportará la transformación digital de la organización.
Liderazgo y diseño de la arquitectura de datos: Define la visión y la estrategia de la arquitectura de datos para la transformación digital.
Desarrollo de la hoja de ruta de datos: Define las etapas y los proyectos necesarios para implementar la arquitectura de datos.
Selección de tecnologías de datos: Evalúa y selecciona las tecnologías y herramientas adecuadas para la gestión de datos, análisis de datos e inteligencia de negocios.
Diseño e implementación de la arquitectura de datos: Diseña e implementa una arquitectura de datos que sea escalable, segura y flexible.
Gestión de la calidad y seguridad de los datos: Implementa procesos para asegurar la calidad, seguridad y accesibilidad de los datos.
Gobierno de datos: Define e implementa políticas y procesos para el gobierno de datos.
Experiencia en arquitectura de datos: Conocimiento de principios, patrones y mejores prácticas de arquitectura de datos.
Experiencia en tecnologías de datos: Conocimiento de tecnologías como big data, data lakes, data warehouses, data mining, machine learning, etc.
Habilidades de análisis de datos: Capacidad para analizar datos y extraer información útil.
Certificaciones: CDDA, CDAI.

¿Qué te ofrecemos en Axity?
Plan de vida-carrera
Capacitación
Certificaciones
Sueldo acorde a experiencia y conocimientos
Contratación 100% nómina
Prestaciones de ley
Vales de despensa

¡TE ESPERAMOS, VEN A SER PARTE DEL HOGAR DEL MEJOR TALENTO!"
Data Engineer JR,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18405405,"Descripción
Contribute to the continued development of Data Engineering as a capability - training, tooling, ways of working, and operating model to optimise output and value.
Client Details
A global, science-led, patient-focused pharmaceutical company.
Description
2 - 3 years of work experience as a Data Engineer
Python language knowledge.
Exposure to Data Pipelines.
AWS, SQL and PySpark experience.
Advanced English
Profile
Working with peers, data architects, and, data analysts in the delivery of data capabilities.
Working with Scrum leaders in daily updates on delivery estimations and issues management.
Job Offer
$35,000 - $40,000 gross salary + benefits above the law
Full Home Office."
Snowflake Technical Lead,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18396412,"Descripción
We're hiring!  
 At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place to Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant! 
We have an exciting opportunity for an exceptional individual to work supporting one of our clients as a Snowflake Technical Lead

What you'll do: 
·       Take the responsibility of the Snowflake delivery from Mexico in all aspects. Collaborate with U.S and offshore teams to deliver high quality output.
·       Developing data management solutions using Snowflake.
·       Snowflake concepts like setting up Resource monitors, RBAC controls, scalable virtual warehouse, SQL performance tuning, zero copy clone, time travel and automating them.
·       Migration processes to Snowflake from on-premises database environment.
·       Handling semi-structured data (JSON, XML), columnar PARQUET using the VARIANT attribute in Snowflake.
·       DesSnowflake using combination of Python, PySpark, Bash with SnowSQL.
Minimum Qualifications:
·       Experience in Cloud technologies such as AWS – S3, SQS, EC2, Lambda, Redshift, RDS
·       SnowSQL Experience in developing stored Procedures writing Queries to analyze and transform data.
·       Certified Snowflake cloud data warehouse Architect (Desirable).
·       Top Skills: Snowflake (Mandatory), Cloud Data Quality/Informatica Data Quality (Desirable)
·       8+ years of experience implementing data management solutions 
·       6+ years of experience in Snowflake
·       Experience in designing and building manual or auto ingestion data pipeline using Snowpipe.
·       Experience in in re-clustering of the data in Snowflake with good understanding on Micro Partitions.

Why Cognizant? 
 Improve your career in one of the largest and fastest growing IT services providers worldwide 
Receive ongoing support and funding with training and development plans 
Have a highly competitive benefits and salary package 
Get the opportunity to work for leading global companies 
We are committed to respecting human rights and build a better future by helping your minds and the environment  
We invest in people and their wellbeing.   We create conditions for everyone to thrive. We do not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered.  
 At Cognizant we believe than our culture makes us stronger!  
Join us now! 
#BeCognizant #IntuitionEngineered  "
Data Architect,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18348333,"Descripción
Data Architect

Acerca de la Empresa 

Somos la primera plataforma digital en México que se especializa en diseñar productos y soluciones financieras a la medida de las necesidades de cada uno de nuestros clientes.

Requisitos para el puesto:

Escolaridad: Licenciatura concluida en: Ingeniería en computación, Sistemas, Ciencia de datos, Matemáticas o afín.

Experiencia:
Base de datos (SQL y NoSQL)
Arquitectura en la nube (AWS)
Ecosistemas de Big Data
Hadoop {HIVE, Sqoop, Kafka}
SPARK (Scala, Java, Python)
Python / R / JSON / Git


Años de experiencia: 3 años
Idioma: Inglés intermedio
Otros cursos de formación: AWS Cloud Practitioner / Developing on AWS / Architecting on AWS


Principales funciones: 

Desarrollar la infraestructura de datos para respaldar los objetivos estratégicos y operativos del negocio.
Gestionar soluciones de datos que mejoren la toma de decisiones, impulsen la eficiencia operativa y garanticen la integridad y seguridad de los datos. 
Desarrollar soluciones de bases de datos para almacenar y recuperar información de la empresa.
Evaluar, recomendar herramientas y plataformas relacionadas con datos.
Planificar y gestionar proyectos de datos en colaboración con otros equipos de la empresa.
Documentar los diseños de arquitectura de datos.
Evaluar tecnologías y arquitecturas de datos emergentes.


Prestaciones y beneficios adicionales: 
100% Nomina 
Sueldo competitivo 
Paquete de incentivos variable"
Data Architect,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18265428,"Descripción
Posición: Data Architect
Ubicación: CDMX (híbrido)
Industria: Banking

Conocimientos y experiencia necesaria:
Conocimientos en tecnología cloud: DataFlow, Cloud Composer, Python(manejo de archivos y APIs), SQL ANSI, BigQuery
Conocimientos las siguientes herramientas y/o prácticas: DevSecOps, Git, Modelado de datos, Data Warehouse, Herramientas y técnicas de ETL, Stored procedures y funciones, Conocimientos de industria bancaria
Conocimiento de procesos bancarios, Normas ISO, Análisis riesgo control (deseable): Conocimientos en SAP Hana, Conocimientos en IPC, Experiencia en metodologías Agiles

Habilidades:
Trabajo bajo presión, calidad en el trabajo y orientado a resultados

Tu carrera en Capgemini
Al trabajar en un ambiente de equipo, nuestros consultores se enfocan en el análisis, diseño y desarrollo de soluciones basadas en tecnología para los clientes de Capgemini.
Trabajarás en conjunto con especialistas funcionales, técnicos y del negocio para ayudar a desarrollar la implementación e integración de soluciones y sistemas innovadores incluyendo metodologías, técnicas y herramientas.
Contribuirás de una manera responsable y oportuna con la satisfacción del cliente proporcionando servicios y productos que generan valor agregado.
Capgemini ofrece una compensación competitiva y beneficios superiores a los de Ley.
Nuestras oficinas centrales están en París, Francia y tenemos presencia en más de 50 países. Somos más de 340 mil profesionales en México, ubicados en Ciudad de México, Aguascalientes y Monterrey.
Capgemini ha desarrollado metodologías propias a nivel global: Collaborative Business Experience y Rightshore.

Te encantará trabajar en Capgemini porque:
Ofrecemos una experiencia única de reclutamiento y onboarding, y te ayudamos a construir las bases de tu carrera y habilidades profesionales.
Proveemos un ambiente de trabajo colaborativo basado en nuestros 7 valores: Honestidad, Audacia, Confianza, Libertad, Espíritu de Equipo, Modestia y Diversión.
Promovemos un ambiente que te permite planear y desarrollar tu carrera.

“En Capgemini México, el objetivo es atraer al mejor talento y lograr un ambiente laboral diverso e inclusivo por lo que no se discrimina por motivo de raza, sexo, orientación sexual, identidad o expresión de género o cualquier otra característica propia de la persona. Todas las solicitudes son bienvenidas y serán consideradas para concurso con base en el mérito del candidato contra el trabajo y/o la experiencia para el puesto”"
Data Architect,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18201224,"Descripción
Únete a nuestro equipo como Data Architect

Requisitos:
Lic./Ing. en Sistemas Computacionales o afín
Experiencia laboral en Banco o Fintech

Experiencia de al menos 3 años realizando las siguientes actividades:
Diseño de base de datos (creación de índices, relaciones, definición de tablas, campos,
normalización, etc.)
Mantenimiento de las bases de datos
Seguridad en la base de datos, gestión de usuarios, asignación de permiso, control de acceso a la información sensible
Copias de seguridad, respaldos, réplicas
Monitoreo y optimización
Migración de Datos
Documentación de tablas, store procedures, db, scripts, políticas de seguridad etc.

Experiencia de al menos 3 años en algunas de siguientes tecnologías:
Bases de datos relacionales (MySQL, SQLServer, PostgrSQL)
Bases de datos no relacionales (Aws Dynamo, MongoDB)
Python, SQL
Manejo de herramientas de versionado (Git)
Aws (Dynamo, Redshift, RDS)

Ofrecemos:
35,000 Netos
Prestaciones de ley
Horario Hibrido

Interesados postularse por este medio"
Data Architect,https://www.occ.com.mx/empleos/de-data-architect/en-Mexico/?page=1&jobid=18264847,"Descripción
Capgemini es líder mundial en servicios de consultoría, transformación digital, tecnología e ingeniería. El Grupo está a la vanguardia de la innovación para abordar todas las oportunidades de los clientes en el cambiante mundo de la nube, lo digital y las plataformas. Basándose en su sólida herencia de más de 50 años y su profunda experiencia específica en la industria, Capgemini permite a las organizaciones hacer realidad sus ambiciones empresariales a través de una gama de servicios que van desde la estrategia hasta las operaciones. Capgemini está impulsada por la convicción de que el valor empresarial de la tecnología proviene de y a través de las personas. En la actualidad, es una empresa multicultural con 350.000 miembros en 50 países. En 2021, los ingresos combinados del Grupo ascendieron a 18.000 millones de euros.
 Contamos con 10 posiciones:
4 Jr con 2 años de experiencia
2 Mid con 3.5 años de experiencia
4 Sr con 5 años de experiencia
(El rango salarial depende de los años de experiencia)

Responsabilidades, aptitudes y experiencia:
 Análisis, diseño e implementación de soluciones de ingeniería de datos sobre la platagorma GCP
Arquitectura de datos sobre plataforma GCP

Conocimientos (ideales) en tecnología cloud: 
DataFlow
Cloud Composer
Python(manejo de archivos y APIs)
SQL ANSI
BigQuery

Conocimientos (idales) las siguientes herramientas y/o prácticas: 
DevSecOps
Git
Modelado de datos
Data Warehouse
Herramientas y técnicas de ETL
Stored procedures y funciones
Conocimientos de industria bancaria

Conocimiento de procesos bancarios, Normas ISO, Análisis riesgo control:
Deseable conocimientos en SAP Hana
Deseable conocimientos en IPC
Deseable experiencia en metodologías Agiles

 Tecnologías:
 GCP
Python
SQL
BigQuery

 Contamos con esquema 100% nómina, prestaciones de ley, prestaciones superiores a las de la ley, etc. Además tenemos un plan de carrera profesional diseñado en base a tus expectativas y un programa de medición y mejora continuo, beneficios adicionales y convenios.
 Si te interesa unirte a Capgemini y trabajar con nosotros, te estamos esperando.
 “En Capgemini México, el objetivo es atraer al mejor talento y lograr un ambiente laboral diverso e inclusivo por lo que no se discrimina por motivo de raza, sexo, orientación sexual, identidad o expresión de género o cualquier otra característica propia de la persona. Todas las solicitudes son bienvenidas y serán consideradas para concurso con base en el mérito del candidato contra el trabajo y/o la experiencia para el puesto”"
