Job_Title,Job_Description,Job_Url
Data Scientist,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18409789,"Descripción
SYGNO ESTA EN BUSQUEDA DE DATA SCIENTIST

Habilidades

?Data mining
Big Data
SAS
DATAMART MODELLING
Desarrollador de Business Intelligencce
GCP
LOOKER
BIGQUERY
SQL

Deseables tipo Django y Dash Deseable que conozca aspectos de programación como pyhton o Java u otros lenguajes ya que generara e interpretara codigo de las aplicaciones
Extracción de datos, comprenderlos e interpretar los resultados. 

Conocimiento deseable en: Retail , ventas a mayoreo , finanzas etc.


Ubicación en Monte Pelvoux, CDMX
Sueldo Competitivo
Prestaciones superiores
Beneficios adicionales

!Envía tu Cv actualizado y en breve nos comunicamos!"
Científico de datos,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18386868,"Descripción
Un lugar para ti… Trae tu talento a una compañía global de consultoría y tecnología, con presencia en los 5 continentes y más de 43 mil profesionales. Trabajarás en un entorno de soluciones y servicios innovadores para nuestros clientes en los principales sectores de actividad, aportándoles valor añadido. Participarás de la transformación de los negocios trabajando con profesionales de referencia.

Estamos en busca de Científicio de datos con el siguiente perfil:


• Actuaría, Física o afín

Experiencia minima 3 años en:


Trabajando en diferentes entornos de desarrollo, frameworks de trabajo, Machine learning, deep learning, herramientas de nube, deseable MLOps.
Resolviendo problemáticas de industrias distintas en distintos grados de madurez y volumetría de datos
Lenguajes: Python avanzado necesario, bash deseable, PySpark, SQL, JS.

Tareas a desempeñar:

Proponer, coordinar esfuerzos y desarrollar soluciones de IA en el laboratorio y en colaboración con el equipo de laboratorio de hiperescaladores.


Zona de trabajo Polanco, esquema hibrido

Beneficios:
100% nómina
Beneficios superiores a las de Ley (Vales de despensa, Fondo de ahorro, SGMM Familiar, Seguro de Vida, Integra Salud, Udemy, descuentos)
Plan de carrera

Si cumples con el perfil por favor hazme llegar tu CV al correo mencionado o postulate por este medio para ponernos en contacto contigo y platicarte al respecto"
Científico de datos,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=17908747,"Descripción
¡Únete a un mundo de desafíos, dinamismo tecnológico y posibilidades sin límites!

En nuestra experiencia de más de 18 años nos ha consolidado como líderes en el apasionante sector de medios de pago. Si buscas el lugar ideal para tu futuro profesional, aquí te recibiremos con los brazos abiertos.

¿Qué nos hace únicos y diferentes?

• Somos parte de un grupo internacional: Desde el 2019, formamos parte de la unidad Merchant de PagoNxt, una Empresa con presencia global y respaldo del prestigioso Banco Santander.
¡Ser parte de esta red nos abre puertas a oportunidades emocionantes en todo el mundo!

• Innovación tecnológica: La innovación es nuestro motor. Desarrollamos soluciones vanguardistas que hacen las transacciones de pagos más fáciles y seguras, brindando a nuestros clientes experiencias únicas e inigualables.

• Crecimiento exponencial: ¡No nos detenemos ante nada! Nuestra empresa ha experimentado un crecimiento constante y sostenido, y tú puedes ser parte de esta emocionante trayectoria. Te ofrecemos un ambiente donde cada día es un nuevo desafío y las oportunidades de crecimiento son infinitas.

• Cultura organizacional: Valoramos la diversidad y el talento. Nuestra cultura es inclusiva y colaborativa, donde tus ideas y conocimientos serán bienvenidos. ¡Aquí, la creatividad e innovación no tienen límites!

• Formación y desarrollo: Tu crecimiento profesional es nuestra prioridad. Te ofrecemos programas de capacitación y formación continua, para mantenerte a la vanguardia de las últimas tendencias y tecnologías del sector.

¿Qué esperas? ¡Únete a y sé parte de esta emocionante aventura tecnológica que está revolucionando la industria de medios de pago! 


Estamos en búsqueda de CIENTIFICO DE DATOS
ESCOLARIDAD: ACTUARÍA Y/O MATEMÁTICAS APLICADAS
AÑOS DE EXPERIENCIA: 4 AÑOS
Experiencia en sector financiero y liderando equipo de 4 personas

Conocimientos técnicos requeridos :
-De manera esencial : Python, Pyspark para big data, SQL y Databricks
-Estadística avanzada, implementación 
-Diseño e Implementación de proyectos basados en Big data.
-Coordinación e Implementación de soluciones y plataformas basadas en datos.
-Análisis, explotación y visualización de datos en las distintas plataformas Analíticas.
-Generar modelos Descriptivos y Predictivos, aplicando diversas metodologías Analíticas

Ofrecemos: Contratación directa e inmediata ,   plan de carrera , y crecimiento
Horario: de Lunes a Viernes de 9 a 7 
Esquema 100% nómina

   "
Business intelligence /Cientifico de Datos Jr,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18400568,"Descripción
Importante empresa del giro de Telecomunicaciones, líder en su ramo por expansión te invita a ser parte de su equipo de trabajo! ¡Actualmente nos encontramos en búsqueda de un Científico de Datos Jr / BI!



Requisitos:

• Licenciatura o Ingeniería en Sistemas, Ingeniería de Software o carrera afín

- Analista de desarrollo con 3 años de experiencia reciente y comprobable en análisis y desarrollo de requerimientos de Inteligencia de Negocio.
- Conocimientos de nivel intermedio en: o Bussiness Intelligence (Tableau, Microsoft Power BI,Elastic Search), creación de ETL's, diseño y creación de Tableros de Negocio.
-Base de Datos relacionales (Mysql, MariaDB, PosgreSQL, SQLServer)
-Consumo de información e Integración de aplicaciones mediante API's y Web services.
- Metodologías de trabajo ágiles como SCRUM o Ciclo de Desarrollo de Software (SDLC) o Mejores prácticas a nivel industria para codificación de manera segura, documentación, liberación, control de versiones y respaldo de código.
-Manejo de herramientas para gestión de proyectos ágiles: Jira, Trello o Manejo de Suite MS Office (Word, Excel, Powerpoint, Outlook)

Actividades:

• Obtener, reunir, organizar, procesar y modelar los datos
• Analizar grandes volúmenes de datos estructurados o no estructurados
• Preparar y presentar datos en las formas más adecuadas para la toma de decisiones y la solución de problemas
 • Compartir resultados mediante aplicaciones y dashboards de autoservicio
 • Trabajar directamente con los programas utilizados para analizar, procesar y visualizar los datos
• Crear programas o algoritmos destinados a analizar los datos
 • Recopilar y preparar los datos mediante API
• Realizar análisis de datos exploratorios e identificar relaciones y patrones importantes
• Capacitar e implementar modelos para el uso de soluciones de inteligencia artificial productivas
• Explicar modelos y predicciones de un modo útil para el negocio
• Atender reuniones con stakeholders, para toma y entendimiento de requerimientos.
• Análisis y desarrollo de requerimientos con base en la práctica de Scrum.
 • Analizar y normalizar las fuentes de información a utilizar en los tableros de negocio.
 • Análisis, diseño y generación de ETL's y de los tableros de Negocio requeridos.
• Creación y edición de documentos tales como manuales de usuario y manuales operativos.
• Llevar a cabo capacitación y/o transferencia de conocimientos.
 • Diseño y ejecución de pruebas funcionales en los diferentes ambientes.
 • Estar disponible fuera del horario de oficina para atención de incidentes, cambios urgentes, como liberaciones de funcionalidades.




Ofrecemos:

·Salario: $40,000- $45,000 brutos
·Prestaciones superiores
·Salario reportado en IMSS AL 100%
·Seguro de Vida
·Seguro de Gastos Médicos Mayores
·Zona de trabajo: CDMX, MONTERREY




Sí cumples con los requisitos solicitados no dudes en aplicar para la vacante, nos contactaremos a la brevedad.
“Esta empresa cuenta con un proceso de reclutamiento y selección, inclusivo y libre de discriminación. Otorga las mismas oportunidades de empleo a las personas candidatas, sin importar raza, color, religión, género, orientación sexual, estado civil o conyugal, nacionalidad, discapacidad, o cualquier otra situación protegida por las leyes federales, estatales y locales”"
Analista de datos | Científico de datos Jr.| Business Intell,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18375803,"Descripción
Somos una empresa mexicana, líder en productos de línea blanca en Latinoamérica, con ventas de 10 millones de unidades al año y con presencia en alrededor de 70 países, en donde más de 19 mil colaboradores trabajan con el compromiso de ofrecer productos de excelente calidad a nuestros consumidores.

Estamos en búsqueda de nuestro(a) próximo(a) Analista de Datos

Requisitos:
Licenciatura o Ing. en Sistemas, Economía, Estadística, Actuaría, Matemáticas
Inglés intermedio
Conocimiento técnico:
-Lenguajes de Programación: Proficiencia en lenguajes como Python o R, que son estándares en la industria para el análisis de datos y el desarrollo de algoritmos de machine learning.
-Bases de Datos: Habilidad para trabajar con bases de datos SQL y NoSQL, y conocimiento de técnicas de extracción, transformación y carga (ETL).
-Herramientas de Ciencia de Datos: Experiencia con librerías y frameworks específicos como Pandas, NumPy, Scikit-learn para Python, o Tidyverse y Caret para R.
-Visualización de Datos: Competencia en herramientas de visualización como Matplotlib, Seaborn, ggplot2 o herramientas interactivas como Tableau o Power BI.

Actividades:
Recolección y Extracción de Datos: Obtener datos de diversas fuentes, lo cual puede involucrar el uso de APIs, consultas a bases de datos, o la manipulación de archivos en diferentes formatos.
Limpieza y Preprocesamiento de Datos: Tratar con datos incompletos, inconsistentes o erróneos, aplicando técnicas de limpieza y transformación para preparar los datos para el análisis.
Exploración y Análisis de Datos: Realizar análisis estadístico y exploratorio para entender las distribuciones, tendencias, y patrones en los datos, utilizando visualizaciones y estadísticas descriptivas.
Modelado Estadístico y de Machine Learning: Desarrollar y entrenar modelos estadísticos o de machine learning, seleccionando el algoritmo adecuado, ajustando parámetros y validando el rendimiento del modelo.
Evaluación de Modelos: Utilizar métricas adecuadas para evaluar y comparar la efectividad de los modelos, ajustándolos según sea necesario para mejorar su desempeño.
Visualización de Datos: Crear visualizaciones de datos claras y comprensibles para comunicar los hallazgos y resultados del análisis a un público variado.
Interpretación de Resultados: Traducir los resultados de los modelos y análisis en insights comprensibles y accionables para el negocio.

Prestaciones y beneficios adicionales
Contratación directa
Bono por resultados
Prestaciones superiores

Lugar de trabajo: Lomas de Chapultepec, Ciudad de México

En mabe creemos que la diversidad y la inclusión fomentan la innovación y el éxito. Ofrecemos igualdad de oportunidades de contratación, valorando las experiencias, antecedentes y las perspectivas únicas que aporta cada individuo. Nos comprometemos a asegurar una experiencia justa y accesible para todos. Invitamos a todos los candidatos que dejen saber al responsable de Atracción de Talento con quien inicien contacto si tienen alguna necesidad particular de adaptación al comienzo del proceso"
Analista de datos de importaciones (inglés B2),https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18359991,"Descripción
Empresa líder de e-commerce solicita

Analista de datos de importaciones

Licenciatura terminada.

·       Experiencia de 3 años como analista de datos o científico de datos orientado hacia las áreas de importaciones, cadena de suministro o afines.
·       Excel avanzado con Macros.
·       Manejo de SQL y bases de datos, preferentemente con conocimientos de programación con Python.
·       Inglés intermedio, capaz de entender y establecer conversaciones.

Actividades a realizar:

·       Apoyo en el trabajo táctico del día a día del área de importaciones.
·       Creación de vendors en sistema.
·       Solicitar y validar documentación.
·       Elaborar reportes para proveedores y clientes externos.

Contratación por 1 año con posibilidades de continuidad.

Horario de lunes a viernes de 9:00 am. a 5:00 pm. bajo esquema híbrido 3 días en oficina en Polanco y 2 días de home office.

Ofrecemos sueldo de $30,000 pesos brutos mensuales con prestaciones de ley.

Interesados enviar postulación a través de OCC."
Consultor Data Analyst en Databricks,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18380908,"Descripción
**Empresa: Infomedia SA de CV**
Infomedia es una empresa mexicana con más de 32 años de experiencia en el mercado mexicano en la Administración de la Información de los Negocios. Tenemos como Socios de Negocios a empresas líderes a nivel mundial como IBM y Oracle. Somos una empresa certificada en ISO 9001 dedicada a asegurar la continuidad y disponibilidad de los negocios de nuestros clientes a través de nuestra gran experiencia y alta especialización tecnológica.

**Requisitos del puesto:**
Licenciatura relacionada a Sistemas Computacionales o afín.
Al menos 2 años de experiencia en el manejo de DataBricks
Estar certificado en Dta analyst para DataBricks
Conocimientos de SQL y UNIX.
Capacidad de análisis de información
Muy buen manejo del idioma inglés (coordinar y llevar a cabo sesiones, juntas con consultores estadounidenses)
Manejo de paquetería de Office.
Excelente presentación y facilidad de palabra.

**Responsabilidades del puesto:**
Desarrollo de scripts para automatizar procesos
Implementación de modelos lógicos y físicos
Manejo de tablas Oracle y Teradata.
Esquema laboral híbrido, mayormente teletrabajo

**Prestaciones y beneficios adicionales:**
- Salario 100% nómina. - Prestaciones de Ley desde el primer día.
- Seguro de Gastos Médicos Mayores a partir del 3er mes.
- Estabilidad laboral."
Analista BI Looker,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18397744,"Descripción
Hitss es una empresa líder en tecnología que se dedica a proporcionar soluciones innovadoras a sus clientes. Con una larga historia de éxito, valoramos el talento y la creatividad de nuestro equipo, brindando un ambiente de trabajo colaborativo y oportunidades de crecimiento profesional. Ubicación: Miguel Hidalgo, Ciudad de México.

Requisitos del puesto

Experiencia mínima de 3 años en PL&SQL y explotación de datos.
Conocimiento en Procesos ETL y al menos 1 año de experiencia en Looker y BigQuery.
Experiencia en trabajo con equipos ágiles (Scrum).
Conocimientos en NoSQL, GCP, HTML, JSON, JavaScript, Python y repositorio Git.
Experiencia deseable en compañías de medios y entretenimiento.
Conocimientos en Linux, Selenium, Robot, Bash Scripting.
Conocimientos de estadística y experiencia en el uso de paquetes estadísticos.


Responsabilidades del puesto

Desarrollar y mantener procesos de BI utilizando Looker. (NO LOOKER STUDIO)
Colaborar con equipos multidisciplinarios en proyectos ágiles.
Realizar análisis de datos y extracción de información relevante.
Implementar y optimizar procesos ETL.
Colaborar en la integración continua y seguimiento de tareas en Atlassian, Jira y Confluence.


Prestaciones y beneficios adicionales

Sueldo competitivo de 40000 a 41000 mensuales.
Contratación permanente y horario a tiempo completo en modalidad híbrida.
Prestaciones de ley, seguro de gastos médicos mayores y de vida.
Cartera de descuentos para empleados."
Business Intelligence Analyts,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18400263,"Descripción
Grupo de empresas 100% mexicana fundada en 1990 principalmente enfocadas a la logística de transporte de carga “Punto a Punto”. Nuestra presencia de marca en México y el mundo nos permite atender a casi 2,700 clientes por año.

En Grupo Logístico, fomentamos la integración y nos comprometemos con la diversidad en el lugar de trabajo. Por eso nuestro objetivo siempre ha sido atraer y retener a los mejores talentos de México. Ofrecemos retos y oportunidades para el desarrollo personal y profesional.

Business Intelligence Analyst

Nuestro objetivo es convertir datos en información significativa que respalde la toma de decisiones estratégicas en la organización.

¿Cuáles serían tus responsabilidades?

Interpretar los resultados del análisis de datos y presentar hallazgos de manera clara y comprensible a partes interesadas internas y externas.
Desarrollar e implementar herramientas de visualización de datos (dashboard, presentaciones) para la toma de decisiones.
Proponer mejores prácticas para el análisis y gestión de datos.
Desarrollar y mantener paneles de control, informes y modelos predictivos para monitorear el rendimiento empresarial y identificar tendencias clave.
Colaborar con equipos de diferentes departamentos para comprender las necesidades analíticas y desarrollar soluciones que aborden los desafíos comerciales específicos.
Recopilar, limpiar y analizar datos de diversas fuentes, incluidas bases de datos, archivos, sistemas de gestión empresarial y fuentes externas.
Participar en el análisis para entender los requerimientos de los clientes internos y externos.
Proporcionar soporte y capacitación a los usuarios finales en el uso de herramientas de inteligencia empresarial y técnicas de análisis de datos.
Identificar oportunidades para mejorar la eficiencia operativa y la rentabilidad mediante el análisis de datos y el modelado de escenarios.
Mantenerse actualizado sobre las tendencias y avances en tecnología de inteligencia empresarial y aplicar mejores prácticas en el análisis de datos.

Formación / Cualificaciones / Certificados / Requisitos

Licenciatura Terminada en informática o afín.
Experiencia demostrable de al menos 1 a 2 años en área de inteligencia de negocios, haber participado en proyectos de creación, análisis, seguimiento de indicadores, extracción y análisis de datos, así como desarrollando dashboards en Power BI u otro.
Excel intermedio - avanzado; Manejo de bases de datos (SQL (deseable), MySQL o cualquier otro); Power Query; Power Pivot; Python; Manejo de sistemas de inteligencia de negocios (Power BI (deseable), Qlik, Tableau, MicroStrategy, Google Data Studio u otro)."
Ejecutivo Calidad de Datos,https://www.occ.com.mx/empleos/de-data-scientist/en-Mexico/?page=1&jobid=18374964,"Descripción
Descripción del trabajo ??
Planificar, priorizar, implementar y contralar las actividades de calidad de datos en los principales dominios de información de la compañía para garantizar la consistencia, integridad y confiabilidad de los mismos con experiencia en datos de Cadena de suministro.
Desarrollar un proceso alineado a gobierno de datos para mejor la calidad de los datos a consumir, mediante la definición de requerimientos y estándares para asegurar la calidad de los datos en todo su ciclo de vida. Implementar procesos para medir y monitorear la calidad de los datos

Requisitos

Ingeniería / Licenciatura en Sistemas Computacionales, matemáticas. Mandatorio
Deseable Maestría en Datos y Analytics.
+4 años en áreas o proyectos implementado proyectos de calidad de datos, DWH, Data Lakes, BUS de datos
Conocimiento en Informática Data Quality mandatorio
Conocimiento en Talend, DataStage (deseable)
SQL, Azure (data factory- databricks)
SAP (s4h, módulos cadena de suministro)
Experiencia con herramientas de visualización de datos & Reporting (Power BI, Tableau)
Inglés intermedio-avanzado

Actividades

Definir el proceso y el marco de trabajo para el programa de calidad de datos para S4 Hana Cadena de Suministro
En conjunto con los dueños de información y/o expertos funcionales establecer un inventario de datos y priorizar los datos a limpiar
Crear un mapa de flujo de datos para definir en donde monitorear y remediar los datos. Y conexiones a los sistemas fuentes priorizados para medir, monitorear y remediar la calidad de datos
Extraer conclusiones a partir del perfilamiento de datos
Realizar Scorcard de Calidad de Datos: reportes de errores, datos correctos, excepciones
Implementar desarrollos para completar, corregir, limpiar, remediar la información en los principales dominios de la compañía
Crear un proceso para dar seguimiento y solución a los hallazgos detectados en los análisis y scorecards de calidad de datos para garantizar la solución raíz de los mismos.
Realizar reportes ejecutivos para presentar principales incidencias en los Comités de Gobierno de datos

Esta posición es hibrida en Ciudad de México."
