Job_Title,Job_Description,Job_Url
DBA MAINFRAME COBOL,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18385489,"Descripción
PRAXIS, es una empresa Mexicana Líder en Tecnologías de la Información, con presencia Internacional, y con 25 años proporcionando servicios de TI.

DBA DESARROLLADOR MAINFRAME COBOL

4 años de experiencia como DBA en Mainframe, CICS, ZOS, JCL's
Experiencia en desarrollo con cobol

La posición es hibrida
Sector bancario, por lo que si cuentas con experiencia bancaria es un plus.

Contratación inmediata, postúlate por este medio


“En PRAXIS queda prohibido la solicitud de certificados médicos de no embarazo y virus de Inmunodeficiencia Humana (VIH) como requisito para el ingreso, permanencia o ascenso"""
MongoDB DBA,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18255876,"Descripción
Empresa global líder en soluciones de tecnologías de la información (IT) enfocada en Cómputo Cognitivo, Inteligencia Artificial y Data Analytics busca un profesional para ocupar el puesto de MongoDB DBA. El candidato ideal debe contar con experiencia y conocimientos probados en metodologías ágiles y scrum, desarrollo de software y de manejo de datos.

Responsabilidades:
Consultoría sobre administración de MongoDB Enterprise on-prem y on-cloud.
Analizar bases de datos en MongoDB y brindar recomendaciones para optimizar las operaciones.
Actualización y migración de bases de datos en MongoDB.
Apoyo en estandarización de bases de datos en MongoDB.
Automatización e implementación de procesos.
Implementación de planes de respaldo de datos y recuperación ante desastres.
Debugging y troubleshooting cuando sea necesario.
Colaborar con otros miembros del equipo técnico.

Requerimientos / Certificaciones:
Experiencia práctica de al menos 5 años usando MongoDB on-premise y on-cloud (Atlas)
Experiencia probada diseñando e implementando clústeres en MongoDB.
Experiencia en administración y optimización de bases de datos MongoDB.
Certificación como MongoDB Certified DBA es deseada

Conocimientos probados en:
Patrones de diseño y modelación en MongoDB.
Lenguaje de consultas de MongoDB.
Utilización del Framework de Agregación de MongoDB.
Índices y optimización de consultas.
Conjuntos de replicación y particionamiento horizontal.
Conocimientos sobre el uso de clústeres de MongoDB en Atlas y MongoDB Enterprise on-prem.
Utilización de Ops Manager y Compass
Desarrollo de aplicaciones que usen MongoDB utilizando los drivers de Python, Javascript, Java y/o C#."
Database administrator,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18374001,"Descripción
PRGX - Headquartered in Atlanta, Georgia, PRGX Global, Inc. is the world's leading provider of recovery audit services. The Company operates and serves clients in more than 30 countries with over 1,600 employees and provides its services to over 75% of the top 20 global retailers. PRGX provides a unique combination of audit, analytics and advisory services that optimizes client financial performance.

Summary

The Database Administrator (DBA) is responsible for providing technical support for the database environment including the publication and organization of databases the day-to-day administration and monitoring of databases, and the assessment and implementation of new technologies. The DBA is challenged to work with architecture, application development, and operations staff to help achieve a stable, state-of-the-art environment that meets current and future business objectives. The DBA also provides and designs tools to assist in the management of the databases.
 Responsibilities

· Deploy, maintain, and monitor large scale PostgreSQL & MongoDB database platforms and clusters.
· Implement monitoring and alerting, backup and recovery processes, and provide system and database performance tuning.
· Provide production issue identification and resolution.
· Fulfill user requests ranging from access control, backup, restore, performance tuning, and database migrations between environments.
· Provide on-call after-hours support for production issues, deployments, and monthly maintenance.
· Contribute to the success of the organization by helping others accomplish job results; learning new skills needed by the team; finding new ways to help the team.
 Qualifications

· At least 3 years of hands-on experience in PostgreSQL 13 or higher and MongoDB 4.4 or higher database administration.
· Previous experience with large scale databases and multiple clusters; also deployment skills and experience will be needed.
· Strong Linux knowledge is required.
· Bachelor's degree in computer science, information technology, or other related field of study
· Has strong scripting skills to develop solutions for system automation, integration, and metadata collection.
· Experience with Ansible or AWX, pgbackrest, pgbouncer, and DBeaver is preferred.
· Experience with MongoDB OpsManager and Studio3T is preferred.
· Knowledge of MSSQL or Oracle is a plus.
· Be able to work with a global DBA team, needs to be self-motivated, and be able to work independently on assigned tasks.
· Needs to have good English communication skills (verbal and written), with ability to write accurate reports/documentation."
MSSQL Database Administrator,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18374017,"Descripción
PRGX - Headquartered in Atlanta, Georgia, PRGX Global, Inc. is the world's leading provider of recovery audit services. The Company operates and serves clients in more than 30 countries with over 1,600 employees and provides its services to over 75% of the top 20 global retailers. PRGX provides a unique combination of audit, analytics and advisory services that optimizes client financial performance.

Summary

The Database Administrator (DBA) is responsible for providing technical support for the database environment including the publication and organization of databases, the day-to-day administration and monitoring of databases, and the assessment and implementation of new technologies. The DBA is challenged to work with architecture, application development, and operations staff to help achieve a stable, state-of-the-art environment that meets current and future business objectives. The DBA also provides and designs tools to assist in the management of the databases.
 Responsibilities

·      Deploy, maintain, and manage Microsoft SQL Server, support monitoring and alerting, support backup and recovery processes, and provide system and database performance tuning.
·      Responsible for SQL server versions from SQL 2016 to SQL 2022.
·      Provide production issue identification, support, and resolution.
·      Fulfill user requests ranging from access control, backup, restore, performance tuning, and database migrations between environments.
·      Provide on-call after-hours support for production issues, deployments, and monthly maintenance.
·      Contribute to the organization's success by helping others accomplish job results; learning new skills needed by the team; finding new ways to help the team.
 Qualifications

·      At least 3 years of hands-on experience in Microsoft SQL Server 2016 or higher database administration.
·      Previous experience with large database and server footprint. Multiple Petabytes
·      Bachelor's degree in computer science, information technology, or other related field of study
·      Has strong scripting skills to develop solutions for system automation, integration, and metadata collection. T-SQL is required and PowerShell is a plus.
·      Experience with ETL tools such as Integration Services, Polybase, or Trino is preferred.
·      Experience with reporting solutions such as Reporting Servers and PowerBI is preferred.
·      Experience with MongoDB, PostgreSQL, or Oracle is a plus.
·      Be able to work with a global DBA team, needs to be self-motivated, and be able to work independently on assigned tasks. 
·      Needs to have good English communication skills (verbal and written), with the ability to write accurate reports/documentation."
SQL - Database Administrator,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18319438,"Descripción
Zurich Capability Center is currently hiring a:
  SQL - Database Administrator
  Summary:
In the SQL Database Administrator position you will oversee the design, implementation, and maintenance of our Microsoft SQL Servers. You will understand software development methodologies and be able to work with development, platform, security, and infrastructure teams to support the databases at Zurich.  The successful candidate will possess very strong troubleshooting skills with the ability to work independently to research and resolve issues. 
Creation and maintenance of end-to-end automation of deployment, monitoring, and infrastructure management of database services.
Design and implement database structures that meet the business requirements while ensuring scalability, reliability, and performance.
Develop custom scripts to increase system efficiency and lower the human intervention time on any tasks.
Understanding of Microsoft Server operating systems.
Understanding of DevOps practices using Azure Devops, git, Visual Studio, etc.
SQL, PowerShell, Bash, Ansible and/or Python preferred for automation.
Perform database tuning, troubleshooting, and optimization to ensure optimal performance and minimize downtime.
Provides consultation to business personnel, the development team and infrastructure team with the design and support of host systems with client and internal applications by participating in project meetings.
Design of Microsoft SQL solutions including architecture, deployment processes, build and configuration standards.
Troubleshooting and solutioning connections of various types like jdbc, odbc and native clients.
Understand of high availability, disaster recovery and storage concepts.
Understanding of database security including implementation, support and evaluating database security in Microsoft SQL.
Lead and mentor junior database administrators and developers.
Stay updated with the latest trends and technologies in database management and security.
The ability to work on a diverse team or with a diverse range of people.
Primary operating hours are 9-5pm CST. Candidate will be part of an on call support team and will need to work off hours on some weekends and holidays.
Educational Requirements:
Bachelor's degree in Computer Science, Information Systems, or other related field with relevant work experience of 5+ years experience in the IT field, or equivalent experience in the IT field.
5+ years of SQL Database Administrator experience
  Other Requirements:
Occasional travel may be required.
  Who we are 
 Looking for a challenging and inspiring work environment where you can make a difference? At Zurich millions of individuals and businesses place their trust in our products and services every day. Our 53,000 employees worldwide form the basis of our success, enabling, businesses and communities to face a world of risk with confidence. Imagine if you could help people do this all over the world. You’d give them confidence and reassurance by protecting what they love most. It’s a big challenge, but you will be supported by a world-class team who believe in helping you to reach your full potential and deliver on our promises. 
So be challenged. Be inspired. Help us make a difference. 
At Zurich we are an equal opportunity employer. We attract and retain the best qualified individuals available, without regard to race/ethnicity, religion, gender, sexual orientation, age, or disability"
DB2 Database Administrator,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18319439,"Descripción
Zurich Capability Center is currently hiring a:
  DB2 Database Administrator
Summary:
In the DB2 Database Administrator position you will oversee the design, implementation, and maintenance of our DB2 on Linux servers. You will understand software development methodologies and be able to work with development, platform, security, and infrastructure teams to support the databases at Zurich.  The successful candidate will possess very strong troubleshooting skills with the ability to work independently to research and resolve issues. 
  Creation and maintenance of end-to-end automation of deployment, monitoring, and infrastructure management of database services.
Design and implement database structures that meet the business requirements while ensuring scalability, reliability, and performance.
Develop custom scripts to increase system efficiency and lower the human intervention time on any tasks.
Understanding of Linux operating systems.
Understanding of DevOps practices using Azure Devops, git, Visual Studio, etc.
SQL, PowerShell, Bash, Ansible and/or Python preferred for automation.
Perform database tuning, troubleshooting, and optimization to ensure optimal performance and minimize downtime.
Provides consultation to business personnel, the development team and infrastructure team with the design and support of host systems with client and internal applications by participating in project meetings.
Design of DB2 solutions including architecture, deployment processes, build and configuration standards.
Troubleshooting and solutioning connections of various types like jdbc, odbc and native clients.
Understand of high availability, disaster recovery and storage concepts.
Understanding of database security including implementation, support and evaluating database security in DB2.
Lead and mentor junior database administrators and developers.
Stay updated with the latest trends and technologies in database management and security.
The ability to work on a diverse team or with a diverse range of people.
Primary operating hours are 9-5pm CST. Candidate will be part of an on call support team and will need to work off hours on some weekends and holidays.
Educational Requirements:
Bachelor's degree in Computer Science, Information Systems, or other related field with relevant work experience of 5+ years experience in the IT field, or equivalent experience in the IT field.
5+ years of SQL Database Administrator experience
  Other Requirements:
Occasional travel may be required.
Who we are 
   Looking for a challenging and inspiring work environment where you can make a difference? At Zurich millions of individuals and businesses place their trust in our products and services every day. Our 53,000 employees worldwide form the basis of our success, enabling, businesses and communities to face a world of risk with confidence. Imagine if you could help people do this all over the world. You’d give them confidence and reassurance by protecting what they love most. It’s a big challenge, but you will be supported by a world-class team who believe in helping you to reach your full potential and deliver on our promises. 
So be challenged. Be inspired. Help us make a difference. 
At Zurich we are an equal opportunity employer. We attract and retain the best qualified individuals available, without regard to race/ethnicity, religion, gender, sexual orientation, age, or disability. "
MySQL Database Administrator,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18403875,"Descripción
Every day, Global Payments makes it possible for millions of people to move money between buyers and sellers using our payments solutions for credit, debit, prepaid and merchant services. Our worldwide team helps over 3 million companies, more than 1,300 financial institutions and over 600 million cardholders grow with confidence and achieve amazing results. We are driven by our passion for success and we are proud to deliver best-in-class payment technology and software solutions. Join our dynamic team and make your mark on the payments technology landscape of tomorrow. 

We are seeking a talented MySQL Database Administrator (DBA) with extensive experience in database engineering, AWS cloud services, and MongoDB. The successful candidate will play a key role in designing, implementing, and optimizing database solutions to support our company's growth and objectives.

Responsibilities

Manage and maintain MySQL databases to ensure optimal performance, reliability, and security. Design and implement database schema, queries, and stored procedures to support business requirements. Optimize database performance through indexing, query optimization, and other tuning techniques. Monitor database health and troubleshoot issues proactively. Implement and manage database backups, replication, and disaster recovery procedures. Collaborate with software developers and system architects to design and implement scalable and efficient database solutions. Evaluate and recommend database technologies and tools to meet evolving business needs. Provide technical guidance and support to team members on database-related matters. Stay updated on emerging technologies and best practices in database administration and cloud computing.

Requirements

Bachelor's degree in Computer Science, Information Technology, or related field. Proven experience as a MySQL Database Administrator or similar role. Strong proficiency in MySQL database management and optimization. Solid understanding of database engineering principles and best practices. Experience with AWS cloud services, including EC2, RDS, and S3. Familiarity with MongoDB database administration is highly desirable. Excellent problem-solving skills and attention to detail. Strong communication and collaboration skills. Ability to work effectively in a fast-paced environment and manage multiple priorities. AWS or MongoDB certifications are a plus.

What Are We Looking For in This Role?
Minimum Qualifications

Bachelor's Degree
Relevant Experience or Degree in: No degree specified
Typically Minimum 4 Years Relevant Exp
With the Installation, Customization, Testing and Maintenance of database systems within a production environment.

What Are Our Desired Skills and Capabilities?

Skills / Knowledge - A seasoned, experienced professional with a full understanding of area of specialization; resolves a wide range of issues in creative ways. This job is the fully qualified, career-oriented, journey-level position.
Job Complexity - Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors. Demonstrates good judgment in selecting methods and techniques for obtaining solutions. Networks with senior internal and external personnel in own area of expertise.
Supervision - Normally receives little instruction on day-to-day work, general instructions on new assignments.
DBMS Knowledge - Extensive Knowledge of multiple database disciplines and technologies
DBMS Utilities - Extensive Knowledge of multiple utilities utilized to manage, monitor and maintain database systems
DBMS Recovery - Extensive Knowledge of recovery technologies for local and geographically disperse systems

Global Payments Inc. is an equal opportunity employer. Global Payments provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex (including pregnancy), national origin, ancestry, age, marital status, sexual orientation, gender identity or expression, disability, veteran status, genetic information or any other basis protected by law. Those applicants requiring reasonable accommodation to the application and/or interview process should notify a representative of the Human Resources Department."
Senior Database Administrator (DBA)- EC,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18381188,"Descripción
Position Title: Senior Database Administrator (DBA)
Location: Querétaro, Hybrid Work
We're seeking a Senior DBA for our team in Querétaro.
Responsibilities:
- Develop and maintain public cloud infrastructure.
- Provide support to production team and cross-product services.
- Automate administrative tasks and incident responses.
- Ensure security and reliability practices.
- Improve existing infrastructure with self-healing and auto-scaling capabilities.
- Collaborate with product owners on future releases.
- Monitor KPIs/KRIs and develop plans for corporate objectives.
Requirements:
- Minimum 10 years' experience.
- Bachelor's degree in Computer Science or similar.
- Strong experience in database administration, capacity and performance analysis, HA/DR environment configuration, backup and recovery, monitoring tools, automation (Ansible), scripting (Shell Script/PowerShell), and public cloud environments.
- Proficiency in English.
- Knowledge of Python, PHP, and agile methodologies preferred."
"DBA Bilingüe, presencial",https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18400355,"Descripción
Alia Integrando Talento, empresa de Tecnología, busca un DBA bilingue con al menos 3 años de experiencia para un esquema de trabajo presencial. El candidato seleccionado será responsable de supervisar y mantener la base de datos, garantizando su integridad, seguridad y rendimiento óptimo.
Responsabilidades:
Supervisar y mantener la base de datos.
Garantizar la integridad, seguridad y rendimiento óptimo de la base de datos.
Administrar bases de datos SQL Server.
Implementar medidas de alta disponibilidad y recuperación de desastres.
Realizar respaldos y restauraciones de bases de datos.
Realizar tareas de mantenimiento de bases de datos.
Requisitos:
3+ años de experiencia como DBA.
Conocimientos de SQL Server, Microsoft AnalysisServices e Integration Services.
Experiencia en seguridad de bases de datos.
Experiencia en medidas de alta disponibilidad y recuperación de desastres.
Experiencia en respaldo y restauración de bases de datos.
Experiencia en tareas de mantenimiento de bases de datos.
Inglés avanzado indispensable (se colabora con equipos de IT en EU)
Ubicación:
Lomas de Chapultepec
Beneficios:
Salario competitivo.
Oportunidad de crecimiento y desarrollo profesional.
Ambiente de trabajo colaborativo.
Beneficios adicionales."
DBA administrador de bases de datos,https://www.occ.com.mx/empleos/de-database-administrator/en-Mexico/?page=1&jobid=18380522,"Descripción
¡Nos encontramos en búsqueda de un administrador de bases de datos!

Requisitos del puesto

Licenciatura en curso, trunca o concluida en sistemas, tecnologías de la información o afín.
Experiencia en programación de base de datos de al menos 2 años.
Conocimientos de SQL, MySQL y C# a nivel Medio.

Responsabilidades del puesto

Análisis de datos.
Diseñar, modelar, crear e implementar bases de datos. (Definición, Estructura, Acceso, Seguridad).
Mantener bases de datos SQL en SQL Server y Azure SQL Database.
Scripting.
Manejo de Seguridad de Datos.
Monitoreo de desempeño de la base de datos.
Monitoreo de desempeño de consultas.
Soporte a equipo de desarrollo.

Prestaciones y beneficios adicionales

Sueldo mensual base
Proyecto por 1 año.
Modalidad de trabajo presencial.
Oportunidades de capacitación y desarrollo profesional.
Ambiente laboral colaborativo y motivador.

Ubicación: Saltillo, Coahuila."
