Job_Title,Job_Description,Job_Url
ING DE SOPORTE PARA BASE DE DATOS DE NUBE,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18398737,"Descripción
Ingeniero de Soporte Base de Datos de Nube
(Ciudad de México)
 En Banorte buscamos talento único, fuerte y extraordinario, que impulse la transformación e innovación del país, convirtiéndonos en un gran aliado para crecer fuerte con México.
 Estamos convencidos que la combinación de solidaridad, innovación, respeto, lealtad y responsabilidad es la fórmula perfecta para ser el mejor equipo del sector financiero.
  Objetivo del puesto:
 El Ingeniero de Soporte de base de datos en nube debe ser un especialista en bases de datos de nube con experiencia en diseño, implementación y gestión de bases de datos en entornos de nube. Especializado en plataformas de bases de datos de nube de diferentes Hyperscalers, Azure y Google Cloud.
 Requisitos:
 Amplia experiencia en la implementación y gestión de bases de datos relacionales y no relacionales en la nube, incluyendo la migración de bases de datos existentes a entornos de nube.
Profundo conocimiento de las plataformas de bases de datos en la nube más populares, incluyendo, Azure, Google Cloud, y otros.
Experiencia en el diseño e implementación de esquemas de bases de datos optimizados para la nube, teniendo en cuenta aspectos como la escalabilidad, la disponibilidad y el rendimiento.
Habilidad para realizar ajustes de rendimiento y optimización de consultas para mejorar el rendimiento de las bases de datos en la nube.
Experiencia en la implementación de estrategias de copias de seguridad y recuperación de desastres para bases de datos en entornos de nube.
Conocimiento de prácticas de seguridad en bases de datos, incluyendo el cifrado de datos, la gestión de accesos y la aplicación de políticas de seguridad.
  Funciones Principales:
 Diseño e Implementación de Bases de Datos en la Nube: Diseñar esquemas de bases de datos optimizados para la nube y realizar la implementación de bases de datos en plataformas de nube como Azure o Google Cloud.
Migración de Bases de Datos: Liderar el proceso de migración de bases de datos existentes a entornos de nube, asegurando una transición suave y sin interrupciones de los servicios.
Optimización de Rendimiento: Realizar ajustes de rendimiento y optimización de consultas para mejorar el rendimiento de las bases de datos en la nube, asegurando un acceso rápido y eficiente a los datos.
 Gestión de Copias de Seguridad y Recuperación de Desastres: Implementar estrategias de copias de seguridad y recuperación de desastres para proteger los datos y garantizar la disponibilidad continua de los servicios.
Seguridad de Bases de Datos: Implementar medidas de seguridad en las bases de datos en la nube, incluyendo el cifrado de datos, la gestión de accesos y la aplicación de políticas de seguridad para proteger la integridad y confidencialidad de los datos.
Colaboración y Soporte Técnico: Trabajar en estrecha colaboración con otros equipos técnicos, incluyendo desarrolladores, administradores de sistemas y arquitectos de soluciones, para proporcionar soporte técnico y resolver problemas relacionados con las bases de datos en la nube.
 Conocimientos requeridos
Conocimientos de programación: Debe tener habilidades sólidas de programación para escribir código y scripts.
Git
Docker
Kubernetes y Openshift
Scripting Shell (bash, powershell)
Conocer servicios cloud (Azure/GCP)
Java
.net
Idiomas: Español e Ingles deseable. 
Disponibilidad para viajar: No es necesaria
Disponibilidad para cambio de residencia: La plaza es en CDMX
 Haz clic en el botón aplicar y no pierdas la oportunidad de desarrollar todo tu potencial.
  En Banorte actuamos bajo un principio de igualdad de oportunidades. Por ello no discriminamos por edad, origen étnico, nacionalidad, género, orientación sexual, estado civil, condición social, estado de salud, creencias religiosas, doctrina política o discapacidad."
Data Platform Support Engineer,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18363017,"Descripción
¡En Praxis te estamos buscando!
-100% remoto
-Inglés conversacional indispensable

Data Platform Support Engineer
Requisitos:
Al menos 5 años de experiencia en proyectos de soporte de ingeniería de datos.
Experiencia laboral con Airflow, AWS S3, Python, Pyspark, Glue, Snowflake DW.
Experiencia trabajando con incidentes y transmitiéndolos a otros miembros del equipo de datos para que los solucionen.
Solución de problemas básicos."
Ingenieros de soporte a servidores,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18396020,"Descripción
INGENIEROS DE SOPORTE A SERVIDORES

Formación tecnológica, con alto conocimientos en servidores Windows, en ambientes físicos y virtuales con VMware/Hyper-V. Orientado al análisis y resolución de problemas, así como aplicación de buenas prácticas de administración. Con la habilidad de trabajar bajo presión con sentido de urgencia y la capacidad de dar seguimiento oportuno

Cumplimiento de solicitudes en base a los procesos definidos.                                                     
Notificar sobre todos los incidentes mayores                                                  
Revisión periódica el estado de los incidentes abiertos sin resolver y sus problemas relacionados.                                                
Realizar el mantenimiento periódico y de emergencia de los sistemas de acuerdo con los procedimientos establecidos.                                                       
Realizar apagados y reinicios de servidores, base de datos y servicios.                                                      
Gestión de granjas de equipos VMware / Hyper-V o cualquier otra herramienta de virtualización que implemente .                                                  
Reinicio de las sesiones de VMware / Hyper-V de los usuarios                                                      
Supervisión del uso de recursos tanto físicos como virtuales (CPU, memoria, entre otros).                                                 
Mantenimiento de aplicaciones VMware / Hyper-V (instalación de parches, hotfixes, service pack del fabricante VMware / Hyper-V                                                     
Administración del Sistema Operativo Huésped y las máquinas virtuales ahí alojadas

Prestaciones de ley y superiores
rotativos de turnos
esquema remoto"
Ingeniero de Soporte,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18361815,"Descripción
¡Buscamos Talento!

INGENIERO DE SOPORTE TÉCNICO - POLANCO

Quálitas aseguramos Autos, Cuidamos Personas

Propósito principal:
Realizar tareas de soporte técnico a equipo de cómputo, periférico y telefónico, aplicando mantenimientos preventivo-correctivos o configurando los equipos de acuerdo a las solicitudes y necesidades autorizadas, a fin de entregar al usuario final las herramientas necesarias para la ejecución de sus actividades (siempre y cuando las herramientas sean autorizadas y con licencia suministrada por la misma empresa).
 Requisitos:
Escolaridad: Ing. Informática Administrativa y/o Sistemas Computacionales.
Experiencia mínima de 2 años como ingeniero de soporte

Responsabilidades:






Configurar el sistema operativo y aplicaciones de los equipos de cómputo, asegurando la protección de los datos(antivirus), seleccionando los sistemas requeridos o necesarios para el desempeño del ocupante del equipo.
Realizar tareas de mantenimiento preventivo y correctivo a equipos de cómputo y periféricos (impresoras, escáner, etc.), según solicitudes o según plan (anuncia el mantenimiento al usuario), para coadyuvar al buen funcionamiento de los equipos y asegurar la continuidad de la operación.
Brindar atención vía remota y en sitio a usuarios, recibiendo los reportes asignados por el CAST y analizando las solicitudes y/o necesidades de equipo de cómputo, periféricos o telefónicos (respaldos, configuraciones, etc.), con el fin de gestionar el apoyo y brindar soluciones que coadyuven a la correcta operación.
Actualizar la base de datos del inventario, registrando en sistema de inventarios los datos de los equipos de cómputo (usuario responsable, serie, reasignaciones, bajas, etc.), para controlar y conocer la ubicación de los equipos de cómputo.
Elaborar manuales para la utilización de herramientas ofimáticas, seleccionando los temas fundamentales de las herramientas a utilizar, para establecer los lineamientos que se deben seguir.
Brindar apoyo en la reinstalación de los equipos de cómputo y servicios periféricos cuando las diferentes áreas de la empresa lo requieran por cambios de oficina (Mudanza).


Ofrecemos:
Sueldo $19,000+ Prestaciones de Ley y superiores (Vacaciones 10 días,30 días de aguinaldo, SV, SGMM, PTU, becas escolares, universidad interna, entre otras) + 100% nomina+ Contratación directa con la empresa+ Atención psicológica para colaboradores+ Plan de carrera
Horario: lunes a viernes de 08:30am –6:30 pm
Zona de trabajo: POLANCO
Si estás interesado o interesada, postúlate por este medio.

En nuestra empresa estamos comprometidos a brindar igualdad de oportunidades, respetando la diversidad de las personas, somos incluyentes y valoramos el talento

“En nuestra empresa no realiza pruebas de embarazo ni VIH”"
Protection & Automation - Electrical Designer,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18333526,"Descripción
We are looking for dedicated and talented people who tackle ever-changing challenges, customer needs, and questions from colleagues with clever concepts and creativity. We embrace change and work with curious minds re-inventing the future of work. Join us and let us focus together on what's truly important: making lives better with new ideas and the latest technology around the world.

Why you'll love working for Siemens!
• Freedom and a healthy work- life balance– Embrace our flexible work environment with flex hours, telecommuting and digital workspaces.
• Solve the world's most significant problems – Be part of exciting and innovative projects.
• Engaging, challenging, and fast evolving, cutting edge technological environment.
• Opportunities to advance your career and mentorship programs on a local and global scale.
• Contribute to our social responsibility initiatives focused on access to education, access to technology and sustaining communities and make a positive impact on the community.
• Participate in our celebrations, social events and offsite business events.
• Opportunities to contribute your innovative ideas and get rewards for them!
• Diversity and inclusivity focused.

Here at Siemens, we take pride in enabling sustainable progress through technology. We do this through empowering customers by combining the real and digital worlds. Improving how we live, work, and move today and for the next generation! We know that the only way a business thrive is if our people are thriving. That's why we always put our people first. Our global, diverse team would be happy to support you and challenge you to grow in new ways. Who knows where our shared journey will take you? 

Siemens Electrification and Automation is seeking a Substation Automation and Protection Panel Design Engineer to support Siemens customers in designing, developing, and manufacturing world-class power protection and automation panels of substation Protection, automation systems and applications that incorporate Siemens or other automation products.

We are looking for Power System Protection Engineers. This position will be based at Balvanera, QRO.

Role Description
• Design Electrical, Mechanical and System Drawings of Protection and Control Panels in accordance with customer specifications and guidelines, using design software and drawing tools.
• Develop logic diagrams and protection schemes based on technical drawings and further customer specifications.
• Prepare (FAT & SAT) Factory & Site Acceptance Test procedures for protection systems projects.
• Collaborate with a team of professionals to develop electrical Systems that meet industry standards and customer requirements.
• Be one of our primary customer interfaces, including trouble shooting and commissioning support.
• Provide technical support throughout the project lifecycle, including design, implementation, and commissioning phases.
• Occasionally provide technical support to sales team with development of project scope of work, sales estimates, and proposals.

You'll win us over by having the following qualifications: 

Basic Qualifications: 
• A bachelor's degree in electrical engineering.
• A minimum of 3 years of experience in electrical design in the Power Systems protection and Control Engineering Field.
• Proven proficiency working with Engineering Base (EB) Software and the Global Engineering Library (GEL) database for design. 
• Experience working with AutoCAD/AutoCAD Electrical.
• Advanced Knowledge of Microsoft Visio tools.
• Advanced Knowledge of Microsoft Office.
• Applied knowledge of transmission and distribution numerical relay and protection; capable of designing and specifying them; capable of approving and supervising the designs of other engineers.
• Knowledge of Siemens, GE, SEL or ABB, and others relay/automation products and associated software.
• Communication Network Technologies, including Design and hardware configuration. 
• Communication protocols such as IEC61850 (MMS/GOOSE/SMV), DNP, Modbus, IEC103, IEC101, IEC104, Profinet, Profibus.
• Knowledge of ANSI standards, IEC standards.

Preferred Qualifications: 
• Knowledge of Protection and Automation Systems of Electrical Systems.
• Knowledge of Global Engineering Library (GEL) and creation of local Database, using standard worksheets, EB Table, and Cabinet Routing with Engineering Base Software. 
• Applied knowledge of Medium and High Voltage Protection
    a. Medium voltage protection schemes (including design of transfer schemes and reverse interlocking schemes) 
    b. Generator Protection
    c. Line Differential and Distance Protection
• Knowledgeable on communication protocols such as IEC61850, DNP, Profibus, OPC, Modbus, IEC101, IEC104.
• C Programming Language experience.
• Project Lead experience.

Equal Employment Opportunity Statement
Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.

A strong candidate has been identified however other suitable applicants are e to apply."
Inside Sales Engineer,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18360342,"Descripción
Support a district inside sales team in exceeding market service levels on quotation and budgetary requests. This position is tasked with learning basic products, pricing, and quoting processes and tools. Develops knowledge of local market conditions, customers and processes/procedures, as well as industry knowledge   
 Job Responsibilities
Utilize commercial and technical knowledge to assist with the preparation of quotation packages for simple to moderate complex projects
Help drive on time response to quote in their respective district
Support on the closing of orders 
Possess the ability to interpret customer requirements/scope, match products to customer specifications/drawings and ensures that the quote is technically compatible by communicating with the Inside and Outside Sales Engineers and potentially customers
Support the maintenance of quotation/project database
Support district lead nurturing 
Manage order handoff process between sales to ensure proper execution of services projects
Act as a technical and commercial resource to inside/outside sales, customers and distributors (as deemed appropriate) for quotations and project management of power distribution, power protection, and power equipment maintenance; including electrical solutions from commercial assembly applications to residential components. 
Review and interpret customer needs on plans and specifications.
Determine the appropriate bill of material, most competitive price level and shipment cycle within the market segment pertaining to each specific negotiation
Proactively facilitate timely solutions to customer issues by utilizing available resources or creating procedures for resolution
Take direction in establishing and maintaining the highest possible commercial relations with present and potential customers (internal and external) ""   

 Qualifications:
Education level required: Bachelor's degree in Engineering from an accredited institution
Minimum sales experience (1-2 years) 
Technical knowledge:
Commercial experience (Electrical assemblies knowledge a plus)
Sales and/or marketing experience 
Ability to work in a team-oriented environment 
Strong communication skills (Fully fluent in English- Read/Write/Speak)
Fully bilingual 
Working knowledge of Eaton proprietary software (Bidmanager, Vista, Order Center, C360)
Experience or exposure to a manufacturing organization 
 "
Cloud Linux- Support Engineer Level 2,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18276550,"Descripción
Centris is a U.S. headquartered customer contact hub offering bilingual (English &amp; Spanish) call center, back-office, and support services with three nearshore locations. Headquartered in Texas, Centris has become one of the most rapidly growing inbound customer service hubs in Mexico with locations in Monterrey, Aguascalientes, and Queretaro.

Position Overview
As a Support Engineer, you will work with leading-edge software and cloud technologies. You will also assist customers during service-related events, including creating support tickets and answering basic technical questions related to their environment and the company's services. As needed, you will also be the primary contact who will provide coordinated escalation to advanced technical support engineers to resolve open tickets.

Main Responsibilities
Implement and support complex scalable application infrastructure.
Install, Configure, Deploy, Standardize, Automate, Update, Support, and Troubleshoot services for customers such as:
LAMP Stack: Linux, Apache, MySQL, PHP
Database Services (MySQL, Redis)
Experience in debugging Ruby, Bash, or PHP
Host &amp; network-based firewalls.
DNS
AWS, Google and other cloud architectures

Position Requirements
Advanced English level
Experience in Linux system administration having thorough knowledge and love of Linux operating system (preferably a Debian distribution)
Strong experience with LAMP stacks: Linux, Apache, MySQL, and PHP

Education and Experience
Bachelor's degree in computer science, engineering, or equivalent work experience
Experience with e-commerce applications – Magento, Drupal, Redis, WordPress, WooCommerce and others.
Experience with LAMP stacks: Linux, Apache, MySQL, and PHP

Perks of working with us:
Weekly payment
$2,000.00 mxn HO bonus.
Law benefits
Great working environment
Wellness Programs
Career development opportunities
Remote Work but you will need to work on site only 2 days per month."
Linux/Cloud Support Engineer Level 3,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18276579,"Descripción

Centris is a U.S. headquartered customer contact hub offering bilingual (English &amp; Spanish) call center, back-office, and support services with three nearshore locations. Headquartered in Texas, Centris has become one of the most rapidly growing inbound customer service hubs in Mexico with locations in Monterrey, Aguascalientes, and Queretaro.

Position Overview

As a Support Engineer, you will work with leading-edge software and cloud technologies. You will also assist customers during service-related events, including creating support tickets and answering basic technical questions related to their environment and the company's services. As needed, you will also be the primary contact who will provide coordinated escalation to advanced technical support engineers to resolve open tickets.

Main Responsibilities

Implement and support complex scalable application infrastructure.
Install, Configure, Deploy, Standardize, Automate, Update, Support, and Troubleshoot services for customers such as:
LAMP Stack: Linux, Apache, MySQL, PHP

Database Services (MySQL, Redis)

Experience in debugging Ruby, Bash, or PHP
Host &amp; network-based firewalls.
DNS
AWS, Google and other cloud architectures
Position Requirements

Advanced English level

Experience in Linux system administration having thorough knowledge and love of Linux operating system (preferably a Debian distribution)
Strong experience with LAMP stacks: Linux, Apache, MySQL, and PHP
Education and Experience

Bachelor's degree in computer science, engineering, or equivalent work experience
Experience with e-commerce applications – Magento, Drupal, Redis, WordPress, WooCommerce and others.
Experience with LAMP stacks: Linux, Apache, MySQL, and PHP
Perks of working with us:

Weekly payment
$2,000.00 mxn HO bonus.
Law benefits
Great working environment
Wellness Programs
Career development opportunities
Remote Work but you will need to work on site only 2 days per month.
 "
Linux/Cloud Support Engineer Level 1,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18276556,"Descripción

Centris is a U.S. headquartered customer contact hub offering bilingual (English &amp; Spanish) call center, back-office, and support services with three nearshore locations. Headquartered in Texas, Centris has become one of the most rapidly growing inbound customer service hubs in Mexico with locations in Monterrey, Aguascalientes, and Queretaro.

Position Overview

As a Support Engineer, you will work with leading-edge software and cloud technologies. You will also assist customers during service-related events, including creating support tickets and answering basic technical questions related to their environment and the company's services. As needed, you will also be the primary contact who will provide coordinated escalation to advanced technical support engineers to resolve open tickets.

Main Responsibilities

Implement and support complex scalable application infrastructure.
Install, Configure, Deploy, Standardize, Automate, Update, Support, and Troubleshoot services for customers such as:
LAMP Stack: Linux, Apache, MySQL, PHP

Database Services (MySQL, Redis)

Experience in debugging Ruby, Bash, or PHP
Host &amp; network-based firewalls.
DNS
AWS, Google and other cloud architectures
Position Requirements

Advanced English level
?
Experience in Linux system administration having thorough knowledge and love of Linux operating system (preferably a Debian distribution)
Strong experience with LAMP stacks: Linux, Apache, MySQL, and PHP
Education and Experience

Bachelor's degree in computer science, engineering, or equivalent work experience
Experience with e-commerce applications – Magento, Drupal, Redis, WordPress, WooCommerce and others.
Experience with LAMP stacks: Linux, Apache, MySQL, and PHP
Perks of working with us:

Weekly payment
$2,000.00 mxn HO bonus.
Law benefits
Great working environment
Wellness Programs
Career development opportunities
Remote Work but you will need to work on site only 2 days per month.
 "
Ingeniero de Soporte a Aplicaciones Jr,https://www.occ.com.mx/empleos/de-database-support-engineer/en-Mexico/?page=1&jobid=18314401,"Descripción
¡En Lumina Software tenemos una oportunidad laboral para ti!

Envíanos tu CV actualizado y te contactaremos de inmediato.

Ingeniero de Soporte a Aplicaciones JR
 Requerido:
· Carrera profesional en el área de Informática
· 1 año de experiencia en soporte a aplicaciones
· Conocimiento básico de SQL Server, Oracle o MySQL
 · Experiencia en:
· Desarrollo de consultas y scripts con SQL
· Ejecución de consultas y operaciones sobre base de datos 
· Atención a usuarios
· Atención y seguimiento a tickets de soporte
 Deseable:
· Conocimiento de metodología Agile o Scrum"
