Job_Title,Job_Description,Job_Url
Digital Silicon Test Engineer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18400274,"Descripción
General Summary
The Product Development and Test Engineering group is responsible for Design validation, characterization, and production deployment of multiple leading-edge IPs for 5G products in the advanced FinFET semiconductor process technologies. In this role, you will be a member of a technical team working closely with IC Design, Software, Systems and Operations engineering to enable the high-volume manufacturability of the product. Responsibilities for this position includes the operation of the ATE to validate and debug the new product functionality, test HW/SW development, characterize across corner conditions and releasing cost-effective production test solutions for mass manufacturing. The individual selected for this position will need to be able to work in a fast-paced and dynamic environment and be passionate about delivering quality solutions.
Preferred Qualifications
Master's Degree in Electrical, Electronics, Mecatronica, Computer Science or related fields.
Experience with circuit design (e.g., digital, analog, RF), hardware engineering and hardware design (schematic capture and circuit simulation) or related fields
>1 year of experience in product development, test validation and high-volume production activities related to System on Chip (SOC) - Compute, Data Center, Mobile, Automotive, IoT areas.
VLSI technologies – Digital Design, CPU architecture and organization and Semiconductor process.
Domain knowledge in one or more of these areas is a plus: CPU, Logic Test (ATPG), Memory, (SRAM, DRAM interfaces), High Speed Serdes, Sensor validation and its corresponding test methodologies.
CMOS Analog, and Mixed-Signal circuits such as ADC, DAC, PLL, LDO, LNA, Mixers, Power Amplifiers, and their performance measurements.
Experience handling measurement test equipment (oscilloscope, signal generator, spectrum analyzer, time interval analyzer, logic analyzer, network analyzer, ATE, Rohde & Schwarz).
Experience with Python/C++/Java/Assembly/Embedded SW
Design for test (DFT) techniques and structural tests such as Scan/ATPG, JTAG and memory BIST is a plus.
Hands on experience with data analysis software (JMP, National Instruments, Exensio, etc.) is a plus.
Experience with Automated Test Equipment: Advantest or Teradyne is a plus.
Familiarity with ARM, Arduino, Microcontroller architecture is a plus
and measurement instruments such as oscilloscopes, spectrum analyzers, RF tools, etc. ,2+ years' experience utilizing schematic capture and circuit simulation software.
Physical Requirements
Frequently transports between offices, buildings, and campuses up to ½ mile.
Frequently transports and installs equipment up to 5 lbs.
Performs required tasks at various heights (e.g., standing or sitting).
Monitors and utilizes computers and test equipment for more than 6 hours a day.
Continuous communication which includes the comprehension of information with colleagues, customers, and vendors both in person and remotely.
Minimum Qualifications
Education: Master's - Computer Science, Bachelors – Electrical Engineering; PhD degrees is a plus.
Frequently transports between offices, buildings, and campuses up to ½ mile.
Frequently transports and installs equipment up to 5 lbs.
Performs required tasks at various heights (e.g., standing or sitting).
Monitors and utilizes computers and test equipment for more than 6 hours a day.
Continuous communication which includes the comprehension of information with colleagues, customers, and vendors both in person and remotely.
US Visa is a must."
design engineer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18035704,"Descripción
Company Description
Bosch Rexroth is one of the world's leading providers of drive and control technologies. Regardless of the motion task that customers face anywhere in the world, they will always find a Bosch Rexroth team with the local experience and the appropriate know-how from more than 30 industries and all drive and control technologies. Our associates take on their customers' challenges with passion and persistence until the right solution is found. This is what makes Bosch Rexroth a strong, reliable partner for Mobile Applications, Machinery Applications and Engineering and Factory Automation. As the Drive & Control Company, we develop, produce, and distribute our components and system solutions in over 80 countries. You'll find our drive and control technology in a wide variety of applications: From excavators and tractors to CNC woodworking and metal-cutting machines. You'll find us in automotive factories, packaging systems for the food industry, medical devices and laboratories.
Job Description
Series development of design solutions and maintenance of current products for linear technology products for the North American market
Be a first line of contact for Engineering Design issues in manufacturing.
Act as a connection point between local manufacturing teams & the R&D team based in Charlotte, NC.
Drawing and 3D model creation (EBZ, DMU, GEZ), changes and checking
Cost reduction by design initiatives
Support and approve ECR process/initiation
Support of other functions, for example Purchasing for resourcing activities; Technical Sourcing participation, Component localization: PPAP review and approval
Product risk evaluation for concessions, concession approval
Initiate and create DVP&R for product validations
Test Report Database input; creation of test reports for customers; test report approval
Product training for new associates
Develop, review and/or revise departmental work standards, procedures and instructions as required
Support QMM function for 8D, data collection, preparation and visualization
Root cause analysis to solve complex Linear Component and/or Module problems
Implement analytical tools and methods for problem solving product engineering
Qualifications
Bachelor or Master of Science degree in a mechanical discipline or equivalent education and/or experience.
Demonstrated knowledge and proficiency in linear technologies of engineering fundamentals with focus on implementing Linear Motion technologies, including Ball Screws, Linear Bearings, Linear Motors, Linear motion modules, and electromechanical drive systems
Understand cause & effect relationship of component interactions
CAD design experience, (Creo Parametric, preferred)
SAP experience
PC experience with a good working knowledge of Microsoft Office software and SAP
Must have demonstrated problem solving skills and good communication skills, both verbal and written
Fluent in English and Spanish verbally and in writing, German knowledge a plus
Additional Information
BOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics) Initiatives
Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 17,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates. Get to know more about how we work at Bosch and our new open positions on our social networks
• Facebook: Bosch Talento México
• Instagram: Bosch Campus México
• LinkedIn: Bosch México"
Controls engineer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18408860,"Descripción
Position Summary:
Provides support to the daily operations of the plant. Support will involve the interaction with the Production, Maintenance and Information Systems personnel to assure that optimum performance levels are achieved throughout the plant . While maintaining production, this individual will also be responsible for enhancing equipment operation through capital project management resulting in improved product quality and reduced cost.

Responsibilities of Position:
Support and maintain highly integrated machine control systems including closed loop test instrumentation, intelligent shop floor TCP/IP networks, ink jet and laser marking equipment, robotic assembly systems, RFID tracking devices and distributed IO PLC architectures.
Integral member of the production support team, responsible for training maintenance and production personnel on various machine functions including production, diagnostics, calibration and machine verification modes.
Integral member of PFMEA team.
Responsible for implementation of new process poka-yokes as required based on 8-D, PFMEA or similar analysis.
Performs work with adherence to safety procedures and best practice standards.
Involved in the commissioning of new manufacturing processes.
Other duties and activities as assigned by the Engineering Manager.
Skill Requirements:
Minimum of 5 years experience working with PLC-based machine control systems.
Ability to program PC-based automation, PLC's and HMI's for automated equipment.
Prior experience interfacing and trouble shooting TCP/IP networks.
Ability to maintain and troubleshoot automated control systems and components; PLC's variable speed drives, robots, hydraulics/pneumatics, temperature, vision, etc.
Ability to read, analyze, and interpret technical procedures, specifications and controls schematics.
Excellent verbal and written communication skills, with the ability to train plant production and maintenance personnel in the proper operation and troubleshooting of production equipment.
Ability to analyze and solve problems using the 8D or similar approach.
Working familiarity with statistical problem solving and statistical process control techniques.

Education and Experience Requirements:
Bachelor's degree in electrical engineering, Computer Science or related field; or a combination of education and work experience.
Three years' experience in automotive manufacturing environment a plus.
English proficiency
Ability to travel"
Test Engineer of Machinery / Python Developer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18380500,"Descripción
¡At Adecco, we are hiring! Collaborate with us in a Software Development Company.


We are looking for an Test Engineer of Machinery / Python Developer.


¿What we offer?


• Salary 70 to 90 before of taxes per month.
• Law Benefits.
• Christmas Bonus 30 days.
• Saving fund.
• Grocery coupons.
• Medical insurance.
• Presential work scheme: 100% at Office.



Profile ansponsabilities:


-Bachelor's Degree prefed in the following subject areas: Computer Science, Information Technology or related.
-1+ year of experience with Python programming.
-5 years of experience with Installation and Testing of machinery for new lines.
-Experience developing software and test solutions in a manufacturing environment.
-Support to production in order to assure optimal condition for machinery.
-Define Maintenance Routines.
-Debug of Test Scrips provided by client.
-Debugging of automatic machines.
-Strong Powershell Scripting capabilities
-Broad software Development skills and capabilities across multiple languages: C#, C++, and Java.
-Fluent written and spoken English.




If you are interested please contact with me on this site or by LinkedIn: Juan Del Valle."
Product Engineer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18361499,"Descripción
Profile:

Bilingual Industrial Designer
3 years of experience in manufacturing, production, and operation of Office Furniture
Availability to travel

Activities:

• Selection of potential suppliers
• Processing of orders and products in ERP system
• Coordinate delivery processes with Suppliers and Dealers
• Work closely with the Supplier Customer Service Department
• Support to LATAM Dealers on product price, specifications and special inquiries
• Work with North America, Asia Pacific, Manufacturing Facilities and Regional Sales team, on corrective actions of Dealers in the region
• Work on quality processes
• Training and technical support of products to Dealers including installation, specifications, guarantees, etc.
• Support of quotes and orders from other manufacturing locations Globally with product specifications, technical characteristics, forecast report and quality issues
• Assist Dealers in the quotation process for key accounts or clients in terms of technical specifications, quality and logistics as well as warehouse costs
• Prepare cost analysis

Skills and Knowledge:

• Management of ERP (planning and resource system)
• Excellent verbal and written communication in English and Spanish
• Excellent PC skills required, AutoCAD, Office specifically skills with spreadsheets and word processing software applications, ERP experience preferred
• Ability to read and interpret shop plans or architectural drawings
• Experience in import, export and international logistics
• Process monitoring and continuous improvement"
Automation Engineer / Programmer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18359321,"Descripción
Descripción del trabajo:
Estamos buscando un Ingeniero en Automatización que pueda formar parte de nuestro equipo dinámico. En este puesto serás responsable del desarrollo, prueba y perfeccionamiento de proyectos de automatización destinados a optimizar los procesos de fabricación para varios números de piezas (PNs) en la industria aeroespacial.
Utilizarás tu experiencia en Software Cell, CAD/CAM, programación NC, y macros FANUC para impulsar la eficiencia, la precisión y la innovación en nuestras operaciones de producciones.

Responsabilidades:
Desarrollo de Proyectos de Atuomatización: Dirigir el desarrollo de proyectos de automatización enfocados en optimizar los procesos de fabricación para diferentes números de piezas (PNs), utilziando Software Cell (Software Trutop Cell), programación NC, y técnicas de programación robótica.
Pruebas y Perfeccionamiento: Realizar pruebas exahustivas, perfeccionamiento de programas de automatización para garantizar un rendimiento, precisión y fiabilidad óptimos en entornos de producción.
Uso de CAD/CAM: Utilizar el Software CAD/CAM para preparar rápidamente modelos de piezas en 3D y automatizar los procesos de programación NC, reduciendo el tiempo de mecanizado y mejorando la eficacia.
Programación Robótica: Desarrollar e implementar programas robóticos utilizando macros FANUC y otros lenguajes de programación para automatizar diversas tareas en el proceso de fabricación, como la manipulación de materiales, la soldadura y el montaje.
Colaboración: Colaborar estrechamente con equipos multifuncionales, incluyendo ingenieros de fabricación, operadores de CNC, diseñadores de herramientas y desarrolladores de software para diseñar e implementar soluciones de automatización integradas que cumplan con los requisitos de producción y los estándares de calidad.
Mejora Continua: Identificar oportunidades de mejora y optimización de procesos en proyectos de automatización e implementar mejoras para aumentar la productividad, la calidad y la rentabilidad.
Documentación: Preparar y mantener la documentación relacionada con los proyectos de automatización, incluidos los códigos de programa, la documentación de procesos y los informes de rendimiento.
Capacitación y Apoyo: Proporcionar capacitación y apoyo a los equipos de producción sobre el uso de sistemas y programas de automatización, garantizando una implementación y funcionamiento sin problemas.

Requisitos:
Título en Ingeniería Mecánica, Ingeniería Eléctrica, Ingeniería en Mecatrónica, o un campo relacionado. 
Un mínimo de 3 años de experiencia en ingeniería de automatización, con especialización en robótica y automatización CNC en la industria aeroespacial o manufacturera.
Dominio del software Cell (software Trutop Cell), software CAD/CAM, programación NC y técnicas de programación robótica.
Experiencia con robótica FANUC y familiaridad con las macros FANUC.
Gran capacidad analítica y de resolución de problemas, con capacidad para solucionar problemas y optimizar programas de automatización.
Excelentes habilidades de comunicación y colaboración, con capacidad para trabajar eficazmente en equipos multidisciplinares tanto en español como en inglés.
Conocimiento de los procesos, normas y reglamentos de fabricación aeroespacial.
Se valorará la experiencia en la gestión de proyectos y en la dirección de proyectos de automatización desde la concepción hasta la puesta en marcha."
Process Chemical Engineer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18263461,"Descripción
Ensure that the operation obtains a process-based approach by applying continuous improvement, implementing, and coordinating projects that ensure an efficient operation and complying with the company's indicators, satisfying the requirements of our internal and external clients.
Responsible to oversee and troubleshoot chemical mixes, compounds, and adhesives used in manufacturing processes.
Perform hands-on troubleshooting with existing manufacturing equipment, fixtures, and processes.
Develop standard work systems.
Balancing manufacturing lines based on time and motion taking studies.
Execute continuous improvement activities in cross-functional teams.
Guarantee the use of continuous improvement tools for the implementation of projects.
Develop and implement new products and processes, using the SPC and tools provided by ""Core Tools"".
Design work tooling (SRD, Hand Tools, Molds, etc.)
Document manufacturing processes according to our document control system.
Develop solutions using problem-solving methodologies.
Ensure the training of new manufacturing processes for operating personnel.
Coordinate transfer of production lines or machinery.
Coordinate transfer of Parker products from business units.
Investigate and plan investment projects for new technologies.
Run manufacturing samples for external clients.
Ensure compliance with the specifications of our customers.
Provide excellent service to internal and external customers.
Review and update manufacturing process documents and standard work as required.
Participate in lean manufacturing events including Kaizens and support the Parker lean program.
Assist with various related engineering functions, e.g. design, standardization of parts, costs reduction and quality control.
Design assembly fixtures gaging, test equipment and general fixturing for secondary operations.
Develop new processes for new or improved products.
All other duties as assigned by manager.
Availability to travel for 4 months for training in the United States
   Qualifications
Bachelor’s Degree in Chemical Engineering 
+3 years of experience in process engineering or manufacturing related role
Fluent English.
Lean: 5'S, Takt Time, Std Work, Spaghetti Diagram., Some JIT programming, JIDOKA, HEIJUNKA, VSM, pokayoke. (Advanced)
Balancing Lines (Advanced)
Main tools
Green belt
Minitab (Advanced)
Management of Design Tools (Advanced)
Desirable experience in tool design.
Geometric Tolerances (Intermediate)
Interpretation of drawings (advanced)
Office (Excel, Word, Power Point, Visio, Project)
Strong knowledge in Troubleshooting Tools
Experience in Transfers of equipment / products (Advanced)
Experience in Implementation of SPC in Manufacturing processes.
Experience in Automotive PPAP or APQP Documentation
Quality system ISO9001:2008, Aerospace AS9100:2009, Automotive TS16949:2009 (Desirable)
General Knowledge of Automation for troubleshooting.
Knowledge to develop cost reduction projects.
Abilities:
Organized
Strong interpersonal skills.
Analytical
Ability to handle conflicts
Strong communication skills
Responsible
Integrate
Team oriented
Self-motivated
Motivated by your goals
  
 Parker Hannifin can be found on and around everything that moves. The company employs approximately 58,000 people in 49 countries around the world and with annual sales exceeding $13 billion dollars. Parker is the world’s leading diversified manufacturer of motion and control technologies and systems, providing precision-engineered solutions for a wide variety of mobile, industrial and aerospace markets. Parker’s focus on solving some of the world’s greatest engineering challenges sparks our passion for innovation and secures our future growth. Our technological expertise creates a more sustainable future for us all.
Parker Mexico is looking for a: Process Chemical Engineer
<"
AcceleratiON Program - Electrics / Electronics Process Planer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18399522,"Descripción
Our brands BMW, MINI, Rolls-Royce and BMW Motorrad have made us one of the world's leading premium manufacturer of cars and motorcycles as well as provider of premium financial and mobility services.
 Innovative and ground-breaking vehicle technologies can only be produced in series with high-precision, perfectly coordinated production systems. With our AcceleratiON programme, we guide motivated graduates step by step on the path to create.
 What awaits you?

•    Play a key role in the exciting future of electric mobility by supporting the ramp-up and production of electric vehicles at our San Luis Potosi plant.
•    Implement innovative electrical and electronics technologies to ensure a smooth and efficient production process.
•    Collaborate effectively with electrical/electronics feature teams across the globe and within our production network.
•    Support for overseeing planning, material supply, and seamless execution of manufacturing processes.
•    Champion continuous improvement by leading product changes in series production and integrating new electric vehicle technologies.
 What you should bring along?

•    Bachelor's degree in Mechatronics, Mechanical Engineering, Electrical Engineering, or a closely related field.
•    1+ years of experience in electrical engineering within the automotive industry.
•    At least four months of relevant experience abroad (e.g. studies, practical experience, work & travel).
•    Extracurricular involvement (e.g. initial leadership experience in a university, community, or work setting, engagement in a student project, political or charity organization). 
•    Fluent English (as well as knowledge of another language if English is the native language, preferably German).
•    A sharp intellect.
•    Passion for BMW.
•    Initiative, personal accountability, willingness to change, team spirit, and self-reflection.
•    Programming skill such as Phyton, C#.
•    Readiness for an international career.
 Are you motivated and would you like to shape tomorrow's mobility with us? - Apply now!
At the BMW Group, we see diversity and inclusion in all its dimensions as a strength for our teams. Equal opportunities are a particular concern for us, and the equal treatment of applicants and employees is a fundamental principle of our corporate policy. That is why our recruiting decisions are also based on personality, experience and skills.
Find out more about diversity at the BMW Group at: bmwgroup.jobs/diversity
 Innovative and ground-breaking vehicle technologies can only be produced in series with high-precision, perfectly coordinated production systems. With our AcceleratiON programme, we guide motivated graduates step by step on the path to create.
 What awaits you?

•    Play a key role in the exciting future of electric mobility by supporting the ramp-up and production of electric vehicles at our San Luis Potosi plant.
•    Implement innovative electrical and electronics technologies to ensure a smooth and efficient production process.
•    Collaborate effectively with electrical/electronics feature teams across the globe and within our production network.
•    Support for overseeing planning, material supply, and seamless execution of manufacturing processes.
•    Champion continuous improvement by leading product changes in series production and integrating new electric vehicle technologies.
 What you should bring along?

•    Bachelor's degree in Mechatronics, Mechanical Engineering, Electrical Engineering, or a closely related field.
•    1+ years of experience in electrical engineering within the automotive industry.
•    At least four months of relevant experience abroad (e.g. studies, practical experience, work & travel).
•    Extracurricular involvement (e.g. initial leadership experience in a university, community, or work setting, engagement in a student project, political or charity organization). 
•    Fluent English (as well as knowledge of another language if English is the native language, preferably German).
•    A sharp intellect.
•    Passion for BMW.
•    Initiative, personal accountability, willingness to change, team spirit, and self-reflection.
•    Programming skill such as Phyton, C#.
•    Readiness for an international career.
 Are you motivated and would you like to shape tomorrow's mobility with us? - Apply now!
At the BMW Group, we see diversity and inclusion in all its dimensions as a strength for our teams. Equal opportunities are a particular concern for us, and the equal treatment of applicants and employees is a fundamental principle of our corporate policy. That is why our recruiting decisions are also based on personality, experience and skills.
Find out more about diversity at the BMW Group at: bmwgroup.jobs/diversity"
Engineering Intern,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18395914,"Descripción
At Whirlpool, we are actively seeking:

Engineering Intern

?Description
Collaborate with engineering and other functions to develop designs for mechanical components, subsystems, systems and complex products using computer-aided design (CAD).
Solves complex problems, provides new perspective/existing solutions, assists in policy development. 

Responsibilities:
Create and revise solid models and detail drawings of components and assemblies from design layouts, marked prints, sketches, and verbal instructions.
Operate within a product lifecycle management (PLM) environment to specify parts and assemblies, create product structure, and receive/complete tasks.
Establish component tolerances in accordance with manufacturing capabilities.
Apply design for manufacturing (DFM) and design for assembly (DFA) concepts in developing designs.
Support in 3D printers.

Minimum requirements:
Education: 5th - 7th semester (Preferably: IMA, IME, Mechatronics, related fields).
ESSENTIAL: Must be enrolled in the 5th, 6th, or 7th semester and have one and a half years left to graduate.
Languages: MANDATORY to have an intermediate to advanced level of English.
Nice to have: Experience using 3D Software : CREO, Catia, Solidwork.

Benefits
Hybrid work schedule. 2 days of home office per week.
Work hours from 8 a.m. to 4 p.m., with the possibility of adjustments according to the school schedule.
Monthly support of $8000.

Workplace: Whirlpool México, Av. Miguel Alemán 30, 66634 Cd. Apodaca, NL.

?"
Process Chemical Engineer,https://www.occ.com.mx/empleos/de-embedded-systems-engineer/en-Mexico/?page=1&jobid=18373913,"Descripción
Parker Hannifin can be found on and around everything that moves. The company employs approximately 58,000 people in 49 countries around the world and with annual sales exceeding $13 billion dollars. Parker is the world's leading diversified manufacturer of motion and control technologies and systems, providing precision-engineered solutions for a wide variety of mobile, industrial and aerospace markets. Parker's focus on solving some of the world's greatest engineering challenges sparks our passion for innovation and secures our future growth. Our technological expertise creates a more sustainable future for us all.

Parker Mexico is looking for a: Process Chemical Engineer

?Position Summary?:
Ensure that the operation obtains a process-based approach by applying continuous improvement, implementing, and coordinating projects that ensure an efficient operation and complying with the company's indicators, satisfying the requirements of our internal and external clients.

Education: Bachelor's Degree in Chemical Engineering 
Experience: +3 years of experience in process engineering or manufacturing related role
Languages: Fluent English.

Qualification:
Lean: 5'S, Takt Time, Std Work, Spaghetti Diagram., Some JIT programming, JIDOKA, HEIJUNKA, VSM, pokayoke. (Advanced)
Balancing Lines (Advanced)
Main tools
Green belt
Minitab (Advanced)
Management of Design Tools (Advanced)
Desirable experience in tool design.
Geometric Tolerances (Intermediate)
Interpretation of drawings (advanced)
Office (Excel, Word, Power Point, Visio, Project)
Strong knowledge in Troubleshooting Tools
Experience in Transfers of equipment / products (Advanced)
Experience in Implementation of SPC in Manufacturing processes.
Experience in Automotive PPAP or APQP Documentation
Quality system ISO9001:2008, Aerospace AS9100:2009, Automotive TS16949:2009 (Desirable)
General Knowledge of Automation for troubleshooting.
Knowledge to develop cost reduction projects.

Abilities: 
Organized
Strong interpersonal skills.
Analytical
Ability to handle conflicts
Strong communication skills
Responsible
Integrate
Team oriented
Self-motivated
Motivated by your goals

Essential job duties and responsibilities:
Responsible to oversee and troubleshoot chemical mixes, compounds, and adhesives used in manufacturing processes.
Perform hands-on troubleshooting with existing manufacturing equipment, fixtures, and processes.
Develop standard work systems.
Balancing manufacturing lines based on time and motion taking studies.
Execute continuous improvement activities in cross-functional teams.
Guarantee the use of continuous improvement tools for the implementation of projects.
Develop and implement new products and processes, using the SPC and tools provided by ""Core Tools"".
Design work tooling (SRD, Hand Tools, Molds, etc.)
Document manufacturing processes according to our document control system.
Develop solutions using problem-solving methodologies.
Ensure the training of new manufacturing processes for operating personnel.
Coordinate transfer of production lines or machinery.
Coordinate transfer of Parker products from business units.
Investigate and plan investment projects for new technologies.
Run manufacturing samples for external clients.
Ensure compliance with the specifications of our customers.
Provide excellent service to internal and external customers.
Review and update manufacturing process documents and standard work as required.
Participate in lean manufacturing events including Kaizens and support the Parker lean program.
Assist with various related engineering functions, e.g. design, standardization of parts, costs reduction and quality control.
Design assembly fixtures gaging, test equipment and general fixturing for secondary operations.
Develop new processes for new or improved products.
All other duties as assigned by manager.

?Availability to travel for 4 months for training in the United States.

?"
