Job_Title,Job_Description,Job_Url
IT Sales,https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18405393,"Descripción
Zona Norte
Licenciatura terminada
Inglés Conversacional
De 1 a 3 años de experiencia en Servicios de la Nube (Azure preferentemente)
Prospección, visitas a clientes, disponibilidad de viajar"
Vendedor Jr - Ventas de TI,https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18385645,"Descripción
Experiencia.
Gusto por las ventas.
Mayor de 30 años
Sexo indistinto
1 año minimo de experiencia en ventas
Comercialización, prospección seguimiento y cierre de ventas, organizado
Modelo de negocio (b2b) venta a empresas NO usuarios finales.
Cartera de clientes
Modelo de negocio (b2b) venta a empresas NO usuarios finales

Metas alcanzadas.
Minimo de venta 500,000.00 (quinientos mil pesos mensuales)
 Habilidades Necesarias.
Manejo de CRM
Manejo basico de exel
Uso intermedio de ofimática
Atención al cliente
Seguimiento de ventas

Habilidades blandas.
Tolerancia al estrés
Trabajo en equipo y respeto
Gestión correcta del tiempo
Habilidades comunicativas
Resolución de conflictos
Proactivo

Ofrecemos:
Equipo de cómputo y telefonía
3% de comisiones sobre utilidad y factura pagada llegando a meta definida por su gerente.
Bono por alcanzar meta de 500 pesos en tarjeta amazon (mensual)
Gasto medico Menores
Prestaciones de Ley, pago minimo del seguro social
Capacitación constante
 Horario de Lunes a viernes de 9:00 a 6:30

Informacion del candidato
No tener demandas en conciliación o ante la ley
Referencias personales comprobables en el sector de ventas
De preferencia que vivan en el centro de mty o zona sur."
EJECUTIVO DE VENTAS EN TI Y SERVICIOS EN TI,https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18405586,"Descripción
Acerca de la empresa

MEGACOMP, S. A. DE C. V. es una empresa líder en el sector de Tecnologías de la Información (TI), con más de 30 años de experiencia. Nos enfocamos en brindar soluciones innovadoras y de calidad a nuestros clientes en los sectores público, privado y educativo. Valoramos a nuestro equipo de trabajo y ofrecemos un ambiente colaborativo y oportunidades de crecimiento profesional. Ubicación: Lomas de Bezares, Miguel Hidalgo, Ciudad de México

Requisitos del puesto

Educación mínima requerida: Técnico en Tecnologías de la Información, Informática, Ingeniería Informática o carreras afines.
Experiencia previa en ventas de Tecnologías de la Información (TI), con especialización en ventas de hardware y software.
Habilidades de comunicación y presentación, con una actitud proactiva y segura.
Capacidad para entender las necesidades comerciales de los clientes y traducirlas en soluciones personalizadas.
Manejo de objeciones y habilidades de cierre de ventas.
Orientado a resultados y altamente motivado.


Responsabilidades del puesto

Identificar y prospectar clientes potenciales en el mercado de Tecnologías de la Información (TI), utilizando diferentes métodos de búsqueda como bases de datos y redes sociales.
Realizar presentaciones técnicas a clientes actuales y potenciales, demostrando el valor de nuestras soluciones de TI.
Comprender las necesidades de los clientes actuales o potenciales para diseñar y desarrollar soluciones personalizadas.
Mantenerse actualizado sobre las tendencias y avances tecnológicos en el campo de TI.
Preparar propuestas técnicas y comerciales, y negociar con los clientes.
Cumplir con los objetivos de ventas establecidos y mantener registros precisos de las actividades de ventas en el CRM de la empresa para un seguimiento y evaluación efectivos.


Prestaciones y beneficios adicionales

Salario competitivo, con un rango mensual de $14,000 a $18,000.
Atractivo esquema de comisiones.
Prestaciones de ley.
Horario de trabajo de tiempo completo, de lunes a jueves de 7 am a 5 pm y viernes de 9 am a 3 pm.
Oportunidades de crecimiento laboral y profesional.
Seguro de vida.


Si eres una persona apasionada por las ventas en el ámbito de la tecnología y estás listo para unirte a nuestro equipo, te invitamos a postularte. ¡Esperamos contar contigo pronto en MEGACOMP, S. A. DE C. V.!"
VENTAS TI,https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18263391,"Descripción
Acerca de la empresa

Excelencia Consultores en Recursos Humanos busca para uno de sus clientes más importantes, una empresa líder en el sector de capacitación en TI, al mejor Ejecutivo de Ventas.

Requisitos del puesto

Licenciatura en Administración, Ingeniería en Sistemas o carreras afines.
Mínimo 5 años de experiencia en VENTAS DE CURSOS DE CAPACITACION EN TI A CORPORATIVOS.
Conocimientos avanzados en CRM Microsoft.
INGLÉS AVANZADO (requisito indispensable, no negociable).
Disponibilidad para viajar si se requiere.


Responsabilidades del puesto

Venta de servicios de capacitación en TI a ejecutivos y Gerentes dentro de varias empresas.
Expandir el negocio en México y Latinoamérica, construyendo cuentas nuevas.
Creación de proyectos y oportunidades a través del ciclo de ventas.
Anticipar las necesidades del cliente y requisitos de compra.
Asegurar la entrega oportuna de soluciones de la empresa.


Prestaciones y beneficios adicionales

Sueldo mensual de 35000 a 45000.
Sueldo base más comisiones.
Prestaciones de ley.
Modalidad de trabajo remoto.


Si cumples con los requisitos y te apasiona el área de ventas corporativas en el sector de Tecnologías de la Información, ¡te invitamos a formar parte del equipo! Envía tu CV en español e inglés al correo indicado en los datos de contacto de la empresa, especificando el nombre del puesto en el asunto del correo. ¡Gracias por tu interés!"
Ventas TI Jr (Terminales),https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18256396,"Descripción
PRAXIS, es una empresa Mexicana Líder en Tecnologías de la Información, con presencia Internacional, y con 25 años proporcionando servicios de TI.

Ventas TI

Conocimientos:

Conocimientos en ventas
Prospección de clientes
Cambaceo
Seguimiento a clientes
Visitas presenciales con clientes
Cartera

Modalidad: Hibrida

Si te encuentras interesado envia tu CV al correo que aparece en la publicación . Para mayores informes con Irais Torres

""En PRAXIS queda prohibido la solicitud de certificados médicos de no embarazo y virus de Inmunodeficiencia Humana (VIH) como requisito para el ingreso, permanencia o ascenso"""
Ventas TI Jr (Terminales),https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18256393,"Descripción
PRAXIS, es una empresa Mexicana Líder en Tecnologías de la Información, con presencia Internacional, y con 25 años proporcionando servicios de TI.

Ventas TI

Conocimientos:

Conocimientos en ventas
Prospección de clientes
Cambaceo
Seguimiento a clientes
Visitas presenciales con clientes
Cartera

Modalidad: Hibrida

Si te encuentras interesado envia tu CV al correo que aparece en la publicación . Para mayores informes con Irais Torres

""En PRAXIS queda prohibido la solicitud de certificados médicos de no embarazo y virus de Inmunodeficiencia Humana (VIH) como requisito para el ingreso, permanencia o ascenso"""
Account Manager - Ventas TI,https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18150355,"Descripción
Matersys Group empresa mexicana con 20 años en el mercado. Líder en ofrecer servicios, soluciones, capacitaciones y desarrollo de software a la medida.

SOLICITA

ACCOUNT MANAGER - VENTAS TI



Lic. en Relaciones Comerciales, Negocios, Ventas o Alguna carrera en Sistemas.
Experiencia en Venta de Servicios de Tecnología - Indispensable (Consultoría, Soporte, Desarrollos, Staffing)
Cartera de Clientes
Prospección de Clientes
Presentación de Portafolio de Servicios
Creación de Propuestas económicas
Proactivo
Autodidacta

Zona de trabajo: Col. del Valle (Eje 6)

Sueldo competitivo

Interesados postularse por este medio"
IT Sales Development Representative,https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18235642,"Descripción
Experis IT es una empresa de tecnologías de la información que vincula eficazmente el talento más competitivo con grandes empresas de México, Norteamérica y Europa. Experis IT es parte de la compañía número 1 de Manpower Group en atraer talento en todo el mundo

En Experis IT buscamos: IT SALES DEVELOPMENT REPRESENTATIVE

REQUISITOS:

Lic. culminada con titulo
Inglés Intermedio avanzado
Preferentemente experiencia en el sector financiero o retail
Sales navigator
CRM

?RESPONSABILIDADES Y FUNCIONES DESEABLES:?

Lograr los objetivos de ventas a través de la venta de productos y servicios en clientes nuevos logrando una cuota que se asignará en USD para el cierre en clientes nuevos durante 2024
Identificar oportunidades de ventas a través de la prospección directa, el seguimiento de clientes potenciales y la creación de redes. Cumplir con el objetivo mensual que tenga de generación de leads.
Administre y participe (según el caso) en el proceso de ventas a través de la calificación, el análisis de necesidades, la demostración del producto, la negociación y el cierre.
Documentar las actividades de ventas diarias en la herramienta de automatización de la fuerza de ventas (Sugar), preparar informes y pronósticos precisos, administrar la canalización y realizar otras tareas necesarias para impulsar los ingresos por ventas y comunicar las actividades a la Dirección.
Desarrollar y mantener un alto nivel de conocimiento sobre los productos y servicios del cliente. Aprobar satisfactoriamente capacitaciones relacionadas a los productos.
Prospección de nuevos clientes y apertura de nuevos mercados.
Identificar y desarrollar las necesidades del cliente y recomendar posibles soluciones
Desarrollar y mantener relaciones a largo plazo con los clientes"
Gerente de cuenta (venta tecnologías de la información),https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18346378,"Descripción
Nosotros somos una empresa nacional especializada en crear Soluciones Integrales de Tecnología de Información con más de 25 años de experiencia y nos encontramos sumando talento a nuestra compañía, tú podrías ser uno de ellos.
Buscamos: Gerente de cuenta para ventas de tecnologías de la información
¿Que harías?
Elaboración del plan de acción anual con sus principales cuentas.
Abordaje profundo con el cliente para posicionar la mayor parte del portafolio de soluciones.
Responsable de elaborar y presentar las propuestas ejecutivas a los clientes.
Responsable del llenado y presentación del Forecast
Seguimiento y actualización de las oportunidades en el CRM
Necesitas:
Licenciatura concluida, preferente en sistemas computacionales, informática o a fin.
Conocimientos en infraestructura de tecnologías de la información
Experiencia en puesto similar de aproximado 3 años, preferente.
Inglés técnico.
Disponibilidad para viajar.
Ofrecemos:
Sueldo mensual más comisiones
Vacaciones antes del primer año
Días de descanso adicionales a los de ley (cumpleaños, etc)
Seguro de Vida
Caja de ahorro
Reparto de utilidades
Prestaciones de ley
Plan de capacitación y certificaciones con fabricantes y mayoristas pagadas.
Prestaciones de ley y beneficios adicionales.
Tipo de puesto: Tiempo completo
Salario: $20,000.00 - $22,000.00 al mes
Horario:
Turno de 8 horas
Lugar de trabajo: remoto híbrido en 45050, Zapopan, Jal."
Comercial TI,https://www.occ.com.mx/empleos/de-ict-sales-professional/en-Mexico/?page=1&jobid=18226958,"Descripción
PRAXIS, es una empresa Mexicana Líder en Tecnologías de la Información, con presencia Internacional, y con 25 años proporcionando servicios de TI.

Ventas TI

Conocimientos:

-Conocimientos de trabajo y experiencia ventas de TI
-Capacidad de escucha y comunicacion
-Conocimiento en el sector de TI
-Facilidad de palabra, corrección al hablar y buena dicción
-Excelentes habilidades de negociación

Si te encuentras interesado envia tu CV al correo que aparece en la publicación . Para mayores informes con Irais Torres

""En PRAXIS queda prohibido la solicitud de certificados médicos de no embarazo y virus de Inmunodeficiencia Humana (VIH) como requisito para el ingreso, permanencia o ascenso"""
