Job_Title,Job_Description,Job_Url
Ingeniero Infraestructura y Migración,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18405932,"Descripción
En Experience IT somos una empresa 100% Mexicana que se distingue por su excelencia en encontrar al mejor talento en Tecnologías de la Información y colocarlo con los mejores clientes dentro del Sector

Posición: Ing. Infraestructura y Migración

Experiencia:

+5 años de experiencia en:
Administración de sistemas operativos cómo Windows y Linux.
Proyectos de migración de V2V, P2V , on premise to cloud.
Comandos Linux y scripting.
Administración de cluster de bases de datos (infraestructura)
Familiarizado con herramientas para backup y migración. (Veeam, Zerto, Commvault, Data protector, etc...)
Conocimiento en Networking: ? Redes LAN, segmentación, firewalls por software (iptables).
? Interconexión con VPN.
? Protocolos TCP, UDP y de capa 7 (HTTP(s), SSL/TLS, etc).
? Herramientas de monitoreo y diagnóstico de red como tcpdump, iperf, ping, nmap, netcat, Wireshark, etc.)

Responsabilidades:

Apoyo en la implementación de infraestructura y migración de centro de datos hacia GCP
Instalación de herramientas oficiales de Google Cloud para la migración de infraestructura o herramientas de terceros
Onboarding de proyectos en GCP
Troubleshooting en recuperación de máquinas hacia GCP
Configuración de VPC, Shared VPC y conectividad a on-premises
Resolución de problemas relacionados a la infraestructura desplegada en los proyectos de GCP Recomendaciones en el uso y optimización de recursos de infraestructura
Apoyo al cliente en creación de tableros de monitoreo desde GCP

Beneficios:
Contratación directa por empresa
Horario laboral: Lunes a Viernes 9 a.m. a 6 p.m.
Esquema 100% nómina
Sueldo base + Prestaciones de Ley
Vales teletrabajo $2000 MXN
SGMM únicamente empleado
Bono Mensula
Apoyo con Certificaciones

Postúlate por este medio solo si cumples 100% con el perfil"
Ingeniero de Infraestructura Jr,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18365846,"Descripción
Nos encontramos en la búsqueda de un Ingeniero de Infraestructura Jr

Responsabilidades:

Apoyar a las áreas de servidores y bases de datos en mantener el buen funcionamiento de ambas áreas, así como llevar la configuración, administración del tenant de O365, Active Directory, administración de Exchange.
Apoyar en el buen funcionamiento de los servidores físicos y virtuales de la empresa.
Mantener actualizados los parches de los sistemas operativos de los servidores.
Dar soporte físico y lógico a los servidores.
Administrar y configurar el Active Directory.
Apoyar en la solución de respaldos y restauraciones, así como validación de estos.
Apoyar en la herramienta de antivirus y verificar que todos los servidores tengan el antivirus instalado, actualizado y ejecutándose.
Informar a la Gerencia de Infraestructura sobre cualquier vulnerabilidad riesgo que se detecte en los servidores y/o bases de datos.
Mantener en óptimas condiciones los servidores para el correcto funcionamiento de los aplicativos hospedados en estos mismos.
Garantizar al 100% la funcionalidad de la información y heurísticas de servidores y servicios.
Apoyar a las áreas de servidores y bases de datos en mantener el correcto 
funcionamiento de ambas áreas

Requisitos:

Licenciatura o Ingeniería informática, sistemas o afín (concluida)
1 año de experiencia en administración y configurar servidores físicos y virtuales. 
Soluciones de respaldo de información y herramientas de monitoreo.
Administración y configuración de Active Directory.
Administración y configuración de Exchange.
Virtualización.
Administración y configuración de SAN.
Administración y configuración de herramientas de respaldo.
Administración y configuración de soluciones de antivirus empresariales.
Administración y configuración de herramientas de monitoreo sobre servidores y aplicaciones.
Inglés Técnico

Ofrecemos:

Estabilidad laboral (permanencia a largo plazo)
Contratación 100% nominal

Zona de Trabajo: San Pablo, Santiago de Querétaro

Esquema híbrido: 3 días a la semana en oficina"
Ingeniero de infraestructura,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18409607,"Descripción
Conocenos

go>Bravo hoy es un equipo de +1800 personas a nivel global motivados por darle a nuestros clientes una nueva forma de pagar sus deudas con descuento y restablecer su historial. Fundada hace 14 años por graduados de Stanford, actualmente estamos presentes en seis países: México, Colombia, España, Italia, Portugal y Brasil convirtiéndonos en un actor destacado en el panorama financiero a nivel global. Nuestra trayectoria se define por un compromiso inquebrantable de ayudar a las personas a saldar sus deudas y recuperar la libertad financiera.

Estamos buscando a nuestro próximo Ingeniero de Infraestructura para unirse al equipo Bravo dentro de Ingeniería en nuestro corporativo de Polanco. Serás un jugador clave en nuestras operaciones, responsable de dar soporte técnico y servicio a equipos de cómputo de oficina y aplicaciones.

¿Qué buscamos de ti? 

Ingeniería terminada (pasante o titulado) o en últimos semestres
1 año de experiencia desarrollando actividades de soporte técnico de primer nivel.
Actitud de servicio a colaboradores
Disponibilidad de tiempo completo
Conocimiento básico en redes, MacOS, Active Directory.
Inglés Básico

¿Qué desafíos te esperan? 

Realizar soporte de hardware y software (aplicaciones, programas biométricos, etc.) 
Mantener el control e inventario de los equipos
Reparar equipos de cómputo portátil y de escritorio (cambio de piezas, mantenimiento de periféricos etc.)
Brindar soporte a impresoras (instalación de drivers, software)
Gestionar licencias de office
Brindar soporte a aplicaciones de CRM/ERP desarrolladas Inhouse y apoyar en bases de datos.

Te ofrecemos 

Sueldo base $ 15,000.00 brutos
Prestaciones de ley desde el primer día
Ruta de carrera dentro de la empresa
Trabajo de Lunes a Viernes híbrido
2 días personales con goce de sueldo

Si eres parte de Bravo como colaborador, cliente o inversionista, ¡prepárate para crecer a la potencia Bravo! 

BravoCreeEnTi"
Infrastructure Engineer,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18192055,"Descripción
Infrastructure Engineer
We Are PepsiCo



Join PepsiCo and dare to transform! We are the perfect place for curious people, thinkers and change agents. From leadership to front lines, we're excited about the future and working together to make the world a better place.



Being part of PepsiCo means being part of one of the largest food and beverage companies in the world, with our iconic brands consumed more than a billion times a day in more than 200 countries. In



PepsiCo Mexico is one of the most important consumer products companies in the country. Our product portfolio, which includes 22 of the world's most iconic brands, such as Sabritas, Gamesa, Quaker, Pepsi, Gatorade and Sonrics, has been a part of Mexican homes for more than 116 years.



A career at PepsiCo means working in a culture where all people are welcome. Here, you can dare to be you. No matter who you are, where you're from, or who you love, you can always influence the people around you and make a positive impact in the world.



Know a little more: PepsiCoJobs

Join PepsiCo, dare to transform.






The Opportunity



Main purpose:



The next great shift in consumer behavior driven by technological disruption is underway, and it's happening in the food & beverage industry.

As other sectors have shifted to eCommerce-first business models in recent years, food & beverage has continued to rely predominantly on traditional brick & mortar models, but this is changing rapidly. New technologies are transforming every aspect of reaching consumers, from the rise of digital marketing and online grocery platforms to the creation of supply chain tools that enable speedy at-home delivery. According to the Food Marketing Institute, 70% of U.S. consumers will shop online for groceries by 2024, with an estimated annual spend of $100 billion.

PepsiCo eCommerce has an opportunity for an Infrastructure and/or DevOps engineer to join the MBS team in México. The team is responsible for cloud infrastructure provisioning, maintaining existing platforms and provides our partner teams with guidance for building, maintain and optimizing integration and deployment pipelines as code for deploying our applications to run in AWS & Azure.



Your Impact



As Infrastructure Engineer your responsibilities would consist of:



This role offers many exciting challenges and opportunities, some of the major duties are:
Work with engineering teams to develop and improve our CI / CD pipelines that enforce proper versioning and branching practices using technologies like Github, Github Actions, ArgoCD, Kubernetes, Docker and Terraform.
Create, deploy & maintain Kubernetes based platforms for a variety of different workloads in AWS and Azure.


Who Are We Looking For?


1.- Education
Barchelors Degree (IT, Engieneer similar field)
2.- Experience
Kubernetes experience is a must
Terraform experience is a must
English advance
AWS or Azure (Azure Preferred)
Experiencie in a similar role
GitHub Actions or Jenkins OR Gitlab workflow (Automated build process and tools) is desirable
If this is an opportunity that interests you, we encourage you to apply even if you do not meet 100% of the requirements.


What can you expect from us:
Opportunities to learn and develop every day through a wide range of programs.
Internal digital platforms that promote self-learning.
Development programs according to Leadership skills.
Specialized training according to the role.
Learning experiences with internal and external providers.
We love to celebrate success, which is why we have recognition programs for seniority, behavior, leadership, moments of life, among others.
Financial wellness programs that will help you reach your goals in all stages of life.
A flexibility program that will allow you to balance your personal and work life, adapting your working day to your lifestyle.
And because your family is also important to us, they can also enjoy benefits such as our Wellness Line, thousands of Agreements and Discounts, Scholarship programs for your children, Aid Plans for different moments of life, among others.


We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We respect and value diversity as a work force and innovation for the organization."
IT Infrastructure Engineer,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18333179,"Descripción
ABOUT THE COMPANY:

Sanhua is a leading company in the manufacturing of components and controls for HVAC&R, with a global presence and over 30 years of experience.

EXPERIENCE IN:

Hardware devices (Dell, Huawei/HC3 Switches, UPS, Fortinet Firewalls, CCTV and Doors control access.
Software virtual (VMware).
Server management.
Windows server systems, HW devices, Networking, CAT 6*/CCTV devices.
Implementation of IT policies and procedures with respect to computing inventory (assets).
Design and development of computer systems and components, such as circuit boards.

REQUIREMENTS:

Computer Systems Bachelor Degree.
+6 years of experience in similar position.
Advanced conversational English."
95486 (Infrastructure Systems Engineer II),https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18319622,"Descripción
Acerca de la empresa

Conduent de México SA de CV es una empresa líder en el sector de tecnologías de la información, con una larga historia de innovación y excelencia en el mercado. Nuestro compromiso con la calidad y el desarrollo profesional de nuestros empleados nos ha llevado a ser reconocidos como uno de los mejores lugares para trabajar en la industria. En 2021, recibimos premios por Mejor Lugar de Trabajo, Mejor Cultura Global y Mejor Equipo de Recursos Humanos. **Ubicación:** La vacante está ubicada en Juárez, Chihuahua.

Requisitos del puesto


Educación mínima requerida: Técnico.
Inglés avanzado.
Experiencia avanzada en RightFax y Xmedius.
Conocimientos avanzados en mssql server.


Responsabilidades del puesto


Mantener y reparar instancias de software de OpenText RightFax, XMedius Fax y otras soluciones de fax empresariales.
Colaborar con diversos equipos internos y externos para mejorar el servicio, solucionar errores y construir nuevas soluciones.
Utilizar un sistema de tickets para buscar y realizar nuevas tareas de forma independiente.
Comunicarse de manera efectiva utilizando herramientas como Office 365, Teams y llamadas telefónicas.


Prestaciones y beneficios adicionales


Sueldo mensual de 25000 a 29000.
Contratación permanente.
Horario a tiempo completo.
Modalidad presencial.
Fondo de ahorro 5.5% 
Vales despensa 5% 
Subsidio por incapacidad, en caso de requerirlo 
Seguro de Gastos Médicos Mayores 
Gastos Funerarios: Para padres $5,000.00 MXN. Para empleado, conyugue o hijos: $25,000 MXN 
Bono de cumpleaños 
2 días de descanso adicionales pagados: noche buena y cumpleaños del empleado 
Descuento en la factura de tus lentes 



Calificaciones básicas requeridas:
- 2+ años de experiencia en entornos de soporte de TI profesional.
- 4+ años de experiencia demostrada en la administración e implementación de diferentes versiones de OpenText RightFax y/o XMedius Fax.
- 2+ años de experiencia en soporte operativo y resolución de problemas para sistemas basados en Windows
. - Conocimientos de tecnologías de telecomunicaciones empresariales como POTS, SIP, entre otros.
- Experiencia en generación de informes de RightFax.
- Capacidad para comunicarse efectivamente tanto con compañeros como con personas en roles no técnicos
. - Capacidad para integrarse sin problemas en un equipo de pares y colaborar de manera efectiva.
- Capacidad para operar de forma independiente en tareas a largo plazo sin supervisión constante.
- Capacidad para mantener la calma y ser metódico durante períodos de estrés elevado.
- Disponibilidad para proporcionar soporte en un sistema de guardias rotativas, incluyendo noches y fines de semana de manera ocasional."
INGENIERO DE INFRAESTRUCTURA HOC,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18344892,"Descripción
!!!UNETE A NUESTRO EQUIPO!!!

Ingeniero de infraestructura HOC

Propósito:
Monitoreo, operación y mantenimiento de la infraestructura eléctrica, de comunicaciones y operación tecnológica de los centros de datos del Grupo Financiero.

Principales funciones:
Monitoreo, operación y mantenimiento de servidores, firewalls, enlaces de comunicaciones, telefonía, redes, dispositivos de infraestructura eléctrica. Soporte técnico para la resolución de problemas relacionados con equipo de cómputo, telefonía, redes e infraestructura.
(En turnos rotativos, matutino, vespertino y nocturno, incluidos sábados y domingos)

Conocimientos:
Curso CCNA CISCO
Administración de servidores windows, deseable servidores linux, ambientes virtuales (VMWARE)
Configuración de switches, routers y firewalls CISCO
Soporte técnico en ambientes Windows, 7, 8, 10 y 11
Conocimiento en telefonía digital e IP
Conceptos básicos de electricidad

Ofrecemos:
Trabajo de planta.
Seguro de gastos medicos mayores
Seguro de visa
Vales de despensa
Fondo de ahorro
Aguinaldo 30 días"
Ingeniero Infraestructura AWS,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18265209,"Descripción
Blisss IT   somos un equipo de expertos en Tecnologías de Información motivados en apoyar a las empresas a fortalecer su razón de ser a través del desarrollo, gestión y consultoría de sistemas.

En   BlissIT   estamos convencidos de que las Tecnologías de Información potencian las actividades humanas, pero nunca perdemos de vista que el principal agente de transformación en la sociedad y empresa son las personas. Por eso, nos enfocamos en crear, con nuestros equipos de trabajo y clientes, ambientes de trabajo donde la armonía, el respeto, la confianza, la diversidad, la creatividad y la colaboración sean los sellos que nos distinguen.

Actualmente estamos buscando un  Ingeniero de Infraestructura para formar parte de una importante empresa en Monterrey.

Perfil:
+5 años de experiencia en administración y configuración de Firewalls
Experiencia avanzada en Infraestructura (Networking)
Soporte y Troubleshooting a Firewalls (VPNs Internas/Clientes, Actualizaciones)
Manejo de Certificados / Dominios
Gestiòn de Proyectos de Infraestructura - Telecomunicaciones
Manejo de indicadores, KPIs, Presentación de resultados
Conocimiento CISCO y/o Fortinet
Deseable conocimiento de Infraestructura en la nube (AWS)

Requisitos:
Grado Académico:  Universitario terminado y titulado afín a T.I.
Inglés : Intermedio - Avanzado
Contar con vehiculo propio
Disponibilidad a viajar en el interior del país
Lunes a viernes de 9 am a 6 pm con disponibilidad en caso de incidencias.

Prestaciones :
1 mes de Aguinaldo
25%de Prima Vacacional
Aportación al IMSS e INFONAVIT
12 días de vacaciones pagados al año durante el primer año de trabajo
10% de sueldo en Vales de Despensa
3% de Fondo de Ahorro
Seguro de Gastos Médicos Mayores
Seguro de Vida"
INGENIERO DE INFRAESTRUCTURA Y SERVIDORES- INGLES AVANZADO,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18383207,"Descripción

 EN ENSAMBLE HUMANO NOS ENCONTRAMOS EN BUSQUEDA DE:

INGENIERO BILINGÜE DE INFRAESTRUCTURA Y SERVIDORES.

 INGENIERO DE INFRAESTRUCTURA Y SERVIDORES - TOTALMENTE BILINGÜE- ZONA DE SANTA FE
   REQUISITOS:
 Licenciatura en sistemas, computación o a fin
 3 a 5 años de experiencia en infraestructuras, networker o servers.
 INGLES AVANZADO INDISPENSABLE- HABLADO YA QUE HAY CONTACTO CON LIDERES EXTRANJEROS-
     ACTIVIDADES:
  Trabajar con el propietario del producto y los equipos de infraestructura local, regional y global para operar una red de infraestructura de producción altamente escalable 24 horas al día, 7 días a la semana.
 Contribuir a la planificación, alcance y creación de soluciones técnicas para las capacidades del nuevo producto.
 Capacidad para evaluar los requisitos de la red y sugerir recomendaciones basadas en los requisitos a la dirección. 
Desarrollar y dar seguimiento a los requisitos funcionales de los sistemas de infraestructura para mejorar la calidad, el desempeño, las interfaces externas y las limitaciones.
Desarrollar e implementar redes, sistemas de servidores, revisar la implementación de proyectos de infraestructura y evaluar la efectividad, hacer recomendaciones.
 Supervisar los sistemas de red, analizar incidentes e identificar problemas de rendimiento de forma proactiva para el análisis de requisitos de nuevos proyectos.
 Experiencia en herramientas de Gestión de Incidentes/Servicios y/o Proyectos (ServiceNow, JIRA etc.)
 La familiaridad con las metodologías ágiles de entrega de productos es una ventaja. Resolver incidencias y preparar informes de estado.
 La certificación ITIL, CCNP o certificación equivalente es una gran ventaja.
 Conocimientos de nube Azure, VMware, backups y gestión de parches.
 Servir como recurso técnico para proyectos nuevos y existentes y proporcionar orientación/conocimiento sobre los proyectos.
 Gestión FIX de servidores Windows en entornos físicos y VMware.
 Trabajar con múltiples proveedores y proveedores de servicios para garantizar un entorno productivo.
 Resolver incidencias y elaborar informes de estado.
 Representar profesionalmente al equipo de infraestructura como consultor técnico en proyectos.
  HORARIO:
 
LUNES A VIERNES 8:00 A 5:30 O 9:00 A 6:30.
 ESQUEMA HIBRIDO 3 DIAS PRESENCIAL EN SANTA FE
2 HOME OFFICE
  SUELDO:
  SUELDO: $32,000 BRUTOS + PRESTACIONES DE LEY 3 MESES POR AGENCIA DESPUES DE ESTOS MESES SE DARA CONTRATO INDEFINIDO AUN CON AGENCIA Y SE DAN $200 DE VALES Y SEGURO DE VIDA.
   DIRECCION DE LA OFERTA:

SANTA FE CUAJIMALPA .

SI CUBRES CON EL PERFIL TE PIDO ME COMPARTAS TU CV POR WHATSAPP AL (5) 37 31 88 62 O POSTULATE POR ESTE MEDIO."
Ingeniero de infraestructura,https://www.occ.com.mx/empleos/de-infrastructure-engineer/en-Mexico/?page=1&jobid=18294470,"Descripción
Responsabilidades:
Administrar, soportar y monitorear el correcto funcionamiento de la infraestructura del sitio: firewalls, switches, access points, servidores, etc.
Gestionar los cambios y nuevas instalaciones de red, cableado, dispositivos, telefonía minimizando el impacto a la operación.
Realizar y monitorear respaldos de servidores, equipos e información.
Gestionar y supervisar el trabajo de los proveedores de tecnología de la información, garantizando la disponibilidad de los servicios.
Documentar esquemas de conexión, configuraciones, memorias técnicas de la infraestructura instalada.
Gestionar el mantenimiento preventivo y correctivo de la infraestructura instalada (Servidores, switches, etc.)
 Conocimientos requeridos:
Plataformas de infraestructura para servidores VMware, HyperV, Nutanix.
Sistemas operativos de servidor y clientes basados en Microsoft Windows (Windows Server 2019- 2022, Windows 10-11).
Configuración de redes LAN basadas en Cisco, redes WAN basadas en Fortinet.
Instalación de cableado estructurado.
Aplicaciones de gestión de infraestructura IT (Active directory, Antivirus, File and print services, etc.)
Software de respaldos Cohesity, Veeam.
Hardware de servidores y equipos de comunicaciones.
Administración de proyectos.
Marcos de referencia ITIL.
 Perfil del Puesto:
Licenciatura/Ingeniería Sistemas Informática.
Inglés 80%. (Capaz de mantener conversación)
Al menos 5 años de experiencia en puestos similares (ingeniero de infraestructura, administrador de redes y servidores) en empresas de manufactura, de preferencia del giro automotriz.
Total disponibilidad de horario (fuera de horario de oficina o en fines de semana para atender emergencias).
Gran actitud de servicio, habilidades de comunicación y sentido de urgencia."
