Job_Title,Job_Description,Job_Url
Cloud Azure DevOps Engineer - Remoto,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18223370,"Descripción
Experis IT es una empresa de tecnologías de la información que vincula de manera efectiva al talento más competitivo con grandes empresas en México, Norteamérica y Europa. Experis IT es parte de la empresa Manpower Group no. 1 en atracción de talento a nivel mundial.

Por crecimiento nos encontramos en búsqueda de:
Cloud Services DevOps.

Actividades:

Gestionar y administrar Sistemas en la Nube, brindando servicios técnicos operativos para la Gestión de Datos del cliente y SaaS en la Nube para clientes internos y externos.
Utilizar métodos de ingeniería de confiabilidad del sitio (SRE) de DevOps para garantizar y mejorar la calidad del servicio en la nube.
Desarrollar e implementar scripts de automatización y cronogramas de trabajos por lotes para optimizar la eficiencia operativa.
Orquestar el servicio en la nube utilizando infraestructura como código (IaaC) para la creación de entornos y ejecutar el lanzamiento y la implementación sin problemas de ejecutables.
Establecer y mantener procesos de monitoreo de Entornos de Nube y Componentes del Sistema.
Garantizar el cumplimiento de los estándares de infraestructura mediante la aplicación de las actualizaciones necesarias, incluidos parches del sistema operativo, la base de datos, la seguridad y la infraestructura.
Impulsar pruebas de conceptos para innovar enfoques en colaboración con arquitectos de servicios en la nube.
Gestionar la gestión de incidentes y problemas, el proceso de gestión de cambios e implementar políticas de servicios en la nube con un enfoque en los servicios de gestión de datos del cliente.
Mantener una seguridad y disponibilidad sólidas, participando activamente en ejercicios de Evaluación de Vulnerabilidad y Pruebas de Penetración (VAPT) y Continuidad del Negocio/Recuperación ante Desastres.


Requisitos:

Licenciatura en Informática o Ingeniería.
Más de 4 años de experiencia operando aplicaciones en la nube, preferiblemente dentro del sector financiero.
Competencia en la configuración y mantenimiento de operaciones de sistemas y servicios en la nube, idealmente en Azure y AWS.
Habilidades técnicas integrales que abarcan la administración de servidores Windows y Linux, administración de Oracle, lenguajes de scripting (Powershell, Python, AWS Lambda, Azure), creación e implementación de infraestructura (Ansible/Terraform).
Gran familiaridad con los servicios de Azure y AWS, incluidos Azure DevOps, Active Directory, Microsoft Defender for Cloud, Sentinel, Key Vault, Citrix, Oracle Container & PDB, Functions y servicios de AWS como EC2/S3, RDS, CloudWatch, Network, VPC, etcétera.
Experiencia en el desarrollo de canales de CI/CD y herramientas asociadas.
Conocimiento de la administración de sistemas de TI en la nube, operaciones de seguridad de TI y conocimientos básicos de gestión de datos financieros.
Fluidez en inglés y sólidas habilidades analíticas.

Ofrecemos:

Sueldo mensual en 100% nómina.
Prestaciones de ley.
Prestaciones superiores.
Trabajo remoto, home office.
Capacitación y certificaciones pagadas.

¡Postúlate ahora!"
Full stack developer sr,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18340103,"Descripción

Do you have a strong consulting background, are passionate and knowledgeable about information technology and cybersecurity, and have prior experience managing infrastructure? We are looking for multiple experienced Professional Services Engineers / Consultants in the Western and Eastern US to join our team!
 -In this position, you will help our customers improve and automate their processes to combat security threats. Your day-to-day efforts would include:
Installing, configuring, and deploying the internal Platform
Developing and implementing Security Operations Center / Incident Response & Remediation Playbooks
Developing new integrations with 3rd party systems leveraging Python, JavaScript, and YAML
Delivering prescribed training and proctoring certification labs to our clients and partners
Assisting with advanced architecture design for non-standard deployments
Contributing to the Swimlane Community to answer customer/prospect questions, create relevant content, and facilitate broader security automation and orchestration adoption

Who we are, and what we offer:
Swimlane is a rapidly growing, innovative startup with a passionate team focused on improving IT security practitioners' lives through security automation and orchestration. We work with a cutting-edge technology stack to create and distribute products that empower Security Operations teams to automate time-consuming and repetitive tasks, allowing them to focus on the advanced security activities that are most important to their work. We are headquartered in the Denver, CO metro area, but our employees span 23 states and six countries. We offer competitive salaries and benefits, along with a community-based culture of transparency and innovation. Become a Swimlaner today!
For you to take care of yourself both professionally and personally, we offer a total rewards package that includes several great benefits, including:
Medical, dental, and vision coverage paid by Company
Equipment provided by the company
Law benefits and permanent contract
Work from home
Negotiable salary (50K monthly as a proposal before taxes)
Professional development opportunities

We strive to represent our five core values in all things we do:
Punch above our weight class - We make the most of our circumstances and constantly surprise and impress with our ability to deliver.
Be a happy innovator - The hard problems are the fun problems to solve, we're excited to take on difficult challenges and find creative solutions.
Always be leveling up - We are continuously improving, embracing change, and consuming information to better ourselves and each other.
Move at the speed of WOW - We work with an extreme sense of urgency, but we never compromise quality.
Have honesty and integrity in all things - We make decisions with the best of intentions, doing what is right for as many stakeholders as possible.

Requirements
Mexican citizen based in any Mexico state
Full schedule availability.
Team player that works well in collaborative situations and autonomous environments
2 to 5 years of experience in Professional Services, Fullstack developer or similar
Working knowledge of Python
Working knowledge of RESTful APIs
Experience with AKS/EKS/GCP and On-Prem Infrastructure (Management & Provisioning)
University degree in Computer Science, Information Technology, Engineering, or equivalent work experience
Ability to quickly grasp complex technical concepts and make them easily understandable verbally, in writing, and designing supporting network diagrams/illustrations as necessary
 Apply now attaching your CV or look for Janet Valdivieso in LinkedIn"
Deputy Chief Technology Officer,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18299540,"Descripción
We are seeking a visionary and experienced Deputy Chief Technology Officer (Deputy CTO) to co-lead our technology strategy and guide the development of our products and services. The Deputy CTO will be responsible for co-establishing the company's technology vision, aligning it with business objectives, and leading the engineering team towards innovation and excellence. As a key member of the executive team, the Deputy CTO will work closely with other leaders to drive the company's growth, enhance operational efficiency, and create disruptive technologies that meet our customers' needs.

Our Client Culture:
Our team consists of talented individuals working closely with our accomplished founders to invent amazing things for amazing clients. We all aspire to grow, improve, be challenged, and be recognized for our contributions. We achieve all of that here, and more. A skill set is never set in stone. We share a fanatical devotion to broadening our abilities, deepening our experience, and sharing our vision.

Technologies:
Our team uses:
ES6, NodeJs, ReactJs
Go
Java
Python
Scala
C#
Spark, Splunk, Akka, Redis, PostgreSQL, SQL, SPARQL, MongoDB, RabbitMQ, Gearman, Kafka, Elasticsearch

And whatever else is necessary to satisfy our customers.
Key Responsibilities:
Technology Strategy and Product Development: Not only define and execute the company's technology vision but also oversee the entire product development lifecycle, from conception to launch, ensuring the delivery of innovative, scalable, and high-quality technology solutions.
Leadership and Team Management: Build, lead, and mentor a high-performing engineering team. Foster a culture of innovation, collaboration, and continuous improvement.
IT Operations and Security: Ensure the robustness, security, and scalability of the company's IT infrastructure. Implement best practices in cybersecurity and technology risk management.
Innovation and Research: Stay abreast of emerging technology trends and evaluate their applicability to business objectives.
Budget Management: Develop and manage the IT budget, ensuring resource optimization and alignment with the company's financial goals.

Typical Assignments:
Create (design, develop, verify, deploy) custom microservices to enhance existing SaaS solutions.
Create highly interactive user interfaces deployable across multiple browsers and platforms.
Ingest and process large volumes of data in preparation for analysis.
Develop solutions that analyze complex datasets and generate insights and reports.
Develop and implement automated deployment pipelines in complex 24x7 service environments.
Collaborate on strategic initiatives, analyzing our clients' toughest problems and formulating recommendations.
Rapidly develop proof-of-concept and prototype solutions.
Develop custom tooling for complex SaaS solutions to help Engineers manage technical debt, upgrades, and evolutionary changes.

Required Qualifications and Skills:
Education: Degree in Computer Science, Software Engineering, or related field. Master's or MBA preferred.
Experience: At least 10 years in software development and system architecture, with a minimum of 5 years in technology leadership roles such as CTO, VP of Engineering, or similar.
Technical Knowledge: Broad knowledge of the mentioned technologies. Ability to adapt and learn new technologies as needed.
Leadership Skills: Demonstrated ability to lead and develop high-performing engineering teams. Excellent mentoring and motivational skills.
Communication Skills: Clear and effective communication with both technical and non-technical teams. Ability to present complex ideas comprehensibly to various audiences."
TECHNICAL OPERATIONS MANAGER-SNOC,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18211869,"Descripción
We are seeking a highly skilled and experienced Technical Operations Manager with a strong background in DevOps to lead our technical operations. This role involves overseeing the strategy and execution of our network and security operations center (SNOC) while managing and mentoring a team of SNOC technicians dedicated to maintaining the highest standards of infrastructure service for our clients.
 Responsibilities:
•            Oversee the overall management and strategic direction of the SNOC, ensuring 24/7/365 coverage and optimal network infrastructure uptime for clients.
•            Lead, mentor, and develop a team of SNOC technicians and engineers, focusing on leadership, technical excellence, and career growth.
•            Design, implement, and continually refine policies and procedures for the SNOC, targeting operational efficiency, quality service delivery, and client satisfaction.
•            Proactively monitor and manage network performance and security, identifying potential issues and implementing preventative strategies.
•            Foster a culture of documentation and reporting, maintaining detailed records of network performance, incident management, and resolution outcomes.
•            Collaborate cross-functionally with teams like Service Desk, Pre-Sales, and Sales, enhancing communication and ensuring alignment in client service.
•            Keep abreast of industry trends in network operations, automation, application management, and leadership best practices.
•            Lead the on-call rotation schedule, ensuring constant coverage and support for the SNOC and our clients.
•            Manage complex virtualization and storage environments, ensuring high availability and performance.
•            Uphold a strong technical foundation in Cisco and VMware infrastructures, Azure, Kubernetes, Meraki, and firewall management.
•            Utilize Elasticsearch for advanced SIEM applications, ensuring robust security monitoring and incident response capabilities.
 Requirements:
•            Bachelor's degree in Computer Science, Information Technology, or a related field.
•            A minimum of 7 years of experience in network operations and automation, with at least 3 years in a leadership or managerial role.
•            Exceptional technical skills in network automation, virtualization, storage environment management, and monitoring tools (e.g., Ansible, Python, SolarWinds, Zabbix, Elasticsearch).
•            Proven experience in leading and developing technical teams, with a focus on building strong team dynamics and individual career growth.
•            Strong incident management and problem-resolution skills, with a track record of maintaining high service levels through JIRA Service Management.
•            Excellent communication, leadership, and team management abilities.
•            Good command of both spoken and written English and Spanish
•            Ability to manage high-pressure situations and prioritize multiple tasks effectively.
•            Willingness to work flexible hours, including on-call responsibilities and occasional weekends.
•            Relevant certifications such as DCA, CKA, CKAD, ITIL, Cisco CCNP, or VMware VCP are highly desirable.
  What We Offer:
•            A competitive salary (range between $60,000 to $80,000 MXN/Month gross salary according to experience) and comprehensive benefits package.
•            Opportunities for professional growth and development in a dynamic and supportive environment.
•            A chance to lead and shape the future of our technical operations, impacting client satisfaction and business success.
If you are a seasoned professional with a passion for technical and operational excellence, coupled with strong leadership skills, we encourage you to apply for this exciting opportunity as our Technical Operations Manager."
ServiceNow Jr. Developer,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18177339,"Descripción
This role sits within the Enterprise Technology Services (ETS) team who are accountable for all Infrastructure, Security, IT Operations and all End User Services and technologies.
Client Details
Global, science-led, patient-focused pharmaceutical company dedicated to transforming the future of healthcare by unlocking the power of what science can do for people, society and the planet.
Description
Proactive
Advanced English skills
Familiarity with ServiceNow modules
ITSM
Profile
Strong stakeholder management and communication skills
Ability to learn new technologies and adapt to changing business requirements
Job Offer
Salary: MXN $25,000 gross/monthly
Benefits: Above the law
Hybrid role in Guadalajara (3 days onsite / 2 days home office)"
Manager - Security Operations • IT Security,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18407006,"Descripción
It's fun to work in a company where people truly BELIEVE in what they're doing! Job Description: Ingram Micro touches 80% of the technology you use every day with our focus on Technology Solutions, Cloud, and Commerce and Lifecycle Solutions. With $50 billion in revenue, we have become the world's largest technology distributor with operations in 64 countries and more than 35,000 associates. Requirements: Seven or more years of full-time professional experience in the Information Security field Experience working in a Security Operations Center (SOC), Managed Security Service (MSS), or inhouse SoC. Inhouse (SOC) is a plus Understanding of contemporary security architectures/devices such as firewalls, routers, switches, load balancers, remote access technologies, anti-malware, SIEM, and AV Strong time management and multitasking skills, attention to details and strong collaborative skills required Provide technical guidance to team members in the areas of Cyber Security Manage Individual and team performance to consistently meet performance standards Develop and Support Strategic plan and projects to meet Security Operations Center goals and Objectives. Experience in developing and tracking of Security Operations metrics Should have experience in creation of executive presentations Coaching and training experience Willing to work in shift pattern (4 teams with two 12-hour shift, shift pattern working and non-working hours 2 days on, 2 days off, 3 days on, 2 days off, 2 days on, 3 days off) Ability to provide on call support when needed. *This is not a complete listing of the job duties. It's a representation of the things you will be doing, and you may not perform all of these duties. Qualifications: Queue management (Open, Track, and close Security Incidents) Familiarity with cyber security frameworks such as NIST CSF. Demonstrate use and understanding of security technologies such as Security Incident and Event Management (SIEM) & Endpoint Detection and Response (EDR) Demonstrated threat hunting experience SIEM and EDR solutions. Evaluate, respond, and mitigate alerts that originate from the SIEM and the Cybersecurity product suite, e.g. IDS/IPS, Anti-virus, Web Application Firewalls, NAC Solution, EDR etc Should have an understanding or working knowledge on Network Based Attacks / System Based Attacks, Denial of Service Attacks, HTTP Based DoS Attacks, Brute force attacks. Ability to identify common false positives and make suggestions on tuning. Certifications & Knowledge One or more certifications preferred (GCIA, CISSP, CCSE, CISA, HBSS, NSA, CEH, Cisco Security, Security +, OSCP"
"Associate Professional, Information Security (SOC)",https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18406742,"Descripción
It's fun to work in a company where people truly BELIEVE in what they're doing! Job Description: Join the business behind the world's technology brands. You'll be providing leading-edge IT solutions whilst enjoying the benefits of an ethical, multinational corporation— building us a brighter tomorrow. Be part of our tomorrow as an Information Associate Professional Security Center (SOC) Position Summary Perform triage of incoming issues (asses the priority and determine risk). Validate suspicious events and escalate as needed alerts that require analysis. Triage and investigate security events. Incident intake, ticket updates and reporting of cyber events. Act as the first line of defense while detecting and identifying the occurrences of cybersecurity events. Investigate security notifications. Analyze detected events to understand attack targets and methods. Tune and implement configuration changes to security controls, as necessary. Stay up to date on information technology trends and security standards. What you bring to the role A bachelor/s degree in I.T., Engineering, Cyber Security or related science and math discipline with an information emphasis or equivalent experience English Proficiency is a must (C1-C2) One or more years of full-time professional experience in the Information Security field Experience working in a Security Operations Center (SOC), Managed Security Service (MSS), or enterprise network environment Answer incoming calls and monitor various email accounts and act according to SOC procedures and process Proactively identify and remediate threats occurring in the environment Participate in the day-to-day security operations monitoring and response from the Security Operations Center. and Event Management (SIEM) & Endpoint Detection and Response (EDR) Evaluate, respond, and mitigate alerts that originate from the SIEM and the security tools Basic understanding of vulnerability assessment tools. Queue management of security events Demonstrate use and understanding of security technologies such as Security Incident This position requites availability to work different shifts. Work in 12-hour shift (2-2-3 schedule) Lets shape tomorrow Ingram Micro is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or any other protected category under applicable law."
Sr. Security Engineer,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18388930,"Descripción
Boldr is the first global B-Corp dedicated to delivering world-class Client experiences while creating access to dignified, meaningful work in communities around the world. We are a global team, united by our desire to connect diverse people with common values for boldr impact. We employ just over a thousand team members across five countries and we want to employ over 5,000 people by 2027, if not sooner. LET'S START WITH OUR VALUES Meaningful connections start with AUTHENTICITY We do our best work by being CURIOUS We grow by remaining DYNAMIC Our success combines AMBITIOUS VISION with OPERATIONAL EXCELLENCE At the heart of great partnerships we'll always find EMPATHY WHAT IS YOUR ROLE As a Senior Application Security Engineer, you will be critical to the success of our company. You will work with multiple and diverse teams, including, but not limited to, Product, Infrastructure and Engineering, Legal, IT Operations, and Security. The role plays a critical function and cloud security efforts ensure we are continuously improving the security of our products and services. The ideal candidate is a proven security technology and methodology expert who enables other engineering partners to make the right security design decisions and trade-offs. WHY DO WE WANT YOU We are currently looking for impact-driven individuals who are passionate in helping Boldr grow and achieve our Purpose. We expect our Team to become our ultimate partners to success by always giving their 110% in everything, sharing their talents and quirks, and championing our core values: Curious, Dynamic and Authentic. WHAT WILL YOU DO Play a pivotal role within Platform Engineering, driving global platforms and programs that span the organization Leading cross-functional, infrastructure, and software engineering programs spanning multiple teams Lead goal-driven global programs to develop and manage end-to-end solution plans, monitor and ensure on-time delivery Provide hands-on program management during analysis, design, development, testing, implementation, and support post-implementation phases Identify and manage risks, plan mitigations and drive change management on projects Provide day-to-day coordination and quality assurance for projects and tasks Drive internal and external process improvements across multiple teams and functions Interface with business stakeholders, engineering and cross-functional partners (XFN) for project requirements and scope Help drive product decisions to align with higher company initiatives Own undefined spaces bringing clarity to ambiguity by working with XFN stakeholders to clearly define business and technical problems we need to solve Define overall Vision, Strategy, and Roadmap to address the problems/opportunities in collaboration with Product Manager and Engineers Create product backlog with user stories to develop features Facilitate difficult conversations against competing priorities Develop execution plans to implement features. Lead product and technical discussions to identify and remove any roadblocks Be hands-on when needed and dive deep both on tech architecture and code/data Manage and track execution and accountability across different product/engineering teams Provide regular updates to the product teams and senior leadership Lead dogfooding sessions with stakeholders to solicit feedback on features under development Post launch, conduct roadshows, trainings across the organizations and evangelize product adoption Actively manage risks, issues, action items, follow-ups to ensure timely closure Requirements WHAT WE'LL LIKE ABOUT YOU YOU ARE… Curious and authentic, just like us! #beboldr An analytical and critical thinker, with an eye for even the most minute of details Passionate about client satisfaction. YOU HAVE… Minimum 7+ years of overall experience in information security with technical experience in any combination of the following: threat modeling experience, application security risk assessment, secure coding or OWASP ASVS, OWASP Top Ten exploitation paths, secure identity management and authentication, software development, and network security. Minimum 5 years of experience of application security engineering and preferably in one or more of the following languages (Scala, Python, Typescript, Bash) Minimum 3 years of experience with cloud environments (AWS preferred, Google Cloud, K8s, Containers, etc.) Extensive experience and strong understanding of AWS services and cloud security controls including but not limited to such as IAM, KMS, VPC, Security Groups, AWS Inspector, Guard Duty. Technical knowledge on operating and cloud system security leveraging configuration standards such as CIS. Extensive understanding of MITRE ATT&CK, NIST CSF, CVSS and CWE criteria, enumeration and scoring. Experienced in security testing tools and techniques, such as vulnerability management, SAST, Secret scanning, SCA, and penetration testing. Knowledge of identifying key risk indicators is important. Strong analytical skills with the ability to identify and mitigate security risks. Experience securing CI/CD pipelines enabling strong security controls through the implementation of commercial and custom built tooling. Preferred but not required: Application security certifications Preferred but not required: Network optimization engineering experience with AWS and data streaming services Benefits"
Security Incident Responder Engineer,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18387321,"Descripción
Tackling the complex banking system to empower people in one of the world's most bureaucratic markets seems like a crazy idea, right? But that's why, how, and where Nubank was born. We fight complexity through our transparent and straightforward products and experiences: a no-fee credit card, a rewards program, a lending platform, and a digital savings account. In a nutshell, we are the most innovative tech company in Latin America, and we are obsessed with building financial services and products that make our customers love us fanatically. With over 40 million customers and $1.2 billion raised in investment rounds, we are the fastest growing digital bank in the world, with offices in Brazil, Mexico, Colombia, Germany, EUA and Argentina. And it's still only Day One for us! Infosec & Security Operation Center (SOC) The Nubank Security Operation team proactively hunts for security threats that may affect Customers or Nubankers, acts fast on security incidents to investigate those threats, and applies mechanisms to mitigate them. Also, Security Operation has a strong engineering power to decrease the time to act on threats through automation and dedicated micro-services. You can find more about Nubank Infosec here: https://blog.nubank.com.br/infosec-nubank-protecao-dados/ We believe in: Strong and diverse teams; Enthusiasm for building and delivering new features and products; Capacity to keep learning new things while constantly improving what we are already good at; Collaborating efficiently to ship quality service/products. Our Challenges Nubank is experiencing hyper-growth in several dimensions: number of customers, products, international markets, and employees. We are seeking a Cyber Security Manager who, together with the team, can relentlessly pursue and eradicate threats across complex environments. As a Cyber Security Manager, you will be able to build and scale a healthy security operation team to tackle challenges from anomaly detection to incident response. Furthermore, you will be able to work to protect the applications powering one of the most sophisticated digital banking platforms ever built, and building solutions that enable faster and more effective security operation. What is a typical day for a Senior Security Incident Responder? The Nu Incident Response team analyzes information, discusses observations and activities, and shares reports and communications across the company. The amount of time spent on any one of these activities depends on one key question: Is this a time of calm or crisis? That's why it's essential to have an extraordinary person who combines intellectual curiosity with a tireless passion for never giving up, especially during times of crisis. Security Operations (SecOps) is a collaboration between security and IT operations teams, where security and operations staff assume joint ownership and responsibility for security concerns. It is a set of SOC processes, practices, and tools that can help Nubank meet security goals more efficiently. As a Senior Security Incident Responder, you will identify several types of security incidents by understanding how attacks work, and how to effectively respond before they get out of hand. The Senior Security Incident Responder will be responsible for: Analyzing and investigating every source of alerts and proactive improving our rule detection base Creating and keeping updated playbooks that are used to handle security incidents Stabilizing well-done communication between different squads to make it easy to automate or outsource incident response and analysis to MSSP Mapping IT systems and functions needed in the security incident playbooks Building Indicators of Compromise (IOCs) that arise from security investigations What you'll need to be successful: Must Have Strong experience handling security incidents Real experience as SOC L2 and L3 using methodologies for investigation and incident response Strong teamwork English verbal and written communication skills Knowledge of frameworks such as Mitre or NIST Log Analysis experience Yara/Yara-L language, how to query and modify alerts at Google Chronicle Curious and innovative Security Analyst with a passion for information security operations, customer service, and automation Nice to have Experience (administration/implementation/configuration) on security platforms such as Firewalls, IPS/IDS, WAF, EDR, or IDM Experience in incident response in regulated or financial companies Defensive certifications or equivalent knowledge Github real-world experience Experience scripting such as Python, shell script or Clojure Experience with AWS products Experience with automation and usage of: Okta Fortinet Palo Alto technologies Google Security Tools (Gmail, DLP, and Google products hardening) Benefits ? Nubank equity ? Health and life insurance ? Food card ? 17 days of paid vacation with 25% vacation bonus ? Holiday Bonus (""Aguinaldo"") of 30 days of pay per year ? NuCare - Our mental health and wellness assistance program ? NuLanguage - Our language learning program ? Extended maternity and paternity leaves"
Senior Cloud Operations Professional - Cloud Landscape Management,https://www.occ.com.mx/empleos/de-it-security-operations/en-Mexico/?page=1&jobid=18290179,"Descripción
Our company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from. Apply now! Job Overview: We are seeking an experienced Senior Platform Engineer to join our team as we extend and transform our cloud operations model to 24/5 and, in future, to 24/7. As the Global Account owners responsible for Governance and Operations on SAP Business Technology Platform (BTP), we are looking for a candidate who can contribute in building significantly to the delivery and improvement of automated cloud landscape management. The successful candidate will play a crucial role in building up a new operations team to be able to operate our cloud landscape 24/7. Additionally candidate can improve processes, implementing Infrastructure as Data (IaD) using Crossplane, enhancing security measures, and driving efficiency in our cloud operations. Key Responsibilities: Lead the operations and continuous improvement of automated cloud landscape management on SAP BTP. Being an expert in operational task and also fulfill those tasks and services Work towards transitioning the operations model to 24/5 or 24/7, establishing processes, ensuring seamless operations and minimal downtime. Ensure seamless operations, including efficient issue escalation, timely fulfillment of service requests, and overall operational excellence. Take a leadership role in upskilling and guiding a newly onboarded 3rd party Ops team, providing necessary support and expertise. Foster a culture of clear communication and documentation to facilitate knowledge sharing and collaboration within the team. Proactively address operational challenges, troubleshoot issues, and implement solutions to maintain a high level of system reliability. Work closely with internal and external teams to transfer knowledge and ensure a smooth transition of operational responsibilities. Drive security initiatives across the cloud landscape, ensuring compliance with industry standards and best practices. Collaborate with the team to enforce security measures and implement automation to enhance overall operational efficiency. Collaborate closely with internal teams and stakeholders to understand requirements and deliver effective solutions. Leverage expertise in authentication and authorization topics to enhance the security posture of our cloud landscape. Implement best practices for user access control and identity management. Utilizing Infrastructure as Data principles, with a focus on implementing and optimizing Crossplane for efficient Infrastructure as Data (IaD) Evaluate new cloud and platform technologies to contribute to the development of end-to-end reference architecture. This position is within a globally distributed team spanning three time zones to ensure 24/5 (24/7 in the future) coverage. Qualifications and Skills: Extensive experience in cloud landscape management and governance, preferably with SAP BTP. Project management experience, preferably in operations area. Strong leading and organizational skills Establishing new operation teams Strong background in automation, cloud operations, cloud security and operations model transformation. ITIL 4 Certification (Intermediate/Expert/Master) Proven experience with Infrastructure as Code (IaC) and Crossplane for Infrastructure as Data (IaD). Excellent communication English verbal and written skills with the ability to create and maintain comprehensive technical documentation Ability to convey complex technical concepts to non-technical stakeholders. Knowledge and experience in authentication and authorization protocols. Proven ability to evaluate and implement recent technologies to drive innovation. We build breakthroughs together SAP innovations help more than 400,000 customers worldwide work together more efficiently and use business insight more effectively. Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end-to-end business application software and related services for database, analytics, intelligent technologies, and experience management. As a cloud company with 200 million users and more than 100,000 employees worldwide, we are purpose-driven and future-focused, with a highly collaborative team ethic and commitment to personal development. Whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves. At SAP, we build breakthroughs, together. We win with inclusion SAP's culture of inclusion, focus on health and well-being, and flexible working models help ensure that everyone – regardless of background – feels included and can run at their best. At SAP, we believe we are made stronger by the unique capabilities and qualities that each person brings to our company, and we invest in our employees to inspire confidence and help everyone realize their full potential. We ultimately believe in unleashing all talent and creating a better and more equitable world. SAP is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to the values of Equal Employment Opportunity and provide accessibility accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team: Careers@sap.com For SAP employees: Only permanent roles are eligible for the SAP Employee Referral Program, according to the eligibility rules set in the SAP Referral Policy. Specific conditions may apply for roles in Vocational Training. EOE AA M/F/Vet/Disability: Qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, ethnicity, age, gender (including pregnancy, childbirth, et al), sexual orientation, gender identity or expression, protected veteran status, or disability. Successful candidates might be required to undergo a background verification with an external vendor. Requisition ID: 389875 | Work Area: Information Technology | Expected Travel: 0 - 10% | Career Status: Professional | Employment Type: Regular Full Time | Additional Locations: #LI-Hybrid. Job Segment: Cloud, ERP, SAP, Manager, Landscaping, Technology, Management, Operations"
