Job_Title,Job_Description,Job_Url
Machine Learning Engineer,https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18315838,"Descripción
We're hiring! 

At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place To Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant!

We have an exciting opportunity for an exceptional individual to work supporting one of our clients as a Machine Learning Engineer


What you'll do:
- Design technical solutions on the main AI areas: Computer Vision, NLP or Data Science
- Train AI models using Machine Learning and Deep Learning Python libraries
- Evaluate models designing and implementing KPIs based on business necessities
- Prompt engineering based on GPT, LLama and Mistral Large Language Model (LLMs) technologies.
- Research the latest advancements in AI

Preferred experience:
- Bachelors degree in Computer Science or related field with or a Masters degree of Data Science.
- Strong Experience using Python
- Strong Experience using Machine Learning and Deep Learning Python libraries: Pytorch, Tensorflow, SKLearn or Pandas
- Advance level of English is a Must


Why Cognizant?
Improve your career in one of the largest and fastest growing IT services providers worldwide
Receive ongoing support and funding with training and development plans
Have a highly competitive benefits and salary package
Get the opportunity to work for leading global companies
We are committed to respecting human rights and build a better future by helping your minds and the environment 
We invest in people and their wellbeing. 

We create conditions for everyone to thrive. We do not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered. 

At Cognizant we believe than our culture make us stronger! 
Join us now!

#BeCognizant #IntuitionEngineered"
"""Machine Learning Engineer""",https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18262280,"Descripción
Consultoría de TI, se encuentra en búsqueda de Machine learning Engineer para prestar sus servicios para cliente importante en E.U.
FORMA PARTE DE UN EXCELENTE EQUIPO DE TRABAJO

Solo necesitas:
·        Licenciatura en Informática, Ingeniería, Matemáticas, Estadística o afines. Se prefiere una maestría.
·        5 a 8 años de experiencia utilizando varios lenguajes de programación para desarrollar y aplicar métodos y algoritmos avanzados de aprendizaje automático.
·        Inglés avanzado para interacción con clientes extranjeros, no se aceptará básico.
·        La misión principal de este rol es permitir la evaluación de diagnóstico, la planificación predictiva y la toma de decisiones prescriptivas en la resolución de problemas cotidianos en toda la empresa.

Conocimientos:
1.      Diseño de Canales de Aprendizaje Automático
2.      Comprensión Profunda y Consultoría Interna
3.      Interpretación de Resultados y Colaboración
4.      Herramientas:
·        Técnicas de aprendizaje automático.
·        Experiencia en infraestructura de la nube de Azure.
·        Competencia en lenguajes de programación como Spark, PySpark, R o Python.
·        Experiencia en visualización/presentación de datos con PowerBI y/o Tableau

Actividades:
1.      Modelado:
·        Probar e implementar métodos de ingeniería de datos y aprendizaje automático para impulsar el crecimiento empresarial.
·        Diseñar y mantener procesos de datos y canales de capacitación de modelos en Azure Data Factory y DataBricks Workflows.
·        Mover código y canalización ADF/DataBricks de entornos de desarrollo a entornos de producción utilizando el proceso Git CI/CD.
·        Impulsar la ejecución de soluciones de IA para abordar las necesidades comerciales.
·        Incorporar las últimas técnicas de aprendizaje automático y procesamiento de datos en las soluciones y modelos de NUSA.

2.      Integración:
·        Diseñar y construir herramientas de visualización avanzadas para simplificar los resultados de los modelos.
·        Desarrollar presentaciones e informes profesionales sobre el estado del proyecto.

3.      Áreas de Análisis Potenciales:
·        Motores de recomendación.
·        Planificación de escenarios predictivos.
·        Optimización prescriptiva.
·        Previsión integrada.
·        Automatización Inteligente.

4.      Colaboración:
·        Colaborarás con los equipos de análisis, datos, ciencia de datos y TI dentro del equipo de aceleración digital de NUSA, y funciones comerciales en toda nuestra cartera de proyectos de análisis.

Habilidades y Calificaciones Necesarias:
·        Perspicacia para los negocios.
·        Pasión por resolver problemas de datos complejos en un entorno acelerado.
·        Habilidades de facilitación, presentación, comunicación oral y escrita.
·        Alta iniciativa y capacidad de trabajar con supervisión limitada.


Ofrecemos:
·        Sueldo conforme experiencia
·        Prestaciones de ley
·        Crecimiento constante
·        Home Office
·        Horario de Oficina.
·        Excelente ambiente de trabajo
·        Oportunidad de crecimiento
·        Contratación inmediata
 Si cumples con estos requisitos y estás listo para enfrentar desafíos emocionantes en el campo del aprendizaje automático, ¡esperamos recibir tu aplicación!"
Machine Learning Engineer Sr.,https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18303529,"Descripción
Consultoría de TI, se encuentra en búsqueda de Machine learning Engineer para prestar sus servicios para cliente importante en E.U.
FORMA PARTE DE UN EXCELENTE EQUIPO DE TRABAJO

Solo necesitas:
·        Licenciatura en Informática, Ingeniería, Matemáticas, Estadística o afines. Se prefiere una maestría.
·        5 a 8 años de experiencia utilizando varios lenguajes de programación para desarrollar y aplicar métodos y algoritmos avanzados de aprendizaje automático.
·        Inglés avanzado para interacción con clientes extranjeros, no se aceptará básico.
·        La misión principal de este rol es permitir la evaluación de diagnóstico, la planificación predictiva y la toma de decisiones prescriptivas en la resolución de problemas cotidianos en toda la empresa.

Conocimientos:
1.      Diseño de Canales de Aprendizaje Automático
2.      Comprensión Profunda y Consultoría Interna
3.      Interpretación de Resultados y Colaboración
4.      Herramientas:
·        Técnicas de aprendizaje automático.
·        Experiencia en infraestructura de la nube de Azure.
·        Competencia en lenguajes de programación como Spark, PySpark, R o Python.
·        Experiencia en visualización/presentación de datos con PowerBI y/o Tableau

Actividades:
1.      Modelado:
·        Probar e implementar métodos de ingeniería de datos y aprendizaje automático para impulsar el crecimiento empresarial.
·        Diseñar y mantener procesos de datos y canales de capacitación de modelos en Azure Data Factory y DataBricks Workflows.
·        Mover código y canalización ADF/DataBricks de entornos de desarrollo a entornos de producción utilizando el proceso Git CI/CD.
·        Impulsar la ejecución de soluciones de IA para abordar las necesidades comerciales.
·        Incorporar las últimas técnicas de aprendizaje automático y procesamiento de datos en las soluciones y modelos de NUSA.

2.      Integración:
·        Diseñar y construir herramientas de visualización avanzadas para simplificar los resultados de los modelos.
·        Desarrollar presentaciones e informes profesionales sobre el estado del proyecto.

3.      Áreas de Análisis Potenciales:
·        Motores de recomendación.
·        Planificación de escenarios predictivos.
·        Optimización prescriptiva.
·        Previsión integrada.
·        Automatización Inteligente.

4.      Colaboración:
·        Colaborarás con los equipos de análisis, datos, ciencia de datos y TI dentro del equipo de aceleración digital de NUSA, y funciones comerciales en toda nuestra cartera de proyectos de análisis.

Habilidades y Calificaciones Necesarias:
·        Perspicacia para los negocios.
·        Pasión por resolver problemas de datos complejos en un entorno acelerado.
·        Habilidades de facilitación, presentación, comunicación oral y escrita.
·        Alta iniciativa y capacidad de trabajar con supervisión limitada.


Ofrecemos:
·        Sueldo conforme experiencia
·        Prestaciones de ley
. Sueldo: 57,000 bruto
·        Crecimiento constante
·        Home Office
·        Horario de Oficina.
·        Excelente ambiente de trabajo
·        Oportunidad de crecimiento
·        Contratación inmediata
 Si cumples con estos requisitos y estás listo para enfrentar desafíos emocionantes en el campo del aprendizaje automático, ¡esperamos recibir tu aplicación!"
Machine Learning Engineer - Modalidad hibrida CDMX,https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18314559,"Descripción
ZEMSANIA consultoría Española con presencia en 8 países busca incorporar el siguiente perfil para laborar con uno de nuestros clientes.

Cargo: Machine Learning Engineer - Modalidad hibrida CDMX

Requisitos y funciones

Desarrollar y mantener pipelines de ML altamente automatizados para entrenamiento, validación e implementación de modelos a gran escala.
Colaborar estrechamente con los equipos de ingeniería de software para integrar flujos de trabajo de ML en el ciclo de desarrollo de software, aplicando prácticas de DevOps y MLOps.
Implementar y gestionar infraestructura de computación distribuida y herramientas de orquestación para soportar flujos de trabajo de ML en entornos de producción.
Desarrollar métricas y herramientas de monitoreo para evaluar el rendimiento y la calidad de los modelos en producción.
Automatizar tareas de mantenimiento y monitoreo para garantizar la estabilidad y confiabilidad continua de los sistemas de ML.
Identificar las diferentes necesidades de datos e información (Fuentes, Catálogos, Indicadores, Dimensiones), atendiendo a los procesos y fuentes actuales de negocio así como los disponibles dentro de la arquitectura de Data Analytics, mismos que faciliten el dimensionamiento y propuesta de atención del producto.
Proponer estrategias de integración de datos a productos/herramientas considerando a las necesidades de negocio para robustecer el valor de los entregables
Identificar y proponer mediante la documentación generada, áreas de mejora dentro de la integración de datos con el objetivo de proponer soluciones más eficientes en la transformación de datos.
Conocer el significado e interpretación de los datos, y plasmar dicho entendimiento en los documentos entregados que se recogen de los distintos proyectos de integración de Data Analytics con el objetivo de generar insights valiosos para la toma de decisiones que impulse la consistencia de la información a través de los productos.
?
Modalidad hibrido 3 días en oficina.

Se ofrece:
Sueldo competitivo
Prestaciones de ley y superiores.
Estabilidad laboral"
Enginner Machine learning,https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18257852,"Descripción
Machine Learning Engineer

Resumen de Posición:
Estamos en busca de un Ingeniero de Machine Learning apasionado y altamente calificado para unirse a nuestro equipo. La misión principal de este rol es permitir la evaluación de diagnóstico, la planificación predictiva y la toma de decisiones prescriptivas en la resolución de problemas cotidianos en toda la empresa.

Requisitos y Nivel Educativo Mínimo:

·        Licenciatura en Informática, Ingeniería, Matemáticas, Estadística o afines. Se prefiere una maestría.
·        5 a 8 años de experiencia utilizando varios lenguajes de programación para desarrollar y aplicar métodos y algoritmos avanzados de aprendizaje automático.
·        Inglés avanzado para interacción con clientes extranjeros, no se aceptará básico.

Conocimientos necesarios:

1.      Diseño de Canales de Aprendizaje Automático:
·        Realizar evaluaciones del rendimiento del modelo e implementar modelos para respaldar la toma de decisiones operativas.
·        Introducir metodologías de aprendizaje automático en diversos casos de uso empresarial.

2.      Comprensión Profunda y Consultoría Interna:
·        Adquirir una comprensión profunda de los problemas empresariales y traducirlos en canales de aprendizaje automático adecuados.
·        Actuar como consultor interno, colaborando con clientes y científicos de datos para identificar oportunidades y definir problemas comerciales.

3.      Interpretación de Resultados y Colaboración:
·        Interpretar resultados y presentar hallazgos/recomendaciones a los grupos apropiados.
·        Colaborar con clientes para definir el uso de los modelos y capacitar a los usuarios sobre la integración.

4.      Herramientas:
·        Conocimiento práctico de técnicas de aprendizaje automático.
·        Experiencia en infraestructura de la nube de Azure.
·        Competencia en lenguajes de programación como Spark, PySpark, R o Python.
·        Experiencia en visualización/presentación de datos con PowerBI y/o Tableau

Responsabilidades Principales: Lo que Harás:

1.      Modelado:
·        Probar e implementar métodos de ingeniería de datos y aprendizaje automático para impulsar el crecimiento empresarial.
·        Diseñar y mantener procesos de datos y canales de capacitación de modelos en Azure Data Factory y DataBricks Workflows.
·        Mover código y canalización ADF/DataBricks de entornos de desarrollo a entornos de producción utilizando el proceso Git CI/CD.
·        Impulsar la ejecución de soluciones de IA para abordar las necesidades comerciales.
·        Incorporar las últimas técnicas de aprendizaje automático y procesamiento de datos en las soluciones y modelos de NUSA.

2.      Integración:
·        Diseñar y construir herramientas de visualización avanzadas para simplificar los resultados de los modelos.
·        Desarrollar presentaciones e informes profesionales sobre el estado del proyecto.

3.      Áreas de Análisis Potenciales:
·        Motores de recomendación.
·        Planificación de escenarios predictivos.
·        Optimización prescriptiva.
·        Previsión integrada.
·        Automatización Inteligente.

4.      Colaboración:
·        Colaborarás con los equipos de análisis, datos, ciencia de datos y TI dentro del equipo de aceleración digital de NUSA, y funciones comerciales en toda nuestra cartera de proyectos de análisis.

Habilidades y Calificaciones Necesarias:
·        Perspicacia para los negocios.
·        Pasión por resolver problemas de datos complejos en un entorno acelerado.
·        Habilidades de facilitación, presentación, comunicación oral y escrita.
·        Alta iniciativa y capacidad de trabajar con supervisión limitada.


Ofrecemos:
·        Sueldo conforme experiencia
·        Prestaciones de ley
·        Crecimiento constante
·        Esquema Hibrido
·        Horario de Oficina.
 Si cumples con estos requisitos y estás listo para enfrentar desafíos emocionantes en el campo del aprendizaje automático, ¡esperamos recibir tu aplicación!"
"Lead, Machine Learning Engineer",https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18394695,"Descripción
We are proud to be as one of the world's best places to work, a champion of diversity and a model of social responsibility. We are a Glassdoor Best Place to Work and we have maintained a spot in the top four since its founding in 2009. We believe that diversity, inclusion and collaboration are key to building extraordinary teams. We hire people with exceptional talents, abilities and potential, then create an environment where you can become the best version of yourself and thrive both professionally and personally. WHO YOU'LL WORK WITH Working alongside our generalist consultants, Bain's (AAG) helps clients across industries solve their biggest problems using our expertise in data science, customer insights, statistics, machine learning, data management, supply chain analytics and data engineering. Stationed in our global offices, AAG team members hold advanced degrees in computer science, engineering, AI, data science, physics, statistics, mathematics, and other quantitative disciplines, with backgrounds in a variety of fields including tech, data science, marketing analytics and academia. WHAT YOU'LL DO As a Lead, Machine Learning Engineer, you will lead on technical decision-making, embedded in projects and working with clients of different industries. You will also get your hands dirty writing code to get Machine Learning models working at real world production environments. This role teams up closely with Data Scientists, Impact Leaders, Consultants and Team Leaders to boost, deepen and streamline the development of innovative solutions that respond to high complexity problems. ABOUT YOU Solid theoretical background on machine learning, and practical experience on building and deploying machine learning models. Write code in Python, embracing good code practices. Being able to deal with different tasks during the whole Machine Learning life cycle. What kind of tasks? ML model deployment and maintenance, building and using tools for ML monitoring, CI/CD pipeline design, supporting experimentation with ML models, designing and building data pipelines, among others. You have experience working with cloud infrastructure. You are comfortable with the lifecycle of a Machine Learning model. You are comfortable with Containers. You can build a service that exposes a ML Learning model to be consumed by other applications. You love teaching others and sharing good practices. You like getting your hands dirty with new tools and languages. Sometimes it is better to take a risk and learn something new, rather than choosing the good old hammer you always use. It doesn't matter if you take more time, it is an investment for the future. You like being versatile. You get bored when every day looks the same, so you like sometimes getting dressed as a Data Scientist, Data Engineer or Software Engineer. Constant collaboration with your teammates. Provide and accept frequent feedback. Be autonomous within a collaborative environment. Find the best and unique version of yourself and boost it! You have 5 or more years of experience and/or a relevant graduate degree. ABOUT US Bain & Company is a global consultancy that helps the world's most ambitious change makers define the future. Across 64 cities in 39 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition, and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster, and more enduring outcomes. Our 10-year commitment to invest more than $1 billion in pro bono services brings our talent, expertise, and insight to organizations tackling today's urgent challenges in education, racial equity, social justice, economic development, and the environment. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client advocacy in the industry."
"Expert Manager, Machine Learning Engineer",https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18394455,"Descripción
We are proud to be as one of the world's best places to work, a champion of diversity and a model of social responsibility. We are a Glassdoor Best Place to Work and we have maintained a spot in the top four since its founding in 2009. We believe that diversity, inclusion and collaboration are key to building extraordinary teams. We hire people with exceptional talents, abilities and potential, then create an environment where you can become the best version of yourself and thrive both professionally and personally. WHO YOU'LL WORK WITH Working alongside our generalist consultants, Bain's (AAG) helps clients across industries solve their biggest problems using our expertise in data science, customer insights, statistics, machine learning, data management, supply chain analytics and data engineering. Stationed in our global offices, AAG team members hold advanced degrees in computer science, engineering, AI, data science, physics, statistics, mathematics, and other quantitative disciplines, with backgrounds in a variety of fields including tech, data science, marketing analytics and academia. WHAT YOU'LL DO As a Senior Machine Learning Engineer, you will play a fundamental role on technical decision making, embedded in projects and working with clients of different industries. You will also get your hands dirty writing code to get Machine Learning models working at real world production environments. This role teams up closely with Data Scientists, Impact Leaders, Consultants and Team Leaders to boost, deepen and streamline the development of innovative solutions that respond to high complexity problems. ABOUT YOU Solid theoretical background on machine learning, ideally practical experience on building and deploying machine learning models. Write code in Python, embracing good code practices. Being able to deal with different tasks during the whole Machine Learning life cycle. What kind of tasks? ML model deployment and maintenance, building and using tools for ML monitoring, CI/CD pipeline design, supporting experimentation with ML models, designing and building data pipelines, among others. You have experience working with cloud infrastructure. You are familiar with the lifecycle of a Machine Learning model. You are familiar with Containers. You can build a service that exposes a ML Learning model to be consumed by other applications. You love teaching others and sharing good practices. You like getting your hands dirty with new tools and languages. Sometimes it is better to take a risk and learn something new, rather than choosing the good old hammer you always use. It doesn't matter if you take more time, it is an investment for the future. You like being versatile. You get bored when every day looks the same, so you like sometimes getting dressed as a Data Scientist, Data Engineer or Software Engineer. Constant collaboration with your teammates. Provide and accept frequent feedback. Be autonomous within a collaborative environment. Find the best and unique version of yourself and boost it! You have 1 or more years of experience and/or a relevant graduate degree. ABOUT US Bain & Company is a global consultancy that helps the world's most ambitious change makers define the future. Across 64 cities in 39 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition, and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster, and more enduring outcomes. Our 10-year commitment to invest more than $1 billion in pro bono services brings our talent, expertise, and insight to organizations tackling today's urgent challenges in education, racial equity, social justice, economic development, and the environment. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client advocacy in the industry."
"Expert Manager, Machine Learning Engineer",https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18394134,"Descripción
We are proud to be as one of the world's best places to work, a champion of diversity and a model of social responsibility. We are a Glassdoor Best Place to Work and we have maintained a spot in the top four since its founding in 2009. We believe that diversity, inclusion and collaboration are key to building extraordinary teams. We hire people with exceptional talents, abilities and potential, then create an environment where you can become the best version of yourself and thrive both professionally and personally. WHO YOU'LL WORK WITH As a member of Bain's Advanced Analytics Group, you'll join a talented team of diverse and inclusive analytics professionals who are dedicated to solving complex challenges for our clients. We work closely with our generalist consultants and clients to develop data-driven strategies and innovative solutions. Our collaborative and supportive work environment fosters creativity and continuous learning, enabling us to consistently deliver exceptional results. WHAT YOU'LL DO Work with general consulting teams to understand ML aspects of business problems, and appropriately prioritize and execute? Provide technical leadership for end-to-end technical solution delivery on client cases (from solution architecture to hands-on development work)? Advise client executives on topics in ML engineering and roadmap design? Develop statistical/ML models to be handed over to clients as prototype or production software? Transform existing prototype code into scalable, production-grade software??? Write, test, deploy and maintain machine learning code across the full software development lifecycle? Codify client work into repeatable software toolkits and solutions? Regularly demonstrate code to other team members? Peer-review code contributions by other team members? Collaborate on (or lead) the development of re-usable common frameworks, model and components that can be highly leveraged to address common ML engineering problems across industries and business functions? Drive best demonstrated practices in software engineering, and share learnings with team members in AAG about theoretical and technical developments in ML engineering? Work with the team and other senior leaders to create a great working environment that attracts other great ML engineers? Act as PD Advisor as needed Participate in recruiting and onboarding for other team members ABOUT YOU 7+ years of engineering experience? 1+ years of experience managing data scientists / machine learning engineers? Shipped production, enterprise scale data products? Expert knowledge of Python and SQL? Proficiency in one or more of R, Java, C++, Scala, Go, Julia? Strong track record of implementing statistical and machine learning models, deploying these, and maintaining them in production environments? Strong understanding of fundamental computer science concepts, particularly data structures, algorithms, automated testing, object-oriented programming, performance complexity, and implications of computer architecture on software performance? Solid understanding of foundational concepts and algorithms in statistics and machine learning, including linear/logistic regression, SVM, random forest, boosting, neural networks, dimensionality reduction, reinforcement learning, etc.? Broad experience of machine learning frameworks and tools (e.g. Pandas, numpy, scikit-learn, TensorFlow, Pytorch, Keras, Huggingface)? Understanding of probabilistic programming techniques and associated tools (e.g. Pyro, Stan, Tensorflow Probability, PyMC3), Bayesian inference and MCMC methods? Experience using, designing and developing microservices and associated APIs, with a thorough understanding of REST, GraphQL, gRPC? Understanding of data security and privacy regulations, key topics in cybersecurity, authentication and authorization mechanisms (including cloud IAM)? Experience with MLOps (scalable development to deployment of complex data science workflows) and associated tools, e.g. MLflow, Kubeflow? Experience working in accordance with DevSecOps principles, and familiarity with industry deployment best practices using CI/CD tools and infrastructure as code (Jenkins, Docker, Kubernetes, and Terraform, Containers, Git)? Experience with cloud platforms (e.g. AWS, GCP, Azure, Databricks, etc) and associated machine learning products, e.g. Amazon SageMaker, Azure ML? Experience in big data technologies, e.g. Hadoop, BigQuery, MapReduce, Apache Spark?? Experience working according to agile principles? Strong interpersonal and communication skills, including the ability to explain and discuss technicalities of ML algorithms and techniques with colleagues and clients from other disciplines? Ability to work independently and juggle priorities to thrive in a fast paced and ambiguous environment, while also collaborating as part of a team in complex situations ABOUT US Bain & Company is a global consultancy that helps the world's most ambitious change makers define the future. Across 64 cities in 39 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition, and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster, and more enduring outcomes. Our 10-year commitment to invest more than $1 billion in pro bono services brings our talent, expertise, and insight to organizations tackling today's urgent challenges in education, racial equity, social justice, economic development, and the environment. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client advocacy in the industry."
"Expert Senior Manager, Machine Learning Engineer",https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18394657,"Descripción
We are proud to be as one of the world's best places to work, a champion of diversity and a model of social responsibility. We are a Glassdoor Best Place to Work and we have maintained a spot in the top four since its founding in 2009. We believe that diversity, inclusion and collaboration are key to building extraordinary teams. We hire people with exceptional talents, abilities and potential, then create an environment where you can become the best version of yourself and thrive both professionally and personally. WHO YOU'LL WORK WITH Working alongside our generalist consultants, Bain's (AAG) helps clients across industries solve their biggest problems using our expertise in data science, customer insights, statistics, machine learning, data management, supply chain analytics and data engineering. Stationed in our global offices, AAG team members hold advanced degrees in computer science, engineering, AI, data science, physics, statistics, mathematics, and other quantitative disciplines, with backgrounds in a variety of fields including tech, data science, marketing analytics and academia. WHAT YOU'LL DO As a member of the growing Data Science and Machine Learning (ML) Engineering team in Bain's Advanced Analytics Group, you will: Collaborate closely with and influence business consulting staff and leaders as part of multi-disciplinary teams to assess opportunities and develop data-driven solutions for Bain clients across a variety of sectors Translate business objectives into data and analytics solutions and, translate results into business insights using appropriate data engineering and data science applications Partner closely with other engineering and product specialists at Bain to support development of innovative analytics solutions and products Transform existing prototype code into optimized scalable, production-grade software Manage the development of re-usable frameworks, models and components Drive best practices in machine learning engineering and MLOps Develop relationships with external data and analytics vendors Provide thought championing in state-of-the-art machine-learning techniques Develop, deploy and support industry-leading machine learning solutions, aimed at solving client problems across industry verticals and business functions Act as Professional Development Advisor to a team of 3-5 machine learning engineers Support AAG leadership in extending and growing our machine learning, engineering and analytics capabilities Help develop Advanced Analytics intellectual property and identify areas of new opportunity for data science and analytics for Bain and its clients Travel is required (30%) Consideration will be given to individuals with a specialization in NLP or Computer Vision ABOUT YOU Advanced Degree in a quantitative discipline such as Computer Science, Engineering, Physics, Statistics, Applied Mathematics, etc. 10+ years of software engineering, analytics development or machine learning engineering experience 3+ years of experience managing data scientists and ML engineers Strong understanding of fundamental computer science concepts, software design best practices, software development lifecycle and common machine learning design patterns Solid understanding of foundational machine learning concepts and algorithms Broad experience deploying production-grade machine learning solutions on-premise or in the cloud Expert knowledge of Python programming and machine learning frameworks (Scikit-learn, TensorFlow, Keras, PyTorch, etc.) Experience implementing ML automation, MLOps (scalable development to deployment of complex data science workflows) and associated tools (e.g. MLflow, Kubeflow) Experience working in accordance with DevSecOps principles, and familiarity with industry deployment best practices using CI/CD tools and infrastructure as code (e.g., Docker, Kubernetes, Terraform) Extensive experience in at least one cloud platform (e.g. AWS, GCP, Azure) and associated machine learning services, e.g. Amazon SageMaker, Azure ML, Databricks Familiarity with Agile software development practices Strong interpersonal and communication skills, including the ability to explain and discuss machine learning concepts with colleagues and clients Ability to collaborate with people at all levels and with multi-office/region teams Ability to work without supervision and juggle priorities to thrive in a fast-paced and ambiguous environment, while also collaborating as part of a team in complex situations ADDITIONAL SKILLS Proficiency with core techniques of linear algebra (as relevant for implementation of ML models) and common optimization algorithms Experience using distributed computing engines, e.g. Dask, Ray, Spark Experience using big data technologies and distributed computing engines, e.g. HDFS, Spark, Kafka, Cassandra, Solr, Dask ABOUT US Bain & Company is a global consultancy that helps the world's most ambitious change makers define the future. Across 64 cities in 39 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition, and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster, and more enduring outcomes. Our 10-year commitment to invest more than $1 billion in pro bono services brings our talent, expertise, and insight to organizations tackling today's urgent challenges in education, racial equity, social justice, economic development, and the environment. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client advocacy in the industry."
Machine Learning Engineer,https://www.occ.com.mx/empleos/de-machine-learning-engineer/en-Mexico/?page=1&jobid=18319091,"Descripción
At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place To Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant! We have an exciting opportunity for an exceptional individual to work supporting one of our clients as a Machine Learning Engineer What you'll do: - Design technical solutions on the main AI areas: Computer Vision, NLP or Data Science - Train AI models using Machine Learning and Deep Learning Python libraries - Evaluate models designing and implementing KPIs based on business necessities - Prompt engineering based on GPT, LLama and Mistral Large Language Model (LLMs) technologies. - Research the latest advancements in AI Preferred experience: - Bachelors degree in Computer Science or related field with or a Masters degree of Data Science. - Strong Experience using Python - Strong Experience using Machine Learning and Deep Learning Python libraries: Pytorch, Tensorflow, SKLearn or Pandas - Advance level of English is a Must Why Cognizant? Improve your career in one of the largest and fastest growing IT services providers worldwide Receive ongoing support and funding with training and development plans Have a highly competitive benefits and salary package Get the opportunity to work for leading global companies We are committed to respecting human rights and build a better future by helping your minds and the environment We invest in people and their wellbeing. We create conditions for everyone to thrive. We do not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered. At Cognizant we believe than our culture make us stronger! Join us now! #BeCognizant #IntuitionEngineered Job Location : Guadalajara, Jalisco, Mexico || Mexico City, CDMX, Mexico Employee Status : Full Time Employee Shift : Day Job Travel : No Job Posting : Mar 25 2024 About Cognizant Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant."
