Job_Title,Job_Description,Job_Url
Digital marketing manager exp TELECOMUNICACIONES,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18394045,"Descripción
El Gerente de Marketing Digital desempeñará un papel fundamental en la planificación y ejecución de estrategias Go to market a través de actividades digitales dirigidas para adquirir nuevos clientes, mejorar la retención y reactivar cuentas pasivas.

FORMACION
Licenciatura en Marketing o afines, Maestría en Marketing Digital.

EXPERIENCIA
Gestión de equipos: Experiencia demostrada en liderar y gestionar equipos de marketing digital, con habilidades para motivar, capacitar y dirigir a los miembros del equipo hacia el logro de los objetivos.
Estrategias de adquisición de clientes: Experiencia en el diseño y ejecución de campañas de adquisición de clientes a través de diversos canales digitales como Google Ads, Facebook Ads, LinkedIn Ads, entre otros, con un enfoque en audiencias B2B.
Gestión de presupuestos de marketing digital y en la asignación eficiente de recursos para maximizar el retorno de la inversión superior a 3 MDP.
SEO y generación de contenido: Conocimientos sólidos en optimización para motores de búsqueda (SEO) y capacidad para generar contenido relevante y de alta calidad para páginas web, blogs y redes sociales.
Analítica y medición de resultados: Experiencia en el análisis de datos y métricas clave para evaluar el rendimiento de las campañas digitales, así como en la implementación de estrategias para mejorar el retorno de la inversión (ROI) y capacidad para interpretar métricas clave relacionadas con el rendimiento de las campañas digitales, la adquisición de clientes y la generación de leads.
Estrategia de Go-to-Market: Capacidad para diseñar y ejecutar estrategias de Go-to-Market efectivas, colaborando con diferentes áreas de la empresa para lanzar productos o servicios al mercado de manera exitosa.
Conocimientos técnicos para gestionar herramientas digitales relevantes para el marketing como Google Ads, Meta, Google Analytics, Search Console, Semrush, Hubspot, mailchip entre otras. Hands on.

CONOCIMIENTOS
Certificado en herramientas de Marketing digital
Conocimiento de Semrush para estrategias de SEO
Marketing de Contenidos
Analítica Web
Gestión de Redes Sociales
Automatización de Marketing
Conocimientos de HTML y CSS"
Marketing Project Manager,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18386623,"Descripción
Join our team! We are a leading marketing firm in Los Angeles, CA, specializing in e-commerce. We
offer marketplace management, creative content, influencer marketing, and paid acquisition
services, providing innovative solutions for our clients in the e-commerce space.

Responsibilities:

3+ years of experience in AM/Project Management or client relationship role
Next-level organizational, communication, and leadership skills
Customer-focused mindset, anticipating client needs
Deep experience in project management systems and team communication tools (Slack!)
Time management and proficiency in email marketing, paid media, or digital marketing
Planning, organizing, motivating team members, resource allocation
Communicating, time management, monitoring progress and scope
Bringing order to processes, planning and organizing projects, mapping out budgets, timelines
Ensuring projects are completed on time and delivered successfully to clients
Task assignments, resource allocation, monitoring project progress, budget, deadlines, etc.
Clarifying project requirements, owning campaign timelines, managing deadlines
Responsive via Slack for team collaboration and communication
Balancing client's wishes with account scope
Organizing team's workflow across multiple accounts, prioritizing tasks

Qualifications:

Bachelor's degree in Marketing or related field
Proven experience in e-commerce marketing or related field
Excellent communication and leadership skills
Proficiency in project management tools and team communication platforms
Ability to multitask and prioritize effectively
Strong analytical and problem-solving skills
Detail-oriented and highly organized"
PORJECT MANAGER MARKETING ESPECILISTA OPERACIONAL,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18397462,"Descripción
ESPECIALISTA OPERACIONAL EN MARKETING DIGITAL
PROJECT MANAGER
GESTION DE PROYECTOS
+5 AÑOS DE EXPERIENCIA
CONOCIMIENTO METODOLOGIAS AGILES SCRUM O AGIL
HIBRIDO
ESQUEMA MIXTO"
Gerente de mercadotecnia,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18378904,"Descripción
Escolaridad: Lic. Mercadotecnia/Publicidad/Relaciones Publicas o carrera a fin.

Experiencia: Experiencia mínima de 3 años como Gerente de mercadotecnia en el ramo inmobiliario.

?Funciones:

Creación y desarrollo de estrategia de marketing online y offline, que permitan llevar prospectos a nuestros desarrollos.
Manejo de estrategias para el posicionamiento de marca.
Asegurar el uso correcto de la imagen de marca.
Manejo de redes sociales.
Controlar presupuestos del área.
Análisis de resultados y acciones de marketing.
Plan de contenido en redes sociales.
Uso de CRM.
Estudios de mercado/competencias.
Manejo de agencias.
Trabajar en conjunto con el área de ventas con seguimientos en leds.
Análisis de tendencias de mercado para la innovación de estrategias.

Ofrecemos:
Sueldo fijo, fondo de ahorro, vales de despensa, prestaciones superiores a las de la ley."
Gerente de mercadotecnia,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18375531,"Descripción
Grupo Aldorf solicita para una de sus agencias ubicada en la Zona Metropolitana de Monterrey:

Puesto: Gerente de Mercadotecnia

Requisitos:

Sexo: Indistinto
Edad: 30 años en adelante
Edo. Civil: Indistinto
Escolaridad: Lic. en Mercadotecnia
Experiencia: 2 años como Gerente de Mercadotecnia

Competencias:

Trabajo en Equipo
Comportamiento Profesional
Apegado a Procesos
Confidencialidad
Comunicación Efectiva

Cualidades:

Creativo
Proactivo
Responsable
Organizado
Honesto

Principales Funciones:

Desarrollar estrategias y acciones de marketing integrales, considerando la creación de valor para el cliente, el comportamiento de compra y la gestión de las relaciones.
Manejo de personal a cargo
Manejo de redes sociales
Conversión y seguimiento de Leads
Reporte del dpto. a Planta (Grass Roots)
Análisis de la competencia directa
Organización de eventos promocionales de la marca
Elaboración de plan de medios y presupuestos
Revisión, Conservación y Renovación de la imagen de la sala de Exhibición.
Elaboración de Reportes para Gerencia General.

Ofrecemos:

Sueldo Base: $ 14,000.00 + Bonos
Seguro de Gastos Médicos Menores
Prestaciones de Ley
Oportunidad de Crecimiento y Desarrollo
Excelente Ambiente Laboral?"
Gerente de mercadotecnia,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18396176,"Descripción
¿Quieres formar parte del grupo líder automotriz en Aguascalientes?

NISSAN TORRES CORZO AGUASCALIENTES SUR BUSCA TU TALENTO COMO: GERENTE DE MERCADOTECNIA

Funciones:

*Incrementar la afluencia de clientes en área de ventas.

*Estrategias de trafico

*Conocimientos en diseño gráfico.

*Creación de campañas

*Entablar relaciones estratégicas y asociarse con agencias y proveedores claves de la industria.

*Preparar y monitorizar el presupuesto de marketing trimestral y anualmente y asignar fondos de un modo inteligente.

*Cumplimiento de KPIS.

Requisitos:

Experiencia mínima de 3 años como gerente de mercadotecnia.
Escolaridad: Licenciatura en mercadotecnia o afín. 
Trabajo bajo presión, enfocado a resultados, resolución de problemas, cumplimiento de objetivos.
Responsable, proactivo y dinámico.

Ofrecemos:
Oportunidad de crecimiento a corto y mediano plazo.
Prestaciones de ley 
¡Te estamos buscando!

¡VEN Y FORMA PARTE DE LA FAMILIA NISSAN TORRES CORZO SUR!"
3536 Gerente de Mercadotecnia para Casa de Sabores San Luis,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18381147,"Descripción
NUESTRA EMPRESA ASOSA PERSONAL CON MÁS DE 50 AÑOS EN EL MERCADO PIONERA EN RECLUTAMIENTO Y SELECCIÓN DE PERSONAL PURO PARA TODOS LOS PUESTOS Y ÁREAS SERVICIO DE HEAD HUNTING TOTALMENTE GRATUITO PARA TODOS LOS CANDIDATOS

CASA DE INGREDIENTES LÍDER CON FUERTE PROYECCIÓN DENTRO DE SU ÁREA URGE CONTRATAR

3536 GERENTE DE MERCADOTECNIA PARA SAN LUIS POTOSI

Lic. en Lic. Mercadotecnia, LAE o a fin Maestría en Mercadotecnia
Experiencia mínima de 5 años en roles de Mercadotecnia, de preferencia en el desarrollo de nuevos productos en la Industrial Alimenticia conocimiento del mercado de segmentos clave. Formación continua y actualización constante de la tenencias de mercadotecnia y la Industria Alimentaria.

Objetivo del Puesto: 
Esta posición desempeñará un rol importante al ser el responsable de liderar la estrategia de mercadotecnia para la creación de sabores y colores que satisfagan las necesidades enfocadas en el sector alimenticio, con un enfoque particular en segmentos de panificación y lácteos. Su función principal será impulsar la innovación en productos, colaborando estrechamente con el equipo de desarrollo para crear propuestas atractivas y alineadas con las tendencias del mercado. 
Funciones Principales: 
• Desarrollo de Estrategia de Mercadotecnia: 

Crear y liderar la estrategia de mercadotecnia para productos de sabores y colores, identificando oportunidades en segmentos estratégicos. 
Colaborar de manera interdisciplinaria con el equipo de Investigación y Desarrollo y el Área Comercial para alinear los productos con las demandas y expectativas del mercado. 
• Investigación de Mercado: 

Realizar estudios de mercado para comprender las tendencias y preferencias en la industria alimenticia, especialmente en los segmentos estratégicos. 
Analizar la competencia y proponer acciones para mantener la relevancia y diferenciación de nuestros productos. 
• Desarrollo de Propuestas Atractivas: 

Trabajar en estrecha colaboración con el equipo de desarrollo para crear propuestas innovadoras y atractivas, considerando las necesidades y deseos específicos en segmentos específicos 
• Gestión de Proyectos: 

Coordinar proyectos internos de nuevos productos, asegurando una ejecución efectiva y dentro de los plazos establecidos.

Sueldo: $ 60,000.00 más PSL
Horario Lunes a Viernes de 9 a 6 p.m.
Lugar de trabajo San Luis Potosí.

SI CUBRES EL PERFIL QUE ES INDISPENSABLE ENVIA TU C.V. EN WORD CON FOTO A LA ATENCIÓN DE ELSA NIETO"
Gerente de mercadotecnia,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18405018,"Descripción
Acerca de la empresa

Somos una empresa líder en el sector de Alimentos en Restaurantes, Comedores Industriales , con una larga trayectoria de éxito en el mercado mexicano. Nuestro equipo está compuesto por profesionales altamente capacitados y comprometidos con la excelencia en el servicio al cliente. Ofrecemos un ambiente de trabajo dinámico y colaborativo, donde fomentamos la creatividad y el desarrollo profesional de nuestros empleados.
Ubicación: Chihuahua, Chihuahua.

Requisitos del puesto

Estudios universitarios completos en el área de mercadotecnia, diseño o afín.
Experiencia comprobada en el área de Marketing Digital SEO/SEM.
Conocimientos avanzados en: Edición de imagen y video, Google Analytics, CRM, Data Digital, redes sociales y relaciones públicas, Edición y Manejo de Pagina Web.
Habilidades de comunicación efectiva y capacidad para trabajar en equipo.
Experiencia comprobable mínima de 5 años en roles de liderazgo de Marketing.


Responsabilidades del puesto

Desarrollar estrategias de mercadotecnia para promover los productos y servicios de la empresa.
Coordinar campañas publicitarias digitales y tradicionales.
Desarrollo de productos publicitarios.
Establecer relaciones solidas con socios estratégicos.
Analizar datos de mercado y tendencias para identificar oportunidades de crecimiento.
Gestionar el presupuesto de mercadotecnia y asegurar el retorno de la inversión.
Análisis de tendencias del mercado y comportamiento del consumidor.
Atención y soluciones a quejas, servicio al cliente.
Imagen Corporativa
Supervisar el desempeño del equipo de mercadotecnia y brindar retroalimentación.


Prestaciones y beneficios adicionales

Sueldo mensual competitivo.
Contratación permanente a tiempo completo.
Oportunidades de desarrollo profesional y crecimiento dentro de la empresa.
Ambiente de trabajo colaborativo y creativo.
Beneficios adicionales."
Gerente de Mercadotecnia,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18403125,"Descripción
Valoramos el talento y la creatividad de nuestro equipo, brindando un ambiente de trabajo colaborativo y oportunidades de crecimiento profesional.


Requisitos del puesto

Licenciatura en Diseño Gráfico, Mercadotecnia, Publicidad, o afines.
Experiencia comprobable en el puesto.
Conocimiento en estrategias de marketing digital y tradicional.
Habilidades analíticas y de liderazgo.
Capacidad para trabajar en equipo y bajo presión.

Responsabilidades del puesto

Definir, ejecutar y dar seguimiento al plan anual de mercadotecnia para cumplir con las necesidades del negocio.
Coordinar el presupuesto del área de MKT y realizar el seguimiento constante de los gastos y recursos para tomar decisiones informadas.
Supervisar el plan de trabajo del equipo interno y externo para garantizar la correcta ejecución de las funciones de mercadotecnia.
Implementar estrategias de contenidos, formatos y medios para promover las marcas y generar demanda en el mercado.
Analizar la investigación de mercado para identificar oportunidades y tendencias en los segmentos de mercado.
Coordinar planes de mercadotecnia en canales digitales y tradicionales, contribuyendo a las estrategias publicitarias y promocionales de la organización.
Supervisar la producción de materiales audiovisuales y eventos para incrementar la afluencia física y digital.


Prestaciones y beneficios adicionales

Sueldo mensual de 50000 a 55000
Oportunidades de crecimiento profesional.
Ambiente de trabajo colaborativo.
Beneficios adicionales a convenir."
GERENTE DE MARKETING DIGITAL,https://www.occ.com.mx/empleos/de-marketing-manager/en-Mexico/?page=1&jobid=18359502,"Descripción
IMPORTANTE COMERCIALIZADORA DE ARTICULOS PROMOCIONALES AL SUR DE MONTERREY SOLICITA ""GERENTE DE MARKETING DIGITAL"":

EXPERIENCIA:

MANEJO DE PERSONAL A CARGO
PLANIFICAR E IMPLEMENTAR ESTRATEGIAS PARA INCREMENTO DE VENTAS
DESARROLLAR Y DIRIGIR CAMPAÑAS DIGITALES Y PROMOCIONES DE MARKETING
IMPULSAR EL POSICIONAMIENTO DE LA MARCA
IDENTIFICACION DE CLIENTES POTENCIALES
PLANIFICACION Y EJECUCION DE MARKETING DIGITAL
SEO/SEM
CAMPAÑAS DE MAILING
PUBLICIDAD GRAFICA
MEDICION Y ELABORACION DE INFORMES SOBRE FUNCIONAMIENTO DE CAMPAÑAS DE MARKETING DIGITAL
ANALISIS DE MERCADO
COLABORACION CON EQUIPOS INTERNOS PARA CREAR PAGINAS DE ATERRIZAJE Y OPTIMIZAR LA EXPERIENCIA DEL USUARIO
MEDICION Y REPORTE (RETORNO DE INVERSION Y KPI´s)
REALIZAR ANALISIS DE LA COMPETENCIA


DESEABLE EXPERIENCIA EN:

REDES SOCIALES
ANALISIS DE MERCADO
MANEJO E INTERPRETACION DE ANALYTICS (GOOGLE Y FACEBOOK)
INTELIGENCIA DE NEGOCIOS

OFRECEMOS:
PRESTACIONES DE LEY (IMSS, INFONAVIT, PRIMA VACACIONAL, AGUINALDO)
ESTABILIDAD LABORAL

INTERESADOS FAVOR DE POSTULARSE POR ESTE MEDIO Y/O ENVIAR SU CV ACTUALIZADO CON FOTOGRAFIA"
