Job_Title,Job_Description,Job_Url
Network administrator,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18400038,"Descripción
SUMMARY:
The network administrator is responsible for maintaining, securing, and optimizing the network infrastructure of the company. The network administrator will work closely with the IT team and other departments to ensure the availability, performance, and security of the network systems and services. The network administrator will also troubleshoot and resolve network issues, implement network policies and procedures, and provide technical support and guidance to users and staff.

DUTIES AND RESPONSIBILITIES:
Install, configure, and maintain network devices, such as routers, switches, firewalls, wireless access points, and VPN servers.
Monitor and analyze network performance and traffic and identify and resolve network problems.
Implement and enforce network security policies and standards, such as firewall rules, access control lists, encryption, and authentication.
Perform network backup and recovery, and update network documentation and inventory.
Research and evaluate new network technologies and solutions and recommend improvements and upgrades.
Provide technical support and training to users and staff on network-related issues and requests.
Coordinate and collaborate with external vendors and service providers on network projects and contracts.
Delivers to commitments, meets deadlines, and manages multiple tasks
Work independently or as a team player in a team environment.
Very strong analytical and troubleshooting skills
Ability to learn quickly and work with best practices
Enthusiastic, self-motivated, self-starter and maintains positive attitude.
Excellent time management and organizational skills
Reports to the VP of Information Technology
 
SKILLS AND EXPERIENCE REQUIRED:
ENGLISH 100%
Bachelor's degree in computer science, information systems, or related field, or equivalent work experience.
At least three years of experience as a network administrator or engineer, or a similar role.
Strong knowledge and skills in network protocols, standards, and architectures, such as TCP/IP, Ethernet, LAN, WAN, WLAN, VPN, VLAN, DNS, DHCP, SNMP, and VoIP.
Proficient in network administration and troubleshooting tools, such as ping, traceroute, Wireshark, Nmap, and NetFlow.
Experience with network security best practices and tools, such as firewalls, antivirus, IDS/IPS, and VPN.
Experience with network management and monitoring systems, such as SolarWinds, Nagios, or Zabbix.
Certifications in network technologies and vendors, such as Cisco, Juniper, or CompTIA, are preferred.
Excellent communication, teamwork, and problem-solving skills.
Ability to work under pressure and meet deadlines.
Willingness to learn new skills and technologies.
 "
Administrativo de Informática,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18380584,"Descripción
Somos una empresa global líder en manejo de efectivo y soluciones de logística segura, con 160 años de experiencia en el ramo. Contamos con operaciones en 121 países y en México contamos con 79 sucursales.

Estamos en búsqueda de nuestro siguiente:

Administrativo de Informática

Requisitos
Técnico en informática (titulado) o Licenciatura en Ingeniería en Sistemas Computacionales
1 año de experiencia atención a clientes para soporte técnico, internet instalación de equipos, software y hardware
Horario L-V
Disponibilidad para viajar
Cartilla militar liberada (si aplica)

Responsabilidades

Cumplir la normatividad para la instalación y actualización de los sistemas informáticos, redes locales, equipo de cómputo, telefonía, e instalaciones eléctricas reguladas.

Administrar los Data/Equipment Rooms de las sucursales.

Mantener en condiciones óptimas el equipo de cómputo, redes locales, redes de área amplia, telefonía, instalaciones eléctricas reguladas y sistemas de producción.

Apoyar en la instalación de nuevos sistemas con base a los planes de trabajo establecidos.

Realizar seguimiento y monitoreo a las observaciones de las auditorías internas y externas de Infraestructura Tecnológica y Telecomunicaciones.

Administrar los equipos de infraestructura tecnológica y telecomunicaciones.

Ofrecemos
Sueldo atractivo
Prestaciones superiores a la ley
Vales de despensa
Fondo de ahorro
Caja de Ahorro
Prima vacacional
Seguro de vida
Aguinaldo
Contrato directo con la empresa
Se cotiza al 100
Estabilidad laboral

Horario
Lunes a viernes 8:00 a.m. – 6:00 p.m.

Zona de trabajo:
Col. Balderrama, Hermosillo, Son."
"BECARIO SISTEMAS, RECURSOS HUMANOS, DISEÑO, ADMINISTRATIVO",https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18373927,"Descripción
Office Depot solicita:
Puesto: BECARIO SISTEMAS, RECURSOS HUMANOS, DISEÑO, ADMINISTRATIVO

Realización de actividades administrativas y propias del área

Requisitos:

Estudiantes de Sistemas / Informática/ Diseño/ Comunicación/ Recursos Humanos/ Administración o afín (a partir de 7° semestre)
Promedio mínimo de 8
Horario: lunes a viernes 4 hrs. diarias (horario matutino)
Esquema de Trabajo: Presencial 
Zona de Trabajo: Santa Fe (Próximo cambio a Miyana Polanco en mayo)


**En Grupo Gigante tenemos el compromiso de construir un lugar de trabajo diverso e inclusivo por lo que todos nuestros procesos de Reclutamiento y Selección son libres de discriminación, sin que se haga distinción alguna por cuestión de edad, identidad de género, color de piel, origen étnico, nacionalidad, religión, ideología, nivel socioeconómico, personas con discapacidad, entre otras**

Ayuda económica de $4,000 libres.

¡ Aplica hoy y deja que Office Depot sea el inicio de tu carrera profesional!"
Auxiliar administrativo y ventas,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18381599,"Descripción
CT COMPUTADORAS Y TECNOLOGIA
Empresa líder mayorista dedicada a la compra - venta de equipo de cómputo y tecnologías de información con más de 31 años de presencia en el mercado nacional solicita:

Auxiliar administrativo y Ventas de Tecnología en ACOXPA
  Funciones:
 ·        Atención al Cliente.
·        Presentar sugerencias de venta al Cliente.
·        Realizar cotización de productos solicitados por el Cliente.
·        Dar seguimiento a las cotizaciones realizadas hasta su confirmación de venta o cancelación.
·        Realizar la factura de venta del Cliente.
·        Promoción de productos
  Requisitos:
 ·        Escolaridad: Licenciatura en Administración, Mercadotecnia, Sistemas Computacionales
·        Sexo: indistinto
·        Gusto por las ventas
·        Excelente presentación
  Experiencia en:
 ·        Negociación con proveedores y clientes
·        Cotizaciones
·        Cierre de ventas
·        Conocimientos básicos sobre equipo de cómputo
·        Comercialización de productos de tecnologías de información (computo, telefonía, videojuegos, accesorios, etc.)
·        Manejo de Office (Excel)
  Ofrecemos:
 ·        Horario de lunes a viernes
·        Sueldo base + bonos
·        Prestaciones de ley
·        Excelente ambiente de trabajo
·        Oportunidad de crecimiento"
RECEPCIONISTA EN POZA RICA,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18396165,"Descripción
Quálitas Compañía de Seguros está en búsqueda de talento para formar parte de su equipo de trabajo. 
 Características:

Estudios mínimos: Carrera trunca o técnica.
Sexo: Indistinto.
Capacidad para trabajar bajo presión.
Multitasking.
Manejo de Office y sistemas computacionales
Excelente presentación
1 año de experiencia en puestos similares.

Ofrecemos:
Salario competitivo.
Prestaciones de ley.
Horario de lunes a viernes 8:30 am a 6:30 pm
Estabilidad laboral.
Capacitación constante.

Interesados(as) postularse por este medio y enviar su CV con fotografía y expectativa salarial al correo de contacto.
 ""En Quálitas no solicitamos pruebas de embarazo ni de VIH""
""En Quálitas estamos comprometidos a brindar igualdad de oportunidades, respetando la diversidad de las personas, somos incluyentes y valoramos el talento”"
Coordinador de cuentas por pagar y contabilidad,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18385067,"Descripción
1.-Experiencia laboral mínimo 2 años en contabilidad y cuentas por pagar
2.-Conocimiento comprobable en Registro de operaciones de cuentas por pagar en ERP y contables
3.-Experiencia en Calculo depreciación y amortización
4.-Conocimiento de conceptos de nomina y sus registros
5.-Saber distinguir, que es una compra, un gasto y una inversión
6.-Que conozca cuales son los requisitos de los comprobantes fiscales digitales
7.-Saber leer estados financieros
8.- Tener conocimiento en sistemas computacionales ERP, Modulos de Contabilidad, Administrativo
10.-Que reconozca una lista del 69B
11.-Conocimiento en impuestos propios de una empresa e impuestos retenidos"
Validador de Captura,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18400983,"Descripción
BREVE DESCRIPCIÓN DE LA EMPRESA: 03 Junta Distrital Ejecutiva del Instituto Nacional Electoral en el estado de Chihuahua. El INE es un Organismo Constitucional Autónomo, máxima autoridad electoral del Estado Mexicano, que además de llevar a cabo las elecciones federales y emitir la Credencial para Votar, realiza una serie de actividades en materia de educación y capacitación cívica favor de la ciudadanía, entre otras. 
REQUISITOS:
·         Escolaridad: Educación media superior (bachillerato).
·         Conocimientos: Manejo de paquetería Office (Word, Excel, PowerPoint) y de correo electrónico.
·         Habilidades: Trabajo en equipo, habilidad para captura y revisión de información y trabajo bajo presión.
EXPERIENCIA Y ACTITUDES:
·         Experiencia laboral: Verificación y captura de información en sistemas informáticos (de 6 a 12 meses).
·         Actitudes: Disponibilidad de tiempo completo para prestar sus servicios en horario fuera de lo habitual (incluyendo fines de semana y días festivos). No estar laborando o estudiando al momento de su contratación.
OFRECIMIENTOS: Contratación por periodo determinado de tiempo en la modalidad de Honorarios Eventuales. 
TIPO DE PAGO: Quincenal.
RANGO DE PAGO: Honorarios: $12,000.00 (Doce mil pesos 00/100 M. N.). (Percepción mensual bruta)"
ANALISTA DE DESPACHO,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18405157,"Descripción
TOTALPLAY, importante empresa en el sector de las telecomunicaciones solicita:


                                               **** ANALISTA DE DESPACHO****

FUNCIONES PRINCIPALES:
+Atención a clientes
+Manejo de objeciones
+control de asignación de cuadrillas
+control de base de datos
+entrega de reportes

REQUISITOS:
+Edad de 23 a 45 años
+Escolaridad licenciatura trunca o terminada en áreas administrativas, sistemas, informática o a fin
+Experiencia 2 años en control y manejo de Excel (macros, tablas dinámicas, base de datos, monitoreo y gestión de información). REQUISITO INDISPENSABLE
+Facilidad de palabra
+Disponibilidad de tiempo para trabajar en fines de semana y hacer guardias cuando se requiera.

OFRECEMOS:
+Sueldo base mensual $10,000
+bono mensual de hasta $6000
+prestaciones de ley desde el primer día
+equipo necesario para la realización de sus actividades"
Cajero,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18363195,"Descripción
Acerca de la empresa

Información de la empresa BODESA SAPI DE CV es una empresa reconocida en el sector financiero, comprometida con la excelencia en el servicio al cliente y el desarrollo profesional de sus colaboradores. Ofrecemos un ambiente de trabajo dinámico y colaborativo, con oportunidades de crecimiento y aprendizaje continuo. Ubicación Esta vacante se encuentra en Manzanillo, Colima.

Requisitos del puesto

Bachillerato completo.
Experiencia previa como cajero preferiblemente.
Conocimientos básicos de sistemas informáticos y manejo de efectivo.


Responsabilidades del puesto

Promover y dar seguimiento a la colocación de productos y servicios financieros.
Administrar y custodiar los recursos y documentación de la Tienda de Servicios Financieros y sus clientes.
Cumplir con los lineamientos de control interno y el marco legal aplicable.


Prestaciones y beneficios adicionales

Sueldo mensual competitivo entre $9302 y $12521.
Oportunidades de crecimiento profesional.
Capacitación continua en el área financiera.
Ambiente de trabajo colaborativo y motivador."
Ingeniero de sistemas con conocimiento en CRM y ERP,https://www.occ.com.mx/empleos/de-network-and-computer-systems-administrator/en-Mexico/?page=1&jobid=18400369,"Descripción
¡Únete a nuestro equipo! Te invitamos a integrarte a una de las mejores empresas para trabajar en México y formar parte de una cultura basada en valores, crecimiento profesional y desarrollo de personas.


Funciones:
Dar Soporte a usuarios de la herramienta Intelisis, CRM cumpliendo los tiempos de respuesta comprometidos.
Brindar un servicio de calidad a los usuarios, seguimiento y estatus de los reportes.
Desarrollo de proyectos, administración y configuración de Intelisis y CRM


Requisitos: 
Conocimiento en paquetería de Office
Principios básicos de SQL.

Estudios:
Ingeniería en computación
Sistemas computacionales
Sistemas de la información
Informática administrativa o afines



Habilidades:
Iniciativa
Pensamiento analítico
Innovación
Productividad. 


Ofrecemos:

Jornada de 8 horas de lunes a viernes,
Prestaciones superiores a las de ley,
Trabajo hibrido,
Seguro de gastos médicos mayores donde un porcentaje es pagado por la compañía,
Capacitación constante,
Actividades recreativas,
Reparto de utilidades y más.

Horario:
Lunes a viernes de 9:00 a 18:00

Si estás interesado en formar parte de esta gran empresa y tu perfil cumple con los requisitos ¡Postúlate!"
