Job_Title,Job_Description,Job_Url
Analista de producto/ Product Owner IT,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18405828,"Descripción
¡Haz Carrera con nosotros!

Buscamos Product Owner/ Product Analyst IT para trabajar con reconocida compañía de tecnología. Con al menos 5 años de experiencia en entorno Tecnológico y Productos TI. La modalidad del trabajo iniciaría con modalidad híbrida y eventualmente pasaría a ser remota. La ubicación sería en Jardines del Pedregal, Álvaro Obregón.

Requisitos:
·        Inglés B2-C1: Competencias hablada, lectura y escritura. (Trato directo con EU y Taiwán)
·        Licenciatura: Tecnologías de la Información o afín. (Título).
·        Excel avanzado: manejo de tablas dinámicas y macros.
·        Disponibilidad para viajar a EU ocasionalmente.
·        VISA deseable, no indispensable.
·        Vivir en la Alcaldía Álvaro Obregón o alrededores.

Responsabilidades:
·        Monitoreo de productos en el mercado tradicional e-commerce
·        Análisis de la competencia (ventas, catálogo de productos y nuevos lanzamientos)
·        Monitoreo de tendencias internacionales para integración de productos a México
·        Análisis y planeación de la demanda de productos
·        Integración fichas técnicas de producto
·        Análisis de surgimiento de nuevas tecnologías y/o Innovaciones de producto
·        Generar estrategias para dar salida a producto rezagado
·        Seguimiento de ventas a distribuidores
·        Seguimiento a ventas de los distribuidores a usuario final
·        Presentación de Propuestas para aplicación de Promociones
·        Monitoreo de inventarios

Ofrecemos:
·        Contratación directa con la compañía
·        Horario Lunes a Viernes de 9:00 – 18:00
·        Sueldo bruto $50,000 a $70,000
·        Vales de Gasolina $3,250.00
·        Aguinaldo 30 días
·        Apoyo de auto Car Allowance $4,500.00
·        Bono trimestral de productividad variable (20% aprox.)
·        Vales de Despensa $3,257.10
·        Seguro de Vida
·        Seguro de Gastos Médicos Mayores
·        Esquema Híbrido al inicio, posterior Remoto

Kelly es una empresa Incluyente y estamos comprometidos con la igualdad de oportunidades por lo que nuestro proceso de selección se basa en las competencias, habilidades y experiencia del candidato y no discriminamos por raza, género, discapacidad, edad, religión, orientación sexual, nacionalidad, etc.
Si estás interesado o interesada por favor manda tu CV actualizado en formato PDF."
Analista Banca Transaccional,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18397335,"Descripción
Analista de Producto y Servicio Banca Transaccional
 (Monterrey, Nuevo León)
  En Banorte buscamos talento único, fuerte y extraordinario, que impulse la transformación e innovación del país, convirtiéndonos en un gran aliado para crecer fuerte con México.
 Estamos convencidos que la combinación de solidaridad, innovación, respeto, lealtad y responsabilidad es la fórmula perfecta para ser el mejor equipo del sector financiero.
  Objetivo del puesto: Determinar y establecer las acciones para los procesos de desarrollo de nuevos productos y procesos de Banca Transaccional, así como las estrategias asociadas al servicio post venta e implementación; lo anterior basado en las líneas estratégicas establecidas por la Dirección General.
 Cada día te encontrarás ante nuevos e interesantes retos dentro de tu puesto, en los cuales serás responsable de:
Desarrollar con las áreas de producto, tecnología, operaciones, jurídico, contraloría entre otras nuevos productos y procesos punta a punta enfocados en mejorar la experiencia del cliente de Banca Transaccional.
Gestionar y coordinar proyectos especiales para la Banca Transaccional enfocados en el desarrollo de nuevos productos y soluciones, así como en la satisfacción y disminución de la tasa de abandono de clientes y el adelgazamiento de procesos clave.
Administrar y establecer métricas de abandono de clientes identificados a través de Benchmarks y encuestas del nivel de satisfacción y valoración del producto, a fin de detectar los principales motivos de pérdida de clientes y establecer planes de acción.
Desarrollar e implementar estrategias para mejorar la experiencia general del cliente y la continuidad de negocio.
  Requisitos:
Formación profesional: Ingeniería Industrial y de Sistemas, Licenciaturas Administrativas o afines.
Años de experiencia: Mínimo 5 años de experiencia.
Áreas de experiencia: Banca Transaccional/ PYME, Mejora de Procesos, Productos (Nómina, Adquirente, Cobranza, Captación, Canales Electrónicos).
Conocimientos requeridos: Procesos de Implementación de Productos, Administración de Proyectos.
Idiomas: inglés (deseable).
Disponibilidad para viajar: Sí.
Disponibilidad para cambio de residencia: no
  Haz clic en el botón aplicar y no pierdas la oportunidad de desarrollar todo tu potencial.
 En Banorte actuamos bajo un principio de igualdad de oportunidades. Por ello no discriminamos por edad, origen étnico, nacionalidad, género, orientación sexual, estado civil, condición social, estado de salud, creencias religiosas, doctrina política o discapacidad."
Product Analyst,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18161901,"Descripción
Lic. en Mercadotecnia, Negocios Internacionales, Administración de Empresas ó a fin
Inglés Avanzado
2 años de experiencia en Análisis de Mercado, lanzamiento de producto ó compras internacionales en sector Textil ó Retail preferentemente
Manejo de ERP ó Software de análisis de mercado
VISA y Pasaporte vigente preferentemente"
Product Analyst,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18113874,"Descripción
JOB SUMMARY:
Responsible for developing and performing different analyses related to the market and products to provide accurate and timely information for strategic decision making. 
Coordinate initiatives to develop and introduce new products.

ESSENTIAL JOB FUNCTIONS/RESPONSIBILITIES:
Consolidate and analyze the master of products for Latin America by region and by channels.
Participate in initiatives for new product development.
Consolidate information of market trends and needs and provide conclusions and suggestions.
Coordinate activities related to new products introduction.

QUALIFICATIONS:
Education: Bachelor's degree (Marketing, Business Administration or related)
Knowledge and skills:
Microsoft Office - Excel, Word, Power Point: Intermediate / Advanced.
English: Able to establish business conversations.

COMPETENCIES
Analytical Skills
Plans and aligns
Collaborates"
Product Security Analyst,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18202131,"Descripción
Minimo 3 años de experiencia en aseguramiento del ciclo de vida de desarrollo de software,pruebas de penetración, documentación de políticas y procedimientos.

Actividades a realizar en el puesto: 
• Identificar y dar seguimiento a riesgos y amenazas relacionados con los procesos de seguridad de la información.
• Documentar procesos que soporten la estrategia de seguridad de la información.
• Liderar los esfuerzos de seguridad de la información en los proyectos de desarrollo de software.
• Incrementar la base de conocimiento del área de Seguridad de la Información.

Conocimientos específicos necesarios:
* Certificación CSSLP, CEH
* Pruebas de penetración
* Reportes de vulnerabilidades
* Ciclo de vida de desarrollo seguro
* Documentación de políticas y procedimientos de seguridad de la información
* Lenguajes de programación (al menos uno de los siguientes: C#, Python, JavaScript, Kotlin o Swift).
*  Inglés nivel B1

Conocimientos específicos deseados:
* PCI
* OWASP SAMM
* OWASP ASVS
* Pruebas automatizadas de seguridad (SAST, IAST, DAST, SCA)
* Modelado y análisis de amenazas
* Respuesta a incidentes"
DATA ANALYST/PRODUCT OWNER GOOGLE ANALYTICS - HÍBRIDO REFORM,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18213498,"Descripción
En Gonet, somos una empresa Internacional líder en servicios de tecnología con oficinas en México y Estados Unidos. Proveemos a soluciones de negocios de alto impacto.

Debido a nuestro constante crecimiento nos encontramos en búsqueda de talento como:



DATA ANALYST / PRODUCT OWNER CON GOOGLE ANALYTICS JR – HÍBRIDO REFORMA



Requisitos:

· Licenciatura, Administración, Mercadotecnia, Publicidad, Comunicación o afines.
· Experiencia de 2 años en gestión de proyectos y sistemas tecnológicos.
. Experiencia indispensable en Google Analytics.
. Experiencia en análisis de datos.
· Documentación de requerimientos.
lunes a viernes de 9:00 am a 6:00 pm


?
Ofrecemos:

· Sueldo Competitivo de Acuerdo a Experiencia.
· Más Prestaciones de Ley y Superiores:
o IMSS
o Aguinaldo
o Vacaciones
o Prima Vacacional


Sólo si cumples con el perfil, postúlate por este medio, envíanos tu CV al correo que indica la vacante o bien, envíanos un whatApps al número mencionado en la publicación indicando la vacante y tus pretensiones económicas, así nos pondremos en contacto contigo.

¡Gracias por tu interés en unirte a nuestro equipo!


""En Gonet México, queda estrictamente prohibido solicitar certificados médicos de no embarazo y Virus de Inmunodeficiencia Humana (VIH) como requisitos para el ingreso, permanencia o ascenso en el empleo. Tampoco se discriminará a ninguna persona por motivos de raza, religión, orientación sexual, condición física o socioeconómica, ni por ningún otro motivo"""
Analista de producto terminado,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18241940,"Descripción
Analista de producto terminado (temporal)

TU ROL
Es responsable de la notificacion de producto terminando de la planta.
Es responsable de asegurar la correcta carga de producto terminado al centro de distribución con la respectiva documentación.
Es responsable de suministrar etiquetas de identificaicón conforme a plan al area de producción.
Genera la documentación necesaria y actualización en sistema de producto terminado.
Apoyo en la devolución de materiales.

TUS HABILIDADES
Manejo de bases de datos.
Liderazgo en area operativa.
Agilidad para solución de problemas.
Manejor de ERP - Preferencia SAP.
Disponibilidad para rolar turnos.
Carrera terminada."
Analista de Producto Terminado,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18384836,"Descripción
Importante empresa en su giro, te invita a formar parte de su Equipo de Trabajo
Buscamos: Analista de Producto Terminado
 Misión de Puesto
Coordinar y asegurar él envió del producto en tiempo y forma así como la administración de personal y control de inventarios físicos como en sistema.

Actividades:
 Elaborar Cumplir con el programa de carga en tiempo y forma de acuerdo al procedimiento.

·   Verificar que se generen los documentos de salida correctos de los embarques cargados.

·   Controlar las entradas y salidas de inventario.

·   Supervisar y asegurar las actividades de su equipo de trabajo, herramientas y equipos de operación para cumplir en tiempo y forma los objetivos.

·   Cumplimiento de KPI´s

·   Presentación de inventarios semanales y mensuales.
 Requisitos:
Escolaridad: Ingeniería Industrial, Lic. En administración o afin.

Conocimientos:
 Manejo de personal, manejo de SAP, Office
Ofrecemos:
Sueldo con base de acuerdo a experiencia, oportunidad de desarrollo, contratación directa con la empresa.

Si te interesa y cubres el perfil favor de postularte por este medio."
Analista de Producto,https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18198159,"Descripción
Insignia Life es una aseguradora especializada en vida 100% mexicana, que opera exclusivamente con capital nacional; está fundada en sólidos principios de transparencia, claridad e integridad que aseguran el bienestar y la estabilidad económica de nuestros promotores, agentes y asegurados.
 Estamos de en búsqueda de un Analista de Producto

Perfil:

• Licenciatura en Actuaría, Afin. (pasante o titulado).
• Experiencia Mínima de 6 meses a 1 año en el área de Producto en Seguros de Vida.


Lo que te hará exitoso

Conocimientos en:
Área tecnica de Seguros de Vida ( deseable).
Cálculo de primas de vida
Estructura de producto
Condiciones generales y políticas técnicas
Manejo de algún lenguaje de programación. 

Tu día a día:

Corroborar que las definiciones de los productos estén correctas en sus vertientes técnica y comercial, en cuanto a la integración en los Sistemas de Información. 
Configuración de Productos en el Sistema
Apoyo en Pruebas de cálculo de tarifa
Realizar pruebas de los productos que Insignia Life ofrece al mercado y su documentación contractual, asegurando que estén debidamente registrados en el sistema administrador.(CORE).

Oferta:

Sueldo competitivo
Prestaciones de Ley y Superiores como:
Esquema de trabajo Híbrido
Apoyo de transporte
Seguro de Vida
SGMM
Vales de despensa y más…"
ANALISTA DE PRODUCTO (marketing),https://www.occ.com.mx/empleos/de-product-analyst/en-Mexico/?page=1&jobid=18332641,"Descripción
Importante empresa líder en el sector solicita:
 ANALISTA DE PRODUCTO
 Requisitos:
-       Lic Mercadotecnia
-       Al menos 4 años de experiencia como ANALISTA DE PRODUCTO y/o ANALISTA DE MARCA dando soporte en actividades relacionadas al manejo de marca
-       Inglés AVANZADO (Indispensable)
 Al menos 4 años de experiencia:
-       Análisis de mercado y competidores de la categoría asignada
-       Desarrollo del “Business review”, identificar riesgos y oportunidades para el alcance de objetivos
-       Apoyo al equipo de trabajo en Reportes, lanzamientos, preparación de hojas técnicas
-       Liderear lanzamientos conforme a acuerdos y fechas limite.
-       Análisis de Reportes Nielsen
-       Manejo de Pricing
-       Coordinar con las áreas de Ventas y Operaciones afin de asegurar que las iniciativas sean implementadas en tiempo-
-       Trabajo conjunto con Trade marketing para desarrollar el Plan POS y seguimiento a su ejecución
-       Liderar el desarrollo de empaque de nuevos productos.
-       Desarrollo de materiales de entrenamiento.
-       Preferentemente de giro de Consumo masivo
 Zona de trabajo: Polanco
 Interesados postularse por este medio
 "
