Job_Title,Job_Description,Job_Url
Product Designer,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18335112,"Descripción
En skandia estamos buscando tu talento como Product Designer talentoso, apasionado y orientado a los datos que nos ayude a lograr nuestra misión y ejecutar nuestro plan de creación de soluciones de producto innovadoras que empoderen a nuestros clientes a tomar acciones efectivas sobre sus finanzas personales a través de una experiencia mágica que lo guía y empodera. En este rol, trabajarás en estrecha colaboración con nuestros equipos de Producto, Ingeniería, Marketing y Operaciones para diseñar y desarrollar soluciones de producto.  

¿Cómo sería tu día a día?
Liderar y acompañar la creación de prototipos interactivos y realizar pruebas para obtener retroalimentación temprana de los usuarios para mejorar constantemente el producto
Colaborar estrechamente con el equipo de UX para garantizar que el producto sea intuitivo, atractivo y cumpla con los estándares de usabilidad.
Research y diseño de prototipos: o Prototipar funcionalidades con altos estándares de UX/UI para garantizar que el producto sea intuitivo y atractivo, partiendo de las necesidades de cliente y negocio.
Diseñar y ejecutar experimentos para validación de funcionalidades con usuarios o Proveer funcionalidades validadas, alineadas con roadmap estratégico de desarrollo de producto a equipo de desarrollo

¿Qué esperamos de ti?
 +3 años de experiencia previa en diseño de productos en entornos de tecnología para consumidores o empresas.
Demostrada experiencia en la creación y entrega de productos digitales de alta calidad, desde la concepción hasta la implementación.
Entendimiento y habilidad para utilizar herramientas tecnológicas.
Conocimiento sólido de herramientas de diseño y prototipado, como Figma, Sketch, Adobe XD, etc.
Competencia en la interpretación y análisis de datos para la toma de decisiones.
Familiaridad con metodologías ágiles y capacidad para trabajar en equipos multidisciplinarios de manera colaborativa.
Capacidad para entender y aplicar principios de diseño centrados en el usuario y mejores prácticas de experiencia del usuario.

¿Por que deberias de trabajar en Skandia?

Somos una compañia TOP EMPLOYER
Te ofrecemos prestaciones superiores a las de la ley como:
Vales de despensa
Fondo de ahorro
aguinaldo de 30 días
SGMM
Seguro de Vida
Caja de ahorro
20 días de vacaciones
Trabajo Flexible
Ambiente de trabajo colaborativo y de equipo.
Cultura inclusiva y diversa, sin discriminación de género, religión, orientación sexual, etnia, discapacidad física o ubicación geográfica."
Sr. Product Designer,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18340565,"Descripción
Company Description
MedTrainer is an innovator in the healthcare industry, changing the landscape of technology offers with the Medtrainer Platform Solution comprised of our proprietary Learning Management System (LMS), our core focus on Compliance Training as well our Managed Services offering in Credentialing and Compliance Management.

Profile requirements:
5+ years of user experience design for ux web, mobile applications.
5+ years wireframing/prototyping with tools such as sketch, Adobe creative suite, invision,figma etc.
Demonstrate a portfolio of work with a consistent track record for solving difficult ux design problems.
Undergraduate degree in human/computer interaction, design, psychologist or equivalent combination oof training and experience in a design/ user centered discipline.
Excellent written and verbal English communication skills.

Essential technologies and/or tools:
Design sprint/ design thinking methodology
Figma, Skecth, adobe xd
Umux lite method
CX research knowledge

Main responsibilities:
Design conceptual wireframes and high-fidelity mockups.
Create information architecture, diagrams, user flows.
Define UX patterns and guidelines, present work solutions to stakeholders and development team.
Excellent communication to communicate complex concepts clearly work with multidisciplinary teams to determinate good solutions for the product.

Job offer:
100% remote.
Competitive monthly salary (after taxes).
Benefits above law.

Please upload your portfolio"
Product Designer & Development (Textile Industry),https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18177772,"Descripción
Product Designer & Development - Mattress Cover Manufacturing
?
We are looking for a talented and experienced Product Designer to join our team.

About the role:

As a Product Designer & Development, you will play a pivotal role in our company's success. You will be responsible for the design and development of our mattress covers, you will work closely with our team of engineers, product managers, and other designers to create innovative and functional mattress covers that meet the needs of our customers.

Main Responsibilities:

Conduct user research and usability testing to understand user needs and pain points.
Design and prototype new mattress covers.
Collaborate with engineers and product managers to implement designs.
Create and maintain design documentation.
Stay up-to-date on the latest design trends and technologies in the mattress industry.

Qualifications:
3+ years of experience in product design (Textile Industry).
Good Spoken and Written English Knowledge
Proficiency in Textile Design, Sampling and Pattern, Cut & Sew techniques.
Knowledge of various Textile Structures and their applications.
Proficiency in Photoshop, InDesign Illustrator (or similar) & Microsoft Office
Knowledge in Project Management is a plus

In addition to the technical qualifications, we are seeking candidates who possess the following competencies and skills:


Creativity and Innovation
Dynamism and Energy
Planning and Organization
Team player & Leadership

Join our team and contribute your expertise to our industry-leading company. We offer a supportive and collaborative work environment that fosters professional growth and development. If you are passionate about product design and ready for a rewarding challenge, we would love to hear from you. 

We look forward to hearing from you!"
Senior Product Designer UI/UX,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18230722,"Descripción
About 100 Ladrillos
100 Ladrillos, a leading force in the real estate investment sector, is revolutionizing the way individuals build wealth through real estate. With a mission to democratize property investment, our platform enables users to invest in fractional real estate, making property investment accessible to everyone. Learn more about us by visiting our website.

Our Design Team
Our design team lies at the heart of product development, from ideation to launch. We focus on delivering experiences that are not only valuable to our users but also easy to use, intuitive, and delightful. We're searching for Senior Product Designers ready to tackle complex problems, transform them into innovative solutions, and elevate the user experience for our investors.

Role Overview
This role is for those eager to influence the future of real estate investment. Based in our Guadalajara office, you'll be working in a hybrid environment, blending days in the office with the flexibility of working from home. You'll be tasked with:
Being a technical leader, setting high standards for design and best practices.
Building relationships across the company, influencing business decisions with a user-centered design approach.
Leading design projects within collaborative and cross-functional teams.
Inspiring other designers by setting a high-quality benchmark.
Advocating for our users at every opportunity and pushing the boundaries of UX/UI to innovate beyond the status quo.

What We're Looking For
6+ years of experience in Product Design (UX, UI, and Research) and digital product development.
Demonstrated ability to integrate human-centered research and design into projects.
A track record of approaching problems from various angles and collaborating within a cross-functional team.
Demonstrated leadership in mobile product design and collaboration at both team and organizational levels.
The capability to influence processes, team members, and stakeholders.
Adaptability to changing priorities and evolving team needs.
Proactive in promoting cross-functional collaboration in agile environments.
Experience designing products for LATAM markets.
Experience in designing and leading teams for digital FinTech products is highly advantageous.

Benefits at 100 Ladrillos
Competitive salary and law benefits
Accident insurance
Work equipment including a computer
Hybrid work model (3 days remote, 2 days in-office collaboration)
Office located in Guadalajara

Diversity & Inclusion
100 Ladrillos is dedicated to building a diverse and inclusive workplace, reflecting the diverse customers we serve. We hire based on equality and believe that different perspectives enrich our company.
?
Apply Now
If you're ready to shape the future of financial services, make a significant impact in the real estate investment sector, and have a minimum of 6 years of experience in mobile digital products, we'd love to see your resume and portfolio. Please include proof of experience in your portfolio."
Product Designe,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18177492,"Descripción
Join our team as a PRODUCT DESIGNER:

About the role:

As a Product Designer, you will play a pivotal role in our company's success. You will work closely with our team of engineers, product managers, and other designers to create innovative and functional mattress covers that meet the needs of our customers.

Requirements :


Good Spoken and Written English Knowledge
Proficiency in Textile Design, Sampling and Pattern, Cut & Sew techniques.
Knowledge of various Textile Structures and their applications.
Proficiency in Photoshop, InDesign Illustrator (or similar) & Microsoft Office
Knowledge in Project Management is a plus

In addition to the technical qualifications, we are seeking candidates who possess the following competencies and skills:


Creativity and Innovation
Dynamism and Energy
Planning and Organization
Team player & Leadership


Join our team and contribute your expertise to our industry-leading company. We offer a supportive and collaborative work environment that fosters professional growth and development. If you are passionate about product design and ready for a rewarding challenge, we would love to hear from you. 

Apply today!"
UX Writer- Copywriter,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18229990,"Descripción

En RGP estamos buscando UX Writer para formar parte de RGP para apoyar en la comunicación digital. Buscamos a una persona que pueda escribir textos para productos digitales de acuerdo con un tono y una voz definidos, identificando las necesidades de los usuarios.

Dentro de las actividades principales:



Trabajar de cerca y colaborar con diseñadores de productos, diseñadores visuales y gerentes de productos a lo largo de todas las etapas del ciclo de desarrollo del producto.
Escribir textos y comunicaciones de un Producto Digital
Identificar necesidades de los usuarios y cliente interno.
Creación de contenido en ambientes digitales
Desarrollar conversaciones de estrategia de producto, guías de estilo y tono, etc.
Escribir en la interfaz de usuario para facilitar la navegación, así como la incorporación, las transacciones, los mensajes de error, las notificaciones, los correos electrónicos y más.

Requisitos:

Al menos 2 años de experiencia como content strategist / UX Writer / Copywriter
Experiencia en Creación de contenido, redacción, corrección de estilo y ambientes digitales
Sólidos conocimientos con User Experience (storytelling, Research, User Persona, Design Experience)
Indispensable contar con un Portafolio, queremos ver muestras de tú trabajo de escritura centradas en UX.
Excelentes habilidades de comunicación, alguien que pueda atraer a las partes interesadas internas en su viaje de diseño y respaldar sus decisiones con enfoque y brevedad
Manejo de: Figma, Sketch, Miro, Indesign."
Product Definition Lead Engineer - Designer 3,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18394318,"Descripción
In-depth understanding of key business drivers; uses this understanding to accomplish own work. In-depth understanding of how work of own team integrates with other teams and contributes to the area. Uses some level of judgment and has ability to propose different solutions outside of set parameters but with guidance. Uses prior experience and on-the-job training to solve straightforward tasks. Has access to technical skills and analytic thinking required to solve problems. May use multiple internal sources outside of own team to arrive at decisions. A job at this level is likely to be an individual contributor with proven interpersonal skills or an early people leader who can hire and develop talent. Provides informal guidance to new team members Required Qualifications Bachelor's Degree in Mechanical Engineering, Industrial Design, Aeronautical Engineering or similar Solid contribution in a similar role or previous position Must be able to maintain a normal day-to-day fluid conversation in English on any topic with few mistakes (mistakes that do not affect clear understanding). Must have fluency, rhythm, and sufficient self-confidence in the language to be able to handle meetings and conversations. Knowledge of geometric dimensioning and tolerance (ASME Y14.5M, or applicable) relative to the function. Knowledge of Stackups definitions Presentation Skills: Ability to communicate with Senior Leadership. Capable of coaching others to accomplish assignments Demonstrated ability in managing projects across functions Demonstrated interpersonal and leadership experience Demonstrated ability in establishing common goals and objectives. This role requires advanced experience in the Engineering/Technology & Product Definition. Knowledge level is comparable to a Bachelor's degree from an accredited university or college ( or a high school diploma with relevant experience). For roles in USA - Bachelor's degree from an accredited university or college (or a high school diploma / GED with at least 6 years of experience in Job Family Group(s)/Function(s)). Desired Characteristics Experience using NX (Siemens) software Proficient user of geometric dimensioning and tolerancing Qualified user of stackups Highly motivated and passionate Self-starter with problem solving skills Keen listener with exceptional communication skills Flexible and friendly approach to working in teams Strong oral and written communication skills. Demonstrated ability to analyze and resolve problems. Ability to document, plan, market, and execute programs. Established project management skills. Lean knowledge Additional Information Relocation Assistance Provided: No"
Product Definition Lead Engineer - Designer 3,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18394211,"Descripción
Activities contributing to the design and development of products, solutions and systems. Includes activities linked to technical improvement of existing products and components Impacts departmental operations and responsible for planning/execution. The role has some autonomy but is focused on execution of activities within an operating discipline covered by standard functional practices and procedures. Some judgment may be required but this is typically with guidance.Job Description Roles and Responsibilities Create definitions of parts, modules, and assemblies in the form of 2D cross sections, 3D models, tolerance stack-ups, and various electronic data formats to support analysis, manufacturing, assembly, tooling, and inspection Developing in-depth knowledge of a technical discipline. Uses prior experience and acquired technical expertise to execute policy/strategy. In-depth understanding of key business drivers; uses this understanding to accomplish own work. In-depth understanding of how work of own team integrates with other teams and contributes to the area. Uses some level of judgment and has ability to propose different solutions outside of set parameters but with guidance. Uses prior experience and on-the-job training to solve straightforward tasks. Has access to technical skills and analytic thinking required to solve problems. May use multiple internal sources outside of own team to arrive at decisions. A job at this level is likely to be an individual contributor with proven interpersonal skills or an early people leader who can hire and develop talent. Provides informal guidance to new team members Required Qualifications Bachelor's Degree in Mechanical Engineering, Industrial Design, Aeronautical Engineering or similar Solid contribution in a similar role or previous position Must be able to maintain a normal day-to-day fluid conversation in English on any topic with few mistakes (mistakes that do not affect clear understanding). Must have fluency, rhythm, and sufficient self-confidence in the language to be able to handle meetings and conversations. Knowledge of geometric dimensioning and tolerance (ASME Y14.5M, or applicable) relative to the function. Knowledge of Stackups definitions Presentation Skills: Ability to communicate with Senior Leadership. Capable of coaching others to accomplish assignments Demonstrated ability in managing projects across functions Demonstrated interpersonal and leadership experience Demonstrated ability in establishing common goals and objectives. This role requires advanced experience in the Engineering/Technology & Product Definition. Knowledge level is comparable to a Bachelor's degree from an accredited university or college ( or a high school diploma with relevant experience). For roles in USA - Bachelor's degree from an accredited university or college (or a high school diploma / GED with at least 6 years of experience in Job Family Group(s)/Function(s)). Desired Characteristics Experience using NX (Siemens) software Proficient user of geometric dimensioning and tolerancing Qualified user of stackups Highly motivated and passionate Self-starter with problem solving skills Keen listener with exceptional communication skills Flexible and friendly approach to working in teams Strong oral and written communication skills. Demonstrated ability to analyze and resolve problems. Ability to document, plan, market, and execute programs. Established project management skills. Lean knowledge Additional Information Relocation Assistance Provided: No"
Product Definition Lead Engineer - Designer 3,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18392024,"Descripción
Activities contributing to the design and development of products, solutions and systems. Includes activities linked to technical improvement of existing products and components Impacts departmental operations and responsible for planning/execution. The role has some autonomy but is focused on execution of activities within an operating discipline covered by standard functional practices and procedures. Some judgment may be required but this is typically with guidance.Job Description Roles and Responsibilities Create definitions of parts, modules, and assemblies in the form of 2D cross sections, 3D models, tolerance stack-ups, and various electronic data formats to support analysis, manufacturing, assembly, tooling, and inspection Developing in-depth knowledge of a technical discipline. Uses prior experience and acquired technical expertise to execute policy/strategy. In-depth understanding of key business drivers; uses this understanding to accomplish own work. In-depth understanding of how work of own team integrates with other teams and contributes to the area. Uses some level of judgment and has ability to propose different solutions outside of set parameters but with guidance. Uses prior experience and on-the-job training to solve straightforward tasks. Has access to technical skills and analytic thinking required to solve problems. May use multiple internal sources outside of own team to arrive at decisions. A job at this level is likely to be an individual contributor with proven interpersonal skills or an early people leader who can hire and develop talent. Provides informal guidance to new team members Required Qualifications Bachelor's Degree in Mechanical Engineering, Industrial Design, Aeronautical Engineering or similar Solid contribution in a similar role or previous position Must be able to maintain a normal day-to-day fluid conversation in English on any topic with few mistakes (mistakes that do not affect clear understanding). Must have fluency, rhythm, and sufficient self-confidence in the language to be able to handle meetings and conversations. Knowledge of geometric dimensioning and tolerance (ASME Y14.5M, or applicable) relative to the function. Knowledge of Stackups definitions Presentation Skills: Ability to communicate with Senior Leadership. Capable of coaching others to accomplish assignments Demonstrated ability in managing projects across functions Demonstrated interpersonal and leadership experience Demonstrated ability in establishing common goals and objectives. This role requires advanced experience in the Engineering/Technology & Product Definition. Knowledge level is comparable to a Bachelor's degree from an accredited university or college ( or a high school diploma with relevant experience). For roles in USA - Bachelor's degree from an accredited university or college (or a high school diploma / GED with at least 6 years of experience in Job Family Group(s)/Function(s)). Desired Characteristics Experience using NX (Siemens) software Proficient user of geometric dimensioning and tolerancing Qualified user of stackups Highly motivated and passionate Self-starter with problem solving skills Keen listener with exceptional communication skills Flexible and friendly approach to working in teams Strong oral and written communication skills. Demonstrated ability to analyze and resolve problems. Ability to document, plan, market, and execute programs. Established project management skills. Lean knowledge Additional Information Relocation Assistance Provided: No"
Senior User Experience Designer,https://www.occ.com.mx/empleos/de-product-designer/en-Mexico/?page=1&jobid=18403015,"Descripción
Driven by the need to become more efficient, smarter and sustainable, the construction industry worldwide is going through enormous change. Oracle's mission is to drive this change through our Smart Construction Platform which to date has helped deliver over $9 trillion worth of projects for organisations like Tesla, Multiplex, Ikea and Siemens. Senior Product Experience Designer – Construction & Engineering As a Senior Product Experience Designer, you are responsible for the end-to-end product experience servicing a complex and highly visible domain. Key responsibilities: Design elegant user-friendly software to transform the construction industry to be more efficient, lean and green. Work closely with users, PX team colleagues and construction industry experts in the broader team to identify core pains and goals. Create designs and artefacts that help solve identified problems, which will be validated and iterated on quickly based on user feedback. Communicate your research, explorations, and conclusions to your team and others across the organization. Collaborate with the engineers and product managers to deliver elegant solutions to our customers while balancing the need for quality and consistency against business and technical needs. Your future team Over 1000 designers worldwide work for Oracle. We've won prestigious awards for our Redwood Design System and are not content with having the best enterprise app experiences - we want to create the best application experiences period. The global Construction and Engineering PX team (which you'll be a part of) is made up of 20+ designers based in the US, Europe, Australia and India. We support whichever way works best for you, whether it be remote or hybrid. While we are spread across the globe, the team is a diverse and tight knit bunch that have each other's best interests at heart. We catch up at least once a week to share and get feedback on our designs and learn together. What will your day look like On any given day you'll be working with colleagues and customers from all around the world. It may be to discuss a design pattern with a PX team member in Australia, it may be to liaise with engineers in the U.S. or India or it may be to conduct a research interview with a user in Europe or the Middle East. Each day you'll be spending time collaborating with your agile scrum team made up of Product Managers, Engineers and QAs. What we're offering you We invest in your growth as a designer with access to LinkedIn Learning and Degreed training, O'Reilly Books, funded in person or remote training programs, career coaching and mentoring opportunities. We care about your work/life balance. Whether you want to work remotely or hybrid we'll support you. We even offer up to 90 days of the year where you can work from anywhere in the world! We care about your wellbeing. Our health cover is the best in the industry. You also have access to free Employee Assistance Program if you need a professional to talk to. Beyond health and medical plans, Oracle offers employee access to various financial security plans to help you plan for your future whether through a retirement plan or insurance that protect your income during life's tougher moments. We support innovation with a yearly hackathon and accompanying design team challenge. Every year the whole of Oracle design comes together for Oracle Design Week, to have fun, connect and get inspired. What we value We take diversity seriously. We're recognized by Forbes as one of the top employers for diversity. Diverse perspectives make our ideas better and our teams stronger. It's why we've created a workplace where everyone can do their best work without barriers. We're committed to hiring employees from a wide range of backgrounds not only because diversity is a key driver of innovation, but it ensures we build products that best reflect the needs of our broad customer base. And most importantly, it's the right thing to do. Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law. Want to know more? Careers at Oracle Oracle Diversity and Inclusion Oracle Construction and Engineering Redwood Design System Career Level - IC3 As a world leader in cloud solutions, Oracle uses tomorrow's technology to tackle today's problems. True innovation starts with diverse perspectives and various abilities and backgrounds. When everyone's voice is heard, we're inspired to go beyond what's been done before. It's why we're committed to expanding our inclusive workforce that promotes diverse insights and perspectives. We've partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity. Oracle careers open the door to global opportunities where work-life balance flourishes. We offer a highly competitive suite of employee benefits designed on the principles of parity and consistency. We put our people first with flexible medical, life insurance and retirement options. We also encourage employees to give back to their communities through our volunteer programs. We're committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by calling +1 888 404 2494, option one. Disclaimer: Oracle is an Equal Employment Opportunity Employer*. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans' status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law. * Which includes being a United States Affirmative Action Employer"
