Job_Title,Job_Description,Job_Url
Product manager,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18406119,"Descripción
Empresa líder en el ramo de Tecnologías de la Información con 34 años en el mercado nos encontramos en búsqueda de Produc Manager (PM).

Funciones:
Desarrollar e implementar estrategias de producto coherentes con la visión de la empresa.
Participa y propone la propuesta de valor de producto.
Gestiona y participa en reuniones con stakeholders, clientes, distribuidores, etc.
Participar en la manutención de la relación con asociados de la compañía y contactos estratégicos.
Comunicar las características y beneficios del producto de manera externa e interna.
Establecer la estrategia de productos y apoyar al plan de marketing.
Analizar los resultados y ventas del producto y toma decisiones de cambio si es necesario.
Dar seguimiento al uso y el impacto del producto en los usuarios finales.
Definir la visión del producto y mantenerla alineada a las estrategias directivas de la empresa.
Liderar al product owner y coordinar los equipos multidisciplinarios.
Realizar recomendaciones creativas para ampliar la base y la visión de los productos.
Efectuar un análisis exhaustivo del mercado para encontrar oportunidades.
Efectuar búsquedas y análisis constantes para detectar productos y componentes novedosos del producto
Efectuar un análisis de posibles y nuevos clientes.
Definir, desarrollar y crear productos.
Asegurar el cumplimiento del trabajo de sus colaboradores en tiempo y forma.
Respetar, ejecutar y mantenerse informado sobre los procesos y procedimientos dispuestos por la compañía.
Gestionar, definir y mantener el roadmap de producto.
Vigilar y mantener la integridad del producto para garantizar que satisfaga las necesidades del cliente.
Participa activamente en la vigilancia del cumplimiento de las iteraciones del producto en cuanto a entregas de valor y tiene una comunicación efectiva para controles de cambios y gestión de riesgos en el plan de trabajo.
Generar y actualizar los manuales de operación.

Requisitos:

Licenciatura terminada (ciencias informáticas, ingeniería o afín)
5 a 7 años como Product Owner, Product Manager o puestos similares
Mayor a 28 años
Disponibilidad de horario

Ofrecemos:

Sueldo 100% nominal
Prestaciones de ley
Vales de despensa
Fondo de ahorro
Caja de Ahorro
Prima vacaciones del 50%"
Product manager,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18365306,"Descripción
Acerca de la empresa

Empresa: WHIP SOLUTIONS es una empresa líder en soluciones tecnológicas con más de 10 años de experiencia en el mercado. Nos destacamos por nuestra innovación constante, ambiente de trabajo colaborativo y oportunidades de crecimiento profesional. Ofrecemos un excelente ambiente laboral que fomenta la creatividad y el desarrollo personal de nuestros empleados. Ubicación: Ciudad de México.

Requisitos del puesto

Estudios universitarios completos en área relacionada.
Experiencia previa en venta en Soluciones de Ciberseguridad
Experiencia previa en el manejo de Canales en un modelo de Distribución.
Conocimientos de INGLES a nivel medio.
Conocimientos en CRM a nivel medio.
Certificaciones Comerciales similares (FORTINET, CISCO, PALO ALTO, TREND MICRO, MICROSOFT, ETC)


Responsabilidades del puesto

Realizar presentaciones comerciales a los Partners o Usuarios Finales.
Gestionar el ciclo de vida de los productos.
Coordinar con el Área de Preventa Pruebas de Concepto, Demos y Dimensionamientos de la Solución.
Analizar datos para identificar oportunidades de mejora.
Prospección de Clientes Potenciales.


Prestaciones y beneficios adicionales

Sueldo mensual competitivo de 20000 a 25000.
Oportunidades de capacitación, certificaciones y desarrollo profesional.
Prestaciones de Ley
Ambiente de trabajo dinámico y colaborativo.
Bonos de asistencia y puntualidad
Clases de Inglés"
Product Manager de Ciberseguridad,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18374702,"Descripción
Empresa 100% mexicana con 40 años en el mercado; líder en el ramo de TI solicita:

PRODUCT MANAGER/ GERENTE DE PRODUCTO DE CIBERSEGURIDAD

REQUISITOS
Escolaridad: Ingeniería en Sistemas, Informática, Negocios o afín
Edad: Indistinto
Sexo: Indistinto

EXPERIENCIA

2 años en Ventas y Soluciones de Valor en TI
Desarrollo y ejecución de bussiness plan y conocimientos comerciales de tecnología en el área de ciberseguridad
Diseño gestión y ejecución de las promociones y condiciones de preventa, postventa, operaciones y finanzas para asegurar el logro de objetivos.
Gestionando y ejecutando la correcta representación del portafolio y la profesionalización de los ejecutivos de venta.
Asegurar la venta de las principales oportunidades de negocio.

OFRECEMOS
Sueldo base: de $20,000 a $22,000
Bono trimestral por alcance de metas
Todas las Prestaciones de Ley
Prestaciones Superiores a la ley (Vales de despensa, 30 días Aguinaldo, Reparto de utilidades, caja de ahorro, seguro de gastos médicos menores, Total Pass)
Plan de Desarrollo y Crecimiento según competencias
Contratación directa por la empresa
Horario: de Lunes a Viernes de 9:00 a 6:30


Si te interesa y cumples con el perfil favor de mandar tu CV en formato WORD o PDF con fotografía, al correo mencionado arriba a nombre de Lic. David Rodríguez o bien, postúlate por este medio"
Associate Product Manager Fintech,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18403865,"Descripción
?Nuestra compañía
 Arca Continental es una empresa dedicada a la producción, distribución y venta de bebidas no alcohólicas de las marcas propiedad de The Coca-Cola Company, así como botanas saladas bajo las marcas Bokados en México, Inalecsa en Ecuador y Wise en los Estados Unidos.

Con una destacada trayectoria de más de 92 años, Arca Continental es la segunda embotelladora de Coca-Cola más grande de América Latina y una de las más importante del mundo. En su franquicia de Coca-Cola, la empresa atiende a una población de más de 123 millones en la región norte y occidente de México, así como en Ecuador, Perú, la región norte de Argentina y la región suroeste de Estados Unidos. Arca Continental cotiza en la Bolsa Mexicana de Valores bajo el símbolo ""AC"".

Misión 
En nuestra búsqueda por innovar en el sector fintech, buscamos un(a) Associate Product Manager que se una a nuestro equipo con entusiasmo y una mentalidad centrada en el usuario. En este rol, te sumergirás en procesos de descubrimiento para identificar y priorizar innovaciones fintech con el potencial de influir positivamente en los comerciantes de LATAM y mejorar nuestro Marketplace multinacional. 

Es fundamental que poseas habilidades de comunicación efectivas para interactuar con todos los sectores de la empresa. Además, asumirás un papel crucial como promotor de tu línea de productos tanto interna como externamente. 

Responsabilidades: 
·      Asistir en la gestión del ciclo de vida del producto, desde la concepción hasta su lanzamiento. 
·      Participar en investigaciones de mercado y visitas a clientes para recolectar información valiosa. 
·      Ayudar a traducir conceptos en propuestas de valor y calcular su potencial retorno de inversión. 
·      Colaborar con equipos interdisciplinarios para promover el desarrollo y lanzamiento de productos. 
·      Contribuir en la evaluación de diseño y experiencia del usuario, asegurando que cumplan con los objetivos estratégicos. 
·      Apoyar en la ejecución de planes de lanzamiento de productos y en la creación de material de soporte. 
·      Asistir en la priorización de funciones del producto y en la búsqueda de alianzas estratégicas. 
·      Promover mejores prácticas en la gestión de productos, incluyendo la planificación y análisis de métricas. 

Requerimientos: 
·      Deseable experiencia en gestión de productos o roles relacionados, con un enfoque en e-commerce o fintech. 
·      Familiaridad con metodologías ágiles y disposición para aprender más al respecto. 
·      Comprensión básica de la dinámica del mercado y estrategias de producto. 
·      Excelentes habilidades de comunicación y trabajo en equipo. 
·      Disponibilidad para viajar ocasionalmente. 

Perfil del Candidato Ideal: 
·      Curiosidad natural y un deseo genuino de comprender y atender las necesidades de los clientes. 
·      Actitud proactiva hacia el aprendizaje y contribución a la estrategia del producto. 
·      Capacidad para colaborar y comunicarse con efectividad en varios niveles organizacionales. 
·      Entusiasmo por trabajar en un ambiente rápido y responder a los desafíos con optimismo. 
·      Formación en una disciplina cuantitativa. 
 ¿Consideras que tu trayectoria profesional ha sido algo atípica? En Yomp, valoramos y celebramos la diversidad de experiencias y estamos ansiosos por conocer tu historia única. Queremos asegurarte que un camino no convencional no representa un obstáculo para desarrollar una carrera exitosa con nosotros. Reconocemos que el éxito puede manifestarse de múltiples maneras. Te invitamos a utilizar la sección 'Información Adicional' en nuestro formulario de aplicación para compartir más detalles sobre tu recorrido. "
Product Manager (Revenue Management),https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18377059,"Descripción
Role purpose
Manage the team responsible for portfolio strategy and product segmentation, evaluate adherence to product value propositions and execution of negotiations, and control KPIs of sales quality and inventory optimization. Direct and transversal work with departments: New Business, Campaign Planning, IT, Commercial, Marketing and Finance.

Role Responsibilities

• People management.
• Design effective management reports.
• Support analyst in database management.
• Search and interpret market information.
• Support areas involved in the construction of budget, forecast and revenue monitoring.
• Direct involvement in structuring price tables and product offerings.
• Direct part in the approval of discounts following clear rules of price x demand.
• Conducting projects.
• Ad hoc analyses are aimed at solving problems."
Product Manager - Advanced English - 100% onsite,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18375201,"Descripción
Softtek, is currently hiring “Product Manager”

Required profile:
5 yoe as a Product Manager
Advanced English – Fluent ability to have a conversation in English.
Nice to have BA and PO Knowledge
Experience with Office 365 suite (Word, Excel, PowerPoint, Visio, Access) and Microsoft Windows operating system
Knowledge of Project Management methodologies like Agile and Kaizen is mandatory
Hands on experience on Project Management tools like JIRA, Confluence, Microsoft Project Plan is must.
Hands-on experience in Agile projects is mandatory.
Responsible for preparing Total Cost of Ownership (TCO) for all business initiatives and projects.
Prepare detailed Business Process flows and prepare Business process mapping
Experience with feasibility Analysis, GAP Analysis, Configuration, and Customization with End-to-End Testing.
Experience working collaboratively with an extended team of internal and external functional and technical resources
Experience with troubleshooting customer related issues and assisting users with day-to-day support
Strong analytical and problem-solving skills

?Workplace: Availability to work 2 or 3 times per week onsite (Insurgentes Sur).
Work schedule: Monday - Friday (Full time - 9:00am - 6:00pm)

We offer:
Indefinite term contract
Law benefits.
Fringe benefits in addition to what is required by law such as:
Teleworking allowance.
Food vouchers.
Savings fund.
Free training and more...."
Product Manager | Identity and Access Management,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18380914,"Descripción
The Job:
The Product Manager for Identity plays a pivotal role in ensuring a secure and seamless identity management experience for our customers. As the custodian of our centralized Epicor Identity platform, you'll be instrumental in shaping the future of authentication and identity management across all Epicor products.

What you will be doing:
Collaborate with various product and development teams to streamline identity and authentication management across Epicor solutions.
Champion the adoption of Multi-Factor Authentication (MFA) and Single Sign-On (SSO) to fortify the security posture of Epicor customers.
Contribute to setting strategic directions and priorities for applications.
Assist in the evolution of the product portfolio, roadmap, innovation index, and overall product management lifecycle.
Provide support and insights to the Product Marketing team.
Work alongside Product Marketing to equip Sales with the necessary resources for effective client engagement.
Coordinate and mobilize cross-functional teams to drive initiatives forward.

What you will likely bring:
Foundational understanding of strategic planning and business case development.
Strong analytical and communication abilities.
Proficiency in SSO, MFA, SCIM, OIDC, and other Identity/Authentication standards.
Hands-on experience with Microsoft Entra (Azure AD), Okta, or similar identity providers.

The Product Team 
The Product team at Epicor supports a rapidly evolving group of products with innovative approaches to design and integrative technology, driving the business to be a leader of cloud-based SaaS. With offices across the United States and internationally, we provide over 21,000 customers and more than two million daily users with the essential tools that help them do what they need to do to support how the world makes, moves, and sells.

About Epicor 
At Epicor we know that success comes from working together. Everyone has a role to play, and it's the essential partnerships across our company that are crucial to our customers' success and our growth as a business. 

We're truly a team. Working in close partnership, we bring wide-ranging talents together in powerful collaborations. We think innovatively, share our knowledge generously, and constantly learn from our colleagues. We're proud of the success we achieve every day, but we never stop challenging ourselves and encouraging each other. Together, we go further and imagine an even brighter future. 

Whatever your career journey, we'll help you find the right path. Through our training courses, mentorship, and continuous support, you'll get everything you need to thrive. At Epicor, your success is our success. And that success really matters, because we're the essential partners for the world's most essential businesses—the hardworking companies who make, move, and sell the things the world needs.

Equal Opportunities and Accommodations Statement 
Epicor is committed to creating a workplace and global community where inclusion is valued; where you bring the whole and real you—that's who we're interested in. If you have interest in this or any role- but your experience doesn't match every qualification of the job description, that's okay- consider applying regardless. 

We are an equal-opportunity employer. "
Product manager sr - Sector Turístico - Inglés avanzado,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18361046,"Descripción
AIT, empresa mexicana con 10 años de experiencia en reclutamiento y administración de profesionales de tecnologías de la información, busca el mejor talento con el siguiente perfil:

Product Manager Sr - Sector Turístico

Se requiere:
Indispensable contar con experiencia en el sector turístico (agencias de viajes, hoteles, parques, club vacacional, etc) de lo contrario, se descartará.
Contar con mínimo 7 años de experiencia y al menos 3 años en actividades similares.
Experiencia en administración de proyectos TI
Conocimientos en análisis RIO Costo- Efectividad
Conocimientos en ecosistemas turísticos (hoteles, parques, club vacacional, etc)
Experiencia en desarrollo de APPS
Manejo de metodología ágil, Kanban, etc.
Conocimientos en nuevas tendencias de Hardware, Redes y Telecomunicaciones.
Conocimientos en Gobernanza de Datos
Optimización de operaciones
Capacidad para crear planes tácticos que respalden la ejecución de una estrategia más amplia
Capacidad para descomponer la información de alto nivel el partes pequeñas y abstraer las partes pequeñas en una imagen más amplia 
Inglés avanzado conversacional 
Manejo de software: BI, CRM, ERP, Office, Figma, Miro, PMS

Condiciones Laborales:
Zona de trabajo: Playa del Carmen, Q. Roo
Modalidad: Presencial 100%
Horario de trabajo: 9 am a 6 pm con disponibilidad algún sábado si la operación lo requiere
Prestaciones de Ley + Prestaciones superiores a la Ley + Apoyo de reubicación al candidato
Proceso de entrevistas: Remoto

Dentro de los procesos de Reclutamiento y Selección de personal en AIT, se respeta plenamente la dignidad humana del trabajador; no existe discriminación por origen étnico o nacional, género, edad, discapacidad, condición social, condiciones de salud, religión, condición migratoria, opiniones, preferencias sexuales o estado civil; se tiene acceso a la seguridad social y se percibe un salario remunerador; se recibe capacitación continua para el incremento de la productividad con beneficios."
GERENTE DE PRODUCTO - CRÉDITOS FINANCIEROS,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18404026,"Descripción
GERENTE DE PRODUCTO - CRÉDITOS FINANCIEROS SOFIPO

Gestionar el desarrollo así como manejar los productos de Crédito de la SOFIPO con el fin de tener una familia de productos 100% digitales y competitivos que generen una rentabilidad positiva apegándose a las políticas y regulaciones internas y externa.

FUNCIONES GENERALES A REALIZAR EN EL PUESTO
Seguimiento a la definición y desarrollo de Créditos personales junto con las diferentes áreas de la SOFIPO
Elaboración de historias de los productos de crédito personales
Documentar todas las funcionalidades, riesgos, características, caso de negocio y legales para aprobación de comité
Supervisar la correcta ejecución de los requerimientos para la configuración y desarrollo de los productos en el sistema
Seguimiento al desarrollo de mejoras continuas y/o cambios necesarios para estar dentro de mercado y en función a las necesidades de los clientes
Seguimiento y validación de los manuales de producto así como de los manuales relacionados a los mismos
Apoyar con la aprobación de proveedores con tratamiento regulatorio ante la CNBV
Crecimiento de portafolio de los productos de crédito con clientes y mercado abierto
Analizar los indicadores del negocio, el comportamiento de los clientes y del mercado.

Experiencia de 5 años en:
Conocimiento en Investigación de mercado
Estrategia de marca y productos financieros
Diseño y desarrollo de nuevos productos financieros
Conocimientos generales en Mercadotecnia
Conceptos financieros
Manejo de procesos administrativos
Habilidades de Comunicación (Facilidad de palabra)


Herramientas de trabajo: 
Confluence, Jira, Miro


OFRECEMOS:
Hasta $65,000.00 brutos mensuales
20 días de aguinaldo.
Prima 15 días al 100%.
14 días de vacaciones.
Vales de despensa.
Comedor subsidiado.
Bono anual - hasta 3 meses de sueldo.
Esquema híbrido 3 días en oficina, 2 en casa.
SGMM, SDV y dental a partir del 4to mes."
MEX Gerente De Producto I,https://www.occ.com.mx/empleos/de-product-manager/en-Mexico/?page=1&jobid=18215845,"Descripción
Parker Hannifin is the world's leading diversified manufacturer of motion and control technologies and systems, providing precision-engineered solutions for a wide variety of mobile, industrial and aerospace markets, with annual sales of $14.3 billion in fiscal year 2021 .The company has operations in 50 countries around the world. Parker has increased its annual dividends paid to shareholders for 63 consecutive fiscal years, among the top five longest-running dividend-increase records in the S&P 500 index.
Assumes key responsibility for leading and supervising product managers handling specific product lines. Its core focus is to position all product lines in the market, drive growth, analyze competition and design strategies to increase market share. In addition, it is tasked with opening new markets, supporting the distributor and sales network through growth strategies and business plans. This leader must have a deep understanding of customer needs and work to maximize sales revenue and margins for all applicable Parker products.
Develop and implement strategies to effectively position all product lines in the market, ensuring a competitive advantage.
Design business plans and growth strategies to achieve specific market share and expansion objectives.
Collaborate closely with sales teams and distributors to effectively implement growth strategies and ensure customer satisfaction.
Identify and open new markets to expand the company's presence and increase sales opportunities.
Evaluate team and product line performance, implementing adjustments and improvements as necessary.
Industrial, Mechanics, Electrical, or Electromechanical Engineering
+6 years experience
Interpretation of Plans
Hydraulic and Pneumatic Diagrams
Knowledge in Fluid Connectors and Filtration Systems
Advanced English (C1)
<"
