Job_Title,Job_Description,Job_Url
Product Manager | Identity and Access Management,https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18380914,"Descripción
The Job:
The Product Manager for Identity plays a pivotal role in ensuring a secure and seamless identity management experience for our customers. As the custodian of our centralized Epicor Identity platform, you'll be instrumental in shaping the future of authentication and identity management across all Epicor products.

What you will be doing:
Collaborate with various product and development teams to streamline identity and authentication management across Epicor solutions.
Champion the adoption of Multi-Factor Authentication (MFA) and Single Sign-On (SSO) to fortify the security posture of Epicor customers.
Contribute to setting strategic directions and priorities for applications.
Assist in the evolution of the product portfolio, roadmap, innovation index, and overall product management lifecycle.
Provide support and insights to the Product Marketing team.
Work alongside Product Marketing to equip Sales with the necessary resources for effective client engagement.
Coordinate and mobilize cross-functional teams to drive initiatives forward.

What you will likely bring:
Foundational understanding of strategic planning and business case development.
Strong analytical and communication abilities.
Proficiency in SSO, MFA, SCIM, OIDC, and other Identity/Authentication standards.
Hands-on experience with Microsoft Entra (Azure AD), Okta, or similar identity providers.

The Product Team 
The Product team at Epicor supports a rapidly evolving group of products with innovative approaches to design and integrative technology, driving the business to be a leader of cloud-based SaaS. With offices across the United States and internationally, we provide over 21,000 customers and more than two million daily users with the essential tools that help them do what they need to do to support how the world makes, moves, and sells.

About Epicor 
At Epicor we know that success comes from working together. Everyone has a role to play, and it's the essential partnerships across our company that are crucial to our customers' success and our growth as a business. 

We're truly a team. Working in close partnership, we bring wide-ranging talents together in powerful collaborations. We think innovatively, share our knowledge generously, and constantly learn from our colleagues. We're proud of the success we achieve every day, but we never stop challenging ourselves and encouraging each other. Together, we go further and imagine an even brighter future. 

Whatever your career journey, we'll help you find the right path. Through our training courses, mentorship, and continuous support, you'll get everything you need to thrive. At Epicor, your success is our success. And that success really matters, because we're the essential partners for the world's most essential businesses—the hardworking companies who make, move, and sell the things the world needs.

Equal Opportunities and Accommodations Statement 
Epicor is committed to creating a workplace and global community where inclusion is valued; where you bring the whole and real you—that's who we're interested in. If you have interest in this or any role- but your experience doesn't match every qualification of the job description, that's okay- consider applying regardless. 

We are an equal-opportunity employer. "
SECURITY ARCHITECT,https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18400815,"Descripción
Objetivo del puesto:

Asegurar la confidencialidad, integridad y disponibilidad de los activos de información y los sistemas encargados de almacenar, procesar y transmitir estos activos de información, esto a través del cumplimiento de leyes, regulaciones y normativas de seguridad, identificando riesgos de seguridad con impacto en la organización.

Principales Funciones:

Alinear a la estrategia de seguridad de la organización en el diseño de los componentes de la infraestructura tecnológica, mediante ejercicios de dimensionamiento de diseño y arquitectura de solución, para su correcto desarrollo, implementación y puesta en operación.


Apoyar en la habilitación de un modelo de seguridad desde el diseño
Dar seguimiento y vigilar que los proyectos/servicios operen de acuerdo con la arquitectura de seguridad diseñada para su operación.
Evaluar nuevas tecnologías de información, para ofrecer una propuesta de entrega de nuevas soluciones mediante la constante investigación de las tendencias de seguridad de la industria.
Participar en la definición de controles de seguridad, estándares y modelos de referencia de seguridad para los componentes que integran la infraestructura tecnológica (centro de datos, telecomunicaciones, Nube).
Gestionar la documentación de estándares, modelos de referencia y especificaciones técnicas de seguridad específicos de cada proyecto, que deben ser considerados durante el diseño de nuevos servicios y/o proyectos.
Contribuir activamente en el establecimiento y gestión de un programa de gestión de configuraciones seguras de los activos de infraestructura.
Colaborar con Arquitectura empresarial para la definición de controles, estándares y requerimientos para proyectos nuevos y existentes
Apoyar a las áreas funcionales y de TI en la creación de diagramas conceptuales del flujo de información de las comunicaciones de los servicios y soluciones, considerando que se atiendan los riesgos de SI.

Requisitos:


Carrera profesional terminada en Ingeniería o Licenciatura en sistemas o afín.
Inglés Avanzado.
Contar con experiencia de al menos 2 años en puesto similar.
Conocimiento en administración de vulnerabilidades.
Conocimiento en herramientas de identificación de vulnerabilidades (Qualys, Tenable/Nessus, etc.)
Conocimientos de redes, infraestructura, cifrado, protección de datos, normatividad.
Conocimiento de mejores prácticas y estándares internacionales como ISO27000, PCI, SOX, CIS, etc.

Si cumples con el perfil y esta oportunidad es de tu interés, ¡postúlate por este medio!

Todos nuestros procesos de reclutamiento y selección son incluyentes y libres de discriminación; sin importar género, edad, nacionalidad, raza, cultura, religión, estado civil, creencias, discapacidad, orientación sexual, identidad y expresión de género."
Security Architect,https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18403815,"Descripción
Detalle
Competencias
Arquitectura de seguridad de la información (Conocimiento práctico)
Delito informático (Conocimiento práctico)
Tecnologías de cifrado (Conocimiento práctico)
Iniciativa (Conocimiento práctico)
Precisión y atención a los detalles (Conocimiento práctico)
Trabajo en equipo (Conocimiento práctico)
Toma de decisiones y pensamiento crítico (Conocimiento práctico)
Adaptabilidad y flexibilidad (Conocimiento práctico)
Tecnología de seguridad de la información (Conocimiento práctico)
Recopilación de información (Conocimiento práctico)
Análisis predictivo (Amplia experiencia)
Análisis de Malware (Conocimiento práctico)
Gestión de eventos e información de seguridad (SIEM) (Conocimiento práctico)
Gestión de amenazas digitales (Amplia experiencia)
Evaluación de vulnerabilidades (Conocimiento práctico)
Prevención y detección de intrusiones (Conocimiento práctico)
Defensa de red informática (Conocimiento práctico)
Tendencias TTPS del Atacante (Amplia experiencia)
Seguridad del punto final (Conocimiento práctico)
Seguridad de redes e Internet (Conocimiento práctico)
Estudios
Titulación Campo de Estudio
Otros estudios
Idiomas
Idioma Destreza Nivel
Inglés General Fluido"
Security Coordinator,https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18395780,"Descripción
We are as invested in your career as you are.
As you navigate through these uncertain times, know that Pinkerton has been a stable, thriving corporation for over 170 years. As recognized leaders around the globe in the corporate risk management industry, you can rest assured that joining us now means moving to a future-looking company. We are here today, will be here tomorrow, and are a thriving community of over 2,000 risk management professionals.
This is just one of the several exciting career opportunities that are currently available.
Job Summary:
The Security Coordinator assigned to a specific client, will be responsible for developing all security programs, personnel, contractors, and consultants. The coordinator will be responsible for the strategic identification of security risks, threats, and vulnerabilities as well as the prevention and protection of the client's employees, assets, property, product, and brand reputation.
Essential Functions:
Represent Pinkerton's core values of integrity, vigilance, and excellence.
Lead security risk assessments (Security 360°) implementation in the assigned sites.
Manage the production and timely delivery of regional security performance reports for Leadership Team and Corporate Security and use the reports to lead and facilitate discussions with country key stakeholders on security challenges and activities when needed and requested.
Coordinate the deployment of the Security Awareness Program in the Region in collaboration with the client.
Lead responses to incidents as they arise and related investigations in close collaboration with the client.
Provide security advice and support for high-level events in the region.
Contribute to the Influence the regional organization through proactive production of impactful risk-based-intelligence-led security communication.
Advise Sites on Security Risk Management and Security Improvement Plan implementation.
All other duties, as assigned.
Education, Experience, and Certifications:
BA Degree preferably in Security, Law, Administration, Logistic or any similar career (CPP, PSP are plus). 3 years of proven experience working in Security/FM in the private sector. Bilingual (English, Spanish). Pinkerton is an inclusive employer who seeks candidates with diverse backgrounds, experiences, and perspectives.
Competencies:
Able to develop and recommend policy and initiatives appropriate to client needs.
Able to organize and implement various client specific programs in an efficient and effective manner, meeting all deliverables and deadlines.
Excellent communication and presentation skills as well as coordination.
Strong client service orientation.
Able to evaluate and recommend changes in intelligence operations methods.
Demonstrated analytical expertise; accurately draw conclusions by synthesizing raw data and information from multiple unrelated sources into a finished comprehensive product.
Able to identify and solve complex problems.
Exceptional time/stress management skills.
Able to carry out responsibilities with little or no supervision and, at times, under adverse situations.
Able to present and defend intelligence positions to a variety of audiences including staff, representatives, and members of the Board.
Interact effectively at all levels of an organization and across diverse cultural and language barriers.
Computer skills; Microsoft Office.
Working Conditions:
With or without reasonable accommodation, requires the physical and mental capacity to effectively perform all essential functions;
Must undergo and meet company standards for pre-employment review.
Maintain composure in dealing with authorities, executives, clients, staff, and the public occasionally under conditions of urgency and in pressure situations.
Exposure to sensitive and confidential information.
Regular computer usage.
Ability to handle multiple tasks concurrently.
Manual dexterity required for occasional reaching and lifting of small objects and operating office equipment.
Close and distance vision and ability to adjust focus.
Travel, as required.
Pinkerton is an equal opportunity employer to all applicants and positions without regard to race/ethnicity, color, national origin, ancestry, sex/gender, gender identity/expression, sexual orientation, marital/prenatal status, pregnancy/childbirth or related conditions, religion, creed, age, disability, genetic information, veteran status, or any protected status by local, state, federal or country-specific law."
Security Investigator(WAHposition),https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18406233,"Descripción
Join the Leader in the Call Center Business!
Trusted by leading Fortune 500 and government agency clients, Alorica is an innovator in outsourced Contact Management Solutions for both the Business-to-Business (B2B) and Business-to-Consumer (B2C) sectors. Alorica offers a wide range of call center services designed to help create, cultivate, and maintain our customer's precious asset— their customer relationships.

Summary
Supports enterprise-wide fraud, misconduct, theft, policy violations, disclosure of confidential information, workplace violence, and other Alorica Security related investigations. Leads internal investigation across all Alorica sites, conducts employee interviews, coordinates with internal and external partners, documents and presents findings.

Key responsibilities
Conducts fraud / theft / misconduct / policy violations / security related / workplace violence investigations, record analysis, interviewing and report writing, while providing guidance and working in conjunction with business partners to include human resources, operations, client solutions, quality assurance, and legal.
Leads and participates in employee witness and suspect interviews in relation to internal investigations.
Document and report all investigative activities within an electronic case management system.
Partners / collaborates with cross-functional stakeholders in each phase of the investigation process, as appropriate.
Perform other duties as assigned by management.

Experience, Knowledge, Skills & Abilities
·        2-3 years of experience in the security field, preferred.
·        Advanced English level(B2+)
·        Ability to effectively organize work and priorities against deadlines.
·        Excellent leadership and organizational skills."
Security Program Manager (Remote),https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18332595,"Descripción
We are as invested in your career as you are.
As you navigate through these uncertain times, know that Pinkerton has been a stable, thriving corporation for over 170 years. As recognized leaders around the globe in the corporate risk management industry, you can rest assured that joining us now means moving to a future-looking company. We are here today, will be here tomorrow, and are a thriving community of over 2,000 risk management professionals.
This is just one of the several exciting career opportunities that are currently available.
Job Summary:
The Security Program Manager, assigned to one of Pinkerton's largest global clients, will be responsible for executing Latin America (LATAM) physical security operational analysis in support of the Global Security department. The Manager is a dedicated resource for the Operations program who will help facilitate security standards and deliver on Global Security initiatives. This role assists with managing content, updating policies and procedures, creating communications and presentations, and general administrative activities for the Regional Security Manager. This position will be based (remote) within Mexico City, Mexico.
Essential Functions:
Represent Pinkerton's core values of integrity, vigilance, and excellence.
Provide operational support to the Regional Security Advisors and Regional Security Manager.
Manage the collection of information used to populate various standard reports and updates.
Support the LATAM Global Security team by providing business analytics, content management, and project management.
Function as a subject matter expert (SME) on all LATAM physical security operations data, metrics, analytical projects/questions, and serve as a point of contact for projects.
Utilize Power BI to create metrics with meaning insights which drive decision-making abilities.
Provide operational support and guidance regarding intelligence related to physical security threats and emergency and contingency planning for stakeholders, executives, and employees.
Continuously monitor and refine information gathering tools and queries.
Monitor, track, and communicate situations in LATAM that pose a risk to the business.
Collaborate with key stakeholders and partners across multiple lines of business.
Articulate key findings extrapolated from sourced data with a focus on Operations including written assessments, formal report writing, and verbal briefings to management.
Effectively work as part of an interdisciplinary, global team managing multiple tasks, and projects with minimal supervision.
Develop and/or improve standard operating procedures and program documents.
Receive and process incoming reports and messages.
Safeguard and maintain highly sensitive and confidential information regarding the corporation.
Establish and maintain systematic, cross-referenced records, and files.
All other duties, as assigned.
Education, Experience, and Certifications:
Bachelor's degree with three to five years in government and/or corporate security management roles which included physical security, project work, and presenting metrics/key findings, or an equivalent combination of education and experience sufficient to perform the essential functions of the job, as determined by the company. Pinkerton is an inclusive employer who seeks candidates with diverse backgrounds, experiences, and perspectives.
Competencies:
Strong bi-lingual written and verbal communication skills; English and Spanish.
Familiarity with standard project management processes.
Able to use data effectively to find and communicate trends to stakeholders.
Familiarity with physical security initiatives including life safety, asset protection, technologies, and threat management.
Able to complete assignments independently and within given deadlines.
Able to build good relationships internally/externally and establish credibility quickly.
Effective time management skills.
Able to work with minimal supervision and at times under adverse and stressful conditions.
Able to manage multiple assignments peting deadlines.
Represent the team and organization with a sense of diplomacy and collaborative spirit.
Able to maintain high ethical standards when handling confidential and sensitive information.
Effective decision-making ability and independent judgement.
Computer skills and operations-based technology including, but not limited to, Microsoft Office 365 Suite, SharePoint, and Power BI.
Working Conditions:
With or without reasonable accommodation, requires the physical and mental capacity to effectively perform all essential functions;
Exposure to sensitive and confidential information.
Regular computer usage.
Must be able to see, hear, speak, and write clearly in order to communicate with employees and/or customers.
Occasional reaching and lifting of small objects and operating office equipment.
Ability to adjust focus between close and distance vision.
Frequent sitting and/or walking.
Travel, as required.
Pinkerton is an equal opportunity employer to all applicants and positions without regard to race/ethnicity, color, national origin, ancestry, sex/gender, gender identity/expression, sexual orientation, marital/prenatal status, pregnancy/childbirth or related conditions, religion, creed, age, disability, genetic information, veteran status, or any protected status by local, state, federal or country-specific law."
Application Security (admin role),https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18405263,"Descripción
We're hiring!
At Cognizant we have an ideal opportunity for you to be part of one of the largest companies in the digital sector worldwide. A Great Place to Work where we look for people who contribute new ideas, experiencing a dynamic and growing environment. At Cognizant we promote an inclusive culture, where we value different perspectives providing career growth and development opportunities. #WelcomeToCognizant!

We have an exciting opportunity for an exceptional individual to work supporting one of our clients as Senior Engineer - Application Security (admin role)

The Senior Engineer - Application Security will work with in-depth knowledge of both strategies and acceptable risk tolerances across a broad scope of applications. Close collaboration and alignment with business teams, application development teams and security operations will be required. As such, strong technical knowledge, security expertise and exceptional abilities in building and maintaining working relationships and organizational savvy will be required. High level communication and presentation skills are required.


Roles & Responsibilities:
-         Report to the Global Manager of Application Security with responsibility for implementing AppSec technology security strategy.
-         Maintain knowledge of Company systems, applications, and security process and services.
-         Develop findings based on application security principles, deliver findings to application teams, and assist in remediation.
-         Threat model applications and advocate for controls that protect the business against financial loss occurring from application exploits, data exposure, fraud, & social engineering.
-         Provide escalation path for security inquiries, issues, and incidents across the scope of applications.
-         Review specification documents of functional and non-functional requirements for new features, functionalities, and enhancements in application technology space. Drive the execution of applications security roadmap by effectively documenting and communicating requirements to all stakeholders at the appropriate level and cadence.
-         Analyze and determine the impact of new issues, functionality, and technology to existing business and system security processes and recommend adjustments needed to align with changing trends, behaviors, or performance.
-         Effectively, consistently, and proactively communicate security issue status, and related information to cross-functional teams and at all levels.
-         Conduct research on industry trends and maintain knowledge of competitive landscape and digital innovations.
-         Develop subject matter expertise of client brands, product lines, customers, and industries.

Required Skills:
-         4-7 years' experience in Application Development & Security roles including experience in vulnerability management, process implementation, and business collaboration.
-         VAPT (Application)
-         DAST
-         SAST
-         DevSecOps
-         Demonstrated experience with application security penetration testing and toolsets.
-         Demonstrated experience software threat modeling & application architecture review.
-         Excellent oral and written communication with ability to explain common application vulnerabilities and remediation paths.
-         Common Application Vulnerabilities & Remedies
-         Build Pipeline and CI/CD Security Integration
-         Manual Security Testing
-         Cloud, SRE knowledge


Why Cognizant?
Improve your career in one of the largest and fastest growing IT services providers worldwide.
Receive ongoing support and funding with training and development plans.
Have a highly competitive benefits and salary package.
Get the opportunity to work for leading global companies.
We are committed to respecting human rights and build a better future by helping your minds and the environment.
We invest in people and their wellbeing. 
We create conditions for everyone to thrive. We do not discriminate based on race, religion, color, sex, age, disability, nationality, sexual orientation, gender identity or expression, or for any other reason covered.
At Cognizant we believe than our culture make us stronger!
Join us now.
#BeCognizant #IntuitionEngineered 
Igualdad de Empleo y Política de Acción Afirmativa: Cognizant es un empleador que ofrece igualdad de oportunidades. Todos los solicitantes calificados recibirán consideración para el empleo sin distinción de sexo, identidad de género, orientación sexual, raza, color, religión, origen nacional, discapacidad, estado de veterano protegido, edad o cualquier otra característica protegida por la ley."
Global Security Operations Specialist,https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18386560,"Descripción
Information Systems Security work focuses on preventing IT-based crime, hacking, intentional or inadvertent modification, disclosure, or destruction to an organization's information systems and IT assets and intellectual property including:
•Designing, testing, and implementing secure operating systems, networks, and databases
•Password auditing, network based and Web application based vulnerability scanning, virus management, and intrusion detection
•Conducting risk audits and assessments, providing recommendations for application design
•Monitoring and analyzing system access logs
•Planning for security backup and system disaster recovery.

Under the management of IT Security operation leader, the CyberSOC is the entity monitoring & managing our IT Security alert & incident. The CyberSOC is covering the whole Edenred Group & support local teams to respond to various alerts or incidents from the qualification to the resolution.

Experience:
· Experience 3 to 4 years of experience in IT Security alert or IT Security incident management.
Nice to have:
·Experience as analyst in a CyberSOC , Experience with the following: SIEMs (preferably Splunk); Proofpoint; Forcepoint; Microsoft 365 Suit.

We are a multicultural international company, in more than 40 countries, with many different challenges in term of security. You will join a team available & a passion for Cybersecurity. "
security and protection supervisor,https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18163527,"Descripción
Job Description
Responsible for supervising corporate security strategies, supervising and coordinating the operation at the sites of responsibility and providing advice to the different divisions and clients at the site, thereby contributing to business continuity and the proper management of both physical and human resources. within the best cost-benefit ratio.
Qualifications
Extensive experience in management of private security teams, electronic security systems and risk management concepts/strategies.
Certifications as security officer, auditor in CTPAT /OEA certification programs, risk analyst."
Data Security Monitoring Engineer,https://www.occ.com.mx/empleos/de-product-security-and-it-security-integration-specialist/en-Mexico/?page=1&jobid=18400325,"Descripción
Monitorización exhaustiva de alertas procedentes de plataformas como McAfee DLP (Endpoint), Symantec DLP (Email saliente), ZScaler DLP (Navegación) y Cisco CloudLock (CASB).
Modificación básica de políticas necesarias para poder asegurar las necesidades de seguridad/compliance pertinentes en tecnologías como McAfee DLP (Endpoint), Symantec DLP (Email saliente), ZScaler DLP (Navegación) y Cisco CloudLock (CASB).
Monitorización exhaustiva AWS Security Hub, GCP Security Command Center y Microsoft Azure Defender for Cloud.
Identificar y monitorizar amenazas relacionadas con DLP que puedan conllevar riesgo para la organización.
Gestión de los incidentes que se generan en las plataformas, entendiéndose como las alertas de los casos de uso, alertas automáticas por incidencias derivadas de acciones en el servicio o aquellas creadas de forma manual y que son necesarias para el ajuste en las herramientas que explota el servicio.
Realizar la supervisión, adecuación y envío de Informes de incidencias críticas comprometidos con cliente.
Evaluar el despliegue de nuevas políticas o módulos relacionados con las tecnologías anteriormente descritas.
Análisis y gestión de tickets, llamadas o correos electrónicos provenientes del escalado de Operacion BAU.
Participación en la respuesta de incidentes, colaborando con el equipo que se encargue de la misma."
