Job_Title,Job_Description,Job_Url
Software Engineer,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18403967,"Descripción
Acerca de la empresa
Somos una firma de consultoría enfocada en trabajar con su equipo para analizar la operación, desarrollar e implementar soluciones que mejoren significativamente la rentabilidad de las empresas, y capacitar a su gente para administrar mejor sus recursos. Operando en 24 países de América y Europa.
 Requisitos
Conocimiento indispensable en RELEX software o Blue Yonder (1 a 2 años de experiencia)
Carrera terminada en Sistemas Computacionales, Ingeniero en Tecnologías de Información, Ingeniero en Mecatrónica o afín.
Inglés avanzado de negocios
Pasaporte y visa vigente
Disponibilidad para viajar a USA"
Software engineer,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18378644,"Descripción
Like the idea of a WFH / Remote work model?
Excited to work within an International team?
Want to be part of a rapidly scaling company?

YOUR JOURNEY STARTS HERE...


ABOUT WETRAVEL

Travel gives people new experiences and brings them together, sometimes in life-changing ways. That's especially the case for group travel and multi-day travel where the participants get to really immerse themselves. Passionate travel organizers make this magic happen and WeTravel is here to support those travel organizers. 

We help them publish their trip offerings, take bookings, process payments, pay suppliers/vendors, and digitize their operations. This helps travel organizers get more bookings, save time, and save money.


OUR VALUES

 This position presents the opportunity to work in a business-critical role in a rapidly growing company. You will also uphold our four core values:
 Be the solution - take ownership, drive collaboration
 Be resourceful - strive for new wins every day
 Be honest - default to transparency
 Be respectful - treat others like you want to be treated
 We encourage applicants from diverse backgrounds and underrepresented groups and would invite you to apply. A diverse workforce is a highly productive one, so why not take a chance, send us your application even if you don't meet all our requirements, we may surprise you!

“Culture add” is so much better than ""culture fit"" and welcome applications from all groups, irrespective of your, age, disability, gender reassignment, gender, marriage and civil partnership, pregnancy and maternity, race, religion or belief, sex, veteran status and sexual orientation. 

We celebrate our diversity.


OUR WORK ETHIC

At WeTravel, we are building a High Performance Culture where we reward top performers, expect a work environment at WeTravel that is fast-paced, demanding and deeply committed to putting our customers first. Our global footprint spans 30 countries, requiring your flexibility, agility, and dedication to our team.

Our high-performing team members are prepared to give their best by embracing the early mornings, late nights, and intensive project work. This commitment to excellence and to tackling challenges head-on is what positions us at the front of our industry.

Joining WeTravel means stepping into a dynamic, demanding environment where your contribution makes a real difference. It's a place for those ready to dive into their work, push beyond comfort zones, and achieve collective goals through hard work and perseverance.

Here, ambition isn't just welcomed; it's essential for those fully committed to our mission of leading the market in the fintech SaaS space.
Key Responsibilities


We are looking for a Software Developer with an experience in (or excited about) integration support to assist our end customers. In addition to providing integration support, you will also be actively involved in developing internal tools, including the admin panel. The ideal candidate will possess a good understanding of software development, excellent communication skills, and a passion for working directly with customers.


Integration Support:
Assist end customers in integrating our software solutions into their existing systems.
Troubleshoot and resolve integration issues by analyzing code, logs, and system configurations.
Collaborate with customers to understand their unique integration requirements and provide customized solutions.

Technical Support:
Respond to customer inquiries through online calls and emails in a timely and professional manner.
Diagnose and resolve technical issues related to our software products.
Provide step-by-step guidance to customers on implementing and troubleshooting integration processes.

Documentation:
Create and maintain detailed documentation for integration procedures, best practices, and troubleshooting guides.
Contribute to the knowledge base to enhance the overall efficiency of the support team.
Contribute to the continuous improvement of internal processes and workflows.
Participate in the development of features that enhance the functionality and usability of internal tools.


Qualifications:

Proven experience as a software developer.
Experience working directly with customers is a plus.
Fluent Spanish and English language is a must.
Excellent communication skills, both written and verbal, with the ability to convey technical concepts to non-technical audiences.
Strong problem-solving skills and the ability to analyze and debug software issues.
Experience with website builders like WordPress, Wix, SquareSpace is a plus.
Familiarity with API integrations, web services, and data formats (JSON, CSV, etc.).
Skills, Knowledge & Expertise

Proven experience as a software developer.
Experience working directly with customers is a plus.
Fluent Spanish and English language is a must.
Excellent communication skills, both written and verbal, with the ability to convey technical concepts to non-technical audiences.
Strong problem-solving skills and the ability to analyze and debug software issues.
Experience with website builders like WordPress, Wix, SquareSpace is a plus.
Familiarity with API integrations, web services, and data formats (JSON, CSV, etc.).
Benefits
Attractive compensation
Unlimited Paid Time Off!
Remote working model 
As a travel-related company, we have fantastic team gatherings, #wegather.
The latest tech you need to be successful.

About WeTravel
Founded in 2016, WeTravel provides a complete booking and payments platform for multi-day and group travel companies of all sizes. We give your clients an easy booking experience while also helping you manage financials, payments to partners or your bank, registration information, and client communication all in one place.

Headquartered in San Francisco, with our secondary hub in Amsterdam, our team is driven to continuously improve our technology; ensuring that our clients always have the best possible solutions at their fingertips."
Software Engineer I,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18375772,"Descripción
You Lead the Way. We've Got Your Back.
With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unmitment to back our customers, communities and each other. Here, you'll learn and grow as we help you create a career journey that's unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.
At American Express, you'll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company's success. Together, we'll win as a team, striving to uphold our company values and powerful backing promise to provide the world's best customer experience every day. And we'll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.
Join Team Amex and let's lead the way together.
As part of our diverse tech team, you can architect, code and ship software that makes us an essential part of our customers' digital lives. Here, you can work alongside talented engineers in an open, supportive, inclusive environment where your voice is valued, and you make your own decisions on what tech to use to solve challenging problems. Amex offers a range of opportunities to work with the latest technologies and encourages you to back the broader engineering community through open source. And because we understand the importance of keeping your skills fresh and relevant, we give you dedicated time to invest in your professional development. Find your place in technology on #TeamAmex.
Experience
Advanced level ability in software development 
Function as member of a software engineering team by contributing to software builds through consistent development practices (tools, common components, and documentation)
Participate in code reviews and automated testing
Debug softponents and identify code defects for remediation
Enable the deployment, support, and monitoring of software across test, integration, and production environments
Automate deployments in test or production environments
Automatically scale applications based on demand projections 
Adhere to security and regulatory best practices Leadership
Demonstrate increased self-reliance to achieve team goals 
Influence team members with creative changes and improvements by challenging status quo and demonstrating risk taking
Minimum Qualifications
Fluent Spanish and English, as position is based in Mexico City, Mexico
5 years of software development experience in a professional environment and/or comparable experience such as: 
Familiar with Agile or other rapid application development methods
Experience with design and coding across one or more platforms and languages as appropriate
Hands-on expertise with application design, software development and automated testing
Experience with distributed (multi-tiered) systems, algorithms, and relational databases
Confirmed experience with object-oriented design and coding with variety of languages
Bachelor's Degree in computer science, computer science engineering, or related experience required; advanced degree preferred
Experience with Java Script, RestApi, Python & Data Base.
Preferred Qualifications
Experience with Cloud
We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. That means we prioritize their physical, financial, and mental health through each stage of life. Benefits include:
Competitive base salaries 
Bonus incentives 
Support for financial-well-being and retirement 
Comprehensive medical, dental, vision, life insurance, and disability benefits (depending on location) 
Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need 
Generous paid parental leave policies (depending on your location) 
Free access to global on-site wellness centers staffed with nurses and doctors (depending on location) 
Free and confidential counseling support through our Healthy Minds program 
Career development and training opportunities
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations."
Sr. Software Engineer - Por Royal Country,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18403976,"Descripción
Empresa de servicios de EU busca: Sr Software Engineer

Ofrece:

Negociable
Seguro de gastos médicos
Seguro de Vida
Aguinaldo
Firma con la empresa

Conocimientos:


JavaScrip
Rython
Puppeteet
Inglés (Intermedio o Técnico)
Bases de Datos
SQL
Linux

Actividades:

Desarrollo de nuevos proyectos
Automatización de sistemas
Resolución de problemas
Mantenimiento

Zona de trabajo: Royal Country

Horario: Lunes a Viernes 9am - 6pm (Hibrido)

Para más información, postulate por este medio con tu CV actualizado

¡Buscamos tu talento!"
Python/Java Software Engineer - Remoto,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18374941,"Descripción
AZKA IT es una empresa mexicana que busca y conecta el mejor talento TI con empresas de Latinoamérica y Estados Unidos.

Estamos en la búsqueda de tu talento como Software Engineer (Python/Java Engineer).

Objetivo: Como Ingeniero de Software, diseñarás y desarrollarás componentes de software de vanguardia, aprovechando una pila de software moderna dentro de una arquitectura orientada a microservicios de ritmo rápido. Utilizando herramientas como Python, Java y Kubernetes, abordarás desafíos complejos y contribuirás a sistemas sofisticados.

Responsabilidades:

Diseñar, implementar, documentar y mantener aplicaciones de microservicios escalables que se ejecuten en un entorno de nube.
Realizar revisiones de código y proporcionar comentarios para garantizar que el software de alto rendimiento y máxima calidad llegue a la producción.
Orientar a los ingenieros y revisar sus contribuciones al código base.
Colaborar con otros equipos para recopilar comentarios y mejorar continuamente la calidad de sus productos de software.
Colaborar con los arquitectos para tomar decisiones técnicas relativas al lenguaje de programación, la base de datos, la entrega y la arquitectura de la solución.

Requerimientos

Más de 5 años de experiencia profesional en ingeniería de software con Python.
Más de 3 años de experiencia profesional en ingeniería de software con Java.
Buena comprensión de las API REST y arquitecturas de microservicios.
Experiencia con aplicaciones de software en contenedores - Docker y (idealmente) Kubernetes.
Experiencia en resolución de problemas en entornos Linux.
Experiencia con bases de datos NoSQL.
Experiencia con aplicaciones distribuidas y brokers de mensajes como Kafka.
Experiencia trabajando con metodologías ágiles.
Nivel de inglés conversacional (Mínimo nivel avanzado C1) - Se hará evaluación.

Ofrecemos

Modalidad híbrida en Monterrey.
Pago en USD
Contrato indeterminado
10 días de vacaciones los 3 primeros años.
1 mes de sueldo en Diciembre (prorrateados).


¡Postúlate ahora, queremos conocerte!"
Sr Software Test Engineer Manual,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18406791,"Descripción
Toshiba Global Commerce Solutions is seeking a Senior Software Test Engineer w it h a strong background in quality strategy and testing best practices, t he senior Software Test Engineer (STE) drives the quality assurance of Toshiba's Point of Sale (POS) solutions in the retail marketplace. This role requires leadership in technical test guidance among the team and the ability to translate customer requirements and technical designs into test scenarios for solution verification. The STE will join a growing team of engineers dedicated to maintaining a strong team culture and driving quality solutions for retail.

Responsibilities:
Work closely with test management to implement and maintain quality improvement processes and ensure proper test coverage. Identify testing gaps within the solution and advise on plans to improve.
Keep up to speed on industry process, practice, and technology developments to enhance the solutions and tooling applied to test.
Provide test estimates for system setup and configuration, test case creation, execution time, and resource requirements.
Setup test environments including hardware and software installations. Manage test equipment inventory and coordinate with management to acquire additional equipment.
Participate in agile ceremonies for software development. Collaborate with product and development teams to understand user requirements and define test coverage. Review software design documents, functional specifications, user scenarios, and existing test coverage.
Analyze, design, implement, and perform execution of test cases, test procedures, and test results. Report defects, and track defect resolutions.
Communicate closely with the project team leads and managers on test status, risks, mitigation plans. Provide input on risks and quality decisions.
Create documentation for test initiatives including test process and plans, custom installation procedures, process improvements, and traceability matrices.
Provide technical guidance and mentorship to junior team members.

Required Skills:
Strong u nderstanding of software test methodologies an d quality strategy
Experience with test coverage analysis, test execution, and defect management
Participation in agile SDLC; usage of agile project management tools
Basic understanding of Linux commands and filesystem
Effective verbal and written communication; able to read, write, and speak English proficiently
Bachelor's degree in computer science or computer engineering; or equivalent experience
6+ years' experience in software test engineering

Preferred Skills:
Retail industry experience.
Experience setting up physical and virtual test environments, both local containerized environments (i.e., Docker, Kubernetes) and full customer-like integrated solutions.
Toshiba Global Commerce Solutions is seeking a Senior Software Test Engineer w it h a strong background in quality strategy and testing best practices, t he senior Software Test Engineer (STE) drives the quality assurance of Toshiba's Point of Sale (POS) solutions in the retail marketplace. This role requires leadership in technical test guidance among the team and the ability to translate customer requirements and technical designs into test scenarios for solution verification. The STE will join a growing team of engineers dedicated to maintaining a strong team culture and driving quality solutions for retail.

Responsibilities:
Work closely with test management to implement and maintain quality improvement processes and ensure proper test coverage. Identify testing gaps within the solution and advise on plans to improve.
Keep up to speed on industry process, practice, and technology developments to enhance the solutions and tooling applied to test.
Provide test estimates for system setup and configuration, test case creation, execution time, and resource requirements.
Setup test environments including hardware and software installations. Manage test equipment inventory and coordinate with management to acquire additional equipment.
Participate in agile ceremonies for software development. Collaborate with product and development teams to understand user requirements and define test coverage. Review software design documents, functional specifications, user scenarios, and existing test coverage.
Analyze, design, implement, and perform execution of test cases, test procedures, and test results. Report defects, and track defect resolutions.
Communicate closely with the project team leads and managers on test status, risks, mitigation plans. Provide input on risks and quality decisions.
Create documentation for test initiatives including test process and plans, custom installation procedures, process improvements, and traceability matrices.
Provide technical guidance and mentorship to junior team members.

Required Skills:
Strong u nderstanding of software test methodologies an d quality strategy
Experience with test coverage analysis, test execution, and defect management
Participation in agile SDLC; usage of agile project management tools
Basic understanding of Linux commands and filesystem
Effective verbal and written communication; able to read, write, and speak English proficiently
Bachelor's degree in computer science or computer engineering; or equivalent experience
6+ years' experience in software test engineering

Preferred Skills:
Retail industry experience.
Experience setting up physical and virtual test environments, both local containerized environments (i.e., Docker, Kubernetes) and full customer-like integrated solutions.

We offer:
Hired directly by Toshiba and 100% under payroll.
Benefits of the law (IMSS, INFONAVIT, vacation bonus).
30 days of Christmas Bonus.
Major medical expenses insurance with dental and visual coverage (for the employee and direct family members).
Minor medical expenses insurance.
Life insurance.
Saving fund.
Grocery coupons.
Pension plan.
12 days of vacation plus 6 floating days.


We offer:
Hired directly by Toshiba and 100% under payroll.
Benefits of the law (IMSS, INFONAVIT, vacation bonus).
30 days of Christmas Bonus.
Major medical expenses insurance with dental and visual coverage (for the employee and direct family members).
Minor medical expenses insurance.
Life insurance.
Saving fund.
Grocery coupons.
Pension plan.
12 days of vacation plus 6 floating days."
Senior Full Stack Engineer,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18364978,"Descripción
US Digital Services Firm-Best Place to Work 2023  is seeking for a Senior Full Stack Software Engineer, to join it´s team. You will partner with their clients and other client team members on transformational projects. On client projects, you will work with a Technical Architect to gather technical requirements, define platform and integration design, and perform the configuration/development of the solution in a team environment.

Qualifications:
Bachelor's degree in relevant field preferred, or equivalent experience required.
5+ years of experience in software development.
Expertise with Object Oriented concepts.
Expertise with computer science fundamentals, including algorithms, data structures, and design patterns.
You have experience with several of our core technologies:
* It is not mandatory to have all of the stack, feel free to reach out with the stack you feel strong and confident*
·        
Back-end: C#, Java, Javascript, Ruby, Python
Front-end: JavaScript, TypeScript, Angular, React, VueJS, HTML5, CSS3
Mobile: Swift, Kotlin
Database: SQL Server, MongoDB, PostgreSQL
Cloud: Microsoft Azure, Amazon Web Services (AWS), GCP

You have experience with several of the following patterns & tools:
·        * It is not mandatory to have all of the stack, feel free to reach out with the stack you feel strong and confident*
Patterns: MVC, MVVM, Service Oriented Architecture (SOA), REST, GraphQL
Source Control: Git, Azure DevOps
DevOps Tooling: Terraform, Docker, Kubernetes
Package Management: Bower, NPM, Yarn, NuGet
Testing: XUnit, MSTest, Jasmine, Karma, JUnit, RSpec
Thrive within a fast-paced, collaborative, Agile/Scrum project environment.
Excellent team, organizational, and verbal/written communication skills.
Experience mentoring junior team members and providing reviews.
Excellent communication ability with team members and clients in English.
A commitment to inclusion and diversity, and openness to new ideas and perspectives. "
Senior fullstack,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18401522,"Descripción
Únete a Experis IT, una empresa líder en tecnologías de la información que conecta de manera efectiva al talento más competitivo con grandes empresas en México, Norteamérica y Europa.
Puesto Vacante: Senior Full Stack Software Engineer

Requisitos:
-Six years of experience developing interactive web applications
-NoSQL
-Excelent programming, software architecture and communication skills
-C#
-.NET Core
-Reactjs
-Agile Scrum working experience
-English advanced

Si estás buscando un ambiente de trabajo dinámico, oportunidades de crecimiento y desarrollo profesional, ¡esta es tu oportunidad!"
SoftwareEngineer Sr (Full Stack por Proyecto),https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18385474,"Descripción
Somos una empresa de software que brindan soluciones legales.

Por proyecto nos encontramos en búsqueda de:

Software Engineer Sr (full stack)

Requisitos:
-         Ing. En sistemas computacionales o afin
-         Inglés técnico

Experiencia:
-         Mas de 3 años desarrollando servicios en PHP
-         Fuerte conocimiento en React
-         Conocimiento en Python
-         Uso de Angular
-         Manejo de bases de datos en Mongo DB
-         Conocimiento en NodeJs
-         Haber trabajado con frameworks como Laravel y Symfony
-         Trabajar bajo metodología SCRUM y en repositorios como Jira
-         Deseable experiencia en la nube (AWS o Azure)

Ofrecemos:
-         Proyecto de 3 meses
-         Equipo de computo
-         100% Home Office"
SW System Engineer,https://www.occ.com.mx/empleos/de-software-engineer/en-Mexico/?page=1&jobid=18395529,"Descripción
Tu nueva compañía
Empresa enfocada en automatización y software.

Tu nuevo cargo
SW System Engineer 

Que necesitas para ser exitoso
Ing. Sistemas computacionales, ingeniero software, Aronautical Engineer, Tecnologías de la información, mechanical engineering.
Conocimientos en Java, C++, SQL, PL-SQL o similares.
Experiencia con sistemas operativos Windows y Linux.
Fuertes conocimientos en uno de los siguientes campos: desarrollo de bases de datos, desarrollo de procesos o desarrollo de UI//HMI.
Visa y pasaporte vigente.
Disponibilidad de viaje.
Inglés avanzado."
