Job_Title,Job_Description,Job_Url
ARQUITECTO DE INFRAESTRUCTURA EN NUBE,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18346256,"Descripción
ARQUITECTO DE INFRAESTRUCTURA EN NUBE

REQUISITOS:
·        Escolaridad: Carrea técnica, Lic. En Sistemas o carrera afín
·        Experiencia: Mínimo 2 años en puesto similar
·        Zona de trabajo: Reforma
·        Dominio de plataformas de nube principalmente AWS y Azure - Conocimientos de seguridad en nube - Conocimiento de servicios de integración basada en nube. - Conocimiento en gestión de recursos de red. - Protocolos de buenas prácticas para servicios de nube. - Conocimientos de automatización de flujos de mantenimiento. - Conocimiento básico en desarrollo - Conocimiento básico de bases de datos. - Conocimiento avanzado en temas de licenciamiento, tanto en servicios de nube como en servicios Microsoft
FUNCIONES:
Apoyar en la definición de la arquitectura necesaria de nuevos proyectos basados en servicios de nube con plataformas como servicios y software como servicio, así como identificar áreas de oportunidad de los servicios ya instalados.
OFRECEMOS
·        Sueldo Base mensual de acuerdo con experiencia, Contrato directo por la empresa + Prestaciones de ley + Prestaciones superiores (Seguro de Vida, fondo de ahorro, Vales de despensa).
Interesados enviar CV al cincuenta y cinco veintiséis setenta y cinco trece ochenta y ocho para agendar entrevista. IMPORTANTE MENCIONAR ÚLTMO SUELDO OBTENIDO Y PRETENSIONES ECONÓMICAS."
Arquitecto de infraestructura en la nube,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18320044,"Descripción
Seguimos CRECIENDO cada dia MAS...

Gayosso es una de las empresas MEXICANAS MAS IMPORTANTES y la NUMERO UNO dentro del giro funerario a NIVEL NACIONAL.

Si estas interesado en la siguiente posición mándame un mensaje por whts al cincuenta y cinco, cincuenta y cuatro, dieciséis, cincuenta y ocho, cuarenta y uno. Así podremos coordinar una entrevista y hablar mas a detalle

Que necesitas?
LICENCIATURA CONCLUIDA (Minimo PASANTIA) EN SISTEMAS O AFIN.

Mínimo 2 años de experiencia en;
Dominio de plataformas de nube principalmente AWS y Azure
Conocimientos de seguridad en nube
Conocimiento de servicios de integración basada en nube.
Conocimiento en gestión de recursos de red.
Protocolos de buenas prácticas para servicios de nube.
Conocimientos de automatización de flujos de mantenimiento.
Conocimiento básico en desarrollo
Conocimiento básico de bases de datos.
Conocimiento avanzado en temas de licenciamiento, tanto en servicios de nube como en servicios Microsoft

Tus principales funciones serán:

Diseñar arquitecturas de nube.
Definir estructuras escalabres con el mejor balance de costo y beneficio.
Realizar evaluaciones periódicas de las mejores prácticas operativas y de seguridad en los servicios de nube.
Tener los lineamientos y controles necesarios para responder a temas de auditorias
Definir los procesos y aplicar las metodologías más adecuadas para migraciones de servicios productivos onpremise a servicios de nube.
Coordinar implementaciones de servicios y aplicaciones en nube desde una visión técnica.
Innovación aplicando las nuevas funcionalidades que presenten los proveedores de nube.
Interacción con las diferentes aras de IT.

¿Que te ofrecemos?
*SALARIO COMPETITIVO
PRESTACIONES DE LEY Y SUPERIORES
CONTRATACION DIRECTA POR CORPORATIVO
ESTABILIDAD LABORAL Y ECONOMICA
DESARROLLO CONSTANTE


“Nuestros procesos de reclutamiento se basan en reconocer el talento inigualable de cada persona. Somos una empresa orgullosamente diversa e incluyente que fomenta el trabajo en equipo, el respeto y la igualdad entre individuos. Se parte de la experiencia Talento Gayosso”"
Sr. Cloud Architect (Azure),https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18200551,"Descripción
Empresa internacional, líder en servicios financieros, de apoyo a empleados y servicios de movilidad está en búsqueda de Arquitectos Cloud (Azure) para participar en la migración y renovación tecnológica de su infraestructura interna.

REQUISITOS

Carrera afín a TI completa (Ciencias de la computación, Sistemas, Desarrollo de Software, etc.)
6 o más años de experiencia en posiciones como: arquitecto de infraestructura, arquitecto de nube, especialista de nube, especialista de infraestructura, etc.
Experiencia con infraestructura de Azure Cloud
Experiencia en plataformas cloud: Azure, AWS, GCP, Oracle, etc.
Conocimiento de APIs, Microservicios, al igual que tecnologías de malla de servicios, contenerización y virtualización.
Orientado a servicio con mentalidad de liderazgo, experiencia en administración de equipos.
Diseño de Soluciones Cloud: Diagramas Funcionales, Diagramas de Integración, Diagramas de Infraestructura.
Experiencia con Ansible, Terraform, CI/CD pipelines y herramientas DevOps
Experiencia en despliegue y administración de Virtual Machines.
Inglés B2 (Avanzado) - experiencia con equipos internacionales

BENEFICIOS
Contrato tiempo indeterminado 100% bajo nómina
Vales de despensa y restaurante
Seguro de Gastos Médicos Mayores (Familar)
Apoyo Desarrollo Profesional
Clases de idiomas"
Reclutador Sr,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18332325,"Descripción
GRUPO NACH, empresa Great place to work esta en búsqueda de:

Reclutador Sr  

Actividades: 
Proceso completo de reclutamiento y Headhunting de diferentes posiciones (Especializadas, TI, Gerenciales y Directivas)
Trato directo con diferentes departamentos
Detectar necesidades del cliente
Presentación de candidatos a diferentes puestos dentro de la empresa (Supervisión, Gerencia y Dirección) 
Seguimiento post colocación  

Requisitos 
Licenciatura concluida (titulado)
Inglés Intermedio (deseable avanzado)
3 años de experiencia en búsqueda, evaluación y reclutamiento de perfiles Gerenciales y Directivos. (INDISPENSABLE)
Conocimiento de técnicas avanzadas de Headhunting.
Conocimiento de perfiles TI (Desarrolladores móviles, Java, .Net, Angular, Cobol, Arquitectos de infraestructura, PM, Scrum Master, Analista de base de datos SQL, PL/SQL, Tableau, AWS, AZURE, SAP, ABAP, Salesforce)
Experiencia tratando con clientes internos a nivel Gerencial y Directivo.
Experiencia realizando ofertas económicas.
Conocimiento de técnicas avanzadas para mapeo de Talento.

Ofrecemos:
Sueldo base mensual $20,000 Brutos
Atractivo esquema de bonos (Trimestral)
Apoyo de alimentos semanal de $400
Prestaciones de ley
Prestaciones superiores (Caja de ahorro, seguro de vida, seguro en caso de accidentes, seguro de gastos funerarios, descuentos en servicios médicos y tiendas departamentales)
Herramientas de trabajo (Laptop y celular ejecutivo)

Horario:
Lunes a viernes de 09:00h a 18:00h

Lugar de trabajo:
Tlalpan, CP. 14210, CDMX"
DIRECTOR OPERATIVO COMERCIAL,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18155858,"Descripción
Consultoría de TI esta en búsqueda de Director Opertativo Comercial

Ing informática, sistemas computacionales, informática administrativa o afín

INGLÉS AVANZADO?

?
EXPERIENCIA INDISPENSABLE (5+ años) EN:

Actividades técnicas:

BÚSQUEDA Y PROSPECCIÓN DE NUEVOS CLIENTES
Levantamiento de perfiles de TI.(soporte técnico en todos los niveles, especializados: SAP, Arquitectos, infraestructura, programadores, desarrolladores, etc
Seguimiento a requerimientos del cliente Proyectos
Visitas onsite a cliente.
Presentaciones ejecutivas para gerentes y dirección.
Disponibilidad de horario (oficial L-V 8:30 a 18:30, pero disponibilidad para atender llamadas ocasionales internas y del cliente pasado el horario e incluso en fines de semana)
Negociación con directivos

Softskill:

Liderazgo.
Trabajo bajo estrés.
Alta capacidad de análisis.
Excelente comunicación (asertiva y concreta)
Carácter mediador.
Resolutivo.
Buen relacionamiento.

Deseable:

Trabajo en Metodologia SCrum.

Reporta a dirección
Sueldo 80K netos, + PL, SGMM, Seguro de vida.
Esquema de contratación MIXTO
Hibrido: HOME OFICCE 50%/VISITAS A CLIENTE

Si estas interesada/o postúlate por este medio y en breve te contactaremos."
Cloud Architec,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18349587,"Descripción
Participa en un proyecto para una empresa internacional enfocada en brindar beneficios a empleados y servicios financieros. Se parte del equipo de expertos que trabaja directamente con el diseño de la arquitectura Azure y lleva a la implementación de las nuevas funciones y aplicaciones para operaciones internacionales. Colabora con equipos internacionales, de América y Europa con una empresa enfocada en dar crecimiento a sus empleados e involúcrate en un proyecto desafiante.

Carrera afín a TI completa (Ciencias de la computación, Sistemas, Desarrollo de Software, etc.)
6 o más años de experiencia en posiciones como: arquitecto de infraestructura, arquitecto de nube, especialista de nube, especialista de infraestructura, etc.
Experiencia con infraestructura de Azure Cloud
Experiencia en plataformas cloud: Azure, AWS, GCP, Oracle, etc.
Optimización y despliegue en Azure
Manejo de Azure Subscriptions y/o AWS Account Management
Experiencia con Terraform
Experiencia en despliegue y administración de Virtual Machines.
Inglés B2 (Intermedio/Avanzado - 70%) - experiencia con equipos internacionales
PLUS: Certificación Arquitecto Azure AZ-305 Solutions

BENEFICIOS:
Contrato 100% bajo nómina
Seguro de Gastos Médico Mayores familiar, Seguro de Vida, Telemedicina
Vales de despensa, vales de restaurante
Apoyo para desarrollo profesional y académico (capacitaciones digitales, apoyo para desarrollo de idiomas, entre otras)"
Technology Architect,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18251158,"Descripción
The Architecture Group Manager is accountable for management of complex/critical/large professional disciplinary areas. Leads and directs a team of professionals. Requires a comprehensive understanding of multiple areas within a function and how they interact in order to achieve the objectives of the function. Applies in-depth understanding of the business impact of technical contributions. Strong commercial awareness is a necessity. Generally accountable for delivery of a full range of services to one or more businesses/ geographic regions. Excellent communication skills required in order to negotiate internally, often at a senior level. Some external communication may be necessary. Accountable for the end results of an area. Exercises control over resources, policy formulation and planning. Primarily affects a sub-function. Involved in short- to medium-term planning of actions and resources for own area. Full management responsibility of a team or multiple teams, including management of people, budget and planning, to include performance evaluation, compensation, hiring, disciplinary actions and terminations and budget approval. Responsibilities: Manages multiple architectural teams or an architecture functional area (depending on size of business). Evaluates subordinates' performance and makes recommendations for pay increases, promotions, terminations and other personnel actions. Develops the architectural strategy for a group (portfolio) of IT systems. Develops and recommends solutions that conform to enterprise standards. Develops technological and business application portfolio road maps, based on emerging technologies and market trends/direction. Responsible for all technical directions and decisions based on technical expertise, experience, vision and market directions. Supports the business/clients in evaluating and articulating the technical benefits of a solution to stakeholders. Analyzes and evaluates strategic technologies offered by vendors. Exhibits sound understanding of theories and practices in architecture and multiple related areas. Has in depth understanding of how architecture integrates within technology and has commercial awareness. Shares responsibility for budget, policy formulation and planning. Requires evaluative judgment based on analysis of factual information in complicated or novel situations; uses multiple sources of information. Impacts engineering through responsibility for planning, finances/ budget, end results and setting of policies. Influences and negotiates with senior leaders (across functions); may communicate and negotiate with external parties. Performs other job duties and functions as assigned Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency, as well as effectively supervise the activity of others and create accountability with those who fail to maintain these standards. Qualifications: 10+ years relevant experience Consistently demonstrates clear and concise written and verbal communication Management and prioritization skills Ability to develop working relationships Ability to manage multiple activities and changing priorities and work under pressure to meet tight deadlines Self-starter with ability to take the initiative and master new tasks quickly Methodical, attention to detail Education: Bachelor's/University degree or equivalent experience, potentially Masters degree This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required. Knowledge in cloud services TOGAF certification, architectural frameworks. Agile methodologies. Knowledge of Integrations, APIS, containers, microservices. Knowledge of Infrastructure Architect Advanced English ------------------------------------------------------ Job Family Group: Technology ------------------------------------------------------ Job Family: Architecture ------------------------------------------------------ Time Type: Full time ------------------------------------------------------ Citi is an equal opportunity and affirmative action employer. Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi. View the ""EEO is the Law"" poster. View the EEO is the Law Supplement. View the EEO Policy Statement. View the Pay Transparency Posting"
IT Infrastructure Solution Architect,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18393406,"Descripción
IT Infrastructure Solution Architect

Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future. At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

This role involves responsibility for the design, integrity, and quality of an IS solution and of associated IS services delivered to business and support functions as well as IS Technology domains. You will ensure that the solution/service provides the required functionality and meets cost expectations, while contributing to project set-up and delivery and to optimizing service operations.

This position reports to

IS Continuous Improvement Manager

Your responsibilities

Deciding what is covered by available standard functionalities and where enhancements or workarounds are needed.
Supporting validation and prioritization of business demand with the relevant IS Service Manager and/or Global IS Domain Architect, including signing off on use case specifications.
Remaining current with new and emerging technology and industry practices, and bringing learning into ABB.
Working with users in projects and problem management to maintain, develop and deploy solutions/services for the business.
Ensuring that manuals and documentation are created to describe the operating procedures, and consulting on the installation of, or changes to, solutions/services.
Contributing to results-oriented work with Information Systems architectural domains for various business processes and enterprise technology.
Contributing to incident management to fight ticket volume by detecting and eliminating recurring defects and supporting issue resolution to avoid negative impact on a project or service.
Supplying service managers with stakeholder information, and working with stakeholders regarding their expectations and requirements, in accordance with procedures and guidelines.
Level 3 support of end users and services within the environment.


Your background

Bachelor's degree in Information Systems Infrastructure, Computer Science or similar or PMP Certification.
5 years of experience in IT infrastructure, working with servers, network, and applications.
Excellent negotiation and presentation skills.
Strong time management skills and flexibility necessary to handle periodic bursts of increased workload.
Data analysis for requirements of the project work & deliverables.
CCNA Certification preferred.
Experience in Project Management is desirable.
Availability to travel. Active Passport preferred.
Advanced English level.


More about us

We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com. Work model: hybrid #LI-hybrid"
Infrastructure Architect Jr,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18123965,"Descripción
Objetivo de la posición:

Colaborar con las áreas de soporte y operación de AXA GO MX dentro del diseño de los requerimientos y mejoras a las existentes; comunicar y promover las nuevas soluciones y herramientas que apoyan a una operación más eficiente y automatizada.

Responsabilidades:

Documentar estándares de arquitectura ya establecidos, utilizando los productos y servicios estándares de AXA GO MX.

Elaborar, mantener y mejorar la documentación de los componentes de arquitectura bajo la administración de AXA GO MX, manteniendo actualizada la información en los diagramas técnicos, blueprints, manuales, reportes y estándares, para mantener los inventarios y diseños de arquitectura de despliegue de sistemas y componentes al día, para compartir esta documentación con las áreas involucradas para su consulta.

Colaborar con las áreas de soporte y operación de AXA GO MX en el análisis de los requerimientos de infraestructura para nuestros clientes, comunicando oportunamente los cambios en los diseños de los componentes y herramientas existentes a su cargo, para garantizar la entrega de los proyectos de infraestructura implementados a las áreas operativas de manera completa y ordenada.


Experiencia y conocimientos específicos:

Ingles Intermedio

Un año o menos en comprensión del despliegue de infraestructura, componentes de middleware (servidores de aplicaciones y web, bases de datos), balanceadores de carga, almacenamiento, virtualización, seguridad etc.

Un año o menos en análisis de infraestructura de acuerdo con patrones de arquitectura acordados impulsados por los requerimientos de negocio.

Experiencia deseada en proyectos de renovación tecnológica, migración de infraestructura a Cloud y similares como arquitecto de solución


As a world-leading insurance company, we act for human progress by protecting what matters. With 153,000 employees in 54 countries working with 105 million customers, we've created a truly dynamic and vibrant community. Inclusion and diversity link closely with our values, and together we're nurturing a culture of

respect, for each other, for our customers and the communities around us. Join AXA and you'll feel like you belong, are included and can thrive. You'll be able to shape the way you work and truly grow your potential as you seek out new opportunities, push boundaries and benefit people in critical moments of their lives. This is your chance to build the tomorrow you want. Know you can.

AXA is becoming a sustainable tech-led company and at AXA Group Operations we are one of the major catalysts for this transformation.

We set the tone by triggering and empowering the evolution of our insurance business model through technology and innovation, driving its concrete implementation globally at speed, with a high quality of advisory and execution.

We are present across 17 countries with committed, highly qualified teams. We leverage technology, data, sourcing, security and investment allocation in a global way, but also achieve economies of scale and synergies when necessary.

At AXA Group Operations, we want to be recognized in three fields of action:

State-of-the-art Data Technology to drive customer experience
State-of-the-art Procurement & Sourcing to drive efficiency and better manage risks
High-Performing Global Team for stronger partnerships with AXA entities"
Network Infrastructure Architect,https://www.occ.com.mx/empleos/de-software-infrastructure-architect/en-Mexico/?page=1&jobid=18159833,"Descripción
Who We Are

At Kyndryl, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl? We are always moving forward - always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our customers and our communities.

The Role

Do you want to be at the forefront of designing and implementing cutting-edge network solutions? Within our Network Services team at Kyndryl, you will be the go-to expert for providing top-of-the-line technical solutions throughout the entire solution lifecycle. You will be responsible for creating local and wide-area network solutions that utilize multiple platforms and protocols, ensuring that our customers have the best possible network infrastructure to support their business needs.

Your skills in routers, networking controllers, bridges, and networking software will be essential as you troubleshoot network issues and coordinate with vendors to install the latest hardware and software, such as routers and switches. Not only will you help keep our customer's networks running smoothly, but you will also work on project implementation, conduct project planning and cost analysis, and build proof-of-concept solutions with networking system technology.

In this role, you will have the opportunity to review project requirements, communicate them accurately to the team, and ensure they are appropriately fulfilled. You will use your expertise to design and implement local and wide-area network solutions, including IP and VOIP, that address customer requirements. You will also provide high-quality technical solutions to our customers to prepare them for implementation, go-live, and maintenance.

If you are excited about using your technical expertise to create innovative network solutions and provide outstanding customer service, then this is the role for you!

Your Future at Kyndryl
At Kyndryl, we understand the importance of investing in our employees' professional growth and development. In Network Services, you can expect to receive a lot of support for training programs to keep your skills and knowledge up to date with the latest industry trends and technologies. By joining our team, you will have the opportunity to work on cutting-edge projects and contribute to the development of innovative solutions for our customers - including new wireless and 5G technologies - not yet adopted by most companies.

Who You Are

You're good at what you do and possess the required experience to prove it. However, equally as important - you have a growth mindset; keen to drive your own personal and professional development. You are customer-focused - someone who prioritizes customer success in their work. And finally, you're open and borderless - naturally inclusive in how you work with others.

Required Technical and Professional Expertise

• 6+ years of experience focused on network support, configuration, and implementation
• 6+ years of experience in core switching, routing, MPLS, and firewalls
• Networking and security architecture and engineering support experience across local, regional, and global domains
• Ability to effectively execute multiple IT projects and deadlines with limited supervision

Preferred Technical and Professional Experience

• Application Centric Infrastructure (ACI) deployment and data center experience
• Experience with design and implementing Software Defined Network (SDN) and large complex networks
• Experience with protocols and technologies such as, BDP, OSPF, MP-FBP EVPN, VXLAN, or VPC

Being You

Diversity is a whole lot more than what we look like or where we come from, it's how we think and who we are. We welcome people of all cultures, backgrounds, and experiences. But we're not doing it single-handily: Our Kyndryl Inclusion Networks are only one of many ways we create a workplace where all Kyndryls can find and provide support and advice. This dedication to welcoming everyone into our company means that Kyndryl gives you - and everyone next to you - the ability to bring your whole self to work, individually and collectively, and support the activation of our equitable culture. That's the Kyndryl Way.

What You Can Expect

With state-of-the-art resources and Fortune 100 clients, every day is an opportunity to innovate, build new capabilities, new relationships, new processes, and new value. Kyndryl cares about your well-being and prides itself on offering benefits that give you choice, reflect the diversity of our employees and support you and your family through the moments that matter - wherever you are in your life journey. Our employee learning programs give you access to the best learning in the industry to receive certifications, including Microsoft, Google, Amazon, Skillsoft, and many more. Through our company-wide volunteering and giving platform, you can donate, start fundraisers, volunteer, and search over 2 million non-profit organizations. At Kyndryl, we invest heavily in you, we want you to succeed so that together, we will all succeed.

Get Referred!

If you know someone that works at Kyndryl, when asked 'How Did You Hear About Us' during the application process, select 'Employee Referral' and enter your contact's Kyndryl email address."
