Job_Title,Job_Description,Job_Url
SQA,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18396177,"Descripción
ZF is a global technology company supplying systems for passenger cars, commercial vehicles and industrial technology, enabling the next generation of mobility. ZF allows vehicles to see, think and act. In the four technology domains of Vehicle Motion Control, Integrated Safety, Automated Driving, and Electric Mobility, ZF offers comprehensive product and software solutions for established vehicle manufacturers and newly emerging transport and mobility service providers. ZF electrifies a wide range of vehicle types. With its products, the company contributes to reducing emissions, protecting the climate and enhancing safe mobility.
 Position Summary
The SQA ensures the product align with the customer specific requirement, making sure that audits, controls, and standards are being followed.
 Responsibilities:
Keep and ensure the SLP / ramp up phases on.
Keep product audits and release first shipments on site.
Customer specific requirement (audits follow up).
Ensure component first release & requalification on time.
Keep the follow up to quality complains submitted to suppliers.
Ensure and give follow up to supplier visit plan.
Meet Internal KPI management.
No conformance material management.
Incoming inspection records management.
 Qualifications:
3 years of experience in the automotive industries.
3 years of experience in similar positions.
Advanced English.
Available to travel.
IPC610 certification.
Advanced knowledge on IATF.
GD&T.
Core Tools.
Incoming area knowledge.
VDA / BIQs advanced knowledge.
 What We Offer:
Benefits above the law.
Major Medical Expenses Insurance.
Global growth opportunities.
Competitive Wages."
SQA (Inglés Fluido Indispensable),https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18381044,"Descripción
Actividades Principales:

Aprobación y evaluación de proveedores
Gestión y seguimiento a Reclamos con proveedores
Resolución de problemas de Calidad con proveedores
Planificación de Inspección a la entrada de la Materia Prima
Registro de liberaciones y evaluaciones
Ejecución de auditorías LPA, 5 S´s, SGC y Clientes
Supervisar actividades de inspección
Administración de inventarios en cuarentena
Mejorar los planes de inspección y revalidación

Requisitos del perfil:

Inglés fluido verbal y escrito
Visa y pasaporte vigente
Disponibilidad para viajar

Solo los candidatos que cumplan con el perfil requerido adjuntar CV en inglés"
Supplier quality assurance,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18397452,"Descripción
Position: SQA Team Member

Main responsibilities / activities: 
• To assure that incoming parts meets the designated specifications through the incoming inspection, managing the SQA laboratory & personnel in charge 
• To ensure the suppliers fulfils the designated safety regulations & environmental requirements for the incoming parts
• Monitoring the SQA's standards and procedures for updates & corrections, and keep it available with it's latest version
• Creation of quality control guidelines and protocols
• Creating and promoting strategies to increase the quality and efficiency of systems and parts
• Acting as a liaison between suppliers and company leaders, determining solutions to any challenges to achieve quality targets
• To conduct audits to the suppliers

Relevant experience & skills: 
Experience in Quality Area or similar
Business Management, Industrial Engineering or similar
Core tools
PPAP
Measurement equipment
Manufacturing Process
English: Conversational (Preference) "
Electronic Quality Engineer,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18409519,"Descripción
At VALEO we shape the mobility of the future!

With 100 years of experience, presence in 33 countries and 16 plants in Mexico, we are leaders in our sector, with outstanding standards recognized by our clients, we manufacture electrical parts, mechanics that allow us to bet on the future innovating and developing new technology.

We are currently looking for an experienced Electronic Quality Engineer to join our Quality Team based in Valeo, Queretaro.

Manage the quality in project
Set and Monitor the Quality Roadmap for the project to reach the Quality (Customer and VALEO) and cost targets - Define the quality cost of his project – Follow up the customer milestones
Detect risks and Prevent problems from Cradle to Grave . 
React when a risk is identified, Escalate roadblocks to PG / PL management 
Ensure CPM is respected 
Respect of build In Quality Standards : SPPC tracking sheet is used – SPPC identification procedure is respected – SPPC transfer to Supplier thru the VRFs
Challenge other PTM on their activities
Focus on Design & Change
Ensure that novelty on product and process are taken into account in DFMEA, PFMEA, DV&PV
Verify LLCs have been used in the D/P FMEA to reduce RPN and respected
After design freeze, ensure 4M matrix respect with regards product or process changes and ensure customer awareness and approval of changes in accordance with the 4M matrix
Update the quality documents following a product / process related change
Participate to Design review including suppliers and tool makers design review
Perform the revision of the control plan after an issue and / or after test results
Support the supplier management activities
Support activities defined for Internal and External Supplier parts on Valeo sites, to support Purchasing and SQA team, as defined in the Quality Rasic
Collect suppliers encountered issues and alternative proposals made by the suppliers to integrate Best Practice
Get the IS validated by the Customer on Time 
Define Prototype, pre serial and serial control plan as owner of this milestones
Ensure consistency between the SPPC, FMEA and control plan
Participate to the pre-FDPR and FDPR
Prepare IS Internal & Customer deliverables, internal Initial Sample file to be validated by the Site Quality Manager prior presenting the Initial Sample file to the Customer for sign off
QRQC rules are applied
Participate to the project QRQC and ensure project team use of QRQC material/rules
Ensure that all the issues are in the single list of issues and manage in the QRQC
Along the Project QRQC ensure that rules are respected and Stop at first disagree and Stop at first no are applied
Initiate QRQCs in the case of DV or PV test failures."
INGENIERO DE CALIDAD,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18401886,"Descripción
Importante empresa de capital japonés del sector Automotriz, Tier 1 de Mazda, ubicada en Salamanca, Guanajuato. Se encuentra en búsqueda de la siguiente posición:

INGENIERO DE CALIDAD

Perfil de puesto:

Escolaridad: Ingeniería Industrial, manufactura, calidad
Inglés: PREFERENCIA.

Experiencia en:

Análisis de causa – raíz.
Core Tools
GD&T

Actividades:

Análisis de problemas internos y externos reportados.
Atención al cliente (SQA), en auditorias o visitas a planta.
Participación en proceso de APQP
Asegurar que el flujo de APQP en el área de calidad sea realizado de acuerdo a lo estipulado.
Solución y prevención de problemas.
Medición y mejora de los procesos mediante técnicas estadísticas y TPS.
Evaluación del Control de cambios y cambios de Ingeniería.
Soporte a los requisitos de calidad para los proveedores de acuerdo con especificaciones del cliente.
Requerir acciones correctivas y preventivas de las anomalías detectadas.
Aprobar instrucciones de retrabajos.
Generar desviaciones para el cliente.
Requerir acciones preventivas del proceso.
Generar acciones de mejora a los procesos como reducción de costos y disminución de los desperdicios.

IMPORTANTE: TENER DISPONIBILIDAD PARA TRASLADARSE AL COMPLEJO INDUSTRIAL MAZDA DIARIAMENTE O CAMBIAR DE RESIDENCIA A SALAMANCA, GTO.

***OFRECEMOS SUELDO ATRACTIVO MÁS PRESTACIONES SUPERIORES Y DE LEY***"
Especialista en Desarrollo de Sistemas iSeries,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18406130,"Descripción
Empresa líder en el mercado te está buscando para ser su nuevo: Especialista en Desarrollo de Sistemas iSeries Jr.

Objetivo de puesto: Analizar, diseñar y desarrollar programas que involucren nuevas funcionalidades y/o mantenimiento preventivo y correctivo en los sistemas operativos críticos para la operación del negocio, implementar soluciones de mejora, recopilando la información operativa del negocio, verificando la factibilidad y el funcionamiento del desarrollo a través del aseguramiento de la calidad del software con el fin de cumplir las expectativas de las áreas.

Funciones principales:
Analizar la solución viable para la atención de requerimientos y proyectos.
Desarrollar o modificar software utilizando las mejores practicas de codificación en iSeries as400
Asegurar la calidad del software mediante la ejecución de pruebas en conjunto con el usuario final
Implementar acciones de mantenimiento y actualización de los sistemas para garantizar su funcionalidad y operación.
Brindar soporte a los usuarios de las diversos sistemas de iSeries as400 en lo relativo a la operación diaria.

Perfil del puesto:
Escolaridad: Ing. Sistemas. Ing. en Desarrollo de Sistemas, Lic. en Administración de Sistemas Computacionales, Lic. en Sistemas y/o Lic. en Informática.  

Experiencia: 1 año en programación de sistemas iSeries AS400

Conocimientos requeridos:
Conocimientos básicos en: Lenguaje de Programación: SQLRPGLE, RPGLE, RPGLE FREE, ILE COBOL y COBOL Bases de datos (DB2) Manejo de comandos de iSeries Conocimientos SQL 

Ofrecemos:
Contratación directa por la empresa
Horario de lunes a jueves 8 horas y viernes medio tiempo

Si estás interesado en la posición, envía tu CV al correo indicando el nombre de la vacante y tus pretensiones económicas."
ANALISTA FUNCIONAL DE SISTEMAS,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18363447,"Descripción
Tenemos una vacante para Analista Funcional, Presencial, Candidatos del área metropolitana de Monterrey, con disponibilidad inmediata y con experiencia comprobable de al menos 4 años en:


Diseño y arquitectura de sistemas
Análisis de los sistemas de TI existentes y los procesos de trabajo
Definición de necesidades de información y desarrollo de medidas mejoradas de TI
Planificación del proyecto
Coordinación con usuarios referentes / product owners
Coordinación del equipo de desarrollo para construir soluciones tecnológicas
Realización de pruebas para verificar integridad de datos y rendimiento
Documentación de especificaciones técnicas
Alta de requerimientos
 Actividades de Aseguramiento de Calidad del Software
Monitoreo y evaluación de sistemas / procesos existentes para proponer mejoras funcionales

Experiencia en programación de sistemas: .Net, c#, MVC, Web Services, HTML, Jquery, SQL Server"
Tester QA,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18375593,"Descripción
PRAXIS, es una empresa Mexicana Líder en Tecnologías de la Información, con presencia Internacional, y con 25 años proporcionando servicios de TI.

TESTER QA

Cualificaciones básicas
 Debe poder probar manualmente el código.
2+ años de experiencia profesional en desarrollo de software sin pasantía
Experiencia en programación con al menos un lenguaje moderno como Java, C ++ o C #, incluido el diseño orientado a objetos

 Calificaciones preferidas
 Experiencia de scripting en Python, Perl, Ruby o shell
Experiencia con pruebas de caja negra y caja blanca con comprensión / experiencia con metodologías, técnicas y enfoques de SQA
Propiedad del desarrollo y ejecución del plan de pruebas para aplicaciones orientadas al cliente
Experiencia en la creación de estrategias de automatización, creación de scripts de automatización y ejecución de scripts según el plan
Experiencia creando y ejecutando pruebas como regresión, rendimiento, estrés, unidad, API, integración y pruebas de seguridad
Experiencia en la comunicación con usuarios empresariales, otros equipos técnicos y administración para recopilar requisitos, describir características de productos de software y diseños técnicos
Experiencia profunda con CRM y tecnologías de automatización de marketing (es decir Salesforce, Marketo, Hubspot Intercom io)
Experiencia trabajando en una capacidad de integración técnica relacionada (ingeniero de construcción / integración)
Conocimiento de las prácticas profesionales de ingeniería de software y las mejores prácticas para todo el ciclo de vida de desarrollo de software, incluidos los estándares de codificación, las revisiones de código, la gestión del control de código fuente, los procesos de compilación, las pruebas y las operaciones.
Excelente resolución de problemas y habilidades analíticas
Deseo de ofrecer una excelente experiencia al cliente
Historial de construcción y mantenimiento de excelentes relaciones de trabajo con compañeros.


“En PRAXIS queda prohibido la solicitud de certificados médicos de no embarazo y virus de Inmunodeficiencia Humana (VIH) como requisito para el ingreso, permanencia o ascenso"""
SQA,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18257924,"Descripción
HITACHI ASTEMO MÉXICO

Es una reconocida empresa en el sector automotriz a nivel mundial. Con una trayectoria de más de 100 años en el mercado, nos hemos consolidado como líderes en la industria.
Trabajar en HITACHI ASTEMO MÉXICO te brinda la oportunidad de formar parte de un equipo profesional, dinámico y apasionado por la industria automotriz, donde podrás desarrollar tu carrera y alcanzar tus metas.
Ubicación: Parque Industrial Querétaro, Querétaro.

Requisitos:

Ingenieria o Licenciatura (Titulado)
Experiencia de 2 a 3 años en el area de Calidad Porveedores
Inglés Avanzado
Conocimiento en documentacion PPAP
Interpretacion de planos y GD&T
Conocimiento en IATF
Conocimiento en Core Tools
Auditor VDA

Ofrecemos:

Horario de Lunes a Viernes
Prestaciones Superiores a las de Ley
Comedor
Transporte
Prestaciones Emocionales
Y Mas

Zona de trabajo: Parque Industrial Qro."
SQA,https://www.occ.com.mx/empleos/de-software-quality-assurance-analysts-and-testers/en-Mexico/?page=1&jobid=18330302,"Descripción
SQA (Nuevos Productos)

Requisitos:

Ingeniería Industrial , Mecánica o Química o afín
Experiencia mínima 2 años mínimo en el puesto similar

Conocimientos:

Introducción de nuevos productos en giro automotriz, metal mecánico, manufactura o giro semejantes
Inglés - avanzado
IATF 16949
Excelente trato y seguimiento con Cliente
Alto liderazgo y resolución de problemas
Desarrollar los planes del proyecto detallados, asegurando la disponibilidad y asignación de recursos para la entrega de cada proyecto asignado a tiempo, dentro del presupuesto y alcance establecido por la organización.
Gestionar y dirigir los nuevos proyectos nuevos utilizando herramientas de Core Tools.
Coordinar los proyectos de mejora continua aplicando herramientas a la mano (Lean Manufacturing, SMED, Kaizen, Six Sigma, entre otros).
Garantizar el óptimo lanzamiento e implementación de nuevos proyectos en tiempo y forma, cumpliendo los estándares de calidad y requisitos de los clientes. Interactuar con clientes internos y externos.

Ofrecemos:


Sueldo base de acuerdo experiencia comprobable y aptitudes
Prestaciones de Ley
Zona Ixtapaluca"
